iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Taxon name,Date observed,Description,Place name,Common name,Recorded by,coordinateUncertaintyInMeters
Solaster stimpsoni,208013,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,Solaster stimpsoni,PMLS:57,49.040699,-123.644925,Solaster stimpsoni,1973-08-15T11:30:00,,,striped sun star,,
Ophiura sarsii,202051,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,,Ophiuridae,Ophiurinae,,Ophiura,Ophiura sarsii,PMLS:58,49.040699,-123.644925,Ophiura sarsii,1973-08-15T11:30:00,,,notched brittle star,,
Gorgonocephalus eucnemis,465153,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Euryalida,,,,Gorgonocephalidae,Gorgonocephalinae,,Gorgonocephalus,Gorgonocephalus eucnemis,PMLS:59,49.040699,-123.644925,Gorgonocephalus eucnemis,1973-08-15T11:30:00,,,basket star,,
Florometra serratissima,195902,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,Florometra serratissima,PMLS:60,49.040699,-123.644925,Florometra serratissima,1973-08-15T11:30:00,,,feather star,,
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,PMLS:61,49.040699,-123.644925,Sebastes caurinus,1973-08-15T11:30:00,,,copper rockfish,,
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,PMLS:62,49.040699,-123.644925,Sebastes maliger,1973-08-15T11:30:00,,,quillback rockfish,,
Sebastes melanops,47760,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes melanops,PMLS:63,49.040699,-123.644925,Sebastes melanops,1973-08-15T11:30:00,,,black rockfish,,
Sebastes flavidus,64477,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes flavidus,PMLS:64,49.040699,-123.644925,Sebastes flavidus,1973-08-15T11:30:00,,,yellowtail rockfish,,
Sebastes ruberrimus,63695,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes ruberrimus,PMLS:65,49.040699,-123.644925,Sebastes ruberrimus,1973-08-15T11:30:00,young,,yelloweye rockfish,,
Sebastes nigrocinctus,230757,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Sebastidae,Sebastinae,,Sebastes,Sebastes nigrocinctus,PMLS:66,49.040699,-123.644925,Sebastes nigrocinctus,1973-08-15T11:30:00,,,tiger rockfish,,
Ophiodon elongatus,52539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,PMLS:67,49.040699,-123.644925,Ophiodon elongatus,1973-08-15T11:30:00,,,lingcod,,
Saccharina latissima,130231,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,,Laminariaceae,,,Saccharina,Saccharina latissima,PMLS:68,49.087832,-123.684704,Saccharina latissima,1985-07-28T11:05:00,,,sugar wrack kelp,,
Cliona californiana,424811,Animalia,Porifera,,,Demospongiae,Heteroscleromorpha,,Clionaida,,,,Clionaidae,,,Cliona,Cliona californiana,PMLS:69,49.087832,-123.684704,Cliona californiana,1985-07-28T11:05:00,,,yellow boring sponge,,
Metridium senile,49071,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Metridioidea,Metridiidae,,,Metridium,Metridium senile,PMLS:70,49.087832,-123.684704,Metridium senile,1985-07-28T11:05:00,large,,short plumose anemone,,
Cribrinopsis fernaldi,465158,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,,Actinioidea,Actiniidae,,,Cribrinopsis,Cribrinopsis fernaldi,PMLS:71,49.087832,-123.684704,Cribrinopsis fernaldi,1985-07-28T11:05:00,,,crimson anemone,,
Pachycerianthus fimbriatus,47702,Animalia,Cnidaria,,,Anthozoa,Ceriantharia,,Spirularia,,,,Cerianthidae,,,Pachycerianthus,Pachycerianthus fimbriatus,PMLS:72,49.087832,-123.684704,Pachycerianthus fimbriatus,1985-07-28T11:05:00,,,tube-dwelling anemone,,
Epizoanthus scotinus,429859,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,,Epizoanthidae,,,Epizoanthus,Epizoanthus scotinus,PMLS:73,49.087832,-123.684704,Epizoanthus scotinus,1985-07-28T11:05:00,very orange,,orange zoanthid,,
Balanophyllia elegans,51799,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,,Dendrophylliidae,,,Balanophyllia,Balanophyllia elegans,PMLS:74,49.087832,-123.684704,Balanophyllia elegans,1985-07-28T11:05:00,,,orange cup coral,,
Cyanea capillata,69838,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Cyaneidae,,,Cyanea,Cyanea capillata,PMLS:75,49.087832,-123.684704,Cyanea capillata,1985-07-28T11:05:00,,,lion's mane,,
Aurelia labiata,130235,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,,Ulmaridae,Aureliinae,,Aurelia,Aurelia labiata,PMLS:76,49.087832,-123.684704,Aurelia labiata,1985-07-28T11:05:00,,,moon jelly,,
Mitrocoma cellularia,493918,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Mitrocomidae,,,Mitrocoma,Mitrocoma cellularia,PMLS:77,49.087832,-123.684704,Mitrocoma cellularia,1985-07-28T11:05:00,,,cross jellyfish,,
Aequorea,191502,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Aequoreidae,,,Aequorea,,PMLS:78,49.087832,-123.684704,Aequorea spp.,1985-07-28T11:05:00,,,water jellies,,
Clytia gregaria,195428,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,,Campanulariidae,,,Clytia,Clytia gregaria,PMLS:79,49.087832,-123.684704,Clytia gregaria,1985-07-28T11:05:00,,,gregarious jellyfish,,
Pleurobrachia bachei,117705,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,,Pleurobrachiidae,,,Pleurobrachia,Pleurobrachia bachei,PMLS:80,49.087832,-123.684704,Pleurobrachia bachei,1985-07-28T11:05:00,,,sea gooseberry,,
Protula pacifica,538108,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Serpulidae,,,Protula,Protula pacifica,PMLS:81,49.087832,-123.684704,Protula pacifica,1985-07-28T11:05:00,,,white-crown calcareous tubeworm,,
Dodecaceria fewkesi,192656,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Cirratuliformia,,,Cirratulidae,,,Dodecaceria,Dodecaceria fewkesi,PMLS:82,49.087832,-123.684704,Dodecaceria fewkesi,1985-07-28T11:05:00,,,fringed filament-worm,,
Myxicola infundibulum,49533,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,Sabellidae,Sabellinae,,Myxicola,Myxicola infundibulum,PMLS:83,49.087832,-123.684704,Myxicola infundibulum,1985-07-28T11:05:00,,,slime-tube feather-duster,,
Phoronis ijimai,372139,Animalia,Phoronida,,,,,,,,,,Phoronidae,,,Phoronis,Phoronis ijimai,PMLS:84,49.087832,-123.684704,Phoronis ijimai,1985-07-28T11:05:00,,,white colonial phoronid,,
Bugulina californica,551808,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Bugulina,Bugulina californica,PMLS:85,49.087832,-123.684704,Bugula californica,1985-07-28T11:05:00,,,spiral bryozoan,,
Dendrobeania murrayana,205170,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,,Buguloidea,Bugulidae,,,Dendrobeania,Dendrobeania murrayana,PMLS:86,49.087832,-123.684704,Dendrobeania murrayana,1985-07-28T11:05:00,,,fan bryozoan,,
Crisia,192680,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Articulina,,,Crisiidae,,,Crisia,,PMLS:87,49.087832,-123.684704,Crisia spp.,1985-07-28T11:05:00,small,,white tuft bryozoans,,
