Group,Taxon,Country,Prov_State,District,LocationName,LocationRemarks,Latitude,Longitude,UTMZone,UTMNorthing,UTMEasting,Collector/Observer,Date,CatalogueNumber,HabitatRemarks,Substrate,ObservationNotes,SpecimenNotes,CuratorRemarks,GeoreferencingRemarks,Source
ALGAE,Mazzaella splendens,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Mazzaella splendens,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Microcladia borealis,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Low intertidal,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Microcladia coulteri,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Neoagarum fimbriatum,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,reported as Agarum fimbriatum,,VIC - 2016 Bioblitz marine checklist
ALGAE,Neorhodomela larix,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Neorhodomela larix,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Neorhodomela sp.,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Nereocystis luetkeana,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,,,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Nereocystis luetkeana,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Nereocystis luetkeana,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Odonthalia floccosa,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,,,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Odonthalia floccosa,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Opuntiella californica,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Opuntiella californica,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Polyneura latissima,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Polyneura latissima,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Porphyra sp.,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Porphyra sp.,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Prionitis lanceolata,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Prionitis sternbergii,Canada,British Columbia,Gulf Islands,Valdes Island,Prionitis sternbergii,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,reported as Prionitis lyalli,,VIC - 2016 Bioblitz marine checklist
ALGAE,Prionitis sternbergii,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,Prionitis lyalli,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Saccharina latissima,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,[Laminaria saccharina],,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Saccharina latissima,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,reported as Laminaria saccharina,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Saccharina latissima,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,Saccharina latissima [Laminaria saccharina],,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Sarcodiotheca gaudichaudii,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Sargassum muticum,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,,,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Sargassum muticum,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Low intertidal,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Sargassum muticum,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Sargassum muticum,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Smithora naiadum,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Smithora naiadum,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Smithora naiadum,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - additional seaweeds
ALGAE,Stephanocystis geminata,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,reported as Cytoseira geminata,,VIC - additional seaweeds
ALGAE,Ulva fenestrata,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Mid intertidal,,,,reported as Ulva lactuca,,VIC - 2016 Marine Bioblitz
ALGAE,Ulva fenestrata,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,,,reported as Ulva lactuca [lactuta],coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Ulva fenestrata,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,reported as Ulva lactuca,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Ulva fenestrata,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,Ulva lactuca [lactuta],,reported as Ulva lactuca,,VIC - 2016 Bioblitz marine checklist
ALGAE,Ulva intestinalis,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2014-05-31,,,,,,,coordinates imputed based on coordinates assigned to other records with the same locality information,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Ulva intestinalis,Canada,British Columbia,Gulf Islands,Valdes Island,Blackberry Point,"49°3'21""N","-123°39'31""W",,,,,2016-06-04,,Mid intertidal,,,,,,VIC - 2016 Marine Bioblitz
ALGAE,Ulva intestinalis,Canada,British Columbia,Gulf Islands,Valdes Island,Starvation Bay and Detwiler Point,49.059442,-123.624488,,,,,2014-06-01,,,,,,,,VIC - 2014 Bioblitz Valdes Marine Components
ALGAE,Ulva intestinalis,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
ALGAE,Various spp.,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Janet Canning, Alexandra de Jong Westman, Marja de Jong Westman, Donna Gibbs, Andy Lamb, Peter Luckham, Jeff Marliave, Margo Sadler, Rachel Saraga",2016,,,,,,,,VIC - 2016 Bioblitz marine checklist
BIRDS,Agelaius phoeniceus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Anas platyrhynchos,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Anthus rubescens,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Ardea herodias,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Ardea herodias fannini,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - Coastal waterbird survey
BIRDS,Arenaria melanocephala,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,on the “sea lion” reef off the north end,,,,VIC - Coastal waterbird survey
BIRDS,Arenaria melanocephala,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Bombycilla cedrorum,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Brachyramphus marmoratus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Branta canadensis,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Calidris virgata,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,on that same reef and loudly letting me know they were there…a REAL highlight…we sometimes get the same concentrations on “Gordie’s point”.,,,,VIC - Coastal waterbird survey
BIRDS,Calidris virgata,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Calypte anna,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Cardellina pusilla,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Cathartes aura,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,"in the morning warm updrafts of Saturday, September 20th in Gabriola Pass.",,,,VIC - Coastal waterbird survey
BIRDS,Cathartes aura,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Catharus ustulatus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Cepphus columba,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,afloat at sea where they like to fish,,,,VIC - Coastal waterbird survey
BIRDS,Cepphus columba,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Cerorhinca monocerata,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,afloat at sea where they like to fish,,,,VIC - Coastal waterbird survey
BIRDS,Certhia americana,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Cistothorus palustris,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Colaptes auratus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Contopus cooperi,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Contopus sordidulus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Corvus corax,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,calling and thinking about having Valdes to itself in the weeks to come,,,,VIC - Coastal waterbird survey
BIRDS,Corvus corax,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Dryocopus pileatus,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Empidonax difficilis,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",2016,,,,,,,,VIC - 2016 Bioblitz Bird Checklist
BIRDS,Gavia immer,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,,,,,VIC - Coastal waterbird survey
BIRDS,Haematopus bachmani,Canada,British Columbia,Gulf Islands,Valdes Island,,,,,,,,,,,,7 in flight and the rest having a conference on the tip of Kendrick Island,,,,VIC - Coastal waterbird survey
