Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name
Solaster stimpsoni,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,striped sun star
Ophiura sarsii,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,notched brittle star
Gorgonocephalus eucnemis,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,basket star
Florometra serratissima,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,feather star
Sebastes caurinus,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,copper rockfish
Sebastes maliger,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,quillback rockfish
Sebastes melanops,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,black rockfish
Sebastes flavidus,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,yellowtail rockfish
Sebastes ruberrimus,1973-08-15T11:30:00,young,Shingle Point Reef,49.040699,-123.644925,,open,90,40,yelloweye rockfish
Sebastes nigrocinctus,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,tiger rockfish
Ophiodon elongatus,1973-08-15T11:30:00,,Shingle Point Reef,49.040699,-123.644925,,open,90,40,lingcod
Saccharina latissima,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,sugar wrack kelp
Cliona californiana,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,yellow boring sponge
Metridium senile,1985-07-28T11:05:00,large,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,short plumose anemone
Cribrinopsis fernaldi,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,many,open,100,80,crimson anemone
Pachycerianthus fimbriatus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,tube-dwelling anemone
Epizoanthus scotinus,1985-07-28T11:05:00,very orange,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,orange zoanthid
Balanophyllia elegans,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,few,open,100,80,orange cup coral
Cyanea capillata,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,lion's mane
Aurelia labiata,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,many,open,100,80,moon jelly
Mitrocoma cellularia,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,very abundant,open,100,80,cross jellyfish
Aequorea spp.,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,many,open,100,80,water jellies
Clytia gregaria,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,gregarious jellyfish
Pleurobrachia bachei,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,sea gooseberry
Protula pacifica,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,few,open,100,80,white-crown calcareous tubeworm
Dodecaceria fewkesi,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,some,open,100,80,fringed filament-worm
Myxicola infundibulum,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,slime-tube feather-duster
Phoronis ijimai,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,white colonial phoronid
Bugula californica,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,spiral bryozoan
Dendrobeania murrayana,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,fan bryozoan
Crisia spp.,1985-07-28T11:05:00,small,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,white tuft bryozoans
Chlamys sp.,1985-07-28T11:05:00,with Mycale/Myxilla,Valdes Island cliffs,49.087832,-123.684704,few,open,100,80,pink scallop
Crassadoma gigantea,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,few,open,100,80,giant rock scallop
Tresus capax,1985-07-28T11:05:00,?,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,fat gaper
Panopea generosa,1985-07-28T11:05:00,?,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,Pacific geoduck
Ceratostoma foliatum,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,leafy hornmouth
Berthella californica,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,California berthella
Cadlina luteomarginata,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,yellow-rimmed nudibranch
Dendronotus iris,1985-07-28T11:05:00,spawn,Valdes Island cliffs,49.087832,-123.684704,very abundant,open,100,80,giant nudibranch
undetermined common gray mysid,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,very abundant,open,100,80,common gray mysid
Pandalus danae,1985-07-28T11:05:00,small,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,coonstripe shrimp
Cancer oregonensis,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,pygmy rock crab
Cancer productus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,red rock crab
Chorilia longipes,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,longhorn decorator crab
Acantholithodes hispidus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,hairy-spined crab
Phyllolithodes papillosus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,2,open,100,80,heart crab
Balanus glandula/Balanus crenatus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,common acorn barnacles
Balanus nubilus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,few,open,100,80,giant acorn barnacle
Pisaster ochraceus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,purple star or ochre star
Pisaster brevispinus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,giant pink star
Evasterias troschelii,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,mottled star
Orthasterias koehleri,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,rainbow star
Dermasterias imbricata,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,leather star
Mediaster aequalis,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,vermilion star
Hippasteria phrygiana,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,spiny red star
Pteraster tesselatus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,slime star
Pycnopodia helianthoides,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,sunflower star
Crossaster papposus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,many,open,100,80,rose star
Solaster dawsoni,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,some,open,100,80,morning sun star
Solaster stimpsoni,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,striped sun star
Ophiura sarsii,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,notched brittle star
Gorgonocephalus eucnemis,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,basket star
Florometra serratissima,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,many,open,100,80,feather star
Mesocentrotus franciscanus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,red sea urchin
Strongylocentrotus droebachiensis,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,green sea urchin
Apostichopus californicus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,giant sea cucumber
Cucumaria miniata,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,red sea cucumber
Eupentacta quinquesemita,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,stiff-footed sea cucumber
Cucumaria piperata,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,salt and pepper sea cucumber
Corella willmeriana,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,transparent tunicate
Ascidia paratropa,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,glassy tunicate
Ascidia columbiana / A. callosa,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,sea blisters
Boltenia villosa,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,hairy tunicate
Aplidium solidum,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,red ascidian
Clupea pallasii,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,Pacific herring
Oncorhynchus gorbuscha,1985-07-28T11:05:00,sp.,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,pink salmon
Theragra chalcogramma,1985-07-28T11:05:00,juv. in Cyanea,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,walleye pollock
Rhinogobiops nicholsii,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,blackeye goby
Damalichthys vacca,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,pile perch
Embiotoca lateralis,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,striped seaperch
Brachyistius frenatus,1985-07-28T11:05:00,juv. adult and many newborn,Valdes Island cliffs,49.087832,-123.684704,many,open,100,80,kelp perch
Cymatogaster aggregata,1985-07-28T11:05:00,schools-juv.,Valdes Island cliffs,49.087832,-123.684704,many,open,100,80,shiner perch
Sebastes caurinus,1985-07-28T11:05:00,juv and adult,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,copper rockfish
Sebastes maliger,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,quillback rockfish
Sebastes flavidus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,yellowtail rockfish
Hexagrammos decagrammus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,kelp greenling
Oxylebius pictus,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,painted greenling
Artedius harringtoni,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,scalyhead sculpin
Jordania zonope,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,,open,100,80,longfin sculpin
Chitonotus pugetensis,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,1,open,100,80,roughback sculpin
Enophrys bison,1985-07-28T11:05:00,,Valdes Island cliffs,49.087832,-123.684704,2,open,100,80,buffalo sculpin
Fucus gardneri,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,rockweed
Nereocystis luetkeana,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,bull kelp
Leucilla nuttingi,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,stalked vase sponge
Leucosolenia eleanor,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,spaghetti sponge
Craniella villosa,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,tennis ball sponge
Cliona californiana,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,yellow boring sponge
Pachychalina spp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,,open,54,54,thick-strap sponges
Plocamia karykina,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,,open,54,54,bright red sponge
Clathria pennata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,red velvety sponge 1
Metridium senile,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,short plumose anemone
Balanophyllia elegans,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,orange cup coral
Ptilosarcus gurneyi,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,2,open,54,54,orange sea pen
Stylantheca papillosa,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,encrusting hydrocoral
Aglaophenia spp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,ostrich-plume hydroid
Selaginopsis sp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,fish-bone hydroid
Plumularia setacea,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,,open,54,54,glassy plume hydroid
Obelia spp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,wine-glass hydroids
Garveia annulata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,orange hydroid
Clavactinia milleri,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,1,open,54,54,hedge-hog hydroid
Cyanea capillata,1986-07-13T10:15:00,large,Josef Bay,49.1287,-123.7029,few,open,54,54,lion's mane
Tubulanus polymorphus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,1,open,54,54,orange ribbon worm
Serpula columbiana,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,red-trumpet calcareous tubeworm
Dodecaceria fewkesi,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,fringed filament-worm
Megalomma sp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,1,open,54,54,twin-eyed feather duster
Thelepus spp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,curly-head spaghetti-worm
Membranipora serrilamella,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,kelp-encrusting bryozoan
Schizoporella japonica,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,orange encrusting bryozoan
Heteropora pacifica,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,northern staghorn bryozoan
Diaperoforma californica,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,southern staghorn bryozoan
Barentsia sp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,nodding heads
Tonicella lineata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,lined chiton
Tonicella insignis,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,white-line chiton
Placiphorella velata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,2,open,54,54,veiled-chiton
Cryptochiton stelleri,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,giant Pacific chiton
Chlamys sp.,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,pink scallop
Crassadoma gigantea,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,giant rock scallop
Pododesmus macrochisma,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,green false-jingle
Diplodonta impolita,1986-07-13T10:15:00,shells only,Josef Bay,49.1287,-123.7029,,open,54,54,rough diplodon
Kellia suborbicularis,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,,open,54,54,suborbicular kellyclam
Penitella penita,1986-07-13T10:15:00,?,Josef Bay,49.1287,-123.7029,1,open,54,54,flat-tip piddock
Mytilimeria nuttalli,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,bladderclam
Entodesma navicula,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,rock entodesma
Diodora aspera,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,rough keyhole limpet
Haliotis kamtschatkana,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,2,open,54,54,northern abalone
Nucella lamellosa,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,wrinkled dogwinkle
Ceratostoma foliatum,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,leafy hornmouth
Amphissa columbiana,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,wrinkled amphissa
Ocinebrina lurida,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,lurid rocksnail
Alia carinata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,carinate dovesnail
Calliostoma ligatum,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,blue topsnail
Vermetus compactus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,northern compact wormsnail
Cadlina luteomarginata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,yellow-rimmed nudibranch
Aldisa cooperi,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,Cooper's dorid
Flabellina triophina,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,red flabellina
Podoceras cristatus,1986-07-13T10:15:00,pink,Josef Bay,49.1287,-123.7029,1,open,54,54,neon sea flea
Pandalus danae,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,coonstripe shrimp
Cancer oregonensis,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,pygmy rock crab
Pugettia gracilis,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,graceful kelp crab
Scyra acutifrons,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,sharpnose crab
Oregonia gracilis,1986-07-13T10:15:00,nice,Josef Bay,49.1287,-123.7029,some,open,54,54,graceful decorator crab
Petrolisthes eriomerus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,flattop crab
Lopholithodes mandtii,1986-07-13T10:15:00,juv,Josef Bay,49.1287,-123.7029,1,open,54,54,Puget Sound king crab
Cryptolithodes typicus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,butterfly crab
Pagurus beringanus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,Bering hermit
Balanus nubilus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,giant acorn barnacle
Pisaster ochraceus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,purple star or ochre star
Pisaster brevispinus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,2,open,54,54,giant pink star
Evasterias troschelii,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,mottled star
Dermasterias imbricata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,leather star
Henricia leviuscula leviuscula,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,blood star
Pycnopodia helianthoides,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,sunflower star
Crossaster papposus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,1,open,54,54,rose star
Solaster dawsoni,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,1,open,54,54,morning sun star
Solaster stimpsoni,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,striped sun star
Ophiopholis aculeata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,many,open,54,54,daisy brittle star
Mesocentrotus franciscanus,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,abundant,open,54,54,red sea urchin
Strongylocentrotus droebachiensis,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,green sea urchin
Cucumaria miniata,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,red sea cucumber
Eupentacta quinquesemita,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,stiff-footed sea cucumber
Psolus chitonoides,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,some,open,54,54,creeping pedal sea cucumber
Corella willmeriana,1986-07-13T10:15:00,,Josef Bay,49.1287,-123.7029,few,open,54,54,transparent tunicate
