iNaturalist taxon name,iNaturalist taxon ID,Observation count,Collection/List,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Date observed,Description,Place name,Common name,Recorded by,coordinateUncertaintyInMeters
Leucosolenia nautilia,347319,1,PMLS,"{""PMLS:4086"":[49.1287,-123.7029]}",Animalia,Porifera,,,Calcarea,Calcaronea,,Leucosolenida,,,,Leucosoleniidae,,,Leucosolenia,Leucosolenia nautilia,Leucosolenia nautilia,1997-02-01T09:55:00,,,lacy ball sponge,,
Laqueus vancouveriensis,525797,2,PMLS,"{""PMLS:4110"":[49.1287,-123.7029],""PMLS:4261"":[49.1287,-123.7029]}",Animalia,Brachiopoda,Rhynchonelliformea,,Rhynchonellata,,,Terebratulida,Terebratellidina,,Laqueoidea,Laqueidae,Laqueinae,,Laqueus,Laqueus vancouveriensis,Laqueus vancouverensis,1997-02-01T09:55:00,,,transverse lamp shell,,
Pholis ornata,62605,1,PMLS,"{""PMLS:4164"":[49.1287,-123.7029]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,,,,Pholidae,,,Pholis,Pholis ornata,Pholis ornata,1997-02-01T09:55:00,?,,saddleback gunnel,,
Corallina vancouveriensis,126448,2,PMLS,"{""PMLS:4190"":[49.1287,-123.7029]}",Plantae,Rhodophyta,,,Florideophyceae,,,Corallinales,,,,Corallinaceae,Corallinoideae,,Corallina,Corallina vancouveriensis,Corallina vancouveriensis,1997-10-19T13:23:00,,,graceful coralline,,
Botryocladia pseudodichotoma,327042,1,PMLS,"{""PMLS:4193"":[49.1287,-123.7029]}",Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,,Rhodymeniaceae,,,Botryocladia,Botryocladia pseudodichotoma,Botryocladia pseudodichotoma,1997-10-19T13:23:00,,,sea grapes,,
Neosabellaria cementarium,339237,1,PMLS,"{""PMLS:4210"":[49.1287,-123.7029]}",Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,,Sabellariidae,,,Neosabellaria,Neosabellaria cementarium,Sabellaria cementarium,1997-10-19T13:23:00,,,cemented sandmason tubeworm,,
Tectura,50081,1,PMLS,"{""PMLS:4225"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Tecturinae,,Tectura,,Tectura sp.,1997-10-19T13:23:00,,,limpet,,
Crepidula nummaria,117325,1,PMLS,"{""PMLS:4227"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,,Calyptraeoidea,Calyptraeidae,,,Crepidula,Crepidula nummaria,Crepidula nummaria,1997-10-19T13:23:00,,,northern white slippersnail,,
Nassarius mendicus,129938,1,PMLS,"{""PMLS:4231"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Buccinoidea,Nassariidae,Nassariinae,,Nassarius,Nassarius mendicus,Hima mendica,1997-10-19T13:23:00,,,western lean nassa,,
Corambe pacifica,50032,1,PMLS,"{""PMLS:4232"":[49.1287,-123.7029]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Corambidae,,,Corambe,Corambe pacifica,Corambe pacifica,1997-10-19T13:23:00,with eggs,,frost spot nudibranch,,
Acanthascus dowlingi,424717,2,PMLS,"{""PMLS:4382"":[49.087832,-123.684704]}",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Lyssacinosida,,,,Rossellidae,,,Acanthascus,Acanthascus dowlingi,Staurocalyptus dowlingi,2015-06-09T12:00:00,solitary in mud,,round lipped boot sponge,,
Rhabdocalyptus dawsoni,751673,2,PMLS,"{""PMLS:4393"":[49.087832,-123.684704]}",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Lyssacinosida,,,,Rossellidae,,,Rhabdocalyptus,Rhabdocalyptus dawsoni,Rhabdocalyptus dawsoni,2015-06-09T12:00:00,,,sharp lipped boot sponge,,
Pandalus platyceros,180394,3,PMLS,"{""PMLS:4395"":[49.087832,-123.684704],""iNat:50505923"":[49.117763,-123.71501]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Caridea,Pandaloidea,Pandalidae,,,Pandalus,Pandalus platyceros,Pandalus platyceros,2015-06-09T12:00:00,I think,,Pacific prawn,,
Munida quadrispina,334674,2,PMLS,"{""PMLS:4397"":[49.087832,-123.684704]}",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Galatheoidea,Munididae,,,Munida,Munida quadrispina,Munida quadrispina,2015-06-09T12:00:00,,,squat lobster or galatheid crab,,
Papilio eurymedon,55521,3,iNat,"{""iNat:6780136"":[49.059846,-123.634796],""iNat:6811880"":[49.057857,-123.62406]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio eurymedon,Papilio eurymedon,2016,,,,,
Papilio rutulus,47226,2,iNat,"{""iNat:6794956"":[49.057698,-123.623804]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Papilionidae,Papilioninae,Papilionini,Papilio,Papilio rutulus,Papilio rutulus,2016,,,,,
Chalcophora angulicollis,82080,3,iNat,"{""iNat:6810115"":[49.057319,-123.619203],""iNat:45521429"":[49.03067,-123.597996],""RBCM:56"":[49.063056,-123.656111]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateriformia,Buprestoidea,Buprestidae,Chrysochroinae,Chrysochroini,Chalcophora,Chalcophora angulicollis,Chalcophora angulicollis,2016-06-05,,,, Joel Gibson; J Canning; Lynn Falconer,
Aspidotis densa,63868,4,iNat,"{""iNat:6811869"":[49.049714,-123.616097],""iNat:6910043"":[49.049714,-123.616097],""iNat:19390388"":[49.048537,-123.617518],""ASIMON:7"":[49.047231,-123.613556]}",Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cheilanthoideae,,Aspidotis,Aspidotis densa,Aspidotis densa,2017,terrestrial herbaceous community,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Zonotrichia leucophrys,9176,3,iNat,"{""iNat:6811881"":[49.04115,-123.643837],""iNat:72894380"":[49.032239,-123.599503]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Zonotrichia,Zonotrichia leucophrys,Zonotrichia leucophrys,2016,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",
Larus glaucescens,4399,4,iNat,"{""iNat:6811882"":[49.04178,-123.643498],""iNat:86756365"":[49.0322,-123.59945]}",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Laridae,Larinae,,Larus,Larus glaucescens,Larus glaucescens,2016,,,,"Rob Butler, Janet Cannings, Alexandra de Jong Westman, Marja de Jong Westman, Michael Dunn, John Reynolds, Robin Weber",
Achillea millefolium,1105043,4,iNat,"{""iNat:6811884"":[49.040992,-123.64371],""iNat:13960521"":[49.044728,-123.609],""ASIMON:25"":[49.0418,-123.643081]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Achillea,,Achillea millefolium,2017,open coastal meadow,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Leymus mollis,61067,4,iNat,"{""iNat:6811958"":[49.041805,-123.643465],""iNat:19388522"":[49.0418,-123.643081],""ASIMON:43"":[49.0418,-123.643081]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Leymus,Leymus mollis,Leymus mollis,2017,on beach,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Digitalis purpurea,53983,37,iNat,"{""iNat:6813555"":[49.061972,-123.628097],""iNat:6910089"":[49.061972,-123.628097],""iNat:8342684"":[49.036339,-123.602347],""iNat:9281990"":[49.110976,-123.696336],""iNat:13960487"":[49.043542,-123.609467],""iNat:30465365"":[49.062111,-123.649886],""iNat:30465366"":[49.063931,-123.653572],""iNat:30465367"":[49.062161,-123.650269],""iNat:30466552"":[49.043358,-123.6233],""iNat:30466555"":[49.060428,-123.638353],""iNat:37150270"":[49.125114,-123.700706],""iNat:37150271"":[49.123608,-123.696739],""iNat:37150274"":[49.124925,-123.699639],""iNat:37150276"":[49.124803,-123.702011],""iNat:37150277"":[49.124833,-123.702797],""iNat:39050802"":[49.118186,-123.684967],""iNat:39050806"":[49.117919,-123.685014],""iNat:39050807"":[49.123539,-123.700578],""iNat:39050808"":[49.120614,-123.691033],""iNat:39050809"":[49.120239,-123.707764],""iNat:39050810"":[49.1227,-123.710289],""iNat:39050812"":[49.127586,-123.702172],""iNat:39050813"":[49.1218,-123.712044],""iNat:39050814"":[49.125856,-123.701325],""iNat:55809897"":[49.066933,-123.651436],""iNat:55809938"":[49.073936,-123.656014],""iNat:55809939"":[49.073575,-123.656325],""iNat:59625919"":[49.048758,-123.625069],""iNat:59625921"":[49.045269,-123.626853],""iNat:73650548"":[49.074739,-123.655456],""iNat:73650549"":[49.072925,-123.656747],""iNat:73662413"":[49.076497,-123.663619],""iNat:96843326"":[49.043617,-123.626275],""iNat:96843357"":[49.022675,-123.601958],""iNat:96844245"":[49.053428,-123.632797]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Digitalideae,Digitalis,Digitalis purpurea,Digitalis purpurea,2017,"alongside skidder roads, at forest margins and in clearings",,,"Andrew Simon, Harvey Janszen, John Reynolds",
Leucanthemum vulgare,56057,18,iNat,"{""iNat:6813556"":[49.062922,-123.629228],""iNat:19386235"":[49.056104,-123.628743],""iNat:30465361"":[49.074131,-123.655892],""iNat:30465362"":[49.064686,-123.654639],""iNat:30466597"":[49.043403,-123.623581],""iNat:37150244"":[49.124978,-123.703217],""iNat:55809925"":[49.064747,-123.654594],""iNat:55809926"":[49.073608,-123.656181],""iNat:59625903"":[49.064536,-123.654625],""iNat:73645846"":[49.062286,-123.651222],""iNat:73650534"":[49.073003,-123.656936],""iNat:73650537"":[49.075886,-123.652175],""iNat:73662373"":[49.07665,-123.6642],""iNat:90603051"":[49.075731,-123.648553],""iNat:90603076"":[49.074392,-123.645094],""iNat:90603180"":[49.060303,-123.637183]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,Leucanthemum vulgare,Leucanthemum vulgare,2017,skidder road,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Vanessa atalanta,49133,1,iNat,"{""iNat:6813557"":[49.057964,-123.624078]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Nymphalidae,Nymphalinae,Nymphalini,Vanessa,Vanessa atalanta,Vanessa atalanta,2017-06-24T07:19:00-07:00,,,,John D Reynolds,
Dactylis glomerata,52720,11,iNat,"{""iNat:6813558"":[49.062033,-123.629058],""iNat:6910189"":[49.062019,-123.629097],""iNat:30466539"":[49.043758,-123.627153],""iNat:39054614"":[49.127378,-123.702056],""iNat:55809931"":[49.063403,-123.653647],""iNat:59625900"":[49.043847,-123.627686],""iNat:73660231"":[49.06665,-123.651367],""iNat:90603150"":[49.062011,-123.628792],""iNat:96843369"":[49.019992,-123.598564],""iNat:96844247"":[49.053514,-123.632836]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Dactylis,Dactylis glomerata,Dactylis glomerata,2017-06-24T07:05:00-07:00,,,,John D Reynolds,
Claytonia sibirica,55767,5,iNat,"{""iNat:6813559"":[49.058881,-123.626289],""iNat:6910201"":[49.048978,-123.632539],""iNat:19382342"":[49.057618,-123.626254]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,Claytonia sibirica,Claytonia sibirica,2017,alongisde skidder trail in humid conifer forest,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Adenocaulon bicolor,56854,8,iNat,"{""iNat:6813560"":[49.061172,-123.627167],""iNat:6910065"":[49.041847,-123.639947],""iNat:6910077"":[49.061172,-123.627167],""iNat:19382350"":[49.057618,-123.626254],""iNat:19388500"":[49.0418,-123.643081],""iNat:53212516"":[49.029957,-123.599213],""iNat:85685367"":[49.020345,-123.595222]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Mutisioideae,Mutisieae,Adenocaulon,Adenocaulon bicolor,Adenocaulon bicolor,2017-06-24T06:17:00-07:00,,,,John D Reynolds,
Ariolimax columbianus,47776,9,iNat,"{""iNat:6813561"":[49.061536,-123.627136],""iNat:59625904"":[49.060017,-123.635606],""iNat:59625906"":[49.046956,-123.631539],""iNat:90603109"":[49.062917,-123.630408],""iNat:90603140"":[49.060475,-123.626556],""iNat:90603187"":[49.062192,-123.652808],""iNat:90603188"":[49.063556,-123.653494],""iNat:90603192"":[49.062139,-123.652772]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Ariolimax,Ariolimax columbianus,Ariolimax columbianus,2016,,,,,
Cirsium vulgare,52989,23,iNat,"{""iNat:6813562"":[49.062836,-123.629189],""iNat:6910124"":[49.043553,-123.62925],""iNat:6910154"":[49.062836,-123.629189],""iNat:9282021"":[49.10997,-123.70344],""iNat:19386888"":[49.046883,-123.634065],""iNat:19388524"":[49.0418,-123.643081],""iNat:19388588"":[49.0418,-123.643081],""iNat:30465346"":[49.064444,-123.654183],""iNat:37146189"":[49.124408,-123.700311],""iNat:37146190"":[49.12455,-123.699708],""iNat:37146196"":[49.125061,-123.699975],""iNat:39049959"":[49.126839,-123.701508],""iNat:55809889"":[49.064608,-123.654533],""iNat:55809891"":[49.063653,-123.647369],""iNat:59625798"":[49.045686,-123.626708],""iNat:59625799"":[49.043792,-123.627525],""iNat:73645070"":[49.06345,-123.647194],""iNat:73649716"":[49.073006,-123.656875],""iNat:73660193"":[49.063689,-123.647439],""iNat:90603081"":[49.074336,-123.644989],""iNat:96843297"":[49.041211,-123.629769]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,Cirsium vulgare,Cirsium vulgare,2017,alongside skidder road,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Abies grandis,63690,18,iNat,"{""iNat:6813564"":[49.062133,-123.6289],""iNat:6910173"":[49.062133,-123.6289],""iNat:8342670"":[49.036458,-123.602608],""iNat:9865147"":[49.034722,-123.603112],""iNat:30465354"":[49.064553,-123.654625],""iNat:37146693"":[49.125031,-123.703331],""iNat:37146695"":[49.125583,-123.6988],""iNat:39054650"":[49.127894,-123.700553],""iNat:39054653"":[49.126297,-123.700919],""iNat:39054656"":[49.127486,-123.701972],""iNat:52302643"":[49.027544,-123.596664],""iNat:55809908"":[49.064625,-123.654572],""iNat:59625829"":[49.064383,-123.654633],""iNat:59625830"":[49.059089,-123.634033],""iNat:96844197"":[49.017911,-123.606269],""iNat:96844266"":[49.064431,-123.654739]}",Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Abies,Abies grandis,Abies grandis,2017,mixed forests,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Rubus spectabilis,47543,4,iNat,"{""iNat:6813565"":[49.06215,-123.628333],""iNat:19386870"":[49.046883,-123.634065],""iNat:85430365"":[49.061928,-123.628455]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,Rubus spectabilis,Rubus spectabilis,2017-06-24T07:07:00-07:00,,,,John D Reynolds,
Cirsium arvense,60132,13,iNat,"{""iNat:6813566"":[49.062889,-123.629211],""iNat:30465347"":[49.066322,-123.650978],""iNat:30465348"":[49.064547,-123.654669],""iNat:55809884"":[49.066283,-123.651056],""iNat:55809888"":[49.064731,-123.654594],""iNat:59625804"":[49.047581,-123.625725],""iNat:90603043"":[49.075978,-123.648675],""iNat:90603053"":[49.075656,-123.648497],""iNat:96843336"":[49.043614,-123.626281],""iNat:96843371"":[49.019925,-123.598664],""iNat:96843372"":[49.019811,-123.598739]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Cirsium,Cirsium arvense,Cirsium arvense,2017,"on beach, in clearcuts",,,"Andrew Simon, Harvey Janszen, John Reynolds",
Prunus emarginata mollis,63906,1,iNat,"{""iNat:6813568"":[49.061825,-123.628625]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,Prunus emarginata,Prunus emarginata mollis,2017-06-24T07:06:00-07:00,,,,John D Reynolds,
Gaultheria shallon,48441,43,iNat,"{""iNat:6813569"":[49.063183,-123.630822],""iNat:6813571"":[49.063806,-123.631683],""iNat:8302592"":[49.032175,-123.599555],""iNat:13960482"":[49.043578,-123.609489],""iNat:19382318"":[49.057618,-123.626254],""iNat:22904661"":[49.031643,-123.599458],""iNat:30465376"":[49.074219,-123.655678],""iNat:30465378"":[49.073894,-123.656058],""iNat:30466571"":[49.042339,-123.6156],""iNat:30466572"":[49.060383,-123.638322],""iNat:37150289"":[49.123475,-123.696969],""iNat:37150290"":[49.124619,-123.700989],""iNat:37150291"":[49.124939,-123.702903],""iNat:39050980"":[49.124703,-123.705308],""iNat:39050982"":[49.124139,-123.7015],""iNat:39050985"":[49.124206,-123.702706],""iNat:39050989"":[49.119053,-123.708961],""iNat:39050990"":[49.120772,-123.710822],""iNat:39050992"":[49.119286,-123.689461],""iNat:39050996"":[49.119606,-123.689819],""iNat:39050998"":[49.121108,-123.692069],""iNat:55809953"":[49.0659,-123.650917],""iNat:55809957"":[49.065331,-123.650489],""iNat:59625928"":[49.049103,-123.624511],""iNat:59625931"":[49.046711,-123.626075],""iNat:59625933"":[49.062856,-123.634636],""iNat:59625936"":[49.064433,-123.654342],""iNat:73645875"":[49.062094,-123.650367],""iNat:73645878"":[49.073742,-123.656272],""iNat:73645882"":[49.073372,-123.656058],""iNat:73650557"":[49.073242,-123.657264],""iNat:73650560"":[49.073181,-123.657722],""iNat:73657774"":[49.072914,-123.656747],""iNat:85055038"":[49.026403,-123.602242],""iNat:90603042"":[49.075956,-123.648728],""iNat:90603097"":[49.067886,-123.643106],""iNat:90603175"":[49.060306,-123.637131],""iNat:96843361"":[49.021842,-123.600319],""iNat:96844159"":[49.021061,-123.599664],""iNat:96844181"":[49.016164,-123.603553],""iNat:96844204"":[49.018847,-123.607711]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Gaultherieae,Gaultheria,Gaultheria shallon,Gaultheria shallon,2017,ubiquitous in understory of Coastal Douglas-fir forests,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Urtica dioica,51884,29,iNat,"{""iNat:6813572"":[49.059283,-123.626328],""iNat:6910142"":[49.059283,-123.626328],""iNat:13960511"":[49.043389,-123.609681],""iNat:19382347"":[49.057618,-123.626254],""iNat:22904514"":[49.031868,-123.599667],""iNat:30465379"":[49.062133,-123.650253],""iNat:30465380"":[49.062217,-123.65245],""iNat:30465381"":[49.072722,-123.655983],""iNat:37150298"":[49.125408,-123.700286],""iNat:37150299"":[49.125575,-123.700158],""iNat:39051030"":[49.119914,-123.708328],""iNat:39051033"":[49.119858,-123.708497],""iNat:39051034"":[49.124431,-123.698731],""iNat:39051035"":[49.122047,-123.711861],""iNat:39051036"":[49.123458,-123.709739],""iNat:39051037"":[49.122211,-123.710578],""iNat:55809959"":[49.062172,-123.652419],""iNat:59625939"":[49.045678,-123.626747],""iNat:59625940"":[49.044375,-123.627006],""iNat:73645886"":[49.062133,-123.652306],""iNat:73645887"":[49.062417,-123.652969],""iNat:73650566"":[49.072931,-123.656747],""iNat:90603146"":[49.061986,-123.628731],""iNat:90603151"":[49.059956,-123.634369],""iNat:96843302"":[49.040522,-123.629836],""iNat:96843304"":[49.040567,-123.629861],""iNat:96843359"":[49.022667,-123.601958],""iNat:96844163"":[49.022361,-123.601944]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Urticaceae,,,Urtica,Urtica dioica,Urtica dioica,2017-06-24T05:54:00-07:00,,,,John D Reynolds,
Sambucus racemosa,57824,4,iNat,"{""iNat:6813615"":[49.063192,-123.63105],""iNat:19386234"":[49.056104,-123.628743]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Sambucus,Sambucus racemosa,Sambucus racemosa,2017,seral forest,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Micranthes rufidula,357949,5,iNat,"{""iNat:6910042"":[49.049581,-123.616303],""iNat:19390387"":[49.048537,-123.617518],""UBC:74"":[49.117839,-123.684617],""ASIMON:19"":[49.047231,-123.613556]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,,Micranthes,Micranthes rufidula,Micranthes rufidula,1998-03-19,"On shallow soil over bedrock in seepage area; asp. N 54 degrees E, 15 percent slope.",,,George W. Douglas,
Rhytidiadelphus loreus,124422,9,iNat,"{""iNat:6910046"":[49.046889,-123.613297],""iNat:9281616"":[49.047712,-123.614013],""iNat:9281981"":[49.110976,-123.696336],""iNat:19390336"":[49.048537,-123.617518],""iNat:39054664"":[49.122219,-123.710183],""iNat:39054665"":[49.123908,-123.700792],""iNat:39054670"":[49.122214,-123.710153],""iNat:39054674"":[49.123764,-123.699317]}",Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Hylocomiaceae,,,Rhytidiadelphus,Rhytidiadelphus loreus,Rhytidiadelphus loreus,2017,conifer forest,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Toxicoscordion venenosum,59087,5,iNat,"{""iNat:6910051"":[49.057944,-123.624031],""iNat:19390812"":[49.054841,-123.621179],""iNat:51435757"":[49.062675,-123.624633]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Melanthiaceae,,Melanthieae,Toxicoscordion,Toxicoscordion venenosum,Toxicoscordion venenosum,2017,open coastal meadow at Shingle Point,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Nemophila parviflora,57353,3,iNat,"{""iNat:6910054"":[49.063919,-123.631875],""iNat:19382343"":[49.057618,-123.626254]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Hydrophylloideae,,Nemophila,Nemophila parviflora,Nemophila parviflora,2017,conifer forest,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Leucolepis acanthoneura,120870,19,iNat,"{""iNat:6910055"":[49.061028,-123.633531],""iNat:6910062"":[49.058639,-123.626244],""iNat:6937235"":[49.06105,-123.633536],""iNat:19382322"":[49.057618,-123.626254],""iNat:19386867"":[49.046883,-123.634065],""iNat:30466548"":[49.051925,-123.618889],""iNat:37150229"":[49.124522,-123.699028],""iNat:37150230"":[49.124686,-123.701408],""iNat:37150231"":[49.124878,-123.702828],""iNat:39050752"":[49.128239,-123.70185],""iNat:39050753"":[49.117664,-123.688522],""iNat:39050754"":[49.117531,-123.688614],""iNat:73645824"":[49.062272,-123.652808],""iNat:73650522"":[49.073189,-123.657753],""iNat:73662364"":[49.076397,-123.663339],""iNat:73757396"":[49.062008,-123.653167],""iNat:73757918"":[49.06205,-123.650537],""iNat:90603133"":[49.058583,-123.626136]}",Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Mniaceae,,,Leucolepis,Leucolepis acanthoneura,Leucolepis acanthoneura,2017,mixed forests,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Ribes lobbii,78861,2,iNat,"{""iNat:6910058"":[49.063422,-123.631111]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Grossulariaceae,,,Ribes,Ribes lobbii,Ribes lobbii,2017-06-24T10:27:00-07:00,,,,John D Reynolds,
Galium aparine,53059,8,iNat,"{""iNat:6910060"":[49.058067,-123.624358],""iNat:19386866"":[49.046883,-123.634065],""iNat:37146684"":[49.125756,-123.698722],""iNat:37146685"":[49.125114,-123.700583],""iNat:39054648"":[49.120881,-123.7107],""iNat:39054649"":[49.127706,-123.702361]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Galium,Galium aparine,Galium aparine,2017,seral forest,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Vaccinium ovatum,48349,13,iNat,"{""iNat:6910061"":[49.045539,-123.6137],""iNat:22904687"":[49.031996,-123.599721],""iNat:30700547"":[49.041316,-123.60826],""iNat:31871504"":[49.044138,-123.609978],""iNat:73649728"":[49.075642,-123.654183],""iNat:73649729"":[49.075722,-123.654136],""iNat:73649733"":[49.073192,-123.657822],""iNat:73649735"":[49.075806,-123.651672],""iNat:73649736"":[49.075878,-123.652169],""iNat:73662339"":[49.076114,-123.662667],""iNat:90603058"":[49.075511,-123.648408],""iNat:90603121"":[49.057914,-123.621964]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Vaccinieae,Vaccinium,Vaccinium ovatum,Vaccinium ovatum,2017-06-24T17:04:00-07:00,,,,John D Reynolds,
Medicago lupulina,57056,6,iNat,"{""iNat:6910063"":[49.042175,-123.642197],""iNat:6910122"":[49.042531,-123.642356],""iNat:6910193"":[49.042586,-123.642403],""iNat:19388527"":[49.0418,-123.643081]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Medicago,Medicago lupulina,Medicago lupulina,2017,disturbed area bordering on open coastal meadow at Shingle Point,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Plagiothecium undulatum,123586,4,iNat,"{""iNat:6910064"":[49.047192,-123.613839],""iNat:19390337"":[49.048537,-123.617518],""iNat:39051045"":[49.119961,-123.710083]}",Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Plagiotheciaceae,,,Plagiothecium,Plagiothecium undulatum,Plagiothecium undulatum,2017,conifer forest floor,,,"Andrew Simon, Harvey Janszen, John Reynolds",
Filago germanica,634625,2,iNat,"{""iNat:6910068"":[49.057919,-123.633836],""iNat:19386879"":[49.046883,-123.634065]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Filago,Filago germanica,Filago germanica,2017-06-24T10:28:00-07:00,,,,Andrew Simon,694
Holcus lanatus,52793,7,iNat,"{""iNat:6910069"":[49.041058,-123.630194],""iNat:6910175"":[49.040661,-123.633072],""iNat:19386892"":[49.046883,-123.634065],""iNat:55809913"":[49.071597,-123.655914],""iNat:59625839"":[49.043931,-123.627167],""iNat:90603107"":[49.064342,-123.635811]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Holcus,Holcus lanatus,Holcus lanatus,2017,ubiquitous throughout disturbed areas,,,"Andrew Simon, Harvey Janszen, John Reynolds",
