Taxon,Author,Common Name,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,iNat Observation,iNaturalist Link,ID,iNaturalist Photo,Notes
Anarrhichthys ocellatus,"Ayres, 1855",wolf-eel,reported,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Ronquilus jordani,"(Gilbert, 1889)",northern ronquil,reported,1971-08-21,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Brachyistius frenatus,"Gill, 1862",kelp perch,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Cymatogaster aggregata,"Gibbons, 1854",shiner perch,confirmed,1982-06-09,K.D. Genereux,CMN,2018-08-29,Tom Appleby,observed,https://www.inaturalist.org/observations/16014197,98855,https://static.inaturalist.org/photos/23985327/original.jpg?1535584201,
Embiotoca lateralis,"Agassiz, 1854",striped seaperch,reported,1982-06-08,C. E. Kasserra,CMN,,,unobserved,,117555,,
Rhacochilus vacca,"(Girard, 1855)",pile perch,reported,1973-09-20,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,reported as Damalichthys vacca
Clevelandia ios,"(Jordan & Gilbert, 1882)",arrow goby,new 2017,,,,2017-05-26,Karolle Wall,observed,https://www.inaturalist.org/observations/7648112,117564,https://static.inaturalist.org/photos/10006904/large.jpg?1503689037,
Rhinogobiops nicholsii,"(Bean, 1882)",blackeye goby,confirmed,1968-08-02,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,observed,http://www.inaturalist.org/observations/2763449,132521,https://static.inaturalist.org/photos/3127718/medium.jpg?1457577990,
Apodichthys flavidus,"Girard, 1854",penpoint gunnel,confirmed,1982-06-09,K.D. Genereux,CMN,2013-06-22,Karolle Wall,observed,http://www.inaturalist.org/observations/4015148,67408,https://static.inaturalist.org/photos/4742119/large.jpg?1472786735,
Pholis clemensi,"Rosenblatt, 1964",longfin gunnel,reported,1994-10-07,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Pholis laeta,"(Cope, 1873)",crescent gunnel,confirmed,1982-06-09,K.D. Genereux,CMN,2013-07-07,Karolle Wall,observed,http://www.inaturalist.org/observations/4032541,67362,https://static.inaturalist.org/photos/4768198/medium.jpg?1473009277,
Ptilichthys goodei,"Bean, 1881",quillfish,reported,2006-06-23,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Anoplarchus purpurescens,"Gill, 1861",high cockscomb,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2015-08-28,Andrew Simon,observed,https://www.inaturalist.org/observations/2580652,67316,https://static.inaturalist.org/photos/2880832/large.JPG?1452761026,
Chirolophis decoratus,"(Jordan & Snyder, 1902)",decorated warbonnet,reported,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Chirolophis nugator,"(Jordan & Williams in Jordan & Starks, 1895)",mosshead warbonnet,confirmed,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,2019-05-04,Isabelle M. Côté,observed,https://www.inaturalist.org/observations/24798244,216743,https://static.inaturalist.org/photos/38352194/medium.jpg?1557343644,
Lumpenus sagitta,"Wilimovsky, 1956",snake prickleback,new 2017,,,,2017-05-30,Karolle Wall,observed,https://www.inaturalist.org/observations/7647286,224164,https://static.inaturalist.org/photos/10005433/medium.jpg?1503684535,
Citharichthys stigmaeus,"Jordan & Gilbert, 1882",speckled sanddab,confirmed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,2016-07-05,Karolle Wall,observed,http://www.inaturalist.org/observations/4014940,47526,https://static.inaturalist.org/photos/4741761/medium.jpg?1472784980,
Lepidopsetta bilineata,"(Ayres, 1855)",rock sole,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
Lyopsetta exilis,"(Jordan & Gilbert, 1880)",slender sole,new 2017,,,,2008-05-24,J.W.F. Chu,observed,https://www.inaturalist.org/observations/8533887,104926,https://static.inaturalist.org/photos/11398013/medium.jpg?1508871108,
Parophrys vetulus,"Girard, 1854",English sole,reported,1982-06-09,J. M. Ellis,CMN,,,unobserved,,117545,,
Platichthys stellatus,"(Pallas, 1787)",starry flounder,reported,1982-06-09,J. M. Ellis,CMN,,,unobserved,,83170,,
Pleuronichthys coenosus,"Girard, 1854",C-O sole,confirmed,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,2013-06-22,Karolle Wall,observed,http://www.inaturalist.org/observations/4015105,228393,https://static.inaturalist.org/photos/4742064/medium.jpg?1472786381,
Oncorhynchus clarkii,"(Richardson, 1836)",cutthroat trout,reported,2000-01-01,Keith Erickson,"1999 / 2000 Urban Salmon Habitat Program Final Report. 2000. Keith Erickson. Galiano Conservancy Association. Galiano Island, BC",,,unobserved,,,,
Oncorhynchus keta,"(Walbaum in Artedi, 1792)",chum salmon,reported,2013-05-17,Andy Lamb & Donna Gibbs,PMLS,,,unobserved,,,,
