iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Balanophyllia elegans,51799,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Dendrophylliidae,,,Balanophyllia,Balanophyllia elegans,Balanophyllia (Balanophyllia) elegans,"Verrill, 1864",orange cup coral,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2019-05-04,Isabelle Côté,observed
Epizoanthus scotinus,429859,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,,Epizoanthus,Epizoanthus scotinus,Epizoanthus scotinus,"Wood, 1958",orange zoanthid,1981-05-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Bougainvillia,247135,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,,Bougainvillia,,Bougainvillia sp.,,cluster-tentacled jelly,2008-10-05,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Garveia annulata,63662,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,,Garveia,Garveia annulata,Garveia annulata,"Nutting, 1901",orange hydroid,1994-10-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Euphysa,247163,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,,Euphysa,,Euphysa spp.,,tiny red sausage jellies,1993-05-09,Andy Lamb & Donna Gibbs,DATA,2013-05-09,Karolle Wall,observed
Sarsia,51653,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,Sarsia,,Sarsia sp.,,thimble jellyfishes,2009-04-13,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Sarsia tubulosa,448319,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,Sarsia,Sarsia tubulosa,Sarsia tubulosa,"(M. Sars, 1835)",clapper hydroid,2009-04-13,Andy Lamb & Donna Gibbs,DATA,2011-05-18,Karolle Wall,observed
Hydractinia,203798,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,,Hydractinia,,Hydractinia sp.,"Fraser, 1922",barnacle fur hydroid,2008-03-22,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Schuchertinia allmanii,1118982,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,,Schuchertinia,Schuchertinia allmanii,Schuchertinia allmanii,"(Bonnevie, 1898)",snail fur hydroid,1985-12-08,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Schuchertinia milleri,854771,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,,Schuchertinia,Schuchertinia milleri,Schuchertinia milleri,"(Torrey, 1902)",hedge-hog hydroid,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Neoturris breviconis,491131,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,,Neoturris,Neoturris breviconis,Neoturris breviconis,"(Murbach & Shearer, 1902)",blob-top jelly,2007-09-29,Andy Lamb & Donna Gibbs,DATA,2011-05-18,Karolle Wall,observed
Stomotoca atra,255140,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,,Stomotoca,Stomotoca atra,Stomotoca atra,"L. Agassiz, 1862",hanging stomach jelly,,,DATA,2015-07-07,Karolle Wall,observed
Polyorchis penicillatus,51640,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,Polyorchis,Polyorchis penicillatus,Polyorchis penicillatus,"(Eschscholtz, 1829)",red-eye medusa,2009-04-04,Andy Lamb & Donna Gibbs,DATA,2010-07-09,Karolle Wall,observed
Similiclava nivea,873890,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Similiclavidae,,,Similiclava,Similiclava nivea,Similiclava nivea,"Calder, Choong & McDaniel, 2015",white hydroid,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Stylantheca papillosa,131205,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Stylasteridae,,,Stylantheca,Stylantheca papillosa,Stylantheca papillosa,"Fisher, 1931",encrusting hydrocoral,1985-12-08,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Ectopleura crocea,324497,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,Ectopleura,Ectopleura crocea,Ectopleura crocea,"(A. Agassiz, 1862)",bushy pink-mouth hydroid,1985-12-08,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Ectopleura marina,492142,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,Ectopleura,Ectopleura marina,Ectopleura marina,"(Torrey, 1902)",solitary pink-mouth hydroid,1981-05-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Tubularia indivisa,461660,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,Tubularia,Tubularia indivisa,Tubularia indivisa,"Linnaeus, 1758",giant pink-mouth hydroid,2008-03-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Aequorea victoria,325995,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,,Aequorea,Aequorea victoria,Aequorea victoria s.lat.,"(Murbach and Shearer, 1902)",water jelly,1985-07-29,Andy Lamb & Donna Gibbs,DATA,2017-05-30,Karolle Wall,observed
Aglaophenia,51218,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,,Aglaophenia,,Aglaophenia sp.,,ostrich-plume hydroid,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Clytia gregaria,195428,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,Clytia,Clytia gregaria,Clytia gregaria,"(A. Agassiz, 1862)",gregarious jellyfish,1976-06-20,Rita M. O'Clair,DATA,,,unobserved
Obelia,49536,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,Obelia,,Obelia sp.,,wine-glass hydroid,1968-08-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Orthopyxis,500952,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,Orthopyxis,,Orthopyxis sp.,,spider web hydroid,1994-09-10,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Rhizocaulus verticillatus,127158,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,,Rhizocaulus,Rhizocaulus verticillatus,Rhizocaulus verticillatus,"(Linnaeus, 1758)",horse-tail hydroid,2008-03-22,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Eutonina indicans,348053,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Eirenidae,,,Eutonina,Eutonina indicans,Eutonina indicans,"(Romanes, 1876)",aggregating jelly,1996-05-29,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Halecium beanii,668120,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,,Halecium,Halecium beanii,Halecium beani,"(Johnston, 1838)",candalabrum hydroid,2010-04-18,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Halecium densum,874028,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,,Halecium,Halecium densum,Halecium densum,"Calkins, 1899",dense bushy hydroid,2006-06-30,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Grammaria,874029,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Lafoeidae,,,Grammaria,,Grammaria sp.,,spindly embedded hydroid,2009-04-13,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Lafoea dumosa,423721,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Lafoeidae,,,Lafoea,Lafoea dumosa,Lafoea dumosa,"(Fleming, 1820)",muff hydroid,1999-10-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Melicertum octocostatum,550154,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Melicertidae,,,Melicertum,Melicertum octocostatum,Melicertum octocostatum,"(M. Sars, 1835)",eight-strand jelly,2009-04-13,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Mitrocoma cellularia,493918,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Mitrocomidae,,,Mitrocoma,Mitrocoma cellularia,Mitrocoma cellularia,"(A. Agassiz, 1865)",cross jellyfish,1928-07-20,"Fisheries Research Board of Canada, Nanaimo",DATA,,,unobserved
Plumularia setacea,209141,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,,Plumularia,Plumularia setacea,Plumularia setacea,"(Linnaeus, 1758)",glassy plume hydroid,1981-05-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Plumularia,60609,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,,Plumularia,,Plumularia sp.,,delicate plume hydroid,1994-09-10,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Sertularella,60656,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertularellidae,,,Sertularella,,Sertularella sp.,,garland hydroid,1985-08-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Abietinaria greenei,429858,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Abietinaria,Abietinaria greenei,Abietinaria greenei,"(Murray, 1860)",fibre-optic hydroid,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,observed
Abietinaria,55322,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Abietinaria,,Abietinaria sp.,,coarse sea fir hydroid,1981-05-31,Andy Lamb & Donna Gibbs,DATA,,,observed
Hydrallmania franciscana,873899,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Hydrallmania,Hydrallmania franciscana,Hydrallmania franciscana,"Nutting, 1899",loose spiral hydroid,2006-06-30,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Selaginopsis,701033,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Selaginopsis,,Selaginopsis sp.,,fish-bone hydroid,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Thuiaria,514521,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Thuiaria,,Thuiaria spp.,,embedded sea fir hydroids,2006-09-28,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Thuiaria thuja,873882,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,,Thuiaria,Thuiaria thuja,Thuiaria thuja,"(Linnaeus, 1758)",bottlebrush hydroid,2002-03-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Gonionemus vertens,501046,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Limnomedusae,,,Olindiidae,,,Gonionemus,Gonionemus vertens,Gonionemus vertens,"A. Agassiz, 1862",clinging jellyfish,,,DATA,2013-07-07,Karolle Wall,observed
Aegina citrea,256077,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Aeginidae,,,Aegina,Aegina citrea,Aegina citrea,"Eschscholtz, 1829",four tentacled jelly,2009-04-04,Andy Lamb & Donna Gibbs,DATA,,,observed
Solmissus,247208,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Cuninidae,,,Solmissus,,Solmissus sp.,,scalloped jelly,2009-04-04,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Nanomia bijuga,506580,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,Agalmatidae,,,Nanomia,Nanomia bijuga,Nanomia bijuga,"(delle Chiaje, 1841)",tailed jelly,1993-05-09,Andy Lamb & Donna Gibbs,DATA,2014-09-18,Karolle Wall,observed
Chelophyes appendiculata,549343,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,Diphyidae,Diphyinae,,Chelophyes,Chelophyes appendiculata,Chelophyes appendiculata,"(Eschscholtz, 1829)",,1928-11-09,Anita Brinckmann-Voss,DATA,,,unobserved
Muggiaea,201710,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,Diphyidae,Diphyinae,,Muggiaea,,Muggiaea sp.,,dwarf tailed jelly,2009-04-11,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Cyanea ferruginea,786996,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Cyaneidae,,,Cyanea,Cyanea ferruginea,Cyanea ferruginea,"Eschscholtz, 1929",lion's mane,1999-10-02,Andy Lamb & Donna Gibbs,DATA,2015-05-16,Karolle Wall,observed
Aurelia labiata,130235,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Ulmaridae,Aureliinae,,Aurelia,Aurelia labiata,Aurelia labiata,"Chamisso & Eysenhardt, 1821",moon jelly,1985-12-08,Andy Lamb & Donna Gibbs,DATA,2015-06-21,Karolle Wall,observed
Phacellophora camtschatica,52966,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Phacellophoridae,,,Phacellophora,Phacellophora camtschatica,Phacellophora camtschatica,"Brandt, 1838",egg-yolk jelly,1994-09-10,Andy Lamb & Donna Gibbs,DATA,2016-06-14,Karolle Wall,observed
Beroe abyssicola,1090851,Animalia,Ctenophora,,,Nuda,,,Beroida,,,Beroidae,,,Beroe,Beroe abyssicola,Beroe abyssicola,"Mortensen, 1927",transluscent comb jelly,1993-05-09,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Euplokamis dunlapae,873875,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Euplokamididae,,,Euplokamis,Euplokamis dunlapae,Euplokamis dunlapae,"Mills, 1987",oval sea gooseberry,1995-02-25,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Pleurobrachia bachei,117705,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Pleurobrachiidae,,,Pleurobrachia,Pleurobrachia bachei,Pleurobrachia bachei,"A. Agassiz, 1860",sea gooseberry,1981-05-31,Andy Lamb & Donna Gibbs,DATA,2011-05-17,Karolle Wall,observed
Bolinopsis infundibulum,492705,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,Bolinopsidae,,,Bolinopsis,Bolinopsis infundibulum,Bolinopsis infundibulum,"(O.F. Müller, 1776)",lobed sea gooseberry,1996-05-29,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Ampelisca hancocki,295404,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,Ampelisca hancocki,Ampelisca hancocki,"J. L. Barnard, 1954",,1961-06-22,,DATA,,,unobserved
Ampelisca lobata,295407,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,Ampelisca lobata,Ampelisca lobata,"Holmes, 1908",,1961-06-22,,DATA,,,unobserved
Ampelisca macrocephala unsocalae,313004,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,Ampelisca macrocephala,Ampelisca unsocalae,"J. L. Barnard, 1960",,1961-06-22,,DATA,,,unobserved
Ampithoe lacertosa,260501,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,Ampithoe,Ampithoe lacertosa,Ampithoe lacertosa,"Bate, 1858",sea lettuce sea flea,2009-02-14,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Caprella alaskana,508889,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,Caprella,Caprella alaskana,Caprella alaskana,"Mayer, 1903",Alaskan skeleton shrimp,2008-06-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Caprella mutica,64634,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,Caprella,Caprella mutica,Caprella mutica,"Schurin, 1935",Japanese skeleton shrimp,,,DATA,2010-08-21,Karolle Wall,observed
Photis brevipes,295828,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Photoidea,Photidae,,,Photis,Photis brevipes,Photis brevipes,"Shoemaker, 1942",,1961-06-22,,DATA,,,unobserved
Desdimelita californica,1128629,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,Desdimelita californica,Desdimelita californica,"(Alderman, 1936)",,1976-06-20,Rita M. O'Clair,DATA,,,unobserved
Desdimelita microdentata,1128632,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Hadzioidea,Melitidae,,,Desdimelita,Desdimelita microdentata,Desdimelita microdentata,"Jarrett & Bousfield, 1996",,1976-06-20,Rita M. O'Clair,DATA,,,unobserved
Chromopleustes oculatus,796029,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,Parapleustinae,,Chromopleustes,Chromopleustes oculatus,Chromopleustes oculatus,"(Holmes, 1908)",black-and-white sea flea,1995-02-24,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Gnathopleustes pachychaetus,1128633,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,,Gnathopleustes,Gnathopleustes pachychaetus,Gnathopleustes pachychaetus,"Bousfield & Hendrycks, 1995",,1976-06-20,Rita M. O'Clair,DATA,,,unobserved
Megalorchestia pugettensis,345335,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitroidea,Talitridae,,,Megalorchestia,Megalorchestia pugettensis,Megalorchestia pugettensis,"(Dana, 1853)",Puget Sound beach flea,,,DATA,2018-08-01,Andrew Simon,observed
Traskorchestia traskiana,130223,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitroidea,Talitridae,,,Traskorchestia,Traskorchestia traskiana,Traskorchestia traskiana,"(Stimpson, 1857)",Pacific beach hopper,,,DATA,2017-03-30,Andrew Simon,observed
Argulus pugettensis,873865,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,Arguloidea,Argulidae,,,Argulus,Argulus pugettensis,Argulus pugettensis,"Dana, 1853",surfperch fish louse,2007-09-29,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Neotrypaea californiensis,56659,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,,Callianassidae,,,Neotrypaea,Neotrypaea californiensis,Neotrypaea californiensis,"(Dana, 1854)",bay ghost shrimp,1995-02-23,Andy Lamb & Donna Gibbs,DATA,2019-04-20,Natalie Kennedy,observed
Cancer productus,47826,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Cancer,Cancer productus,Cancer productus,"Randall, 1840",red rock crab,1985-12-07,Andy Lamb & Donna Gibbs,DATA,2015-08-28,Andrew Simon,observed
Glebocarcinus oregonensis,429951,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Glebocarcinus,Glebocarcinus oregonensis,Glebocarcinus oregonensis,"(Dana, 1852)",pygmy rock crab,1986-04-08,,DATA,2016-04-08,Karolle Wall,observed
Metacarcinus gracilis,116721,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus gracilis,Metacarcinus gracilis,"(Dana, 1852)",graceful crab,1973-06-14,Philip Lambert,DATA,2016-08-17,Andrew Simon,observed
Metacarcinus magister,63697,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus magister,Metacarcinus magister,"(Dana, 1852)",dungeness crab,1996-05-29,Andy Lamb & Donna Gibbs,DATA,2018-05-29,Karolle Wall,observed
Telmessus cheiragonus,180391,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cheiragonoidea,Cheiragonidae,,,Telmessus,Telmessus cheiragonus,Telmessus cheiragonus,"(Tilesius, 1812)",helmet crab,1996-05-29,Andy Lamb & Donna Gibbs,DATA,2017-05-29,Karolle Wall,observed
Crangon,48817,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,,Crangon,,Crangon sp.,,shrimp,,,DATA,2018-05-31,Karolle Wall,observed
Metacrangon munita,459610,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,,Metacrangon,Metacrangon munita,Metacrangon munita,"(Dana, 1852)",coastal spinyhead,1928-07-18,,DATA,,,unobserved
Chorilia longipes,459559,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Pisinae,,Chorilia,Chorilia longipes,Chorilia longipes,"Dana, 1851",longhorn decorator crab,2009-04-04,Andy Lamb & Donna Gibbs,DATA,2019-05-04,Isabelle M. Côté,observed
Pugettia gracilis,130344,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Epialtinae,,Pugettia,Pugettia gracilis,Pugettia gracilis,"Dana, 1851",graceful kelp crab,,,DATA,2013-10-13,Peter Luckham,observed
Pugettia producta,49723,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,Epialtinae,,Pugettia,Pugettia producta,Pugettia producta,"(J.W. Randall, 1840)",northern kelp crab,1969-02-22,Andy Lamb & Donna Gibbs,DATA,2016-02-07,Peter Luckham,observed
Heptacarpus brevirostris,63679,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus brevirostris,Heptacarpus brevirostris,"(Dana, 1852)",stout coastal shrimp,1976-06-20,Rita M. O'Clair,DATA,2017-05-26,Karolle Wall,observed
Spirontocaris prionota,424249,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Spirontocaris,Spirontocaris prionota,Spirontocaris prionota,"(Stimpson, 1864)",deep blade shrimp,1986-09-30,,DATA,,,unobserved
Acantholithodes hispidus,450310,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Acantholithodes,Acantholithodes hispidus,Acantholithodes hispidus,"(Stimpson, 1860)",hairy-spined crab,1994-09-10,Andy Lamb & Donna Gibbs,DATA,,,observed
Cryptolithodes sitchensis,47395,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Cryptolithodes,Cryptolithodes sitchensis,Cryptolithodes sitchensis,"Brandt, 1853",umbrella crab,1999-10-02,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Cryptolithodes typicus,53845,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Cryptolithodes,Cryptolithodes typicus,Cryptolithodes typicus,"Brandt, 1848",butterfly crab,1985-07-29,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Hapalogaster mertensii,51635,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Hapalogaster,Hapalogaster mertensii,Hapalogaster mertensii,"Brandt, 1850",hairy crab,1969-02-22,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Lopholithodes mandtii,459608,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Lopholithodes,Lopholithodes mandtii,Lopholithodes mandtii,"Brandt, 1848",Puget Sound king crab,1994-02-27,Andy Lamb & Donna Gibbs,DATA,2016-02-07,Peter Luckham,observed
Oedignathus inermis,194566,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Oedignathus,Oedignathus inermis,Oedignathus inermis,"(Stimpson, 1860)",granular claw crab,1994-09-10,Andy Lamb & Donna Gibbs,DATA,1978-03-19,Rick Harbo,observed
Phyllolithodes papillosus,424896,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,Phyllolithodes,Phyllolithodes papillosus,Phyllolithodes papillosus,"Brandt, 1848",heart crab,1969-02-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Placetron wosnessenskii,459657,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Hapalogastridae,,,Placetron,Placetron wosnessenskii,Placetron wosnessenskii,"Schalfeew, 1892",scaled crab,1999-07-31,Andy Lamb & Donna Gibbs,DATA,,,unobserved
