iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Oncorhynchus kisutch,53692,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch,"(Walbaum, 1792)",coho salmon,2000-01-01,Keith Erickson,DATA,,,unobserved
Oncorhynchus tshawytscha,54191,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Salmoniformes,,,Salmonidae,Salmoninae,,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha,"(Walbaum, 1792)",chinook salmon,,,DATA,2017-02-12,Christina Robinson,observed
Agonopsis vulsa,180027,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,,Agonopsis,Agonopsis vulsa,Agonopsis vulsa,"(Jordan & Gilbert, 1880)",northern spearnose poacher,1995-02-25,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Odontopyxis trispinosa,226210,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Bathyagoninae,,Odontopyxis,Odontopyxis trispinosa,Odontopyxis trispinosa,"Lockington, 1880",pygmy poacher,2006-06-30,Andy Lamb & Donna Gibbs,DATA,2017-07-25,Karolle Wall,observed
Podothecus accipenserinus,228455,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Agonidae,Agoninae,,Podothecus,Podothecus accipenserinus,Podothecus accipenserinus,"(Tilesius, 1813)",sturgeon poacher,1995-02-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Artedius fenestralis,117527,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,Artedius fenestralis,Artedius fenestralis,"Jordan & Gilbert, 1883",padded sculpin,1968-08-02,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Artedius harringtoni,117528,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,Artedius harringtoni,Artedius harringtoni,"(Starks, 1896)",scalyhead sculpin,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2015-01-01,Peter Luckham,observed
Artedius lateralis,117529,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Artedius,Artedius lateralis,Artedius lateralis,"(Girard, 1854)",smoothhead sculpin,1985-12-08,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Asemichthys taylori,172639,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Asemichthys,Asemichthys taylori,Asemichthys taylori,"Gilbert, 1912",spinynose sculpin,1973-09-20,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Chitonotus pugetensis,216746,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Chitonotus,Chitonotus pugetensis,Chitonotus pugetensis,"(Steindachner, 1876)",roughback sculpin,1985-12-07,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Enophrys bison,117536,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Enophrys,Enophrys bison,Enophrys bison,"(Girard, 1854)",buffalo sculpin,1981-05-31,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Hemilepidotus hemilepidotus,221165,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Hemilepidotus,Hemilepidotus hemilepidotus,Hemilepidotus hemilepidotus,"(Tilesius, 1811)",red Irish lord,1985-07-29,Andy Lamb & Donna Gibbs,DATA,2015-05-16,Peter Luckham,observed
Icelinus tenuis,222146,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Icelinus,Icelinus tenuis,Icelinus tenuis,"Gilbert, 1890",spotfin sculpin,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,observed
Jordania zonope,222465,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Jordania,Jordania zonope,Jordania zonope,"Starks, 1895",longfin sculpin,1969-02-21,Andy Lamb & Donna Gibbs,DATA,2016-02-07,Peter Luckham,observed
Leptocottus armatus,49163,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Leptocottus,Leptocottus armatus,Leptocottus armatus,"Girard, 1854",Pacific staghorn sculpin,1982-06-09,K.D. Genereux,DATA,,,unobserved
Myoxocephalus polyacanthocephalus,47640,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Myoxocephalus,Myoxocephalus polyacanthocephalus,Myoxocephalus polyacanthocephalus,"(Pallas, 1814)",great sculpin,1982-06-09,K.D. Genereux,DATA,2019-08-29,Andrew Simon,observed
Oligocottus maculosus,67629,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Oligocottus,Oligocottus maculosus,Oligocottus maculosus,"Girard, 1856",tidepool sculpin,1960-12-22,Donald E. McAllister & M. O. Yesaki,DATA,2017-05-29,Karolle Wall,observed
Scorpaenichthys marmoratus,47638,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Scorpaenichthys,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,"(Ayres, 1854)",cabezon,1973-09-20,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Synchirus gilli,232130,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Synchirus,Synchirus gilli,Synchirus gilli,"Bean, 1890",manacled sculpin,1996-09-28,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Triglops macellus,232944,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Cottidae,,,Triglops,Triglops macellus,Triglops macellus,"(Bean, 1884)",roughspine sculpin,2013-10-20,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Nautichthys oculofasciatus,183019,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hemitripteridae,,,Nautichthys,Nautichthys oculofasciatus,Nautichthys oculofasciatus,"(Girard, 1858)",sailfin sculpin,1995-02-24,Andy Lamb & Donna Gibbs,DATA,2015-04-15,Karolle Wall,observed
Hexagrammos decagrammus,68596,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos decagrammus,Hexagrammos decagrammus,"(Pallas, 1810)",kelp greenling,1982-06-08,C. E. Kasserra,DATA,2017-07-07,Karolle Wall,observed
Hexagrammos stelleri,186849,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Hexagramminae,,Hexagrammos,Hexagrammos stelleri,Hexagrammos stelleri,"Tilesius, 1810",whitespotted greenling,1982-06-09,K.D. Genereux,DATA,2016-07-05,Karolle Wall,observed
Ophiodon elongatus,52539,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Ophiodontinae,,Ophiodon,Ophiodon elongatus,Ophiodon elongatus,"Girard, 1854",lingcod,1968-08-02,Andy Lamb & Donna Gibbs,DATA,2016-02-18,Peter Luckham,observed
Oxylebius pictus,48452,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Hexagrammidae,Oxylebiinae,,Oxylebius,Oxylebius pictus,Oxylebius pictus,"Gill, 1862",painted greenling,1971-08-21,Andy Lamb & Donna Gibbs,DATA,2019-05-05,Emily Adamczyk,observed
Liparis dennyi,180028,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,,Liparis,Liparis dennyi,Liparis dennyi,"Jordan & Starks, 1895",marbled snailfish,1995-02-23,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Liparis pulchellus,223899,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Liparidae,,,Liparis,Liparis pulchellus,Liparis pulchellus,"Ayres, 1855",showy snailfish,1995-02-23,Andy Lamb & Donna Gibbs,DATA,2013-10-13,Peter Luckham,observed
Psychrolutes sigalutes,229295,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Psychrolutidae,,,Psychrolutes,Psychrolutes sigalutes,Psychrolutes sigalutes,"(Jordan & Starks, 1895)",soft sculpin,,,DATA,2011-09-22,Karolle Wall,observed
Rhamphocottus richardsonii,51881,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Rhamphocottidae,,,Rhamphocottus,Rhamphocottus richardsonii,Rhamphocottus richardsonii,"Gônther, 1874",grunt sculpin,1981-05-31,Andy Lamb & Donna Gibbs,DATA,2010-07-14,Karolle Wall,observed
Sebastes auriculatus,117541,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes auriculatus,Sebastes auriculatus,"Girard, 1854",brown rockfish,1973-09-20,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Sebastes caurinus,68597,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes caurinus,Sebastes caurinus,"Richardson, 1844",copper rockfish,1968-08-02,Andy Lamb & Donna Gibbs,DATA,2016-05-06,Karolle Wall,observed
Sebastes diploproa,64448,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes diploproa,Sebastes diploproa,"(Gilbert, 1890)",splitnose rockfish,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Sebastes emphaeus,64468,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes emphaeus,Sebastes emphaeus,"(Starks, 1911)",Puget Sound rockfish,1993-08-16,Andy Lamb & Donna Gibbs,DATA,2015-05-16,Peter Luckham,observed
Sebastes flavidus,64477,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes flavidus,Sebastes flavidus,"(Ayres, 1862)",yellowtail rockfish,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Sebastes maliger,63386,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes maliger,Sebastes maliger,"(Jordan & Gilbert, 1880)",quillback rockfish,1982-06-08,C. E. Kasserra,DATA,2016-02-07,Peter Luckham,observed
Sebastes melanops,47760,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes melanops,Sebastes melanops,"Girard, 1856",black rockfish,1993-08-16,Andy Lamb & Donna Gibbs,DATA,,,unobserved
Sebastes nigrocinctus,230757,Animalia,Chordata,Vertebrata,,Actinopterygii,,,Scorpaeniformes,,,Sebastidae,Sebastinae,,Sebastes,Sebastes nigrocinctus,Sebastes nigrocinctus,"Ayres, 1859",tiger rockfish,1971-08-21,Andy Lamb & Donna Gibbs,DATA,,,unobserved
