scientificName,scientificNameAuthorship,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,hybrid,variety,provincial_status,national_status,global_status,linkName,linkTaxonID,provincial_status_norm,national_status_clean,national_status_norm,national_status_check,bc_list,residencyStatus,residencyStatusCheck
Cladonia crispata,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,,,,,,,Cladonia crispata,217086,NA,,NA,FALSE,NA,NA,NA
Cladonia macilenta var. bacillaris,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,,,,,,,Cladonia macilenta bacillaris,240034,NA,,NA,FALSE,NA,NA,NA
Cladonia polydactyla,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,,,,,,,Cladonia polydactyla,60542,NA,,NA,FALSE,NA,NA,NA
Clinostomum marginatum,,Animalia,Platyhelminthes,,,Trematoda,,,Diplostomida,,Schistosomatoidea,Clinostomidae,,,,,,,,Clinostomum marginatum,1123920,NA,,NA,FALSE,NA,NA,NA
Cliona chilensis,,Animalia,Porifera,,,Demospongiae,,,Clionaida,,,Clionaidae,,,,,,,,Cliona chilensis,196368,NA,,NA,FALSE,NA,NA,NA
Clupea harengus,,Animalia,Chordata,,,,,,Clupeiformes,,,Clupeidae,,,,,,,,Clupea harengus,97990,NA,,NA,FALSE,NA,NA,NA
Compsomyax subdiaphana,,Animalia,Mollusca,,,Bivalvia,,,Venerida,,Veneroidea,Veneridae,Clementiinae,,,,,,,Compsomyax subdiaphana,957357,NA,,NA,FALSE,NA,NA,NA
Costantinella micheneri,,Fungi,Ascomycota,,,Pezizomycetes,,,Pezizales,,,Morchellaceae,,,,,,,,Costantinella micheneri,382016,NA,,NA,FALSE,NA,NA,NA
Crepipatella lingulata,,Animalia,Mollusca,,,Gastropoda,,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,,,,,,,Crepipatella lingulata,143903,NA,,NA,FALSE,NA,NA,NA
Cronartium coleosporioides,,Fungi,Basidiomycota,,,Pucciniomycetes,,,Pucciniales,,,Cronartiaceae,,,,,,,,Cronartium coleosporioides,334454,NA,,NA,FALSE,NA,NA,NA
Cryptonatica affinis,,Animalia,Mollusca,,,Gastropoda,,,Littorinimorpha,,Naticoidea,Naticidae,Naticinae,,,,,,,Cryptonatica affinis,448169,NA,,NA,FALSE,NA,NA,NA
Cryptonemia borealis,,Plantae,Rhodophyta,,,Florideophyceae,,,Halymeniales,,,Halymeniaceae,,,,,,,,Cryptonemia borealis,504857,NA,,NA,FALSE,NA,NA,NA
Curreya pithyophila,,Fungi,Ascomycota,,,Dothideomycetes,,,Pleosporales,,,Cucurbitariaceae,,,,,,,,Curreya pithyophila,1612339,NA,,NA,FALSE,NA,NA,NA
Cyanoplax dentiens,,Animalia,Mollusca,,,Polyplacophora,,,Chitonida,,Mopalioidea,Tonicellidae,Tonicellinae,,,,,,,Cyanoplax dentiens,71241,NA,,NA,FALSE,NA,NA,NA
Cyphocaris challengeri,,Animalia,Arthropoda,,,Malacostraca,,,Amphipoda,,Lysianassoidea,Cyphocarididae,,,,,,,,Cyphocaris challengeri,660847,NA,,NA,FALSE,NA,NA,NA
Dasya plumosa,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Dasyaceae,Dasyoideae,,,,,,,Dasya plumosa,1600895,NA,,NA,FALSE,NA,NA,NA
Delectopecten vancouverensis,,Animalia,Mollusca,,,Bivalvia,,,Pectinida,,Pectinoidea,Pectinidae,Camptonectinae,,,,,,,Delectopecten vancouverensis,882077,NA,,NA,FALSE,NA,NA,NA
Dendronotus frondosus,,Animalia,Mollusca,,,Gastropoda,,,Nudibranchia,,Dendronotoidea,Dendronotidae,,,,,,,,Dendronotus frondosus,423919,NA,,NA,FALSE,NA,NA,NA
Desdimelita californica,,Animalia,Arthropoda,,,Malacostraca,,,Amphipoda,,Hadzioidea,Melitidae,,,,,,,,Desdimelita californica,1128629,NA,,NA,FALSE,NA,NA,NA
Deshayesiella spicata,,Animalia,Mollusca,,,Polyplacophora,,,Lepidopleurida,,,Protochitonidae,,,,,,,,Deshayesiella spicata,932407,NA,,NA,FALSE,NA,NA,NA
Dicranum condensatum,,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,,,,,,Dicranum condensatum,161854,NA,,NA,FALSE,NA,NA,NA
Dictyosporium pelagicum,,Fungi,Ascomycota,,,Dothideomycetes,,,Pleosporales,,,Dictyosporiaceae,,,,,,,,Dictyosporium pelagicum,350677,NA,,NA,FALSE,NA,NA,NA
Ditrichocorycaeus anglicus,,Animalia,Arthropoda,,,Copepoda,,,Cyclopoida,,,Corycaeidae,,,,,,,,Ditrichocorycaeus anglicus,1196579,NA,,NA,FALSE,NA,NA,NA
Ditrichum zonatum,,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,,,,,,,Ditrichum zonatum,161974,NA,,NA,FALSE,NA,NA,NA
Eleocharis mamillata ssp.,,Plantae,Tracheophyta,,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,,,,,,Eleocharis mamillata,162249,NA,,NA,FALSE,NA,NA,NA
Elphidium bartletti,,Chromista,Foraminifera,,,Globothalamea,,,Rotaliida,,,Elphidiidae,,,,,,,,Elphidium bartletti,,NA,,NA,FALSE,NA,NA,NA
Ennucula tenuis,,Animalia,Annelida,,,Clitellata,,,Enchytraeida,,,Enchytraeidae,,,,,,,,Enchytraeus kincaidi,0,NA,,NA,FALSE,NA,NA,NA
Entomobrya clitellaria,,Animalia,Mollusca,,,Bivalvia,,,Nuculida,,Nuculoidea,Nuculidae,,,,,,,,Ennucula tenuis,202045,NA,,NA,FALSE,NA,NA,NA
Eubranchulus rupium,,Animalia,Mollusca,,,Gastropoda,,,Nudibranchia,,Fionoidea,Eubranchidae,,,,,,,,Eubranchulus rupium,1668630,NA,,NA,FALSE,NA,NA,NA
Eudorella pacifica,,Animalia,Arthropoda,,,Malacostraca,,,Cumacea,,,Leuconidae,,,,,,,,Eudorella pacifica,295960,NA,,NA,FALSE,NA,NA,NA
Eulachnus rileyi,,Animalia,Arthropoda,,,Insecta,,,Hemiptera,,Aphidoidea,Aphididae,Lachninae,,,,,,,Eulachnus rileyi,532779,NA,,NA,FALSE,NA,NA,NA
Euphrasia officinalis,,Plantae,Tracheophyta,,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,,,,,,,Euphrasia officinalis,866675,NA,,NA,FALSE,NA,NA,NA
Euphrosine bicirrata,,Animalia,Annelida,,,Polychaeta,,,Amphinomida,,,Euphrosinidae,,,,,,,,Euphrosine bicirrata,942530,NA,,NA,FALSE,NA,NA,NA
Eurhynchiastrum diversifolium,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,,,,,,Eurhynchiastrum diversifolium,1544827,NA,,NA,FALSE,NA,NA,NA
Eusirus columbianus,,Animalia,Arthropoda,,,Malacostraca,,,Amphipoda,,Eusiroidea,Eusiridae,,,,,,,,Eusirus columbianus,1244099,NA,,NA,FALSE,NA,NA,NA
Euthora cristata,,Plantae,Rhodophyta,,,Florideophyceae,,,Gigartinales,,,Kallymeniaceae,,,,,,,,Euthora cristata,564959,NA,,NA,FALSE,NA,NA,NA
Fargesia murielae,,Plantae,Tracheophyta,,,Liliopsida,,,Poales,,,Poaceae,Bambusoideae,,,,,,,Fargesia murielae,480755,NA,,NA,FALSE,NA,NA,NA
Fissidens viridulus,,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Fissidentaceae,,,,,,,,Fissidens viridulus,401904,NA,,NA,FALSE,NA,NA,NA
Frullania chilcootiensis,,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Porellales,,,Frullaniaceae,,,,,,,,Frullania chilcootiensis,163094,NA,,NA,FALSE,NA,NA,NA
Fryeella gardneri,,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Fryeellaceae,,,,,,,,Fryeella gardneri,500286,NA,,NA,FALSE,NA,NA,NA
Gelidium purpurascens,,Plantae,Rhodophyta,,,Florideophyceae,,,Gelidiales,,,Gelidiaceae,,,,,,,,Gelidium purpurascens,339022,NA,,NA,FALSE,NA,NA,NA
Gentiana septemfida,,Plantae,Tracheophyta,,,Magnoliopsida,,,Gentianales,,,Gentianaceae,,,,,,,,Gentiana septemfida,153938,NA,,NA,FALSE,NA,NA,NA
Geoglossum nigritum,,Fungi,Ascomycota,,,Geoglossomycetes,,,Geoglossales,,,Geoglossaceae,,,,,,,,Geoglossum nigritum,194559,NA,,NA,FALSE,NA,NA,NA
Gloiocladia fryeana,,Plantae,Rhodophyta,,,Florideophyceae,,,Rhodymeniales,,,Faucheaceae,,,,,,,,Gloiocladia fryeana,865801,NA,,NA,FALSE,NA,NA,NA
Glycinde picta,,Animalia,Annelida,,,Polychaeta,,,Phyllodocida,,,Goniadidae,,,,,,,,Glycinde picta,339270,NA,,NA,FALSE,NA,NA,NA
Golfingia margaritacea,,Animalia,Sipuncula,,,Sipunculidea,,,Golfingiiformes,,,Golfingiidae,,,,,,,,Golfingia margaritacea,0,NA,,NA,FALSE,NA,NA,NA
Goniada brunnea,,Animalia,Annelida,,,Polychaeta,,,Phyllodocida,,,Goniadidae,,,,,,,,Goniada brunnea,339269,NA,,NA,FALSE,NA,NA,NA
Gracilaria pacifica,,Plantae,Rhodophyta,,,Florideophyceae,,,Gracilariales,,,Gracilariaceae,,,,,,,,Gracilaria pacifica,497324,NA,,NA,FALSE,NA,NA,NA
Grandidierella japonica,,Animalia,Arthropoda,,,Malacostraca,,,Amphipoda,,Aoroidea,Aoridae,,,,,,,,Grandidierella japonica,209039,NA,,NA,FALSE,NA,NA,NA
Griffithsia pacifica,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Wrangeliaceae,,,,,,,,Griffithsia pacifica,326993,NA,,NA,FALSE,NA,NA,NA
Grimmia nivalis,,Plantae,Bryophyta,,,Bryopsida,,,Grimmiales,,,Grimmiaceae,,,,,,,,Grimmia nivalis,1152922,NA,,NA,FALSE,NA,NA,NA
Haligena elaterophora,,Fungi,Ascomycota,,,Sordariomycetes,,,Microascales,,,Halosphaeriaceae,,,,,,,,Haligena elaterophora,1223101,NA,,NA,FALSE,NA,NA,NA
Halokirschsteiniothelia maritima,,Fungi,Ascomycota,,,Dothideomycetes,,,Mytilinidiales,,,Mytilinidiaceae,,,,,,,,Halokirschsteiniothelia maritima,1362443,NA,,NA,FALSE,NA,NA,NA
Harpiniopsis fulgens,,Animalia,Arthropoda,,,Malacostraca,,,Amphipoda,,Haustorioidea,Phoxocephalidae,Harpiniinae,,,,,,,Harpiniopsis fulgens,295582,NA,,NA,FALSE,NA,NA,NA
Heriades carinata,,Animalia,Arthropoda,,,Insecta,,,Hymenoptera,,Apoidea,Megachilidae,Megachilinae,,,,,,,Heriades carinata,203204,NA,,NA,FALSE,NA,NA,NA
Hesperodiaptomus shoshone,,Animalia,Arthropoda,,,Copepoda,,,Calanoida,,,Diaptomidae,,,,,,,,Hesperodiaptomus shoshone,221244,NA,,NA,FALSE,NA,NA,NA
Heterarthrus vagans,,Animalia,Arthropoda,,,Insecta,,,Hymenoptera,,Tenthredinoidea,Tenthredinidae,Heterarthrinae,,,,,,,Heterarthrus vagans,793601,NA,,NA,FALSE,NA,NA,NA
Heterosiphonia densiuscula,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Dasyaceae,Heterosiphonioideae,,,,,,,Heterosiphonia densiuscula,1511669,NA,,NA,FALSE,NA,NA,NA
Heuchera cylindrica,,Plantae,Tracheophyta,,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,,,,,,,Heuchera cylindrica,77403,NA,,NA,FALSE,NA,NA,NA
Hiatella arctica,,Animalia,Mollusca,,,Bivalvia,,,Adapedonta,,Hiatelloidea,Hiatellidae,,,,,,,,Hiatella arctica,117617,NA,,NA,FALSE,NA,NA,NA
Hippasteria californica,,Animalia,Echinodermata,,,Asteroidea,,,Valvatida,,,Goniasteridae,Hippasterinae,,,,,,,Hippasteria californica,293170,NA,,NA,FALSE,NA,NA,NA
Hollenbergia subulata,,Plantae,Rhodophyta,,,Florideophyceae,,,Ceramiales,,,Ceramiaceae,Ceramioideae,,,,,,,Hollenbergia subulata,504862,NA,,NA,FALSE,NA,NA,NA
Holopedium gibberum,,Animalia,Arthropoda,,,Branchiopoda,,,Diplostraca,,,Holopediidae,,,,,,,,Holopedium gibberum,483820,NA,,NA,FALSE,NA,NA,NA
Holophryxus alaskensis,,Animalia,Arthropoda,,,Malacostraca,,,Isopoda,,Cryptoniscoidea,Dajidae,,,,,,,,Holophryxus alaskensis,1255975,NA,,NA,FALSE,NA,NA,NA
Homalothecium lutescens,,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,,,,,,,Homalothecium lutescens,461299,NA,,NA,FALSE,NA,NA,NA
Humicola alopallonella,,Fungi,Ascomycota,,,Sordariomycetes,,,Sordariales,,,Chaetomiaceae,,,,,,,,Humicola alopallonella,1223310,NA,,NA,FALSE,NA,NA,NA
Huperzia haleakalae,,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,,,,,,,Huperzia haleakalae,144224,NA,,NA,FALSE,NA,NA,NA
Hymenoscyphus fraternus,,Fungi,Ascomycota,,,Leotiomycetes,,,Helotiales,,,Helotiaceae,,,,,,,,Hymenoscyphus fraternus,1198527,NA,,NA,FALSE,NA,NA,NA
Hymenostylium recurvirostrum,,Plantae,Bryophyta,,,Bryopsida,,,Pottiales,,,Pottiaceae,,,,,,,,Hymenostylium recurvirostrum,281954,NA,,NA,FALSE,NA,NA,NA
Idiasta maritima,,Animalia,Arthropoda,,,Insecta,,,Hymenoptera,,Ichneumonoidea,Braconidae,Alysiinae,,,,,,,Idiasta maritima,299235,NA,,NA,FALSE,NA,NA,NA
Ilybiosoma seriatum,,Animalia,Arthropoda,,,Insecta,,,Coleoptera,,Dytiscoidea,Dytiscidae,Agabinae,,,,,,,Ilybiosoma seriatum,456194,NA,,NA,FALSE,NA,NA,NA
Ilybius vancouverensis,,Animalia,Arthropoda,,,Insecta,,,Coleoptera,,Dytiscoidea,Dytiscidae,Agabinae,,,,,,,Ilybius vancouverensis,456201,NA,,NA,FALSE,NA,NA,NA
Islandiella helenae,,Chromista,Foraminifera,,,Globothalamea,,,Rotaliida,,,Cassidulinidae,,,,,,,,Islandiella helenae,,NA,,NA,FALSE,NA,NA,NA
Jungermannia exsertifolia,,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Jungermanniaceae,,,,,,,,Jungermannia exsertifolia,164299,NA,,NA,FALSE,NA,NA,NA
Jungermannia schusteriana,,Plantae,Marchantiophyta,,,Jungermanniopsida,,,Jungermanniales,,,Solenostomataceae,,,,,,,,Jungermannia schusteriana,0,NA,,NA,FALSE,NA,NA,NA
Katharina tunicata,,Animalia,Mollusca,,,Polyplacophora,,,Chitonida,,Mopalioidea,Mopaliidae,Mopaliinae,,,,,,,Katharina tunicata,47632,NA,,NA,FALSE,NA,NA,NA
Keenaea centifilosa,,Animalia,Mollusca,,,Bivalvia,,,Cardiida,,Cardioidea,Cardiidae,Nemocardiinae,,,,,,,Keenaea centifilosa,962184,NA,,NA,FALSE,NA,NA,NA
Keratella serrulata,,Animalia,Rotifera,,,Eurotatoria,,,Ploima,,,Brachionidae,,,,,,,,Keratella serrulata,256179,NA,,NA,FALSE,NA,NA,NA
Keratella ticinensis,,Animalia,Rotifera,,,Eurotatoria,,,Ploima,,,Brachionidae,,,,,,,,Keratella ticinensis,1623947,NA,,NA,FALSE,NA,NA,NA
Kurtiella tumida,,Animalia,Mollusca,,,Bivalvia,,,Galeommatida,,Galeommatoidea,Lasaeidae,Montacutinae,,,,,,,Kurtiella tumida,768354,NA,,NA,FALSE,NA,NA,NA
Laccobius carri,,Animalia,Arthropoda,,,Insecta,,,Coleoptera,,Hydrophiloidea,Hydrophilidae,Hydrophilinae,,,,,,,Laccobius carri,222557,NA,,NA,FALSE,NA,NA,NA
Lampetra planeri,,Animalia,Chordata,,,Petromyzonti,,,Petromyzontiformes,,,Petromyzontidae,Lampetrinae,,,,,,,Lampetra planeri,103978,NA,,NA,FALSE,NA,NA,NA
Laonice cirrata,,Animalia,Annelida,,,Polychaeta,,,,,,Spionidae,,,,,,,,Laonice cirrata,672000,NA,,NA,FALSE,NA,NA,NA
Lasiobolus ciliatus,,Fungi,Ascomycota,,,Pezizomycetes,,,Pezizales,,,Ascodesmidaceae,,,,,,,,Lasiobolus ciliatus,1647191,NA,,NA,FALSE,NA,NA,NA
Laticorophium baconi,,Animalia,Arthropoda,,,Malacostraca,,,Amphipoda,,Corophioidea,Corophiidae,Corophiinae,,,,,,,Laticorophium baconi,260641,NA,,NA,FALSE,NA,NA,NA
Latisipho hallii,,Animalia,Mollusca,,,Gastropoda,,,Neogastropoda,,Buccinoidea,Buccinidae,,,,,,,,Latisipho hallii,1318691,NA,,NA,FALSE,NA,NA,NA
Lepadella ovalis,,Animalia,Rotifera,,,Eurotatoria,,,Ploima,,,Lepadellidae,,,,,,,,Lepadella ovalis,293325,NA,,NA,FALSE,NA,NA,NA
Lepidozona retiporosa,,Animalia,Mollusca,,,Polyplacophora,,,Chitonida,,Chitonoidea,Ischnochitonidae,,,,,,,,Lepidozona retiporosa,429867,NA,,NA,FALSE,NA,NA,NA
Lepidozona willetti,,Animalia,Mollusca,,,Polyplacophora,,,Chitonida,,Chitonoidea,Ischnochitonidae,,,,,,,,Lepidozona willetti,1174752,NA,,NA,FALSE,NA,NA,NA
