Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Hypomyces cervinigenus,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,,,,,observed,8-Nov-14,Ian Gibson,Mycoblitz Metch Wilderness 14 ,,,,,,Metchosin Wilderness Park;,,FUN
Hypomyces lactifluorum,,lobster mushroom,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Hypocreomycetidae,,Hypocreales,,,Hypocreaceae,,,,,observed,8-Nov-14,Ian Gibson,Mycoblitz Metch Wilderness 14 ,,,,,,Metchosin Wilderness Park;,,FUN
Hypoxylon,,,Fungi,Ascomycota,Pezizomycotina,,Sordariomycetes,Xylariomycetidae,,Xylariales,,,Xylariaceae,,,,,observed,27-Apr-13,J Holkko/J Pendray,Birding Team 13i,,,,,,Metchosin;,,FUN
Hypoxylon fuscum,,,Fungi,Ascomycota,,,Sordariomycetes,,,Xylariales,,,Hypoxylaceae,,,,,observed,4-Nov-17,Vandegrift/Callan,Glinz Lake Foray 17,,,,,,Camp Thunderbird;,,FUN
Hypoxylon multiforme,,,Fungi,Ascomycota,,,Sordariomycetes,,,Xylariales,,,Hypoxylaceae,,,,,observed,28-Apr-18,Kent Brothers,M Crown 62 Brothers,,,,,,Metch crown lands sec 62;D. Scoparium,,FUN
Hypoxylon novemexicanum,,,Fungi,Ascomycota,,,Sordariomycetes,,,Xylariales,,,Hypoxylaceae,,,,,observed,4-Nov-17,Brenda Callan,Pearson Myco 2017,,,,,,Pearson College ;,,FUN
Imshaugia aleurites,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,,,observed,24-May-14,Ryan Batten,Metchosin General 14,,,,,,Pearson College;,,LIC
Inocybe albodisca,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,8-Nov-14,Kem Luther,Mycoblitz Boys Girls Club 14,,,,,,Boys and Girls Club Metchosin;,,FUN
Inocybe amblyospora,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Oluna Ceska,SVIMS Van der Meer 12,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe assimilata,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Oluna Ceska,SVIMS Van der Meer 12,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe calamistrata,,scaly fiber head,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,8-Nov-14,Andy MacKinnon,Mycoblitz Blinkhorn 14,,,,,,Blinkhorn Lake Park and mountain;,,FUN
Inocybe castanea,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,24-May-14,Oluna Ceska,Glinz Lake 14,,,,,,Camp Thunderbird;,,FUN
Inocybe chondroderma,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,8-Nov-14,Oluna Ceska,Mycoblitz Pearson 14,,,,,,"Pearson College grounds;side of outcrops, logs and stumps, forest floor, highly variable",,FUN
Inocybe cinnamomea,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Inocybaceae,,,,,observed,3-Nov-18,Leanne Gallon,Mycoblitz Thunderbird 18,,,,,,YMCA Camp Thunderbird;,,FUN
Inocybe flocculosa,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Oluna Ceska,SVIMS Van der Meer 12,,,,,,"Van der Meer (Camosun) property;side of outcrops, logs and stumps, forest floor",,FUN
Inocybe fuscidula,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Dorothea Haeussler,SVIMS Van der Meer 12,,,,,,"Van der Meer (Camosun) property;side of outcrops, logs and stumps, forest floor",,FUN
Inocybe fuscodisca,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Richard Winder,Winder Blinkhorn 12,,,,,,Blinkhorn Lake Park and mountain;,,FUN
Inocybe geophylla,,white fiber head,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Richard Winder,Winder Blinkhorn 12,,,,,,Blinkhorn Lake Park and mountain;,,FUN
Inocybe glabrodisca,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Dorothea Haeussler,SVIMS Van der Meer 12,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe lacera,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Richard Winder,Winder Blinkhorn 12,,,,,,Blinkhorn Lake Park and mountain;,,FUN
Inocybe lanuginosa,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,24-May-14,Oluna Ceska,Camosun 14,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe leiocephala,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,30-Apr-11,Oluna Ceska,Matheson Lake fungal foray 11,,,,,,Matheson Park;,,FUN
Inocybe lilacina,,lilac inocybe,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,27-Apr-13,Oluna Ceska,Camosun Fungi 13,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe mixtilis,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Dorothea Haeussler,SVIMS Van der Meer 12,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe nitidiuscula,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,30-Apr-11,Oluna Ceska,Van der Meer fungal foray 11,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe salicis,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,5-May-12,Oluna Ceska,SVIMS Van der Meer 12,,,,,,Van der Meer (Camosun) property;wood,,FUN
Inocybe sororia,,corn silk inocybe,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,3-Nov-18,Luke Mikler,Mycoblitz Blinkhorn 18,,,,,,Blinkhorn Lake;trees in forest,,FUN
Inocybe stellatospora,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,24-May-14,Oluna Ceska,Camosun 14,,,,,,Van der Meer (Camosun) property;trees in forest,,FUN
Inocybe subcarpta,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,27-Apr-13,Oluna Ceska,Camosun Fungi 13,,,,,,Van der Meer (Camosun) property;,,FUN
Inocybe xanthomelas,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,,,observed,24-May-14,Oluna Ceska,Camosun 14,,,,,,Van der Meer (Camosun) property;,,FUN
Ischnoderma resinosum,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,,,observed,5-Nov-16,Kem Luther,Mycoblitz Pearson 16,,,,,,Pearson College grounds;outcrop face,,FUN
Jahnoporus hirtus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Albatrellaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Kretzschmaria deusta,,,Fungi,Ascomycota,,,Sordariomycetes,,,Xylariales,,,Xylariaceae,,,,,observed,24-May-14,Oluna Ceska,Camosun 14,,,,,,Van der Meer (Camosun) property;,,FUN
Kuehneromyces lignicola,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Strophariaceae,,,,,observed,24-May-14,Oluna Ceska,Glinz Lake 14,,,,,,Camp Thunderbird;,,FUN
Laccaria amethysteo-occidentalis,,western amethyst laccaria,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Hydnangiaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Laccaria bicolor,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hydnangiaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Laccaria laccata,,deceiver,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Hydnangiaceae,,,,,observed,5-May-12,Oluna Ceska,SVIMS Van der Meer 12,,,,,,Van der Meer (Camosun) property;,,FUN
Laccaria proxima,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hydnangiaceae,,,,,observed,3-Nov-18,Leanne Gallon,Mycoblitz Thunderbird 18,,,,,,YMCA Camp Thunderbird;,,FUN
Lachnum fasciculare,,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,Leotiomycetidae,,Helotiales,,,Lachnaceae,,,,,unobserved,5-May-18,Oluna Ceska,SVIMS Glinz Lake 18,,,,,,"Glinz Lake, Camp Thunderbird;odd green colored one found as well",,FUN
Lachnum impudicum,,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,Leotiomycetidae,,Helotiales,,,Lachnaceae,,,,,observed,27-Apr-13,Oluna Ceska,Camosun Fungi 13,,,,,,Van der Meer (Camosun) property;,,FUN
Lachnum pudibundum,,,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,Leotiomycetidae,,Helotiales,,,Lachnaceae,,,,,observed,13-Jun-15,Oluna Ceska,Van der Meer 15,,,,,,Camosun Van der Meer property;concrete,,FUN
Lachnum virgineum,,stalked hairy fairy cup,Fungi,Ascomycota,Pezizomycotina,,Leotiomycetes,Leotiomycetidae,,Helotiales,,,Lachnaceae,,,,,observed,5-May-12,Oluna Ceska,SVIMS Van der Meer 12,,,,,,Van der Meer (Camosun) property;concrete pipe,,FUN
Lactarius cf rufus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Camas Hill Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Lactarius deliciosus,,saffron milkcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Lactarius hepaticus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,8-Nov-14,Paul Kroger,Mycoblitz Boys Girls Club 14,,,,,,"Boys and Girls Club Metchosin;exposed outcrop faces, boulders",,FUN
Lactarius kauffmanii,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,7-Nov-15,Kem Luther,Luther Sec 25,,,,,,Section 25;,,FUN
Lactarius luculentus,,orange milkcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Lactarius occidentalis,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,27-Apr-13,Oluna Ceska,Camosun Fungi 13,,,,,,"Van der Meer (Camosun) property;exposed outcrop faces, boulders",,FUN
Lactarius olympianus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,4-Nov-17,Luke Mikler,VanderMeer 17,,,,,,Van der Meer (Camosun) property;,,FUN
Lactarius pallescens,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,8-Nov-14,Ian Gibson,Mycoblitz Metch Wilderness 14 ,,,,,,"Metchosin Wilderness Park;exposed outcrop faces, boulders",,FUN
Lactarius pseudomucidus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Lactarius rubrilacteus,,red-bleeding milk cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Lactarius scrobiculatus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,8-Nov-14,Ian Gibson,Mycoblitz Metch Wilderness 14 ,,,,,,Metchosin Wilderness Park;open rock outcrops and rocks,,FUN
Lactarius subflammeus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,5-May-12,Richard Winder,Winder Blinkhorn 12,,,,,,Blinkhorn Lake Park and mountain;open rock outcrops and rocks,,FUN
Lactarius subviscidus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,8-Nov-14,Oluna Ceska,Mycoblitz Pearson 14,,,,,,Pearson College grounds;open rock outcrops and rocks,,FUN
Lactarius uvidus,,purple stain,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,,,observed,8-Nov-14,Kem Luther,Mycoblitz Boys Girls Club 14,,,,,,Boys and Girls Club Metchosin;,,FUN
Laetiporus conifericola,,conifer chicken of the woods,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Polyporales,,,Polyporaceae,,,,,observed,4-Nov-17,Ian Gibson,Pearson Myco 2017,,,,,,Pearson Colege grounds;rock faces and ledges; synonym: Homalothecium pinnatifidum,,FUN
Laricifomes officinalis,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,,,observed,13-Jun-15,Ben Hircock,Section 95 Roemer 15,,,,,,Section 95;rock faces and ledges; synonym: Homalothecium pinnatifidum,,FUN
Lecanora albellula,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,27-Apr-13,H Roemer/R. Batten,Roemer Group 13,,,,,,Mary Hill/DND;,,LIC
Lecanora bicincta,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,27-Apr-13,H Roemer/R. Batten,Roemer Group 13,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,LIC
Lecanora campestris,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,unobserved,1-Jan-08,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,LIC
Lecanora cenisia,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,9-May-16,Ryan Batten,William Head 16,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,LIC
Lecanora confusa,,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,9-May-16,Ryan Batten,William Head 16,,,,,,William Head Prison;,,LIC
Lecanora contractula,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,24-May-14,Ryan Batten,Metchosin General 14,,,,,,William Head Prison;,,LIC
Lecanora expallens,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,24-May-14,Ryan Batten,Metchosin General 14,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,LIC
Lecanora farinaria,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,24-May-14,Ryan Batten,Metchosin General 14,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,LIC
Lecanora hagenii ,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,27-Apr-13,H Roemer/R. Batten,Roemer Group 13,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,LIC
Lecanora hybocarpa,,bumpy rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,27-Apr-13,H Roemer/R. Batten,Roemer Group 13,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,LIC
Lecanora muralis,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,27-Apr-13,H Roemer/R. Batten,Roemer Group 13,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,LIC
Lecanora pacifica,,multicolored rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,30-Apr-11,Jeremy Tatum/Bill Savale,Tatum Savale 11,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,LIC
Lecanora poliophaea,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,24-May-14,Ryan Batten,Metchosin General 14,,,,,,Devonian Park;,,LIC
Lecanora polytropa,,granite-speck rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,27-Apr-13,Daryl Thompson,Camas Hill 13,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,LIC
Lecanora rupicola,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,30-Apr-11,Gerry Ansell,Ansell Devonian 11,,,,,,Camas Hill and Metchosin;,,LIC
Lecanora straminea,,grey lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,unobserved,1-Jan-08,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,LIC
Lecanora symmicta,,fused rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,5-May-12,Ryan Batten,Roemer Mary Hill 12,,,,,,Devonian Park;,,LIC
Lecanora xylophila,,driftwood rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,,,,observed,5-May-12,Ryan Batten,Roemer Mary Hill 12,,,,,,Mary Hill/DND;,,LIC
Lentaria pinicola,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Lentariaceae,,,,,observed,5-Nov-16,Kem Luther,Mycoblitz Pearson 16,,,,,,Pearson College grounds;,,FUN
Lentinellus ursinus,,bear lentinus,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Auriscalpiaceae,,,,,observed,13-Jun-15,Andy MacKinnon,MacKinnon Section 25,,,,,,"Metchosin Wilderness Park, Sec 25;",,FUN
Lepiota cristata,,malodorous lepiota ,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,,,observed,7-Nov-15,Oluna Ceska,Ceska Van der Meer,,,,,,Van der Meer (Camosun) property;bark/branches,,FUN
Lepiota felina,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,,,observed,3-Nov-18,Luke Mikler,Mycoblitz Blinkhorn 18,,,,,,Blinkhorn Lake;,,FUN
Lepiota magnispora,,shaggy-stalked parasol,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,,,observed,9-Nov-13,Andy MacKinnon,Camas Hill Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Lepista inversa,,orange funnel cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Tricholomataceae,,,,,observed,7-Nov-15,Kem Luther,Luther Sec 25,,,,,,Section 25;bark/branches,,FUN
Lepista nuda,,blewit,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Tricholomataceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;bark/branches,,FUN
Lepraria caesioalba,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,,observed,5-May-12,Ryan Batten,Roemer Mary Hill 12,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,LIC
Lepraria incana,,dust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,,observed,30-Apr-11,Daryl Thompson,Thompson Witty's 11,,,,,,Mary Hill/DND;,,LIC
Lepraria jackii,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,,observed,18-Mar-16,Ryan Batten,Matheson targeted 16,,,,,,Matheson Lake;,,LIC
Lepraria torii,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,,,,observed,24-May-14,Ryan Batten,Metchosin General 14,,,,,,Witty's Lagoon;,,LIC
Leptogium gelatinosum,,Petaled Vinyl,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,,,observed,7-Mar-17,Ryan Batten,Batten Tower Point 17,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,LIC
Leptogium intermedium,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,,,observed,9-May-16,Ryan Batten,Albert Head 16,,,,,,Tower Point;,,LIC
Leptogium nanum,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,,,observed,27-Apr-13,H Roemer/R. Batten,Roemer Group 13,,,,,,Albert Head DND;,,LIC
Leptogium platynum,,Batwing vinyl,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,,,unobserved,n.d.,CDC ? See Obs Notes,CDC Extractions,,,,,,Metchosin ? see Compiler Notes;Hand-collecting; Pantraps; Berlese Extractions;adult ,,LIC
Leptogium polycarpum,,Peacock vinyl,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,,,unobserved,n.d.,CDC ? See Obs Notes,CDC Extractions,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,LIC
Leptogium pseudofurfuraceum ,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,,,observed,9-May-16,Ryan Batten,William Head 16,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,LIC
Leptogium saturninum,,,Fungi,Ascomycota,,,Lecanoromycetes,,,Peltigerales,,,Collemataceae,,,,,observed,24-May-14,Ryan Batten,Metchosin General 14,,,,,,William Head Prison;,,LIC
Leptonia carnea,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Entolomataceae,,,,,observed,5-Nov-16,Kem Luther,Mycoblitz Pearson 16,,,,,,Pearson College grounds;,,FUN
Leptonia serratula,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Entolomataceae,,,,,observed,5-Nov-16,Leanne Gallon,Mycoblitz Blinkhorn 16,,,,,,Blinkhorn Lake Park;,,FUN
Leptonia subviduensis,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Entolomataceae,,,,,unobserved,5-May-18,Oluna Ceska,SVIMS Glinz Lake 18,,,,,,Race Rocks;,,FUN
Letharia vulpina,,timber wolf,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,,,observed,27-Apr-13,H Roemer/R. Batten,Roemer Group 13,,,,,,"Tower Pt, Westmont, Devonian, Blinkhorn Lk, Veitch Cr;",,LIC
Leucoagaricus rubrotinctus,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Agaricaceae,,,,,observed,4-Nov-17,Luke Mikler,VanderMeer 17,,,,,,Van der Meer (Camosun) property;,,FUN
Leucopaxillus albissimus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Tricholomatineae,,Tricholomataceae,,,,,observed,9-Nov-13,Andy MacKinnon,Van der Meer Myco 13,,,,,,Van der Meer (Camosun) property;,,FUN
Leucopaxillus gentianeus,,,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Tricholomataceae,,,,,observed,8-Nov-14,Ian Gibson,Mycoblitz Metch Wilderness 14 ,,,,,,Metchosin Wilderness Park;,,FUN
Lichenomphalia umbellifera,,heath navel,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Hygrophoraceae,,,,,observed,30-Apr-11,Oluna Ceska,Matheson Lake fungal foray 11,,,,,,Matheson Park;various,,FUN
Lichenomphalia velutina,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Hygrophoraceae,,,,,observed,18-Mar-16,Ryan Batten,Matheson targeted 16,,,,,,Tower Point/Pearson/Matheson/Pedder Bay;,,FUN
