Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Pheucticus melanocephalus,,black-headed grosbeak,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Cardinalidae,,,,,observed,5-May-12,Ann Nightingale,Birding Team 12,,,,,,Metchosin;,,BIR
Philanthus,,,Animalia,Arthropoda,,,Insecta,,,Hymenoptera,,,Crabronidae,,,,,observed,13-Jun-15,Libby Avis,Witty's Lagoon,,,,,,Witty's Lagoon;,,ART
Philodromus dispar,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,,,,observed,24-May-14,Darren Copley,Copley 14,,,,,,Witty's Lagoon Park;,,ART
Philodromus rufus,,whitestriped agile crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,,,,observed,24-May-14,Darren Copley,Copley 14,,,,,,Mary Hill/DND;,,ART
Philonthus,,,Animalia,Arthropoda,,,Insecta,,,Coleoptera,,,Staphylinidae,,,,,observed,30-Apr-11,Rick/Libby Avis,Avis Hans Helgesen,,,,,,Boys & Girls Club property;,,ART
Philoscia muscorum,,Common Striped Woodlouse,Animalia,Arthropoda,,,Malacostraca,,,Isopoda,,,Philosciidae,,,,,observed,5-May-12,Melissa Frey,Frey Devonian 12,,,,,,Hans Helgesen;,,ART
Phoca vitulina,,Pacific harbor seal,Animalia,Chordata,Vertebrata,,Mammalia,,,Carnivora,Pinnipedia,,Phocidae,,,,,observed,30-Apr-11,Melissa Frey,Frey Pearson Docks 11,,,,,,Mt Blinkhorn and Mt. Helmcken;,,MAM
Phocoena phocoena,,Harbour porpoises,Animalia,Chordata,Vertebrata,,Mammalia,,,Artiodactyla,,,Phocoenidae,,,,,unobserved,1-Jan-06,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAM
Phocoenoides dalli,,Dalls porpoise,Animalia,Chordata,Vertebrata,,Mammalia,,,Artiodactyla,,,Phocoenidae,,,,,unobserved,30-Nov-06,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,MAM
Phyllodesma americana,,American lappet moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Lasiocampoidea,Lasiocampidae,Lasiocampinae,,,,observed,27-Apr-13,Libby Avis,Technical School 13,,,,,,Camas Hill;,,ART
Phyllolithodes papillosus,,Heart crab,Animalia,Arthropoda,,,Malacostraca,,,Decapoda,,,Lithodidae,,,,,unobserved,1-Jan-02,Garry Fletcher,Race Rocks Inventory,,,,,,Race Rocks;Class Holothuroidea:descr by Sarah Trefry,,ART
Pieris rapae,,cabbage white,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Pieridae,Pierinae,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Metchosin Technical School RP;,,ART
Pipilo maculatus,,spotted towhee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Emberizidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Piranga ludoviciana,,western tanager,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Cardinalidae,,,,,observed,24-May-14,Ann Nightingale,Birding Team 14,,,,,,Metchosin;,,BIR
Pisaster brevispinus,,giant pink sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,Pearson College waterfront by kayak;open outcrops,,ECH
Pisaster ochraceus,,ochre sea star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,Asteriidae,,,,,observed,5-May-12,Gretchen Markle,Markle Pearson 12,,,,,,Pearson College waterfront by kayak;,,ECH
Platycheirus,,hover fly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Syrphoidea,Syrphidae,Syrphinae,,,,observed,5-May-12,Elizabeth Elle,Elle Elwell B&G 12,,,,,,Devonian Park;,,ART
Plectrophenax nivalis,,Snow Bunting,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Calcariidae,,,,,unobserved,1-Jan-05,Pam Birley,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Plectrura spinicauda,,flat-faced longhorn,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Cerambycidae,Lamiinae,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Metchosin Boys/Girls Club;,,ART
Plethodon vehiculum,,Western Redback Salamander,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Plethodontidae,,,,,observed,30-Apr-11,James Fenneman,Fenneman Gatten Camas 11,,,,,,Matheson Park;,,HER
Pluvialis dominica,,American Golden Plover,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,unobserved,19-Sep-10,Raisa Mirza,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Pluvialis squatarola,,Black-bellied Plover,Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Charadriidae,,,,,unobserved,1-Jun-09,Ryan Murphy,Race Rocks Inventory,,,,,,Race Rocks;Hand-collecting; Pantraps; Berlese Extractions;adult ,,BIR
Podabrus,,soldier beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,,,observed,13-Jun-15,Libby Avis,School,,,,,,Mary Hill/DND;,,ART
Podarcis muralis,,European Wall Lizard,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,,,Lacertidae,,,,,observed,13-Jun-15,,Duke Point 15,,,,,,"Pond, Boys and Girls Club;",,HER
Podiceps auritus,,horned grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Podiceps grisegena,,red-necked grebe,Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,Podicipedidae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;Cl Crustacea:Ord Decapoda:descr by Anna Ihle Thingnaes,,BIR
Pododesmus macrochisma,,Alaska jingle,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Pectinida,,Pectinoidea,Anomiidae,,,,,observed,1-May-17,Philip Lambert,Mary Hill 17,,,,,,Pearson College Seashore;,,MOL
Poecile rufescens,,chestnut-backed chickadee,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Paridae,,,,,observed,30-Apr-11,Ann Nightingale,Birding Team 11,,,,,,Metchosin;,,BIR
Polistes dominula,,European paper wasp,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Polistinae,,,,observed,9-May-16,"Copley, Claudia R.",Albert Head 16,,,,,,Albert Head DND;,,ART
Pollicipes polymerus,,,Animalia,Arthropoda,,,Hexanauplia,,,Scalpelliformes,,,Pollicipedidae,,,,,observed,30-Apr-11,Philip Lambert,Lambert Race Rocks 11,,,,,,Race Rocks;,,ART
Polygonia faunus,,Green Comma,Animalia,Arthropoda,,,Insecta,,,Lepidoptera,,,Nymphalidae,,,,,observed,5-May-12,Libby Avis,Roemer Mary Hill 12,,,,,,Camas Hill;,,ART
Polygonia satyrus,,satyr comma,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,,,observed,5-May-12,Libby Avis,Roemer Mary Hill 12,,,,,,Mary Hill/DND;,,ART
Polyphylla,,,Animalia,Arthropoda,,,Insecta,,,Coleoptera,,,Scarabaeidae,,,,,observed,13-Jun-15,Claudia Copley,Camas Hill 15,,,,,,Camosun Metchosin property;,,ART
Polyxenus,,Bristly Millipede,Animalia,Arthropoda,,,Diplopoda,,,Polyxenida,,,Polyxenidae,,,,,observed,24-May-14,Claudia Copley,Copley 14,,,,,,Camas Hill;,,ART
Porcellio scaber,,common rough woodlouse,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Isopoda,Oniscidea,,Porcellionidae,,,,,observed,5-May-12,Melissa Frey,Frey Devonian 12,,,,,,Metchosin;,,ART
