iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Subtaxon Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting,Notes,Origin,Critical Notes
Pisaster brevispinus,49539,Pisaster brevispinus,"(Stimpson, 1857)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,brevispinus,,giant pink star,1969-02-21,Andy Lamb,PMLS,2016-02-07,Peter Luckham,observed,,native,
Pisaster ochraceus,49699,Pisaster ochraceus,"(Brandt, 1835)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,ochraceus,,ochre star,1969-02-21,Andy Lamb,PMLS,2009-07-08,Shera Street,observed,,native,
Pycnopodia helianthoides,47673,Pycnopodia helianthoides,"(Brandt, 1835)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,Pycnopodiinae,,Pycnopodia,helianthoides,,sunflower star,1969-02-21,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Stylasterias forreri,255883,Stylasterias forreri,"(deLoriol, 1887)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Stylasterias,forreri,,velcro star,1973-09-20,Andy Lamb,PMLS,,,unobserved,,native,
Luidia foliolata,195859,Luidia foliolata,"Grube, 1866",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Paxillosida,,,,Luidiidae,,,Luidia,foliolata,,sand star,1959-12-11,Dan Quayle,RBCM,,,unobserved,,native,
Henricia aspera aspera,1265168,Henricia aspera aspera,"Fisher, 1906",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,,Echinasteridae,,,Henricia,aspera,,ridged blood star,1969-02-21,Andy Lamb,PMLS,,,unobserved,,native,
Henricia leviuscula,47664,Henricia leviuscula complex,,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,,Echinasteridae,,,Henricia,leviuscula,,Pacific blood star,1973-09-21,Andy Lamb,PMLS,2013-07-23,Karolle Wall,observed,,,Species complex currently under revision.
Henricia sanguinolenta,62364,Henricia sanguinolenta,"(O.F. Müller, 1776)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,,Echinasteridae,,,Henricia,sanguinolenta,,fat blood star,2009-10-10,Andy Lamb,PMLS,2015-05-16,Peter Luckham,observed,,native,
Pteraster tesselatus,194701,Pteraster tesselatus,"Ives, 1888",Animalia,Echinodermata,Asterozoa,,Asteroidea,,,Velatida,,,,Pterasteridae,,,Pteraster,tesselatus,,slime star,1971-08-21,Andy Lamb,PMLS,2009-10-03,Jackson Chu,observed,,native,
Dermasterias imbricata,63382,Dermasterias imbricata,"(Grube, 1857)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Asteropseidae,,,Dermasterias,imbricata,,leather star,1969-02-21,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Ceramaster patagonicus,537859,Ceramaster patagonicus,"(Sladen, 1889)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Goniasteridae,,,Ceramaster,patagonicus,,orange cookie star,,,,2009-10-03,Jackson Chu,observed,,native,
Hippasteria phrygiana,464048,Hippasteria phrygiana,"(Parelius, 1768)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Goniasteridae,Hippasterinae,,Hippasteria,phrygiana,,spiny red star,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Mediaster aequalis,293174,Mediaster aequalis,"Stimpson, 1857",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Goniasteridae,Mediasterinae,,Mediaster,aequalis,,vermilion star,1971-08-21,Andy Lamb,PMLS,2009-10-03,Jackson Chu,unobserved,,native,
Crossaster papposus,192687,Crossaster papposus,"(Linnaeus, 1767)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Crossaster,papposus,,rose star,1973-06-14,Philip Lambert,RBCM,,,unobserved,,native,
Solaster dawsoni,117692,Solaster dawsoni,"Verrill, 1880",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,dawsoni,,morning sun star,,,RBCM,,,unobserved,,native,
Solaster endeca,371725,Solaster endeca,"(Linnaeus, 1771)",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,endeca,,northern sun star,2006-06-23,Andy Lamb,PMLS,,,unobserved,,native,
Solaster stimpsoni,208013,Solaster stimpsoni,"Verrill, 1880",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,stimpsoni,,striped sun star,1969-02-21,Andy Lamb,PMLS,2013-07-23,Karolle Wall,observed,,native,
Amphiodia periercta,957349,Amphiodia periercta,"H.L. Clark, 1911",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,,Amphiuroidea,Amphiuridae,,,Amphiodia,periercta,,long-armed burrowing brittle star,1975-06-17,Philip Lambert,RBCM,,,unobserved,,native,"Accessioned in RBCM collections as Diamphiodia periercta, an unrecognized name (WoRMS Editorial Board 2021)."
Ophiopholis kennerlyi,129228,Ophiopholis kennerlyi,"Lyman, 1860",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,,Ophiactoidea,Ophiopholidae,,,Ophiopholis,kennerlyi,,daisy brittle star,1981-05-31,Andy Lamb,PMLS,2014-03-24,Karolle Wall,observed,,native,
Gorgonocephalus eucnemis,465153,Gorgonocephalus eucnemis,"(Müller & Troschel, 1842)",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Euryalida,,,,Gorgonocephalidae,Gorgonocephalinae,,Gorgonocephalus,eucnemis,,basket star,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Ophiura luetkenii,255865,Ophiura luetkenii,"(Lyman, 1860)",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,,Ophiuridae,Ophiurinae,,Ophiura,luetkenii,,gray brittle star,1973-06-14,Philip Lambert,RBCM,,,unobserved,misspelled 'Ophiura lutkeni' in GBIF dataset,native,
Ophiura sarsii,202051,Ophiura sarsii,"Lütken, 1855",Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Euryophiurida,Ophiurida,Ophiurina,,,Ophiuridae,Ophiurinae,,Ophiura,sarsii,,notched brittle star,1993-05-09,Charlie Gibbs,PMLS,,,unobserved,,native,
Florometra serratissima,195902,Florometra serratissima,"(AH Clark, 1907)",Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,,Antedonoidea,Antedonidae,Heliometrinae,,Florometra,serratissima,,feather star,1960-06-21,Dan Quayle,RBCM,2015-05-16,Peter Luckham,observed,,native,
Mesocentrotus franciscanus,992313,Mesocentrotus franciscanus,"(A. Agassiz, 1863)",Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Mesocentrotus,franciscanus,,red sea urchin,1969-02-21,Andy Lamb,PMLS,2013-07-23,Karolle Wall,observed,,native,
Strongylocentrotus droebachiensis,120070,Strongylocentrotus droebachiensis,"(O.F. Müller, 1776)",Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Strongylocentrotus,droebachiensis,,green sea urchin,1986-04-08,BC Hydro - submerged cable,RBCM,2018-08-11,Samantha Fulgham,observed,,native,
Strongylocentrotus pallidus,129221,Strongylocentrotus pallidus,"(G.O. Sars, 1871)",Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Strongylocentrotus,pallidus,,white sea urchin,1986-04-08,,RBCM,,,unobserved,,native,Previously misidentified as Strongylocentrotus fragilis.
Strongylocentrotus purpuratus,48035,Strongylocentrotus purpuratus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,,Camarodonta,,Echinidea,Odontophora,Strongylocentrotidae,,,Strongylocentrotus,purpuratus,,purple urchin,1986-04-08,,RBCM,,,unobserved,,native,
Dendraster excentricus,117696,Dendraster excentricus,"(Eschscholtz, 1831)",Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Luminacea,Echinolampadacea,Scutelloida,Scutelliformes,Scutelloidea,Dendrasteridae,,,Dendraster,excentricus,,eccentric sand dollar,1964-12-07,,RBCM,2018-05-22,Karolle Wall,observed,,native,
Leptosynapta transgressor,873898,Leptosynapta transgressor,"Heding, 1928",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Paractinopoda,,Apodida,,,,Synaptidae,,,Leptosynapta,transgressor,,subtidal burrowing sea cucumber,2013-10-20,Andy Lamb,PMLS,,,unobserved,,native,
Cucumaria miniata,117695,Cucumaria miniata,"(Brandt, 1835)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Cucumariidae,,,Cucumaria,miniata,,red sea cucumber,1969-02-21,Andy Lamb,PMLS,2013-08-07,Karolle Wall,observed,,native,
Cucumaria pallida,356416,Cucumaria pallida,"Kirkendale & Lambert, 1995",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Cucumariidae,,,Cucumaria,pallida,,pale sea cucumber,2006-06-23,Andy Lamb,PMLS,,,unobserved,,native,
Cucumaria piperata,424353,Cucumaria piperata,"(Stimpson, 1864)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Cucumariidae,,,Cucumaria,piperata,,salt & pepper sea cucumber,1994-10-07,Andy Lamb,PMLS,,,unobserved,,native,
Pentamera,171674,Pentamera sp.,,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Phyllophoridae,,,Pentamera,,,sea cucumber,2006-06-30,Andy Lamb,PMLS,,,unobserved,,,
Psolidium bidiscum,873892,Psolidium bidiscum,"Lambert, 1996",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Psolidae,,,Psolidium,bidiscum,,pale creeping pedal sea cucumber,1996-09-28,Charlie Gibbs,PMLS,,,unobserved,,native,
Psolus chitonoides,473064,Psolus chitonoides,"Clark, 1901",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Psolidae,,,Psolus,chitonoides,,creeping pedal sea cucumber,1973-09-20,Andy Lamb,PMLS,,,unobserved,,native,
Psolus squamatus,293149,Psolus squamatus,"(O.F. Müller, 1776)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Psolidae,,,Psolus,squamatus,,white creeping pedal sea cucumber,2008-10-09,Andy Lamb,PMLS,,,unobserved,,native,
Eupentacta quinquesemita,51695,Eupentacta quinquesemita,"(Selenka, 1867)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,,Sclerodactylidae,,,Eupentacta,quinquesemita,,stiff-footed sea cucumber,1986-04-08,,RBCM,2016-02-07,Peter Luckham,observed,,native,
Apostichopus californicus,202640,Apostichopus californicus,"(Stimpson, 1857)",Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,,Stichopodidae,,,Apostichopus,californicus,,giant sea cucumber,1986-04-08,,RBCM,2015-05-16,Peter Luckham,observed,,native,"Accessioned in RBCM collections as Parastichopus californicus, an unaccepted synonym (WoRMS Editorial Board 2021)."
Balaenoptera acutorostrata,41550,Balaenoptera acutorostrata,"Lacépède, 1804",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Balaenopteridae,,,Balaenoptera,acutorostrata,,northern minke whale,2004-10-04,Amy Rowley,BCCSN,,,unobserved,,native,
Balaenoptera physalus,41562,Balaenoptera physalus,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Balaenopteridae,,,Balaenoptera,physalus,,fin whale,2007-05-17,Amy Rowley,BCCSN,,,unobserved,,native,
Megaptera novaeangliae,41566,Megaptera novaeangliae,"(Borowski, 1781)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Balaenopteridae,,,Megaptera,novaeangliae,,humpback whale,2001-04-20,Amy Rowley,BCCSN,2017-06-06,Andrew Simon,observed,,native,
Sagmatias obliquidens,1368491,Lagenorhynchus obliquidens,"Gill, 1865",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Delphinidae,Lissodelphininae,,Sagmatias,obliquidens,,Pacific white-sided dolphin,2002-08-15,Amy Rowley,BCCSN,,,unobserved,,native,
Orcinus orca,41521,Orcinus orca,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Delphinidae,,,Orcinus,orca,,orca,2001-01-14,Amy Rowley,BCCSN,2011-06-26,Kris Krüg,observed,,native,
Eschrichtius robustus,41478,Eschrichtius robustus,"(Lilljeborg, 1861)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,,Eschrichtiidae,,,Eschrichtius,robustus,,grey whale,2001-04-15,Amy Rowley,BCCSN,,,unobserved,,native,
Phocoena phocoena,41440,Phocoena phocoena,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Phocoenidae,,,Phocoena,phocoena,,harbour porpoise,2001-12-15,Amy Rowley,BCCSN,2019-03-25,Karen Steve Smith,observed,,native,
Phocoenoides dalli,41446,Phocoenoides dalli,"(True, 1885)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,Cetacea,Delphinoidea,Phocoenidae,,,Phocoenoides,dalli,,Dall’s porpoise,2001-11-19,Amy Rowley,BCCSN,,,unobserved,,native,
Lontra canadensis,41777,Lontra canadensis,"Schreber, 1777",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Lutrinae,,Lontra,canadensis,,North American river otter,2011-05-14,Kent Brothers,VMS,2006-09-04,Shera Street,observed,,native,
Neogale vison,1264432,Neogale vison,"(Schreber, 1777)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Mustelidae,Mustelinae,,Neogale,vison,,American mink,2011-05-14,Kent Brothers,VMS,2017-05-28,Ayla Malcolm,observed,,native,
Eumetopias jubatus,41755,Eumetopias jubatus,"(Schreber, 1776)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Phocoidea,Otariidae,,,Eumetopias,jubatus,,Steller sea lion,1985-12-07,Andy Lamb,Ocean Wise,2016-12-22,Lauren Magner & Andrew Simon,observed,,native,
Zalophus californianus,41740,Zalophus californianus,"(Lesson, 1828)",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Phocoidea,Otariidae,,,Zalophus,californianus,,California sea lion,,,,2016-05-27,Chessi Miltner,observed,,native,
Phoca vitulina richardii,117766,Phoca vitulina richardii,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Phocoidea,Phocidae,,,Phoca,vitulina,"Gray, 1864",Pacific harbor seal,1995-02-24,Andy Lamb,Ocean Wise,2015-02-12,Lauren Magner & Andrew Simon,observed,,native,
Panomya ampla,865774,Panomya ampla,"Dall, 1898",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,,Hiatelloidea,Hiatellidae,,,Panomya,ampla,,ample roughmya,1958-09-05,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,
Panopea generosa,117618,Panopea generosa,"Gould, 1850",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,,Hiatelloidea,Hiatellidae,,,Panopea,generosa,,Pacific geoduck,1994-10-23,Andy Lamb,PMLS,2019-05-04,Isabelle Côte,observed,,native,
Solen sicarius,54529,Solen sicarius,"Gould, 1850",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Adapedonta,,,Solenoidea,Solenidae,,,Solen,sicarius,,sickle jackknife-clam,2007-12-09,Andy Lamb,PMLS,,,unobserved,,native,
Glycymeris septentrionalis,479438,Glycymeris septentrionalis,"(Middendorff, 1849)",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Arcida,,,Arcoidea,Glycymerididae,,,Glycymeris,septentrionalis,,western bittersweet,1958-09-05,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,"Accessioned in collections at the RBCM as Glycymeris subobsoleta, an unaccepted synonym (WoRMS Editorial Board 2021)."
Ciliatocardium ciliatum,940646,Ciliatocardium ciliatum,"(Fabricius, 1780)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Cardioidea,Cardiidae,Clinocardiinae,,Ciliatocardium,ciliatum,,hairy cockle,2008-10-10,Andy Lamb,PMLS,,,unobserved,,native,"Reported as Clinocardium ciliatum, an unaccepted synonym (WoRMS Editorial Board 2021)."
Clinocardium nuttallii,69925,Clinocardium nuttallii,"(Conrad, 1837)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Cardioidea,Cardiidae,Clinocardiinae,,Clinocardium,nuttallii,,Nuttall's cockle,1995-02-23,Charlie Gibbs,PMLS,2009-07-08,Shera Street,observed,,native,
Keenaea centifilosa,962184,Keenaea centifilosa,"(Carpenter, 1864)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Cardioidea,Cardiidae,,,Keenaea,centifilosa,,cockle,1958-09-05,Ian McTaggart-Cowan,RBCM,,,unobserved,Reported as Nemocardium centifilosum (RBCM 979-00327),native,
Keenocardium blandum,940598,Keenocardium blandum,"(Gould, 1850)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Cardioidea,Cardiidae,Clinocardiinae,,Keenocardium,blandum,,,1959-12-11,Dan Quayle,RBCM,,,unobserved,,native,
Gari californica,354323,Gari californica,"(Conrad, 1849)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Psammobiidae,,,Gari,californica,,California sunsetclam,2005-12-10,Andy Lamb,PMLS,,,unobserved,,native,
Nuttallia obscurata,430211,Nuttallia obscurata,"(Reeve, 1857)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Psammobiidae,,,Nuttallia,obscurata,,purple mahogany clam,,,,2016-08-21,Tyrel Froese,observed,,non-native,
Semele rubropicta,371110,Semele rubropicta,"Dall, 1871",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Semelidae,,,Semele,rubropicta,,rose-painted clam,1999-05-05,Andy Lamb,PMLS,,,unobserved,,native,
Macoma brota,504353,Macoma brota,"Dall, 1916",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,brota,,heavy macoma,,,,2016-08-17,Andrew Simon,observed,,native,
Macoma calcarea,861604,Macoma calcarea,"(Gmelin, 1791)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,calcarea,,chalky macoma,1961-06-22,,RBCM,,,unobserved,,native,
Macoma carlottensis,957354,Macoma carlottensis,"Whiteaves, 1880",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,carlottensis,,Charlotte macoma,1961-06-22,,RBCM,,,unobserved,,native,"Accessioned in collections at the RBCM as Macoma inflatula, an unaccepted synonym (WoRMS Editorial Board 2021)."
Macoma nasuta,117612,Macoma nasuta,"(Conrad, 1837)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,nasuta,,bent-nose macoma,2009-11-14,Andy Lamb,PMLS,2016-08-21,Tyrel Froese,observed,,native,
Macoma obliqua,861605,Macoma obliqua,"(J. Sowerby, 1817)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,,Tellinoidea,Tellinidae,Macominae,,Macoma,obliqua,,,1959-12-11,Dan Quayle,RBCM,,,unobserved,,native,
Coanicardita ventricosa,1223439,Coanicardita ventricosa,"(Gould, 1850)",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Carditida,,,Carditoidea,Carditidae,Scalaricarditinae,,Coanicardita,ventricosa,,,1959-12-11,Dan Quayle,RBCM,,,unobserved,,native,"Reported as Cyclocardia ventricosa, an unaccepted synonym (WoRMS Editorial Board 2021)."
Kellia suborbicularis,253475,Kellia suborbicularis,"(Montagu, 1803)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Galeommatida,,,Galeommatoidea,Lasaeidae,,,Kellia,suborbicularis,,suborbicular kellyclam,2006-06-30,Andy Lamb,PMLS,,,unobserved,,native,
Parvilucina tenuisculpta,493882,Parvilucina tenuisculpta,"(Carpenter, 1864)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,,Lucinoidea,Lucinidae,Lucininae,,Parvilucina,tenuisculpta,,,1959-12-11,Dan Quayle,RBCM,,,unobserved,,native,
Axinopsida serricata,977317,Axinopsida serricata,"(Carpenter, 1864)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,,Thyasiroidea,Thyasiridae,,,Axinopsida,serricata,,lenticular axinopsid,1961-06-22,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,
Mya arenaria,81634,Mya arenaria,"Linnaeus, 1758",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,,Myoidea,Myidae,,,Mya,arenaria,,soft-shelled clam,,,,2016-08-17,Andrew Simon,observed,,non-native,
Mya truncata,447416,Mya truncata,"Linnaeus, 1758",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,,Myoidea,Myidae,,,Mya,truncata,,truncated softshell-clam,2008-04-27,Andy Lamb,PMLS,,,unobserved,,native,
Zirfaea pilsbryi,117472,Zirfaea pilsbryi,"H. N. Lowe, 1931",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,,Pholadoidea,Pholadidae,Pholadinae,,Zirfaea,pilsbryi,,rough piddock,2016-07-24,Andy Lamb,PMLS,,,unobserved,,native,
Bankia setacea,347368,Bankia setacea,"(Tryon, 1863)",Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,,Pholadoidea,Teredinidae,Bankiinae,,Bankia,setacea,,feathery shipworm,1999-10-02,Andy Lamb,PMLS,,,unobserved,,native,
Crenella decussata,193939,Crenella decussata,"(Montagu, 1808)",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Crenellinae,,Crenella,decussata,,,1959-12-11,Dan Quayle,RBCM,,,unobserved,,native,
Modiolus modiolus,123772,Modiolus modiolus,"(Linnaeus, 1758)",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Modiolinae,,Modiolus,modiolus,,northern horsemussel,2005-12-10,Andy Lamb,PMLS,,,unobserved,,native,
Modiolus rectus,196218,Modiolus rectus,"(Conrad, 1837)",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Modiolinae,,Modiolus,rectus,,,1959-12-11,Dan Quayle,RBCM,,,unobserved,,native,
Musculus discors,482998,Musculus discors,"(Linnaeus, 1767)",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Musculinae,,Musculus,discors,,discord mussel,1958-09-05,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,
Mytilus edulis,1108240,Mytilus edulis complex,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Mytilinae,,Mytilus,edulis,,blue mussel,1982-05-28,Philip Lambert,RBCM,2015-08-05,Andrew Simon,observed,,native,"In the field, mature Mytilus trossulus can often be distinguished from M. galloprovincialis, M. edulis, and related hybrids by examing the siphon-mantle features of the live animal. Identification by shell shapes and sizes is otherwise inconclusive and remains limited to the level of species complex."
Musculus niger,483000,Musculus niger,"(J.E. Gray, 1824)",Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,,Mytiloidea,Mytilidae,Musculinae,,Musculus,niger,,black mussel,1958-09-05,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,
Nuculana leonina,957348,Nuculana leonina,"(Dall, 1896)",Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,,Nuculanoidea,Nuculanidae,Nuculaninae,,Nuculana,leonina,,nuculanid clam,1961-06-22,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,
Megayoldia thraciaeformis,957355,Megayoldia thraciaeformis,"(Storer, 1838)",Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,,Nuculanoidea,Yoldiidae,,,Megayoldia,thraciaeformis,,broad yoldia,1942-06-01,Dan Quayle,RBCM,,,unobserved,,native,"Accessioned in collections at the RBCM as Yoldia thraciaeformis, an unaccepted synonym (WoRMS Editorial Board 2021)."
Yoldia aeolica,957342,Yoldia aeolica,"(Valenciennes, 1846)",Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,,Nuculanoidea,Yoldiidae,,,Yoldia,aeolica,,yoldia clam,1917-06-29,,RBCM,,,unobserved,,native,"Accessioned in collections at the RBCM as Yoldia scissurata and Yoldia ensifera, unaccepted synonyms (WoRMS Editorial Board 2021)."
Yoldia hyperborea,996928,Yoldia hyperborea,"(Gould, 1841)",Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,,Nuculanoidea,Yoldiidae,,,Yoldia,hyperborea,,yoldia clam,1961-06-22,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,"Accessioned in collections at the RBCM as Yoldia hyperborea limatuloides, an unaccepted subspecies (WoRMS Editorial Board 2021); also reported as Yoldia amygdalea (Valenciennes, 1846), an unaccepted taxon (WoRMS Editorial Board 2021)"
Ennucula tenuis,202045,Ennucula tenuis,"(Montagu, 1808)",Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,,Nuculoidea,Nuculidae,,,Ennucula,tenuis,,smooth nutclam,1961-06-22,Ian McTaggart-Cowan,RBCM,,,unobserved,,native,
