iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Subtaxon Author,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting,Notes,Origin,Critical Notes
Podothecus accipenserinus,228455,Podothecus accipenserinus,"(Tilesius, 1813)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Agonidae,Agoninae,,Podothecus,accipenserinus,,sturgeon poacher,1995-02-23,Charlie Gibbs,PMLS,,,unobserved,,native,
Artedius fenestralis,117527,Artedius fenestralis,"Jordan & Gilbert, 1883",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Artedius,fenestralis,,padded sculpin,1968-08-02,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Artedius harringtoni,117528,Artedius harringtoni,"(Starks, 1896)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Artedius,harringtoni,,scalyhead sculpin,1969-02-21,Andy Lamb,PMLS,2015-01-01,Peter Luckham,observed,,native,
Artedius lateralis,117529,Artedius lateralis,"(Girard, 1854)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Artedius,lateralis,,smoothhead sculpin,1985-12-08,Charlie Gibbs,PMLS,2020-08-13,Andrew Simon,observed,,native,
Asemichthys taylori,172639,Asemichthys taylori,"Gilbert, 1912",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Radulininae,,Asemichthys,taylori,,spinynose sculpin,1973-09-20,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Chitonotus pugetensis,216746,Chitonotus pugetensis,"(Steindachner, 1876)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Icelinae,,Chitonotus,pugetensis,,roughback sculpin,1985-12-07,Andy Lamb,PMLS,,,unobserved,,native,
Enophrys bison,117536,Enophrys bison,"(Girard, 1854)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Myoxocephalinae,,Enophrys,bison,,buffalo sculpin,1981-05-31,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
Hemilepidotus hemilepidotus,221165,Hemilepidotus hemilepidotus,"(Tilesius, 1811)",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Agonidae,Hemitripterinae,,Hemilepidotus,hemilepidotus,,red Irish lord,1985-07-29,Andy Lamb,PMLS,2015-05-16,Peter Luckham,observed,,native,
Icelinus tenuis,222146,Icelinus tenuis,"Gilbert, 1890",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Psychrolutidae,Oligocottinae,,Icelinus,tenuis,,spotfin sculpin,1971-08-21,Andy Lamb,PMLS,,,unobserved,,native,
Jordania zonope,222465,Jordania zonope,"Starks, 1895",Animalia,Chordata,Vertebrata,,Actinopterygii,,,Perciformes,Cottoidei,,,Jordaniidae,,,Jordania,zonope,,longfin sculpin,1969-02-21,Andy Lamb,PMLS,2013-10-13,Peter Luckham,observed,,native,
