Taxon,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Author,Common Name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First observed,iNaturalist Link,iNaturalist taxon name,iNaturalist taxon ID,iNaturalist Photo,Notes
Aulacomnium androgynum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Aulacomniaceae,,,Aulacomnium,(Hedw.) Schwägr.,lover’s moss,native,S5 (2015),confirmed,1969-08-21,C.C. Chuang,UBC,B208330,,https://www.inaturalist.org/observations/19836679,Aulacomnium androgynum,124384,https://static.inaturalist.org/photos/30580660/medium.jpeg?1548306093,
Aulacomnium palustre,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Aulacomniaceae,,,Aulacomnium,(Hedw.) Schwägr.,bog groove-moss,native,S5 (2015),reported,2016-04-09,Terry McIntosh,UBC,B238974,,,Aulacomnium palustre,154189,,
Bryum argenteum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Bryum,Hedw.,silvergreen threadmoss,native,S4S5 (2015),reported,1962-06-04,Wilfred B. Schofield,UBC,B167302,,,Bryum argenteum,123390,,
Imbribryum miniatum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Imbribryum,(Lesq.) J.R. Spence,red threadmoss,native,S4S5 (2015),confirmed,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,https://www.inaturalist.org/observations/20987786,Imbribryum miniatum,538114,https://static.inaturalist.org/photos/32412120/medium.jpeg?1551843933,
Imbribryum torenii,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Imbribryum,J.R. Spence & Shevock,threadmoss,native,unlisted,confirmed,2016-04-10,Terry McIntosh,UBC,B239009,,https://www.inaturalist.org/observations/24706291,Imbribryum torenii,622988,https://static.inaturalist.org/photos/38205033/medium.jpeg?1557192850,
Rosulabryum capillare,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Rosulabryum,(Hedw.) J.R. Spence,capillary threadmoss,native,S4S5 (2015),confirmed,1962-06-04,Wilfred B. Schofield,UBC,B103510,,https://www.inaturalist.org/observations/24706320,Rosulabryum capillare,448658,https://static.inaturalist.org/photos/38205249/medium.jpeg?1557193015,
Rosulabryum torquescens,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,,Rosulabryum,(Bruch ex De Not.) J.R. Spence,threadmoss,native,S4S5 (2011),confirmed,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,https://www.inaturalist.org/observations/25649054,Rosulabryum torquescens,466642,https://static.inaturalist.org/photos/39751245/medium.jpeg?1558658103,
Leucolepis acanthoneuron,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Leucolepis,(Schwägr.) Lindb.,Menzies' tree moss,native,S5? (2015),reported,2016-04-10,Terry McIntosh,UBC,B239047,,,Leucolepis acanthoneuron,701710,,
Plagiomnium insigne,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Plagiomnium,(Mitt.) T.J. Kop.,badge moss,native,S4S5,confirmed,1969-08-21,C.C. Chuang,UBC,B208320,,https://www.inaturalist.org/observations/22308288,Plagiomnium insigne,122705,https://static.inaturalist.org/photos/34549119/medium.jpeg?1554945984,
Plagiomnium venustum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Plagiomnium,(Mitt.) T.J. Kop.,magnificent moss,native,S4S5 (2015),confirmed,1969-08-21,C.C. Chuang,UBC,B208314,,https://www.inaturalist.org/observations/13336520,Plagiomnium venustum,126179,https://static.inaturalist.org/photos/19534520/medium.jpeg?1528726572,
Rhizomnium glabrescens,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,,Rhizomnium,(Kindb.) T.J. Kop.,fan moss,native,S4S5,reported,2016-04-10,Terry McIntosh,UBC,B239046,,,Rhizomnium glabrescens,85421,,
Buxbaumia piperi,Plantae,Bryophyta,,,Bryopsida,,,Buxbaumiales,,,Buxbaumiaceae,,,Buxbaumia,Best,buxbaumia moss,native,S4S5 (2011),reported,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,Buxbaumia piperi,124857,,
Campylopus introflexus,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Campylopus,(Hedw.) Brid.,,exotic,unlisted,reported,2016-04-10,Terry McIntosh,UBC,B239038,,,Campylopus introflexus,130289,,
Cynodontium jenneri,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,,Cynodontium,,Jenner's Dog-tooth,,,new 2019,,,,,,https://www.inaturalist.org/observations/25247940,Cynodontium jenneri,161409,https://static.inaturalist.org/photos/39085437/medium.jpeg?1558061976,
