Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID
Fucus distichus,L.,rockweed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Fucaceae,,unlisted,unlisted,confirmed,observed,1914-05,John Macoun,UBC,A66169,8/6/2017,Riley Pollom,https://www.inaturalist.org/observations/7536406,https://static.inaturalist.org/photos/9831120/medium.jpeg?1503013476,,69155
Cumathamnion decipiens,,winged rib,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Sargassaceae,,,,reported,unobserved,1/16/1999,Andy Lamb,PMLS,,,,,,reported as Delesseria decipiens,
Sargassum muticum,(Yendo) Fensholt,Japanese seaweed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Sargassaceae,,unlisted,unlisted,confirmed,observed,1/14/1984,Andy Lamb,PMLS,,5/7/2018,Roger Steeb,https://www.inaturalist.org/observations/12526835,https://static.inaturalist.org/photos/18089039/medium.jpg?1526509413,,130177
Stephanocystis geminata,"(C.Agardh) Draisma, Ballesteros, F.Rousseau & T.Thibaut",northern bladder chain,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Sargassaceae,,unlisted,unlisted,reported,unobserved,1914-06,John Macoun,UBC,A63400,,,,,,
Stephanocystis osmundacea,,bladder chain,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,Sargassaceae,,,,reported,unobserved,4/26/2008,Andy Lamb,PMLS,,,,,,reported as Cystoseira osmundacea,
Agarum clathratum,,sea colander kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,,,reported,unobserved,2/12/2006,Andy Lamb,PMLS,,,,,,,
Agarum fimbriatum,Harvey,fringed sieve kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,unlisted,unlisted,reported,unobserved,1984-02-02,P.W. Gabrielson & F.J. Shaughnessy,UBC,A70235,,,,,,182954
Neoagarum fimbriatum,,fringed sea colander kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,,,reported,unobserved,8/28/1988,Andy Lamb,PMLS,,,,,,,
Alaria marginata,,winged kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Alariaceae,,,,confirmed,observed,1915-02-06,anonymous,UBC,A39346,4/28/2019,Andrew Simon,https://www.inaturalist.org/observations/24711334,https://static.inaturalist.org/photos/38213537/medium.jpeg?1557198897,reported: Alaria sp.,124813
Pleurophycus gardneri,,broad-rib kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Alariaceae,,,,reported,unobserved,9/4/2005,Andy Lamb,PMLS,,,,,,,
Pterygophora californica,,old growth kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Alariaceae,,,,reported,unobserved,5/21/1978,Andy Lamb,PMLS,,,,,,,
Costaria costata,(C. Agardh) De A. Saunders,seersucker kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,unlisted,unlisted,confirmed,observed,1985-03-14,P.W. Gabrielson,UBC,A67711,7/4/2019,Andrew Simon,https://www.inaturalist.org/observations/28204807,https://static.inaturalist.org/photos/43949533/medium.jpeg?1562284089,,125877
Cymathere triplicata,,three-ribbed kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,,reported,unobserved,10/12/1991,Andy Lamb,PMLS,,,,,,,
Laminaria setchellii,,split kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,,reported,unobserved,4/3/1999,Andy Lamb,PMLS,,,,,,,
Nereocystis luetkeana,(K.Mertens) Postels & Ruprecht,bull kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,unlisted,unlisted,reported,unobserved,1915-02-06,anonymous,UBC,A39376,,,,,,120499
Saccharina latissima,"(L.) C.E. Lane, C. Mayes, Druehl & G.W. Saunders",sea belt,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,unlisted,unlisted,confirmed,observed,1915-02-06,anonymous,UBC,A39375,5/4/2019,Katy Hind,https://www.inaturalist.org/observations/24521128,https://static.inaturalist.org/photos/37916899/medium.jpg?1556988978,,130231
Saccharina sessilis,,sea cabbage,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,,reported,unobserved,9/23/1995,Andy Lamb,PMLS,,,,,,,
Lessoniopsis littoralis,,strap kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Lessoniaceae,,,,reported,unobserved,3/19/1995,Andy Lamb,PMLS,,,,,,,
Colpomenia peregrina,Sauvageau,oyster-thief,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Scytosiphonales,,,Scytosiphonaceae,,unlisted,unlisted,reported,unobserved,5/20/2001,Andy Lamb,PMLS,,,,,,,129737
Scytosiphon lomentaria,"(Lyngbye) Link, nom. cons.",beanweed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Scytosiphonales,,,Scytosiphonaceae,,unlisted,unlisted,confirmed,observed,5/24/1999,Andy Lamb,PMLS,,5/4/2019,Katy Hind,https://www.inaturalist.org/observations/24522968,https://static.inaturalist.org/photos/37919169/medium.jpg?1556990499,,182932
Anthoceros punctatus,L.,dotted hornwort,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,native,S2S3 (2016),reported,unobserved,2016-04-09,Terry McIntosh,UBC,B238981,,,,,,158432
Aspiromitus punctatus,(L.) Schljakov,hornwort,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Anacolia menziesii,(Turner) Paris,Menzies’ anacolia moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bartramiales,,,Bartramiaceae,,native,S4S5 (2015),confirmed,observed,1969-08-21,C.C. Chuang,UBC,B208328,5/17/2019,Andrew Simon,https://www.inaturalist.org/observations/25649052,https://static.inaturalist.org/photos/39751176/medium.jpeg?1558658052,,128572
Bartramia pomiformis,Hedw.,common apple-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bartramiales,,,Bartramiaceae,,native,S4S5 (2015),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B34775,,,,,,
Philonotis capillaris,Lindb.,apple-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bartramiales,,,Bartramiaceae,,native,S4 (2015),confirmed,observed,2016-04-09,Terry McIntosh,UBC,B238969,5/5/2019,Andrew Simon,https://www.inaturalist.org/observations/24706307,https://static.inaturalist.org/photos/38205180/medium.jpeg?1557192970,,123642
Philonotis fontana,(Hedw.) Brid.,fountain apple-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bartramiales,,,Bartramiaceae,,native,S5,reported,unobserved,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,,,,133809
Aulacomnium androgynum,(Hedw.) Schwägr.,lover’s moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Aulacomniaceae,,native,S5 (2015),confirmed,observed,1969-08-21,C.C. Chuang,UBC,B208330,1/23/2019,Andrew Simon,https://www.inaturalist.org/observations/19836679,https://static.inaturalist.org/photos/30580660/medium.jpeg?1548306093,,124384
Aulacomnium palustre,(Hedw.) Schwägr.,bog groove-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Aulacomniaceae,,native,S5 (2015),reported,unobserved,2016-04-09,Terry McIntosh,UBC,B238974,,,,,,154189
Bryum argenteum,Hedw.,silvergreen threadmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,native,S4S5 (2015),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B167302,,,,,,123390
Imbribryum miniatum,(Lesq.) J.R. Spence,red threadmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,native,S4S5 (2015),confirmed,observed,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,3/5/2019,Andrew Simon,https://www.inaturalist.org/observations/20987786,https://static.inaturalist.org/photos/32412120/medium.jpeg?1551843933,,159548
Imbribryum torenii,J.R. Spence & Shevock,threadmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,native,unlisted,confirmed,observed,2016-04-10,Terry McIntosh,UBC,B239009,5/5/2019,Andrew Simon,https://www.inaturalist.org/observations/24706291,https://static.inaturalist.org/photos/38205033/medium.jpeg?1557192850,,622988
Rosulabryum capillare,(Hedw.) J.R. Spence,capillary threadmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,native,S4S5 (2015),confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B103510,5/5/2019,Andrew Simon,https://www.inaturalist.org/observations/24706320,https://static.inaturalist.org/photos/38205249/medium.jpeg?1557193015,,448658
Rosulabryum torquescens,(Bruch ex De Not.) J.R. Spence,threadmoss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Bryaceae,,native,S4S5 (2011),confirmed,observed,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,5/17/2019,Andrew Simon,https://www.inaturalist.org/observations/25649054,https://static.inaturalist.org/photos/39751245/medium.jpeg?1558658103,,466642
Leucolepis acanthoneuron,(Schwägr.) Lindb.,Menzies' tree moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Mniaceae,,native,S5? (2015),reported,unobserved,2016-04-10,Terry McIntosh,UBC,B239047,,,,,,120870
Plagiomnium insigne,(Mitt.) T.J. Kop.,badge moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Mniaceae,,native,S4S5,confirmed,observed,1969-08-21,C.C. Chuang,UBC,B208320,4/8/2019,Andrew Simon,https://www.inaturalist.org/observations/22308288,https://static.inaturalist.org/photos/34549119/medium.jpeg?1554945984,,122705
Plagiomnium venustum,(Mitt.) T.J. Kop.,magnificent moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Mniaceae,,native,S4S5 (2015),confirmed,observed,1969-08-21,C.C. Chuang,UBC,B208314,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336520,https://static.inaturalist.org/photos/19534520/medium.jpeg?1528726572,,126179
Rhizomnium glabrescens,(Kindb.) T.J. Kop.,fan moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Bryales,,,Mniaceae,,native,S4S5,reported,unobserved,2016-04-10,Terry McIntosh,UBC,B239046,,,,,,85421
Buxbaumia piperi,Best,buxbaumia moss,Plantae,Bryophyta,,,Bryopsida,Buxbaumiidae,,Buxbaumiales,,,Buxbaumiaceae,,native,S4S5 (2011),reported,unobserved,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,,,,
Campylopus introflexus,(Hedw.) Brid.,,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,exotic,unlisted,reported,unobserved,2016-04-10,Terry McIntosh,UBC,B239038,,,,,,
Cynodontium jenneri,,Jenner's Dog-tooth,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,,,new 2019,observed,,,,,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25247940,https://static.inaturalist.org/photos/39085437/medium.jpeg?1558061976,,161409
Dicranella heteromalla,(Hedw.) Schimp.,silky forklet-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B50518,,,,,,
Dicranoweisia cirrata,(Hedw.) Lindb.,common pincushion,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,native,S3S4 (2015),confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B59697,1/23/2019,Andrew Simon,https://www.inaturalist.org/observations/19836678,https://static.inaturalist.org/photos/30580655/medium.jpeg?1548306082,,67949
Dicranoweisia crispula,(Hedw.) Milde,mountain pincushion,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,native,S4S5 (2015),confirmed,observed,2016-04-09,Terry McIntosh,Edith Point Ecological Baseline Report,,1/17/2019,Andrew Simon,https://www.inaturalist.org/observations/19703784,https://static.inaturalist.org/photos/30353039/medium.jpeg?1547775668,,154135
Dicranum fuscescens,Turner,dusky fork-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,native,S5 (2015) *listed subtaxa in BC,reported,unobserved,1969-08-21,C.C. Chuang,UBC,B208345,,,,,,123177
Dicranum howellii,Renauld & Cardot,Howell’s fork-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,native,S4S5 (2011),reported,unobserved,1969-07-11,Wilfred B. Schofield,UBC,B64024,,,,,,161860
Dicranum scoparium,Hedw.,broom moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,native,S5 (2015),reported,unobserved,1914-05-23,John Macoun,UBC,B66553,,,,,,123134
Dicranum tauricum,Sapjegin,fragile fork-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,native,S5 (2015),reported,unobserved,1914-05-20,John Macoun,UBC,B67439,,,,,,161872
Onchophorus virens,(Hedw.) Brid.,swan-neck moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Dicranaceae,,unlisted,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Ceratodon purpureus,(Hedw.) Brid.,fire moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Ditrichaceae,,native,S5,confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B39981,5/5/2019,Andrew Simon,https://www.inaturalist.org/observations/24706304,https://static.inaturalist.org/photos/38205086/medium.jpeg?1557192894,,123117
Ditrichum heteromallum,(Hedw.) Britt.,curve-leaved ditrichum,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Ditrichaceae,,unlisted,unlisted,reported,unobserved,2016-04-10,Terry McIntosh,UBC,B239042,,,,,,
Pleuridium acuminatum,Lindb.,taper-leaved earthmoss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Ditrichaceae,,native,SU (2015),reported,unobserved,2016-04-09,Terry McIntosh,Edith Point Ecological Baseline Report,,,,,,,127427
Pleuridium subulatum,(Hedw.) Raben.,awl-leaved earthmoss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Dicranales,,,Ditrichaceae,,native,S3? (2015),reported,unobserved,2016-04-10,Terry McIntosh,UBC,B239019,,,,,St. John Point,
Encalypta ciliata,Hedw.,fringed extinguisher-moss,Plantae,Bryophyta,,,Bryopsida,Funariidae,,Encalyptales,,,Encalyptaceae,,native,S4S5 (2011),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B27910,,,,,Village Bay,162304
Encalypta vulgaris,Hedw.,common extinguisher-moss,Plantae,Bryophyta,,,Bryopsida,Funariidae,,Encalyptales,,,Encalyptaceae,,native,S3S4 (2011),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B75680,,,,,Village Bay,
Fissidens bryoides,Hedw.,lesser pocket-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Fissidentales,,,Fissidentaceae,,native,S4S5 (2011),reported,unobserved,2013-06-08,Curtis R. Bjork,UBC,B228620,,,,,,124421
Fissidens crispus,Sull.,Herzog’s pocket-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Fissidentales,,,Fissidentaceae,,native,S3S4 (2015),reported,unobserved,1969-07-11,Wilfred B. Schofield,UBC,B38490,,,,,reported as Fissidens limbatus,67883
Fissidens sp.,,pocket moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Fissidentales,,,Fissidentaceae,,,,confirmed,observed,,,,,3/26/2019,Andrew Simon,https://www.inaturalist.org/observations/21652939,https://static.inaturalist.org/photos/33522652/medium.jpeg?1553652765,,55339
Entosthodon fascicularis,(Hedw.) C. Mull.,banded cord-moss,Plantae,Bryophyta,,,Bryopsida,Funariidae,,Funariales,,,Funariaceae,,native,1-SC (SARA 2006),reported,unobserved,2013-06-08,Curtis R. Bjork,UBC,B228621,,,,,"Mt. Parke: 48° 50' 22""N 123° 17' 41""W",
Funaria hygrometrica,Hedw.,common cord-moss,Plantae,Bryophyta,,,Bryopsida,Funariidae,,Funariales,,,Funariaceae,,native,S4S5 (2015),new 2019,observed,,,,,2/1/2019,Andrew Simon,https://www.inaturalist.org/observations/20023020,https://static.inaturalist.org/photos/30907026/medium.jpeg?1549076838,,120000
Physcomitrium megalocarpum,Kindb.,,Plantae,Bryophyta,,,Bryopsida,Funariidae,,Funariales,,,Funariaceae,,unlisted,unlisted,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B151238,,,,,"synonymous with P. hookeri (recognized by province); P. hookeri var. serratum, that is",
Bucklandiella heterosticha,(Hedw.) Bednarek-Ochyra & Ochyra,yellow-green rockmoss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015),reported,unobserved,2016-04-10,Terry McIntosh,UBC,B239012,,,,,,167683
Bucklandiella macounii,Kindb.,Macoun’s rockmoss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S3S4 (2015),reported,unobserved,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,,,,167686
Codriophorus acicularis,(Hedw.) P. Beauv.,yellow fringe-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native ,S4S5 (2015),new 2019,observed,,,,,4/28/2019,Andrew Simon,https://www.inaturalist.org/observations/24711220,https://static.inaturalist.org/photos/38210688/medium.jpeg?1557196961,,487592
Codriophorus varius,(Mitt.) Bednarek-Ochyra & Ochyra,rockmoss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015),reported,unobserved,2016-04-09,Terry McIntosh,UBC,B238956,,,,,,167696
Dryptodon patens,(Dicks. ex Hedw.) Brid.,spreading fringe-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,,,reported,unobserved,1914-05-19,John Macoun,UBC,B171591,,,,,,
Grimmia attenuata,(C. Müll. & Kindb.) Kindb.,rock moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,SU (2015),reported,unobserved,1969-08-21,C.C. Chuang,UBC,B218055,,,,,,
Grimmia lisae,,,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,,,new 2019,observed,,,,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13834236,https://static.inaturalist.org/photos/20415051/medium.jpeg?1530120033,,163391
Grimmia ovalis,(Hedw.) Lindb.,flat-rock grimmia,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S4? (2015),reported,unobserved,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,,,,
Grimmia pulvinata,(Hedw.) Sm.,grey-cushioned grimmia,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015),confirmed,observed,1969-07-11,Wilfred B. Schofield,UBC,B113717,1/23/2019,Andrew Simon,https://www.inaturalist.org/observations/20068243,https://static.inaturalist.org/photos/30987700/medium.jpeg?1549240891,,56117
Grimmia trichophylla,Grev.,hair-pointed grimmia,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015),confirmed,observed,1969-08-21,C.C. Chuang,UBC,B208336,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336537,https://static.inaturalist.org/photos/19536330/medium.jpeg?1528728915,,163406
Niphotrichum elongatum,(Ehrh. ex Frisvoll) Bednarek-Ochyra & Ochyra,long fringe-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S4S5,confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B2156,3/1/2019,Andrew Simon,https://www.inaturalist.org/observations/20872832,https://static.inaturalist.org/photos/32204746/medium.jpeg?1551511612,,123441
Racomitrium heterostichum,,Yellow-green Rock Moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,,,new 2019,observed,,,,,1/23/2019,Andrew Simon,https://www.inaturalist.org/observations/20068245,https://static.inaturalist.org/photos/30987760/medium.jpeg?1549240977,,167683
Racomitrium lanuginosum,(Hedw.) Brid.,woolly fringe-moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S3S5 (2015),reported,unobserved,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,,,,167684
Schistidium maritimum,(Turner ex Robt. Scott) Bruch & Schimp,seaside Grimmia,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Grimmiaceae,,native,S4S5 (2015),reported,unobserved,2016-04-09,Terry McIntosh,UBC,B239041,,,,,,168578
Ptychomitrium gardneri,Lesq.,Gardner’s ptychomitrium moss,Plantae,Bryophyta,,,Bryopsida,Dicranidae,,Grimmiales,,,Ptychomitriaceae,,native,S3S4 (2015),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,B149843,,,,,,167566
Calliergonella cuspidata,(Hedw.) Loeske,pointed spear-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Amblystegiaceae,,native,S4S5 (2015),confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,B208892,1/30/2019,Andrew Simon,https://www.inaturalist.org/observations/19981458,https://static.inaturalist.org/photos/30836361/medium.jpeg?1548904563,,159669
Brachythecium albicans,(Hedw.) Schimp.,whitish feather-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2015),reported,unobserved,2016-04-10,Terry McIntosh,St. John Point Conservation Report,,,,,,,123771
Brachythecium frigidum,(C. Muell.) Besch.,frigid feather-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,native,S5? (2015),confirmed,observed,2016-04-09,Terry McIntosh,UBC,B238996,2/1/2019,Andrew Simon,https://www.inaturalist.org/observations/20023015,https://static.inaturalist.org/photos/30906785/medium.jpeg?1549076374,,
Brachythecium velutinum,(Hedw.) Schimp.,velvet feather-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,native,S4S5 (2011),reported,unobserved,1969-08-21,Wilfred B. Schofield,UBC,B76355,,,,,,154134
Eurhynchium praelongum,(Hedw.) Schimp.,slender-beaked moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,native,S5,confirmed,observed,2016-04-10,Terry McIntosh,UBC,B239048,1/24/2019,Andrew Simon,https://www.inaturalist.org/observations/19857220,https://static.inaturalist.org/photos/30615065/medium.jpeg?1548392669,reported as Kindbergia praelonga,782852
Homalothecium aeneum,(Mitt.) E. Lawton,golden curl-moss,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,native,unlisted,reported,unobserved,2016-04-09,Terry McIntosh,UBC,B239039,,,,,,
Homalothecium arenarium,(Lesq.) E. Lawton,sandwort homalothecium,Plantae,Bryophyta,,,Bryopsida,Bryidae,,Hypnales,,,Brachytheciaceae,,native,S3S4 ,confirmed,observed,2016-04-10,Terry McIntosh,UBC,B239014,4/28/2019,Andrew Simon,https://www.inaturalist.org/observations/24711300,https://static.inaturalist.org/photos/38212245/medium.jpeg?1557198007,,163825
