Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,First Observed,Observer,iNaturalist Link,iNaturalist photo,Notes,ID
Hydropunctaria maura,(Wahl.) Keller & Gueidan.,wart lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,unlisted,confirmed,observed,2009-01-01,Curtis R. Bjork,Mayne Flora List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/9286373,https://static.inaturalist.org/photos/12587195/medium.jpeg?1514493054,,197141
Verrucaria cf muralis,Ach.,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Verrucaria viridula,(Schrad.) Ach.,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,,reported,unobserved,1974-06-17,Willa J. Noble,UBC,L36505,,,,,,
Acarospora fuscata,(Nyl.) Th. Fr.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,Acarosporales,,,Acarosporaceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38274,,,,,,
Polysporina simplex,(Taylor) Vězda,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,Acarosporales,,,Acarosporaceae,,,,reported,unobserved,1974-06-17,Willa J. Noble,UBC,L36506,,,,,,
Placynthiella uliginosa,(Schrad.) Coppins & P. James,pear tar-spot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Sarea resinae,(Fr.) Kuntze,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,,native,unlisted,new 2019,unobserved,2019-05-05,Juliet Pendray & James Holkko,Bioblitz 2019,,,,,,,230428
Trapelia corticola,Coppins & P. James,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Trapeliopsis granulosa,(Hoffm.) Lumbsch,granular mottled-disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,180430
Candelariella vitellina,(Hoffm.) Müll. Arg.,common goldspeck,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Candelariales,,,Candelariaceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38201,,,,,,
Chaenotheca chrysocephala,(Ach.) Th. Fr.,yellow-headed pin,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Incertae sedis,,,Coniocybaceae,,native,unlisted,new 2019,unobserved,2019-05-05,Juliet Pendray & James Holkko,Bioblitz 2019,,,,,,,
Cladina rangiferina,(L.) Nyl.,grey reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native ,S5 (2018),reported,unobserved,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,,,,,,119778
Cladonia asahinae,J.W.Thomson,Asahina's pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2010) ,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L2170,,,,,,210582
Cladonia bellidiflora,(Ach.) Schaer.,floral pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),new 2019,unobserved,2019-05-05,Juliet Pendray & James Holkko,Bioblitz 2019,,,,,,,
Cladonia carneola,(Fr.) Fr.,crowned pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native ,S5 (2018),new 2019,observed,,,,,1/23/2019,Andrew Simon,https://www.inaturalist.org/observations/19836677,https://static.inaturalist.org/photos/30580654/medium.jpeg?1548306071,,194513
Cladonia chlorophaea,(Flörke ex Sommerf.) Spreng.,mealy pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native ,S5 (2018),confirmed,observed,1904-03-21,A.J. Hill,UBC,L2130,5/16/2019,Andrew Simon,https://www.inaturalist.org/observations/25473411,https://static.inaturalist.org/photos/39456366/medium.jpeg?1558394239,,49488
Cladonia coniocraea,(Flörke) Spreng.,common powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2010),confirmed,observed,1974-06-02,Willa J. Noble,UBC,L38264,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336532,https://static.inaturalist.org/photos/19535675/medium.jpeg?1528728194,,155093
Cladonia crispata var. cetrariiformis,(Delise) Vain.,lesser organpipe pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native ,S5 (2019),new 2019,unobserved,2019-05-05,Juliet Pendray & James Holkko,Bioblitz 2019,,,,,,,240031
Cladonia dimorpha,S.Hammer,troubled pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,SH (2010),reported,unobserved,1/1/2009,Curtis R. Bjork,Mayne Flora List,,,,,,,
Cladonia fimbriata,(L.) Fr.,trumpet pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2010),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L51394,,,,,,179037
Cladonia furcata,(Huds.) Schrad.,many-forked cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native ,S5 (2018),confirmed,observed,1962-06-04,Wilfred B. Schofield,UBC,L3046,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336575,https://static.inaturalist.org/photos/19538661/medium.jpeg?1528731443,,54607
Cladonia gracilis,(L.) Willd.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L2888,,,,,,
Cladonia macilenta,Hoffm.,lipstick powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38255,,,,,,117950
Cladonia multiformis ,G.Merr.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L3027,,,,,,
Cladonia ochrochlora,Flörke,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,reported,unobserved,1914-05-25,John Macoun,UBC,L3082,,,,,,
Cladonia portentosa ssp. pacifica,,Maritime Reindeer Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,,confirmed,observed,1962-06-04,unknown,UBC,L3087,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336573,https://static.inaturalist.org/photos/19538519/medium.jpeg?1528731264,,340879
Cladonia prolifica,S.Hammer & Ahti,phantom pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S3S4 (2018),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L3130,,,,,,
Cladonia pyxidata,(L.) Hoffm.,pebbled pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native ,S5 (2018),confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/9286370,https://static.inaturalist.org/photos/12587169/medium.jpeg?1514492992,,123894
Cladonia scabriuscula,(Delise) Leight.,card-carrying Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native ,S5 (2018),confirmed,observed,1914-05-20,John Macoun,UBC,L2721,2/26/2019,Andrew Simon,https://www.inaturalist.org/observations/20794373,https://static.inaturalist.org/photos/32070218/medium.jpeg?1551232884,,217148
Cladonia squamosa,(Scop.) Hoffm.,dragon pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2010),reported,unobserved,1914-05-01,John Macoun,UBC,L3394,,,,,,117963
Cladonia symphycarpia,,greater ribbed pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2010) ,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Cladonia transcendens,(Vain.) Vain.,graduated pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2010) ,new 2019,observed,,,,,1/23/2019,Andrew Simon,https://www.inaturalist.org/observations/19836681,https://static.inaturalist.org/photos/30580679/medium.jpeg?1548306159,,179038
Cladonia umbricola,Tønsberg & Ahti,shadow pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,3/26/2019,Andrew Simon,https://www.inaturalist.org/observations/22131208,https://static.inaturalist.org/photos/34262467/medium.jpeg?1554616993,,194721
Cladonia verruculosa,(Vain.) Ahti,nittygritty pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2010) ,reported,unobserved,1980-07-15,Willa J. Noble,UBC,L37705,,,,,,155194
Pilophorus acicularis,(Ach.) Th. Fr.,devil’s matchsticks,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,unobserved,1962-06-04,Wilfred B. Schofield,UBC,L7199,,,,,,128919
Circinaria caesiocinerea,(Nyl. ex Malbr.) Arnold,crust lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Coccocarpiaceae,,native,unlisted,confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336516,https://static.inaturalist.org/photos/19534509/medium.jpeg?1528726553,,462704
Lecanora campestris,(Schaer.) Hue,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38265,,,,,,222833
Lecanora carpinea,(L.) Vain.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Lecanora confusa,Almb.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,confirmed,observed,2009-01-01,Curtis R. Bjork,Mayne Flora List,,3/15/2019,Andrew Simon,https://www.inaturalist.org/observations/21305826,https://static.inaturalist.org/photos/32946277/medium.jpeg?1552786619,,222844
Lecanora dispersa,(Pers.) Röhl.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38261,,,,,,
Lecanora expallens,Ach.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Lecanora hybocarpa,(Tuck.) Brodo,bumpy rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,new 2019,observed,,,,,1/31/2019,Andrew Simon,https://www.inaturalist.org/observations/20001077,https://static.inaturalist.org/photos/30871534/medium.jpeg?1548990606,,155095
Lecanora pacifica,Tuck.,multicolored rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,new 2019,unobserved,5/5/2019,Juliet Pendray & James Holkko,Bioblitz 2019,,,,,,,117970
Lecanora pulicaris,(Pers.) Ach.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Lecanora rupicola,(L.) Zahlbr.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38199,,,,,,
Lecanora symmicta,(Ach.) Ach.,fused rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,new 2019,observed,,,,,1/31/2019,Andrew Simon,https://www.inaturalist.org/observations/20001076,https://static.inaturalist.org/photos/30871529/medium.jpeg?1548990597,,222957
Lecanora xylophila,Hue,driftwood rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,1974-06-17,Willa J. Noble,UBC,L12469,,,,,,117966
Protoparmeliopsis muralis grp.,(Schreb.) M. Choisy,stonewall rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,confirmed,observed,1914-06-03,John Macoun,UBC,L4565,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/9286377,https://static.inaturalist.org/photos/12587250/medium.jpeg?1514493187,,154082
Pyrrhospora quernea,(Dicks.) Körb.,rim lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanoraceae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Lecidella asema,(Nyl.) Knoph & Hertel,disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanorineae,,native,unlisted,confirmed,observed,2009-01-01,Curtis R. Bjork,Mayne Flora List,,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336570,https://static.inaturalist.org/photos/19538187/medium.jpeg?1528730854,,205694
Lecidella elaeochroma,,disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanorineae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Lecidella scabra,,disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Lecanorineae,,native,unlisted,reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Mycoblastus sanguinarius,(L.) Norman,bleeding heart lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Mycoblastaceae,,native,unlisted,reported,unobserved,1974-06-20,Willa J. Noble,UBC,L20234,,,,,,
Tephromela atra,(Hudson) Ach.,black-eye lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Mycoblastaceae,,native,unlisted,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38258,,,,,,232383
Tephromela pacifica,Björk ined.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Mycoblastaceae,,native,unlisted,reported,unobserved,1974-06-18,Willa J. Noble,UBC,L14400,,,,,,
Alectoria vancouverensis,(Gyelnik) Gyelnik ex Brodo & D.Hawksw.,witch’s hair,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2018),reported,unobserved,1914-05-18,John Macoun,UBC,L2037,,,,,,205455
Bryoria capillaris,(Ach.) Brodo & D.Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,,reported,unobserved,1974-06-02,Willa J. Noble,UBC,L38277,,,,,,
Bryoria tortuosa,(G.Merr.) Brodo & D.Hawksw.,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,,reported,unobserved,1914-05-20,John Macoun,UBC,L410,,,,,,
Cetrelia cetrarioides,(Delise ex Duby) W.L.Culb. & C.F.Culb.,downside sea-storm,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),confirmed,observed,1974-06-17,Willa J. Noble,UBC,L14397,6/19/2017,Andrew Simon,https://www.inaturalist.org/observations/13336577,https://static.inaturalist.org/photos/19538797/medium.jpeg?1528731619,,154457
Evernia prunastri,(L.) Ach.,antlered oakmoss,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4S5 (2010),confirmed,observed,1974-06-17,Willa J. Noble,UBC,L10865,1/29/2019,Andrew Simon,https://www.inaturalist.org/observations/19956812,https://static.inaturalist.org/photos/30792933/medium.jpeg?1548803001,,123175
Hypogymnia apinnata,Goward & McCune,beaded sleeve,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),reported,unobserved,1904-03-20,A.J. Hill,UBC,L4244,,,,,,222045
Hypogymnia enteromorpha,(Ach.) Nyl.,inflatable bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),confirmed,observed,1974-06-18,Willa J. Noble,UBC,L36514,5/5/2019,James Holkko,https://www.inaturalist.org/observations/26063621,https://static.inaturalist.org/photos/40437338/medium.jpg?1559231589,,222048
Hypogymnia imshaugii,Krog,forking bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),confirmed,observed,1974-06-19,Willa J. Noble,UBC,L14408,5/5/2019,James Holkko,https://www.inaturalist.org/observations/26063816,https://static.inaturalist.org/photos/40437677/medium.jpg?1559231872,,179042
Hypogymnia inactiva,(Krog) Ohlsson,wish bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),reported,unobserved,1974-06-18,Willa J. Noble,UBC,L14919,,,,,,126597
Hypogymnia occidentalis,L.H. Pike,budding bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,222055
Hypogymnia physodes,(L.) Nyl.,monk’s hood,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),confirmed,observed,1974-06-18,Willa J. Noble,UBC,L20488,1/17/2019,Andrew Simon,https://www.inaturalist.org/observations/19703785,https://static.inaturalist.org/photos/30353065/medium.jpeg?1547775705,,117971
Hypogymnia tubulosa,(Schaer.) Hav.,dog bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native ,S5 (2018),confirmed,observed,2017-06-19,Andrew Simon,Lichens of St. John Point Preliminary List,,1/28/2019,Andrew Simon,https://www.inaturalist.org/observations/19942062,https://static.inaturalist.org/photos/30766922/medium.jpeg?1548732609,,179720
Hypotrachyna sinuosa,(Sm.) Hale,green loop,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
Imshaugia aleurites,(Ach.) S.F. Meyer.,salted badge,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S4 (2010),reported,unobserved,2009-01-01,Curtis R. Bjork,Mayne Flora List,,,,,,,
