Taxon name,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name
Hexagrammos decagrammus,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,few,open,72,33,kelp greenling
Ophiodon elongatus,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,72,33,lingcod
Oxylebius pictus,2019-05-04T12:00:00,,Ballingall Islets Park,48.906568,-123.460574,1,open,72,33,painted greenling
Nereocystis luetkeana,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,1,open,50,60,bull kelp
Metridium farcimen,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,giant plumose anemone
Balanophyllia elegans,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very abundant,open,50,60,orange cup coral
Dodecaceria fewkesi,2019-05-05T12:00:00,logged as fringed tube worm,Hawkins Island,48.84,-123.36833,abundant,open,50,60,fringed filament-worm
Tonicella lineata,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,lined chiton
Cryptochiton stelleri,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,1,open,50,60,giant Pacific chiton
Crassadoma gigantea,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,giant rock scallop
Ceratostoma foliatum,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,leafy hornmouth
Calliostoma ligatum,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,blue topsnail
Doris montereyensis,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,Monterey sea lemon
Diaulula odonoghuei,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,1,open,50,60,spotted leopard dorid
Dendronotus iris,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,giant nudibranch
Pandalus danae,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,coonstripe shrimp
Cancer productus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,red rock crab
Scyra acutifrons,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,sharpnose crab
Oregonia gracilis,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,graceful decorator crab
Balanus nubilus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,giant acorn barnacle
Pisaster ochraceus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,purple star or ochre star
Evasterias troschelii,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,mottled star
Dermasterias imbricata,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,leather star
Henricia leviuscula leviuscula,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,blood star
Mesocentrotus franciscanus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,red sea urchin
Apostichopus californicus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,few,open,50,60,giant sea cucumber
Cucumaria miniata,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,red sea cucumber
Distaplia occidentalis,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,abundant,open,50,60,mushroom compound tunicate
Rhinogobiops nicholsii,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,very many,open,50,60,blackeye goby
Sebastes caurinus,2019-05-05T12:00:00,10-20cm,Hawkins Island,48.84,-123.36833,1,open,50,60,copper rockfish
Oxylebius pictus,2019-05-05T12:00:00,,Hawkins Island,48.84,-123.36833,1,open,50,60,painted greenling
Metridium farcimen,2019-05-04T12:53:00,,"Edith Point, inside",48.855,-123.25,1,open,50,14,giant plumose anemone
