CatalogueNumber,ItemName,ScientificName,Phylum,Class,Order,Family,Genus,Species,Subspecies,TaxonCode,Synonyms,Identifier,IDDate,CDC,Quantity,SpecimenNature,Collector,CollectionDate,FieldEventCode,DepthBelowSurface_Min,DepthBelowSurface_Max,DepthBelowSurface_Unit,Eco_GenHabitat,Terrestrial_Aquatic,HabitatGrossCover,HabitatRemarks,Substrate,Vegetation,Country,Prov_State,LocationName,LocationDescription,LocationRemarks,Latitude,Longitude,Approximate,UTMZone,UTMNorthing,UTMEasting,Elevation,Continent,District,WaterBody,MuseumCollection,CurrentLocation,SpecimenType,SpecimenNotes,ContainerType,Preservative,Fixative,Prefixative,PreparationNotes,PreparatorNotes,RegistrationNo,TSRNo,Cataloguer,CatalogueDate,LastModifiedBy,LastModifiedDate,Restriction
976-01146-004,Euspira lewisii,Euspira lewisii,Mollusca,Gastropoda,Mesogastropoda,Naticidae,Euspira,lewisii,,30-1-42," Natica lewisii Gould, 1847; Polinices lewisii", Ian McTaggart-Cowan,1961-12-01,,4,Wet,,1961-06-23,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,prev. ID Polinices lewisii,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01146-005,Dentalium rectius,Dentalium rectius,Mollusca,Scaphopoda,Dentaliida,Dentaliidae,Dentalium,rectius,,31,,,,,12,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01146-006,Compsomyax subdiaphana,Compsomyax subdiaphana,Mollusca,Bivalvia,Veneroida,Veneridae,Compsomyax,subdiaphana,,32-4-1-13,,,,,,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
976-01146-007,Compsomyax subdiaphara,Compsomyax subdiaphara,Mollusca,Bivalvia,Veneroida,Veneridae,Compsomyax,subdiaphara,,,,,,,,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
976-01146-008,Macoma calcarea,Macoma calcarea,Mollusca,Bivalvia,Veneroida,Tellinidae,Macoma,calcarea,,32-4-1-15,,,,,,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
976-01146-009,Macoma inflatula,Macoma inflatula,Mollusca,Bivalvia,Veneroida,Tellinidae,Macoma,inflatula,,32-4-1-15,,,,,21,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
976-01146-010,Patiria miniata,Patiria miniata,Echinodermata,Asteroidea,Spinulosida,Asterinidae,Patiria,miniata,,38-2-2," Asterias miniata Brandt, 1835; Asterina minuta Sladen, 1889", Philip Lambert,1977-10-04,,7,Wet,,,,,30.0000,fms,,marine,,,mud,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT-BIN.1094b,,,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,Heidi Gartner,10/21/2019 12:05:31 PM,
976-01146-011,Crossaster papposus,Crossaster papposus,Echinodermata,Asteroidea,Spinulosida,Solasteridae,Crossaster,papposus,,38-2-7," Solaster papposus (Linnaeus, 1767)", Philip Lambert,1977-10-04,,4,Wet,,,,,30.0000,fms,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT-BIN.1102,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01146-012,Solaster dawsoni,Solaster dawsoni,Echinodermata,Asteroidea,Spinulosida,Solasteridae,Solaster,dawsoni,,38-2-7,, Philip Lambert,1977-10-13,,1,Wet,,,,,30.0000,fms,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT-BIN.1106a,,collected possibly 1961,,Isopropanol - 60%,,,,,,,,2004-04-08,Cole Bodin,12/17/2014 2:30:18 PM,
976-01146-013,Crossaster papposus,Crossaster papposus,Echinodermata,Asteroidea,Spinulosida,Solasteridae,Crossaster,papposus,,38-2-7," Solaster papposus (Linnaeus, 1767)", Philip Lambert,1977-10-04,,1,Wet,,,,,30.0000,fms,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT-BIN.1102,,,,,,,,,,,,2004-04-08,,,
976-01146-014,Dendraster excentricus,Dendraster excentricus,Echinodermata,Echinoidea,Clypeastroida,Scutellidae,Dendraster,excentricus,,40-2-3-5,, Philip Lambert,2000-01-26,,2,Wet,,1964-12-07,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT-BIN.1166,,,,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01146-015,Ptilosarcus gurneyi,Ptilosarcus gurneyi,Cnidaria,Anthozoa,Pennatulacea,Pennatulidae,Ptilosarcus,gurneyi,,4-3-1-6-7,, Gordon Green,1981-03-01,,2,Wet,,1923-06-18,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT-BIN.127,,,Jar,Isopropanol - 60%,,,,,,,,2004-04-08,,,
976-01146-017,Ampelisca lobata,Ampelisca lobata,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,lobata,,25-6-4-5-13-1, Ampelisca articulata,,,,1,Wet,,1961-06-22,,,,,,marine,,,,,Canada,British Columbia,Porlier Pass,,,49.0116666666667,-123.588333333333,False,,,,,North America,,Strait of Georgia,,T.00.018.INVT,,,,,,,,,,,,2004-04-08,,,
