iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Agrostis scabra,75319,Agrostis canina,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Agrostis,scabra,saanich,Cultivated especially for putting greens; occasional in Victoria and Oak Bay.Oregon nearest on FNA. CDC Explorer single Lomer collection Douglas island in Fraser off New Westminister.,,,,COMP-Saanich:24
Aira caryophyllea,52694,Agrostis capillaris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Aira,caryophyllea,saanich,Cultivated for lawns and pastures; escaped and established.,,,HR,COMP-Saanich:25
Aira praecox,61058,Agrostis exarata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Aira,praecox,saanich,"Moist, open ground; sporadic throughout; frequent in the Sidney area.",,,HR,COMP-Saanich:26
Ajuga reptans,56099,Agrostis gigantea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Ajugoideae,,Ajuga,reptans,saanich,"Native of Eurasia; commonly cultivated for meadow, pasture, and lawns; an escapee from cultivation in many areas; represented by var. palustris (Huds.) Pers., var. stolonifera (L.) J. E. Smith and var. alba; varieties of A. alba are one of best lawn grass",,,HR,COMP-Saanich:27
Alcea rosea,62205,Agrostis idahoensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,,Malvaceae,Malvoideae,Malveae,Alcea,rosea,saanich,"Listed in the Provincial Museum Report for 1921 as occurring in Victoria, where it was collected by Macoun; not very readily distinguishable from A. scabra. No new records CDC Explorer.",,,,COMP-Saanich:28
Alisma triviale,61167,Agrostis microphylla,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Alismataceae,,,Alisma,triviale,saanich,"Many Victoria colls Lomer, Ceska, Douglas",,,HR,COMP-Saanich:29
Allium acuminatum,59782,Agrostis oregonensis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,acuminatum,saanich,AC Turner's Bog 1976.,,,,COMP-Saanich:30
Allium amplectens,60267,Agrostis pallens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,amplectens,saanich,Mesic to moist sand dunes and rocky seacliffs in the lowland zone. Rare on south Vancouver Island. HLR Mill Hill report in BEN344.,,,HR,COMP-Saanich:31
Allium cernuum,116364,Agrostis scabra,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,cernuum,saanich,"Moist, open grassland; sporadic throughout,",,,HR,COMP-Saanich:32
Allium vineale,75371,Aira caryophyllea,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Amaryllidaceae,Allioideae,Allieae,Allium,vineale,saanich,Open ground and coastal plains; common throughout; frequent weed in rock gardens.,,,,COMP-Saanich:33
Allotropa virgata,62481,Aira elegans,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Monotropoideae,,Allotropa,virgata,saanich," Henderson Point HLR.   Observation only, no specimen00",,,,COMP-Saanich:34
Alnus rubra,56034,Aira praecox,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Alnus,rubra,saanich,Sandy open ground and dry fields; common throughout and well established.,,,,COMP-Saanich:35
Alnus alnobetula sinuata,939032,Alisma gramineum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Alnus,alnobetula,saanich,Sidney Island 2000 (details?source?),,,,COMP-Saanich:36
Alopecurus aequalis,75381,Alisma triviale,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Alopecurus,aequalis,saanich,"Marshy areas, often submersed; occasional; Bowker Creek, Swan and Blenkinsop Lakes, and the Sidney area; flowers. AC Spencer Pond, Langford 1987, TCB Glen Lake 1989. TCB Bowker Creek 1999. =A. plantago-aquatica. Recheck vouchers.",,,,COMP-Saanich:37
Alopecurus carolinianus,75382,Alliaria petiolata,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Alopecurus,carolinianus,saanich,Native of Eurasia; waste places and disturbed ground; locally well established.,,,,COMP-Saanich:38
Alopecurus geniculatus,71140,Allium acuminatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Alopecurus,geniculatus,saanich,On sandy or rocky soil in exposed places; very common throughout.,,,AS,COMP-Saanich:39
Alopecurus pratensis,71141,Allium amplectens,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Alopecurus,pratensis,saanich,"Open, dry ground; frequent in Ten Mile Point and occasional throughout the area of study. HLR Mill Hill report in BEN344.",,,AS,COMP-Saanich:40
Amaranthus blitoides,58774,Allium cernuum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,blitoides,saanich,"Dry, open, grassy places; common throughout in suitable habitats.",,,AS,COMP-Saanich:41
Amaranthus powellii,75398,Allium geyeri var. tenerum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,hybridus,saanich,"Damp, open ground; occasional at Ten Mile Point, Cattle Point, Portage Inlet, Uplands, mouth of Millstream Creek and Sidney.",,typo correction,TL,COMP-Saanich:42
Amaranthus retroflexus,58776,Allium vineale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Amaranthaceae,Amaranthoideae,,Amaranthus,hybridus,saanich,"Great Chain Island, north side, east of Oak Bay. Gull nesting island devoid of almost everything but annual weeds and grasses. Melburn collections Upland Park. Cruickshank iNaturalist observation Trial Island Ecological Reserve 2018.",,,,COMP-Saanich:43
