iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,area,HJ_comment,FPNW_note,critical_comments,reviewed,id
Humulus lupulus lupulus,241080,Humulus lupulus var. lupulus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Cannabaceae,,,Humulus,lupulus,ogi,"Valley Rd, Galiano iNaturalist report 2019.",,,,COMP-OuterGulf:395
Huperzia selago,119147,Huperzia selago,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Huperzioideae,,Huperzia,selago,ogi,Macoun Mayne 1914.,,,,COMP-OuterGulf:396
Hyacinthoides hispanica,57635,Hyacinthoides hispanica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,,Hyacinthoides,hispanica,ogi,"Persisting from cultivation along with H. non-scripta. Straley Sturdies Bay, Galiano 1983.",,,,COMP-OuterGulf:397
Hyacinthoides × massartiana,863646,Hyacinthoides massartiana,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Scilloideae,,Hyacinthoides,,ogi,"Persisting from cultivation, AS Montague Harbour, Galiano 2017.",,,,COMP-OuterGulf:398
Hydrocotyle ranunculoides,60951,Hydrocotyle ranunculoides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Araliaceae,Hydrocotyloideae,,Hydrocotyle,ranunculoides,ogi,"HLR report Prevost Island. CDC 2008 update: Formerly not considered part of the flora in BC, this species is now considered historic (possibly extirpated) native taxon.",,,,COMP-OuterGulf:399
Hypericum anagalloides,61032,Hypericum anagalloides,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,anagalloides,ogi,"Wetlands, bogs, bluff seeps, all islands.",,,AS,COMP-OuterGulf:400
Hypericum calycinum,77481,Hypericum calycinum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,calycinum,ogi,Occasionally persisting in abandoned flower beds and fields. Several iNaturalist reports for area.,,,AS,COMP-OuterGulf:401
Hypericum perforatum,56077,Hypericum perforatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,,Hypericaceae,,Hypericeae,Hypericum,perforatum,ogi,"Roadsides, cultivated land, waste places, not common, all islands.",,,AS,COMP-OuterGulf:402
Hypochaeris glabra,53103,Hypochaeris glabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hypochaeris,glabra,ogi,"Roadside, disturbed and waste ground, all islands.",,,AS,COMP-OuterGulf:403
Hypochaeris radicata,53104,Hypochaeris radicata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hypochaeris,radicata,ogi,"Lawns, cultivated ground, waste ground, all islands.",,,AS,COMP-OuterGulf:404
Idahoa scapigera,77486,Idahoa scapigera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,,Idahoa,scapigera,ogi,"HJ Grassy bluffs Saturna, Galiano",,,AS,COMP-OuterGulf:405
Ilex aquifolium,53856,Ilex aquifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Aquifoliales,,,,Aquifoliaceae,,,Ilex,aquifolium,ogi,"Adventive in moist woods, Galiano, Mayne, Saturna, N Pender",,,AS,COMP-OuterGulf:406
Impatiens capensis,47888,Impatiens capensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Balsaminaceae,,,Impatiens,capensis,ogi,"Rocky shoreline and beach Winter Cove, Saturna HJ 1994. Zika Galiano 2004. iNaturalist report Morning Beach, Galiano 2020.",,,,COMP-OuterGulf:407
Impatiens glandulifera,47892,Impatiens glandulifera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Balsaminaceae,,,Impatiens,glandulifera,ogi,"Zika 50 m from trailhead on Grace Trail, west of Georgeson Bay Road, northeast slope of Mount Galiano, southeast end of Galiano.",,,,COMP-OuterGulf:408
Iris × germanica,709635,Iris germanica,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Irideae,Iris,,ogi,Rhizomes persistant all islands. Doesn't appear to spread by seed. On Lomer & Penny's non-established list. FL has I. sibirica dry ditches DeCourcy Island 2008.,,,,COMP-OuterGulf:409
Iris pseudacorus,47779,Iris pseudacorus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Irideae,Iris,pseudacorus,ogi,"Ponds, fens and roadside ditches all islands.",,,,COMP-OuterGulf:410
Isoetes nuttallii,63827,Isoetes nuttallii,Plantae,Tracheophyta,,,Lycopodiopsida,,,Isoetales,,,,Isoetaceae,,,Isoetes,nuttallii,ogi,Several restricted GI locations CPNWH. FL DeCourcy Island 2006.,,,,COMP-OuterGulf:411
Jacobaea maritima,357682,Jacobaea maritima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Jacobaea,maritima,ogi,"Persisting along rocky shoreline, Boot Cove, Saturna. Galiano location?",,,,COMP-OuterGulf:412
Jacobaea vulgaris,62498,Jacobaea vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Jacobaea,vulgaris,ogi,"Roadside and logging roads, widespread all islands, spreading aggressivly. Cinnabar moths too.",,,,COMP-OuterGulf:413
Jaumea carnosa,60969,Jaumea carnosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Tageteae,Jaumea,carnosa,ogi,"Salt marshes and mud flats Saturna, Cabbage, Tumbo. JP N Pender 1996.",,,,COMP-OuterGulf:414
Juncus acuminatus,77549,Juncus acuminatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,acuminatus,ogi,"Fens and wetlands, all islands.",,,,COMP-OuterGulf:415
Juncus articulatus,77552,Juncus articulatus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,articulatus,ogi,Fens and wet places all islands.,,,,COMP-OuterGulf:416
Juncus balticus,58347,Juncus balticus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,balticus,ogi,"Wet meadows, shoreline wetlands, common all islands. Holm reports J. arcticus from ER128, Galiano 2017.",,,,COMP-OuterGulf:417
Juncus bolanderi,77553,Juncus bolanderi,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,bolanderi,ogi,Roadside ditches and wetlands common all islands except rare on Saturna.,,,,COMP-OuterGulf:418
Juncus bufonius,57107,Juncus bufonius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,bufonius,ogi,"Common throughout on wet, disturbed ground.",,,,COMP-OuterGulf:419
Juncus conglomeratus,204335,Juncus conglomeratus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,conglomeratus,ogi,"Zika roadside Port Washington, N Pender 2003. FL N Pender 2006.",,,,COMP-OuterGulf:420
Juncus effusus effusus,79961,Juncus effusus ssp. effusus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,effusus,ogi,"Common fens, wet meadows and fields throughout.",,"""Maybe follow the FPNW and list it as ssp. effusus from Europe. Subspecies solutus from east N.A. may also be in the area"" FL —""I have definitely been observing multiple ssp of Juncus effusus around, inc. Je.solutus, J.e.pacificus, and J.e.effusus. The list should be updated to included record of all these infrataxa—how to update comments?""","FL, AS",COMP-OuterGulf:421
Juncus effusus pacificus,57108,Juncus effusus ssp. pacificus,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,effusus,ogi,"Common fens, wet meadows and fields throughout.",,"""Maybe follow the FPNW and list it as ssp. effusus from Europe. Subspecies solutus from east N.A. may also be in the area"" FL —""I have definitely been observing multiple ssp of Juncus effusus around, inc. Je.solutus, J.e.pacificus, and J.e.effusus. The list should be updated to included record of all these infrataxa—how to update comments?""","FL, AS",COMP-OuterGulf:422
Juncus ensifolius,77569,Juncus ensifolius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,ensifolius,ogi,"Common fens, wet meadows and fields throughout.",,,,COMP-OuterGulf:423
Juncus gerardi,320881,Juncus gerardii,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,gerardi,ogi,"Bedwell Harbour, N Pender. Winter Cove, Saturna. Salt marshes.",,,,COMP-OuterGulf:424
Juncus hesperius,77574,Juncus hesperius,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,hesperius,ogi,FL Otter Bay roadside 2006.,,look for J. laccatus FL,AS,COMP-OuterGulf:425
Juncus interior,77576,Juncus interior,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,interior,ogi,HJ Saturna 1975,,"""delete. I doubt it grows in the area. Rather rare in the Columbia River area near Washington and an intro in Metro Vancouver."" FL ""My record from Saturna is a re-id by Jennifer Penny. Will recheck. Also all the Saanich Peninsula records of J. interior are re-id by Jennifer."" HJ",FL,COMP-OuterGulf:426
Juncus oxymeris,77588,Juncus oxymeris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,oxymeris,ogi,Recheck HJ Galiano roadside collection. Should be at V but not found on eFlora.,,"""delete"" FL ""Agree"" HJ","HJ, FL",COMP-OuterGulf:427
Juncus tenuis,69930,Juncus tenuis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Juncus,tenuis,ogi,"Moist meadows, farm fields throughout, all islands.",,,,COMP-OuterGulf:428
Juniperus communis kelleyi,873482,Juniperus communis var. kelleyi,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Cupressaceae,Cupressoideae,,Juniperus,communis,ogi,"This is present at St. John Point on Mayne Island, on the tip of the southeast-facing peninsula, along with Juniperus maritima (scopulorum) AS.",,,,COMP-OuterGulf:429
Juniperus scopulorum,135883,Juniperus scopulorum,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Cupressaceae,Cupressoideae,,Juniperus,scopulorum,ogi,"Rocky points, low, open south shorelines. Occasionaly in upland forest close to sea. Some Galiano reports as J. maritima. iNaturalist reports N Pender, Saturna, Galiano, Mayne as J. maritima.",,"""Genetically this is J. maritima, but you follow the Flora of the PNW (2nd Ed.) so this is fine with the note they are the same thing."" FL E-Flora BC and other PNW collections are using J. maritima",FL,COMP-OuterGulf:430
Kalmia microphylla occidentalis,1035494,Kalmia microphylla var. occidentalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Ericoideae,Phyllodoceae,Kalmia,microphylla,ogi,"HJ Spghagnum Bog, Galiano 1975.",,,,COMP-OuterGulf:431
Kickxia elatine,64332,Kickxia elatine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Kickxia,elatine,ogi,"Mitchell Magic Lake area, N Pender 2019 iNaturalist report.",,,,COMP-OuterGulf:432
Koeleria macrantha,57183,Koeleria macrantha,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Koeleria,macrantha,ogi,Grassy bluffs and ledges. All islands,,,AS,COMP-OuterGulf:433
Kopsiopsis hookeri,77611,Kopsiopsis hookeri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Orobancheae,Kopsiopsis,hookeri,ogi,"Magner forest below Quadra Hill, Galiano 2015. iNaturalist report near ER 128 Sphagnum bog, Galiano 2020. Green iNaturalist report Mayne 2020.",,,AS,COMP-OuterGulf:434
Lactuca serriola,53107,Lactuca serriola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Lactuca,serriola,ogi,"Roadsides, fields and waste places, all islands.",,,,COMP-OuterGulf:436
Lamium galeobdolon,204339,Lamiastrum galeobdolon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Lamieae,Lamium,galeobdolon,ogi,No herbarium reccords but listed by the Invasive Species Council of BC for Vancouver Island and Gulf Islands. Persistant and marginally spreading.,,,,COMP-OuterGulf:437
Lamium amplexicaule,55459,Lamium amplexicaule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Lamieae,Lamium,amplexicaule,ogi,"Gardens, cultivated ground, disturbed ground, Saturna, N Pender.",,,,COMP-OuterGulf:438
Lamium purpureum hybridum,801700,Lamium hybridum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Lamieae,Lamium,purpureum,ogi,"AS Cook Rd,Galiano 2018.",,,AS,COMP-OuterGulf:439
Lamium purpureum,55851,Lamium purpureum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Lamieae,Lamium,purpureum,ogi,"Roadsides, waste ground, all islands.",,,AS,COMP-OuterGulf:440
Lapsana communis,55981,Lapsana communis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Lapsana,communis,ogi,"Roadside, disturbed ground, forest edges, all islands.",,,,COMP-OuterGulf:441
Lathyrus japonicus,77638,Lathyrus japonicus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Lathyrus,japonicus,ogi,"Sandy beaches and shoreline, all islands.",,,,COMP-OuterGulf:442
Lathyrus latifolius,61009,Lathyrus latifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Lathyrus,latifolius,ogi,"Along roads, waste land, all islands.",,,,COMP-OuterGulf:443
Lathyrus nevadensis nevadensis,81015,Lathyrus nevadensis var. nevadensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Lathyrus,nevadensis,ogi,"Open, mesic woodland, all islands.",,,,COMP-OuterGulf:444
Lathyrus palustris,77642,Lathyrus palustris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Lathyrus,palustris,ogi,"Salt marshes, Saturna, Cabbage, N Pender, Mayne.",,,,COMP-OuterGulf:445
Lathyrus sylvestris,82740,Lathyrus sylvestris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Lathyrus,sylvestris,ogi,MF unpublished report Galiano locatiion ? Straley Mayne Island roadside 1987.,,,,COMP-OuterGulf:446
Lemna minor,54518,Lemna minor,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,minor,ogi,"Quiet standing water, lakes and ponds throughout. All islands. Many reports may be in error (name misapplied to native L. minuta) Re-check.",,,,COMP-OuterGulf:447
Lemna minuta,59076,Lemna minuta,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,minuta,ogi,HLR ER 128 Sphagnum Bog Galiano 2019,,,,COMP-OuterGulf:448
Lemna trisulca,77655,Lemna trisulca,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,trisulca,ogi,"Quiet ponds and lake margins. Known from Saturna, Galiano and N Pender.",,,,COMP-OuterGulf:449
Lemna turionifera,77656,Lemna turionifera,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Lemnoideae,,Lemna,turionifera,ogi,AS Mt Sutil ravine lake Galiano 2017.,,,,COMP-OuterGulf:450
Scorzoneroides autumnalis,204167,Leontodon autumnalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Scorzoneroides,autumnalis,ogi,"RLT Helen Point, Mayne 1978. Straley Mayne 1987, TRA N Pender 1958.",,,,COMP-OuterGulf:451
Leontodon saxatilis,60973,Leontodon saxatilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Leontodon,saxatilis,ogi,"Lawns, roadsides and waste places, all islands.",,,,COMP-OuterGulf:452
Lepidium campestre,77663,Lepidium campestre,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,campestre,ogi,"Roadsides and waste areas. Saturna, Galiano.",,,,COMP-OuterGulf:453
Lepidium densiflorum,77666,Lepidium densiflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,densiflorum,ogi,"Grassy bluff above Saturna Beach, Saturna HJ 1973, JP Heck Hill, Mayne 1996, JP Oaks Bluff, N Pender 1996.",s. lat.,,,COMP-OuterGulf:454
Lepidium didymum,60987,Lepidium didymum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,didymum,ogi,"HJ Disturbed ground, East Point Road, Saturna 2009.",,,,COMP-OuterGulf:455
Lepidium heterophyllum,77669,Lepidium heterophyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,heterophyllum,ogi,"Huggins Porlier Pass Rd, Galiano iNaturalist observation 2020.",,,,COMP-OuterGulf:456
Lepidium ramosissimum,77674,Lepidium ramosissimum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,ramosissimum,ogi,WAN Galiano location? WAN Java Islets 1934.,,,,COMP-OuterGulf:457
Lepidium strictum,58865,Lepidium strictum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,strictum,ogi,JKH lists for Gulf Islands. No vouchers found.,,,,COMP-OuterGulf:458
Lepidium virginicum,77676,Lepidium virginicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,virginicum,ogi,"Grassy bluffs, dry sandy ground, all islands. Var. menziesii (DC.) Thell.",,,,COMP-OuterGulf:459
Leptosiphon bicolor,64245,Leptosiphon bicolor,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Polemoniaceae,,,Leptosiphon,bicolor,ogi,"Open grassy bluffs and ridges, all islands.",,,,COMP-OuterGulf:460
Leptosiphon minimus,77693,Leptosiphon minimus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Polemoniaceae,,,Leptosiphon,minimus,ogi,"Taylor Bodega Ridge, Galiano 2006.",,,,COMP-OuterGulf:461
Leucanthemum vulgare,1404861,Leucanthemum vulgare,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,vulgare,ogi,"Fields, roadsides, and waste places, all islands.",,,,COMP-OuterGulf:462
Leymus mollis mollis,118426,Leymus mollis ssp. mollis,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Triticeae,Leymus,mollis,ogi,"Rocky shorelines, all islands.",,,,COMP-OuterGulf:463
Lilium columbianum,77744,Lilium columbianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Liliaceae,Lilioideae,Lilieae,Lilium,columbianum,ogi,"Damp, open woods and meadows, roadsides. All islands.",,,,COMP-OuterGulf:464
Limnanthes douglasii,51336,Limnanthes douglasii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Limnanthaceae,,,Limnanthes,douglasii,ogi,Seen in flower beds but doesn't appear to persist or spread. On Lomer & Penny's non-established list.,,,,COMP-OuterGulf:465
Linaria purpurea,77778,Linaria purpurea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Linaria,purpurea,ogi,"Garden escapee, all islands.",,,,COMP-OuterGulf:466
Linaria vulgaris,50790,Linaria vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Antirrhineae,Linaria,vulgaris,ogi,"Roadside and waste ground Saturna, N Pender.",,,,COMP-OuterGulf:467
Linnaea borealis longiflora,81026,Linnaea borealis ssp. longiflora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Linnaeoideae,,Linnaea,borealis,ogi,"Open, mesic forest, all islands.",,,,COMP-OuterGulf:468
Lithophragma glabrum,77789,Lithophragma glabrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Heuchereae,Lithophragma,glabrum,ogi,"Exposed, grassy bluffs, all islands.",,,AS,COMP-OuterGulf:469
Lithophragma parviflorum,77791,Lithophragma parviflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Saxifragaceae,,Heuchereae,Lithophragma,parviflorum,ogi,"Open, rocky places and rocky outcrops; occasionally meadows, all islands.",,,AS,COMP-OuterGulf:470
Lolium multiflorum,68479,Lolium multiflorum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Lolium,multiflorum,ogi,"Roadside, farm fields, meadows and disturbed ground. All islands.",,,,COMP-OuterGulf:471
Lolium perenne,52801,Lolium perenne,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Lolium,perenne,ogi,"Roadside, farm fields, meadows and disturbed ground. All islands.",,,AS,COMP-OuterGulf:472
Lomatium grayi,77808,Lomatium grayi,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Lomatium,grayi,ogi,"HJ sea cliffs below Bodega Ridge, Galiano 1982. Now treated as Lomatium papilioniferum J.A. Alexander & W. Whaley. BC material was previously misapplied as Lomatium grayi. Lomatium grayi s.s. occurs only in SE Idaho, Colorado, Utah, Wyoming and New Mexico (Alexander et al. 2018).",,Lomatium papilioniferum?,AS,COMP-OuterGulf:473
Lomatium nudicaule,77818,Lomatium nudicaule,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Lomatium,nudicaule,ogi,"Seaside meadows, grassy shorelines and banks, all islands.",,,AS,COMP-OuterGulf:474
Lomatium utriculatum,56827,Lomatium utriculatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Selineae,Lomatium,utriculatum,ogi,"Grassy bluffs, rocky meadows, all islands.",,,AS,COMP-OuterGulf:475
Lonicera ciliosa,77832,Lonicera ciliosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,ciliosa,ogi,"Open, mesic forest, all islands.",,,AS,COMP-OuterGulf:476
Lonicera hispidula,53416,Lonicera hispidula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,hispidula,ogi,"Mesic forest, all islands.",,,AS,COMP-OuterGulf:477
Lonicera involucrata involucrata,81040,Lonicera involucrata var. involucrata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,involucrata,ogi,Rare on outer islands; known from brackish low ground on Cabbage island. FL Prevost 2004.,,,AS,COMP-OuterGulf:478
Lotus corniculatus,47435,Lotus corniculatus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Loteae,Lotus,corniculatus,ogi,"Roadsides, lawns, waste areas. All islands.",,,AS,COMP-OuterGulf:479
Ludwigia palustris,60221,Ludwigia palustris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,,Onagraceae,,,Ludwigia,palustris,ogi,"HLR Ecological Reserve 128 Sphagnum Bog report, Galiano.",,,AS,COMP-OuterGulf:480
Luina hypoleuca,77843,Luina hypoleuca,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Luina,hypoleuca,ogi,FL Prevost Island 2004.,,,,COMP-OuterGulf:481
Lunaria annua,55886,Lunaria annua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Biscutelleae,Lunaria,annua,ogi,"Heffley Penfold Rd, Galiano 2019. Marginally escaping Saturna.",,,,COMP-OuterGulf:482
Lupinus arboreus,61010,Lupinus arboreus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Lupinus,arboreus,ogi,"Roadsides, waste ground, ferry terminals. Mayne, Galiano, N Pender, Parker",,,,COMP-OuterGulf:483
Lupinus bicolor,50614,Lupinus bicolor,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Lupinus,bicolor,ogi,"Grassy bluffs, grassy shoreline ledges, all islands.",,,,COMP-OuterGulf:484
Lupinus polyphyllus,59549,Lupinus polyphyllus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Lupinus,polyphyllus,ogi,"Roadsides Mayne, Galiano, N Pender; moist ground; included in Highways bank seeding. vars? On Lomer & Penny's non-established list.",,,,COMP-OuterGulf:485
Luzula campestris,55795,Luzula campestris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Luzula,campestris,ogi,FL Prevost Island 2004.,,,,COMP-OuterGulf:486
Luzula comosa laxa,81080,Luzula comosa var. laxa,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Luzula,comosa,ogi,Galiano location? Sullivan Saturna 1972. FL Prevost Island 2004.,,,,COMP-OuterGulf:487
Luzula macrantha,890625,Luzula macrantha,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Luzula,macrantha,ogi,"Galiano Tapovan Peace Park AS 2016. HJ Mt. Sutile 1979. AS Dinner Point, Mayne 2019.",,,,COMP-OuterGulf:488
Luzula multiflora,164948,Luzula multiflora,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Juncaceae,,,Luzula,multiflora,ogi,"Throughout open coniferous forests, lakeshore, bogs.",,,,COMP-OuterGulf:489
