Family,Full Species,Infra taxa,Habitat,Islands,"Island Size (min, max)",Typical Cover,Date First Seen,Date Last Seen,Notes,taxonName,authority
Asparagaceae,Maianthemum dilatatum (Alph. Wood) A. Nelson & J.F. Macbr.,,Forest,16,,,,,,Maianthemum dilatatum,(Alph. Wood) A. Nelson & J.F. Macbr.
Asparagaceae,Maianthemum racemosum (L.) Link,ssp. amplexicaule,Forest,16,,,,,,Maianthemum racemosum,(L.) Link
Asparagaceae,Maianthemum stellatum (L.) Link,,Forest,7,,,,,,Maianthemum stellatum,(L.) Link
Asparagaceae,Muscari armeniacum Leichtlin ex Baker*,,Open,2,,,,,,Muscari armeniacum,Leichtlin ex Baker*
Asparagaceae,Ornithogalum umbellatum L.*,,Open,1,,,,,,Ornithogalum umbellatum,L.*
Asparagaceae,Scilla forbesii (Baker) Speta*,,Open,1,,,,,,Scilla forbesii,(Baker) Speta*
Asparagaceae,Triteleia grandiflora Lindl.,var. howellii,Open,10,,,,,,Triteleia grandiflora,Lindl.
Asparagaceae,Triteleia hyacinthina (Lindl.) Greene,,Open,23,,,,,,Triteleia hyacinthina,(Lindl.) Greene
Aspleniaceae,Asplenium trichomanes L.,ssp. trichomanes,Open,4,,,,,,Asplenium trichomanes,L.
Asteraceae,Achillea millefolium L.,,Open,107,,,,,,Achillea millefolium,L.
Asteraceae,Adenocaulon bicolor Hook.,,Forest,9,,,,,,Adenocaulon bicolor,Hook.
Asteraceae,Agoseris grandiflora (Nutt.) Greene,"ssp. grandiflora, ssp. leptophylla",Open,20,,,,,,Agoseris grandiflora,(Nutt.) Greene
Asteraceae,Agoseris heterophylla (Nutt.) Greene,var. heterophylla,Open,3,,,,,,Agoseris heterophylla,(Nutt.) Greene
Asteraceae,Ambrosia chamissonis (Less.) Greene,,Shoreline,38,,,,,,Ambrosia chamissonis,(Less.) Greene
Asteraceae,Anaphalis margaritacea (L.) Benth. & Hook. f.,,Open,12,,,,,,Anaphalis margaritacea,(L.) Benth. & Hook. f.
