iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Infra taxa,Habitat,Islands,id
Filago germanica,634625,Filago vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Filago,germanica,,Open,4,DUN:125
Gamochaeta ustulata,77224,Gamochaeta ustulata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Gamochaeta,ustulata,,Open,26,DUN:126
Gnaphalium palustre,57980,Gnaphalium palustre,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Gnaphalium,palustre,,Open,4,DUN:127
Gnaphalium uliginosum,136366,Gnaphalium uliginosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Gnaphalium,uliginosum,,Open,4,DUN:128
Grindelia integrifolia,124526,Grindelia integrifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Grindelia,integrifolia,,Shoreline,143,DUN:129
Hemizonella minima,77367,Hemizonella minima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Hemizonella,minima,,Open,1,DUN:130
Hieracium albiflorum,63937,Hieracium albiflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hieracium,albiflorum,,Forest,31,DUN:131
Pilosella aurantiaca,711103,Hieracium aurantiacum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Pilosella,aurantiaca,,Open,2,DUN:132
Pilosella caespitosa,711086,Hieracium caespitosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Pilosella,caespitosa,,Open,2,DUN:133
Pilosella flagellaris,569962,Hieracium flagellare,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Pilosella,flagellaris,,Open,1,DUN:134
Pilosella stoloniflora,1132151,Hieracium stoloniflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Pilosella,stoloniflora,,Open,1,DUN:135
Hypochaeris glabra,53103,Hypochaeris glabra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hypochaeris,glabra,,Open,24,DUN:136
Hypochaeris radicata,53104,Hypochaeris radicata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Hypochaeris,radicata,,Open,88,DUN:137
Jacobaea maritima,357682,Jacobaea maritima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Jacobaea,maritima,,Open,1,DUN:138
Jacobaea maritima,357682,Jacobaea maritima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Jacobaea,maritima,,Open,1,DUN:139
Jacobaea vulgaris,62498,Jacobaea vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Jacobaea,vulgaris,,Open,14,DUN:140
Jaumea carnosa,60969,Jaumea carnosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Tageteae,Jaumea,carnosa,,Shoreline,4,DUN:141
Lactuca ludoviciana,53111,Lactuca ludoviciana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Lactuca,ludoviciana,,Open,1,DUN:142
Lactuca serriola,53107,Lactuca serriola,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Lactuca,serriola,,Open,9,DUN:143
Lapsana communis,55981,Lapsana communis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Lapsana,communis,,Open,13,DUN:144
Scorzoneroides autumnalis,204167,Leontodon autumnalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Scorzoneroides,autumnalis,,Open,4,DUN:145
Leontodon saxatilis,60973,Leontodon saxatilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Leontodon,saxatilis,ssp. saxatilis,Open,4,DUN:146
Leucanthemum maximum,77719,Leucanthemum maximum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,vulgare,,Open,1,DUN:147
Leucanthemum vulgare,1404861,Leucanthemum vulgare,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,vulgare,,Open,7,DUN:148
Logfia minima,204350,Logfia minima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Logfia,minima,,Open,2,DUN:149
Madia exigua,56971,Madia exigua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Madia,exigua,,Open,4,DUN:150
Madia glomerata,77923,Madia glomerata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Madia,glomerata,,Open,1,DUN:151
Madia gracilis,53135,Madia gracilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Madia,gracilis,,Open,9,DUN:152
Madia sativa,53143,Madia sativa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Madia,sativa,,Open,5,DUN:153
Matricaria discoidea,52992,Matricaria discoidea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Matricaria,discoidea,,Open,6,DUN:154
Mauranthemum paludosum,77968,Mauranthemum paludosum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Mauranthemum,paludosum,,Open,1,DUN:155
Microseris bigelovii,60977,Microseris bigelovii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Microseris,bigelovii,,Open,2,DUN:156
Mycelis muralis,48543,Mycelis muralis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Mycelis,muralis,,Forest,28,DUN:157
Packera indecora,78322,Packera indecora,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Packera,indecora,,Open,1,DUN:158
Packera macounii,78325,Packera macounii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Packera,macounii,,Open,4,DUN:159
Petasites frigidus,55780,Petasites frigidus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Petasites,frigidus,var. palmatus,Wetland,1,DUN:160
Pseudognaphalium stramineum,53089,Pseudognaphalium stramineum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Pseudognaphalium,stramineum,,Open,6,DUN:161
Pseudognaphalium thermale,78765,Pseudognaphalium thermale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Pseudognaphalium,thermale,,Open,6,DUN:162
Psilocarphus tenellus,53188,Psilocarphus tenellus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Gnaphalieae,Psilocarphus,tenellus,,Open,1,DUN:163
Senecio sylvaticus,53210,Senecio sylvaticus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,sylvaticus,,Open,12,DUN:164
Senecio vulgaris,53211,Senecio vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Senecioneae,Senecio,vulgaris,,Open,60,DUN:165
Sericocarpus rigidus,168858,Sericocarpus rigidus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Sericocarpus,rigidus,,Open,1,DUN:166
Solidago elongata,79150,Solidago elongata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,elongata,,Open,2,DUN:167
Solidago lepida,79152,Solidago lepida,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,lepida,var. salebrosa,Open,12,DUN:168
Solidago simplex,126653,Solidago simplex,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Solidago,simplex,"var. nana, var. simplex",Open,2,DUN:169
Soliva sessilis,60150,Soliva sessilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Soliva,sessilis,,Open,12,DUN:170
Sonchus arvensis,79156,Sonchus arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,arvensis,ssp. arvensis,Open,16,DUN:171
Sonchus asper,53269,Sonchus asper,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,asper,ssp. asper,Open,71,DUN:172
Sonchus oleraceus,53294,Sonchus oleraceus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,oleraceus,,Open,102,DUN:173
Symphyotrichum boreale,169452,Symphyotrichum boreale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,boreale,,Wetland,1,DUN:174
Symphyotrichum subspicatum,79303,Symphyotrichum subspicatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Symphyotrichum,subspicatum,,Open,6,DUN:175
Tanacetum balsamita,181875,Tanacetum balsamita,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,balsamita,,Open,1,DUN:176
Tanacetum parthenium,54520,Tanacetum parthenium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,parthenium,,Open,2,DUN:177
Tanacetum vulgare,55971,Tanacetum vulgare,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Tanacetum,vulgare,,Open,3,DUN:178
Taraxacum erythrospermum,79317,Taraxacum erythrospermum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,erythrospermum,,Open,14,DUN:179
Taraxacum officinale,47602,Taraxacum officinale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Taraxacum,officinale,,Open,68,DUN:180
Tragopogon dubius,54143,Tragopogon dubius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Tragopogon,dubius,,Open,4,DUN:181
Tragopogon porrifolius,54141,Tragopogon porrifolius,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Tragopogon,porrifolius,,Open,4,DUN:182
Tragopogon pratensis,79385,Tragopogon pratensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Tragopogon,pratensis,,Open,1,DUN:183
Tripleurospermum inodorum,79441,Tripleurospermum inodorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Tripleurospermum,inodorum,,Open,4,DUN:184
Athyrium filix-femina,52669,Athyrium filix-femina,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Athyriaceae,,,Athyrium,filix-femina,ssp. cyclosorum,Forest,19,DUN:185
Berberis aquifolium,126887,Berberis aquifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Berberidaceae,Berberidoideae,Berberideae,Berberis,aquifolium,,Open,87,DUN:186
Berberis nervosa,75756,Berberis nervosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Berberidaceae,Berberidoideae,Berberideae,Berberis,nervosa,,Forest,20,DUN:187
Alnus rubra,56034,Alnus rubra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Alnus,rubra,,Forest,18,DUN:188
Alnus alnobetula,868167,Alnus viridis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Alnus,alnobetula,ssp. sinuata,Forest,8,DUN:189
Betula papyrifera,49883,Betula papyrifera,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Betula,papyrifera,,Forest,5,DUN:190
Betula pendula,83992,Betula pendula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Betula,pendula,,Forest,1,DUN:191
Corylus cornuta,53374,Corylus cornuta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Corylus,cornuta,ssp. californica,Forest,3,DUN:192
Struthiopteris spicant,774894,Struthiopteris spicant,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Blechnaceae,,,Struthiopteris,spicant,,Forest,5,DUN:193
Amsinckia menziesii intermedia,49141,Amsinckia intermedia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,menziesii,,Open,3,DUN:194
Amsinckia menziesii,55436,Amsinckia menziesii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,menziesii,,Open,12,DUN:195
Amsinckia spectabilis,71045,Amsinckia spectabilis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Amsinckia,spectabilis,var. spectabilis,Open,5,DUN:196
Anchusa azurea,75429,Anchusa azurea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Anchusa,azurea,,Open,2,DUN:197
Anchusa officinalis,75430,Anchusa officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Anchusa,officinalis,,Open,1,DUN:198
Borago officinalis,52287,Borago officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Borago,officinalis,,Open,1,DUN:199
Buglossoides arvensis,135229,Buglossoides arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Lithospermeae,Buglossoides,arvensis,,Open,1,DUN:200
Anchusa arvensis,62200,Lycopsis arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Anchusa,arvensis,,Open,1,DUN:201
Myosotis arvensis,51726,Myosotis arvensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,arvensis,,Open,4,DUN:202
Myosotis discolor,70265,Myosotis discolor,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,discolor,,Open,43,DUN:203
Myosotis latifolia,49132,Myosotis latifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,latifolia,,Open,1,DUN:204
Myosotis laxa,78150,Myosotis laxa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,laxa,,Wetland,4,DUN:205
Myosotis stricta,127196,Myosotis stricta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,stricta,,Open,12,DUN:206
Myosotis sylvatica,55826,Myosotis sylvatica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,sylvatica,,Forest,1,DUN:207
Pentaglottis sempervirens,166466,Pentaglottis sempervirens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Pentaglottis,sempervirens,,Forest,1,DUN:208
Plagiobothrys scouleri,166953,Plagiobothrys scouleri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Plagiobothrys,scouleri,,Shoreline,28,DUN:209
Plagiobothrys tenellus,58066,Plagiobothrys tenellus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Cynoglosseae,Plagiobothrys,tenellus,,Open,4,DUN:210
Symphytum officinale,1247945,Symphytum officinale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Symphytum,officinale,,Open,1,DUN:211
Symphytum × uplandicum,181924,Symphytum uplandicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Boraginoideae,Boragineae,Symphytum,officinale,,Open,1,DUN:212
Alliaria petiolata,56061,Alliaria petiolata,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Thlaspideae,Alliaria,petiolata,,Forest,2,DUN:213
Arabidopsis thaliana,55021,Arabidopsis thaliana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Camelineae,Arabidopsis,thaliana,,Open,8,DUN:214
Arabis caucasica,158480,Arabis caucasica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Arabideae,Arabis,caucasica,,Open,1,DUN:215
Arabis eschscholtziana,75494,Arabis eschscholtziana,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Arabideae,Arabis,eschscholtziana,,Open,23,DUN:216
Aubrieta deltoidea,75721,Aubrieta deltoidea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Arabideae,Aubrieta,deltoidea,,Open,1,DUN:217
Barbarea orthoceras,52976,Barbarea orthoceras,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Barbarea,orthoceras,,Open,15,DUN:218
Barbarea vulgaris,56126,Barbarea vulgaris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Barbarea,vulgaris,,Open,1,DUN:219
Brassica juncea,64241,Brassica juncea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Brassica,juncea,,Open,4,DUN:220
Brassica nigra,53112,Brassica nigra,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Brassica,nigra,,Open,3,DUN:221
Brassica rapa,53271,Brassica rapa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Brassica,rapa,,Open,4,DUN:222
Cakile edentula,52162,Cakile edentula,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Cakile,edentula,var. edentula,Shoreline,17,DUN:223
Cakile maritima,60982,Cakile maritima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Cakile,maritima,ssp. maritima,Shoreline,44,DUN:224
Camelina microcarpa,75970,Camelina microcarpa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Camelineae,Camelina,microcarpa,,Open,1,DUN:225
Capsella bursa-pastoris,56121,Capsella bursa-pastoris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Camelineae,Capsella,bursa-pastoris,,Open,10,DUN:226
Cardamine flexuosa,69636,Cardamine flexuosa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,flexuosa,,Forest,6,DUN:227
Cardamine hirsuta,55829,Cardamine hirsuta,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,hirsuta,,Open,66,DUN:228
Cardamine nuttallii,76002,Cardamine nuttallii,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,nuttallii,,Forest,2,DUN:229
Cardamine occidentalis,76003,Cardamine occidentalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,occidentalis,,Wetland,2,DUN:230
Cardamine oligosperma,52981,Cardamine oligosperma,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,oligosperma,,Forest,50,DUN:231
Cardamine pensylvanica,76005,Cardamine pensylvanica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,pensylvanica,,Forest,4,DUN:232
Draba verna,55823,Draba verna,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Arabideae,Draba,verna,,Open,30,DUN:233
Erysimum cheiri,1337867,Erysimum cheiri,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Erysimeae,Erysimum,cheiri,,Open,1,DUN:234
Hesperis matronalis,47697,Hesperis matronalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Hesperideae,Hesperis,matronalis,,Open,2,DUN:235
Hornungia procumbens,77452,Hornungia procumbens,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Descurainieae,Hornungia,procumbens,,Shoreline,11,DUN:236
Lepidium campestre,77663,Lepidium campestre,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,campestre,,Open,1,DUN:237
Lepidium densiflorum,77666,Lepidium densiflorum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,densiflorum,,Open,3,DUN:238
Lepidium didymum,60987,Lepidium didymum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,didymum,,Open,1,DUN:239
Lepidium draba,63352,Lepidium draba,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,draba,,Open,1,DUN:240
Lepidium heterophyllum,77669,Lepidium heterophyllum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,heterophyllum,,Open,1,DUN:241
Lepidium latifolium,60153,Lepidium latifolium,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,latifolium,,Open,1,DUN:242
Lepidium oxycarpum,60155,Lepidium oxycarpum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,oxycarpum,,Shoreline,2,DUN:243
Lepidium perfoliatum,77672,Lepidium perfoliatum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,perfoliatum,,Open,1,DUN:244
Lepidium virginicum,77676,Lepidium virginicum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Lepidieae,Lepidium,virginicum,ssp. menziesii,Shoreline,72,DUN:245
Lobularia maritima,56992,Lobularia maritima,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Anastaticeae,Lobularia,maritima,,Open,2,DUN:246
Lunaria annua,55886,Lunaria annua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Biscutelleae,Lunaria,annua,,Forest,3,DUN:247
Nasturtium officinale,78174,Nasturtium officinale,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Nasturtium,officinale,,Wetland,2,DUN:248
Raphanus raphanistrum,55411,Raphanus raphanistrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Raphanus,raphanistrum,,Open,3,DUN:249
Raphanus sativus,55410,Raphanus sativus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Brassiceae,Raphanus,sativus,,Open,2,DUN:250
Rorippa curvisiliqua,58866,Rorippa curvisiliqua,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Rorippa,curvisiliqua,,Wetland,2,DUN:251
Rorippa palustris,64162,Rorippa palustris,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Rorippa,palustris,ssp. palustris,Wetland,1,DUN:252
