ID,Date,LatitudeDD,LongitudeDD,SpeciesName,ScientificName,GroupSize,Confidence,SightingsID
415,08/11/13,48.93918333,-123.4231333,humpback whale,Megaptera novaeangliae,1,certain,105473
421,07/12/16,48.90616667,-123.286,humpback whale,Megaptera novaeangliae,1,certain,108476
433,12/24/15,48.91358333,-123.3771,humpback whale,Megaptera novaeangliae,3,certain,102394
436,05/22/15,48.955,-123.4066667,humpback whale,Megaptera novaeangliae,2,probable,104837
439,07/03/15,48.83855,-123.3377667,humpback whale,Megaptera novaeangliae,1,certain,105265
445,05/13/16,48.85733333,-123.3081667,humpback whale,Megaptera novaeangliae,2,probable,107642
446,12/04/16,48.89833333,-123.3033333,humpback whale,Megaptera novaeangliae,2,certain,112064
453,10/29/16,48.9653,-123.3989333,humpback whale,Megaptera novaeangliae,3,certain,118870
454,10/29/16,48.93198333,-123.4226,humpback whale,Megaptera novaeangliae,2,certain,118872
456,11/08/16,48.95466667,-123.4719,humpback whale,Megaptera novaeangliae,2,certain,118920
461,10/24/15,48.88226667,-123.3078167,humpback whale,Megaptera novaeangliae,2,certain,106846
464,12/01/16,48.9565,-123.3581667,humpback whale,Megaptera novaeangliae,2,certain,110101
465,11/20/16,48.85348333,-123.3494333,humpback whale,Megaptera novaeangliae,1,certain,110546
466,11/26/16,48.91235,-123.3699833,humpback whale,Megaptera novaeangliae,2,certain,110547
467,11/26/16,48.85645,-123.3491,humpback whale,Megaptera novaeangliae,2,certain,110548
474,11/23/15,48.88921667,-123.3064833,humpback whale,Megaptera novaeangliae,3,certain,112987
486,08/02/17,48.8832,-123.3096667,humpback whale,Megaptera novaeangliae,2,,116496
494,08/20/17,48.84885,-123.36945,humpback whale,Megaptera novaeangliae,2,certain,124806
499,08/29/17,48.91273333,-123.3803833,humpback whale,Megaptera novaeangliae,1,certain,125054
503,08/18/18,48.8584,-123.3096667,humpback whale,Megaptera novaeangliae,1,certain,125196
509,06/01/17,48.88166667,-123.2983333,humpback whale,Megaptera novaeangliae,2,certain,114158
