date,LatitudeDD,LongitudeDD,SpeciesName,GroupSize,confidence,SightingsID,locationaccuracy
08/05/11,48.87988333,-123.3104333,killer whale,12,certain,58866,within 2km
08/28/11,48.88116667,-123.3101167,killer whale,4,certain,58877,within 2km
08/31/11,49.01606667,-123.5745667,unidentified cetacean,1,uncertain,59168,within 2km
10/18/11,48.9217,-123.3268833,grey whale,1,probable,59180,within 2km
10/16/11,48.91076667,-123.36985,humpback whale,1,certain,59185,within 2km
11/06/11,48.9667,-123.5599667,killer whale,30,,59557,within 5km
10/30/11,48.99575,-123.6037,killer whale,6,,59568,within 2km
11/23/11,48.97956667,-123.5727333,killer whale,NA,,59830,within 2km
05/19/08,48.88329315,-123.3017578,harbour porpoise,1,certain,70526,within 2km
05/19/08,48.8466568,-123.3679504,harbour porpoise,5,certain,70527,within 2km
05/19/08,48.84285355,-123.3624039,harbour porpoise,3,certain,70528,within 2km
05/19/08,48.8380127,-123.3553696,harbour porpoise,3,certain,70529,within 2km
05/19/08,48.93004608,-123.3242645,harbour porpoise,2,certain,70624,within 2km
05/19/08,48.91220856,-123.3101273,dall's porpoise,3,certain,70625,within 2km
05/19/08,48.94652557,-123.3456345,dall's porpoise,4,certain,72766,within 2km
05/19/08,48.88713455,-123.3006668,harbour porpoise,3,certain,72767,within 2km
05/19/08,48.95970154,-123.363327,dall's porpoise,8,certain,73136,within 2km
05/19/08,48.84697342,-123.3687668,harbour porpoise,2,certain,74766,within 2km
05/22/11,48.94625,-123.5396833,killer whale,7,certain,75162,within 2km
05/29/11,49.02448333,-123.5806167,killer whale,44,,75168,within 2km
12/17/11,48.86968333,-123.3036833,killer whale,4,certain,75370,within 2km
08/27/11,48.99526667,-123.5497667,harbour porpoise,1,certain,76061,within 2km
01/30/12,48.87873333,-123.3094167,killer whale,6,certain,76077,within 2km
03/06/12,48.97665,-123.5706,killer whale,12,certain,76677,within 2km
10/24/10,48.85833333,-123.352,killer whale,5,,76758,within 2km
10/16/11,48.95365,-123.5520833,killer whale,25,certain,76847,within 5km
03/26/12,48.99216667,-123.5961667,killer whale,7,certain,77148,within 2km
03/24/12,48.97891667,-123.57235,killer whale,1,certain,77158,within 2km
03/27/12,48.97916667,-123.5725167,killer whale,12,certain,77197,within 2km
07/12/11,48.89056667,-123.2964,harbour porpoise,3,certain,77204,within 5km
07/27/11,48.86771667,-123.3071667,killer whale,4,certain,77214,within 5km
08/01/11,48.89116667,-123.29225,harbour porpoise,2,certain,77215,within 5km
08/05/11,48.88368333,-123.3062833,killer whale,10,certain,77216,within 5km
08/26/11,48.88213333,-123.2913833,killer whale,2,certain,77226,within 5km
08/27/11,48.88213333,-123.2940167,harbour porpoise,1,certain,77228,within 5km
08/27/11,48.88803333,-123.3032167,killer whale,3,certain,77229,within 5km
07/10/11,48.89023333,-123.3010333,killer whale,4,certain,77233,within 5km
09/06/11,48.92783333,-123.5483333,harbour porpoise,3,,77296,within 2km
09/06/11,48.91466667,-123.4746667,harbour porpoise,1,certain,77298,within 2km
04/10/12,48.86996667,-123.30225,dall's porpoise,5,certain,77343,within 2km
05/12/12,48.85951667,-123.34745,killer whale,4,certain,78122,within 2km
05/29/12,48.96083333,-123.4252167,killer whale,5,certain,78245,within 2km
05/23/12,48.97253333,-123.5661333,killer whale,12,certain,78303,within 2km
05/29/12,48.92186667,-123.29195,humpback whale,1,,78327,within 2km
05/21/12,48.86651667,-123.3116667,killer whale,7,certain,78370,within 2km
06/24/12,48.8467,-123.3554,killer whale,10,certain,78493,within 2km
06/27/12,48.87426667,-123.3048667,killer whale,8,certain,78589,within 2km
07/15/12,48.96181667,-123.4849333,humpback whale,1,probable,79199,within 2km
08/03/12,48.89403333,-123.4438333,dall's porpoise,3,certain,79212,within 2km
08/18/12,48.84741667,-123.3711,harbour porpoise,2,certain,79213,within 2km
07/07/12,48.85848333,-123.3498167,harbour porpoise,1,certain,79414,within 2km
07/07/12,48.88286667,-123.29505,killer whale,5,certain,79415,within 2km
07/13/12,48.84618333,-123.3583333,killer whale,5,certain,79420,within 2km
07/21/12,48.85626667,-123.35225,killer whale,12,certain,79424,within 2km
07/28/12,48.85971667,-123.3471833,killer whale,12,certain,79425,within 5km
07/28/12,48.86591667,-123.3081167,killer whale,5,certain,79426,within 5km
08/13/12,48.86758333,-123.3073833,harbour porpoise,2,certain,79434,within 10km
09/02/12,48.87016667,-123.3063167,harbour porpoise,2,certain,79439,within 10km
09/02/12,48.8621,-123.33735,harbour porpoise,3,probable,79440,within 10km
10/09/12,48.87706667,-123.2934,humpback whale,1,certain,79914,within 2km
10/07/12,49.025,-123.58555,humpback whale,1,certain,79979,within 100m
10/09/12,48.86358333,-123.3096833,humpback whale,1,certain,79993,within 1km
11/13/12,48.85736667,-123.35535,humpback whale,1,probable,80609,within 2km
11/14/12,48.92315,-123.5312833,humpback whale,2,,80620,within 2km
09/23/12,48.91166667,-123.4535,harbour porpoise,2,certain,81288,within 2km
01/20/13,48.92633333,-123.508,killer whale,2,certain,81918,within 5km
03/10/13,48.93606667,-123.5047333,killer whale,3,certain,82268,within 5km
04/07/13,48.85908333,-123.3268,killer whale,4,certain,82433,within 2km
04/05/13,48.88091667,-123.3072167,killer whale,5,certain,82434,within 2km
04/05/13,48.88091667,-123.3072167,killer whale,8,certain,82435,within 2km
03/25/13,48.90653333,-123.3102,killer whale,2,certain,82439,within 2km
04/04/13,48.87943333,-123.3069667,killer whale,3,,82440,within 2km
04/13/13,48.85566667,-123.32025,killer whale,7,certain,82895,within 10km
04/21/13,48.85896667,-123.3437833,killer whale,5,certain,82896,within 10km
05/04/13,48.85251667,-123.349,humpback whale,1,possible,82920,within 2km
05/15/13,48.88188333,-123.29475,humpback whale,1,certain,83467,within 2km
05/16/13,48.85781667,-123.3887833,killer whale,12,certain,83471,within 10km
05/28/13,48.92001667,-123.38245,humpback whale,1,probable,83523,within 10km
05/28/13,48.91798333,-123.3895,killer whale,6,certain,83524,within 5km
06/03/13,48.85673333,-123.3478167,killer whale,4,certain,83527,within 2km
06/05/13,49.0005,-123.6012333,killer whale,11,certain,83582,within 2km
10/08/12,48.86641667,-123.3081333,humpback whale,1,probable,83914,within 5km
08/17/13,48.8731,-123.3077,killer whale,10,certain,84403,within 2km
08/22/13,48.90358333,-123.4461833,killer whale,4,certain,84553,within 10km
08/28/13,48.91473333,-123.3833667,killer whale,4,certain,84599,within 2km
09/04/13,48.89755,-123.3337333,killer whale,1,certain,84640,within 10km
09/06/13,48.89783333,-123.3357167,killer whale,4,certain,84641,within 10km
08/25/13,48.85935,-123.3352667,killer whale,15,certain,84677,within 2km
09/06/13,48.94266667,-123.3893167,killer whale,5,certain,84708,within 1km
07/22/13,48.92746667,-123.5335333,killer whale,3,certain,84710,within 1km
08/31/13,48.92563333,-123.4748333,killer whale,2,certain,84752,within 2km
09/06/13,48.95085,-123.5491333,killer whale,2,certain,84802,within 2km
04/16/13,49.01738333,-123.5851333,killer whale,13,certain,85607,within 2km
10/31/13,48.88305,-123.2993833,pacific white-sided dolphin,12,probable,85702,within 5km
11/11/13,48.85765,-123.3146333,humpback whale,1,certain,85867,within 1km
10/19/13,48.91345,-123.3851833,humpback whale,2,certain,85912,within 2km
12/03/13,48.91875,-123.3777333,killer whale,10,certain,85975,within 1km
09/23/12,48.91166667,-123.4535,harbour porpoise,2,certain,87191,within 500m
12/30/13,48.86393333,-123.3082333,killer whale,1,certain,88709,within 2km
01/01/14,48.87261667,-123.4288,killer whale,1,certain,88737,within 2km
04/10/14,48.85366667,-123.3021667,killer whale,5,certain,89381,within 10km
04/11/14,48.85898333,-123.3066833,killer whale,1,certain,89383,within 10km
04/24/14,48.87651667,-123.3065333,killer whale,1,certain,89399,within 10km
03/28/14,48.855,-123.35,killer whale,2,certain,89407,within 2km
04/09/14,48.84638333,-123.3344667,killer whale,2,certain,89409,within 2km
04/10/14,48.85988333,-123.3281333,killer whale,5,certain,89410,within 2km
04/24/14,48.87276667,-123.3041167,killer whale,5,,89465,within 5km
05/28/14,48.8693,-123.4360667,harbour porpoise,3,probable,89597,within 10km
06/24/14,48.8558,-123.3207833,killer whale,8,certain,89668,within 5km
06/20/14,48.85901667,-123.3452167,killer whale,11,certain,89688,within 2km
06/01/14,48.96208333,-123.435,humpback whale,2,certain,90226,within 2km
07/04/14,48.9473,-123.5313167,harbour porpoise,1,certain,90307,within 2km
07/01/14,49.01141667,-123.5912167,unidentified cetacean,1,certain,90336,within 2km
08/19/12,48.90166667,-123.4875,harbour porpoise,2,certain,90382,within 50km
07/01/14,48.93563333,-123.5247833,harbour porpoise,1,probable,90432,within 2km
08/05/14,48.99333333,-123.605,dall's porpoise,NA,probable,90672,within 2km
08/10/14,48.8783,-123.42665,humpback whale,NA,certain,90802,within 2km
06/25/14,48.85761667,-123.3102333,killer whale,5,certain,90814,within 2km
08/18/14,48.86931667,-123.4166667,humpback whale,NA,certain,90954,within 10km
08/08/14,48.85996667,-123.3110833,killer whale,20,certain,90958,within 10km
09/02/14,48.91218333,-123.3369,humpback whale,2,certain,91084,within 10km
08/31/14,48.85785,-123.3152333,killer whale,2,certain,91165,within 2km
08/29/14,48.88368333,-123.44435,humpback whale,3,probable,91184,within 5km
12/03/14,48.86305,-123.3091667,humpback whale,1,certain,91244,within 2km
10/01/14,48.8587,-123.32275,killer whale,3,certain,91615,within 2km
10/07/14,48.90413333,-123.4886333,harbour porpoise,1,certain,92217,within 2km
11/17/14,48.90793333,-123.3606167,killer whale,3,certain,92394,within 500m
04/23/14,49.00483333,-123.5425,killer whale,NA,certain,92720,within 2km
04/26/14,48.865,-123.385,killer whale,NA,certain,92721,within 2km
03/30/14,48.91835,-123.4992167,killer whale,4,,93047,within 25km
04/23/14,48.87766667,-123.2915333,killer whale,5,,93051,within 5km
04/26/14,48.86716667,-123.3918333,killer whale,3,,93052,within 2km
09/13/14,48.99078333,-123.6094333,killer whale,3,certain,93161,within 2km
11/04/14,48.84578333,-123.3313167,humpback whale,2,certain,93247,within 2km
11/08/14,48.85728333,-123.3065667,humpback whale,2,certain,93264,within 2km
12/12/14,48.87983333,-123.2910833,humpback whale,2,certain,93306,within 5km
11/16/14,49.0147,-123.5942167,humpback whale,2,certain,93402,within 10km
12/16/14,48.93278333,-123.4231667,killer whale,12,,94844,within 1km
03/30/15,48.85481667,-123.3179833,dall's porpoise,1,probable,95530,within 500m
02/08/15,48.85651667,-123.3189833,pacific white-sided dolphin,15,certain,96090,within 500m
