Date,LatitudeDD,LongitudeDD,Taxon,Common Name,GroupSize,Confidence
2008-10-14,48.8783,-123.42665,Megaptera novaeangliae,humpback whale,NA,certain
2008-11-13,48.93918333,-123.4231333,Megaptera novaeangliae,humpback whale,1,certain
2009-02-14,48.91218333,-123.3369,Megaptera novaeangliae,humpback whale,2,certain
2009-03-18,48.8548,-123.304,Megaptera novaeangliae,humpback whale,1,certain
2009-03-18,48.8701,-123.3063,Megaptera novaeangliae,humpback whale,1,certain
2009-03-18,48.8656,-123.3062,Megaptera novaeangliae,humpback whale,1,certain
2009-04-15,48.85473333,-123.3490333,Megaptera novaeangliae,humpback whale,2,certain
2009-04-19,48.8543,-123.3456,Megaptera novaeangliae,humpback whale,-,certain
2009-04-19,48.8545,-123.3445,Megaptera novaeangliae,humpback whale,-,certain
2009-04-19,48.8546,-123.3521,Megaptera novaeangliae,humpback whale,NA,certain
2009-06-19,48.8773,-123.297,Megaptera novaeangliae,humpback whale,NA,possible
2009-09-17,48.85846667,-123.338,Megaptera novaeangliae,humpback whale,1,certain
2010-06-19,48.9303,-123.512,Megaptera novaeangliae,humpback whale,NA,certain
2010-07-12,49.025,-123.58555,Megaptera novaeangliae,humpback whale,1,certain
2010-08-12,48.86641667,-123.3081333,Megaptera novaeangliae,humpback whale,1,probable
2010-09-12,48.87706667,-123.2934,Megaptera novaeangliae,humpback whale,1,certain
2010-09-12,48.86358333,-123.3096833,Megaptera novaeangliae,humpback whale,1,certain
2011-02-19,48.8868,-123.2858,Megaptera novaeangliae,humpback whale,NA,probable
2011-04-14,48.84578333,-123.3313167,Megaptera novaeangliae,humpback whale,2,certain
2011-08-14,48.85728333,-123.3065667,Megaptera novaeangliae,humpback whale,2,certain
2011-08-16,48.95466667,-123.4719,Megaptera novaeangliae,humpback whale,2,certain
2011-08-20,49.02666667,-123.5533333,Megaptera novaeangliae,humpback whale,1,certain
2011-10-16,48.91076667,-123.36985,Megaptera novaeangliae,humpback whale,1,certain
2011-10-16,48.91325,-123.3666833,Megaptera novaeangliae,humpback whale,2,probable
2011-11-13,48.85765,-123.3146333,Megaptera novaeangliae,humpback whale,1,certain
2011-12-18,49.0198,-123.5764333,Megaptera novaeangliae,humpback whale,4,certain
2012-01-16,48.9565,-123.3581667,Megaptera novaeangliae,humpback whale,2,certain
2012-01-18,48.8376,-123.3454,Megaptera novaeangliae,humpback whale,1,certain
2012-03-14,48.86305,-123.3091667,Megaptera novaeangliae,humpback whale,1,certain
2012-03-17,48.8675,-123.3079,Megaptera novaeangliae,humpback whale,2,certain
2012-04-16,48.89833333,-123.3033333,Megaptera novaeangliae,humpback whale,2,certain
2012-05-17,48.9669,-123.4818,Megaptera novaeangliae,humpback whale,1,certain
2012-05-29,48.92186667,-123.29195,Megaptera novaeangliae,humpback whale,1,
2012-06-18,48.8632,-123.3404,Megaptera novaeangliae,humpback whale,1,probable
2012-07-15,48.96181667,-123.4849333,Megaptera novaeangliae,humpback whale,1,probable
2012-07-19,48.8927,-123.2968,Megaptera novaeangliae,humpback whale,-,certain
2012-08-18,48.8655,-123.3072,Megaptera novaeangliae,humpback whale,1,certain
2012-08-18,48.8683,-123.3035,Megaptera novaeangliae,humpback whale,1,certain
2012-11-13,48.85736667,-123.35535,Megaptera novaeangliae,humpback whale,1,probable
2012-11-14,48.92315,-123.5312833,Megaptera novaeangliae,humpback whale,2,
2012-12-14,48.87983333,-123.2910833,Megaptera novaeangliae,humpback whale,2,certain
2013-05-15,48.88188333,-123.29475,Megaptera novaeangliae,humpback whale,1,certain
2013-05-28,48.92001667,-123.38245,Megaptera novaeangliae,humpback whale,1,probable
2013-10-19,48.91345,-123.3851833,Megaptera novaeangliae,humpback whale,2,certain
2014-08-18,48.86931667,-123.4166667,Megaptera novaeangliae,humpback whale,NA,certain
2014-08-29,48.88368333,-123.44435,Megaptera novaeangliae,humpback whale,3,probable
2014-11-16,49.0147,-123.5942167,Megaptera novaeangliae,humpback whale,2,certain
2015-05-22,48.955,-123.4066667,Megaptera novaeangliae,humpback whale,2,probable
2015-10-24,48.88226667,-123.3078167,Megaptera novaeangliae,humpback whale,2,certain
2015-10-30,48.87898333,-123.29715,Megaptera novaeangliae,humpback whale,2,certain
2015-11-23,48.88921667,-123.3064833,Megaptera novaeangliae,humpback whale,3,certain
2015-12-24,48.91358333,-123.3771,Megaptera novaeangliae,humpback whale,3,certain
2016-01-30,48.88816667,-123.2926167,Megaptera novaeangliae,humpback whale,1,certain
2016-05-13,48.85733333,-123.3081667,Megaptera novaeangliae,humpback whale,2,probable
2016-10-24,48.84523333,-123.3513667,Megaptera novaeangliae,humpback whale,1,certain
2016-10-29,48.9653,-123.3989333,Megaptera novaeangliae,humpback whale,3,certain
2016-10-29,48.93198333,-123.4226,Megaptera novaeangliae,humpback whale,2,certain
2016-11-20,48.85348333,-123.3494333,Megaptera novaeangliae,humpback whale,1,certain
2016-11-26,48.91235,-123.3699833,Megaptera novaeangliae,humpback whale,2,certain
2016-11-26,48.85645,-123.3491,Megaptera novaeangliae,humpback whale,2,certain
2017-06-17,48.95916667,-123.5520833,Megaptera novaeangliae,humpback whale,1,certain
2017-08-20,48.84885,-123.36945,Megaptera novaeangliae,humpback whale,2,certain
2017-08-21,49.02643333,-123.5837833,Megaptera novaeangliae,humpback whale,1,certain
2017-08-29,48.91273333,-123.3803833,Megaptera novaeangliae,humpback whale,1,certain
2017-09-26,48.85623333,-123.3076833,Megaptera novaeangliae,humpback whale,2,certain
2017-11-20,48.9425,-123.4083,Megaptera novaeangliae,humpback whale,-,certain
2018-05-21,48.8661,-123.3894,Megaptera novaeangliae,humpback whale,1,certain
2018-05-24,48.8593,-123.3501,Megaptera novaeangliae,humpback whale,2,certain
2018-05-24,48.8433,-123.35,Megaptera novaeangliae,humpback whale,2,certain
2018-06-14,48.8591,-123.3558,Megaptera novaeangliae,humpback whale,1,probable
2018-06-14,48.85,-123.3333,Megaptera novaeangliae,humpback whale,1,certain
2018-06-27,48.8827,-123.2907,Megaptera novaeangliae,humpback whale,1,certain
2018-06-27,48.8581,-123.3494,Megaptera novaeangliae,humpback whale,1,certain
2018-06-30,48.8603,-123.3295,Megaptera novaeangliae,humpback whale,1,certain
2018-07-13,48.8565,-123.3047,Megaptera novaeangliae,humpback whale,1,certain
2018-07-17,48.97798333,-123.5967167,Megaptera novaeangliae,humpback whale,1,certain
2018-07-17,48.9855,-123.5833667,Megaptera novaeangliae,humpback whale,2,certain
2018-07-17,48.9858,-123.5779,Megaptera novaeangliae,humpback whale,2,certain
2018-07-18,48.9077,-123.4639167,Megaptera novaeangliae,humpback whale,1,certain
2018-07-23,48.9865,-123.5781,Megaptera novaeangliae,humpback whale,1,probable
2018-08-18,48.8584,-123.3096667,Megaptera novaeangliae,humpback whale,1,certain
2018-09-13,48.8572,-123.3249,Megaptera novaeangliae,humpback whale,1,certain
2018-09-24,48.87811667,-123.2919833,Megaptera novaeangliae,humpback whale,1,certain
2018-10-21,48.8577,-123.3248,Megaptera novaeangliae,humpback whale,1,certain
2018-10-21,48.8573,-123.3069,Megaptera novaeangliae,humpback whale,2,certain
2018-11-24,48.98833333,-123.4998333,Megaptera novaeangliae,humpback whale,1,certain
2019-05-26,48.9016,-123.2893,Megaptera novaeangliae,humpback whale,1,certain
2019-05-31,48.8468,-123.3466,Megaptera novaeangliae,humpback whale,1,certain
2019-07-13,49.0072,-123.5092,Megaptera novaeangliae,humpback whale,2,certain
2019-07-19,48.8705,-123.3062,Megaptera novaeangliae,humpback whale,2,certain
2019-07-25,48.8436,-123.3544,Megaptera novaeangliae,humpback whale,2,certain
2019-07-31,48.8484,-123.3413,Megaptera novaeangliae,humpback whale,1,certain
2019-08-21,48.8817,-123.3016,Megaptera novaeangliae,humpback whale,NA,certain
2019-08-29,49.005,-123.5179,Megaptera novaeangliae,humpback whale,-,certain
2019-09-25,48.8352,-123.3431,Megaptera novaeangliae,humpback whale,NA,certain
2019-09-28,48.8636,-123.3089,Megaptera novaeangliae,humpback whale,NA,certain
2019-09-28,48.8908,-123.2932,Megaptera novaeangliae,humpback whale,NA,certain
2019-09-29,48.9059,-123.2919,Megaptera novaeangliae,humpback whale,-,certain
2019-10-13,48.8609,-123.3282,Megaptera novaeangliae,humpback whale,NA,certain
2019-10-13,48.8488,-123.348,Megaptera novaeangliae,humpback whale,NA,certain
2019-10-19,48.8824,-123.297,Megaptera novaeangliae,humpback whale,NA,certain
2019-10-24,48.88853333,-123.2954,Megaptera novaeangliae,humpback whale,2,
2019-12-14,48.8852,-123.2963,Megaptera novaeangliae,humpback whale,-,certain
2019-12-18,48.8797,-123.303,Megaptera novaeangliae,humpback whale,-,certain
2019-12-22,48.86638333,-123.3088167,Megaptera novaeangliae,humpback whale,1,certain
2019-12-22,48.8457,-123.3493,Megaptera novaeangliae,humpback whale,-,certain
2019-12-22,48.8537,-123.3531,Megaptera novaeangliae,humpback whale,-,certain
2019-12-26,48.8672,-123.3047,Megaptera novaeangliae,humpback whale,-,certain
2019-12-30,48.86638333,-123.3088167,Megaptera novaeangliae,humpback whale,2,certain
2019-12-30,48.8897,-123.2945,Megaptera novaeangliae,humpback whale,-,certain
2020-01-24,48.8798,-123.2955,Megaptera novaeangliae,humpback whale,-,certain
2020-05-18,48.8799,-123.2903,Megaptera novaeangliae,humpback whale,-,certain
2006-09-27,49.01466667,-123.5742167,NA,unidentified cetacean,1,uncertain
2007-01-14,49.01141667,-123.5912167,NA,unidentified cetacean,1,certain
2007-06-15,48.87535,-123.3025,NA,unidentified baleen whale,2,certain
2011-04-18,48.96003333,-123.5618,NA,unidentified cetacean,3,certain
2011-08-31,49.01606667,-123.5745667,NA,unidentified cetacean,1,uncertain
2015-09-30,48.98366667,-123.4971667,NA,unidentified cetacean,1,certain
2001-01-14,48.87261667,-123.4288,Orcinus orca,killer whale,1,certain
2001-01-18,48.8673,-123.3044,Orcinus orca,killer whale,8,certain
2001-01-18,48.8757,-123.2998,Orcinus orca,killer whale,8,certain
2001-04-20,48.875,-123.3081,Orcinus orca,killer whale,20,certain
2001-04-20,48.889,-123.3087,Orcinus orca,killer whale,-,certain
2001-05-03,48.8772,-123.298,Orcinus orca,killer whale,7,
2001-05-22,48.883,-123.298,Orcinus orca,killer whale,NA,certain
2001-09-04,48.87743333,-123.3021,Orcinus orca,killer whale,10,certain
2001-09-04,48.89981667,-123.50585,Orcinus orca,killer whale,2,certain
2001-09-26,48.8363,-123.3429,Orcinus orca,killer whale,8,certain
2001-09-29,48.8625,-123.3438,Orcinus orca,killer whale,NA,
2001-09-29,48.885,-123.2916667,Orcinus orca,killer whale,10,certain
2001-09-30,48.8586,-123.3255,Orcinus orca,killer whale,NA,certain
2001-10-11,48.99578333,-123.5884333,Orcinus orca,killer whale,10,certain
2001-12-19,48.886,-123.305,Orcinus orca,killer whale,8,possible
2002-01-31,49.01333333,-123.5833333,Orcinus orca,killer whale,3,certain
2002-03-16,49.015,-123.5881,Orcinus orca,killer whale,7,certain
2002-03-17,48.8701,-123.4211,Orcinus orca,killer whale,1,
2002-03-24,49.0146,-123.5408,Orcinus orca,killer whale,12,certain
2002-05-28,48.8577,-123.3156,Orcinus orca,killer whale,NA,
2002-06-17,48.8422,-123.3391333,Orcinus orca,killer whale,2,certain
2002-06-29,48.886,-123.305,Orcinus orca,killer whale,NA,certain
2002-07-15,48.886,-123.305,Orcinus orca,killer whale,NA,certain
2002-07-15,48.886,-123.305,Orcinus orca,killer whale,NA,certain
2002-07-26,49.0225,-123.5512,Orcinus orca,killer whale,11,certain
2002-08-04,48.84531667,-123.3308333,Orcinus orca,killer whale,2,certain
2002-08-04,48.86063333,-123.3336167,Orcinus orca,killer whale,2,certain
2002-08-19,48.8846,-123.2885,Orcinus orca,killer whale,3,certain
2002-09-23,48.8625,-123.3438,Orcinus orca,killer whale,NA,certain
2003-02-19,48.8887,-123.314,Orcinus orca,killer whale,4,certain
2003-04-10,48.85878333,-123.3500667,Orcinus orca,killer whale,8,certain
2003-05-05,48.83333333,-123.3333333,Orcinus orca,killer whale,10,certain
2003-05-19,48.8505,-123.3449,Orcinus orca,killer whale,NA,certain
2003-05-19,48.8799,-123.2926,Orcinus orca,killer whale,NA,certain
2003-06-09,48.87375,-123.3043667,Orcinus orca,killer whale,5,certain
2003-06-12,48.97665,-123.5706,Orcinus orca,killer whale,12,certain
2003-06-13,48.8626,-123.3372,Orcinus orca,killer whale,NA,certain
2003-06-20,48.8509,-123.3483,Orcinus orca,killer whale,NA,certain
2003-06-25,48.8556,-123.3028,Orcinus orca,killer whale,NA,certain
2003-06-28,48.84211667,-123.3497167,Orcinus orca,killer whale,15,certain
2003-07-29,48.884,-123.2872,Orcinus orca,killer whale,20,certain
2003-08-19,48.8585,-123.3271,Orcinus orca,killer whale,4,certain
2003-08-24,48.83335,-123.3449667,Orcinus orca,killer whale,NA,certain
2003-08-26,48.8633,-123.3366,Orcinus orca,killer whale,NA,certain
2003-09-17,48.8712,-123.3058,Orcinus orca,killer whale,20,certain
2003-09-19,48.8338,-123.3462,Orcinus orca,killer whale,2,certain
2003-09-25,48.86666667,-123.305,Orcinus orca,killer whale,NA,probable
2003-09-27,48.871,-123.306,Orcinus orca,killer whale,NA,certain
2003-10-13,48.93606667,-123.5047333,Orcinus orca,killer whale,3,certain
2003-10-24,48.87548333,-123.30465,Orcinus orca,killer whale,NA,certain
2003-11-16,48.85798333,-123.3534667,Orcinus orca,killer whale,1,certain
2003-12-31,48.88833333,-123.29,Orcinus orca,killer whale,5,certain
2003-12-31,48.85991667,-123.3481667,Orcinus orca,killer whale,11,certain
2004-04-13,48.87943333,-123.3069667,Orcinus orca,killer whale,3,
2004-04-19,48.8338,-123.3481,Orcinus orca,killer whale,1,certain
2004-04-23,48.91666667,-123.3833333,Orcinus orca,killer whale,7,certain
2004-04-23,48.94171667,-123.5076,Orcinus orca,killer whale,1,certain
2004-04-23,48.85811667,-123.3148,Orcinus orca,killer whale,4,certain
2004-05-13,48.90833333,-123.3283333,Orcinus orca,killer whale,6,certain
2004-05-13,48.88091667,-123.3072167,Orcinus orca,killer whale,5,certain
2004-05-13,48.88091667,-123.3072167,Orcinus orca,killer whale,8,certain
2004-05-30,48.87751667,-123.29985,Orcinus orca,killer whale,11,certain
2004-06-13,48.86083333,-123.3341333,Orcinus orca,killer whale,NA,certain
2004-06-20,48.876555,-123.3148883,Orcinus orca,killer whale,8,probable
2004-06-22,48.86123333,-123.3337167,Orcinus orca,killer whale,NA,certain
2004-07-13,48.85908333,-123.3268,Orcinus orca,killer whale,4,certain
2004-07-14,48.8559,-123.312,Orcinus orca,killer whale,NA,certain
2004-07-17,48.86061667,-123.33495,Orcinus orca,killer whale,6,certain
2004-07-17,48.87968333,-123.2927667,Orcinus orca,killer whale,NA,certain
2004-07-19,48.877,-123.295,Orcinus orca,killer whale,20,certain
2004-07-20,48.83833333,-123.3533333,Orcinus orca,killer whale,10,certain
2004-07-20,48.871,-123.2994,Orcinus orca,killer whale,-,certain
2004-07-22,48.85,-123.3333333,Orcinus orca,killer whale,30,certain
2004-08-05,48.8585,-123.3484833,Orcinus orca,killer whale,12,certain
2004-08-05,48.8636166,-123.30865,Orcinus orca,killer whale,NA,certain
2004-08-19,48.8509,-123.3398,Orcinus orca,killer whale,1,certain
2004-08-20,48.8731,-123.2976,Orcinus orca,killer whale,NA,certain
2004-08-20,48.855,-123.3546,Orcinus orca,killer whale,-,certain
2004-08-31,48.8611,-123.3087,Orcinus orca,killer whale,4,certain
2004-08-31,48.96666667,-123.5833167,Orcinus orca,killer whale,NA,certain
2004-09-14,48.84638333,-123.3344667,Orcinus orca,killer whale,2,certain
2004-09-21,48.83666667,-123.3533333,Orcinus orca,killer whale,6,certain
2004-09-24,48.85715,-123.31185,Orcinus orca,killer whale,30,certain
2004-09-24,48.85881667,-123.31185,Orcinus orca,killer whale,10,certain
2004-09-26,48.8434,-123.354,Orcinus orca,killer whale,NA,certain
2004-09-30,48.85016667,-123.3518333,Orcinus orca,killer whale,15,certain
2004-10-07,48.83745,-123.3348333,Orcinus orca,killer whale,5,certain
2004-10-14,48.85366667,-123.3021667,Orcinus orca,killer whale,5,certain
2004-10-14,48.85988333,-123.3281333,Orcinus orca,killer whale,5,certain
2004-10-17,48.859,-123.3092,Orcinus orca,killer whale,20,certain
2004-10-17,48.8561,-123.3211,Orcinus orca,killer whale,NA,certain
2004-10-20,48.871,-123.3067,Orcinus orca,killer whale,-,certain
2004-10-20,48.871,-123.3078,Orcinus orca,killer whale,-,certain
2004-11-14,48.85898333,-123.3066833,Orcinus orca,killer whale,1,certain
2004-11-15,48.8564,-123.3106,Orcinus orca,killer whale,NA,certain
2004-11-15,48.8574,-123.3113,Orcinus orca,killer whale,10,certain
2004-12-10,48.84573333,-123.3400667,Orcinus orca,killer whale,4,certain
2005-01-06,49.002,-123.5985167,Orcinus orca,killer whale,15,certain
2005-02-19,48.8555,-123.3502,Orcinus orca,killer whale,24,certain
2005-02-19,48.845,-123.3273,Orcinus orca,killer whale,09-Jul,certain
2005-02-23,48.86608333,-123.30885,Orcinus orca,killer whale,3,certain
2005-03-03,48.8824,-123.2893,Orcinus orca,killer whale,NA,certain
2005-03-06,48.99731667,-123.5940333,Orcinus orca,killer whale,10,certain
2005-03-19,48.9053,-123.3087,Orcinus orca,killer whale,5,certain
2005-03-29,48.86,-123.31,Orcinus orca,killer whale,10,certain
2005-05-13,48.8636166,-123.30865,Orcinus orca,killer whale,NA,certain
2005-05-26,48.86,-123.31,Orcinus orca,killer whale,3,certain
2005-05-28,48.84673333,-123.3337167,Orcinus orca,killer whale,5,certain
2005-06-17,48.91783333,-123.4905833,Orcinus orca,killer whale,3,probable
2005-07-05,48.84901667,-123.3593,Orcinus orca,killer whale,5,
2005-07-14,48.84673333,-123.3337167,Orcinus orca,killer whale,10,certain
2005-07-22,48.85866667,-123.3939,Orcinus orca,killer whale,NA,
2005-08-07,48.86125,-123.342,Orcinus orca,killer whale,5,certain
2005-08-11,48.87506667,-123.3065,Orcinus orca,killer whale,10,certain
2005-09-05,48.8636166,-123.30865,Orcinus orca,killer whale,12,certain
2005-09-18,48.8597,-123.3311833,Orcinus orca,killer whale,NA,certain
2005-09-19,48.84765,-123.3476167,Orcinus orca,killer whale,NA,
2005-12-12,48.85951667,-123.34745,Orcinus orca,killer whale,4,certain
2006-01-14,48.93823333,-123.5225833,Orcinus orca,killer whale,6,
2006-01-15,48.86358333,-123.30835,Orcinus orca,killer whale,5,certain
2006-03-06,48.8636166,-123.30865,Orcinus orca,killer whale,NA,certain
2006-03-06,48.8636166,-123.30865,Orcinus orca,killer whale,6,certain
2006-03-13,48.85673333,-123.3478167,Orcinus orca,killer whale,4,certain
2006-05-13,49.0005,-123.6012333,Orcinus orca,killer whale,11,certain
2006-05-26,48.85966667,-123.3452667,Orcinus orca,killer whale,NA,certain
2006-06-10,48.99463333,-123.4533667,Orcinus orca,killer whale,5,certain
2006-06-17,48.87873333,-123.2893833,Orcinus orca,killer whale,NA,certain
2006-06-22,48.86613333,-123.3059667,Orcinus orca,killer whale,NA,certain
2006-06-22,48.84566667,-123.3446333,Orcinus orca,killer whale,20,certain
2006-06-27,48.8636166,-123.30865,Orcinus orca,killer whale,12,certain
2006-06-27,48.8636166,-123.30865,Orcinus orca,killer whale,10,certain
2006-06-29,48.85618333,-123.3256167,Orcinus orca,killer whale,20,certain
2006-07-10,48.99068333,-123.59015,Orcinus orca,killer whale,4,certain
2006-07-18,48.86075,-123.3102,Orcinus orca,killer whale,NA,certain
2006-07-21,48.86405,-123.3430167,Orcinus orca,killer whale,NA,certain
2006-07-29,48.86795,-123.3076167,Orcinus orca,killer whale,20,certain
2006-08-05,48.86013333,-123.31105,Orcinus orca,killer whale,7,certain
2006-08-13,48.85813333,-123.3198833,Orcinus orca,killer whale,NA,certain
2006-09-07,48.8636166,-123.30865,Orcinus orca,killer whale,NA,certain
2006-09-15,48.97775,-123.5691833,Orcinus orca,killer whale,1,certain
2006-09-24,48.88638333,-123.28625,Orcinus orca,killer whale,NA,certain
2006-10-05,48.88763333,-123.3053333,Orcinus orca,killer whale,10,certain
2006-10-19,48.87198333,-123.3072167,Orcinus orca,killer whale,4,certain
2006-10-31,48.98066667,-123.5759833,Orcinus orca,killer whale,1,probable
2006-11-04,48.85963333,-123.3292167,Orcinus orca,killer whale,NA,certain
2006-11-05,48.87821667,-123.3047667,Orcinus orca,killer whale,8,certain
2006-11-18,48.8712,-123.3048,Orcinus orca,killer whale,10,certain
2006-12-01,48.858,-123.308,Orcinus orca,killer whale,NA,
2006-12-10,48.97468333,-123.5973,Orcinus orca,killer whale,5,certain
2006-12-15,48.85828333,-123.3137,Orcinus orca,killer whale,11,certain
2006-12-19,48.8567,-123.315,Orcinus orca,killer whale,5,certain
2007-01-04,48.85935,-123.3303167,Orcinus orca,killer whale,NA,
2007-01-18,48.95893333,-123.5675167,Orcinus orca,killer whale,4,certain
2007-01-18,48.85663333,-123.3233333,Orcinus orca,killer whale,3,certain
2007-01-18,48.85985,-123.3172167,Orcinus orca,killer whale,3,certain
2007-01-18,48.9232,-123.4576,Orcinus orca,killer whale,4,certain
2007-02-15,48.84711667,-123.3536333,Orcinus orca,killer whale,12,certain
2007-02-19,48.8521,-123.3524667,Orcinus orca,killer whale,2,certain
2007-02-19,48.8608,-123.341,Orcinus orca,killer whale,4,certain
2007-03-18,48.8779,-123.3053,Orcinus orca,killer whale,6,certain
2007-03-19,48.9035,-123.3001,Orcinus orca,killer whale,4,certain
2007-04-07,48.8636166,-123.30865,Orcinus orca,killer whale,2,certain
2007-04-10,48.89166667,-123.3376,Orcinus orca,killer whale,20,certain
2007-04-10,48.87625,-123.29205,Orcinus orca,killer whale,NA,certain
2007-05-07,48.8636166,-123.30865,Orcinus orca,killer whale,NA,
2007-05-15,48.85075,-123.3390667,Orcinus orca,killer whale,12,certain
2007-05-15,48.87485,-123.3037833,Orcinus orca,killer whale,30,certain
2007-05-16,48.85976667,-123.31775,Orcinus orca,killer whale,NA,certain
2007-05-17,48.8636166,-123.30865,Orcinus orca,killer whale,NA,certain
2007-05-17,48.9659,-123.5736333,Orcinus orca,killer whale,NA,certain
2007-05-18,48.8593,-123.3368,Orcinus orca,killer whale,3,certain
2007-05-19,48.8636166,-123.30865,Orcinus orca,killer whale,12,certain
2007-05-19,49.02796667,-123.5901833,Orcinus orca,killer whale,3,certain
2007-05-19,48.9433,-123.5352,Orcinus orca,killer whale,3,certain
2007-05-19,48.8552,-123.3517,Orcinus orca,killer whale,6,certain
2007-06-06,48.85791667,-123.3107,Orcinus orca,killer whale,NA,certain
2007-06-06,48.83856667,-123.3572,Orcinus orca,killer whale,NA,certain
2007-06-16,48.86076667,-123.3063,Orcinus orca,killer whale,1,certain
2007-06-16,48.86041667,-123.3212167,Orcinus orca,killer whale,1,certain
2007-06-16,48.8604,-123.3191,Orcinus orca,killer whale,5,certain
2007-06-24,48.89996667,-123.4960833,Orcinus orca,killer whale,NA,certain
2007-06-24,48.8826,-123.2975667,Orcinus orca,killer whale,NA,
2007-07-10,48.84711667,-123.3431167,Orcinus orca,killer whale,10,certain
2007-07-11,48.85748333,-123.3352667,Orcinus orca,killer whale,7,certain
2007-07-12,48.88286667,-123.29505,Orcinus orca,killer whale,5,certain
2007-07-15,48.85885,-123.3202,Orcinus orca,killer whale,NA,certain
2007-07-15,48.86043333,-123.309,Orcinus orca,killer whale,NA,certain
2007-07-25,48.84113333,-123.3359667,Orcinus orca,killer whale,2,certain
2007-07-26,48.9299,-123.3875833,Orcinus orca,killer whale,NA,certain
2007-07-26,48.84113333,-123.3359667,Orcinus orca,killer whale,12,certain
2007-07-26,48.8636166,-123.30865,Orcinus orca,killer whale,NA,certain
2007-08-03,48.84176667,-123.3445333,Orcinus orca,killer whale,12,certain
2007-08-06,48.8636166,-123.30865,Orcinus orca,killer whale,NA,certain
2007-08-06,48.8636166,-123.30865,Orcinus orca,killer whale,10,certain
2007-08-06,48.8636166,-123.30865,Orcinus orca,killer whale,12,certain
2007-08-07,48.86201667,-123.3404833,Orcinus orca,killer whale,NA,certain
2007-08-07,48.85426667,-123.3509167,Orcinus orca,killer whale,5,certain
2007-08-23,48.8588,-123.3090833,Orcinus orca,killer whale,NA,certain
2007-09-04,48.855,-123.35,Orcinus orca,killer whale,50,certain
2007-09-06,48.86323333,-123.3438167,Orcinus orca,killer whale,NA,certain
2007-09-17,49.01558333,-123.5834167,Orcinus orca,killer whale,4,certain
