iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59919992,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59919993,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59919994,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59919996,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59919998,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59919999,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920001,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920002,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920003,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920004,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920005,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920006,,,,,2009-10-03,,Jackson W.F. Chu
Aphrocallistes vastus,424651,Aphrocallistes vastus,"Schulze, 1886",Animalia,Porifera,,,Hexactinellida,Hexasterophora,,Sceptrulophora,,,,Aphrocallistidae,,,Aphrocallistes,vastus,imerss.org:iNat:59920007,,,,,2009-10-03,,Jackson W.F. Chu
