iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Collection,Catalogue Number,Date observed,Place name,Recorded by
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,imerss.org:PMLS:18196,,,PMLS,,2018-06-19,Virago Point,Andy Lamb
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,iNat:59908564,,,,,2007-10-23,,
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,iNat:61341038,,,,,2009-10-03,,
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,iNat:116296337,,,,,2022-05-06,,
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,iNat:116471967,,,,,2008-05-22,,
Acantholithodes hispidus,450310,Acantholithodes hispidus,0,accepted,"(Stimpson, 1860)",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Anomura,Lithodoidea,Hapalogastridae,,,Acantholithodes,hispidus,iNat:116493770,,,,,2008-05-24,,
Ampelisca hancocki,295404,Ampelisca hancocki,0,accepted,"J.L. Barnard, 1954",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,hancocki,daf7672a-bea4-4f61-bba6-f35c4ee855a1,,,RBCM,976-01146-018,1961-06-22,,
Ampelisca lobata,295407,Ampelisca lobata,0,accepted,"Holmes, 1908",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,lobata,1e2ef28f-bd7f-46d5-8438-3131e6d737ce,,,RBCM,976-01146-017,1961-06-22,,
Ampelisca unsocalae,1265117,Ampelisca unsocalae,0,,"J.L. Barnard, 1960",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Lysianassida,Synopioidea,Ampeliscidae,,,Ampelisca,unsocalae,c9865647-c03d-48be-80fd-77a6806ab9c5,,,RBCM,976-01146-019,1961-06-22,,
Ampithoe lacertosa,260501,Ampithoe lacertosa,0,accepted,"Bate, 1858",Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophiida,Corophioidea,Ampithoidae,,,Ampithoe,lacertosa,imerss.org:PMLS:9793,,,PMLS,,2009-02-14,Spanish Hills Store,Andy Lamb
Argulus pugettensis,873865,Argulus pugettensis,0,accepted,"Dana, 1853",Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Arguloidea,Argulidae,,,Argulus,pugettensis,imerss.org:PMLS:4771,,,PMLS,,2007-09-29,Race Point,Andy Lamb
Argulus pugettensis,873865,Argulus pugettensis,0,accepted,"Dana, 1853",Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Arguloidea,Argulidae,,,Argulus,pugettensis,imerss.org:PMLS:15281,,,PMLS,,2012-08-09,Alcala Point,Andy Lamb
Balanus crenatus,117672,Balanus crenatus,0,accepted,"Bruguière, 1789",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,crenatus,iNat:19886394,,,,,2019-01-25,,
Balanus crenatus,117672,Balanus crenatus,0,accepted,"Bruguière, 1789",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,crenatus,iNat:123934552,,,,,2022-06-24,,
Balanus crenatus,117672,Balanus crenatus,0,accepted,"Bruguière, 1789",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,crenatus,iNat:165682510,,,,,2023-06-02,,
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:82,,,PMLS,,1969-02-22,Sturdies Bay,Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:429,,,PMLS,,1985-08-02,"Skipjack Island, outer face",Andy Lamb
Balanus glandula,81610,Balanus glandula,0,accepted,"Darwin, 1854",Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracicalcarea,Balanomorpha,,,Balanoidea,Balanidae,,,Balanus,glandula,imerss.org:PMLS:658,,,PMLS,,1993-05-09,Spanish Hills Store,Charlie Gibbs
