Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Chone aurantiaca,"(Johnson, 1901)",orange feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,unlisted,unlisted,reported,unobserved,1999-05-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,356415,
Chone minuta,"Hartman, 1944",minute feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,unlisted,unlisted,reported,unobserved,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,339234,
Eudistylia vancouveri,"(Kinberg, 1867)",Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,unlisted,unlisted,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797277,https://static.inaturalist.org/photos/3175031/medium.jpg?1458270041,,84864,
Myxicola aesthetica,"(Calparede, 1870)",petite slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,unlisted,unlisted,reported,unobserved,2018-06-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,492594,"Dr. Leslie Harris, polychaete expert, remarks: ""different NEP websites & publications report this soft-sediment worm as both M. infundibulum & M. aesthetica, which is the first part of the confusion. In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces so if our NEP specimens are really the same as a European species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. The second part of the confusion is what to call them. In the past several NEP species of Myxicola were described from California, Puget Sound, & Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP."""
Myxicola infundibulum,"(Renier, 1804)",slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,unlisted,unlisted,confirmed,observed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,2016-05-25,Karolle Wall,http://www.inaturalist.org/observations/4052030,https://static.inaturalist.org/photos/4798684/medium.jpg?1473205031,,49533,"Dr. Leslie Harris, polychaete expert, remarks: ""different NEP websites & publications report this soft-sediment worm as both M. infundibulum & M. aesthetica, which is the first part of the confusion. In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces so if our NEP specimens are really the same as a European species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. The second part of the confusion is what to call them. In the past several NEP species of Myxicola were described from California, Puget Sound, & Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP."""
Parasabella media,"(Bush, 1905)",parasol feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,unlisted,unlisted,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,367054,
Schizobranchia insignis,"Bush, 1905",split-branch feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,unlisted,unlisted,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674363,https://static.inaturalist.org/photos/10049762/medium.jpg?1503850746,,339561,
Apomatus sp.,,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,unlisted,unlisted,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,375596,
Crucigera sp.,,pale calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,unlisted,unlisted,reported,unobserved,2002-03-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,543578,
Protula pacifica,"Pixell, 1912",white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,unlisted,unlisted,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,538108,
Pseudochitinopoma occidentalis,"Bush, 1909",western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,unlisted,unlisted,reported,unobserved,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,538107,
Salmacina tribranchiata,"(Moore, 1923)",three-branch calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,unlisted,unlisted,reported,unobserved,2006-11-18,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,194972,
Serpula columbiana,"Johnson, 1901",red-trumpet calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,unlisted,unlisted,confirmed,observed,?,?,RBCM,986-00191-010,,2015-09-25,Karolle Wall,http://www.inaturalist.org/observations/3706037,https://static.inaturalist.org/photos/4303535/medium.jpg?1468966530,,131207,missing RBCM metadata
Dodecaceria concharum,Oersted,coralline-encased filament-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,unlisted,unlisted,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,464813,
Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",fringed filament-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,unlisted,unlisted,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763488,https://static.inaturalist.org/photos/3127777/medium.jpg?1457578667,,192656,
Pectinaria granulata,"(Linnaeus, 1767)",tusk coneworm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Pectinariidae,,unlisted,unlisted,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Pectinaria granulata,464624,
Pista elongata,"Moore, 1909",basket-top spaghetti-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Terebellidae,,unlisted,unlisted,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,338339,
Thelepus sp.,,curly-head spaghetti-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Terebellidae,,unlisted,unlisted,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,117588,
Daphnia longiremis,"G.O. Sars, 1861",water flea,Animalia,Arthropoda,Crustacea,,Brachiopoda,Phyllopoda,Cladocera,Anomopoda,,,Daphniidae,,unlisted,unlisted,reported,unobserved,1998-01-14,Bert Loro,RBCM,994-00072-002,,,,,,,548495,this record is not in GBIF?
Eubranchipus oregonus,"Creaser, 1930",Oregon fairy shrimp,Animalia,Arthropoda,Crustacea,,Brachiopoda,,Sarsostraca,Anostraca,,,Chirocephalidae,,unlisted,unlisted,reported,unobserved,2013-10-25,Thalia Grant,RBCM,999-00379-001,,,,,,,219607,this record is not in GBIF?
Pollicipes polymerus,"Sowerby, 1833",goose-neck barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,,Thoracica,Scalpelliformes,,,Pollicipedidae,,unlisted,unlisted,reported,unobserved,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,48786,
Semibalanus cariosus,"(Pallas, 1788)",thatched acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Archaeobalanidae,,unlisted,unlisted,confirmed,observed,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910072,https://static.inaturalist.org/photos/4596474/medium.jpeg?1471493079,,47658,
Balanus crenatus,"Bruguière, 1789",common acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,unlisted,unlisted,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,2019-01-25,‘awworld’,https://www.inaturalist.org/observations/19886394,https://static.inaturalist.org/photos/30667044/medium.jpg?1548532961,,117672,
Balanus glandula,"Darwin, 1854",common acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,unlisted,unlisted,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,2015-08-28,Andrew Simon,http://www.inaturalist.org/observations/2580675,https://static.inaturalist.org/photos/2880873/medium.JPG?1452762362,,81610,
Balanus nubilus,"Darwin, 1854",giant acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,unlisted,unlisted,confirmed,observed,,,RBCM,986-00191-002,,2016-03-24,"Alison, Laura & Malcolm Colwell",http://www.inaturalist.org/observations/2825535,https://static.inaturalist.org/photos/3215670/medium.jpg?1458847212,,49127,missing RBCM metadata (this record is not in GBIF)
Chthamalus dalli,"Pilsbry, 1916",small acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Chthamaloidea,Chthamalidae,,unlisted,unlisted,confirmed,observed,2008-02-16,Andy Lamb & Donna Gibbs,PMLS,,,2015-08-28,Andrew Simon,http://www.inaturalist.org/observations/2580662,https://static.inaturalist.org/photos/2880850/medium.JPG?1452761553,,129910,
Argulus pugettensis,"Dana, 1853",surfperch fish louse,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Argulidae,,unlisted,unlisted,reported,unobserved,2007-09-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,873865,
Ampelisca hancocki,"J. L. Barnard, 1954",,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Gammaridea,Ampeliscoidea,Ampeliscidae,,unlisted,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-018,1898315672,,,,,,295404,no common name listed; no collector name included in GBIF dataset
Ampelisca lobata,"Holmes, 1908",,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Gammaridea,Ampeliscoidea,Ampeliscidae,,unlisted,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-017,1898267968,,,,,,295407,no common name listed; no collector name included in GBIF dataset
Ampelisca unsocalae,"J. L. Barnard, 1960",,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Gammaridea,Ampeliscoidea,Ampeliscidae,,unlisted,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-019,1898311199,,,,,,313004,no common name listed; no collector name included in GBIF dataset
Ampithoe lacertosa,"Bate, 1858",sea lettuce sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,unlisted,unlisted,reported,unobserved,2009-02-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,260501,
Caprella alaskana,"Mayer, 1903",Alaskan skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,unlisted,unlisted,reported,unobserved,2008-06-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,508889,
Caprella mutica,"Schurin, 1935",Japanese skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,unlisted,unlisted,new 2016,observed,,,,,,2010-08-21,Karolle Wall,http://www.inaturalist.org/observations/4052123,https://static.inaturalist.org/photos/4799013/medium.jpg?1473206733,,64634,confirmed by Mary Wicksten
Photis brevipes,"Shoemaker, 1942",,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Corophiidea,Isaeoidea,Isaeidae,,unlisted,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-002,1898291753,,,,,,295828,no common name; no collector name in GBIF dataset
Chromopleustes oculatus,"(Holmes, 1908)",black-and-white sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,unlisted,unlisted,reported,unobserved,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,796029,
Megalorchestia pugettensis,"(Dana, 1853)",Puget Sound beach flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,unlisted,unlisted,new 2018,observed,,,,,,2018-08-01,Andrew Simon,https://www.inaturalist.org/observations/15038969,https://static.inaturalist.org/photos/22447275/medium.jpeg?1533189567,,63289,
Traskorchestia traskiana,"(Stimpson, 1857)",Pacific beach hopper,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,unlisted,unlisted,new 2017,observed,,,,,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5516564,https://static.inaturalist.org/photos/6803892/medium.jpg?1490951042,,130223,
Neotrypaea californiensis,"(Dana, 1854)",bay ghost shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Callianassoidea,Callianassidae,,unlisted,unlisted,confirmed,observed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,,,2019-04-20,Natalie Kennedy,https://www.inaturalist.org/observations/22842052,https://static.inaturalist.org/photos/35403651/medium.jpg?1555881841,,56659,
Cancer productus,"Randall, 1840",red rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,unlisted,unlisted,confirmed,observed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,2015-08-28,Andrew Simon,http://www.inaturalist.org/observations/2026014,https://static.inaturalist.org/photos/2464687/medium.jpg?1443768648,,47826,
Glebocarcinus oregonensis,"(Dana, 1852)",pygmy rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,unlisted,unlisted,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,2016-04-08,Karolle Wall,http://www.inaturalist.org/observations/2909693,https://static.inaturalist.org/photos/3329265/medium.jpg?1460260146,,429951,include critical note as per G. Jensen (2018); RBCM specimen 986-00191-003
Metacarcinus gracilis,"(Dana, 1852)",graceful crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,unlisted,unlisted,confirmed,observed,1973-06-14,Philip Lambert,RBCM,973-00137-019,1898314378,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910088,https://static.inaturalist.org/photos/4596650/medium.jpeg?1471494095,,116721,include critical note as per G. Jensen (2018)
Metacarcinus magister,"(Dana, 1852)",dungeness crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,unlisted,unlisted,confirmed,observed,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,,,2018-05-29,Karolle Wall,https://www.inaturalist.org/observations/12970642,https://static.inaturalist.org/photos/18856857/medium.jpg?1527728313,,63697,include critical note as per G. Jensen (2018)
Telmessus cheiragonus,"(Tilesius, 1812)",helmet crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cheiragonidae,,unlisted,unlisted,confirmed,observed,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,,,2017-05-29,Karolle Wall,https://www.inaturalist.org/observations/7659462,https://static.inaturalist.org/photos/10025820/medium.jpg?1503767341,,180391,
Crangon franciscorum,"Stimpson, 1856",California bay shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,unlisted,unlisted,new 2018,observed,,,,,,2018-05-31,Karolle Wall,https://www.inaturalist.org/observations/13026269,https://static.inaturalist.org/photos/18955413/medium.jpg?1527899931,,48812,
Metacrangon munita,"(Dana, 1852)",coastal spinyhead,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,unlisted,unlisted,reported,unobserved,1928-07-18,,RBCM,015-00224-001,,,,,,,459610,
Chorilia longipes,"Dana, 1851",longhorn decorator crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,unlisted,unlisted,confirmed,observed,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,2019-05-04,Isabelle Côté,https://www.inaturalist.org/observations/24797935,https://static.inaturalist.org/photos/38351569/medium.jpeg?1557343154,,459559,
Pugettia gracilis,"Dana, 1851",graceful kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,unlisted,unlisted,confirmed,observed,,,RBCM,986-00191-004,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976672,https://static.inaturalist.org/photos/3420939/medium.jpg?1461100591,,130344,
Pugettia producta,"(J.W. Randall, 1840)",northern kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,unlisted,unlisted,confirmed,observed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763431,https://static.inaturalist.org/photos/3127685/medium.jpg?1457577719,,49723,
Heptacarpus brevirostris,"(Dana, 1852)",stout coastal shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Hippolytidae,,unlisted,unlisted,new 2017,observed,,,,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674355,https://static.inaturalist.org/photos/10049751/medium.jpg?1503850708,,63679,
Acantholithodes hispidus,"(Stimpson, 1860)",hairy-spined crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,unlisted,unlisted,reported,observed,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,450310,
Cryptolithodes sitchensis,"Brandt, 1853",umbrella crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,unlisted,unlisted,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,47395,
Cryptolithodes typicus,"Brandt, 1848",butterfly crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,unlisted,unlisted,reported,unobserved,1985-07-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,53845,
Hapalogaster mertensii,"Brandt, 1850",hairy crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,unlisted,unlisted,reported,unobserved,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,51635,
Lopholithodes mandtii,"Brandt, 1848",Puget Sound king crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,unlisted,unlisted,confirmed,observed,1994-02-27,Andy Lamb & Donna Gibbs,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763457,https://static.inaturalist.org/photos/3127728/medium.jpg?1457578159,,459608,
Oedignathus inermis,"(Stimpson, 1860)",granular claw crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,unlisted,unlisted,new 1978,observed,,,,,,1978-03-19,Rick Harbo,https://www.inaturalist.org/observations/31752288,https://static.inaturalist.org/photos/49729116/original.jpg?1567114020,,194566,
