iNaturalist taxon name,iNaturalist taxon ID,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Taxon name,Origin,Status,Reporting Status,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Accession Number,GBIF ID,iNaturalist Observation Link,iNaturalist Obs Photo Link,Notes,Critical Notes,Common name
Nereis procera,339256,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,Nereis,Nereis procera,Nereis procera,unlisted,unlisted,reported,2008-03-01,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,little pileworm sea-nymph
Nereis vexillosa,81790,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,Nereis,Nereis vexillosa,Nereis vexillosa,unlisted,unlisted,reported,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,banner sea-nymph
Platynereis bicanaliculata,129876,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,,,Platynereis,Platynereis bicanaliculata,Platynereis bicanaliculata,unlisted,unlisted,new 2019,,,,2019-05-04,Emily Adamczyk,,,https://www.inaturalist.org/observations/24749850,https://static.inaturalist.org/photos/38192358/medium.jpg?1557184369,,,polychaete worm
Arctonoe fragilis,69914,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,Arctonoe,Arctonoe fragilis,Arctonoe fragilis,unlisted,unlisted,reported,1975-06-18,T. Kessler,RBCM,,,975-00227-001,1898315965,,,,,fragile ruffled scaleworm
Arctonoe pulchra,465156,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,Arctonoe,Arctonoe pulchra,Arctonoe pulchra,unlisted,unlisted,confirmed,1975-06-18,T. Kessler,RBCM,2019-05-04,Norah Brown,975-00227-003,1898314750,https://www.inaturalist.org/observations/24535513,https://static.inaturalist.org/photos/37938800/medium.jpeg?1557001322,,,red commensal scaleworm
Arctonoe vittata,122163,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,Arctonoe,Arctonoe vittata,Arctonoe vittata,unlisted,unlisted,reported,1975-06-18,T. Kessler,RBCM,,,975-00227-002,1898294448,,,,,red-banded commensal scaleworm
Halosydna brevisetosa,71236,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,Halosydna,Halosydna brevisetosa,Halosydna brevisetosa,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2019-05-05,Dave Metzger,,,https://www.inaturalist.org/observations/25586752,https://static.inaturalist.org/photos/39647375/medium.jpg?1558564709,,,eighteen-scaled worm
Harmothoe fragilis,873903,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,Harmothoe,Harmothoe fragilis,Harmothoe fragilis,unlisted,unlisted,reported,2012-10-06,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,chocolate & white scaleworm
Tomopteris pacifica,693689,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,,,Tomopteridae,,,Tomopteris,Tomopteris pacifica,Tomopteris pacifica,unlisted,unlisted,reported,2010-05-30,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,tailed Pacific transparent-worm
Neosabellaria cementarium,339237,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,,Neosabellaria,Neosabellaria cementarium,Sabellaria cementarium,unlisted,unlisted,reported,1996-09-28,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Sabellaria cementarium,,cemented sandmason tubeworm
Chone aurantiaca,356415,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Chone,Chone aurantiaca,Chone aurantiaca,unlisted,unlisted,reported,1999-05-04,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,orange feather-duster
Chone minuta,339234,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Chone,Chone minuta,Chone minuta,unlisted,unlisted,reported,2007-10-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,minute feather-duster
Eudistylia vancouveri,84864,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Eudistylia,Eudistylia vancouveri,Eudistylia vancouveri,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2015-01-01,Peter Luckham,,,http://www.inaturalist.org/observations/2797277,https://static.inaturalist.org/photos/3175031/medium.jpg?1458270041,,,Vancouver feather-duster
Myxicola aesthetica,492594,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Myxicola,Myxicola aesthetica,Myxicola aesthetica,unlisted,unlisted,reported,2018-06-19,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,"Dr. Leslie Harris, polychaete expert, remarks: ""different NEP websites & publications report this soft-sediment worm as both M. infundibulum & M. aesthetica, which is the first part of the confusion. In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces so if our NEP specimens are really the same as a European species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. The second part of the confusion is what to call them. In the past several NEP species of Myxicola were described from California, Puget Sound, & Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP.""",petite slime-tube feather-duster
Myxicola infundibulum,49533,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Myxicola,Myxicola infundibulum,Myxicola infundibulum,unlisted,unlisted,confirmed,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,2016-05-25,Karolle Wall,,,http://www.inaturalist.org/observations/4052030,https://static.inaturalist.org/photos/4798684/medium.jpg?1473205031,,"Dr. Leslie Harris, polychaete expert, remarks: ""different NEP websites & publications report this soft-sediment worm as both M. infundibulum & M. aesthetica, which is the first part of the confusion. In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces so if our NEP specimens are really the same as a European species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. The second part of the confusion is what to call them. In the past several NEP species of Myxicola were described from California, Puget Sound, & Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP.""",slime-tube feather-duster
Parasabella media,367054,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Parasabella,Parasabella media,Parasabella media,unlisted,unlisted,reported,1994-09-10,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,parasol feather-duster
Schizobranchia insignis,339561,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,,,Schizobranchia,Schizobranchia insignis,Schizobranchia insignis,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2017-05-26,Karolle Wall,,,https://www.inaturalist.org/observations/7674363,https://static.inaturalist.org/photos/10049762/medium.jpg?1503850746,,,split-branch feather-duster
Apomatus,375596,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Serpulinae,,Apomatus,,Apomatus sp.,unlisted,unlisted,reported,2007-10-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,pearl-topped calcareous worm
Crucigera,543578,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Crucigera,,Crucigera sp.,unlisted,unlisted,reported,2002-03-23,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,pale calcareous tubeworm
Protula pacifica,538108,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Protula,Protula pacifica,Protula pacifica,unlisted,unlisted,reported,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,white-crown calcareous tubeworm
Pseudochitinopoma occidentalis,538107,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Pseudochitinopoma,Pseudochitinopoma occidentalis,Pseudochitinopoma occidentalis,unlisted,unlisted,reported,2006-03-05,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,western calcareous tubeworm
Salmacina tribranchiata,194972,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Salmacina,Salmacina tribranchiata,Salmacina tribranchiata,unlisted,unlisted,reported,2006-11-18,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,three-branch calcareous tubeworm
Serpula columbiana,131207,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Serpulinae,,Serpula,Serpula columbiana,Serpula columbiana,unlisted,unlisted,confirmed,?,?,RBCM,2015-09-25,Karolle Wall,986-00191-010,,http://www.inaturalist.org/observations/3706037,https://static.inaturalist.org/photos/4303535/medium.jpg?1468966530,,missing RBCM metadata,red-trumpet calcareous tubeworm
Dodecaceria concharum,464813,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Cirratulidae,,,Dodecaceria,Dodecaceria concharum,Dodecaceria concharum,unlisted,unlisted,reported,1999-07-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,coralline-encased filament-worm
Dodecaceria fewkesi,192656,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Cirratulidae,,,Dodecaceria,Dodecaceria fewkesi,Dodecaceria fewkesi,unlisted,unlisted,confirmed,1969-02-21,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763488,https://static.inaturalist.org/photos/3127777/medium.jpg?1457578667,,,fringed filament-worm
Cistenides granulata,464624,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Pectinariidae,,,Cistenides,Cistenides granulata,Pectinaria granulata,unlisted,unlisted,reported,1999-10-02,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Pectinaria granulata,,tusk coneworm
Pista elongata,338339,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Terebellidae,,,Pista,Pista elongata,Pista elongata,unlisted,unlisted,reported,1993-08-16,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,basket-top spaghetti-worm
Thelepus,117588,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Terebellidae,,,Thelepus,,Thelepus sp.,unlisted,unlisted,reported,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,curly-head spaghetti-worm
Daphnia longiremis,548495,Animalia,Arthropoda,Crustacea,,Branchiopoda,Diplostraca,Cladocera,Anomopoda,,,Daphniidae,,,Daphnia,Daphnia longiremis,Daphnia longiremis,unlisted,unlisted,reported,1998-01-14,Bert Loro,RBCM,,,994-00072-002,,,,,this record is not in GBIF?,water flea
Eubranchipus oregonus,219607,Animalia,Arthropoda,Crustacea,,Branchiopoda,Sarsostraca,,Anostraca,,,Chirocephalidae,,,Eubranchipus,Eubranchipus oregonus,Eubranchipus oregonus,unlisted,unlisted,reported,2013-10-25,Thalia Grant,RBCM,,,999-00379-001,,,,,this record is not in GBIF?,Oregon fairy shrimp
Pollicipes polymerus,48786,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Scalpelliformes,,,Pollicipedidae,,,Pollicipes,Pollicipes polymerus,Pollicipes polymerus,unlisted,unlisted,reported,1993-05-09,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,goose-neck barnacle
Semibalanus cariosus,47658,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Archaeobalanidae,,,Semibalanus,Semibalanus cariosus,Semibalanus cariosus,unlisted,unlisted,confirmed,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,2016-08-17,Andrew Simon,,,http://www.inaturalist.org/observations/3910072,https://static.inaturalist.org/photos/4596474/medium.jpeg?1471493079,,,thatched acorn barnacle
Balanus crenatus,117672,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,Balanus crenatus,Balanus crenatus,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2019-01-25,‘awworld’,,,https://www.inaturalist.org/observations/19886394,https://static.inaturalist.org/photos/30667044/medium.jpg?1548532961,,,common acorn barnacle
Balanus glandula,81610,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,Balanus glandula,Balanus glandula,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2015-08-28,Andrew Simon,,,http://www.inaturalist.org/observations/2580675,https://static.inaturalist.org/photos/2880873/medium.JPG?1452762362,,,common acorn barnacle
Balanus nubilus,49127,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,Balanus nubilus,Balanus nubilus,unlisted,unlisted,confirmed,,,RBCM,2016-03-24,"Alison, Laura & Malcolm Colwell",986-00191-002,,http://www.inaturalist.org/observations/2825535,https://static.inaturalist.org/photos/3215670/medium.jpg?1458847212,,missing RBCM metadata (this record is not in GBIF),giant acorn barnacle
Chthamalus dalli,129910,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Chthamaloidea,Chthamalidae,,,Chthamalus,Chthamalus dalli,Chthamalus dalli,unlisted,unlisted,confirmed,2008-02-16,Andy Lamb & Donna Gibbs,PMLS,2015-08-28,Andrew Simon,,,http://www.inaturalist.org/observations/2580662,https://static.inaturalist.org/photos/2880850/medium.JPG?1452761553,,,small acorn barnacle
Argulus pugettensis,873865,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Argulidae,,,Argulus,Argulus pugettensis,Argulus pugettensis,unlisted,unlisted,reported,2007-09-29,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,surfperch fish louse
Ampelisca hancocki,295404,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,Ampelisca hancocki,Ampelisca hancocki,unlisted,unlisted,reported,1961-06-22,,RBCM,,,976-01146-018,1898315672,,,,no common name listed; no collector name included in GBIF dataset,
Ampelisca lobata,295407,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,Ampelisca lobata,Ampelisca lobata,unlisted,unlisted,reported,1961-06-22,,RBCM,,,976-01146-017,1898267968,,,,no common name listed; no collector name included in GBIF dataset,
Ampelisca macrocephala unsocalae,313004,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Synopioidea,Ampeliscidae,,,Ampelisca,Ampelisca macrocephala,Ampelisca unsocalae,unlisted,unlisted,reported,1961-06-22,,RBCM,,,976-01146-019,1898311199,,,,no common name listed; no collector name included in GBIF dataset,
Ampithoe lacertosa,260501,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,Ampithoe,Ampithoe lacertosa,Ampithoe lacertosa,unlisted,unlisted,reported,2009-02-14,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,sea lettuce sea flea
Caprella alaskana,508889,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,Caprella,Caprella alaskana,Caprella alaskana,unlisted,unlisted,reported,2008-06-21,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,Alaskan skeleton shrimp
Caprella mutica,64634,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,Caprella,Caprella mutica,Caprella mutica,unlisted,unlisted,new 2016,,,,2010-08-21,Karolle Wall,,,http://www.inaturalist.org/observations/4052123,https://static.inaturalist.org/photos/4799013/medium.jpg?1473206733,,confirmed by Mary Wicksten,Japanese skeleton shrimp
Photis brevipes,295828,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Photoidea,Photidae,,,Photis,Photis brevipes,Photis brevipes,unlisted,unlisted,reported,1961-06-22,,RBCM,,,976-01146-002,1898291753,,,,no common name; no collector name in GBIF dataset,
Chromopleustes oculatus,796029,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,,Chromopleustes,Chromopleustes oculatus,Chromopleustes oculatus,unlisted,unlisted,reported,1995-02-24,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,black-and-white sea flea
Megalorchestia pugettensis,345335,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitroidea,Talitridae,,,Megalorchestia,Megalorchestia pugettensis,Megalorchestia pugettensis,unlisted,unlisted,new 2018,,,,2018-08-01,Andrew Simon,,,https://www.inaturalist.org/observations/15038969,https://static.inaturalist.org/photos/22447275/medium.jpeg?1533189567,,,Puget Sound beach flea
Traskorchestia traskiana,130223,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talitroidea,Talitridae,,,Traskorchestia,Traskorchestia traskiana,Traskorchestia traskiana,unlisted,unlisted,new 2017,,,,2017-03-30,Andrew Simon,,,https://www.inaturalist.org/observations/5516564,https://static.inaturalist.org/photos/6803892/medium.jpg?1490951042,,,Pacific beach hopper
Neotrypaea californiensis,56659,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,,Callianassidae,,,Neotrypaea,Neotrypaea californiensis,Neotrypaea californiensis,unlisted,unlisted,confirmed,1995-02-23,Andy Lamb & Donna Gibbs,PMLS,2019-04-20,Natalie Kennedy,,,https://www.inaturalist.org/observations/22842052,https://static.inaturalist.org/photos/35403651/medium.jpg?1555881841,,,bay ghost shrimp
Cancer productus,47826,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Cancer,Cancer productus,Cancer productus,unlisted,unlisted,confirmed,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,2015-08-28,Andrew Simon,,,http://www.inaturalist.org/observations/2026014,https://static.inaturalist.org/photos/2464687/medium.jpg?1443768648,,,red rock crab
Glebocarcinus oregonensis,429951,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Glebocarcinus,Glebocarcinus oregonensis,Glebocarcinus oregonensis,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2016-04-08,Karolle Wall,,,http://www.inaturalist.org/observations/2909693,https://static.inaturalist.org/photos/3329265/medium.jpg?1460260146,,include critical note as per G. Jensen (2018); RBCM specimen 986-00191-003,pygmy rock crab
Metacarcinus gracilis,116721,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus gracilis,Metacarcinus gracilis,unlisted,unlisted,confirmed,1973-06-14,Philip Lambert,RBCM,2016-08-17,Andrew Simon,973-00137-019,1898314378,http://www.inaturalist.org/observations/3910088,https://static.inaturalist.org/photos/4596650/medium.jpeg?1471494095,,include critical note as per G. Jensen (2018),graceful crab
Metacarcinus magister,63697,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,Metacarcinus,Metacarcinus magister,Metacarcinus magister,unlisted,unlisted,confirmed,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,2018-05-29,Karolle Wall,,,https://www.inaturalist.org/observations/12970642,https://static.inaturalist.org/photos/18856857/medium.jpg?1527728313,,include critical note as per G. Jensen (2018),dungeness crab
Telmessus cheiragonus,180391,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cheiragonoidea,Cheiragonidae,,,Telmessus,Telmessus cheiragonus,Telmessus cheiragonus,unlisted,unlisted,confirmed,1996-05-29,Andy Lamb & Donna Gibbs,PMLS,2017-05-29,Karolle Wall,,,https://www.inaturalist.org/observations/7659462,https://static.inaturalist.org/photos/10025820/medium.jpg?1503767341,,,helmet crab
Crangon franciscorum,48812,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,,Crangon,Crangon franciscorum,Crangon franciscorum,unlisted,unlisted,new 2018,,,,2018-05-31,Karolle Wall,,,https://www.inaturalist.org/observations/13026269,https://static.inaturalist.org/photos/18955413/medium.jpg?1527899931,,,California bay shrimp
Metacrangon munita,459610,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,,Metacrangon,Metacrangon munita,Metacrangon munita,unlisted,unlisted,reported,1928-07-18,,RBCM,,,015-00224-001,,,,,,coastal spinyhead
Chorilia longipes,459559,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,Chorilia,Chorilia longipes,Chorilia longipes,unlisted,unlisted,confirmed,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,2019-05-04,Isabelle Côté,,,https://www.inaturalist.org/observations/24797935,https://static.inaturalist.org/photos/38351569/medium.jpeg?1557343154,,,longhorn decorator crab
Pugettia gracilis,130344,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,Pugettia,Pugettia gracilis,Pugettia gracilis,unlisted,unlisted,confirmed,,,RBCM,2013-10-13,Peter Luckham,986-00191-004,,http://www.inaturalist.org/observations/2976672,https://static.inaturalist.org/photos/3420939/medium.jpg?1461100591,,,graceful kelp crab
Pugettia producta,49723,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,Pugettia,Pugettia producta,Pugettia producta,unlisted,unlisted,confirmed,1969-02-22,Andy Lamb & Donna Gibbs,PMLS,2016-02-07,Peter Luckham,,,http://www.inaturalist.org/observations/2763431,https://static.inaturalist.org/photos/3127685/medium.jpg?1457577719,,,northern kelp crab
Heptacarpus brevirostris,63679,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Thoridae,,,Heptacarpus,Heptacarpus brevirostris,Heptacarpus brevirostris,unlisted,unlisted,new 2017,,,,2017-05-26,Karolle Wall,,,https://www.inaturalist.org/observations/7674355,https://static.inaturalist.org/photos/10049751/medium.jpg?1503850708,,,stout coastal shrimp
