id,parentId,iNaturalistTaxonName,commonName,rank,iNaturalistTaxonImage
47903,47366,Cactaceae,cacti,family,https://inaturalist-open-data.s3.amazonaws.com/photos/13279984/medium.jpeg
48040,47605,Campanulaceae,bellflower family,family,https://static.inaturalist.org/photos/20710337/medium.jpg
48064,47181,Primulaceae,primroses,family,https://inaturalist-open-data.s3.amazonaws.com/photos/15229725/medium.jpeg
48150,523723,Boraginaceae,borage family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/31342774/medium.jpg
48231,48232,Ranunculaceae,buttercup family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/3063606/medium.jpg
48382,47366,Polygonaceae,knotweed family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/6818849/medium.jpg
48386,71289,Saxifragaceae,saxifrage family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/32017311/medium.jpeg
48516,48515,Solanaceae,nightshade family,family,https://static.inaturalist.org/photos/4608305/medium.jpeg
48527,48526,Caprifoliaceae,honeysuckle family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/29884886/medium.jpg
48536,48073,Araceae,arum family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/5700/medium.jpg
48567,47366,Caryophyllaceae,pink family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/50002751/medium.jpg
48623,48151,Lamiaceae,mint family,family,https://static.inaturalist.org/photos/72305606/medium.jpg
48694,47162,Typhaceae,"bulrushes, cattails, and allies",family,https://inaturalist-open-data.s3.amazonaws.com/photos/33177903/medium.jpeg
48699,48700,Apiaceae,carrot family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/8872/medium.jpg
48797,48796,Malvaceae,Mallow and Hibiscus Family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/7334/medium.jpg
48874,47729,Anacardiaceae,cashew family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/56402931/medium.jpg
48932,47181,Polemoniaceae,phlox family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/1215798/medium.
49041,47132,Rhamnaceae,buckthorn family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/80456202/medium.jpg
49155,47853,Betulaceae,birch family,family,https://static.inaturalist.org/photos/8119202/medium.jpg
49289,48232,Berberidaceae,barberry family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/14991/medium.jpg
49464,47329,Melanthiaceae,bunchflowers,family,https://inaturalist-open-data.s3.amazonaws.com/photos/129437915/medium.jpg
50313,48796,Thymelaeaceae,Stringbarks,family,https://inaturalist-open-data.s3.amazonaws.com/photos/11609675/medium.jpg
50361,48073,Hydrocharitaceae,tape-grass family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/209371645/medium.jpg
50638,48151,Plantaginaceae,plantain family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/11147978/medium.jpg
50828,51820,Violaceae,violet family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/19508334/medium.jpeg
51121,51120,Nymphaeaceae,Waterlily Family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/115591053/medium.jpeg
51308,51820,Linaceae,Flax Family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/15494/medium.jpg
51821,51820,Euphorbiaceae,spurge family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/10222510/medium.jpg
51885,47132,Urticaceae,nettle family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/60191852/medium.jpeg
51890,71289,Crassulaceae,stonecrop family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/26707624/medium.jpg
51937,47366,Droseraceae,Sundew Family,family,https://inaturalist-open-data.s3.amazonaws.com/photos/9788583/medium.jpg
