Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code
Cladonia cervicornis,(Ach.) Flotow    ,browned pixie-cup lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2019),new 2018,Documented,,,,,2018-11-07,judithofsquamish,https://www.inaturalist.org/observations/18236354,https://static.inaturalist.org/photos/27865163/medium.jpeg?1541656224,,54284,
Cladonia chlorophaea,(Flörke ex Sommerf.) Sprengel,mealy pixie cup,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018) ,new 2018,Documented,,,,,2018-04-09,derekkillby,https://www.inaturalist.org/observations/13792618,https://static.inaturalist.org/photos/20341789/medium.jpg?1529984543,,49488,
Cladonia coniocraea,(Flörke) Sprengel,common powderhorn,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018),new 2018,Documented,,,,,2018-12-07,benkeen,https://www.inaturalist.org/observations/18883877,https://static.inaturalist.org/photos/28936952/medium.jpg?1544217890,,155093,
Cladonia cornuta,(L.) Hoffm.,bighorn lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018),new 2014,Documented,,,,,2014-06-28,judithofsquamish,https://www.inaturalist.org/observations/8462427,https://static.inaturalist.org/photos/11280277/medium.jpeg?1508387983,,179035,
Cladonia fimbriata,(L.) Fr.,trumpet lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018) ,new 2018,Documented,,,,,2018-09-30,benkeen,https://www.inaturalist.org/observations/17086953,https://static.inaturalist.org/photos/25866569/medium.jpg?1538359384,,179037,
Cladonia macilenta,Hoffm.,lipstick powderhorn,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S4 (2019) ,confirmed,Documented,1949-11-19,,,RBCM,2018-09-30,benkeen,https://www.inaturalist.org/observations/17086960,https://static.inaturalist.org/photos/25866583/medium.jpg?1538359395,,117950,
Cladonia portentosa pacifica,(Dufour) Coem.,reindeer lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018),new 2018,Documented,,,,,2018-09-03,benkeen,https://www.inaturalist.org/observations/16178413,https://static.inaturalist.org/photos/24262002/medium.jpg?1536002872,,119666,
Cladonia rangiferina,(L.) F. H. Wigg.,grey reindeer lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018) ,new 2018,Documented,,,,,2018-12-01,benkeen,https://www.inaturalist.org/observations/18764586,https://static.inaturalist.org/photos/28736094/medium.jpg?1543705738,,119778,
Cladonia squamosa,Hoffm.,dragon horn,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Cladoniaceae,,Native,S5 (2018) ,new 2019,Documented,,,,,2019-07-01,judithofsquamish,https://www.inaturalist.org/observations/28270356,https://static.inaturalist.org/photos/44058166/medium.jpeg?1562380983,,117963,
Clavicorona sp.,Doty,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Auriscalpiaceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-08-25,kmfret,https://www.inaturalist.org/observations/32185379,https://static.inaturalist.org/photos/50446436/medium.jpeg?1567714464,,117501,
Clavulina coralloides,(L.) J. Schröt.,white coral fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Cantharellales,,,Clavulinaceae,,,no status,new 2018,Documented,,,,,2018-11-05,judithofsquamish,https://www.inaturalist.org/observations/18173317,https://static.inaturalist.org/photos/27777714/medium.jpeg?1541526483,,63260,
Clitocybe dilatata,Pers. ex P. Karst,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,no status,new 2019,Documented,,,,,2019-12-07,benkeen,https://www.inaturalist.org/observations/36447282,https://static.inaturalist.org/photos/57612611/medium.jpeg?1575755441,,179747,
Clitocybe odora,(Bull.) P. Kumm.,aniseed funnel,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Tricholomataceae,,,no status,new 2019,Documented,,,,,2019-10-20,benkeen,https://www.inaturalist.org/observations/34664399,https://static.inaturalist.org/photos/54581669/medium.jpeg?1571616975,,334677,
Clitopilus prunulus,(Bull.) P. Kumm.,sweetbread mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Tricholomatineae,,Entolomataceae,,,no status,new 2019,Documented,,,,,2019-09-26,benkeen,https://www.inaturalist.org/observations/33462968,https://static.inaturalist.org/photos/52559618/medium.jpeg?1569550141,,64708,
Coltricia perennis,(L.) Murrill,brown funnel polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Hymenochaetales,,,Hymenochaetaceae,,,no status,new 2018,Documented,,,,,2018-08-18,citizen1,https://www.inaturalist.org/observations/15737488,https://static.inaturalist.org/photos/23499077/medium.jpg?1534804319,,118034,
Coprinellus micaceus,"(Bull.) Vilgalys, Hopple & Jac. Johnson",mica cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,no status,new 2018,Documented,,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16857608,https://static.inaturalist.org/photos/25457983/medium.jpg?1537754174,,56318,
Coprinopsis atramentaria,"(Bull.) Redhead, Vilgalys & Moncalvo",common ink cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,no status,new 2017,Documented,,,,,2017-10-02,rainwalker,https://www.inaturalist.org/observations/8296005,https://static.inaturalist.org/photos/11008976/medium.jpg?1507390208,,48521,
Coprinopsis lagopus,"(Fr.) Redhead, Vilgalys & Moncalvo",hare's foot inkcap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,no status,new 2017,Documented,,,,,2017-10-18,rainwalker,https://www.inaturalist.org/observations/8470238,https://static.inaturalist.org/photos/11292396/medium.jpg?1508449822,,55605,
Coprinopsis stercorea,"(Fr.) Redhead, Vilgalys & Moncalvo",none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Psathyrellaceae,,,no status,new 2019,Documented,,,,,2019-03-30,gwenlh,https://www.inaturalist.org/observations/22577617,https://static.inaturalist.org/photos/34980785/medium.jpg?1555451110,,56321,
Cortinarius violaceus,(L.) Gray,violet webcap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Cortinariaceae,,,no status,new 2018,Documented,,,,,2018-09-23,joanseptembre,https://www.inaturalist.org/observations/16923268,https://static.inaturalist.org/photos/25571805/medium.jpeg?1537934270,,124344,
Craterellus tubaeformis,Fr.) Quel. ,yellowfoot,Fungi,Basidiomycota,,,Agaricomycetes,,,Cantharellales,,,Cantharellaceae,,,no status,new 2017,Documented,,,,,2017-11-02,rainwalker,https://www.inaturalist.org/observations/8657002,https://static.inaturalist.org/photos/11593206/medium.jpg?1509649182,,350511,
Crepidotus crocophyllus,"Bandala, Montoya & Mata",none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Crepidotaceae,,,not in CDC records,new 2019,Documented,,,,,2019-09-22,benkeen,https://www.inaturalist.org/observations/33233322,https://static.inaturalist.org/photos/52180636/medium.jpeg?1569200804,,154733,
Crepidotus mollis,(Fr.) Staude,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Crepidotaceae,,,not in CDC records,new 2018,Documented,,,,,2018-09-20,benkeen,https://www.inaturalist.org/observations/16726807,https://static.inaturalist.org/photos/25238438/medium.jpg?1537472476,,118283,
Crucibulum laeve,(Huds.) Kambly,common bird's-nest,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Nidulariaceae,,,no status,new 2018,Documented,,,,,2018-11-12,judithofsquamish,https://www.inaturalist.org/observations/18442999,https://static.inaturalist.org/photos/28195858/medium.jpeg?1542433947,,120030,
Cryptoporus volvatus,(Peck) Shear,veiled polypore,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2019,Documented,,,,,2019-03-24,benkeen,https://www.inaturalist.org/observations/21580686,https://static.inaturalist.org/photos/33404111/medium.jpg?1553477327,,118051,
Cystoderma sp.,Fayod,powdercaps,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Squamanitaceae,,,genus is in CDC records,new 2019,Documented,,,,,2019-09-26,benkeen,https://www.inaturalist.org/observations/33462980,https://static.inaturalist.org/photos/52559638/medium.jpeg?1569550164,,337955,
Dacrymyces chrysospermus,Berk. & M.A. Curtis ,orange jelly spot,Fungi,Basidiomycota,,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,no status,new 2013,Documented,,,,,2013-12-28,hillanddale,https://www.inaturalist.org/observations/9595902,https://static.inaturalist.org/photos/13092211/medium.jpeg?1516768175,,118028,
Dacryopinax spathularia,(Schwein.) G.W. Martin,fan-shaped jelly-fungus,Fungi,Basidiomycota,,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,no status,new 2018,Documented,,,,,2018-11-05,judithofsquamish,https://www.inaturalist.org/observations/18173006,https://static.inaturalist.org/photos/27776850/medium.jpeg?1541525402,,143313,
Deconica coprophila,Author: (Bull.) P. Karst,dung-loving deconica,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2018,Documented,,,,,2018-12-22,benkeen,https://www.inaturalist.org/observations/19157083,https://static.inaturalist.org/photos/29415293/medium.jpg?1545507869,,528643,
Echinodontium tinctorium,(Ellis & Everh.) Ellis & Everh.,Indian paint fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Echinodontiaceae,,,no status,new 2019,Documented,,,,,2019-03-05,gwenlh,https://www.inaturalist.org/observations/21102289,https://static.inaturalist.org/photos/32613113/medium.jpg?1552190225,,179721,
Evernia prunastri,(L.) Ach.,oakmoss,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,Native,S5 (2018) ,new 2018,Documented,,,,,2018-09-29,benkeen,https://www.inaturalist.org/observations/17041773,https://static.inaturalist.org/photos/25780984/medium.jpg?1538256518,,123175,
Exidiopsis effusa,Bref.,hair ice,Fungi,Basidiomycota,,,Agaricomycetes,,,Auriculariales,,,Auriculariaceae,,,not in CDC records,new 2018,Documented,,,,,2018-12-08,judithofsquamish,https://www.inaturalist.org/observations/18906571,https://static.inaturalist.org/photos/28976395/medium.jpeg?1544313045,,518289,
Exobasidium cassiopes,Peck,none,Fungi,Basidiomycota,,,Exobasidiomycetes,,,Exobasidiales,,,Exobasidiaceae,,,not in CDC records,new 2013,Documented,,,,,2013-09-08,judithofsquamish,https://www.inaturalist.org/observations/32725598,https://static.inaturalist.org/photos/51346393/medium.jpeg?1568496148,,555285,
Flavoparmelia caperata,(L.) Hale,common greenshield lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Lecanorales,,,Parmeliaceae,,,not in CDC records,new 2018,Documented,,,,,2018-09-20,benkeen,https://www.inaturalist.org/observations/16719584,https://static.inaturalist.org/photos/25226705/medium.jpg?1537459100,,117943,
Fomes fomentarius,(L.) Fr.,hoof fungus,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Polyporaceae,,,no status,new 2018,Documented,,,,,2018-11-09,judithofsquamish,https://www.inaturalist.org/observations/18296840,https://static.inaturalist.org/photos/27954281/medium.jpeg?1541814465,,127510,
Fomitopsis mounceae,(Sw.) P. Karst,none,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-04,judithofsquamish,https://www.inaturalist.org/observations/18133172,https://static.inaturalist.org/photos/27720941/medium.jpeg?1541435059,,877361,
Galerina marginata,(Batsch) Kühner,funeral bell,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Hymenogastraceae,,,no status,new 2018,Documented,,,,,2018-11-04,benkeen,https://www.inaturalist.org/observations/18102179,https://static.inaturalist.org/photos/27677520/medium.jpg?1541367126,,154735,
Ganoderma applanatum,(Pers.) Pat.,artist's bracket,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Ganodermataceae,,,no status,new 2018,Documented,,,,,2018-09-09,benkeen,https://www.inaturalist.org/observations/16369722,https://static.inaturalist.org/photos/24612217/medium.jpg?1536531248,,48473,
Ganoderma oregonense,Murrill,west coast reishi,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Ganodermataceae,,,no status,new 2018,Documented,,,,,2018-11-04,judithofsquamish,https://www.inaturalist.org/observations/18133801,https://static.inaturalist.org/photos/27721145/medium.jpeg?1541435343,,118062,
Gloeoporus dichrous,"(Fr.) Bres., Hedwigia",bicoloured bracket,Fungi,Basidiomycota,,,Agaricomycetes,,,Polyporales,,,Meruliaceae,,,not in CDC records,new 2018,Documented,,,,,2018-11-12,judithofsquamish,https://www.inaturalist.org/observations/18771185,https://static.inaturalist.org/photos/28747779/medium.jpeg?1543730095,,202418,
Gomphidius subroseus,Kauffman,rosy slime spike,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Gomphidiaceae,,,no status,new 2019,Documented,,,,,2019-09-26,benkeen,https://www.inaturalist.org/observations/33462926,https://static.inaturalist.org/photos/52559544/medium.jpeg?1569550068,,48428,
Graphis scripta,(L.) Ach.,common script lichen,Fungi,Ascomycota,,,Lecanoromycetes,,,Ostropales,,,Graphidaceae,,,not in CDC records,new 2016,Documented,,,,,2016-10-18,judithofsquamish,https://www.inaturalist.org/observations/16646985,https://static.inaturalist.org/photos/25096959/medium.jpeg?1537235524,,117987,
Guepinia helvelloides,(DC.) Fr.,apricot jelly,Fungi,Basidiomycota,,,Agaricomycetes,,,Auriculariales,,,,,,no status,new 2019,Documented,,,,,2019-09-08,benkeen,https://www.inaturalist.org/observations/32380736,https://static.inaturalist.org/photos/50780420/medium.jpeg?1567986119,,348814,
Guepiniopsis alpina,(Tracy & Earle) Brasf.,alpine jelly cone,Fungi,Basidiomycota,,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,not in CDC records,new 2018,Documented,,,,,2018-06-30,mrob,https://www.inaturalist.org/observations/13950896,https://static.inaturalist.org/photos/20620636/medium.jpg?1530466544,,118032,
Guepiniopsis buccina,(Pers.) L.L. Kenn.,none,Fungi,Basidiomycota,,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,,,no status,new 2018,Documented,,,,,2018-11-24,judithofsquamish,https://www.inaturalist.org/observations/18716644,https://static.inaturalist.org/photos/28659774/medium.jpeg?1543512247,,350910,
Gymnopilus junonius,(Fr.) P.D. Orton,spectacular rustgill,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,Agaricineae,,Strophariaceae,,,no status,new 2019,Documented,,,,,2019-09-10,judithofsquamish,https://www.inaturalist.org/observations/32597022,https://static.inaturalist.org/photos/51140498/medium.jpg?1568310332,,83196,
Helvella vespertina,N.H. Nguyen & Vellinga,western black elfin saddle,Fungi,Ascomycota,,,Pezizomycetes,,,Pezizales,,,Helvellaceae,,,no status,new 2018,Documented,,,,,2018-11-02,judithofsquamish,https://www.inaturalist.org/observations/18036135,https://static.inaturalist.org/photos/27575712/medium.jpg?1541183761,,423950,
Hericium erinaceus,(Bull.) Persoon,lion's-mane mushroom,Fungi,Basidiomycota,,,Agaricomycetes,,,Russulales,,,Hericiaceae,,,no status,new 2017,Documented,,,,,2017-10-10,rainwalker,https://www.inaturalist.org/observations/8352911,https://static.inaturalist.org/photos/11102377/medium.jpg?1507690316,,49158,
Hydnellum peckii,Banker,red-juice tooth,Fungi,Basidiomycota,,,Agaricomycetes,,,Thelephorales,,,Bankeraceae,,,no status,new 2019,Documented,,,,,2019-08-24,kmfret,https://www.inaturalist.org/observations/31804371,https://static.inaturalist.org/photos/49805140/medium.jpeg?1567184286,,154949,
Hydnum repandum,L.,wood hedgehog,Fungi,Basidiomycota,,,Agaricomycetes,,,Cantharellales,,,Hydnaceae,,,no status,new 2019,Documented,,,,,2019-08-25,kmfret,https://www.inaturalist.org/observations/32185380,https://static.inaturalist.org/photos/50446465/medium.jpeg?1567714480,,48641,
Hygrocybe coccinea,(Schaeff.) P. Kumm.,Scarlet Waxy Cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hygrophoraceae,,,no status,new 2019,Documented,,,,,2019-11-11,benkeen,https://www.inaturalist.org/observations/35584945,https://static.inaturalist.org/photos/56126418/medium.jpeg?1573508566,,55245,
Hygrocybe flavescens,Kauffman,Golden Waxy Cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hygrophoraceae,,,,,,,,,,2019-12-25,benkeen,https://www.inaturalist.org/observations/36946490,https://static.inaturalist.org/photos/58487011/medium.jpeg?1577305668,,53475,
Hygrocybe flavescens,(Kauff.) Singer,Golden Waxy Cap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hygrophoraceae,,,no status,new 2019,Documented,,,,,2019-12-25,benkeen,https://www.inaturalist.org/observations/36946490,https://static.inaturalist.org/photos/58487011/medium.jpeg?1577305668,,53475,
Hygrocybe miniata,(Fr.) P. Kumm,vermilion waxcap,Fungi,Basidiomycota,,,Agaricomycetes,,,Agaricales,,,Hygrophoraceae,,,no status,new 2013,Documented,,,,,2013-10-14,hillanddale,https://www.inaturalist.org/observations/9601543,https://static.inaturalist.org/photos/13097817/medium.jpg?1516810533,,194659,
