Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Ophrydium versatile,Müller,a colonial microscopic single-celled protozoan,Chromista,Ciliophora,Intramacronucleata,,Oligohymenophorea,Peritrichia,,Sessilida,,,Ophrydiidae,,,genus not in CDC records,new 2020,documented,,,,,,44078,judithofsquamish,https://www.inaturalist.org/observations/71512859,,364055
Agarum fimbriatum,(Harvey) H.Kawai & T.Hanyuda,sea colander kelp,Chromista,Ochrophyta,, ,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,native,genus not in CDC records,reported,undocumented,42967,Donna Gibbs,Howe Sound Marine Data,,,,,,,182954
Alaria marginata,Postels & Ruprecht,winged kelp,Chromista,Ochrophyta,, ,Phaeophyceae,Fucophycidae,,Laminariales,,,Alariaceae, ,,genus not in CDC records,confirmed,documented,, ,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43622,bclarkston,https://www.inaturalist.org/observations/27896027,,124814,,
Costaria costata,(Turner) Saunders,seersucker kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,native,genus not in CDC records,reported,undocumented,34791,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau  49.56103  -123.23512 - 4 examples to show all locations  are provided on Donna Gibbs' spreadsheet,125877
Laminaria setchellii,P.C.Silva,southern stiff-stiped kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,genus not in CDC records,new 2018,documented,,,,,,43145,imcote,https://www.inaturalist.org/observations/37938559,iNat: needs i.d.,81896
Neoagarum fimbriatum,(Harvey) H.Kawai & T.Hanyuda,fringed sea colander kelp,Chromista,Ochrophyta,, ,Phaeophyceae,Fucophycidae,,Laminariales,,,Agaraceae,,,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,895193
Nereocystis luetkeana,(K. Mertens) Postels & Ruprecht,bull kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Lessoniaceae,,,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,120499
Pterygophora californica,Ruprecht,stalked kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Alariaceae,,,genus not in CDC records,new 2020,documented,,,,,,43857,emlim,https://www.inaturalist.org/observations/38096880,iNat: needs i.d.,124146
Saccharina latissima,"(Linnaeus) C.E. Lane, C. Mayes, Druehl, et G.W. Saunders",sugar wrack kelp; sea belt,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,native,genus not in CDC records,reported,undocumented,42033,Donna Gibbs,Howe Sound Marine Data,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau  49.56103  -123.23512,130231
Colpomenia bullosa,(D.A.Saunders) Yamada,oyster thief; bulb seaweed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Scytosiphonales,,,Scytosiphonaceae,,,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,328389
Scytosiphon lomentaria,(Lyngbye) J. Agardh,whip tube,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Scytosiphonales,,,Scytosiphonaceae,,,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,182932
Sphacelaria rigidula,Kützing,"a sp of brown algae, seaweed",Chromista,Ochrophyta,,,Phaeophyceae,Dictyotophycidae,,Sphacelariales,,,Sphacelariaceae,,,genus not in CDC records,new 2019,documented,,,,,,43622,bclarkston,https://www.inaturalist.org/observations/27915808,,328393
Anthoceros punctatus ,L.,dotted hornwort,Plantae,Anthocerotophyta,,,Anthocerotopsida,,,Anthocerotales,,,Anthocerotaceae,,unrankable,SU (2018)  ,reported,undocumented,22435,M. Bell ,WTU,WTU-B-010847,,,,,U Washington: above Brohm Lake,158432
Andreaea alpestris,Hedw.,andreaea moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S3S4 (2011),reported ,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,158337
Andreaea blyttii ,Schimp.,blytt's rock moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S4 (2015),reported,undocumented,30588,W. B. Schofield ,UBC  ,B58189,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Garibaldi PP trail to Diamond Head,158338
Andreaea megistospora,B.M. Murr.,none,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S4 (2015) ,reported,undocumented,36110,W. B. Schofield ,UBC  ,B174761,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Stawamus Chief PP Shannon Falls on granite cliff,158341
Andreaea nivalis ,Hook.,snow rock moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S4 (2015),reported,undocumented,30588,W. B. Schofield,UBC  ,B58229,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Garibaldi PP Alice Ridge,158343
Andreaea rupestris ,Hedw.,black rock moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S5 (2015),reported,undocumented,39944,O. Lee,UBC  ,B235964,,,,,UBC: Stawamus Chief PP Shannon Falls,158346
Andreaea rupestris var. rupestris,Hedw.,andreaea moss/black rock moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,239199
Andreaea sinuosa,B.M. Murray,andreaea moss,Plantae,Bryophyta,,,Andreaeopsida,,,Andreaeales,,,Andreaeaceae,,native,S1S2 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,158348
Aulacomnium androgynum,(Hedw.) Schwägr.,drumsticks,Plantae,Bryophyta,,,Bryopsida,,,Aulacomniales,,,Aulacomniaceae,,native,S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43570,judithofsquamish,https://www.inaturalist.org/observations/22544482,,124384
Aulacomnium palustre,(Hedw.) Schwägr.,ribbed bog moss,Plantae,Bryophyta,,,Bryopsida,,,Aulacomniales,,,Aulacomniaceae,,native,S5 (2015),new 2020,documented,,,,,,43932,judithofsquamish,https://www.inaturalist.org/observations/41971497,iNat: needs i.d.,154189
Anacolia menziesii ,(Turn.) Par.,anacolia moss,Plantae,Bryophyta,,,Bryopsida,,,Bartramiales,,,Bartramiaceae,,native,S4S5 (2015),reported ,undocumented,29363,Joop van Velzen,UBC  ,B20315,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Shannon Falls S of Squamish Shaded and sheltered dry rock surface under overhanging surface, little soil accumulation",128572
Plagiopus oederianus,(Swartz) H. A. Crum & L. E. Anderson,oeder's plagiopus moss,Plantae,Bryophyta,,,Bryopsida,,,Bartramiales,,,Bartramiaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,505012
Bartramia ithyphylla,Brid.,stiff apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S5? (2015) ,reported,undocumented,30588,W. B. Schofield ,UBC  ,B58182,,,,,UBC: Garibaldi PP Alice Ridge,317945
Bartramia pomiformis,Hedw.,common apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S4S5 (2015,confirmed,documented,38462,W. B. Schofield ,UBC  ,B195636,"LGL Limited, Environmental Research Associates, Sidney, BC",41020,judithofsquamish,https://www.inaturalist.org/observations/9060413,"UBC: Horseshoe Bay, shaded outcrop",320575
Bryum argenteum,Hedw.,silvery bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43568,benkeen,https://www.inaturalist.org/observations/22436491,iNat: needs i.d.,123390
Bryum calobryoides ,Spence,beautiful bryum,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S1S3 (2015),reported,undocumented,30588,J. Spence ,UBC  ,B109964,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Garibaldi PP Little Diamond Head; abundant on damp humus bank  ,159522
Bryum lisae ,De Not.,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015)  ,reported,undocumented,29824,J. Spence ,UBC  ,B104052,,,,,UBC: Garibaldi PP Sentinel Gl foreland,159542
Bryum meesioides ,Kindb. in Mac.,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015)  ,reported,undocumented,29824,J. Spence,UBC  ,B102087,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Garibaldi PP Sentinel Gl foreland,159546
Bryum muehlenbeckii,Bruch & Schimp. in B.S.G.,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S3S4 (2011),reported,undocumented,30588,J. Spence ,UBC  ,B110003,,,,,"UBC: Garibaldi PP Little Diamond Head; damp gravel/sand, in barren outwash area ",623038
Bryum pallescens ,Schleich. ex Schwaegr.,tall-clustered thread moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S3 (2015)  ,reported,undocumented,29451,J. van Velzen ,UBC  ,s.n.,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Garibaldi PP Black Tusk area along stream near Taylor Campground; Exposed boulder along stream, < 1 cm soil accumulation, smooth rock surface, in spray zone ",67865
Bryum pseudotriquetrum,"(Hedw.) G. Gaertn., B. Mey. & Scherb.",common green bryum moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S5 (2015),confirmed,documented,28342,,RBCM,VC011732,"LGL Limited, Environmental Research Associates, Sidney, BC",41050,judithofsquamish,https://www.inaturalist.org/observations/32682511,RBCM: Bowen Island,159553
Conostomum tetragonum ,(Hedw.) Lindb,helmet-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S4S5 (2011) ,reported,undocumented,30154,J. Spence ,UBC  ,B104184,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP trail to Lions, along ridge crest ",160833
Cyrtomnium hymenophyllum ,(Bruch & Schimp. in B.S.G.) Holm,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015)  ,reported,undocumented,30539,John Spence,UBC  ,B109866,,,,,UBC: Garibaldi PP Russet Lake-Singing Pass area; on wet soil over rock ,161572
Epipterygium tozeri,(Grev.) Lindb.,tozer's epipterygium moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,67875
Imbribryum miniatum,(Lesquereux) J. R. Spence,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,reported,undocumented,22828,R. R. Ireland ,WTU,WTU-B-008997,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,U. Washington: Murrin PP; soil over rock outcrop. Substrate: terricolous. LGL record Bryum miniatum recorded as iNaturalist taxonomy,159548
Imbribryum muehlenbeckii,Bruch & Schimper) Pedersen,muehlenbeck's bryum moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S3S4 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,aka Bryum muehlenbeckii ,622997
Leucolepis acanthoneura,(Schwagrichen) Lindberg,menzies' tree moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S5? (2015) ,confirmed,documented,38462,W. B. Schofield,UBC  ,B195631,,42860,chlorophilia,https://www.inaturalist.org/observations/6113069,"UBC: Horseshoe Bay, W. Vancouver;  on Acer macrophyllum tree trunk, AB78 L. acanthoneuron",120870
Mnium blyttii,Bruch & Schimper,blytt's calcareous moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3S4 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165488
Mnium hornum,Hedw.,swan's-neck thyme-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165489
Mnium lycopodioides,Schwägr.,ambiguous calcareous moss/ambigous thyme moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,historical record Mnium ambiguum ,494580
Mnium spinulosum,B.S.G.,red-mouthed leafy moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,124391
Mnium thomsonii,Schimp.,short-beaked leafy moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,165492
Philonotis capillaris ,Lindb.,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S4 (2015),reported,undocumented,29009,Terry Taylor,UBC  ,B154311,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP  Black Mountain, Steep trail between Eagle Bluffs ",123642
Philonotis fontana,Brid.,fountain apple-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bartramiaceae,,native,S5 (2015),confirmed,documented,37033,W. B. Schofield,UBC  ,B187007,"LGL Limited, Environmental Research Associates, Sidney, BC",41846,judithofsquamish,https://www.inaturalist.org/observations/8898447,"UBC: Woodfibre, head of Howe Sound; damp ditch ",133809
Plagiomnium cuspidatum,(Hedw.) T.J. Kop,toothed plagiomnium moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3S4,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,141535
Plagiomnium insigne,(Mitt.) T. Kop.,badge moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4S5 (2015) ,confirmed,documented,29327,"W. B. Schofield & T. T. Mcintosh, J. P. van Velzen",UBC  ,B10289,"LGL Limited, Environmental Research Associates, Sidney, BC",42860,chlorophilia,https://www.inaturalist.org/observations/6113068,UBC: Floodplain N of and near Squamish; floor of thicket ,122705
Plagiomnium venustum ,(Mitt.) T. Kop.,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4S5 (2015),reported,undocumented,38462,W. B. Schofield,UBC  ,B195630,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Horseshoe Bay, W. Vancouver; on Acer macrophyllum tree trunk ",126179
Pohlia andalusica ,(Hedw.) Lindb,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S2 (2015),reported,undocumented,22873,A. C. Archer,UBC  ,B20355,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Garibaldi PP Garibaldi Mountain, above the Neve",167122
Pohlia annotina ,(Hedw.) Lindb.,pale-fruited thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015),reported,undocumented,27247,W. B. Schofield,UBC  ,B11670,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Garibaldi PP Garibaldi Lake Trail ,167124
Pohlia bolanderi,(Lesq.) Broth.,bolander's pohlia moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3S4 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,167127
Pohlia camptotrachela ,Broth.,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3S4 (2015),reported,undocumented,34966,W. B. Schofield,UBC  ,B160569,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP Cypress Bowl area, gully at base of Mt. Strachan;  marsh slope ",167130
Pohlia cardotii,(Renauld) Broth.,cardot's pohlia moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,167131
Pohlia columbica,(Kindberg) A. L. Andrews,none,Mniaceae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,167132
Pohlia cruda ,(Hedw.) Lindb.,opal nodding moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4S5 (2015)  ,confirmed,documented,37033,W. B. Schofield,UBC  ,B186997,"LGL Limited, Environmental Research Associates, Sidney, BC",44004,judithofsquamish,https://www.inaturalist.org/observations/50855023,"UBC: Woodfibre, head of Howe Sound; shade cliff shelf ",167133
Pohlia filum ,(Schimp.) Mårt.,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015),reported,undocumented,22873,A. C. Archer,UBC  ,B151526,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Garibaldi PP Garibaldi Mountain, above the Neve",167138
Pohlia longibracteata ,Brotherus in Röll,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3S4 (2015),reported,undocumented,29415,R. Rosentreter,SRP,"SRP: 46790, SRP-B-0000415","LGL Limited, Environmental Research Associates, Sidney, BC",,,,Boise State U record,167140
Pohlia ludwigii ,(Spreng. ex Schwaegr.) Broth. ?,ludwig's thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015),reported,undocumented,34966,W. B. Schofield,UBC  ,B160564,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Cypress PP Cypress Bowl area, gully at base of Mt. Strachan; humus of moist slope by gully ",167142
Pohlia nutans ,(Hedw.) Lindb.,nodding thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S5 (2015),reported,undocumented,37033,W. B. Schofield,UBC  ,B187042,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Woodfibre, head of Howe Sound; open disturbed slope ",154170
Pohlia proligera ,(Kindb. ex Breidl.) Lindb. ex Arnell,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4 (2015),reported,undocumented,29627,Terry Taylor,UBC  ,B64717,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Hollyburn Ridge, along powerline, W Vancouver",167145
Pohlia wahlenbergii,(Web. & Mohr) Andrews,Wahlenberg's nodding moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4S5 (2015),confirmed,documented,37171,W. B. Schofield,NY,NY: 00900798,"LGL Limited, Environmental Research Associates, Sidney, BC",44107,judithofsquamish,https://www.inaturalist.org/observations/62077386,New York Botanical Garden record,167151
Ptilium crista-castrensis,(Hedw.) de Not,ostrich plume moss/knight's plume moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Pylaisiaceae,,native,S5 (2015),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,136604
Ptychostomum capillare,(Hedw.) D.T.Holyoak & N.Pedersen,capillary thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015),confirmed,documented,39944,W. R. Buck ,NY,NY: 01105229,"LGL Limited, Environmental Research Associates, Sidney, BC",43396,judithofsquamish,https://www.inaturalist.org/observations/17809143,f. Rosulabryum capillare (Hedw.) J.R. Spence (before that. Bryum capillare),448658
Ptychostomum imbricatulum,(Müll. Hal.) D. T. Holyoak & N. Pedersen,tufted thread-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015) ,reported,undocumented,30539,J. Spence ,UBC  ,B109818,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,UBC: Garibaldi PP Singing Pass area;   aka Bryum caespiticium,159521
Ptychostomum pseudotriquetrum,(Hedw.) J.R. Spence & H.P. Ramsay,Long-leaved Thread Moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S5 (2015),new 2012,documented,,,,,,41050,judithofsquamish,https://www.inaturalist.org/observations/32682511, ,68300
Ptychostomum schleicheri,(Schwagrichen) J. R. Spence,schleicher's bryum moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S2S3,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,aka Bryum schleicheri ,1122179
Rhizomnium glabrescens,(Kindb.) T. Kop,fan moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4S5 (2015),confirmed,documented,42181,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,"LGL Limited, Environmental Research Associates, Sidney, BC",41007,judithofsquamish,https://www.inaturalist.org/observations/8731070,,85421
Rhizomnium magnifolium,(Horik.) T. Kop.,grandleaf rhizomnium moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4S5 (2015),confirmed,documented,29803,J. Spence ,UBC  ,B102097,"LGL Limited, Environmental Research Associates, Sidney, BC",42787,elsemikkelsen,https://www.inaturalist.org/observations/7449947,UBC: Cypress PP Cypress Bowl,68067
Rhizomnium nudum ,(Britt. & Williams) T. Kop,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S4S5 (2015,reported,undocumented,39944,W. R. Buck,NY,NY: 01105223,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,125090
Rhizomnium punctatum,(Hedw.) T.J. Kop.,dotted thyme-moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Mniaceae,,native,S3S4 (Mar 2011),new 2017,documented,,,,,,42836,derekkillby,https://www.inaturalist.org/observations/20792301,,127031
Roellia roellii ,(Broth. in Röll) Andrews ex Crum,none,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Bryaceae,,native,S4S5 (2015),reported,undocumented,30196,W. B. Schofield,WTU,WTU-B-010380,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,WTU: Roellobryon roellii ,167944
Timmia austriaca,Hedw.,austria timmia moss,Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,Timmiaceae,,native,S5 (2015),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43740,judithofsquamish,https://www.inaturalist.org/observations/33779087, ,123702
Buxbaumia aphylla,Hedw.,bug-on-a-stick,Plantae,Bryophyta,,,Bryopsida,,,Buxbaumiales,,,Buxbaumiaceae,,native,S4S5 (2011),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,159610
Buxbaumia piperi ,Best,none,Plantae,Bryophyta,,,Bryopsida,,,Buxbaumiales,,,Buxbaumiaceae,,native,S4S5 (2011),reported,undocumented,30588,W. B. Schofield ,UBC  ,B58222,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"UBC: Alice Ridge enroute to Diamond Head; on rotten log, subalpine forest ",124857
