Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Subclass,Super-order,Order,Sub-order,Super-family,Family,Subfamily,Origin,Status,Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code
Cladonia fimbriata,(L.) Fr.,trumpeting pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43429,benkeen,https://www.inaturalist.org/observations/18637399,,179037
Cladonia furcata,(Tuck.) Brodo & D. Hawksw.,many-forked cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43885.712604166663,gwenlh,https://www.inaturalist.org/observations/39669933,,54607
Cladonia gracilis turbinata,(L.) Willd. (Ach.) Ahti ,Bronzed Pixie Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),new 2020,documented,,,,,,43885.712465277778,gwenlh,https://www.inaturalist.org/observations/39301997,,235279
Cladonia macilenta,Hoffm.,lipstick pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2019),new 2017,documented,,,,,,43031,kdm,https://www.inaturalist.org/observations/8583063,,117950
Cladonia macrophyllodes,nyl.,low-rise pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,217120,
Cladonia merochlorophaea,asah.,gritty pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,217124,
Cladonia multiformis,G. Merr.,shape-shifting pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,180474,
Cladonia phyllophora,Ehrh. ex Hoffm,greater pied pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,180480,
Cladonia pleurota,(Flörke) Schaer.,mind-altering pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,180467,
Cladonia portentosa,(Dufour) Coem.,maritime reindeer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43408,citizen1,https://www.inaturalist.org/observations/18310288,,119666,
Cladonia rangiferina,(L.) Nyl.,gray reindeer,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,119778,
Cladonia prolifica,Ahti & S. Hammer.,phantom pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S3S4 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,217139,
Cladonia pyxidata,(l.) hoffm.,pebbled pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,123894,
Cladonia rangiferina,(L.) F. H. Wigg.,grey reindeer lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),new 2018,documented,,,,,,43343,johndreynolds,https://www.inaturalist.org/observations/16159610,,119778
Cladonia scabriuscula,(Delise) Nyl.,card-carrying pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,217148,
Cladonia squamosa,Hoffm.,Dragon Horn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43647,judithofsquamish,https://www.inaturalist.org/observations/28270356,,117963
Cladonia stricta,(nyl.) nyl.,lesser pied pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,217154,
Cladonia subfurcata,(Nyl.) Arnold,rosegarden pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S3S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,217156,
Cladonia sulphurina,(Michaux) Fr.,extra hot pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,119886,
Cladonia symphycarpia,(Flörke) Fr. ,greater ribbed pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,217160,
Cladonia umbricola,Tønsberg & Ahti.,imponderable pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,194721,
Cladonia uncialis,(l.) F. H. Wigg.,thorn pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,,SNR,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,121208,
Cladonia verruculosa,(Vain.) Ahti,nitty-gritty pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,155194,
Coelocaulon aculeatum,(Schreber) Ach,spiny heath,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,54351,
Evernia prunastri,(L.) Ach.,Oakmoss,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43372,benkeen,https://www.inaturalist.org/observations/17041773,,123175
Gowardia nigricans,"(Ach.) P. Halonen, L. Myllys, S. Velmala, & H. Hyvarinen",gray witch's beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,462985,
Hypogymnia apinnata,Goward & McCune,beaded bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,222045,
Hypogymnia duplicata,(Ach.) Rass.,tickertape bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,222047,
Hypogymnia enteromorpha,(Ach.) Nyl.,budding tube lichen//inflatable bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),new 2018,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43428,judithofsquamish,https://www.inaturalist.org/observations/18748025,,222048
Hypogymnia imshaugii,krog,forking bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,179042,
Hypogymnia inactiva,(krog) ohlsson,wish bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,126597,
Hypogymnia occidentalis,L. Pike,budding bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,222055,
Hypogymnia physodes,(l.) Nyl.,hooded tube lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),new 2020,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43932,judithofsquamish,https://www.inaturalist.org/observations/41973889,,117971
Hypogymnia rugosa,(G. Merr.) L. Pike ,wrinkled bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,179858,
Hypogymnia tubulosa,(Schaer.) Hav.,dog bone,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,179720,
Leptogium palmatum,(Huds.) Mont.,antlered vinyl,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,many ssp of this genus in iNat but not this one,,0,
Letharia vulpina,(L.) Hue,valley wolf,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,54613,
Melanelia disjuncta, (Erichsen) Essl.,nebulous camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,0,
Melanelia hepatizon,(Ach.) Thell,rimmed rockleather,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,224572,
Melanelia panniformis,(Nyl.) Essl.,overlapping camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,genus is in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,0,
Melanelixia fuliginosa,"(Fr. ex Duby) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw.",polished camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,,genus is in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,345339,
Melanohalea exasperatula,"(Nyl.) O. Blanco, A. Crespo, Divakar, Essl., D. Hawksw. & Lumbsch.",lustrous camouflage,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,463485,
Nodobryoria abbreviata,(Müll. Arg.),goodlooking readhead,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,225979,
Nodobryoria oregana,(Tuck. ex Willey) Brodo & D. Hawksw.,mountain readhead,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,225980,
Parmelia hygrophila,Goward & Ahti,granulating crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,194661,
Parmelia pseudosulcata,Gyelnik,cutting-edge crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S3S4 (2010),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,227218,
Parmelia saxatilis,(l.) Ach.,pebbled crottle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117860,
Parmelia sulcata,Taylor,shield lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43534,benkeen,https://www.inaturalist.org/observations/21131790,,54734
Parmeliopsis ambigua,(wulfen) nyl.,green starburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,182652,
Parmeliopsis hyperopta,(ach.) arnold,grey starburst,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,154564,
Parmotrema arnoldii,(du rietz) hale,king ruffle,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,123349,
Pilophorus acicularis,(Ach.) Th. Fr.,devil's matchstick,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",42505,rileypollom,http://inaturalist.ca/observations/3184576,,128919
Pilophorus clavatus,Th. Fr.,enchanter's matchstick,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,781419,
Platismatia glauca,Schwäbisch-Fränkische Waldberge,Varied Rag Lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),confirmed,documentedf,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43449,benkeen,https://www.inaturalist.org/observations/19039421,,117874
Platismatia herrei,(Imshaug) W.L. Culb. & C.F. Culb.,tattered rag,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117876,
Pseudephebe pubescens,(L.) Choisy,finer rockwool,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S5 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,229078,
Punctelia stictica,(Duby) Krog,blue-shift speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,Parmelioideae,native,S4 (2018),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117879,
Ramalina farinacea,(L.) Ach.,farinose cartilage lichen/hyphenated ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,,native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43414,benkeen,https://www.inaturalist.org/observations/18315455,,54758
Sphaerophorus tuckermanii,Räsänen,tuckerman's coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,,native,S4S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",43289,iamscientistsam,https://www.inaturalist.org/observations/14191270,,123231
Stereocaulon alpinum,Laurer ex Funck,alpine foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,231686,
Stereocaulon intermedium,(Savicz) H. Magn.,pacific brain foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S5 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,231701,
Stereocaulon spathuliferum,Vain.,chalk foam,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Stereocaulaceae,,native,S4 (2019),reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,179816,
