Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Catallagia charlottensis,(B.),a flea species,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Siphonaptera,,,Ctenophthalmidae,,,not in CDC records,reported,undocumented,1951-08-02,W. Cottle,UBC,SEM-UBC SIP-0144,,,,,no examples of family in iNaturalist.  Is the family now Hystrichopsyllidae?,0,,
Catoptria oregonica,Grote,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Crambinae,Native,SNR (2017),confirmed,documented,1934-08-12,unrecorded online,RBCM,ENT991-143478,2014-07-27,elsemikkelsen,https://www.inaturalist.org/observations/9214878,https://static.inaturalist.org/photos/12464866/medium.jpg?1513744485,historical record West Vancouver,367217,,
Catoptrichus frankenhaeuseri,Mannerheim,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Leiodidae,Cholevinae,Native,S4S5 (2017)  ,new 2019,documented,,,,,2019-12-08,benkeen,https://www.inaturalist.org/observations/36489260,https://static.inaturalist.org/photos/57686408/medium.jpeg?1575861861,,456785,,
Celastrina echo,Tutt.,echo azure,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,Native,S5 (2013),new 2015,documented,,,,,2015-05-01,elsemikkelsen,https://www.inaturalist.org/observations/19615758,https://static.inaturalist.org/photos/30201411/medium.jpg?1547395382,,52484,,
Celastrina ladon,Cramer,spring azure,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,genus is in CDC records,reported,undocumented,1969-05-31,unrecorded online,RBCM,ENT991-141620,,,,,historical record Bowen Island,58556,,
Ceranemota fasciata,Barnes & McDunnough,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Drepanoidea,Drepanidae,Thyatirinae,Native,S4S5 (2017) ,new 2019,documented,,,,,2019-10-01,benkeen,https://www.inaturalist.org/observations/33699175,https://static.inaturalist.org/photos/52955689/medium.jpeg?1569938040,,453215,,
Cerastis enigmatica,Lafontaine & Crabo,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S3S5 (2017) ,new 2019,documented,,,,,2019-04-02,benkeen,https://www.inaturalist.org/observations/21937574,https://static.inaturalist.org/photos/33997209/medium.jpg?1554268527,,348691,,
Ceratocombus vagans,McAtee & Malloch,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Dipsocoroidea,Ceratocombidae,,,not in CDC records,reported,undocumented,2014-08-26,Weirauch & Leon,UBC,SEM-UBC HET-6273,,,,,,484773,,
Ceratodalia gueneata,Packard,Gueneata's carpet moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017) ,new 2014,documented,,,,,2014-07-24,elsemikkelsen,https://www.inaturalist.org/observations/9179285,https://static.inaturalist.org/photos/12421368/medium.png?1513531111,,216476,,
Cercyonis pegala,Fabricius,common wood-nymph,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Satyrinae,Native,S5 (2013),reported,undocumented,1933-07-30,unrecorded online,RBCM,ENT991-142454,,,,,historical record Bowen Island,58606,,
Chaoborus crystallinus,Lichtenstein,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Chaoboridae,,,not in CDC records,new 2019,documented,,,,,2019-06-01,benkeen,https://www.inaturalist.org/observations/26202804,https://static.inaturalist.org/photos/40665886/medium.jpeg?1559421359,,129896,,
Chauliodinae,,fishflies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Megaloptera,,,Corydalidae,Chauliodinae,,n/a,new 2019,documented,,,,,2019-07-28,benkeen,https://www.inaturalist.org/observations/29742708,https://static.inaturalist.org/photos/46434045/medium.jpeg?1564351318,,83350,,
Chionea alexandriana,Garrett,snow flies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,Limoniidae,Chioneinae,,not in CDC records,reported,undocumented,1981-04-05,S.G. Cannings,UBC,SEM-UBC TIP-0021,,,,,,871975,,
Chlorochroa sp.,Stal,a genus of shield bugs,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatominae,,genus not in CDC records,new 2019,documented,,,,,2019-05-26,citizen1,https://www.inaturalist.org/observations/26100298,https://static.inaturalist.org/photos/40498745/medium.jpg?1559279471,,84094,,
Chlorosea banksaria,Sperry,Bank's emerald moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Geometrinae,Native,S3S5 (2017),new 2014,documented,,,,,2014-06-28,elsemikkelsen,https://www.inaturalist.org/observations/9179297,https://static.inaturalist.org/photos/12421400/medium.png?1513531264,,362596,,
Choristoneura rosaceana,Harris,oblique-banded leafroller moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Native,SNR (2017) ,new 2017,documented,,,,,2017-07-06,elsemikkelsen,https://www.inaturalist.org/observations/7454845,https://static.inaturalist.org/photos/9696596/medium.jpg?1502501493,,143728,,
Chrysolina sp.,Linnaeus,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Chrysomelinae,,genus is in CDC records,new 2019,documented,,,,,2019-05-11,birdspaz,https://www.inaturalist.org/observations/25100189,https://static.inaturalist.org/photos/38847631/medium.jpg?1557820005,,61902,,
Chrysopa sp.,Leach in Brewster,a genus of green lacewings,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Neuroptera,Hemerobiiformia,,Chrysopidae,Chrysopinae,,genus is in CDC records,new 2019,documented,,,,,2019-09-06,benkeen,https://www.inaturalist.org/observations/32255388,https://static.inaturalist.org/photos/50574965/medium.jpeg?1567836106,,52426,,
Chrysoperla carnea-group,(Stephens),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Neuroptera,Hemerobiiformia,,Chrysopidae,,,genus is in CDC records,reported,undocumented,1977-06-17,G.G.E. Scudder,UBC,SEM-UBC NEU-0397,,,,,historical record Chrysoperla carnea 311581,858297,,
Chrysoperla sp. ,Steinmann,genus of common green lacewings,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Neuroptera,Hemerobiiformia,,Chrysopidae,Chrysopinae,,genus is in CDC records,new 2018,documented,,,,,2018-05-13,gwenlh,https://www.inaturalist.org/observations/12485163,https://static.inaturalist.org/photos/18019291/medium.jpg?1526403358,,59441,,
Chrysops sp.,Meigen,a genus of deer flies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Tabanidae,Chrysopsinae,,genus is in CDC records,new 2019,documented,,,,,2019-06-01,benkeen,https://www.inaturalist.org/observations/26203541,https://static.inaturalist.org/photos/40667053/medium.jpeg?1559422073,,49703,,
Cicindela depressula depressula,Casey,dispirited tiger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,,Carabidae,"Cicindelinae
",Native,SNR ,reported,undocumented,1924-12-15,not online,UBC,SEM-UBC COL-14476,,,,,,49703,,
Cisseps fulvicollis,Hübner,yellow-collared scape moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,Native,SNR,confirmed,documented,1928-07-01,unrecorded online,RBCM,ENT991-124716,2019-07-24,benkeen,https://www.inaturalist.org/observations/29496366,https://static.inaturalist.org/photos/46038152/medium.jpeg?1564036452,historical record Bowen Island,119789,,
Cladara limitaria,Walker,mottled gray carpet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-04-06,benkeen,https://www.inaturalist.org/observations/22072328,https://static.inaturalist.org/photos/34183114/medium.jpg?1554535507,,217054,,
Clemensia umbrata,Packard,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,,genus is in CDC records,new 2019,documented,,,,,2019-06-28,benkeen,https://www.inaturalist.org/observations/27849951,https://static.inaturalist.org/photos/43374458/medium.jpeg?1561778362,,789688,,
Clistoronia magnifica,Banks,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,Limnephiloidea,Limnephilidae,,Native,S4S5 (2016),new 2019,documented,,,,,2019-04-26,benkeen,https://www.inaturalist.org/observations/23314490,https://static.inaturalist.org/photos/36124051/medium.jpg?1556343199,,217206,,
Coccinella californica,Mannerheim,California lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Native,S4S5 (2017),new 2018,documented,,,,,2018-05-12,judithofsquamish,https://www.inaturalist.org/observations/12505628,https://static.inaturalist.org/photos/18053424/medium.jpeg?1526442745,,128712,,
Coccinella septempunctata,Linnaeus,seven-spotted lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,not in CDC records,new 2018,documented,,,,,2018-08-08,tullyh,https://www.inaturalist.org/observations/16814448,https://static.inaturalist.org/photos/25387718/medium.jpg?1537661908,,51702,,
Coenosiinae,,a subfamily of true flies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Muscoidea,Muscidae,Coenosiinae,,n/a,new 2019,documented,,,,,2019-05-28,elsemikkelsen,https://www.inaturalist.org/observations/34048601,https://static.inaturalist.org/photos/53538266/medium.jpg?1570501356,,497206,,
Conocephalus fasciatus,De Geer,slender meadow katydid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Ensifera,Tettigonioidea,Tettigoniidae,Conocephalinae,Native,S5 (2012) ,new 2019,documented,,,,,2019-07-16,benkeen,https://www.inaturalist.org/observations/28978802,https://static.inaturalist.org/photos/45202052/medium.png?1563331360,,129261,,
Cordulegaster dorsalis,Hagen,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Cordulegastridae,,Native,S4 (2015),reported,undocumented,1999-05-23,K. Needham,UBC,SEM-UBC ODO-8126,,,,,,62762,,
Cordulia shurtleffi,Scudder,American emerald,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Corduliidae,,Native,S5 (2015),reported,undocumented,1996-07-07,unrecorded online,RBCM,ENT001-003451,,,,,historical record Bowen Island Crippen Regional Park; E side Killarney Lake. ,98430,,
Coryphista meadii,Hulst,barberry geometer moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2014,documented,,,,,2014-07-27,elsemikkelsen,https://www.inaturalist.org/observations/9179310,https://static.inaturalist.org/photos/12421425/medium.png?1513531406,,143201,,
Cosmia praeacuta,J. B. Smith,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-07-13,benkeen,https://www.inaturalist.org/observations/28781559,https://static.inaturalist.org/photos/44889407/medium.jpeg?1563087802,,217639,,
Cosmopepla lintneriana,Kirkaldy,twice-stabbed stink bug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatominae,,not in CDC records,new 2019,documented,,,,,2019-07-11,benkeen,https://www.inaturalist.org/observations/28651590,https://static.inaturalist.org/photos/44678147/medium.jpeg?1562897749,,82832,,
Costaconvexa centrostrigaria,Wollaston,bent-line carpet moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S2S4 (2017),new 2019,documented,,,,,2019-06-29,benkeen,https://www.inaturalist.org/observations/27856573,https://static.inaturalist.org/photos/43385817/medium.jpeg?1561795647,,143005,,
Crambini,,a subfamily of Crambid snout moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Crambinae,,n/a,new 2019,documented,,,,,2019-07-11,benkeen,https://www.inaturalist.org/observations/28651526,https://static.inaturalist.org/photos/44678052/medium.jpeg?1562897660,,122946,,
Crambus pascuella,Linnaeus,inlaid grass-veneer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Crambinae,Native,SNR (2017),new 2019,documented,,,,,2019-07-01,judithofsquamish,https://www.inaturalist.org/observations/28261832,https://static.inaturalist.org/photos/44043540/medium.jpeg?1562370941,,333907,,
Crambus praefectellus,Zincken ,common grass-veneer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Crambinae,Native,SNR (2017) ,new 2019,documented,,,,,2019-09-03,benkeen,https://www.inaturalist.org/observations/32054536,https://static.inaturalist.org/photos/50236327/medium.jpeg?1567524257,,143000,,
Crossocerus annulipes,(Lepeletier & Brullé),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Crabronidae,Craboninae,,not in CDC records,reported,undocumented,1964-08-02,G.J. Spencer,UBC,SEM-UBC HYM-7025,,,,, ,774790,,
Ctenolepisma longicaudata,Escherich,long-tailed silverfish,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Zygentoma,,,Lepismatidae,,,not in CDC records,new 2019,documented,,,,,2019-10-19,benkeen,https://www.inaturalist.org/observations/34596772,https://static.inaturalist.org/photos/54463873/medium.jpeg?1571511701,,183202,,
Cucujus clavipes,Fabricius,red flat bark beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Cucujidae,,Native,S4S5 (2017),new 2019,documented,,,,,2019-06-02,judithofsquamish,https://www.inaturalist.org/observations/26383750,https://static.inaturalist.org/photos/40966244/medium.jpeg?1559656702,,122215,,
Culicinae,,Culicine Mosquitoes,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,,n/a,new 2019,documented,,,,,2019-05-26,citizen1,https://www.inaturalist.org/observations/26129752,https://static.inaturalist.org/photos/40543772/medium.jpg?1559327594,,357355,,
Cycloneda polita,Casey,western spotless lady beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,Native,S5 (2017) ,confirmed,documented,1965-05-24,G.J. Spencer,UBC,SEM-UBC COL-11918,2019-05-04,benkeen,https://www.inaturalist.org/observations/24548306,https://static.inaturalist.org/photos/37958349/medium.jpg?1557010623,,55492,,
Cyclophora pendulinaria,Guenée,sweetfern geometer moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Sterrhinae,Native,S4S5 (2017),new 2014,documented,,,,,2014-07-13,elsemikkelsen,https://www.inaturalist.org/observations/9179322,https://static.inaturalist.org/photos/12421453/medium.png?1513531514,,217970,,
Cynomya cadaverina,Robineau-Desvoidy,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Calliphoridae,Calliphorinae,,not in CDC records,confirmed,documented,1935-10-05,G.H. Larnder,UBC,SEM-UBC CAL-0704,2019-10-14,benkeen,https://www.inaturalist.org/observations/34378422,https://static.inaturalist.org/photos/54097604/medium.jpeg?1571086084,,324335,,
Cyphostethus tristriatus,(Fabricius),juniper shieldbug,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Hemiptera,Heteroptera,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,,not in CDC records,reported,undocumented,2017-03-31,C.G. Ratzlaff,UBC,SEM-UBC HET-6544,,,,,,318506,,
Cyrtopogon dasylloides ,Williston,robber fly sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Asilidae,,Native,S4 (2019),reported,undocumented,1953-08-12,unrecorded online,RBCM,ENT991-085740,,,,,historical record Squamish. Species is recognized by I.T.I.S. ,0,,"iNaturalist 740830-Cyrtopogon-dasyllis?? BugGuide does not have this as a taxon, lists it under ""Asilidae & Syrphidae snippets"""
Cyrtopogon dubius,Williston,Cascades forest robber,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Asilidae,,Native,S3 (2019),reported,undocumented,1983-08-27,unrecorded online,RBCM,ENT991-086044,,,,,historical record Garibaldi PP,,,
Dargida procinctus,Grote,girdler moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Noctuinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-09-15,benkeen,https://www.inaturalist.org/observations/32818124,https://static.inaturalist.org/photos/51501235/medium.jpeg?1568613756,,218140,,
Desmia funeralis,Hübner,grape leaffolder,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Crambidae,Spilomelinae,Native,SNR (2017),reported,undocumented,1935-07-21,unrecorded online,RBCM,ENT991-143747,,,,,original record D. maculalis; West Vancouver,118788,,
Despaxia angusta,(Banks),Autumn needlefly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Plecoptera,Arctoperlaria,Nemouroidea,Leutridae,Leutrinae,Native,S4S5 (2017) ,reported,undocumented,1981-12-19,S.G. Cannings,UBC,SEM-UBC PLE-0802,,,,,,218286,,
Dichelotarsus danielsi,(Fender),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,genus is in CDC records,reported,undocumented,1955-08-10,R. Stace-Smith,UBC,SEM-UBC COL-25389,,,,,species not in iNaturalist despite having many spp of this genus,0,,
Dichelotarsus puberulus,LeConte,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,genus but not species is in CDC records,new 2019,documented,,,,,2019-04-19,judithofsquamish,https://www.inaturalist.org/observations/22737165,https://static.inaturalist.org/photos/35236345/medium.jpeg?1555725902,,455321,,
Dichelotarsus sp.,Motschulsky,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,genus is in CDC records,new 2019,documented,,,,,2019-05-27,benkeen,https://www.inaturalist.org/observations/25929002,https://static.inaturalist.org/photos/40217624/medium.jpeg?1559023998,included in case it helps this get to species level,244381,,
Dictyoptera simplicipes,Mannerheim,red net-winged beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Coleoptera,Polyphaga,Elateroidea,Lycidae,Erotinae,Unknown,SU (2017)  ,confirmed,documented,1961-05-21,M. Rowley,UBC,SEM-UBC COL-31032,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/9214931,https://static.inaturalist.org/photos/12464937/medium.jpg?1513744781,,67755,,
Dilophus sp.,Meigen,a genus of March flies,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,,Bibionidae,,,genus not in CDC records,new 2019,documented,,,,,2019-05-28,elsemikkelsen,https://www.inaturalist.org/observations/33632555,https://static.inaturalist.org/photos/52838854/medium.jpg?1569809508,,247434,,
Dioryctria sp.,Zeller,conifer coneworm moths,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Pyralidae,Phycitinae,,genus is in CDC records,reported,undocumented,1935-08-20,unrecorded online,RBCM,ENT991-143643,,,,,historical record West Vancouver,49681,,
Dioryctria reniculelloides,Mutuura & Munroe,Spruce coneworm moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pyraloidea,Pyralidae,Phycitinae,Native,SNR (2017),new 2019,documented,,,,,2019-07-30,benkeen,https://www.inaturalist.org/observations/29900503,https://static.inaturalist.org/photos/46690936/medium.jpeg?1564552204,,218487,,
Dipalta serpentina,Osten Sacken,hairy spider weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Diptera,Brachycera,Asiloidea,Bombyliidae,Anthracinae,Native,S3 (2016),reported,undocumented,1934-08-26,G.H. Larnder,UBC,SEM-UBC BOM-0507,,,,,,259622,,
Diplolepis sp.,Brooks & Shorthouse,a gall wasp genus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Cynipoidea,Cynipidae,,Native,SNR,new 2018,documented,,,,,2018-07-14,judithofsquamish,https://www.inaturalist.org/observations/14397709,https://static.inaturalist.org/photos/21413042/medium.jpeg?1531696012,,71003,,
Diplotaxis brevicollis,LeConte,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Melolonthinae,Native,SNR,new 2019,documented,,,,,2019-05-04,benkeen,https://www.inaturalist.org/observations/24533415,https://static.inaturalist.org/photos/37935445/medium.jpg?1556999552,,313092,,
Dissosteira carolina,L.,Carolina grasshopper,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Caelifera,Acridoidea,Acrididae,Oedipodinae,Native,S5 (2012),new 2019,documented,,,,,2019-07-18,benkeen,https://www.inaturalist.org/observations/29096309,https://static.inaturalist.org/photos/45395630/medium.jpeg?1563518253,,126206,,
Dysstroma citrata,L.,dark marbled carpet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017) ,reported,undocumented,1935-09-30,unrecorded online,RBCM,ENT991-131963,,,,,historical record West Vancouver,211009,,
Ditula angustiorana,Haworth,red-barred tortrix,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Tortricoidea,Tortricidae,Tortricinae,Exotic,SNA (2017),new 2019,documented,,,,,2019-07-23,benkeen,https://www.inaturalist.org/observations/29423920,https://static.inaturalist.org/photos/45921022/medium.jpeg?1563938038,,324796,,
Ditylus quadricollis,LeConte,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Oedemeridae,Nacerdinae,Unknown,SU (2017)  ,new 2015,documented,,,,,2015-06-05,judithofsquamish,https://www.inaturalist.org/observations/6016842,https://static.inaturalist.org/photos/7528506/medium.jpeg?1493515651,,361540,,
Doddsia occidentalis,(Banks),western willowfly,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Plecoptera,Arctoperlaria,Nemouroidea,Taeniopterygidae,Brachypterainae,Native,S4S5 (2017),reported,undocumented,1981-08-01,R.J. Cannings,UBC,SEM-UBC PLE-0806,,,,,,218615,,
Dolichovespula maculata,L.,bald-faced hornet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,Native,S5? (2017) ,new 2018,documented,,,,,2018-08-30,benkeen,https://www.inaturalist.org/observations/16058790,https://static.inaturalist.org/photos/24044387/medium.jpg?1535682611,,52911,,
Draeculacephala robinsoni,Hamilton,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Cicadellinae,,not in CDC records,confirmed,documented,1961-08-27,G.J. Spencer,UBC,SEM-UBC CICA-0140,2019-08-27,benkeen,https://www.inaturalist.org/observations/31649589,https://static.inaturalist.org/photos/49556309/medium.jpeg?1566959569,,218700,,
Drepana arcuata,Walker,arched hooktip moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Drepanoidea,Drepanidae,Drepaninae,Native,S4S5 (2017),new 2019,documented,,,,,2019-05-24,benkeen,https://www.inaturalist.org/observations/25689593,https://static.inaturalist.org/photos/39817205/medium.jpeg?1558725996,,84428,,
Drepana bilineata,Packard,two-lined hooktip,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Drepanoidea,Drepanidae,Drepaninae,Native,S4S5 (2017),new 2019,documented,,,,,2019-07-22,benkeen,https://www.inaturalist.org/observations/29320382,https://static.inaturalist.org/photos/45753983/medium.jpeg?1563809664,,205204,,
Drepanulatrix monicaria,Guenée,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,Unknown,SU (2017) ,new 2019,documented,,,,,2019-07-25,benkeen,https://www.inaturalist.org/observations/29533790,https://static.inaturalist.org/photos/46097224/medium.jpeg?1564089195,,218736,,
Drosophila suzukii,Matsumura,spotted-winged Drosophila,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Ephydroidea,Drosophilidae,Drosophilinae,,not in CDC records,new 2019,documented,,,,,2019-12-26,benkeen,https://www.inaturalist.org/observations/36983450,https://static.inaturalist.org/photos/58551970/medium.jpeg?1577406324,,311582,,
Dryocoetes sp.,Eichhoff,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota, ,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Scolytinae,,genus is in CDC records,reported,undocumented,2015-06-01,E. Chafe ,UBC,SEM-UBC COL-30512,,,,,,173720,,
Dysmicohermes disjunctus,(Walker),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Megaloptera, , , Corydalidae,Chauliodinae,,not in CDC records,confirmed,documented,1995-07-15,G.B. Straley,UBC,SEM-UBC MEG-0027,2016-07-23,gwenlh,https://www.inaturalist.org/observations/9223989,https://static.inaturalist.org/photos/12481754/medium.jpg?1513848238,,219716,,
Dysstroma citrata,L.,dark marbled carpet,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-07-02,benkeen,https://www.inaturalist.org/observations/28121135,https://static.inaturalist.org/photos/43814844/medium.jpeg?1562169532,,211009,,
Dysstroma sobria,Swett,10-spotted Rhododendron moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Larentiinae,Native,S3S5 (2017),new 2013,documented,,,,,2013-08-15,elsemikkelsen,https://www.inaturalist.org/observations/9179330,https://static.inaturalist.org/photos/12421473/medium.png?1513531624,,218842,,
Dytiscus sp.,L.,a genus of predaceous diving beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,,genus is in CDC records,new 2018,documented,,,,,2018-04-11,thuja,https://www.inaturalist.org/observations/10792258,https://static.inaturalist.org/photos/15103178/medium.jpeg?1523497889,,88070,,
