Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documented,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,First Documented,Documenter,iNaturalist Link,iNaturalist photo,Notes,ID,Stats Code,
Otiorhynchus singularis,L.,clay-coloured weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Native,SNA (2017,new 2019,documented,,,,,2019-03-13,gwenlh,https://www.inaturalist.org/observations/21225014,https://static.inaturalist.org/photos/32810591/medium.jpeg?1552542482,,226717,,
Otiorhynchus sulcatus,Fabricius,black vine weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,Exotic,SNA (2017),new 2019,documented,,,,,2019-04-29,benkeen,https://www.inaturalist.org/observations/24153271,https://static.inaturalist.org/photos/37352055/medium.jpg?1556602541,,226718,,
Oxyptilus delawaricus,Zeller,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pterophoroidea,Pterophoridae,,Native,SNR (2017) ,reported,undocumented,1936-07-09,unrecorded online,RBCM,ENT991-144017,,,,,historical record West Vancouver,226794,,
Pachydiplax longipennis,Burmeister,blue dasher,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,,Libellulidae,,Native,S3S4 (2015),confirmed,documented,1999-07-25,unrecorded online,RBCM,ENT000-000346,2019-06-30,benkeen,https://www.inaturalist.org/observations/27969690,https://static.inaturalist.org/photos/43567638/medium.jpeg?1561941664,historical record Bowen Island; Killarney Lake,59774,,
Pacificanthia sp.,Kazantsev,none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,genus is in CDC records,new 2019,documented,,,,,2019-05-27,benkeen,https://www.inaturalist.org/observations/25877007,https://static.inaturalist.org/photos/40131022/medium.jpeg?1558969165,,244438,,
Pactopus hornii,(LeConte),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Throscidae,Throscinae,Native,S4S5 (2017) ,reported,undocumented,1965-09-06,G.J. Spencer,UBC,SEM-UBC COL-18983,,,,,historical record P. hornii,472248,,
Pandivirilia conspicua,(Walker),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,,,Therevidae,,Native,S5 (2019) ,reported,undocumented,1935-08-09,G.H.Larnder,UBC,SEM-UBC THE-0065,,,,,,294457,,
Panthea virginarius,Grote,Cascades Panthea moth,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Pantheinae,Native,S4S5 (2017),new 2019,documented,,,,,2019-06-06,benkeen,https://www.inaturalist.org/observations/26536131,https://static.inaturalist.org/photos/41213421/medium.jpeg?1559884655,,226911,,
Panzeria alberta,(Curran),none,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Oestroidea,Tachinidae,,,not in CDC records,reported,undocumented,1961-05-22,G.J. Spencer,UBC,SEM-UBC TAC-0137,,,,,iNaturalist 493863-Panzeria genus,0,,
Papilio eurymedon,Lucas,pale swallowtail,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,Native,S5 (2013),confirmed,documented,1973-05-24,J.L. Gordon,UBC,SEM-UBC PAP-0092,2010-06-12,hillanddale,https://www.inaturalist.org/observations/9630278,https://static.inaturalist.org/photos/13147688/medium.jpeg?1517059693,,55521,,
