Taxon,Author,Common Name,Kingdom,Phylum,Sub-phylum,Super-class,Class,Sub-class,Super-order,Order,Sub-order,Super-family,Family,Sub-family,Origin or Residency Status,Status (coloured if red or blue listed),Reporting,Documented in iNaturalist,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,Catalogue Number,LGL,First Documented,Documenter,iNaturalist Link,Notes,iNaturalist Taxon ID,Stats Code,Latitude,Longditude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctonoe pulchra ,Johnson,red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,465156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctonoe vittata ,Grube,red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,Exotic,genus not in CDC records,reported,undocumented,1999-10-31T10:32:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"Gibbs: Defence Islands, large, south side  ",122163,,49.57718,-123.28523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eunoe senta ,Moore,thorny scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"12 Eunoe spp in iNat  but not this one, genus is 376347",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halosydna brevisetosa ,Kinberg,eighteen-scaled worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,Exotic,genus not in CDC records,reported,undocumented,1999-09-13T12:24:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,Gibbs: Porteau shoreline north  ,71236,,49.56283,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harmothoe extenuata ,Grube,yellow and brown scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Polynoinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,347325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hololepida magna,Moore,giant fleshy scaleworm  ,Animalia,Annelida,,,Polychaeta,Erantia,,Phyllodocida,Aphroditiformia,,Polynoidae,Lepidonotinae,Exotic,genus not in CDC records,reported,undocumented,0000-00-00,,RBCM,976-00029-002,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,RBCM: Porteau Cove; RBCM: Horseshoe Bay ,221400,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nereis vexillosa ,Grube,banner sea-nymph,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,81790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platynereis bicanaliculata,Baird,a marine sp of worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Nereidiformia,,Nereididae,Nereidinae,Exotic,genus not in CDC records,new 2021,documented,,,,,,2/16/2021,urielgc,https://www.inaturalist.org/observations/69692181,,129876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetopterus species complex,Cuvier,u-shaped parchment tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllochaeopterus claparedii ,McIntosh,tangled-straw three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Exotic,genus not in CDC records,reported,undocumented,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,DG: Porteau,876472,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phyllochaeopterus prolifica ,Potts,prolific three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Exotic,genus not in CDC records,reported,undocumented,2015-01-29T10:59:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,DG: Porteau,467241,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spiochaetopterus costarum ,Claparède,jointed three-section tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,,,,Chaetopteridae,,Exotic,genus not in CDC records,reported,undocumented,2003-10-13T12:26:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,DG: Porteau,130236,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acromegalomma sp. ,Montagu,twin-eyed feather duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,reported,undocumented,2015-01-29T10:59:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"DG: Porteau, Megalomma sp. updated to current iNat taxonomy",781286,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apomatus geniculatus,Moore & Bush,sp. of calcareous worms,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-06-23,thiebaud,https://www.inaturalist.org/observations/55767318, ,939557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apomatus spp.,Philippi,none,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,reported,undocumented,2012-04-25T11:05:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,DG: Porteau 2008 slide,375596,,49.56617,-123.23417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chone aurantiaca ,Johnson,orange feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,reported,undocumented,2004-07-14T12:56:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"DG: Defence Islands, shore bioherm",356415,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chone minuta / c. C. ecaudata ,Hartman / Moore,minute feather-dusters,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,339234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucigera irregularis ,Bush,irregular calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,reported,undocumented,1998-06-13T15:07:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,DG: Porteau,1294563,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucigera zygophora ,Johnson,yolk-bearer calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,543574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eudistylia vancouveri ,Kinberg,vancouver feather-duster tubeworm ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,reported,undocumented,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,DG: Porteau,84864,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idanthyrsus saxicavus ,Baird,stone-cave sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,942519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myxicola aesthetica petite ,Claparède,slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,492594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myxicola infundibulum,Montagu,sand fan worm/slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,confirmed,documented,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,DG: Porteau,49533,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protula pacifica,Pixell,white-crowned calcareous tubeworm ,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,new 2018,documented,,,,,,2018-06-23,thiebaud,https://www.inaturalist.org/observations/55767317,,538108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasabella media ,Bush,parasol feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,reported,undocumented,2015-01-11T13:34:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,DG: Porteau,367054,,49.56103,-123.23512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pileolaria spp. ,Rioja,dwarf calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,353085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protula pacifica ,Pixell,white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,538108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudochitinopoma occidentalis ,Bush,western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,538107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sabellaria cementarium ,Moore,cemented sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,Exotic,genus in iNat but not sp,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schizobranchia insignis,Bush,split-branch feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,339561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serpula columbiana,Johnson,red-trumpet calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,Exotic,"genus is in CDC records, 3 spp",reported,undocumented,2018-01-16T13:37:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,"DG: Defence Islands, sponge garden",131207,,49.57667,-123.27443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protula pacifica,Pixell,none,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,,,,"genus is in CDC records, 3 spp",reported,undocumented,2018-01-16T13:37:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,"DG: Defence Islands, sponge garden",538108,,49.57667,-123.27443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pectinaria granulata ,L.,tusk coneworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida ,,,Pectinariidae ,,Exotic,genus not in CDC records,reported,undocumented, , ,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pista elongata ,Moore,basket-top spaghetti-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Terebellinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,338339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thelepus crispus,Johnson,none,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,,Exotic,genus not in CDC records,reported,undocumented,2018-03-16T12:11:00,Donna Gibbs (contact Laura Borden at Vancouver Aquarium),,,,,,,"DG: Defence Islands, shore bioherm",117582,,49.5774,-123.27375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thelepus spp. ,Leuckart,curly-head spaghetti-worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,Terebellomorpha,,Terebellidae,Terebellinae,Exotic,genus not in CDC records,reported,undocumented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",,,,,117588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecosa kochi,Keyserling,Koch's wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2010-07-24,elsemikkelsen,https://www.inaturalist.org/observations/9235173, ,143470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araneus diadematus,Clerck,cross orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,Exotic,SNA,new 2009,documented,,,,,,2009-10-03,hillanddale,https://www.inaturalist.org/observations/8540621, ,52628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callobius severus,Simon,hacklemesh weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,Native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-12-20,benkeen,https://www.inaturalist.org/observations/19130251,iNat: needs i.d.,49549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castianeira sp.,Keyserling,ant-mimic sac spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,, ,"4 spp, different rankings",new 2019,documented,,,,,,2019-03-30,judithofsquamish,https://www.inaturalist.org/observations/21827468, ,48134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheiracanthium mildei,C.L. Koch,yellow sac spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Cheiracanthiidae,,Exotic,SNA,new 2019,documented,,,,,,2019-03-25,benkeen,https://www.inaturalist.org/observations/21616161,iNat: needs i.d.,61869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dysdera crocata,C.L. Koch,woodlouse Spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,Exotic,SNA,new 2020,documented,,,,,,2020-06-27,cunderdown,https://www.inaturalist.org/observations/51815395, ,68912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eratigena duellica,C.L. Koch,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,Exotic,"genus is in CDC records, SNA, 2 spp",new 2017,documented,,,,,,2017-04-20,gwenlh,https://www.inaturalist.org/observations/8311370,"CDC records only E. agrestis and E. atrica, both are Exotic",750907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agelenopsis sp.,Giebel,Grass Spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,Ageleninae,Exotic,"genus is in CDC records, 5 spp",new 2021,documented,,,,,,9/16/2019,elsemikkelsen,https://www.inaturalist.org/observations/40565306,,82116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecosa kochi,Keyserling,Koch's wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,Native,S5 (2018),confirmed,documented,,,,,"LGL Limited, Environmental Research Associates, Sidney, BC",2010-07-24,elsemikkelsen,https://www.inaturalist.org/observations/9235173,,143470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araneus gemmoides,Chamberlin and Ivie,Cat-faced Orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Native,S4S5 (2018),new 2021,documented,,,,,,8/14/2021,ian676,https://www.inaturalist.org/observations/91209431,,214058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araneus saevus,L. Koch,Fierce Orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Native,S5 (2018),new 2019,documented,,,,,,9/6/2019,jonahwho,https://www.inaturalist.org/observations/32246145,,122290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Araniella displicata,Hentz,Six-spotted Orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,Native,S5 (2018),new 2021,documented,,,,,,5/3/2021,gwenlh,https://www.inaturalist.org/observations/77308096,,81984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arctosa sp.,Fabricius,Bear Spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,Lycosinae,Exotic,"genus is in CDC records, 7 spp",new 2019,documented,,,,,,8/24/2019,lenachiasson,https://www.inaturalist.org/observations/31820341,,55470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bassaniana utahensis,Keyserling,Multicolored Bark Crab Spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,Exotic,1 sp of genus is in CDC records,new 2020,documented,,,,,,4/24/2020,benkeen,https://www.inaturalist.org/observations/43234383,,298120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castianeira sp.,Keyserling,ant-mimic sac spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,Exotic,"genus is in CDC records, 4 spp",new 2019,documented,,,,,,2019-03-30,judithofsquamish,https://www.inaturalist.org/observations/21827468,,48134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheiracanthium mildei,C.L. Koch,yellow sac spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Cheiracanthiidae,,Exotic,SNA,new 2019,documented,,,,,,2019-03-25,benkeen,https://www.inaturalist.org/observations/21616161,iNat: needs i.d.,61869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
