Taxon,Author,Common Name,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,Catalogue Number,iNaturalist Link,ID,iNaturalist photo,Notes
Zootermopsis angusticollis,Hagen,Pacific dampwood termite,,not in CDC records,new 2018,,,,2018-09-08,benkeen,,https://www.inaturalist.org/observations/16442109,121383,https://static.inaturalist.org/photos/24740319/medium.jpg?1536720516,
Zotheca tranquilla,Grote,elder moth,Native,S4S5 (2017) ,new 2019,,,,2019-07-01,benkeen,,https://www.inaturalist.org/observations/28007431,234019,https://static.inaturalist.org/photos/43629982/medium.jpeg?1562003172,
Pseudopolydesmus serratus,Say,a species of flat-backed millipede,,S4S5 (2017) ,new 2019,,,,2019-06-01,benkeen,,https://www.inaturalist.org/observations/26216915,135253,https://static.inaturalist.org/photos/40690061/medium.jpeg?1559435181,
Scytonotus sp.,,a genus of flat-backed millipedes,,S4S5 (2017) ,new 2019,,,,2019-04-13,benkeen,,https://www.inaturalist.org/observations/22436142,121481,https://static.inaturalist.org/photos/34750650/medium.jpg?1555194734,
Laqueus californianus,Koch,none,,not in CDC records,reported,0000-00-00,,RBCM,,,991-00371-001,,551350,,historical record Horseshoe Bay
Terebratulina unguicula,Carpenter,none,,not in CDC records,reported,0000-00-00,,RBCM,,,991-00371-002,,448315,,historical record Horseshoe Bay
Halocynthia aurantium,Pallas,Pacific sea peach,,not in CDC records,reported,1965-04-12,,RBCM,,,A-231-00001,,473652,,historical record Horseshoe Bay
Cottus aleuticus,Gilbert,coastrange sculpin,Native,S5 (2019) ,new 2017,,,,2017-03-13,sea2skynaturebc,,https://www.inaturalist.org/observations/9035679,84353,https://static.inaturalist.org/photos/12190417/medium.jpeg?1512342661,
Engraulis mordax,Girard,northern anchovy,Native,SNR ,new 2018,,,,2018-05-13,judithofsquamish,,https://www.inaturalist.org/observations/12506391,63770,https://static.inaturalist.org/photos/18054989/medium.jpeg?1526446110,
Gasterosteus aculeatus,Linnaeus,three-spined stickleback,Native,S5 (2018) ,new 2018,,,,2018-08-21,judithofsquamish,,https://www.inaturalist.org/observations/15824222,48403,https://static.inaturalist.org/photos/23655542/medium.jpeg?1535058603,
Nautichthys oculofasciatus,Girard,sailfin sculpin,Native,SNR  ,new 2018,,,,2018-06-10,bstarzomski,,https://www.inaturalist.org/observations/13320883,183019,https://static.inaturalist.org/photos/19513450/medium.jpg?1528682437,
Oncorhynchus clarkii,Richardson,cutthroat trout,Native,S4 (2000),new 2017,,,,2017-04-25,sea2skynaturebc,,https://www.inaturalist.org/observations/9035721,68075,https://static.inaturalist.org/photos/12190498/medium.jpeg?1512342884,
Oncorhynchus gorbuscha,Walbaum,pink salmon,Native,SNR (2019) ,new 2017,,,,2017-09-13,thuja,,https://www.inaturalist.org/observations/8313505,107570,https://static.inaturalist.org/photos/11038307/medium.jpg?1507487222,
Oncorhynchus keta,Walbaum,chum salmon,Native,SNR (2019),new 2017,,,,2017-11-26,carl1986,,https://www.inaturalist.org/observations/9047980,107572,https://static.inaturalist.org/photos/12212188/medium.jpg?1512431283,
Oncorhynchus kisutch,Walbaum,coho salmon,Native,S4 (2000),new 2017,,,,2017-03-12,sea2skynaturebc,,https://www.inaturalist.org/observations/9035666,53692,https://static.inaturalist.org/photos/12190397/medium.jpg?1512342597,
Oncorhynchus tshawytscha,Walbaum,chinook salmon,Native,S4 ,new 2017,,,,2017-03-12,sea2skynaturebc,,https://www.inaturalist.org/observations/9035652,54191,https://static.inaturalist.org/photos/12190369/medium.jpeg?1512342506,
Ophiodon elongatus,Girard,lingcod,Native,SNR ,new 2019,,,,2019-04-06,benkeen,,https://www.inaturalist.org/observations/22101394,52539,https://static.inaturalist.org/photos/34212863/medium.jpg?1554574612,
Ambystoma gracile,Baird,northwestern salamander,Native,S4S5 (2016),new 2017,,,,2013-04-07,sea2skynaturebc,,http://inaturalist.ca/observations/5612557,26747,https://static.inaturalist.org/photos/6936651/medium.jpg?1491673668,
Anaxyrus boreas,Baird & Girard,western toad,Native,S4 (2016)   ,new 2017,,,,2013-04-25,sea2skynaturebc,,http://inaturalist.ca/observations/5969384,64970,https://static.inaturalist.org/photos/7459601/medium.jpg?1493228731,
Ensatina eschscholtzii,Gray,Ensatina,Native,S4 (2016) ,confirmed,1933-09-01,,RBCM,2013-09-16,alicia49,484,https://www.inaturalist.org/observations/8006299,27250,https://static.inaturalist.org/photos/10594577/medium.jpeg?1505883494,historical record Gambier Island
Lithobates clamitans,Latreille,green frog,Exotic,SNA (2016),new 2017,,,,2013-09-29,rainwalker,,https://www.inaturalist.org/observations/8197213,65982,https://static.inaturalist.org/photos/10857564/medium.jpg?1506824148,
Plethodon vehiculum,Cooper,western red-backed salamander,Native,S4 (2016),new 2017,,,,2013-08-13,alykry,,https://www.inaturalist.org/observations/7503693,27194,https://static.inaturalist.org/photos/9777233/medium.jpg?1502777111,
Pseudacris regilla,Baird & Girard,northern Pacific tree frog,Native,S5 (2016),new 2017,,,,2013-08-01,sea2skynaturebc,,http://inaturalist.ca/observations/7353614,24259,https://static.inaturalist.org/photos/9532716/medium.jpg?1501892272,
Rana aurora,Baird & Girard,northern red-legged frog,Native,S3 (2016)  ,new 2017,,,,2013-03-31,sea2skynaturebc,,http://inaturalist.ca/observations/5595734,25545,https://static.inaturalist.org/photos/6912265/medium.jpg?1491528090,
Taricha granulosa,Skilton,rough-skinned newt,Native,S4S5 (2016),new 2017,,,,2013-09-09,alicia49,,https://www.inaturalist.org/observations/7946969,27826,https://static.inaturalist.org/photos/10495898/medium.jpeg?1505581017,
Acanthis flammea,L.,common redpoll,Native,S4 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2012-03-15,gwenlh,,https://www.inaturalist.org/observations/8374299,145300,https://static.inaturalist.org/photos/11135316/medium.jpg?1507831690,
Accipiter cooperii,Bonaparte,Cooper's hawk,Native,S5 (2015)  ,confirmed,,,Dale&Ricker Bird Checklists,2017-01-15,hillanddale,,https://www.inaturalist.org/observations/8639500,5112,https://static.inaturalist.org/photos/11564758/medium.jpg?1509505557,
Accipiter gentilis,L.,northern goshawk,Native,"S4B,S4N (2015) ",confirmed,,,Dale&Ricker Bird Checklists,2016-01-25,hillanddale,,https://www.inaturalist.org/observations/8500015,5108,https://static.inaturalist.org/photos/11339721/medium.jpeg?1508643224,
Accipiter striatus,Viellot,sharp-shinned hawk,Native,"S5B,S5N (2015) ",confirmed,,,Dale&Ricker Bird Checklists,2017-11-03,carl1986,,https://www.inaturalist.org/observations/9047890,5097,https://static.inaturalist.org/photos/12212077/medium.jpg?1512430651,
Actitis macularius,L.,spotted sandpiper,Native,S5B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-06-09,sea2skynaturebc,,http://inaturalist.ca/observations/6574345,72458,https://static.inaturalist.org/photos/8340945/medium.jpg?1497107333,
Aechmophorus occidentalis,Lawrence,western grebe,Native,"S1B,S2N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2017-10-22,hillanddale,,https://www.inaturalist.org/observations/8510515,4235,https://static.inaturalist.org/photos/11358017/medium.jpeg?1508708226,
Aegolius acadicus,Gmelin,northern saw-whet owl,Native,"S5B,S5N (2009)",confirmed,,,Dale&Ricker Bird Checklists,2015-12-10,thuja,,https://www.inaturalist.org/observations/10021733,20356,https://static.inaturalist.org/photos/13781891/medium.jpeg?1519756812,
Agelaius phoeniceus,L.,red-winged blackbird,Native,"S5B,S5N (2015) ",confirmed,,,Dale&Ricker Bird Checklists,2014-03-17,hillanddale,,https://www.inaturalist.org/observations/8497597,9744,https://static.inaturalist.org/photos/11335638/medium.jpeg?1508630889,
Aix sponsa,L.,wood duck,Native,"S4B,S4N (2015) ",confirmed,,,Dale&Ricker Bird Checklists,2016-05-20,hillanddale,,https://www.inaturalist.org/observations/9524808,7107,https://static.inaturalist.org/photos/12986898/medium.jpeg?1516331803,
Amphispiza bilineata,Cassin,black-throated sparrow,Accidental,SNA (2015),confirmed,,,Dale&Ricker Bird Checklists,2012-06-11,hillanddale,,https://www.inaturalist.org/observations/8486435,9943,https://static.inaturalist.org/photos/11318649/medium.png?1508561929,
Anas acuta,L.,northern pintail,Native,"S4B,S5N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2016-03-14,hillanddale,,https://www.inaturalist.org/observations/8500058,6933,https://static.inaturalist.org/photos/11339792/medium.png?1508643668,
Anas crecca,L.,green-winged teal,Native,"S5B,S5N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2017-04-02,sea2skynaturebc,,https://www.inaturalist.org/observations/5549029,6937,https://static.inaturalist.org/photos/6851251/medium.jpg?1491188188,
Anas platyrhynchos,L.,mallard,Native,"S5B,S5N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2017-11-30,hillanddale,,https://www.inaturalist.org/observations/9004658,6930,https://static.inaturalist.org/photos/12138319/medium.jpeg?1512104097,
Anser albifrons,Scopoli,greater white-fronted goose,Native,S4M (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2006-12-05,hillanddale,,https://www.inaturalist.org/observations/8553810,7019,https://static.inaturalist.org/photos/11430726/medium.jpeg?1508990479,
Anser canagicus,Sevastianov ,emperor goose,Accidental,SNA (2015),reported,1998-00-00,per Chris Dale,,,,,,558425,,historical record Porteau Cove
Anser caerulescens,L.,snow goose,Native,S4M (2015),confirmed,,,Dale&Ricker Bird Checklists,2016-11-19,sea2skynaturebc,,http://inaturalist.ca/observations/4601651,558426,https://static.inaturalist.org/photos/5563049/medium.jpg?1479598422,
Anser rossii,Cassin,Ross's goose,Accidental,SNA (2015),confirmed,,,Dale&Ricker Bird Checklists,2013-05-08,hillanddale,,https://www.inaturalist.org/observations/8611845,558427,https://static.inaturalist.org/photos/11518708/medium.png?1509339894,
Anthus rubescens,Turnstall,American pipit,Native,"S5B, SNRN (2015)",confirmed,,,Dale&Ricker Bird Checklists,2014-05-08,hillanddale,,https://www.inaturalist.org/observations/8497877,13732,https://static.inaturalist.org/photos/11336037/medium.jpeg?1508631651,
Antigone canadensis,L.,sandhill crane,Native,S4B (2018) ,confirmed,,,Dale&Ricker Bird Checklists,2017-09-17,hillanddale,,https://www.inaturalist.org/observations/8474614,508048,https://static.inaturalist.org/photos/11299738/medium.jpeg?1508475688,
Aquila chrysaetos,L.,golden eagle,Native,S4S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-04-08,hillanddale,,https://www.inaturalist.org/observations/8473420,5074,https://static.inaturalist.org/photos/11297863/medium.jpeg?1508467537,
Ardea herodias,L.,great blue heron,Native,S3 (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-04-02,sea2skynaturebc,,http://inaturalist.ca/observations/5540866,4956,https://static.inaturalist.org/photos/6850834/medium.jpg?1491187188,
Arenaria melanocephala,Vigors,black turnstone,Native,"S4N,S5M (2015)",confirmed,,,Dale&Ricker Bird Checklists,2019-02-24,benkeen,,https://www.inaturalist.org/observations/20737090,3941,https://static.inaturalist.org/photos/31972463/medium.jpg?1551041850,
Asio flammeus,Pontoppidan,short-eared owl,Native,"S3B,S2N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2012-10-30,hillanddale,,https://www.inaturalist.org/observations/8486803,20315,https://static.inaturalist.org/photos/11319171/medium.jpeg?1508564598,
Asio otus,L.,long-eared owl,Native,S4 (2015)  ,confirmed,,,Dale&Ricker Bird Checklists,2008-05-22,hillanddale,,https://www.inaturalist.org/observations/8527696,20307,https://static.inaturalist.org/photos/11387828/medium.jpeg?1508814456,
Aythya affinis,Eyton,lesser scaup,Native,"S5B,S5N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2015-04-20,hillanddale,,https://www.inaturalist.org/observations/8499726,7054,https://static.inaturalist.org/photos/11339144/medium.jpeg?1508641371,
Aythya collaris,Donovan,ring-necked duck,Native,"S5B,S5N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2018-04-08,hillanddale,,https://www.inaturalist.org/observations/10722035,7044,https://static.inaturalist.org/photos/14980850/medium.jpeg?1523246216,
Aythya fuligula,L.,tufted duck,Accidental,SNA (2015),new 2017,,,,2017-04-06,hillanddale,,https://www.inaturalist.org/observations/8473599,7046,https://static.inaturalist.org/photos/11298181/medium.jpeg?1508468954,
Aythya marila,L.,greater scaup,Native,S4N (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-05-03,hillanddale,,https://www.inaturalist.org/observations/9563579,7047,https://static.inaturalist.org/photos/13052596/medium.jpeg?1516642850,
Aythya valisineria,Wilson,canvasback,Native,"S4B, SNRN (2015)",confirmed,,,Dale&Ricker Bird Checklists,2017-04-10,hillanddale,,https://www.inaturalist.org/observations/8473704,7057,https://static.inaturalist.org/photos/11298262/medium.jpeg?1508469229,
Bombycilla cedrorum,Viellot,cedar waxwing,Native,S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-06-09,sea2skynaturebc,,http://inaturalist.ca/observations/6574332,7428,https://static.inaturalist.org/photos/8340908/medium.jpg?1497107248,
Bombycilla garrulus,L.,Bohemian waxwing,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2016-11-30,hillanddale,,https://www.inaturalist.org/observations/8503873,7429,https://static.inaturalist.org/photos/11347154/medium.jpg?1508682954,
Bonasa umbellus,Stephens,ruffed grouse,Native,S5 (2015),reported,1949-04-03,,RBCM,,,14631,,890,,historical record West Vancouver
Brachyramphus marmoratus,Gmelin,marbled murrelet,Native,"S3B,S3N (2015)",reported,1931-01-31,,RBCM,,,14699,,4531,,historical record Bowen Island
Branta bernicla,L.,brant,Native,S3M (2015),confirmed,,,Dale&Ricker Bird Checklists,2016-11-30,hillanddale,,https://www.inaturalist.org/observations/8503899,7087,https://static.inaturalist.org/photos/11347201/medium.jpeg?1508683081,
Branta canadensis,L.,Canada goose,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2019-03-30,judithofsquamish,,https://www.inaturalist.org/observations/21827617,7089,https://static.inaturalist.org/photos/33815796/medium.jpeg?1554045639,
Branta hutchinsii,Richardson,cackling goose,Native,S4S5M (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2013-12-13,hillanddale,,https://www.inaturalist.org/observations/8494482,59220,https://static.inaturalist.org/photos/11330791/medium.jpeg?1508618019,
Branta hutchinsii leucopareia,Delacour,Aleutian cackling goose,Native,S4S5M (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2012-10-20,hillanddale,,https://www.inaturalist.org/observations/9565675,179299,https://static.inaturalist.org/photos/13056074/medium.jpeg?1516655877,
Bubo scandiacus,L.,snowy owl,Unknown,SUN+Q806 Q878(2015),confirmed,,,Dale&Ricker Bird Checklists,2012-12-11,hillanddale,,https://www.inaturalist.org/observations/8490668,144594,https://static.inaturalist.org/photos/11324608/medium.jpg?1508600104,
Bubo virginianus,Gmelin,great horned owl,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-05-05,hillanddale,,https://www.inaturalist.org/observations/8473900,20044,https://static.inaturalist.org/photos/11298604/medium.jpeg?1508470400,
Bucephala albeola,L.,bufflehead,Native,"S5B, SNRN (2015)",confirmed,,,Dale&Ricker Bird Checklists,2017-01-05,sea2skynaturebc,,https://www.inaturalist.org/observations/9035645,6993,https://static.inaturalist.org/photos/12190305/medium.jpg?1512342301,
Bucephala clangula,Bonaparte,common goldeneye,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-02-11,sea2skynaturebc,,https://www.inaturalist.org/observations/9035976,6990,https://static.inaturalist.org/photos/12190715/medium.jpg?1512344219,
Bucephala islandica,Gmelin,Barrow's goldeneye,Native,S4S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-04-10,hillanddale,,https://www.inaturalist.org/observations/9563507,6994,https://static.inaturalist.org/photos/13052542/medium.png?1516642543,
Buteo jamaicensis,Gmelin,red-tailed hawk,Native,S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2016-12-30,hillanddale,,https://www.inaturalist.org/observations/8639442,5212,https://static.inaturalist.org/photos/11564674/medium.jpeg?1509505004,
Buteo lagopus,Pontoppidan,rough-legged hawk,Native,S3N (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-04-05,hillanddale,,https://www.inaturalist.org/observations/8474547,5200,https://static.inaturalist.org/photos/11299551/medium.jpeg?1508474833,
Buteo lagopus sanctijohannis,Pontoppidan,American rough-legged hawk,Native,S3N (2015),confirmed,,,Dale&Ricker Bird Checklists,2013-04-02,hillanddale,,https://www.inaturalist.org/observations/9300037,524418,https://static.inaturalist.org/photos/12610096/medium.jpeg?1514598702,
Buteo swainsoni,Bonaparte,Swainson's hawk,Native,S2B (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-05-31,hillanddale,,https://www.inaturalist.org/observations/8473944,5196,https://static.inaturalist.org/photos/11298734/medium.jpeg?1508470669,
Butorides virescens,L.,green heron,Native,S3S4B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2013-08-11,hillanddale,,https://www.inaturalist.org/observations/8486523,5020,https://static.inaturalist.org/photos/11318795/medium.jpeg?1508562685,
Calcarius lapponicus,L.,Lapland longspur,Unknown,SUM (2015),confirmed,,,Dale&Ricker Bird Checklists,2012-10-26,hillanddale,,https://www.inaturalist.org/observations/8486795,116840,https://static.inaturalist.org/photos/11319156/medium.jpeg?1508564475,
Calidris alpina,L.,dunlin,Native,S4N (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2012-10-30,hillanddale,,https://www.inaturalist.org/observations/8486814,3857,https://static.inaturalist.org/photos/11319193/medium.png?1508564713,
Calidris bairdii,Coues,Baird's sandpiper,Unknown,"SUB,SUM (2015)",confirmed,,,Dale&Ricker Bird Checklists,2017-08-13,hillanddale,,https://www.inaturalist.org/observations/8474708,3851,https://static.inaturalist.org/photos/11299819/medium.jpeg?1508476271,
Calidris mauri,Cabanis,western sandpiper,Native,S4M (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-08-30,hillanddale,,https://www.inaturalist.org/observations/8474115,3855,https://static.inaturalist.org/photos/11336096/medium.jpeg?1508631782,
Calidris melanotos,Vieillot,pectoral sandpiper,Unknown,SUM (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-09-22,hillanddale,,https://www.inaturalist.org/observations/8474189,3865,https://static.inaturalist.org/photos/11299033/medium.jpeg?1508472016,
Calidris minutilla,Vieillot,least sandpiper,Native,S4?B (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-08-30,hillanddale,,https://www.inaturalist.org/observations/8474642,3864,https://static.inaturalist.org/photos/11299762/medium.jpeg?1508475913,
Calidris virgata,Gmelin,surfbird,Native,S4M (2015)  ,new 2019,,,,2019-12-01,benkeen,,https://www.inaturalist.org/observations/36265146,339592,https://static.inaturalist.org/photos/57306006/medium.jpeg?1575231948,
Calypte anna,Lesson,Anna's hummingbird,Native,S4S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2016-12-30,hillanddale,,https://www.inaturalist.org/observations/8504248,6317,https://static.inaturalist.org/photos/11347870/medium.jpeg?1508684593,
Cardellina pusilla,Wilson,Wilson's warbler,Native,S5B (2015),confirmed,,,Dale&Ricker Bird Checklists,2019-02-03,breannawilson,,https://www.inaturalist.org/observations/20093014,145276,no photo - see Breanna's explanation on the observation itself,
Cathartes aura,L.,turkey vulture,Native,S4 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2015-05-30,hillanddale,,https://www.inaturalist.org/observations/8499788,4756,https://static.inaturalist.org/photos/11339283/medium.jpeg?1508641806,
Catharus guttatus,Pallas,hermit thrush,Native,S5B (2015),confirmed,,,Dale&Ricker Bird Checklists,2018-12-25,benkeen,,https://www.inaturalist.org/observations/19217802,12890,https://static.inaturalist.org/photos/29520617/medium.jpg?1545770862,
Catharus ustulatus,Nuttall,Swainson's thrush,Native,S5B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2014-05-25,hillanddale,,https://www.inaturalist.org/observations/8528331,12878,https://static.inaturalist.org/photos/11389022/medium.png?1508819732,
Cepphus columba,Pallas,pigeon guillemot,Native,S4 (2015) ,new 2017,,,,2014-06-23,hillanddale,,https://www.inaturalist.org/observations/8548702,4415,https://static.inaturalist.org/photos/11422102/medium.png?1508963484,
Certhia americana,Bonaparte,brown creeper,Native,S5 (2015)  ,confirmed,,,Dale&Ricker Bird Checklists,2017-04-24,hillanddale,,https://www.inaturalist.org/observations/8473750,7458,https://static.inaturalist.org/photos/11298303/medium.jpg?1508469423,
Charadrius semipalmatus,Bonaparte,semipalmated plover,Native,S4S5B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2014-05-04,hillanddale,,https://www.inaturalist.org/observations/8497777,4817,https://static.inaturalist.org/photos/11335885/medium.jpeg?1508631387,
Charadrius vociferus,L.,killdeer,Native,S4S5B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-01-20,hillanddale,,https://www.inaturalist.org/observations/8504407,4793,https://static.inaturalist.org/photos/11348138/medium.png?1508685331,
Chondestes grammacus,Say,lark sparrow,Native,S3S4B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2019-09-25,hillanddale,,https://www.inaturalist.org/observations/33662299,10479,https://static.inaturalist.org/photos/52893660/medium.jpeg?1569870341,
Chroicocephalus philadelphia,Ord.,Bonaparte's gull,Native,S5? (2015),confirmed,,,Dale&Ricker Bird Checklists,2008-11-17,hillanddale,,https://www.inaturalist.org/observations/8553818,144502,https://static.inaturalist.org/photos/11430753/medium.jpeg?1508990593,
Cinclus mexicanus,Swainson,American dipper,Native,S4 (2015),confirmed,,,Dale&Ricker Bird Checklists,2016-09-19,sea2skynaturebc,,http://inaturalist.ca/observations/4148379,7643,https://static.inaturalist.org/photos/4939158/medium.jpg?1474302136,
Circus hudsonius,L.,northern harrier,Native,S4B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2013-10-01,hillanddale,,https://www.inaturalist.org/observations/8486577,558446,https://static.inaturalist.org/photos/11318912/medium.jpeg?1508563132,
Cistothorus palustris,Wilson,marsh wren,Native,S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2014-06-23,hillanddale,,https://www.inaturalist.org/observations/8499428,7601,https://static.inaturalist.org/photos/11338576/medium.png?1508639219,
Clangula hyemalis,L.,long-tailed duck,Native,"S2S3B,S4N (2015) ",confirmed,,,Dale&Ricker Bird Checklists,2013-07-14,hillanddale,,https://www.inaturalist.org/observations/8516424,7170,https://static.inaturalist.org/photos/11367971/medium.jpeg?1508732526,
Coccothraustes vespertinus,W. Cooper,evening grosbeak,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2014-03-13,hillanddale,,https://www.inaturalist.org/observations/8497545,9800,https://static.inaturalist.org/photos/11335581/medium.png?1508630762,
Colaptes auratus,L.,northern flicker,Native,S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-10-03,gwenlh,,https://www.inaturalist.org/observations/8330730,18236,https://static.inaturalist.org/photos/11067930/medium.jpg?1507579743,
Colaptes auratus cafer,L.,red-shafted flicker,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2011-10-30,hillanddale,,https://www.inaturalist.org/observations/8516402,236980,https://static.inaturalist.org/photos/11367933/medium.jpg?1508732344,
Columba livia,Gmelin,rock pigeon,Exotic,SNA (2015) ,new 2018,,,,2018-01-27,hillanddale,,https://www.inaturalist.org/observations/9634918,3017,https://static.inaturalist.org/photos/13156116/medium.jpeg?1517091012,
Contopus cooperi,Swainson,olive-sided flycatcher,Native,S3S4B (2015),new 2019,,,,2019-06-03,breannawilson,,https://www.inaturalist.org/observations/26654061,16110,https://static.inaturalist.org/photos/41400788/medium.jpg?1560052576,
Contopus sordidulus,Slater,western wood-pewee,Native,S5B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-07-31,sea2skynaturebc,,https://www.inaturalist.org/observations/8943680,16079,https://static.inaturalist.org/photos/12050599/medium.jpg?1511725689,
Corvus caurinus,Baird,northwestern crow,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2018-01-22,hillanddale,,https://www.inaturalist.org/observations/9565414,8018,https://static.inaturalist.org/photos/13055800/medium.jpeg?1516654509,
Corvus corax,L.,common raven,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-01-04,sea2skynaturebc,,https://www.inaturalist.org/observations/8945179,8010,https://static.inaturalist.org/photos/12053084/medium.jpeg?1511731784,
Cyanocitta cristata,L.,blue jay,Native,S4S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2009-11-06,hillanddale,,https://www.inaturalist.org/observations/9568983,8229,https://static.inaturalist.org/photos/13061843/medium.jpeg?1516677114,
Cyanocitta stelleri,Gmelin,Steller's jay,Native,S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2017-10-03,gwenlh,,https://www.inaturalist.org/observations/8342204,8234,https://static.inaturalist.org/photos/11088064/medium.jpg?1507652469,
Cygnus buccinator,Richardson,trumpeter swan,Native,"S4B,S5N (2015)",confirmed,,,Dale&Ricker Bird Checklists,2014-04-04,hillanddale,,https://www.inaturalist.org/observations/8497664,6915,https://static.inaturalist.org/photos/11335736/medium.png?1508631109,
Dendragapus fuliginosus,Ridgway,sooty grouse,Native,S4 (2015),confirmed,,,Dale&Ricker Bird Checklists,2015-09-25,thuja,,https://www.inaturalist.org/observations/8335279,72797,https://static.inaturalist.org/photos/11075270/medium.jpeg?1507600381,
Dryobates pubescens,L.,downy woodpecker,Native,S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2014-03-31,hillanddale,,https://www.inaturalist.org/observations/8528279,792988,https://static.inaturalist.org/photos/11388913/medium.png?1508819308,
Dryobates villosus,L.,hairy woodpecker,Native,S5 (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2016-12-16,hillanddale,,https://www.inaturalist.org/observations/8503947,792990,https://static.inaturalist.org/photos/11347280/medium.png?1508683257,
Dryocopus pileatus,L.,pileated woodpecker,Native,S5 (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-02-11,sea2skynaturebc,,https://www.inaturalist.org/observations/9036089,17855,https://static.inaturalist.org/photos/12190923/medium.jpg?1512345144,
Dumetella carolinensis,L.,grey catbird,Native,S5B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2014-05-31,hillanddale,,https://www.inaturalist.org/observations/8499390,14995,https://static.inaturalist.org/photos/11338487/medium.jpeg?1508638960,
Empidonax difficilis,Baird,Pacific-slope flycatcher,Native,S5B (2015),confirmed,,,Dale&Ricker Bird Checklists,2019-08-04,breannawilson,,https://www.inaturalist.org/observations/30613659,16598,https://static.inaturalist.org/photos/47836760/medium.jpg?1565535855,
Empidonax minimus,Baird,least flycatcher,Native,S5B (2015),confirmed,,,Dale&Ricker Bird Checklists,2013-06-23,hillanddale,,https://www.inaturalist.org/observations/8492394,16602,https://static.inaturalist.org/photos/11327348/medium.png?1508609243,
Empidonax traillii,Audubon,willow flycatcher,Native,S5B (2015),confirmed,,,Dale&Ricker Bird Checklists,2017-05-31,sea2skynaturebc,,http://inaturalist.ca/observations/6443973,16611,https://static.inaturalist.org/photos/12050337/medium.jpg?1511725006,
Eremophila alpestris,L.,horned lark,Native,S5?B (2015) ,confirmed,,,Dale&Ricker Bird Checklists,2010-09-18,hillanddale,,https://www.inaturalist.org/observations/8527782,7294,https://static.inaturalist.org/photos/11387985/medium.jpeg?1508815211,
Euphagus carolinus,Muller,rusty blackbird,Native,S3S4B (2015),confirmed,,,Dale&Ricker Bird Checklists,2014-04-28,hillanddale,,https://www.inaturalist.org/observations/8497726,10322,https://static.inaturalist.org/photos/11335811/medium.jpeg?1508631247,
