Taxon,Author of Species,Author of       Subspecies or Variety,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status (B.C.),reporting,Documented,Last Collected/ Reported,Collector/Source,Collection Accession #/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Buxbaumia piperi ,Best,,none,Plantae,Bryophyta,,,Bryopsida,,,Buxbaumiales,,,Buxbaumiaceae,,native,S4S5 (2011),reported,undocumented,1983-09-29,W. B. Schofield ,UBC s.n.,,,,,,124857,
Callicladium haldanianum ,(Grev.) Crum,,beautiful branch moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Hypnaceae,,native,S3 (2015),reported,undocumented,1962-09-22,W. B. Schofield ,UBC s.n.,,,,,,159659,
Calliergon stramineum ,(Brid.) Kindb.,,Calliergon moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Calliergonaceae,,native,S4S5 (2015),reported,undocumented,1982-09-02,W. B. Schofield ,UBC s.n.,,,,,,159667,
Calliergonella cuspidata,(Mitt.) Sull.,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Brachytheciaceae,,native,S5? (2015),reported,undocumented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,,,,,159669,
Campylium stellatum,(Hedw.) C. Jens.,,yellow starry fen moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Amblystegiaceae,,native,S5 (2015),reported,undocumented,1983-08-11,J. Spence ,UBC s.n.,,,,,,239729,
Campylopus atrovirens ,De Not.,,Campylopus moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015)  ,reported,undocumented,2003-08-20,W. B. Schofield ,UBC s.n.,,, ,,,159784,
Campylopus tallulensis ,Sull. & Lesq. ,,rusty swan-neck moss,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Dicranaceae,,native,S4 (2015) ,reported,undocumented,1984-06-23,M. R. Schofield ,UBC s.n.,,,,,herbarium record Campylopus flexuosus,159802,
Ceratodon purpureus,(Hedw.) Brid.,,redshank,Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,Ditrichaceae,,native,S5 (2015) ,reported,undocumented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),,,,,,123117,
Claopodium bolanderi,Best,,none,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Thuidiaceae,,native,S4S5 (2015),reported,undocumented,2001-05-22,W. B. Schofield ,UBC s.n.,,,,,,160663,
Claopodium crispifolium,(Hook.) Ren. & Card. ,,rough moss,Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,Thuidiaceae,,native,S4S5 (2015),confirmed,documented,2015-06-26,O.Lee; S.Joya,2015 Squamish Bioblitz part of Whistler BB (Bob Brett),2018-11-05,judithofsquamish,https://www.inaturalist.org/observations/18173058,https://static.inaturalist.org/photos/27776966/medium.jpeg?1541525622,,128661,
