Taxon,Author of Species,Author of       Subspecies or Variety,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status (B.C.),reporting,Documented,Last Collected/ Reported,Collector/Source,Collection Accession #/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Hesperis matronalis,L.,,dame's rocket,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,exotic,SNA (2001),new 2016,documented,,,,2016-05-08,hillanddale,https://www.inaturalist.org/observations/9531065,https://static.inaturalist.org/photos/12997484/medium.jpg?1516396419,,47697,
Heuchera micrantha,Douglas ex Lindl.,,crevice alumroot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S4 (2015),confirmed,documented,1949-07-24,Vladimir J. Krajina,UBC: V88820,2018-05-22,judithofsquamish,https://www.inaturalist.org/observations/12729763,https://static.inaturalist.org/photos/18437566/medium.jpeg?1527044479,,51274,
Heuchera micrantha var. diversifolia ,Douglas ex Lindl.,"(Rydb.) Rosend., Butters & Lakela",crevice alumroot,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S4 (2015),reported,undocumented,1974-06-03,Bruce A. Bohm ,UBC: V149163,,,,,,51344,
Hieracium albiflorum,Hook., ,white hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,native,S5 (2015),confirmed,documented,1974-06-00,Charles E. Beil,UBC: V176090,2018-07-12,judithofsquamish,https://www.inaturalist.org/observations/14556870,https://static.inaturalist.org/photos/21686244/medium.jpeg?1532130854,,63937,
Hieracium atratum ,Fr.,,polar hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,not in CDC records,reported,undocumented,1989-06-01,Frank Lomer,UBC: V200111,,,,,"not in iNaturalist, FNA, NatureServe but is in I.T.I.S.",0,
Hieracium maculatum,Sm.,,spotted hawkweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2000),new 2018,documented,,,,2018-05-20,gwenlh,https://www.inaturalist.org/observations/12681715,https://static.inaturalist.org/photos/18356624/medium.jpg?1526923056,,163791,
Holcus lanatus,L.,,Yorkshire fog,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000),new 2018,documented,,,,2018-05-21,judithofsquamish,https://www.inaturalist.org/observations/12708902,https://static.inaturalist.org/photos/18402429/medium.jpeg?1527002049,,52793,
Holodiscus discolor,(Pursh) Maxim. ,,ocean spray,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S5 (2015),new 2013,documented,,,,2013-07-16,hillanddale,https://www.inaturalist.org/observations/9513603,https://static.inaturalist.org/photos/12967130/medium.jpg?1516238787,,53414,
Honckenya peploides,(L.) Ehrh.,,sea sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,,native,S5 (2000),new 2018,documented,,,,2018-05-12,judithofsquamish,https://www.inaturalist.org/observations/12437330,https://static.inaturalist.org/photos/17937195/medium.jpeg?1526263583,,129446,
Hordeum brachyantherum,Nevski ,,meadow barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S5 (2000) ,new 2015,documented,,,,2015-07-09,judithofsquamish,http://www.inaturalist.org/observations/4390161,https://static.inaturalist.org/photos/5267830/medium.jpeg?1476849411,,57173,
Hordeum murinum ,L.,,wall barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000) ,reported,undocumented,2006-05-27,Jeffery M. Saarela ,UBC: V228358,,,,,,52796,
Hordeum murinum subsp. murinum ,L.,,hare barley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,exotic,SNA (2000) ,reported,undocumented,2001-05-29,Frank Lomer,UBC: V235041,,,,,,63333,
Huperzia continentalis,"Testo, A. Haines & A.V. Gilman",,alpine firmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,native,S4? (2015) ,new 2018,documented,,,,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14171019,https://static.inaturalist.org/photos/21009710/medium.jpeg?1531070089,,531603,
Huperzia miyoshiana ,(Makino) Ching,,none,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,native,S4? (2015) ,reported,undocumented,1974-06-07,Charles E. Beil,UBC: V176177,,,,,,179422,
Huperzia occidentalis ,(Clute) Kartesz & Gandhi,,Pacific clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,Huperzioideae,native,S4 (2004),reported,undocumented,1974-07-05,Charles E. Beil ,UBC: V176174,,,,,,143696,
Hypericum anagalloides,Cham. & Schltdl.,,bog St. John's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,native,S4 (2015) ,new 2018,documented,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16857672,https://static.inaturalist.org/photos/25458079/medium.jpg?1537754304,,61032,
Hypericum androsaemum ,L.,,tutsan,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2000),reported,undocumented,1991-08-03,Frank Lomer,UBC: V203934,,,,,,77480,
Hypericum calycinum,L.,,rose-of-sharon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2012),new 2018,documented,,,,2018-09-08,benkeen,https://www.inaturalist.org/observations/16328618,https://static.inaturalist.org/photos/24534542/medium.jpg?1536434944,,77481,
Hypericum perforatum,L.,,common St. John's-wort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Hypericaceae,,exotic,SNA (2001),new 2018,documented,,,,2018-07-12,judithofsquamish,https://www.inaturalist.org/observations/14556914,https://static.inaturalist.org/photos/21686343/medium.jpeg?1532130999,,56077,
Hypochaeris radicata,L.,,common cat's-ear,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001),new 2018,documented,,,,2018-06-03,judithofsquamish,https://www.inaturalist.org/observations/13095067,https://static.inaturalist.org/photos/19079094/medium.jpeg?1528067665,,53104,
Ilex aquifolium,L.,,European holly,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Aquifoliales,,,Aquifoliaceae,,exotic,SNA (2001),confirmed,documented,2007-11-13,Peter F. Zika,WTU: 368799,2018-08-30,benkeen,https://www.inaturalist.org/observations/16058359,https://static.inaturalist.org/photos/24043614/medium.jpg?1535681694,,53856,
Impatiens capensis,Meerb.,,spotted jewelweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,exotic,SNA (2018),new 2018,documented,,,,2018-06-28,carl1986,https://www.inaturalist.org/observations/13945786,https://static.inaturalist.org/photos/20611425/medium.jpg?1530455723,,47888,
Impatiens glandulifera,Royle,,Himalayan balsam,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,exotic,SNA (2001),new 2016,documented,,,,2016-07-02,hillanddale,https://www.inaturalist.org/observations/9532556,https://static.inaturalist.org/photos/13000230/medium.jpeg?1516403681,,47892,
Iris pseudacorus,L.,,yellow iris,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,,exotic,SNA (2001),new 2018,documented,,,,2018-09-20,keeganjd,https://www.inaturalist.org/observations/16718236,https://static.inaturalist.org/photos/25224661/medium.jpg?1537457239,,47779,
Isolepis cernua,(Vahl) Roem. & Schult.,,slender clubrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,,native,S5 (2001),new 2018,documented,,,,2015-06-26,judithofsquamish,https://www.inaturalist.org/observations/9974123,https://static.inaturalist.org/photos/13704170/medium.jpeg?1519444471,,60257,
Jacobaea vulgaris,L.,,ragwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001),new 2018,documented,,,,2018-09-16,benkeen,https://www.inaturalist.org/observations/16605277,https://static.inaturalist.org/photos/25019515/medium.jpg?1537134853,,62498,
Juglans regia,L.,,Persian walnut,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Juglandaceae,,exotic,SNA ,reported,undocumented,1978-08-15,John Pinder-Moss,UBC: V166524,,,,,,63935,
Juncus acuminatus ,Michx.,,tapered rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S4 (2001) ,reported,undocumented,1940-08-07,John W. Eastham,V013462,,,,,,77549,
Juncus balticus,Willd.,,baltic rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),new 2015,documented,,,,2015-05-20,judithofsquamish,http://www.inaturalist.org/observations/4390183,https://static.inaturalist.org/photos/5267861/medium.jpeg?1476849835,,58347,
Juncus bufonius ,L.,,toad rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2017),reported,undocumented,1903-06-29,James Fowler,V085755,,,,,,57107,
Juncus conglomeratus ,L.,,compact rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,exotic,SNA (2000),reported,undocumented,2007-11-13,P. F. Zika ,CIC: 41809,,,,,,204335,
Juncus drummondii ,E. Mey.,,Drummond's rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 ,confirmed,documented,1914-08-22,John Davidson,UBC: V22132,2017-09-26,judithofsquamish,https://www.inaturalist.org/observations/8198379,https://static.inaturalist.org/photos/10859393/medium.jpeg?1506830432,,77565,
Juncus effusus,L.,,soft rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015) ,new 2015,documented,,,,2015-06-05,judithofsquamish,http://www.inaturalist.org/observations/4390234,https://static.inaturalist.org/photos/5267961/medium.jpeg?1476850790,J. effusus subsp. Pacificus?+AB646,56153,
Juncus ensifolius,Wikstr.,,dagger rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),new 2015,documented,,,,2015-06-07,judithofsquamish,http://www.inaturalist.org/observations/4390265,https://static.inaturalist.org/photos/5268032/medium.jpeg?1476851486,,77569,
Juncus mertensianus,Bong.,,Mertens' rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015) ,new 2017,documented,,,,2017-09-26,judithofsquamish,https://www.inaturalist.org/observations/8216251,https://static.inaturalist.org/photos/10889467/medium.jpeg?1506917934,,77584,
Juncus supiniformis ,Engelm.,,hair-leaved rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),reported,undocumented,1941-09-06,John W. Eastham,V014145B,,,,,,77594,
Juncus tenuis,Willd.,,slender rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2015),new 2018,documented,,,,2018-10-06,judithofsquamish,https://www.inaturalist.org/observations/17954329,https://static.inaturalist.org/photos/27436405/medium.jpeg?1540875235,,69930,
Juniperus communis ,L.,,common juniper,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Cupressaceae,,native,S5 (2017) ,new 2015,documented,,,,2018-09-23,benkeen,https://www.inaturalist.org/observations/16844415,https://static.inaturalist.org/photos/25433106/medium.jpg?1537731016,*is this Juniperus maritima?,58725,
Kalmia polifolia ,(Hook.) A. Heller ,,swamp laurel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,native,S4 (2001) ,new 2015,documented,,,,2015-05-23,judithofsquamish,https://www.inaturalist.org/observations/5999820,https://static.inaturalist.org/photos/7503676/medium.jpeg?1493417830,aka Kalmia microphylla subsp. cccidentalis,77604,
Kopsiopsis hookeri ,(Walp.) Govaerts,,small ground-cone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,native,S4 (2015),reported,undocumented,2001-06-05,Frank Lomer,UBC: V235042,,,,,,77611,
Lamium galeobdolon,(L.) Ehrend. & Polatschek,,yellow archangel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,,exotic,SNA (2007),new 2018,documented,,,,2018-09-20,benkeen,https://www.inaturalist.org/observations/16736221,https://static.inaturalist.org/photos/25256154/medium.jpg?1537493899,,204339,
Lamium purpureum,L.,,red deadnettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,,exotic,SNA (2000),new 2018,documented,,,,2018-11-18,benkeen,https://www.inaturalist.org/observations/18481970,https://static.inaturalist.org/photos/28262238/medium.jpg?1542576779,,55851,
Lapsana communis,L.,,nipplewort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,exotic,SNA (2001),new 2015,documented,,,,2015-06-09,hillanddale,https://www.inaturalist.org/observations/9530719,https://static.inaturalist.org/photos/12996841/medium.jpeg?1516394153,,55981,
Lathyrus japonicus,Willd.,,seaside pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S4 (2015),confirmed,documented,1913-06-15,F. Perry,UBC: V23677,2017-06-12,judithofsquamish,https://www.inaturalist.org/observations/9106602,https://static.inaturalist.org/photos/12302943/medium.jpeg?1512878197,,77638,
Lathyrus nevadensis ,S. Watson,,Sierra Nevada peavine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S5 (2000),reported,undocumented,1913-06-01,W. Taylor,UBC: V23664,,,,,,77640,
Lathyrus palustris,L.,,marsh pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S3S4 (2015),new 2015,documented,,,,2015-05-21,judithofsquamish,https://www.inaturalist.org/observations/9106752,https://static.inaturalist.org/photos/12303200/medium.jpg?1512879221,,77642,
Leptarrhena pyrolifolia,(D. Don) R. Br. ex Ser.,,leather-leaf saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,native,S5 (2015),new 2017,documented,,,,2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/6939927,https://static.inaturalist.org/photos/8868381/medium.jpeg?1499316202,,128870,
Leucanthemum vulgare,Lam.,,oxeye daisy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,exotic,SNA (2001) ,new 2017,documented,,,,2017-06-25,judithofsquamish,https://www.inaturalist.org/observations/6798009,https://static.inaturalist.org/photos/8647219/medium.jpeg?1498428698,,56057,
Leymus mollis,(Trin.) Pilg. ,,American dune grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,native,S4S5 (2015),new 2018,documented,,,,2018-09-07,judithofsquamish,https://www.inaturalist.org/observations/16359520,https://static.inaturalist.org/photos/24594224/medium.jpeg?1536514741,,61067,
Ligustrum vulgare,L.,,common privet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Oleaceae,,exotic,SNA (2001) ,new 2018,documented,,,,2018-09-26,benkeen,https://www.inaturalist.org/observations/16953216,https://static.inaturalist.org/photos/25624476/medium.jpg?1538015028,,119805,
Lilaeopsis occidentalis,J.M. Coult. & Rose,,western grasswort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,native,S4 (2015),new 2018,documented,,,,2018-07-16,judithofsquamish,https://www.inaturalist.org/observations/14463274,https://static.inaturalist.org/photos/21525578/medium.jpeg?1531872711,,77742,
Lilium columbianum,Hanson,,Columbia lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,,native,S5 (2015) ,confirmed,documented,1924-05-31,T.R. Ashlee,UBC: V223468,2018-05-29,judithofsquamish,https://www.inaturalist.org/observations/13099371,https://static.inaturalist.org/photos/19087328/medium.jpeg?1528075750,,77744,
Limosella aquatica,L.,,water mudwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,native,S4 (2015),new 2018,documented,,,,2018-07-14,judithofsquamish,https://www.inaturalist.org/observations/14398709,https://static.inaturalist.org/photos/21414739/medium.jpeg?1531697780,,59016,
Linaria purpurea,(L.) Mill. ,,purple toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001) ,new 2018,documented,,,,2018-09-06,benkeen,https://www.inaturalist.org/observations/16276507,https://static.inaturalist.org/photos/24440916/medium.jpg?1536286453,,77778,
Linaria vulgaris,Mill.,,butter-and-eggs,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,exotic,SNA (2001),new 2016,documented,,,,2016-06-12,hillanddale,https://www.inaturalist.org/observations/9628127,https://static.inaturalist.org/photos/13143848/medium.jpg?1517028003,,50790,
Linnaea borealis,L.,,twinflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,,native,S5 (2000) see 'notes',new 2017,documented,,,,2017-07-04,hillanddale,https://www.inaturalist.org/observations/9525360,https://static.inaturalist.org/photos/12987877/medium.jpg?1516336007,..or S3S4 - depends on which subspecies,77780,
Liriodendron tulipifera ,L.,,tuliptree,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Magnoliales,,,Magnoliaceae,,exotic,not in CDC records,reported,undocumented,1978-08-15,John Pinder-Moss,UBC: V166523,,,,,"accepted by NatureServe, FNA & I.T.I.S.",53582,
Lonicera ciliosa,DC.,,orange honeysuckle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,native,S5 (2000) ,confirmed,documented,2002-05-23,Helen Kennedy,UBC: V219755,2017-06-13,hillanddale,https://www.inaturalist.org/observations/8568264,https://static.inaturalist.org/photos/11447853/medium.jpg?1509062520,,77832,
Lonicera hispidula,(Lindl.) Douglas ex Torr. & A. Gray,,pink honeysuckle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,native,S5 (2000),new 2018,documented,,,,2018-11-11,benkeen,https://www.inaturalist.org/observations/18337800,https://static.inaturalist.org/photos/28022744/medium.jpg?1541974297,,53416,
Lonicera involucrata,(Richardson) Banks ex Spreng.,,twinberry honeysuckle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,native,S5 ,new 2015,documented,,,,2015-07-19,judithofsquamish,http://www.inaturalist.org/observations/4392130,https://static.inaturalist.org/photos/5270856/medium.jpeg?1476893118,,60881,
Lotus corniculatus,L.,,bird's-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,exotic,SNA (2001),new 2011,documented,,,,2011-07-10,hillanddale,https://www.inaturalist.org/observations/9630962,https://static.inaturalist.org/photos/13148990/medium.jpeg?1517067087,,47435,
Luetkea pectinata ,(Pursh) Kuntze,,segmented luetkea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,,native,S5 (2015),confirmed,documented,1997-07-13,Gerald B. Straley,UBC: V226169,2017-07-30,judithofsquamish,https://www.inaturalist.org/observations/7359849,https://static.inaturalist.org/photos/9542652/medium.jpeg?1501946227,,77842,
Lupinus arcticus,S. Watson,,Arctic lupine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S5 (2000),new 2017,documented,,,,2017-09-05,judithofsquamish,https://www.inaturalist.org/observations/8897750,https://static.inaturalist.org/photos/11972734/medium.jpeg?1511374426,,143688,
Lupinus latifolius var. latifolius ,Lindl. ex J. Agardh,,broadleaf lupine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S4S5 (2015) ,reported,undocumented,1914-06-29,Fred Perry,UBC: V45369,,,,,,64242,
Lupinus littoralis,Douglas ex Lindl.,,seashore lupine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S3S4 (2005),new 2018,documented,,,,2018-05-13,judithofsquamish,https://www.inaturalist.org/observations/12441883,https://static.inaturalist.org/photos/17945613/medium.jpeg?1526273935,possibly planted during restoration project,77872,
Lupinus polyphyllus,Lindl.,,large-leaved lupine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,,native,S4 (2001),new 2017,documented,,,,2017-05-31,vanezo,http://inaturalist.ca/observations/6444270,https://static.inaturalist.org/photos/8142064/medium.jpg?1496245695,,59549,
Luzula campestris ,(L.) DC.,,field woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,exotic,SNA (2001),reported,undocumented,1973-08-01,Charles E. Beil,UBC: V176060,,,,,,55795,
Luzula comosa var. laxa ,E. Mey.,Buchenau,Pacific woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S4 (2000),confirmed,documented,1974-07-04,Charles E. Biel,UBC: V176167,2018-05-15,judithofsquamish,https://www.inaturalist.org/observations/12665110,https://static.inaturalist.org/photos/18328124/medium.jpeg?1526870545,,81080,
Luzula hitchcockii,Hämet-Ahti,,Hitchcock's woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S4S5 (2015),new 2014,documented,,,,2014-07-26,judithofsquamish,https://www.inaturalist.org/observations/8898086,https://static.inaturalist.org/photos/11973310/medium.jpeg?1511377164,,143686,
Luzula macrantha ,Zika & B.L. Wilson,,prairie woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S1S2 (2017),reported,undocumented,2008-06-23,P. F. Zika ,WTU: 374586,,,,,species recognized only by BC Species & Ecosystems Explorer?,0,
Luzula multiflora multiflora,(Ehrh.) Lej.,,many-flowered woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,exotic,SNA (2015),confirmed,documented,1912-04-13,John Davidson,UBC: V49223,2016-05-17,judithofsquamish,https://www.inaturalist.org/observations/9187510,https://static.inaturalist.org/photos/12434621/medium.jpeg?1513564888,,237139,
Luzula parviflora,(Ehrh.) Desv.,,small-flower woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2000),confirmed,documented,1977-08-06,Chris Clement ,V146581,2018-07-03,judithofsquamish,https://www.inaturalist.org/observations/14171647,https://static.inaturalist.org/photos/21010868/medium.jpeg?1531071487,,77897,
Luzula subsessilis ,(S. Watson) Buchenau,,Pacific woodrush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,native,S5 (2000) ,reported,undocumented,2008-06-23,Peter F. Zika,CIC: 39047,,,,,,77901,
Lycopodium clavatum,L.,,stag's-horn clubmoss,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,Lycopodiaceae,,native,S5 (2015),confirmed,documented,1974-06-07,Charles E. Beil,UBC: V176176,2014-06-17,judithofsquamish,https://www.inaturalist.org/observations/6161007,https://static.inaturalist.org/photos/7725107/medium.jpeg?1494432885,,77914,
Lycopus uniflorus,Michx.,,northern bugleweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,,native,S5 (2015),confirmed,documented,2015-08-00,Fred Perry,UBC: V49211,2018-09-23,benkeen,https://www.inaturalist.org/observations/16857648,https://static.inaturalist.org/photos/25458063/medium.jpg?1537754287,,77915,
Lysichiton americanus,Hultén & H. St. John,,western skunk cabbage,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,,native,S5 (2000) ,new 2016,documented,,,,2016-04-03,judithofsquamish,http://www.inaturalist.org/observations/4392189,https://static.inaturalist.org/photos/5270949/medium.jpeg?1476894007,,48537,
Lysimachia europaea subsp. arctica,(L.) U. Manns & Anderb.,,Arctic starflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,,native,"S4S5 (2015), see 'notes'",new 2018,documented,,,,2018-07-22,citizen1,https://www.inaturalist.org/observations/15597947,https://static.inaturalist.org/photos/23319627/medium.jpg?1534553412,"NatureServe Trientalis europaea L., CDC record as Trientalis europaea L. subsp. arctica (Fisch. ex Hook.) Hultén ",716948,
Lysimachia latifolia,(Hook.) Cholewa,,western star flower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,,native,S4S5 (2015),confirmed,documented,1974-07-02,Charles E. Beil ,UBC: V176158,2015-05-09,judithofsquamish,http://www.inaturalist.org/observations/4509281,https://static.inaturalist.org/photos/5455184/medium.jpeg?1478478467,aka Trientalis latifolia,496537,
Lysimachia maritima,"(L.) Galasso, Banfi & Soldano",,sea milkwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,,native,S5 (2001),new 2016,documented,,,,2016-05-21,judithofsquamish,http://www.inaturalist.org/observations/4394931,https://static.inaturalist.org/photos/5275234/medium.jpeg?1476912656,,204175,
Lysimachia thyrsiflora,L.,,tufted loosestrife,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Primulaceae,,native,S4S5 (2015),new 2015,documented,,,,2015-05-31,judithofsquamish,http://www.inaturalist.org/observations/4395046,https://static.inaturalist.org/photos/5275311/medium.jpeg?1476913038,,77917,
Lythrum salicaria,L.,,purple loosestrife,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Lythraceae,,exotic,SNA (2001),new,documented,,,,2018-07-23,judithofsquamish,https://www.inaturalist.org/observations/14699261,https://static.inaturalist.org/photos/21917207/medium.jpeg?1532468465,,61321,
Maianthemum dilatatum ,(Alph. Wood) A. Nelson & J.F. Macbr.,,western lily of the valley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,,native,S5 (2000) ,confirmed,documented,1997-05-18,Gerald B. Straley,UBC: V226289,2017-04-16,vanezo,http://inaturalist.ca/observations/5762841,https://static.inaturalist.org/photos/7153543/medium.jpg?1492369872,,63939,
Maianthemum racemosum ssp. amplexicaule (Nutt.) LaFrankie,(L.) Link,(Nutt.) LaFrankie,false Solomon's-seal,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,,native,S5 (2015),confirmed,documented,1961-05-25,F. Vrugtman ,UBC: V101047,2017-06-20,judithofsquamish,https://www.inaturalist.org/observations/8894119,https://static.inaturalist.org/photos/11966677/medium.jpeg?1511331546,,51062,
