iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported
Sonchus asper,53269,Sonchus asper,2,"{""iNat:1421019"":[48.595329,-123.144282],""iNat:3201022"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Sonchus,asper,,iNat,,,iNat:1421019,2015-04-23T16:27:08.000Z,,iNat,,,iNat:3201022,2016-05-17T00:00:00.000Z
Cardamine hirsuta,55829,Cardamine hirsuta,1,"{""iNat:1421020"":[48.595329,-123.144282]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Cardamineae,Cardamine,hirsuta,,iNat,,,iNat:1421020,2015-04-23T16:40:23.000Z,,iNat,,,iNat:1421020,2015-04-23T16:40:23.000Z
Sanicula crassicaulis,53201,Sanicula crassicaulis,5,"{""iNat:1421022"":[48.595329,-123.144282],""iNat:44367856"":[48.58395,-123.137856],""iNat:48853085"":[48.586256,-123.148125],""iNat:48953437"":[48.592388,-123.153393],""iNat:48969378"":[48.587319,-123.153014]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,,iNat,,,iNat:1421022,2015-04-23T16:41:25.000Z,Eliza,iNat,,,iNat:48969378,2020-06-08T22:47:19.000Z
Bellis perennis,55563,Bellis perennis,7,"{""iNat:1421024"":[48.595329,-123.144282],""iNat:27231326"":[48.585906,-123.148299],""iNat:41801966"":[48.583508,-123.142014],""iNat:49269032"":[48.583667,-123.142045],""iNat:51962917"":[48.587006,-123.148519],""iNat:81315812"":[48.588156,-123.148379],""iNat:125376726"":[48.586464,-123.147774]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Bellis,perennis,,iNat,,,iNat:1421024,2015-04-23T16:44:37.000Z,,iNat,,,iNat:125376726,2022-07-08T23:39:11.000Z
Claytonia perfoliata,52994,Claytonia perfoliata,3,"{""iNat:1421041"":[48.595329,-123.144282],""iNat:42986626"":[48.584718,-123.138644],""iNat:115724630"":[48.588419,-123.147789]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Montiaceae,,,Claytonia,perfoliata,,iNat,,,iNat:1421041,2015-04-23T16:32:48.000Z,naturallyken,iNat,,,iNat:115724630,2022-05-03T02:34:35.000Z
Cathartes aura,4756,Cathartes aura,2,"{""iNat:1424336"":[48.572167,-123.136012],""iNat:17148800"":[48.580472,-123.139723]}",Animalia,Chordata,Vertebrata,,Aves,,,Cathartiformes,,,,Cathartidae,,,Cathartes,aura,,iNat,,,iNat:1424336,2015-04-25T20:58:20.000Z,Mart Hughes,iNat,,,iNat:17148800,2018-09-18T19:14:28.000Z
Ischnura cervula,62229,Ischnura cervula,1,"{""iNat:1424339"":[48.570785,-123.135955]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,,Coenagrionoidea,Coenagrionidae,,,Ischnura,cervula,,iNat,,,iNat:1424339,2015-04-25T21:13:03.000Z,,iNat,,,iNat:1424339,2015-04-25T21:13:03.000Z
Thamnophis ordinoides,28389,Thamnophis ordinoides,9,"{""iNat:1424340"":[48.572152,-123.136071],""iNat:1424355"":[48.568551,-123.136627],""iNat:1424357"":[48.567229,-123.136798],""iNat:1427260"":[48.572093,-123.13603],""iNat:1434126"":[48.571297,-123.134615],""iNat:1434127"":[48.571297,-123.134615],""iNat:1434128"":[48.571297,-123.134615],""iNat:1434129"":[48.571297,-123.134615],""iNat:79295801"":[48.586424,-123.150858]}",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,,Colubridae,Natricinae,,Thamnophis,ordinoides,,iNat,,,iNat:1424340,2015-04-25T20:42:03.000Z,Lisa Hall,iNat,,,iNat:79295801,2021-05-18T17:06:04.000Z
Hirundo rustica,11901,Hirundo rustica,2,"{""iNat:1424356"":[48.568203,-123.136917],""iNat:89390487"":[48.595855,-123.143517]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Hirundinidae,,,Hirundo,rustica,,iNat,,,iNat:1424356,2015-04-25T21:45:16.000Z,,iNat,,,iNat:89390487,2021-07-31T21:48:15.000Z
Charadrius vociferus,4793,Charadrius vociferus,1,"{""iNat:1424362"":[48.587149,-123.151506]}",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Charadriidae,,,Charadrius,vociferus,,iNat,,,iNat:1424362,2015-04-25T23:29:01.000Z,,iNat,,,iNat:1424362,2015-04-25T23:29:01.000Z
Haliaeetus leucocephalus,5305,Haliaeetus leucocephalus,3,"{""iNat:1424363"":[48.586574,-123.150738],""iNat:29072458"":[48.585648,-123.149946],""iNat:137896804"":[48.586752,-123.15074]}",Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Accipitridae,,,Haliaeetus,leucocephalus,,iNat,,,iNat:1424363,2015-04-25T23:37:09.000Z,,iNat,,,iNat:29072458,2019-07-18T19:11:09.000Z
Celastrina echo,52484,Celastrina echo,2,"{""iNat:1427262"":[48.570999,-123.135841],""iNat:43538918"":[48.586752,-123.150741]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Lycaenidae,Polyommatinae,Polyommatini,Celastrina,echo,,iNat,,,iNat:1427262,2015-04-25T21:13:11.000Z,Sierra,iNat,,,iNat:43538918,2020-04-20T16:58:00.000Z
Heracleum maximum,53094,Heracleum maximum,2,"{""iNat:1434111"":[48.571297,-123.134615],""iNat:42812892"":[48.579899,-123.143007]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Tordylieae,Heracleum,maximum,,iNat,,,iNat:1434111,2015-04-25T17:50:59.000Z,,iNat,,,iNat:42812892,2020-04-22T01:39:21.000Z
Fragaria vesca,50298,Fragaria vesca,2,"{""iNat:1434116"":[48.571297,-123.134615],""iNat:75497208"":[48.589158,-123.152344]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Potentilleae,Fragaria,vesca,,iNat,,,iNat:1434116,2015-04-25T18:14:55.000Z,,iNat,,,iNat:75497208,2021-04-28T00:55:27.000Z
Lysichiton americanus,48537,Lysichiton americanus,1,"{""iNat:1434118"":[48.571297,-123.134615]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,,Araceae,Orontioideae,,Lysichiton,americanus,,iNat,,,iNat:1434118,2015-04-25T18:24:24.000Z,,iNat,,,iNat:1434118,2015-04-25T18:24:24.000Z
Rubus spectabilis,47543,Rubus spectabilis,5,"{""iNat:1434120"":[48.571297,-123.134615],""iNat:3290862"":[48.58559,-123.149666],""iNat:48716577"":[48.586139,-123.145688],""iNat:51992874"":[48.587792,-123.148142],""iNat:77132797"":[48.586403,-123.147994]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,spectabilis,,iNat,,,iNat:1434120,2015-04-25T18:27:12.000Z,,iNat,,,iNat:77132797,2021-05-02T19:35:10.000Z
Arion,54582,Arion,2,"{""iNat:1434122"":[48.571297,-123.134615],""iNat:6209179"":[48.585285,-123.140877]}",Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Arionidae,,,Arion,,,iNat,,,iNat:1434122,2015-04-25T18:43:43.000Z,,iNat,,,iNat:6209179,2017-05-14T19:14:36.000Z
Equisetum telmateia braunii,57032,Equisetum telmateia braunii,2,"{""iNat:1434123"":[48.571297,-123.134615],""iNat:84611672"":[48.585739,-123.145903]}",Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,,Equisetaceae,,,Equisetum,telmateia,,iNat,,,iNat:1434123,2015-04-25T18:32:26.000Z,Peter Zika,iNat,,,iNat:84611672,2021-06-17T15:33:00.000Z
Vulpes vulpes,42069,Vulpes vulpes,2,"{""iNat:1434125"":[48.571297,-123.134615],""iNat:26278029"":[48.586964,-123.14952]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Canidae,,,Vulpes,vulpes,,iNat,,,iNat:1434125,2015-04-25T18:45:47.000Z,,iNat,,,iNat:26278029,2019-05-15T06:09:00.000Z
Pseudohydnum gelatinosum,54164,Pseudohydnum gelatinosum,3,"{""iNat:2477326"":[48.570151,-123.13376],""iNat:18340521"":[48.581369,-123.133451],""iNat:96961951"":[48.57522,-123.127756]}",Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Auriculariales,,,,,,,Pseudohydnum,gelatinosum,,iNat,,,iNat:2477326,2015-12-12T21:44:19.000Z,Eden Light,iNat,,,iNat:96961951,2021-10-02T20:03:34.000Z
Melospiza melodia,9100,Melospiza melodia,1,"{""iNat:2915198"":[48.594315,-123.143145]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Melospiza,melodia,Mike,iNat,,,iNat:2915198,2016-04-06T00:00:00.000Z,Mike,iNat,,,iNat:2915198,2016-04-06T00:00:00.000Z
Procyon lotor,41663,Procyon lotor,7,"{""iNat:2915212"":[48.593307,-123.14557],""iNat:13507408"":[48.58638,-123.147148],""iNat:26626220"":[48.589493,-123.156496],""iNat:87239604"":[48.587812,-123.147505],""iNat:87339355"":[48.597483,-123.1334],""iNat:99841151"":[48.590703,-123.138367],""iNat:111738638"":[48.586932,-123.149188]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,,Procyonidae,,,Procyon,lotor,Mike,iNat,,,iNat:2915212,2016-04-06T00:00:00.000Z,Josh Houston,iNat,,,iNat:111738638,2022-04-06T20:31:00.000Z
Pipilo maculatus,9420,Pipilo maculatus,1,"{""iNat:2915216"":[48.592342,-123.146664]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Pipilo,maculatus,Mike,iNat,,,iNat:2915216,2016-04-06T00:00:00.000Z,Mike,iNat,,,iNat:2915216,2016-04-06T00:00:00.000Z
Dryobates villosus,792990,Dryobates villosus,1,"{""iNat:2915236"":[48.592271,-123.147222]}",Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,,,Dryobates,villosus,Mike,iNat,,,iNat:2915236,2016-04-06T00:00:00.000Z,Mike,iNat,,,iNat:2915236,2016-04-06T00:00:00.000Z
Certhia americana,7458,Certhia americana,1,"{""iNat:2915304"":[48.586856,-123.148831]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Certhiidae,,,Certhia,americana,Mike,iNat,,,iNat:2915304,2016-04-06T17:37:10.000Z,Mike,iNat,,,iNat:2915304,2016-04-06T17:37:10.000Z
Arbutus menziesii,51046,Arbutus menziesii,15,"{""iNat:2931746"":[48.587459,-123.152157],""iNat:3200821"":[48.582384,-123.142204],""iNat:14295081"":[48.585178,-123.148153],""iNat:17148980"":[48.582439,-123.137141],""iNat:20965118"":[48.583746,-123.13819],""iNat:27752374"":[48.583143,-123.14276],""iNat:27997109"":[48.584922,-123.139678],""iNat:48367847"":[48.584646,-123.139512],""iNat:48372517"":[48.585971,-123.13854],""iNat:49906485"":[48.587425,-123.153633],""iNat:54646764"":[48.585329,-123.144122],""iNat:66499501"":[48.584319,-123.141661],""iNat:86447541"":[48.587387,-123.152383],""iNat:131543116"":[48.58211,-123.144362],""iNat:134086357"":[48.583808,-123.138135]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,Mike,iNat,,,iNat:2931746,2016-04-06T00:00:00.000Z,Jeff McSherry,iNat,,,iNat:134086357,2022-09-07T20:25:54.000Z
Coccinella septempunctata,51702,Coccinella septempunctata,7,"{""iNat:3190699"":[48.58419,-123.140087],""iNat:3190808"":[48.583406,-123.140316],""iNat:3190823"":[48.583406,-123.140316],""iNat:3200673"":[48.582384,-123.142204],""iNat:3200905"":[48.582384,-123.142204],""iNat:3200919"":[48.582384,-123.142204],""iNat:10006007"":[48.581619,-123.139703]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,septempunctata,,iNat,,,iNat:3190699,2016-05-16T00:00:00.000Z,,iNat,,,iNat:10006007,2017-08-04T17:21:00.000Z
Bombus mixtus,319125,Bombus mixtus,2,"{""iNat:3190738"":[48.583406,-123.140316],""iNat:10006006"":[48.581622,-123.139769]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Bombini,Bombus,mixtus,,iNat,,,iNat:3190738,2016-05-16T00:00:00.000Z,,iNat,,,iNat:10006006,2017-08-04T17:16:00.000Z
Marah oregana,77960,Marah oregana,17,"{""iNat:3190818"":[48.583406,-123.140316],""iNat:6209170"":[48.583281,-123.142756],""iNat:20501009"":[48.583522,-123.137808],""iNat:42986858"":[48.58407,-123.138046],""iNat:45533930"":[48.582808,-123.142355],""iNat:46310647"":[48.583185,-123.142443],""iNat:48373169"":[48.585269,-123.135253],""iNat:48848023"":[48.585306,-123.1494],""iNat:72225589"":[48.580625,-123.136847],""iNat:78462900"":[48.583234,-123.138682],""iNat:78501411"":[48.585087,-123.148956],""iNat:109337151"":[48.583225,-123.138672],""iNat:110320091"":[48.582799,-123.142302],""iNat:111557116"":[48.582758,-123.142355],""iNat:112751554"":[48.582783,-123.140786],""iNat:118939302"":[48.58395,-123.137869],""iNat:127529420"":[48.585303,-123.135193]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Cucurbitales,,,,Cucurbitaceae,,Sicyoeae,Marah,oregana,,iNat,,,iNat:3190818,2016-05-16T00:00:00.000Z,Cedar Creek Farm,iNat,,,iNat:127529420,2022-07-23T16:48:06.000Z
Bombus vosnesenskii,57689,Bombus vosnesenskii,6,"{""iNat:3190885"":[48.58352,-123.140316],""iNat:3190891"":[48.58352,-123.140316],""iNat:3226254"":[48.582611,-123.141346],""iNat:3226342"":[48.582611,-123.141346],""iNat:10006175"":[48.585872,-123.150283],""iNat:121475221"":[48.58633,-123.150147]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Bombini,Bombus,vosnesenskii,,iNat,,,iNat:3190885,2016-05-16T00:00:00.000Z,Natalie Lemanski,iNat,,,iNat:121475221,2022-06-12T19:22:24.000Z
Bombus melanopygus,130222,Bombus melanopygus,1,"{""iNat:3190901"":[48.58352,-123.140316]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Bombini,Bombus,melanopygus,,iNat,,,iNat:3190901,2016-05-16T00:00:00.000Z,,iNat,,,iNat:3190901,2016-05-16T00:00:00.000Z
Coccinella trifasciata subversa,207617,Coccinella trifasciata subversa,1,"{""iNat:3192512"":[48.583179,-123.139801]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujiformia,Coccinelloidea,Coccinellidae,Coccinellinae,Coccinellini,Coccinella,trifasciata,,iNat,,,iNat:3192512,2016-05-16T18:21:04.000Z,,iNat,,,iNat:3192512,2016-05-16T18:21:04.000Z
Agapostemon texanus,133797,Agapostemon texanus,2,"{""iNat:3200666"":[48.582384,-123.142204],""iNat:3209226"":[48.58171,-123.140545]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae,Halictini,Agapostemon,texanus,,iNat,,,iNat:3200666,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3209226,2016-05-18T20:17:24.000Z
Vicia hirsuta,56188,Vicia hirsuta,1,"{""iNat:3200694"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Vicia,hirsuta,,iNat,,,iNat:3200694,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200694,2016-05-17T00:00:00.000Z
Osmorhiza berteroi,53166,Osmorhiza berteroi,1,"{""iNat:3200723"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Apioideae,Scandiceae,Osmorhiza,berteroi,,iNat,,,iNat:3200723,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200723,2016-05-17T00:00:00.000Z
Plantago major,58961,Plantago major,1,"{""iNat:3200726"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Plantaginaceae,,Plantagineae,Plantago,major,,iNat,,,iNat:3200726,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200726,2016-05-17T00:00:00.000Z
Symphoricarpos albus,48523,Symphoricarpos albus,7,"{""iNat:3200736"":[48.582384,-123.142204],""iNat:31454312"":[48.586608,-123.147946],""iNat:48853116"":[48.586261,-123.148122],""iNat:78372238"":[48.587603,-123.154167],""iNat:98029443"":[48.586049,-123.150392],""iNat:98716487"":[48.586134,-123.145351],""iNat:138894010"":[48.588104,-123.148155]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,albus,,iNat,,,iNat:3200736,2016-05-17T00:00:00.000Z,,iNat,,,iNat:138894010,2022-10-15T19:47:57.000Z
Anthoxanthum odoratum,75475,Anthoxanthum odoratum,1,"{""iNat:3200742"":[48.582384,-123.142204]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Anthoxanthum,odoratum,,iNat,,,iNat:3200742,2016-05-17T00:00:00.000Z,,iNat,,,iNat:3200742,2016-05-17T00:00:00.000Z
Rubus parviflorus,51646,Rubus parviflorus,4,"{""iNat:3200746"":[48.582384,-123.142204],""iNat:3290847"":[48.58559,-123.149666],""iNat:75497097"":[48.586495,-123.148217],""iNat:80553917"":[48.585978,-123.145128]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,parviflorus,,iNat,,,iNat:3200746,2016-05-17T00:00:00.000Z,Sierra,iNat,,,iNat:80553917,2021-05-28T01:58:21.000Z
Berberis nervosa,75756,Berberis nervosa,6,"{""iNat:3200775"":[48.582384,-123.142204],""iNat:12495920"":[48.593531,-123.145353],""iNat:48370532"":[48.584969,-123.139057],""iNat:77787059"":[48.587371,-123.15258],""iNat:90955984"":[48.586737,-123.143871],""iNat:127009161"":[48.58567,-123.144646]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Berberidaceae,Berberidoideae,Berberideae,Berberis,nervosa,,iNat,,,iNat:3200775,2016-05-17T00:00:00.000Z,Jeff Lahr,iNat,,,iNat:127009161,2022-07-19T19:10:49.000Z
Mycelis muralis,48543,Mycelis muralis,5,"{""iNat:3200778"":[48.582384,-123.142204],""iNat:27231434"":[48.586005,-123.148031],""iNat:41795355"":[48.584364,-123.14368],""iNat:51964577"":[48.589339,-123.146769],""iNat:90955980"":[48.587136,-123.147423]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Cichorioideae,Cichorieae,Mycelis,muralis,,iNat,,,iNat:3200778,2016-05-17T00:00:00.000Z,Emily Troyer,iNat,,,iNat:90955980,2021-08-12T17:35:00.000Z
Lathyrus nevadensis,77640,Lathyrus nevadensis,2,"{""iNat:3200780"":[48.582384,-123.142204],""iNat:77441348"":[48.587833,-123.155425]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Lathyrus,nevadensis,,iNat,,,iNat:3200780,2016-05-17T00:00:00.000Z,Peter Zika,iNat,,,iNat:77441348,2021-04-30T01:01:00.000Z
Adenocaulon bicolor,56854,Adenocaulon bicolor,7,"{""iNat:3200781"":[48.582384,-123.142204],""iNat:48957051"":[48.59263,-123.154212],""iNat:49023475"":[48.590524,-123.150751],""iNat:51964590"":[48.589356,-123.146642],""iNat:54646681"":[48.58564,-123.144187],""iNat:86668411"":[48.577217,-123.132795],""iNat:87143731"":[48.589167,-123.15085]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Mutisioideae,Mutisieae,Adenocaulon,bicolor,,iNat,,,iNat:3200781,2016-05-17T00:00:00.000Z,nadja q.,iNat,,,iNat:87143731,2021-07-13T11:39:23.000Z
Goodyera oblongifolia,50719,Goodyera oblongifolia,7,"{""iNat:3200789"":[48.582384,-123.142204],""iNat:3290765"":[48.58559,-123.149666],""iNat:105073919"":[48.571592,-123.128792],""iNat:123926043"":[48.5924,-123.152664],""iNat:143758902"":[48.586498,-123.15042],""iNat:143807968"":[48.592796,-123.154629],""iNat:143825844"":[48.592403,-123.152655]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Orchidoideae,Cranichideae,Goodyera,oblongifolia,,iNat,,,iNat:3200789,2016-05-17T00:00:00.000Z,,iNat,,,iNat:143758902,2022-12-05T22:27:43.000Z
