iNaturalis,iNatural_1,Taxon name,ambiguousN,nameStatus,Common nam,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamil,Family,Subfamily,Tribe,Genus,Species,observatio,Latitude,Longitude,Date obser,Descriptio,Place name,Recorded b,Event Rema,coordinate,Individual,Depth,gbifOccurr,Catalog Nu,Confidence,Sex,Field numb,Coordina_1,Coordina_2,GeoCorrect,LatNew,LongNew
Sanicula crassicaulis,53201,Sanicula crassicaulis,0,accepted,Pacific Sanicle,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,,Apiaceae,Saniculoideae,Saniculeae,Sanicula,crassicaulis,iNat:109615952,48.939993000000001,-123.501097,2022-03-19,,,,,111,,,,,,,,,,yes,48.939628,-123.501174
Amelanchier alnifolia semiintegrifolia,80360,Amelanchier alnifolia,0,,Pacific saskatoon,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Amygdaloideae,Maleae,Amelanchier,alnifolia,iNat:117818460,48.939960999999997,-123.500479,2022-05-19,,,Dave Zeuss Cochrane,,7,,,,,,,,,,yes,48.939989,-123.500347
Trifolium willdenovii,57081,Trifolium willdenovii,0,accepted,tomcat clover,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,willdenovii,iNat:120922297,48.939003000000000,-123.502472,2022-06-08,,,Adam Huggins,,,,,,,,,,,,yes,48.939643,-123.50288
Sedum spathulifolium,58886,Sedum spathulifolium,0,accepted,Broad-leaved Stonecrop,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,,Crassulaceae,Sempervivoideae,Sedeae,Sedum,spathulifolium,iNat:163878623,48.939615000000003,-123.501513,2023-05-26,,,,,28,,,,,,,,,,yes,48.939586,-123.501437
Bromus sterilis,57163,Bromus sterilis,0,accepted,Barren Brome,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Bromeae,Bromus,sterilis,iNat:164021079,48.943413000000000,-123.510061,2023-05-27,,,,,25,,,,,,,,,,yes,48.943466,-123.510081
Aira caryophyllea,52694,Aira caryophyllea,0,accepted,Silver Hairgrass,,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Aira,caryophyllea,iNat:164039537,48.943550000000002,-123.5157,2023-05-27,,,,,4,,,,,,,,,,yes,48.943589,-123.515692
Rosa nutkana,78883,Rosa nutkana,0,accepted,Nootka rose,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Roseae,Rosa,nutkana,iNat:164072361,48.943331000000001,-123.510295,2023-05-27,,,Spencer Shields,,9,,,,,,,,,,yes,48.943643,-123.50999
Lonicera hispidula,53416,Lonicera hispidula,0,accepted,Pink Honeysuckle,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Lonicera,hispidula,iNat:164089828,48.943845000000003,-123.516595,2023-05-27,,,,,3,,,,,,,,,,yes,48.943895,-123.516555
Sambucus racemosa,57824,Sambucus racemosa,0,accepted,red-berried elder,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Viburnaceae,,,Sambucus,racemosa,iNat:164090817,48.943942000000000,-123.516725,2023-05-27,,,,,3,,,,,,,,,,yes,48.944769,-123.51511
Abies grandis,63690,Abies grandis,0,accepted,grand fir,,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Abietoideae,,Abies,leichtlinii,iNat:70065824,48.946925000000000,-123.500847,2021-02-06,,,Andrew Simon,,3,,,,,,,,,,yes,48.944184,-123.516791
Nuphar polysepala,78234,Nuphar polysepala,0,accepted,western yellow pond-lily,,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Nymphaeales,,,,Nymphaeaceae,,,Nuphar,polysepala,iNat:164097775,48.949275000000000,-123.503235,2023-05-26,,,Myung Jin (John) Kang,,,,,,,,,,,,yes,48.949271,-123.503242
