Scientific_name,Hulquminum_name,Audio_path,Audio_link,Video
Arbutus menziesii,qaanlhp,.../audio/qaanlhp_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20_2.WAV,https://drive.google.com/file/d/1W465N-jacCWcY2IyOEPGfSMsMPePFiC0/view?usp=sharing,
Rosa nutkana,qel'qulhp,.../audio/qel'qulhp_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1qqPSUO7_CPlxlT48Z3vFfzPxOzwjPz3C/view?usp=sharing,
Holodiscus discolor,qethulhp,.../audio/qethulhp_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1XOKvfEcwmFWXdKKNJq1VGHWELrl2IRYB/view?usp=sharing,
Saxidomus gigantea,s-axwa',.../audio/s-axwa'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1qsRjg8bZB3vkpTM9WxeiOBrHe5P57x9o/view?usp=sharing,
Ardea herodias fannini,smuqw'a',.../audio/smuqw'a'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1TLx8RRF9DuJhjnjhW4gp-pRZ2bmfJGHg/view?usp=sharing,
Ribes bracteosum,sp'eetth',.../audio/sp'eetth'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1FObhdMHfr-jhPOxsnXMNdfuUXy9-Brbm/view?usp=sharing,
Camassia quamash,speenhw,.../audio/speenhw_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1Du5lkqPvGPGEgGKraV-QWfFqxrs2z8hT/view?usp=sharing,
Castor canadensis,sqwul'ew',,,.../video/sqwul'ew'_Galiano_Island_Austin_Baines_Levi_Wilson_2022-02-20.MP4
Polystichum munitum,sthxélem,.../audio/sthxélem_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1Im2aTuTWcRMz5itPoZioIpCxXeNpIuXm/view?usp=sharing,
Typha latifolia,stth'e'qun,,,.../video/stth'e'qun_Galiano_Island_Austin_Baines_Levi_Wilson_2022-02-20.MP4
Berberis aquifolium,suniiulhp ,.../audio/suniiulhp_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1GPrRGo5WlcXlpskv5AKzLWp9HZe_BUPe/view?usp=sharing,
Tresus,sweem,.../audio/sweem_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1Vyb10OAHLUY9VEFAoXTF-5IsSp4vJb8k/view?usp=sharing,
Abies grandis,t'a'hw,.../audio/t'a'hw_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/10xF1zjroJJksmGVJRBAEVoqxnUZQJ9nU/view?usp=sharing,
Gaultheria shallon,t'eqe',.../audio/t'eqe'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1lwMPgqB3RNoJIh3xB2sl083WI3Q7tXn0/view?usp=sharing,.../video/t'eqe'_Galiano_Island_Austin_Baines_Levi_Wilson_2022-02-20.MP4
Rubus parviflorus,t'uqwum',.../audio/t'uqwum'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1lhR2lz9P1dEuDk6MHh7os3l4-R_4WA9j/view?usp=sharing,
Apostichopus californicus,thikwt,.../audio/thikwt_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1IOfC7vh0kWYl9Ax2esqYfrsTXhPxVuz8/view?usp=sharing,
Oncorhynchus nerka,thuqi',.../audio/thuqi'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.wav,https://drive.google.com/file/d/1IxIX5QyqdSPAwwiMUMo4SwMOXvO_DgiQ/view?usp=sharing,
Pseudotsuga menziesii,ts'sey',.../audio/ts'sey'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1nE5mHJ-mDicVf7B64vWvarHJCOI1deeV/view?usp=sharing,.../video/ts'sey'_Galiano_Island_Austin_Baines_Levi_Wilson_2022-02-20.MP4
Thuja plicata,xpey',.../audio/xpey'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/14p-LKmBnVXP0uaaupbfvIr9z8t3JzZrj/view?usp=sharing,.../video/xpey'_Galiano_Island_Austin_Baines_Levi_Wilson_2022-02-20.mov
Haliaeetus leucocephalus,yuxwule',.../audio/yuxwule'_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.WAV,https://drive.google.com/file/d/1q55Lr2y75UwL2lthr2IZHL7zH0DTrUiX/view?usp=sharing,
