iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,commonName,Author,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Institution Code,First Place Name,First Catalogue Number,First observationId,First Date Reported,Last Reported By,Last Source,Last Institution Code,Last Place Name,Last Catalogue Number,Last observationId,Last Date Reported,foodValue,medicinalValue,spiritualValue,materialValue,tradeValue,indicatorValue,hulquminumName,hulquminumAuthority,audioLink,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,iNaturalistTaxonImage,wikipediaSummary
Solanum americanum,59035,Solanum americanum,0,accepted,American black nightshade,,1,"{""iNat:62566198"":[48.944297,-123.507942]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,,Solanaceae,Solanoideae,Solaneae,Solanum,americanum,,iNat,,,,iNat:62566198,2020-09-07T18:11:36.000Z,,iNat,,,,iNat:62566198,2020-09-07T18:11:36.000Z,,,,,,,,,,accepted,59035,Solanum americanum,https://static.inaturalist.org/photos/347090049/medium.jpeg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Solanum americanum</b></i>, commonly known as <b>American black nightshade</b>, <b>small-flowered nightshade</b> or <b>glossy nightshade</b>, is a herbaceous flowering plant of wide though uncertain native range. The certain native range encompasses the tropics and subtropics of the Americas, Melanesia, New Guinea, and Australia.
</p><p>The plant is widely naturalised around the tropical Pacific and Indian Oceans</p>..."
Pleurotus dryinus,334340,Pleurotus dryinus,0,accepted,Veiled Oyster,,1,"{""iNat:63214073"":[48.943265,-123.50772]}",Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,,Pleurotaceae,,,Pleurotus,dryinus,,iNat,,,,iNat:63214073,2020-10-22T02:13:53.000Z,,iNat,,,,iNat:63214073,2020-10-22T02:13:53.000Z,,,,,,,,,,accepted,334340,Pleurotus dryinus,https://inaturalist-open-data.s3.amazonaws.com/photos/94292630/medium.jpeg,"<p class=""mw-empty-elt"">
</p>



<p><i><b>Pleurotus dryinus</b></i>, commonly known as the <b>veiled oyster mushroom</b>, is a species of fungus in the family Pleurotaceae. It grows on dead wood and is also a weak pathogen; infecting especially broad-leaved trees.
</p>


"
Scytinium polycarpum,532312,Scytinium polycarpum,0,accepted,Peacock Vinyl Lichen,,1,"{""iNat:69186422"":[48.943981,-123.5031]}",Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Collemataceae,,,Scytinium,polycarpum,Andrew Simon,iNat,,,,iNat:69186422,2021-02-06T21:54:00.000Z,Andrew Simon,iNat,,,,iNat:69186422,2021-02-06T21:54:00.000Z,,,,,,,,,,accepted,532312,Scytinium polycarpum,https://inaturalist-open-data.s3.amazonaws.com/photos/67586578/medium.jpeg,
Gomphidius subroseus,48428,Gomphidius subroseus,0,accepted,Rosy Slime Spike,,1,"{""iNat:69881119"":[48.939848,-123.495148]}",Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,,Gomphidiaceae,,,Gomphidius,subroseus,,iNat,,,,iNat:69881119,2020-12-25T19:05:55.000Z,,iNat,,,,iNat:69881119,2020-12-25T19:05:55.000Z,,,,,,,,,,accepted,48428,Gomphidius subroseus,https://inaturalist-open-data.s3.amazonaws.com/photos/220331797/medium.jpg,"<p class=""mw-empty-elt"">
</p>




<p><i><b>Gomphidius subroseus</b></i>, commonly known as the <b>rosy gomphidius</b> is a gilled mushroom found in Europe and North America. It was first described by Calvin Henry Kauffman in 1925. It was once thought to be mycorrhizal with Pinus sylvestris. However, Olson <i>et al.</i> (2002) found it to be more likely to be parasitic on <i>Suillus bovinus</i>, which is mycorrhizal with <i>Pinus sylvestris</i>, <i></i></p>..."
Tamiasciurus hudsonicus,46260,Tamiasciurus hudsonicus,0,accepted,American Red Squirrel,,6,"{""iNat:70000181"":[48.939888,-123.495364],""iNat:164000109"":[48.94413,-123.514847],""iNat:164200414"":[48.943225,-123.513962],""iNat:165232841"":[48.943167,-123.513281],""Hunterston:167"":[48.942881,-123.511658],""Hunterston:394"":[48.945177,-123.511947]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Sciuromorpha,,,Sciuridae,Sciurinae,Sciurini,Tamiasciurus,hudsonicus,,Hunterston,,,,Hunterston:167,2010-05-22T00:00:00.000Z,,iNat,,,,iNat:164200414,2023-05-28T13:49:14.000Z,,,,,,,,,,accepted,46260,Tamiasciurus hudsonicus,https://inaturalist-open-data.s3.amazonaws.com/photos/113299756/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p>The <b>American red squirrel</b> (<i><b>Tamiasciurus hudsonicus</b></i>) is one of three species of tree squirrels currently classified in the genus <i>Tamiasciurus</i>, known as the pine squirrels (the others are the Douglas squirrel, <i>T. douglasii</i>, and the southwestern red squirrel, <i>T. fremonti</i>). The American red squirrel is variously known as the <b>pine squirrel</b> or <b>piney squirrel</b>, <b>North</b></p>..."
Rubus bifrons,168025,Rubus bifrons,0,accepted,Himalayan Blackberry,,7,"{""iNat:70065788"":[48.942278,-123.499644],""iNat:72321442"":[48.942388,-123.50117],""iNat:72321462"":[48.94176,-123.50083],""iNat:72321493"":[48.942658,-123.500825],""Hunterston:102"":[48.942487,-123.512044],""Hunterston:388"":[48.945177,-123.511947],""Hunterston:470"":[48.943615,-123.511616]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Rubeae,Rubus,bifrons,,Hunterston,,,,Hunterston:102,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,,iNat:72321442,2021-03-17T21:47:00.000Z,,,,,,,,,,accepted,168025,Rubus bifrons,https://inaturalist-open-data.s3.amazonaws.com/photos/955171/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Rubus bifrons</b></i>, the <b>European blackberry</b> or <b>Himalayan blackberry</b>, is a European species of flowering plant in the rose family. It is widespread across much of Europe and naturalized in scattered parts of North America. It is sometimes considered to include the species <i>R. armeniacus</i>.
</p><p><i>Rubus bifrons</i> is a spiny shrub up to 50&#160;cm (20 inches) tall. Stems are biennial, arching</p>..."
Alnus rubra,56034,Alnus rubra,0,accepted,Red Alder,,13,"{""iNat:70065789"":[48.942278,-123.499644],""iNat:70065796"":[48.94226,-123.499682],""iNat:70065804"":[48.948131,-123.5021],""iNat:72321449"":[48.94231,-123.501218],""iNat:107022554"":[48.948597,-123.502387],""iNat:107022578"":[48.946818,-123.502087],""iNat:107022589"":[48.947452,-123.499992],""iNat:107022594"":[48.947419,-123.500347],""iNat:165063929"":[48.945992,-123.515992],""Hunterston:128"":[48.942881,-123.511658],""Hunterston:224"":[48.944023,-123.512632],""Hunterston:361"":[48.945177,-123.511947],""Hunterston:416"":[48.943615,-123.511616]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,,Betulaceae,,,Alnus,rubra,,Hunterston,,,,Hunterston:128,2010-05-22T00:00:00.000Z,Zeke Gilmore,iNat,,,,iNat:165063929,2023-05-27T21:32:26.000Z,1,1,1,1,0,0,kwulala'ulhp,"(Thom, 2011)",audio/kwulala_ulhp_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.mp3,accepted,56034,Alnus rubra,https://inaturalist-open-data.s3.amazonaws.com/photos/50900970/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Alnus rubra</b></i>, the <b>red alder</b>,
is a deciduous broadleaf tree native to western North America (Alaska, Yukon, British Columbia, Washington, Oregon, California, Idaho and Montana).
</p>


"
Polystichum munitum,47751,Polystichum munitum,0,accepted,western sword fern,,21,"{""iNat:70065791"":[48.942278,-123.499644],""iNat:70065807"":[48.947957,-123.50179],""iNat:70065820"":[48.947648,-123.501255],""iNat:70065833"":[48.943298,-123.501238],""iNat:70065838"":[48.943895,-123.502875],""iNat:72321472"":[48.94173,-123.500915],""iNat:107022550"":[48.948648,-123.50279],""iNat:107022565"":[48.94751,-123.502353],""iNat:107022585"":[48.947568,-123.500575],""iNat:127404407"":[48.942422,-123.501113],""iNat:164032700"":[48.943973,-123.509918],""iNat:164091505"":[48.94394,-123.512741],""iNat:164150233"":[48.943916,-123.510081],""iNat:164150240"":[48.944026,-123.510216],""iNat:164151150"":[48.944485,-123.51468],""iNat:165063492"":[48.943878,-123.513353],""Hunterston:204"":[48.94348,-123.512527],""Hunterston:265"":[48.944023,-123.512632],""Hunterston:328"":[48.945869,-123.51375],""Hunterston:383"":[48.945177,-123.511947],""Hunterston:462"":[48.943615,-123.511616]}",Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Polypodiineae,,,Dryopteridaceae,Dryopteridoideae,,Polystichum,munitum,,Hunterston,,,,Hunterston:204,2010-05-22T00:00:00.000Z,Zeke Gilmore,iNat,,,,iNat:165063492,2023-05-27T21:54:37.000Z,,,,,,,sthxélem,"(Turner, 2014)",audio/sthxélem_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.mp3,accepted,47751,Polystichum munitum,https://inaturalist-open-data.s3.amazonaws.com/photos/879722/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Polystichum munitum</b></i>, the <b>western swordfern</b>, is an evergreen perennial fern native to western North America, where it is one of the most abundant ferns in forested areas. It occurs along the Pacific coast from southeastern Alaska to southern California, and also inland east to southeastern British Columbia, northern Idaho and western Montana, with disjunctive populations in northern British Columbia</p>..."
Urtica dioica,51884,Urtica dioica,0,accepted,great stinging nettle,,3,"{""iNat:70065793"":[48.942278,-123.499644],""iNat:164150277"":[48.944855,-123.51539],""Hunterston:120"":[48.942487,-123.512044]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Urticaceae,,,Urtica,dioica,,Hunterston,,,,Hunterston:120,2010-05-22T00:00:00.000Z,Jackson W.F. Chu,iNat,,,,iNat:164150277,2023-05-27T18:40:00.000Z,1,1,1,1,0,0,tth'uxtth'ux,"(Thom, 2011)",,accepted,51884,Urtica dioica,https://inaturalist-open-data.s3.amazonaws.com/photos/144861756/medium.jpeg,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1236090951"" />
<p class=""mw-empty-elt"">

</p>

<p><i><b>Urtica dioica</b></i>, often known as <b>common nettle</b>, <b>burn nettle</b>, <b>stinging nettle</b> (although not all plants of this species sting) or <b>nettle leaf</b>, or just a <b>nettle</b> or <b>stinger</b>, is a herbaceous perennial flowering plant in the family Urticaceae. Originally native to Europe, much of temperate</p>..."
Galium aparine,53059,Galium aparine,0,accepted,catchweed bedstraw,,13,"{""iNat:70065794"":[48.942278,-123.499644],""iNat:77930109"":[48.949295,-123.510462],""iNat:107022555"":[48.948592,-123.502372],""iNat:107022557"":[48.94826,-123.502075],""iNat:164148510"":[48.94373,-123.50971],""iNat:164150237"":[48.94397,-123.51029],""iNat:164354323"":[48.944358,-123.517495],""Hunterston:144"":[48.942881,-123.511658],""Hunterston:186"":[48.94348,-123.512527],""Hunterston:242"":[48.944023,-123.512632],""Hunterston:300"":[48.945869,-123.51375],""Hunterston:369"":[48.945177,-123.511947],""Hunterston:437"":[48.943615,-123.511616]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Rubiaceae,Rubioideae,Rubieae,Galium,aparine,,Hunterston,,,,Hunterston:144,2010-05-22T00:00:00.000Z,Joan Septembre,iNat,,,,iNat:164354323,2023-05-28T14:09:27.000Z,,,,,,,xw ə́ m’kw ’eyathən,"(Turner, 2014)",,accepted,53059,Galium aparine,https://inaturalist-open-data.s3.amazonaws.com/photos/79984095/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Galium aparine</b></i>, with common names including <b>cleavers</b>, <b>clivers</b>, <b>catchweed</b>, <b>robin-run-the-hedge</b>, <b>goosegrass</b>,and <b>sticky willy</b>, is an annual, herbaceous plant of the family Rubiaceae.
</p>


"
Picea abies,63567,Picea abies,0,accepted,Norway spruce,,1,"{""iNat:70065795"":[48.942325,-123.499602]}",Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Pinoideae,,Picea,abies,Andrew Simon,iNat,,,,iNat:70065795,2021-02-06T20:23:00.000Z,Andrew Simon,iNat,,,,iNat:70065795,2021-02-06T20:23:00.000Z,,,,,,,,,,accepted,63567,Picea abies,https://static.inaturalist.org/photos/21333741/medium.jpeg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Picea abies</b></i>, the <b>Norway spruce</b> or <b>European spruce</b>, is a species of spruce native to Northern, Central and Eastern Europe.
</p><p>It has branchlets that typically hang downwards, and the largest cones of any spruce, 9–17 cm long. It is very closely related to the Siberian spruce (<i>Picea obovata</i>), which replaces it east of the Ural Mountains, and with which it hybridizes freely. The</p>..."
Castor canadensis,43794,Castor canadensis,0,accepted,American Beaver,,2,"{""iNat:70065802"":[48.948127,-123.502025],""iNat:101447284"":[48.948216,-123.501728]}",Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Castorimorpha,,,Castoridae,,,Castor,canadensis,Andrew Simon,iNat,,,,iNat:70065802,2021-02-06T20:53:00.000Z,,iNat,,,,iNat:101447284,2021-11-18T07:45:40.000Z,1,1,1,1,1,1,sqwul'ew',"(Thom, 2011)",,accepted,43794,Castor canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/249990599/medium.jpeg,"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">
</p>

<p>The <b>North American beaver</b> (<i><b>Castor canadensis</b></i>) is one of two extant beaver species, along with the Eurasian beaver (<i>Castor fiber</i>). It is native to North America and has been introduced in South America (Patagonia) and Europe (primarily Finland and Karelia). The North American beaver is one of the official national wildlife of Canada symbols and is the official</p>..."
Hylocomium splendens,122555,Hylocomium splendens,0,accepted,stairstep moss,,6,"{""iNat:70065808"":[48.948045,-123.501065],""iNat:164039204"":[48.945204,-123.510675],""iNat:164150256"":[48.94441,-123.510256],""Hunterston:192"":[48.94348,-123.512527],""Hunterston:308"":[48.945869,-123.51375],""Hunterston:375"":[48.945177,-123.511947]}",Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Hylocomiaceae,,,Hylocomium,splendens,,Hunterston,,,,Hunterston:192,2010-05-22T00:00:00.000Z,Spencer Shields,iNat,,,,iNat:164039204,2023-05-27T18:13:32.000Z,,,,,,,,,,accepted,122555,Hylocomium splendens,https://inaturalist-open-data.s3.amazonaws.com/photos/74835/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Hylocomium splendens</b></i>, commonly known as <b>glittering woodmoss</b>, <b>splendid feather moss</b>, <b>stairstep moss</b>, and <b>mountain fern moss</b>, is a perennial clonal moss with a widespread distribution in Northern Hemisphere boreal forests. It is commonly found in Europe, Russia, Alaska and Canada, where it is often the most abundant moss species. It also grows in the Arctic tundra and further</p>..."
Abies grandis,63690,Abies grandis,0,accepted,grand fir,,4,"{""iNat:70065824"":[48.944184,-123.516791],""iNat:72321450"":[48.942042,-123.501412],""iNat:107022560"":[48.947975,-123.50166],""Hunterston:358"":[48.945177,-123.511947]}",Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Abietoideae,,Abies,grandis,,Hunterston,,,,Hunterston:358,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,,iNat:107022560,2022-02-19T01:20:00.000Z,1,1,1,1,1,1,t'a'hw,"(Thom, 2011)",audio/t_a_hw_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.mp3,accepted,63690,Abies grandis,https://inaturalist-open-data.s3.amazonaws.com/photos/83838154/medium.jpeg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Abies grandis</b></i> (<b>grand fir</b>, <b>giant fir</b>, <b>lowland white fir</b>, <b>great silver fir</b>, <b>western white fir</b>, <b>Vancouver fir</b>, or <b>Oregon fir</b>) is a fir native to northwestern North America, occurring at altitudes of sea level to 1,700 metres (5,600&#160;ft). It is a major constituent of the Grand Fir/Douglas Fir Ecoregion of the Cascade Range.
</p><p>The tree typically grows to</p>..."
Atrichum selwynii,55331,Atrichum selwynii,0,accepted,Selwyn's Smoothcap,,1,"{""iNat:70065829"":[48.945227,-123.49979]}",Plantae,Bryophyta,,,Polytrichopsida,,,Polytrichales,,,,Polytrichaceae,,,Atrichum,selwynii,Andrew Simon,iNat,,,,iNat:70065829,2021-02-06T21:37:00.000Z,Andrew Simon,iNat,,,,iNat:70065829,2021-02-06T21:37:00.000Z,,,,,,,,,,accepted,55331,Atrichum selwynii,https://inaturalist-open-data.s3.amazonaws.com/photos/64044/medium.jpg,
Claopodium,67870,Claopodium,0,accepted,claopodium mosses,,1,"{""iNat:70065834"":[48.943448,-123.501852]}",Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Brachytheciaceae,,,Claopodium,,Andrew Simon,iNat,,,,iNat:70065834,2021-02-06T21:47:00.000Z,Andrew Simon,iNat,,,,iNat:70065834,2021-02-06T21:47:00.000Z,,,,,,,,,,accepted,67870,Claopodium,https://inaturalist-open-data.s3.amazonaws.com/photos/112419228/medium.jpg,
Plagiomnium venustum,126179,Plagiomnium venustum,0,accepted,magnificent leafy moss,,1,"{""iNat:70065841"":[48.945073,-123.5056]}",Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Mniaceae,,,Plagiomnium,venustum,Andrew Simon,iNat,,,,iNat:70065841,2021-02-06T22:01:00.000Z,Andrew Simon,iNat,,,,iNat:70065841,2021-02-06T22:01:00.000Z,,,,,,,,,,accepted,126179,Plagiomnium venustum,https://inaturalist-open-data.s3.amazonaws.com/photos/172074098/medium.jpeg,"<i><b>Plagiomnium venustum,</b></i> also known as <b>magnificent leafy moss,</b> is a species of moss belonging to the family Mniaceae. It is found mainly in western North America along the coastal region. This moss can be identified from other members of the Plagiomnium genus by dark coloured stomata guide cells and the absence of sterile stems. It is most commonly found growing as a mat on a variety of substrate, but mainly on humus and moist soil."
Nucella,69999,Nucella,0,accepted,,,2,"{""iNat:70635953"":[48.941507,-123.50282],""Hunterston:525"":[48.942866,-123.509651]}",Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Ocenebrinae,,Nucella,,,Hunterston,,,,Hunterston:525,2010-05-22T00:00:00.000Z,Jeannine Dawn,iNat,,,,iNat:70635953,2021-02-21T16:08:00.000Z,,,,,,,,,,accepted,69999,Nucella,https://inaturalist-open-data.s3.amazonaws.com/photos/1557245/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Nucella</b></i>, common name <b>dog whelks</b> or <b>dog winkles</b>, is a genus of small to medium-sized predatory sea snails, marine gastropod mollusks in the subfamily Ocenebrinae which is part of the large family Muricidae, the murex snails or rock snails.
</p>


"
Actinopterygii,47178,Actinopterygii,0,accepted,Ray-finned Fishes,,4,"{""iNat:70635955"":[48.941739,-123.502307],""iNat:124069850"":[48.939701,-123.501656],""iNat:171079645"":[48.940156,-123.501054],""iNat:208055772"":[48.939882,-123.501389]}",Animalia,Chordata,Vertebrata,,Actinopterygii,,,,,,,,,,,,Jeannine Dawn,iNat,,,,iNat:70635955,2021-02-21T16:20:00.000Z,Kendall McLaughlin,iNat,,,,iNat:208055772,2024-04-17T21:45:50.000Z,1,1,1,0,1,0,t'emkw',"(Thom, 2011)",,accepted,47178,Actinopterygii,https://inaturalist-open-data.s3.amazonaws.com/photos/252526503/medium.jpg,"<p class=""mw-empty-elt"">

</p>

<p><b>Actinopterygii</b> (<span></span>; from <i> <i lang=""mul"">actino-</i></i>&#160;'having rays' and Ancient Greek <i> </i><span lang=""grc"">πτέρυξ</span><i> (ptérux)</i>&#160;'wing, fins'), members of which are known as <b>ray-finned fish</b> or <b>actinopterygians</b>, is a class of bony fish that comprise over 50% of living vertebrate species. They are so called because of their lightly built fins made of webbings of skin</p>..."
Trametes versicolor,54134,Trametes versicolor,0,accepted,turkey-tail,,4,"{""iNat:70635957"":[48.941894,-123.500841],""iNat:100723329"":[48.9497,-123.514],""iNat:203848900"":[48.945371,-123.495416],""Hunterston:280"":[48.944023,-123.512632]}",Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,,Polyporaceae,,,Trametes,versicolor,,Hunterston,,,,Hunterston:280,2010-05-22T00:00:00.000Z,,iNat,,,,iNat:203848900,2024-03-24T00:43:00.000Z,,,,,,,,,,accepted,54134,Trametes versicolor,https://inaturalist-open-data.s3.amazonaws.com/photos/170051685/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Trametes versicolor</b></i>&#160;– also known as <i>Coriolus versicolor</i> and <i>Polyporus versicolor&#160;– </i>is a common polypore mushroom found throughout the world. Meaning 'of several colors', <i>versicolor</i> accurately describes this fungus that displays a unique blend of markings. Additionally, owing to its shape being similar to that of a wild turkey's tail feathers, <i>T.&#160;versicolor</i> is most commonly</p>..."
Pentagramma triangularis,52676,Pentagramma triangularis,0,accepted,goldback fern,,15,"{""iNat:72213445"":[48.943025,-123.507315],""iNat:72321419"":[48.938658,-123.50027],""iNat:72321428"":[48.938668,-123.500213],""iNat:72923673"":[48.938712,-123.500347],""iNat:107193925"":[48.94236,-123.511207],""iNat:164028110"":[48.943734,-123.510162],""iNat:164032347"":[48.944381,-123.510183],""iNat:164150232"":[48.94392,-123.51003],""iNat:164354781"":[48.944337,-123.517508],""iNat:164355309"":[48.944305,-123.517617],""iNat:164368900"":[48.94345,-123.510392],""iNat:164524989"":[48.943592,-123.515133],""iNat:167770428"":[48.944306,-123.517579],""iNat:171622940"":[48.944987,-123.512955],""Hunterston:94"":[48.942487,-123.512044]}",Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Pteridineae,,,Pteridaceae,Cheilanthoideae,,Pentagramma,triangularis,,Hunterston,,,,Hunterston:94,2010-05-22T00:00:00.000Z,Joan Septembre,iNat,,,,iNat:164354781,2023-05-28T14:02:17.000Z,,,,,,,,,,accepted,52676,Pentagramma triangularis,https://inaturalist-open-data.s3.amazonaws.com/photos/302400/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Pentagramma triangularis</b></i>, commonly known as the <b>gold fern</b> or the <b>goldback fern</b>, is a species of fern in the family Pteridaceae, native to Western North America, with highest abundance in the state of California. Its common name ""goldback"" refers to the light yellow color of the fern's protective coating which inhibits moisture loss. The gold texture appears as a dry powder that is excreted</p>..."
Noctua pronuba,81687,Noctua pronuba,0,accepted,Large Yellow Underwing,,1,"{""iNat:72321406"":[48.939397,-123.501285]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Noctuoidea,Noctuidae,Noctuinae,Noctuini,Noctua,pronuba,Andrew Simon,iNat,,,,iNat:72321406,2021-03-17T22:27:00.000Z,Andrew Simon,iNat,,,,iNat:72321406,2021-03-17T22:27:00.000Z,,,,,,,,,,accepted,81687,Noctua pronuba,https://inaturalist-open-data.s3.amazonaws.com/photos/162042927/medium.jpg,"<p class=""mw-empty-elt"">
</p>


<p>The <b>large yellow underwing</b> (<i>Noctua pronuba</i>) is a moth, the type species for the family Noctuidae. It is an abundant species throughout the Palearctic realm, one of the most common and most familiar moths of the region. In some years the species is highly migratory with large numbers appearing suddenly in marginal parts of the range.
</p><p>It is also present in Europe, North Africa, Canary Islands,</p>..."
Pyropia,370272,Pyropia,0,accepted,,,5,"{""iNat:72321407"":[48.939363,-123.501238],""iNat:72321481"":[48.941577,-123.502798],""iNat:163885531"":[48.939639,-123.501508],""iNat:164152108"":[48.94328,-123.51005],""iNat:164357385"":[48.943122,-123.508172]}",Plantae,Rhodophyta,Eurhodophytina,,Bangiophyceae,,,Bangiales,,,,Bangiaceae,,,Pyropia,,Andrew Simon,iNat,,,,iNat:72321481,2021-03-17T21:14:00.000Z,Joan Septembre,iNat,,,,iNat:164357385,2023-05-27T21:28:51.000Z,1,0,0,0,1,0,lhuq'us,"(Thom, 2011)",audio/lhuq_us_Levi_Wilson_&_Emily_Menzies_Galiano_Island_2022-02-20.mp3,accepted,370272,Pyropia,https://inaturalist-open-data.s3.amazonaws.com/photos/10546249/medium.jpeg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Pyropia</b></i> is a genus of red algae in the family Bangiaceae. It is found around the world in intertidal zones and shallow water. The genus has folding frond-like blades which are either red, brown or green. Some <i>Pyropia</i> species are used to create nori, and are thus important subjects for aquaculture.
</p>


"
Coleoptera,47208,Coleoptera,0,accepted,Beetles,,2,"{""iNat:72321411"":[48.938693,-123.500332],""iNat:164151166"":[48.944218,-123.514486]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,,,,,,,,,Andrew Simon,iNat,,,,iNat:72321411,2021-03-17T22:10:00.000Z,Jackson W.F. Chu,iNat,,,,iNat:164151166,2023-05-27T19:30:00.000Z,,,,,,,,,,accepted,47208,Coleoptera,https://inaturalist-open-data.s3.amazonaws.com/photos/15152305/medium.jpg,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1236090951"" />
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1236090951"" />
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1236090951"" />
<p class=""mw-empty-elt"">


</p>

<p><b>Beetles</b> are insects that form the order <b>Coleoptera</b> (<span></span>), in the superorder Holometabola. Their front pair of wings are hardened into wing</p>..."
Latrodectus hesperus,47382,Latrodectus hesperus,0,accepted,Western Black Widow,,3,"{""iNat:72321415"":[48.938703,-123.500397],""iNat:107193917"":[48.942358,-123.511202],""iNat:164140190"":[48.943267,-123.51452]}",Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Entelegynae,Araneoidea,Theridiidae,Latrodectinae,,Latrodectus,hesperus,Andrew Simon,iNat,,,,iNat:72321415,2021-03-17T22:02:00.000Z,,iNat,,,,iNat:164140190,2023-05-27T20:42:15.000Z,,,,,,,,,,accepted,47382,Latrodectus hesperus,https://inaturalist-open-data.s3.amazonaws.com/photos/10922611/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><i><b>Latrodectus hesperus</b></i>, the <b>western black widow spider</b> or <b>western widow</b>, is a venomous spider species found in western regions of North America. The female's body is 14–16&#160;mm (1/2 in) in length and is black, often with an hourglass-shaped red mark on the lower abdomen. This ""hourglass"" mark can be yellow, and on rare occasions, white. The male of the species is around half this length and</p>..."
Empididae,49460,Empididae,0,accepted,Dance Flies,,1,"{""iNat:72321420"":[48.938665,-123.500273]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Orthorrhapha,Empidoidea,Empididae,,,,,Andrew Simon,iNat,,,,iNat:72321420,2021-03-17T21:57:00.000Z,Andrew Simon,iNat,,,,iNat:72321420,2021-03-17T21:57:00.000Z,,,,,,,,,,accepted,49460,Empididae,https://inaturalist-open-data.s3.amazonaws.com/photos/31053633/medium.jpg,"<p class=""mw-empty-elt"">
</p>

<p><b>Empididae</b> is a family of flies with over 3,000 described species occurring worldwide in all the biogeographic realms but the majority are found in the Holarctic. They are mainly predatory flies like most of their relatives in the Empidoidea, and exhibit a wide range of forms but are generally small to medium-sized, non-metallic and rather bristly.
</p><p>Common names for members of this family are <b>dagger</b></p>..."
