iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Pisaster ochraceus,49699,Pisaster ochraceus,30,"{""PMLS:33"":[48.939813,-123.501514],""PMLS:2710"":[48.94167,-123.51333],""PMLS:3062"":[48.94167,-123.51333],""PMLS:15390"":[48.939813,-123.501514],""PMLS:16263"":[48.938826,-123.501192],""PMLS:16434"":[48.938826,-123.501192],""PMLS:17224"":[48.938826,-123.501192],""iNat:3369533"":[48.940049,-123.501196],""iNat:6309348"":[48.941318,-123.505082],""iNat:7647291"":[48.940508,-123.501151],""iNat:7674354"":[48.941262,-123.504715],""iNat:12970639"":[48.940819,-123.503295],""iNat:14775044"":[48.941123,-123.504136],""iNat:14775045"":[48.940906,-123.503288],""iNat:15702527"":[48.941237,-123.504291],""iNat:15702538"":[48.941172,-123.503545],""iNat:15702546"":[48.941018,-123.503394],""iNat:15726101"":[48.940653,-123.502224],""iNat:24588676"":[48.939533,-123.501725],""iNat:25859725"":[48.940278,-123.500556],""iNat:45326864"":[48.93977,-123.500968],""iNat:68195079"":[48.939469,-123.501653],""iNat:69181292"":[48.939222,-123.501847],""iNat:84766649"":[48.941479,-123.50108],""iNat:82796380"":[48.93945,-123.501428],""iNat:100015491"":[48.940772,-123.505704],""iNat:103178037"":[48.941082,-123.502597],""iNat:107422974"":[48.939281,-123.501726],""iNat:107457332"":[48.939372,-123.503078],""Hunterston:334"":[48.943,-123.5]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,Pisaster ochraceus,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,iNat,,,2022-02-26T00:23:00.000Z,,,,,,,,
Pisaster brevispinus,49539,Pisaster brevispinus,20,"{""PMLS:34"":[48.939813,-123.501514],""PMLS:2709"":[48.94167,-123.51333],""PMLS:3063"":[48.94167,-123.51333],""PMLS:15391"":[48.939813,-123.501514],""PMLS:16264"":[48.938826,-123.501192],""PMLS:16435"":[48.938826,-123.501192],""PMLS:17225"":[48.938826,-123.501192],""PMLS:18482"":[48.938826,-123.501192],""PMLS:18517"":[48.939813,-123.501514],""iNat:4052572"":[48.94108,-123.501348],""iNat:7647280"":[48.940113,-123.500722],""iNat:12744163"":[48.94118,-123.504279],""iNat:15726106"":[48.94116,-123.50386],""iNat:24797936"":[48.939591,-123.504847],""iNat:30009624"":[48.938922,-123.502289],""iNat:68181371"":[48.939363,-123.501475],""iNat:69181307"":[48.939222,-123.501847],""iNat:97172667"":[48.940799,-123.503227],""iNat:97205559"":[48.940799,-123.503227],""Hunterston:333"":[48.943,-123.5]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Pisaster,Pisaster brevispinus,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,2021-02-06T23:30:00.000Z,,,,,,,,
Evasterias troschelii,84265,Evasterias troschelii,20,"{""PMLS:35"":[48.939813,-123.501514],""PMLS:2707"":[48.94167,-123.51333],""PMLS:3064"":[48.94167,-123.51333],""PMLS:15392"":[48.939813,-123.501514],""PMLS:16265"":[48.938826,-123.501192],""PMLS:16436"":[48.938826,-123.501192],""PMLS:17226"":[48.938826,-123.501192],""PMLS:18518"":[48.939813,-123.501514],""iNat:6298907"":[48.940751,-123.50306],""iNat:7701388"":[48.941086,-123.503861],""iNat:13029349"":[48.940582,-123.501356],""iNat:15726102"":[48.940999,-123.503964],""iNat:15726105"":[48.941318,-123.503883],""iNat:24792561"":[48.939591,-123.504847],""iNat:30009635"":[48.938922,-123.502289],""iNat:45326870"":[48.93977,-123.500968],""iNat:45326875"":[48.94028,-123.502513],""iNat:68195086"":[48.939469,-123.501653],""iNat:97172663"":[48.940799,-123.503227],""iNat:107457324"":[48.939372,-123.503078]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Evasterias,Evasterias troschelii,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,iNat,,,2022-02-26T00:08:00.000Z,,,,,,,,
Orthasterias koehleri,47669,Orthasterias koehleri,8,"{""PMLS:36"":[48.939813,-123.501514],""PMLS:2708"":[48.94167,-123.51333],""PMLS:3065"":[48.94167,-123.51333],""PMLS:15393"":[48.939813,-123.501514],""PMLS:16266"":[48.938826,-123.501192],""PMLS:16437"":[48.938826,-123.501192],""iNat:2976217"":[48.940301,-123.502344],""iNat:3706322"":[48.939859,-123.5047]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,,,Orthasterias,Orthasterias koehleri,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Dermasterias imbricata,63382,Dermasterias imbricata,19,"{""PMLS:37"":[48.939813,-123.501514],""PMLS:2706"":[48.94167,-123.51333],""PMLS:3066"":[48.94167,-123.51333],""PMLS:15394"":[48.939813,-123.501514],""PMLS:16267"":[48.938826,-123.501192],""PMLS:16438"":[48.938826,-123.501192],""PMLS:17227"":[48.938826,-123.501192],""PMLS:18483"":[48.938826,-123.501192],""PMLS:18519"":[48.939813,-123.501514],""iNat:2975990"":[48.94034,-123.502421],""iNat:7673053"":[48.940009,-123.50241],""iNat:10686862"":[48.939262,-123.501423],""iNat:24798607"":[48.939591,-123.504847],""iNat:30009601"":[48.938922,-123.502289],""iNat:45326872"":[48.94028,-123.502513],""iNat:68195077"":[48.939469,-123.501653],""iNat:68195092"":[48.939469,-123.501653],""iNat:69181308"":[48.939222,-123.501847],""Hunterston:132"":[48.943,-123.5]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Asteropseidae,,,Dermasterias,Dermasterias imbricata,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andrew Simon,dataPaper,,,2021-02-06T23:29:00.000Z,,,,,,,,
Henricia aspera aspera,1265168,Henricia aspera aspera,2,"{""PMLS:38"":[48.939813,-123.501514],""PMLS:3068"":[48.94167,-123.51333]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,,Echinasteridae,,,Henricia,Henricia aspera,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,1999-10-02T13:32:00.000Z,,,,,,,,
Pycnopodia helianthoides,47673,Pycnopodia helianthoides,14,"{""PMLS:39"":[48.939813,-123.501514],""PMLS:2711"":[48.94167,-123.51333],""PMLS:3070"":[48.94167,-123.51333],""PMLS:15398"":[48.939813,-123.501514],""PMLS:16270"":[48.938826,-123.501192],""PMLS:16440"":[48.938826,-123.501192],""PMLS:17229"":[48.938826,-123.501192],""PMLS:18520"":[48.939813,-123.501514],""iNat:2976203"":[48.940318,-123.502353],""iNat:7659540"":[48.941114,-123.50334],""iNat:12684294"":[48.941246,-123.504621],""iNat:12970756"":[48.940212,-123.501387],""iNat:14437140"":[48.941312,-123.505423],""iNat:15702550"":[48.941272,-123.504596]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Forcipulatacea,Forcipulatida,,,,Asteriidae,Pycnopodiinae,,Pycnopodia,Pycnopodia helianthoides,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Stefania Gorgopa,dataPaper,,,2019-05-04T12:30:00.000Z,,,,,,,,
Crossaster papposus,192687,Crossaster papposus,2,"{""PMLS:40"":[48.939813,-123.501514],""PMLS:15399"":[48.939813,-123.501514]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Crossaster,Crossaster papposus,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,2012-08-27T11:12:00.000Z,,,,,,,,
Solaster dawsoni,117692,Solaster dawsoni,5,"{""PMLS:41"":[48.939813,-123.501514],""PMLS:3071"":[48.94167,-123.51333],""PMLS:15400"":[48.939813,-123.501514],""PMLS:16271"":[48.938826,-123.501192],""PMLS:16441"":[48.938826,-123.501192]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,Solaster dawsoni,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
Solaster stimpsoni,208013,Solaster stimpsoni,5,"{""PMLS:42"":[48.939813,-123.501514],""PMLS:3072"":[48.94167,-123.51333],""PMLS:15401"":[48.939813,-123.501514],""PMLS:16272"":[48.938826,-123.501192],""PMLS:16442"":[48.938826,-123.501192]}",Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,,Solasteridae,,,Solaster,Solaster stimpsoni,Andy Lamb,dataPaper,,,1969-02-21T10:00:00.000Z,Andy Lamb,dataPaper,,,2013-10-23T11:25:00.000Z,,,,,,,,
