iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Observation count,Coordinates,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,First Reported By,First Source,First Place Name,First Catalogue Number,First Date Reported,Last Reported By,Last Source,Last Place Name,Last Catalogue Number,Last Date Reported,Food Value,Medicinal Value,Spiritual Value,Material Value,Trade Value,Indicator Value,Hulquminum Name,Hulquminum Authority
Elgaria coerulea,32064,Elgaria coerulea,2,"{""iNat:6306965"":[48.940346,-123.504353],""Hunterston:142"":[48.943,-123.51]}",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,,Anguidae,Gerrhonotinae,,Elgaria,Elgaria coerulea,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2017-05-18T20:51:00.000Z,,,,,,,,
Geranium carolinianum,58917,Geranium carolinianum,1,"{""iNat:6306968"":[48.940346,-123.504353]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,,Geraniaceae,,,Geranium,Geranium carolinianum,Andrew Simon,iNat,,,2017-05-18T20:53:00.000Z,Andrew Simon,iNat,,,2017-05-18T20:53:00.000Z,,,,,,,,
Lamium purpureum,55851,Lamium purpureum,5,"{""iNat:6306970"":[48.940346,-123.504353],""iNat:11249799"":[48.948479,-123.501727],""iNat:72321414"":[48.938703,-123.500397],""iNat:73065989"":[48.949688,-123.510942],""iNat:107193915"":[48.944081,-123.517086]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Lamioideae,Lamieae,Lamium,Lamium purpureum,Andrew Simon,iNat,,,2017-05-18T20:54:00.000Z,Andrew Simon,iNat,,,2022-02-20T22:14:00.000Z,,,,,,,,
Anthoxanthum odoratum,75475,Anthoxanthum odoratum,2,"{""iNat:6306973"":[48.940346,-123.504353],""Hunterston:28"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Anthoxanthum,Anthoxanthum odoratum,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2017-05-18T20:56:00.000Z,,,,,,,,
Arbutus menziesii,51046,Arbutus menziesii,13,"{""iNat:6306975"":[48.940346,-123.504353],""iNat:70065798"":[48.941768,-123.501322],""iNat:70065844"":[48.945625,-123.506122],""iNat:72321404"":[48.93941,-123.501208],""iNat:72321429"":[48.938645,-123.500187],""iNat:72321431"":[48.938678,-123.500198],""iNat:72321455"":[48.941682,-123.501],""iNat:107022546"":[48.948294,-123.502103],""Hunterston:32"":[48.943,-123.51],""Hunterston:33"":[48.944,-123.51],""Hunterston:34"":[48.943,-123.51],""Hunterston:35"":[48.945,-123.51],""Hunterston:36"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Arbutoideae,,Arbutus,Arbutus menziesii,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2022-02-19T01:15:00.000Z,1,1,1,1,0,1,qaanlhp,"(Thom, 2011)"
Aira caryophyllea,52694,Aira caryophyllea,1,"{""iNat:6306976"":[48.940346,-123.504353]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,,Poaceae,Pooideae,Poeae,Aira,Aira caryophyllea,Andrew Simon,iNat,,,2017-05-18T20:57:00.000Z,Andrew Simon,iNat,,,2017-05-18T20:57:00.000Z,,,,,,,,
Symphoricarpos albus laevigatus,48525,Symphoricarpos albus laevigatus,1,"{""iNat:6306977"":[48.940346,-123.504353]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,Symphoricarpos albus,Andrew Simon,iNat,,,2017-05-18T20:57:00.000Z,Andrew Simon,iNat,,,2017-05-18T20:57:00.000Z,,,,,,,,
Hylocomiadelphus triquetrus,1138381,Hylocomiadelphus triquetrus,4,"{""iNat:6306982"":[48.940346,-123.504353],""Hunterston:213"":[48.944,-123.51],""Hunterston:214"":[48.945,-123.51],""Hunterston:215"":[48.945,-123.51]}",Plantae,Bryophyta,,,Bryopsida,,,Hypnales,,,,Hylocomiaceae,,,Hylocomiadelphus,Hylocomiadelphus triquetrus,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2017-05-18T21:06:00.000Z,,,,,,,,
Nemophila parviflora,57353,Nemophila parviflora,4,"{""iNat:6306984"":[48.940346,-123.504353],""iNat:70065828"":[48.945228,-123.499785],""Hunterston:299"":[48.945,-123.51],""Hunterston:300"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Hydrophylloideae,,Nemophila,Nemophila parviflora,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2021-02-06T21:36:00.000Z,,,,,,,,
Pseudotsuga menziesii menziesii,63910,Pseudotsuga menziesii menziesii,15,"{""iNat:6306986"":[48.940346,-123.504353],""iNat:70065799"":[48.942567,-123.500838],""iNat:70065836"":[48.943743,-123.502718],""iNat:72321430"":[48.938678,-123.500198],""iNat:72321437"":[48.938647,-123.499902],""iNat:107022563"":[48.94779,-123.501413],""iNat:107022577"":[48.947117,-123.502117],""iNat:107022583"":[48.947592,-123.500925],""Hunterston:378"":[48.943,-123.51],""Hunterston:379"":[48.944,-123.51],""Hunterston:380"":[48.943,-123.51],""Hunterston:381"":[48.945,-123.51],""Hunterston:382"":[48.945,-123.51],""Hunterston:383"":[48.943,-123.51],""Hunterston:384"":[48.943,-123.51]}",Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Pseudotsuga,Pseudotsuga menziesii,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2022-02-19T01:52:00.000Z,,,,,,,,
Leucolepis acanthoneura,120870,Leucolepis acanthoneura,4,"{""iNat:6306987"":[48.940346,-123.504353],""iNat:70065837"":[48.943752,-123.502728],""Hunterston:240"":[48.944,-123.51],""Hunterston:241"":[48.945,-123.51]}",Plantae,Bryophyta,,,Bryopsida,,,Bryales,,,,Mniaceae,,,Leucolepis,Leucolepis acanthoneura,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2021-02-06T21:49:00.000Z,,,,,,,,
Fucus distichus,69155,Fucus distichus,3,"{""iNat:6570966"":[48.939352,-123.501362],""iNat:25859341"":[48.940278,-123.500556],""Hunterston:165"":[48.943,-123.5]}",Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Fucales,,,,Fucaceae,,,Fucus,Fucus distichus,,Hunterston,,,2010-05-22T00:00:00.000Z,Bridgette Clarkston,iNat,,,2019-05-04T00:00:00.000Z,1,1,1,1,0,1,qw'aqwuqw,"(Thom, 2011)"
Setophaga coronata,145245,Setophaga coronata,3,"{""iNat:7659327"":[48.940241,-123.504349],""iNat:41272727"":[48.943109,-123.492839],""Hunterston:453"":[48.945,-123.51]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Setophaga,Setophaga coronata,,Hunterston,,,2010-05-22T00:00:00.000Z,,iNat,,,2020-03-31T21:23:48.000Z,,,,,,,,
Sarcodiotheca gaudichaudii,327099,Sarcodiotheca gaudichaudii,1,"{""iNat:7659463"":[48.940647,-123.502375]}",Plantae,Rhodophyta,,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,,Solieriaceae,,,Sarcodiotheca,Sarcodiotheca gaudichaudii,Karolle Wall,iNat,,,2017-05-29T00:00:00.000Z,Karolle Wall,iNat,,,2017-05-29T00:00:00.000Z,,,,,,,,
Megaceryle alcyon,2548,Megaceryle alcyon,4,"{""iNat:7673111"":[48.940265,-123.50424],""iNat:14408170"":[48.940682,-123.503353],""iNat:18550171"":[48.948535,-123.502172],""iNat:97176968"":[48.940799,-123.503227]}",Animalia,Chordata,Vertebrata,,Aves,,,Coraciiformes,,,,Alcedinidae,,,Megaceryle,Megaceryle alcyon,Karolle Wall,iNat,,,2009-07-28T00:00:00.000Z,Andrew Simon,iNat,,,2018-07-15T21:38:00.000Z,,,,,,,,
Ardea herodias fannini,236943,Ardea herodias,2,"{""iNat:7673112"":[48.940234,-123.5044],""iNat:12744160"":[48.940241,-123.504349]}",Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Ardeidae,Ardeinae,,Ardea,Ardea herodias,Karolle Wall,iNat,,,2017-05-25T00:00:00.000Z,Karolle Wall,iNat,,,2018-05-23T00:32:00.000Z,0,1,1,1,1,1,smuqw'a',"(Thom, 2011)"
Ulva intestinalis,130197,Ulva intestinalis,2,"{""iNat:7673381"":[48.940152,-123.500829],""Hunterston:518"":[48.943,-123.5]}",Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,,Ulvaceae,,,Ulva,Ulva intestinalis,,Hunterston,,,2010-05-22T00:00:00.000Z,Karolle Wall,iNat,,,2017-05-25T00:00:00.000Z,,,,,,,,
Ulva fenestrata,152972,Ulva fenestrata,2,"{""iNat:7673384"":[48.939846,-123.501939],""iNat:72321482"":[48.941492,-123.502962]}",Plantae,Chlorophyta,,,Ulvophyceae,,,Ulvales,,,,Ulvaceae,,,Ulva,Ulva fenestrata,Karolle Wall,iNat,,,2017-05-25T00:00:00.000Z,Andrew Simon,iNat,,,2021-03-17T21:22:00.000Z,,,,,,,kwՎqeq,"(Turner, 2014)"
Nereocystis luetkeana,120499,Nereocystis luetkeana,3,"{""iNat:7674362"":[48.939874,-123.503828],""iNat:74472281"":[48.941558,-123.505449],""Hunterston:304"":[48.943,-123.5]}",Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,,Laminariaceae,,,Nereocystis,Nereocystis luetkeana,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2021-04-18T20:55:00.000Z,1,1,1,1,0,1,q'am' ,"(Thom, 2011)"
Epipactis helleborine,50717,Epipactis helleborine,1,"{""iNat:8231594"":[48.946214,-123.495104]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Orchidaceae,Epidendroideae,Neottieae,Epipactis,Epipactis helleborine,Quirin Hohendorf,iNat,,,2017-08-16T00:00:00.000Z,Quirin Hohendorf,iNat,,,2017-08-16T00:00:00.000Z,,,,,,,,
Toxomerus occidentalis,58752,Toxomerus occidentalis,1,"{""iNat:8533264"":[48.948423,-123.502468]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Cyclorrhapha,,Syrphidae,Syrphinae,Toxomerini,Toxomerus,Toxomerus occidentalis,,iNat,,,2016-03-06T00:00:00.000Z,,iNat,,,2016-03-06T00:00:00.000Z,,,,,,,,
Closterium ehrenbergii,470518,Closterium ehrenbergii,1,"{""iNat:9096764"":[48.948865,-123.503557]}",Plantae,Charophyta,,,Conjugatophyceae,,,Zygnematales,,,,Closteriaceae,,,Closterium,Closterium ehrenbergii,Lama Mark Webber,iNat,,,2017-11-15T00:00:00.000Z,Lama Mark Webber,iNat,,,2017-11-15T00:00:00.000Z,,,,,,,,
Dicranoweisia cirrata,67949,Dicranoweisia cirrata,2,"{""iNat:9843131"":[48.948312,-123.50209],""iNat:44576078"":[48.948293,-123.502148]}",Plantae,Bryophyta,,,Bryopsida,,,Dicranales,,,,Rhabdoweisiaceae,,,Dicranoweisia,Dicranoweisia cirrata,Andrew Simon,iNat,,,2018-02-10T00:00:00.000Z,Andrew Simon,iNat,,,2020-04-30T22:29:00.000Z,,,,,,,,
Turdus migratorius,12727,Turdus migratorius,8,"{""iNat:9864095"":[48.940188,-123.492371],""Hunterston:511"":[48.944,-123.51],""Hunterston:512"":[48.943,-123.51],""Hunterston:513"":[48.943,-123.51],""Hunterston:514"":[48.945,-123.51],""Hunterston:515"":[48.943,-123.51],""Hunterston:516"":[48.943,-123.51],""Hunterston:517"":[48.943,-123.51]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Turdus,Turdus migratorius,,Hunterston,,,2010-05-22T00:00:00.000Z,,iNat,,,2018-02-14T00:00:00.000Z,,,,,,,,
Corvus corax,8010,Corvus corax,3,"{""iNat:9864107"":[48.940188,-123.492371],""Hunterston:116"":[48.945,-123.51],""Hunterston:117"":[48.943,-123.51]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Corvidae,,,Corvus,Corvus corax,,Hunterston,,,2010-05-22T00:00:00.000Z,,iNat,,,2018-02-14T00:00:00.000Z,,,,,,,,
Branta canadensis,7089,Branta canadensis,5,"{""iNat:10015630"":[48.948622,-123.50301],""iNat:12219873"":[48.940214,-123.502599],""iNat:74472279"":[48.941558,-123.505449],""iNat:107022592"":[48.940811,-123.502744],""Hunterston:57"":[48.944,-123.51]}",Animalia,Chordata,Vertebrata,,Aves,,,Anseriformes,,,,Anatidae,,,Branta,Branta canadensis,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2022-02-19T02:21:00.000Z,1,1,1,1,1,0,exu,"(Thom, 2011)"
Bellis perennis,55563,Bellis perennis,6,"{""iNat:10109066"":[48.940176,-123.49229],""Hunterston:43"":[48.944,-123.51],""Hunterston:44"":[48.943,-123.51],""Hunterston:45"":[48.944,-123.51],""Hunterston:46"":[48.943,-123.51],""Hunterston:47"":[48.945,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Astereae,Bellis,Bellis perennis,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2018-03-05T00:00:00.000Z,,,,,,,,
Ixodes pacificus,60599,Ixodes pacificus,2,"{""iNat:10770029"":[48.940097,-123.504907],""iNat:12258908"":[48.940241,-123.504348]}",Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,,Ixodidae,,,Ixodes,Ixodes pacificus,Andrew Simon,iNat,,,2018-04-10T00:00:00.000Z,Andrew Simon,iNat,,,2018-05-05T00:00:00.000Z,,,,,,,,
Spergula arvensis,57005,Spergula arvensis,3,"{""iNat:10771293"":[48.939904,-123.492075],""iNat:13167211"":[48.939861,-123.49205],""iNat:18417803"":[48.939961,-123.4923]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,,Caryophyllaceae,,Sperguleae,Spergula,Spergula arvensis,Andrew Simon,iNat,,,2018-04-07T00:00:00.000Z,Andrew Simon,iNat,,,2018-06-05T00:00:00.000Z,,,,,,,,
Dolichovespula arenaria,118913,Dolichovespula arenaria,2,"{""iNat:11250322"":[48.948431,-123.50229],""iNat:26036932"":[48.948489,-123.502534]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Vespoidea,Vespidae,Vespinae,,Dolichovespula,Dolichovespula arenaria,Andrew Simon,iNat,,,2018-04-19T00:00:00.000Z,Andrew Simon,iNat,,,2018-05-15T00:00:00.000Z,,,,,,,,
Bombus flavifrons,119308,Bombus flavifrons,5,"{""iNat:11250556"":[48.940717,-123.503661],""iNat:11251029"":[48.940267,-123.492591],""iNat:14247650"":[48.948262,-123.502237],""iNat:14300215"":[48.948205,-123.502047],""iNat:14300221"":[48.948205,-123.502047]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus flavifrons,Andrew Simon,iNat,,,2018-04-19T00:00:00.000Z,Andrew Simon,iNat,,,2018-07-12T20:19:00.000Z,,,,,,,,
Anthocharis julia flora,900263,Anthocharis julia flora,2,"{""iNat:12220002"":[48.939809,-123.504251],""Hunterston:26"":[48.943,-123.51]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Pieridae,Pierinae,Anthocharidini,Anthocharis,Anthocharis julia,,Hunterston,,,2010-05-22T00:00:00.000Z,Pascale Archibald,iNat,,,2018-04-08T00:00:00.000Z,,,,,,,,
Ajuga reptans,56099,Ajuga reptans,2,"{""iNat:12345065"":[48.940271,-123.492617],""Hunterston:13"":[48.945,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Lamiaceae,Ajugoideae,,Ajuga,Ajuga reptans,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2018-05-10T00:00:00.000Z,,,,,,,,
Acer macrophyllum,48227,Acer macrophyllum,8,"{""iNat:12345089"":[48.940271,-123.492617],""iNat:70065797"":[48.941779,-123.501408],""iNat:70065816"":[48.948197,-123.501431],""iNat:72321477"":[48.941635,-123.501263],""iNat:107022586"":[48.947568,-123.500575],""Hunterston:1"":[48.943,-123.51],""Hunterston:2"":[48.945,-123.51],""Hunterston:3"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Sapindales,,,,Sapindaceae,,,Acer,Acer macrophyllum,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2022-02-19T01:54:00.000Z,1,1,1,1,1,0,"ts'alhulhp, q'um'-unulhp","(Thom, 2011)"
Agapostemon texanus,133797,Agapostemon texanus,1,"{""iNat:12576073"":[48.944818,-123.502492]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Halictidae,Halictinae,Halictini,Agapostemon,Agapostemon texanus,Andrew Simon,iNat,,,2018-05-09T00:00:00.000Z,Andrew Simon,iNat,,,2018-05-09T00:00:00.000Z,,,,,,,,
Pieris rapae,55626,Pieris rapae,1,"{""iNat:12744164"":[48.940651,-123.503604]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Papilionoidea,Pieridae,Pierinae,Pierini,Pieris,Pieris rapae,Karolle Wall,iNat,,,2018-05-20T22:39:00.000Z,Karolle Wall,iNat,,,2018-05-20T22:39:00.000Z,,,,,,,,
Bombus melanopygus,130222,Bombus melanopygus,2,"{""iNat:12744165"":[48.940241,-123.504349],""iNat:13166561"":[48.940266,-123.492687]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Aculeata,Apoidea,Apidae,Apinae,Bombini,Bombus,Bombus melanopygus,Karolle Wall,iNat,,,2018-05-20T21:47:00.000Z,Andrew Simon,iNat,,,2018-06-05T00:00:00.000Z,,,,,,,,
Spinus tristis,145310,Spinus tristis,2,"{""iNat:13066815"":[48.940309,-123.504011],""Hunterston:466"":[48.944,-123.51]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Fringillidae,,,Spinus,Spinus tristis,,Hunterston,,,2010-05-22T00:00:00.000Z,Karolle Wall,iNat,,,2018-06-03T00:39:00.000Z,,,,,,,,
Trifolium subterraneum,60201,Trifolium subterraneum,1,"{""iNat:13166702"":[48.940199,-123.492677]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,Trifolium subterraneum,Andrew Simon,iNat,,,2018-06-05T00:00:00.000Z,Andrew Simon,iNat,,,2018-06-05T00:00:00.000Z,,,,,,,,
Trifolium repens,55745,Trifolium repens,3,"{""iNat:13166856"":[48.940199,-123.492677],""Hunterston:504"":[48.944,-123.51],""Hunterston:505"":[48.945,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,Trifolium repens,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2018-06-05T00:00:00.000Z,,,,,,,,
Trifolium pratense,51875,Trifolium pratense,2,"{""iNat:13167257"":[48.939656,-123.491827],""iNat:83099623"":[48.946653,-123.497345]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Trifolieae,Trifolium,Trifolium pratense,Andrew Simon,iNat,,,2018-06-05T00:00:00.000Z,Caitlin Robinson,iNat,,,2021-06-15T04:03:19.000Z,,,,,,,,
Symphoricarpos albus,48523,Symphoricarpos albus,5,"{""iNat:13167345"":[48.939296,-123.492197],""iNat:13198923"":[48.939923,-123.503366],""iNat:17905930"":[48.941638,-123.501],""Hunterston:475"":[48.945,-123.51],""Hunterston:476"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,,Caprifoliaceae,Caprifolioideae,,Symphoricarpos,Symphoricarpos albus,,Hunterston,,,2010-05-22T00:00:00.000Z,Adam Huggins,iNat,,,2018-10-20T19:10:30.000Z,0,1,1,1,0,0,"p'up'q'iyasulhp, p'up'q'iyas, t'ets'ulhp","(Thom, 2011)"
Troglodytes pacificus,144882,Troglodytes pacificus,1,"{""iNat:13197466"":[48.949827,-123.506227]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Troglodytidae,,,Troglodytes,Troglodytes pacificus,Kevin Toomer,iNat,,,2018-06-06T22:03:49.000Z,Kevin Toomer,iNat,,,2018-06-06T22:03:49.000Z,,,,,,,,
Pipilo maculatus,9420,Pipilo maculatus,3,"{""iNat:13197825"":[48.939366,-123.501342],""Hunterston:330"":[48.943,-123.51],""Hunterston:331"":[48.945,-123.51]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Pipilo,Pipilo maculatus,,Hunterston,,,2010-05-22T00:00:00.000Z,,iNat,,,2018-06-02T20:21:22.000Z,,,,,,,,
Tachycineta bicolor,11935,Tachycineta bicolor,1,"{""iNat:13197990"":[48.948346,-123.502759]}",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Hirundinidae,,,Tachycineta,Tachycineta bicolor,,iNat,,,2018-06-03T23:18:24.000Z,,iNat,,,2018-06-03T23:18:24.000Z,,,,,,,,
Myosotis laxa,78150,Myosotis laxa,2,"{""iNat:13198888"":[48.94846,-123.501827],""Hunterston:296"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,,Boraginaceae,Cynoglossoideae,Myosotideae,Myosotis,Myosotis laxa,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2018-06-06T18:54:00.000Z,,,,,,,,
Ranunculus repens,48229,Ranunculus repens,3,"{""iNat:13198889"":[48.94846,-123.501827],""iNat:14300210"":[48.948227,-123.502731],""Hunterston:399"":[48.945,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,,Ranunculaceae,Ranunculoideae,Ranunculeae,Ranunculus,Ranunculus repens,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2018-07-12T19:32:00.000Z,,,,,,,,
Lophocampa argentata,84792,Lophocampa argentata,3,"{""iNat:13198893"":[48.94846,-123.501827],""iNat:15412699"":[48.948659,-123.502787],""Hunterston:254"":[48.943,-123.51]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Noctuoidea,Erebidae,Arctiinae,Arctiini,Lophocampa,Lophocampa argentata,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2018-06-06T19:10:00.000Z,,,,,,,,
Protodeltote albidula,228854,Protodeltote albidula,1,"{""iNat:13198898"":[48.94846,-123.501827]}",Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,Noctuoidea,Noctuidae,Eustrotiinae,,Protodeltote,Protodeltote albidula,Andrew Simon,iNat,,,2018-06-06T19:49:00.000Z,Andrew Simon,iNat,,,2018-06-06T19:49:00.000Z,,,,,,,,
Iris pseudacorus,47779,Iris pseudacorus,1,"{""iNat:13198899"":[48.94846,-123.501827]}",Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Iridaceae,Iridoideae,Irideae,Iris,Iris pseudacorus,Andrew Simon,iNat,,,2018-06-06T20:38:00.000Z,Andrew Simon,iNat,,,2018-06-06T20:38:00.000Z,,,,,,,,
Cytisus scoparius,48538,Cytisus scoparius,6,"{""iNat:13198902"":[48.94846,-123.501827],""iNat:70065800"":[48.941582,-123.501418],""iNat:70065812"":[48.948193,-123.5012],""iNat:107022579"":[48.946207,-123.501978],""Hunterston:124"":[48.943,-123.51],""Hunterston:125"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Genisteae,Cytisus,Cytisus scoparius,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2022-02-19T01:39:00.000Z,,,,,,,,
Leucanthemum vulgare,56057,Leucanthemum vulgare,1,"{""iNat:13198903"":[48.94846,-123.501827]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,Leucanthemum vulgare,Andrew Simon,iNat,,,2018-06-06T20:48:00.000Z,Andrew Simon,iNat,,,2018-06-06T20:48:00.000Z,,,,,,,,
Hesperis matronalis,47697,Hesperis matronalis,1,"{""iNat:13198904"":[48.939725,-123.500244]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,,Brassicaceae,,Hesperideae,Hesperis,Hesperis matronalis,Andrew Simon,iNat,,,2018-06-06T21:01:00.000Z,Andrew Simon,iNat,,,2018-06-06T21:01:00.000Z,,,,,,,,
Vicia sativa,53324,Vicia sativa,4,"{""iNat:13198913"":[48.939923,-123.503366],""iNat:16307016"":[48.939836,-123.504104],""Hunterston:538"":[48.943,-123.51],""Hunterston:539"":[48.943,-123.51]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,,Fabaceae,Faboideae,Fabeae,Vicia,Vicia sativa,,Hunterston,,,2010-05-22T00:00:00.000Z,Andrew Simon,iNat,,,2018-06-06T21:28:00.000Z,,,,,,,,
Anisocarpus madioides,53137,Anisocarpus madioides,2,"{""iNat:13198919"":[48.939923,-123.503366],""iNat:82358999"":[48.943692,-123.506638]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Asteroideae,Madieae,Anisocarpus,Anisocarpus madioides,Andrew Simon,iNat,,,2018-06-06T21:42:00.000Z,,iNat,,,2021-06-09T19:43:19.000Z,,,,,,,,
Centaurea cyanus,933404,Centaurea cyanus,3,"{""iNat:13198935"":[48.939923,-123.503366],""iNat:16307020"":[48.939836,-123.504104],""iNat:30217321"":[48.939778,-123.504309]}",Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Asteraceae,Carduoideae,Cardueae,Centaurea,Centaurea cyanus,Andrew Simon,iNat,,,2018-05-12T00:07:00.000Z,Andrew Simon,iNat,,,2019-08-04T18:19:00.000Z,,,,,,,,
Thamnophis ordinoides,28389,Thamnophis ordinoides,2,"{""iNat:13208318"":[48.948471,-123.502293],""iNat:80444266"":[48.949483,-123.510575]}",Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,,Colubridae,Natricinae,,Thamnophis,Thamnophis ordinoides,Kevin Toomer,iNat,,,2018-06-06T19:04:12.000Z,,iNat,,,2021-05-26T00:51:18.000Z,,,,,,,,
