iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Author,Date observed,Description,Place name,Common name,Collected/Reported (y-m-d),Collector/Source,Collection/List,First Observed,Observer,Documenting
Dendronotus robilliardi,882206,Dendronotus robilliardi,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus robilliardi,"Korshunova, Sanamyan, Zimina, Fletcher & Martynov, 2016",,,,Robilliard's dendronotus,,,Animalia,2014-04-08,Karin Fletcher,observed
Dendronotus rufus,50393,Dendronotus rufus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus rufus,"O'Donoghue, 1921",,,,red dendronotid,1985-12-07,Andy Lamb,Animalia,2011-10-07,Karolle Wall,observed
Dendronotus subramosus,47771,Dendronotus subramosus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus subramosus,"MacFarland, 1966",,,,stubby-frond dendronotus,,,Animalia,2014-04-08,Karin Fletcher,observed
Dendronotus venustus,129995,Dendronotus venustus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dendronotidae,,,Dendronotus,Dendronotus venustus,"MacFarland, 1966",,,,branched dendronotus,,,Animalia,2016-05-24,Karolle Wall,observed
Dirona albolineata,47477,Dirona albolineata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Proctonotoidea,Dironidae,,,Dirona,Dirona albolineata,"MacFarland in Cockerell & Elliot, 1905",,,,frosted nudibranch,1969-02-21,Andy Lamb,Animalia,2013-10-13,Peter Luckham,observed
Dirona pellucida,50447,Dirona pellucida,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Proctonotoidea,Dironidae,,,Dirona,Dirona pellucida,"Volodchenko, 1941",,,,golden dirona,1973-09-21,Andy Lamb,Animalia,2015-05-16,Peter Luckham,observed
Diaulula odonoghuei,508237,Diaulula odonoghuei,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Diaulula,Diaulula odonoghuei,"(Steinberg, 1963)",,,,spotted leopard dorid,1969-02-22,Andy Lamb,Animalia,2016-05-10,Karolle Wall,observed
Geitodoris heathi,47505,Geitodoris heathi,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Geitodoris,Geitodoris heathi,"(MacFarland, 1905)",,,,Heath's dorid,1981-05-31,Andy Lamb,Animalia,2014-04-08,Karin Fletcher,unobserved
Peltodoris lentiginosa,568137,Peltodoris lentiginosa,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Peltodoris,Peltodoris lentiginosa,"(Millen, 1982)",,,,freckled pale sea lemon,2006-03-05,Andy Lamb,Animalia,2009-10-03,Jackson Chu,observed
Peltodoris nobilis,48450,Peltodoris nobilis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Peltodoris,Peltodoris nobilis,"(MacFarland, 1905)",,,,noble sea lemon,1968-08-02,Andy Lamb,Animalia,2015-01-01,Peter Luckham,observed
Rostanga pulchra,47473,Rostanga pulchra,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Discodorididae,,,Rostanga,Rostanga pulchra,"MacFarland, 1905",,,,red sponge nudibranch,1985-12-07,Andy Lamb,Animalia,2014-04-08,Karin Fletcher,unobserved
Doris montereyensis,47469,Doris montereyensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Dorididae,,,Doris,Doris montereyensis,"J.G. Cooper, 1863",,,,Monterey sea lemon,1968-08-02,Andy Lamb,Animalia,2015-01-01,Peter Luckham,observed
Doris odhneri,124210,Doris odhneri,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Doridoidea,Dorididae,,,Doris,Doris odhneri,"(MacFarland, 1966)",,,,white nudibranch,1973-09-20,Andy Lamb,Animalia,2015-05-19,Karolle Wall,observed
Doto amyra,47655,Doto amyra,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dotidae,,,Doto,Doto amyra,"Er. Marcus, 1961",,,,hammerhead doto,,,Animalia,2014-04-08,Karin Fletcher,observed
Doto columbiana,47774,Doto columbiana,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Dotidae,,,Doto,Doto columbiana,"O'Donoghue, 1921",,,,British Columbia doto,,,Animalia,2014-04-09,Karin Fletcher,observed
Eubranchus rupium,533047,Eubranchus rupium,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Eubranchidae,,,Eubranchus,Eubranchus rupium,"(Møller, 1842)",,,,olive aeolid,2012-10-06,Andy Lamb,Animalia,,,unobserved
Eubranchus rustyus,50471,Eubranchus rustyus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Eubranchidae,,,Eubranchus,Eubranchus rustyus,"(Er. Marcus, 1961)",,,,homely aeolid,,,Animalia,2019-05-04,Chessi Miltner,observed
Eubranchus sanjuanensis,544965,Eubranchus sanjuanensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Eubranchidae,,,Eubranchus,Eubranchus sanjuanensis,"Roller, 1972",,,,San Juan aeolid,,,Animalia,2019-05-04,Larry Taylor,observed
Antiopella fusca,886884,Antiopella fusca,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Proctonotoidea,Janolidae,,,Antiopella,Antiopella fusca,"(O'Donoghue, 1924)",,,,white-and-orange-tipped nudibranch,1985-12-07,Andy Lamb,Animalia,2015-06-18,Karolle Wall,observed
Hermissenda crassicornis,495552,Hermissenda crassicornis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Aeolidioidea,Myrrhinidae,,,Hermissenda,Hermissenda crassicornis,"(Eschscholtz, 1831)",,,,thick-horned nudibranch,1969-02-21,Andy Lamb,Animalia,2009-07-24,Tyson Ehlers,observed
Acanthodoris atrogriseata,1080211,Acanthodoris atrogriseata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,Acanthodoris atrogriseata,"O'Donoghue, 1927",,,,gray pilose dorid,2008-06-15,Andy Lamb,Animalia,,,unobserved
Acanthodoris hudsoni,48447,Acanthodoris hudsoni,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,Acanthodoris hudsoni,"MacFarland, 1905",,,,Hudson's dorid,1994-10-23,Andy Lamb,Animalia,2015-05-16,Peter Luckham,observed
Acanthodoris lutea,47472,Acanthodoris lutea,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,Acanthodoris lutea,"MacFarland, 1925",,,,sandalwood dorid,,,Animalia,2009-11-14,Karin Fletcher,observed
Acanthodoris nanaimoensis,47476,Acanthodoris nanaimoensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Acanthodoris,Acanthodoris nanaimoensis,"O'Donoghue, 1921",,,,Nanaimo nudibranch,1994-10-07,Andy Lamb,Animalia,2013-10-13,Peter Luckham,observed
Onchidoris evincta,1348712,Adalaria evincta,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Onchidoris,Onchidoris evincta,"Millen, 2006",,,,crowned dorid,,,Animalia,2014-04-08,Karin Fletcher,observed
Adalaria proxima,508396,Adalaria proxima,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Adalaria,Adalaria proxima,"(Alder & Hancock, 1854)",,,,white adalaria,,,Animalia,2009-11-15,Karin Fletcher,observed
Knoutsodonta jannae,508447,Knoutsodonta jannae,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Knoutsodonta,Knoutsodonta jannae,"(Millen, 1987)",,,,Janna's adalaria,2018-06-19,Andy Lamb,Animalia,2009-11-15,Karin Fletcher,unobserved
Onchidoris bilamellata,47480,Onchidoris bilamellata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Onchidoris,Onchidoris bilamellata,"(Linnaeus, 1767)",,,,barnacle-eating nudibranch,2006-06-23,Andy Lamb,Animalia,2016-07-18,Karolle Wall,observed
Onchidoris muricata,47508,Onchidoris muricata,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Onchidoridoidea,Onchidorididae,,,Onchidoris,Onchidoris muricata,"(O. F. Müller, 1776)",,,,fuzzy onchidoris,,,Animalia,2014-04-09,Karin Fletcher,observed
Ziminella japonica,877359,Ziminella japonica,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Paracoryphellidae,,,Ziminella,Ziminella japonica,"(Volodchenko, 1941)",,,,pearly nudibranch,2009-02-08,Andy Lamb,Animalia,,,unobserved
Limacia cockerelli,538830,Limacia cockerelli,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Polyceroidea,Polyceridae,Triophinae,,Limacia,Limacia cockerelli,"(MacFarland, 1905)",,,,Cockerell's nudibranch,1985-12-07,Andy Lamb,Animalia,,,unobserved
Palio zosterae,1187234,Palio zosterae,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Polyceroidea,Polyceridae,Polycerinae,,Palio,Palio zosterae,"(O'Donoghue, 1924)",,,,eelgrass nudibranch,,,Animalia,2010-05-10,Karolle Wall,observed
Triopha modesta,1133369,Triopha modesta,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Doridina,Doridoidei,Polyceroidea,Polyceridae,Triophinae,,Triopha,Triopha modesta,"Bergh, 1880",,,,modest clown nudibranch,1985-08-02,Andy Lamb,Animalia,2015-05-16,Peter Luckham,observed
Melibe leonina,48455,Melibe leonina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Dendronotoidea,Tethydidae,,,Melibe,Melibe leonina,"(Gould, 1852)",,,,hooded nudibranch,1994-10-07,Andy Lamb,Animalia,2006-10-06,jroderick,observed
Catriona columbiana,48973,Catriona columbiana,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Trinchesiidae,,,Catriona,Catriona columbiana,"(O'Donoghue, 1922)",,,,British Columbia aeolid,,,Animalia,2014-04-09,Karin Fletcher,observed
Diaphoreolis viridis,632114,Diaphoreolis viridis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Trinchesiidae,,,Diaphoreolis,Diaphoreolis viridis,"(Forbes, 1840)",,,,green aeolid,,,Animalia,2014-04-09,Karin Fletcher,observed
Zelentia nepunicea,1128352,Zelentia nepunicea,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Fionoidea,Trinchesiidae,,,Zelentia,Zelentia nepunicea,"Korshunova, Fletcher, Lundin, Picton & Martynov, 2018",,,,pimpled aeolid,1982-05-21,Sandra Millen-Crane,Animalia,2014-04-08,Karin Fletcher,unobserved
Tochuina gigantea,873733,Tochuina gigantea,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Tritonioidea,Tritoniidae,,,Tochuina,Tochuina gigantea,"(Bergh, 1904)",,,,orange-peel nudibranch,1973-09-20,Andy Lamb,Animalia,2009-10-03,Jackson Chu,observed
Tritonia exsulans,253510,Tritonia exsulans,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Tritonioidea,Tritoniidae,,,Tritonia,Tritonia exsulans,"Bergh, 1894",,,,pink tritonia,2006-12-02,Charlie Gibbs,Animalia,2013-10-13,Peter Luckham,observed
Tritonia festiva,48827,Tritonia festiva,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Nudibranchia,Cladobranchia,,Tritonioidea,Tritoniidae,,,Tritonia,Tritonia festiva,"(Stearns, 1873)",,,,diamondback tritonia,1985-12-07,Andy Lamb,Animalia,2013-10-13,Peter Luckham,observed
Berthella chacei,1081461,Berthella chacei,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Nudipleura,Pleurobranchida,,,Pleurobranchoidea,Pleurobranchidae,,,Berthella,Berthella chacei,"(J.Q. Burch, 1944)",,,,white berthella,2005-12-10,Andy Lamb,Animalia,2015-04-20,Karolle Wall,observed
Clione limacina,55297,Clione limacina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Pteropoda,Gymnosomata,,Clionoidea,Clionidae,,,Clione,Clione limacina,"(Phipps, 1774)",,,,common clione,,,Animalia,2020-01-05,Lillian Rose Crossman,observed
Limacina helicina,345356,Limacina helicina,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Pteropoda,Euthecosomata,,Limacinoidea,Limacinidae,,,Limacina,Limacina helicina,"(Phipps, 1774)",,,,helicid pteropod,2009-04-04,Andy Lamb,Animalia,,,unobserved
Ariolimax columbianus,47776,Ariolimax columbianus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Ariolimax,Ariolimax columbianus,"Gould, 1851",,,,Pacific banana slug,2011-05-14,Kent Brothers,Animalia,2013-04-06,Felix Erhard,observed
Prophysaon andersonii,1126805,Prophysaon andersonii,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Prophysaon,Prophysaon andersonii,"(J.G. Cooper, 1872)",,,,reticulate taildropper,2017-05-20,Kent Brothers,Animalia,2017-06-02,Libby McClelland,observed
Prophysaon foliolatum,228801,Prophysaon foliolatum,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Ariolimacidae,Ariolimacinae,,Prophysaon,Prophysaon foliolatum,"(Gould in A. Binney, 1851)",,,,yellow-bordered taildropper,,,Animalia,2018-11-01,Kevin Toomer,observed
Arion,549548,Arion sp.,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidei,Arionoidea,Arionidae,,,Arion,,,,,,chocolate slug,2019-05-03,M. Ankenman,Animalia,2015-08-28,Lauren Magner & Andrew Simon,observed
Ancotrema sportella sportella,1039200,Ancotrema sportella sportella,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Oleacinoidei,Haplotrematoidea,Haplotrematidae,Haplotrematinae,,Ancotrema,Ancotrema sportella,"(Gould, 1846)",,,,beaded lancetooth,,,Animalia,2021-05-01,Andrew Simon,observed
Haplotrema vancouverense,220933,Haplotrema vancouverense,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Oleacinoidei,Haplotrematoidea,Haplotrematidae,Haplotrematinae,,Haplotrema,Haplotrema vancouverense,"(I. Lea, 1839)",,,,robust lancetooth,,,Animalia,2018-02-15,Kevin Toomer,observed
Cepaea hortensis,51039,Cepaea hortensis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,Cepaea hortensis,"(O. F. Müller, 1774)",,,,white-lipped snail,,,Animalia,2021-07-22,Kevin Toomer,observed
Cepaea nemoralis,48586,Cepaea nemoralis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Helicidae,Helicinae,Allognathini,Cepaea,Cepaea nemoralis,"(Linnaeus, 1758)",,,,brown-lipped snail,,,Animalia,2018-05-06,Kevin Toomer,observed
Limax maximus,62470,Limax maximus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidei,Limacoidea,Limacidae,Limacinae,,Limax,Limax maximus,"Linnaeus, 1758",,,,leopard slug,,,Animalia,2013-02-05,"Alison, Laura & Malcolm Colwell",observed
Oxychilus,90567,Oxychilus sp.,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Limacoidei,Gastrodontoidea,Oxychilidae,Oxychilinae,,Oxychilus,,,,,,glass snail,,,Animalia,2018-03-20,Kevin Toomer,observed
Vespericola columbianus,233542,Vespericola columbianus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Polygyridae,Triodopsinae,Vespericolini,Vespericola,Vespericola columbianus,"(I. Lea, 1839)",,,,northwest hesperian,,,Animalia,2019-05-04,Scott Gilmore,observed
Paralaoma servilis,292816,Paralaoma servilis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,,Punctoidea,Punctidae,Laominae,,Paralaoma,Paralaoma servilis,"(Shuttleworth, 1852)",,,,pinhead spot snail,,,Animalia,2019-09-20,Scott Gilmore,observed
Monadenia fidelis,62803,Monadenia fidelis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Helicoidei,Helicoidea,Xanthonychidae,Monadeniinae,,Monadenia,Monadenia fidelis,"(J. E. Gray, 1834)",,,,Pacific sideband,2010-04-17,Kent Brothers,Animalia,2015-03-26,Andrew Simon,observed
Calliostoma annulatum,121181,Calliostoma annulatum,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,,Trochoidea,Calliostomatidae,Calliostomatinae,,Calliostoma,Calliostoma annulatum,"(Lightfoot, 1786)",,,,purple-ringed topsnail,1986-09-30,,Animalia,,,unobserved
Calliostoma ligatum,129920,Calliostoma ligatum,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,,Trochoidea,Calliostomatidae,Calliostomatinae,,Calliostoma,Calliostoma ligatum,"(Gould, 1849)",,,,blue topsnail,1986-04-08,,Animalia,2016-02-07,Peter Luckham,observed
Margarites pupillus,129922,Margarites pupillus,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,,Trochoidea,Margaritidae,,,Margarites,Margarites pupillus,"(Gould, 1849)",,,,puppet margarite,2009-02-08,Andy Lamb,Animalia,2017-05-14,Scott Gilmore,observed
Tegula funebralis,460365,Tegula funebralis,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Trochida,,,Trochoidea,Tegulidae,,,Tegula,Tegula funebralis,"(A. Adams, 1855)",,,,black tegula,,,Animalia,2019-05-19,John Reynolds,observed
Acmaea mitra,47676,Acmaea mitra,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Acmaeidae,,,Acmaea,Acmaea mitra,"Rathke, 1833",,,,whitecap limpet,1981-05-31,Andy Lamb,Animalia,,,unobserved
Rictaxis punctocaelatus,49779,Rictaxis punctocaelatus,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,,,,Acteonoidea,Acteonidae,,,Rictaxis,Rictaxis punctocaelatus,"(Carpenter, 1864)",,,,bubble snail,1961-06-22,Ian McTaggart-Cowan,Animalia,,,unobserved
Batillaria attramentaria,68783,Batillaria attramentaria,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,,Cerithioidea,Batillariidae,,,Batillaria,Batillaria attramentaria,"(G.B. Sowerby II, 1855)",,,,Japanese false cerith,,,Animalia,2019-05-05,John Reynolds,observed
Epitonium hindsii,893102,Epitonium hindsii,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,,Epitonioidea,Epitoniidae,,,Epitonium,Epitonium hindsii,"(Carpenter, 1856)",,,,,1959-12-11,Dan Quayle,Animalia,,,unobserved
Epitonium indianorum,129921,Epitonium indianorum,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,,,,Epitonioidea,Epitoniidae,,,Epitonium,Epitonium indianorum,"(Carpenter, 1865)",,,,money wentletrap,2008-07-19,Andy Lamb,Animalia,,,unobserved
Lottia digitalis,1106826,Lottia digitalis,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,,"(Rathke, 1833)",,,,fingered limpet,,,Animalia,2016-09-01,Andrew Simon,observed
Lottia pelta,63243,Lottia pelta,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,Lottia pelta,"(Rathke, 1833)",,,,shield limpet,,,Animalia,2017-04-10,Andrew Simon,observed
Lottia persona,339143,Lottia persona,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,Lottia persona,"(Rathke, 1833)",,,,mask limpet,,,Animalia,2014-06-24,Michael Butler,observed
Lottia scutum,129962,Lottia scutum,Animalia,Mollusca,,,Gastropoda,Patellogastropoda,,,,,Lottioidea,Lottiidae,Lottiinae,Lottiini,Lottia,Lottia scutum,"(Rathke, 1833)",,,,plate limpet,2006-06-30,Andy Lamb,Animalia,2016-08-21,Tyrel Froese,observed
Stagnicola,860480,Stagnicola sp.,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,,Mythicomycetaceae,,,Stagnicola,,,,,,pond snail,,,Animalia,2016-07-13,Andrew Simon,observed
Planorbella trivolvis,150985,Planorbella trivolvis,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Hygrophila,,,,Lymnaeoidea,Planorbidae,Planorbinae,Helisomatini,Planorbella,Planorbella trivolvis,"(Say, 1817)",,,,marsh ramshorn,,,Animalia,2016-08-14,Andrew Simon,observed
Odostomia,129939,Odostomia sp.,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Pylopulmonata,,,,Pyramidelloidea,Pyramidellidae,,,Odostomia,,,,,,sea snail,1961-06-22,Ian McTaggart-Cowan,Animalia,,,unobserved
Turbonilla,84989,Turbonilla sp.,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Pylopulmonata,,,,Pyramidelloidea,Pyramidellidae,Turbonillinae,,Turbonilla,,,,,,sea snail,1961-06-22,Ian McTaggart-Cowan,Animalia,,,unobserved
Cryptochiton stelleri,49053,Cryptochiton stelleri,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Cryptoplacoidea,Acanthochitonidae,Cryptochitoninae,,Cryptochiton,Cryptochiton stelleri,"(Middendorff, 1847)",,,,giant Pacific chiton,1973-09-20,Andy Lamb,Animalia,2016-04-24,Chessi Miltner,observed
Lepidozona interstincta,131231,Lepidozona interstincta,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Chitonina,,Chitonoidea,Ischnochitonidae,,,Lepidozona,Lepidozona interstincta,"(Gould, 1852)",,,,smooth lepidozona,1986-09-30,,Animalia,,,unobserved
Lepidozona mertensii,117621,Lepidozona mertensii,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Chitonina,,Chitonoidea,Ischnochitonidae,,,Lepidozona,Lepidozona mertensii,"(Middendorff, 1847)",,,,Merten's chiton,1995-01-17,Robert Forsyth & Tammy Forsyth,Animalia,,,unobserved
Lepidozona trifida,500743,Lepidozona trifida,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Chitonina,,Chitonoidea,Ischnochitonidae,,,Lepidozona,Lepidozona trifida,"(Carpenter, 1864)",,,,three-rib chiton,1999-07-31,Charlie Gibbs,Animalia,,,unobserved
Cyanoplax dentiens,71241,Cyanoplax dentiens,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Tonicellidae,Tonicellinae,,Cyanoplax,Cyanoplax dentiens,"(Gould, 1846)",,,,Gould’s baby chiton,,,Animalia,2017-05-14,Scott Gilmore,observed
Lepidochitona,130883,Lepidochitona sp.,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Tonicellidae,Tonicellinae,,Lepidochitona,,,,,,chiton,1893-06-01,Charles Newcombe,Animalia,,,unobserved
Katharina tunicata,47632,Katharina tunicata,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Katharina,Katharina tunicata,"(Wood, 1815)",,,,black leather chiton,1993-08-16,Andy Lamb,Animalia,2019-04-29,Andrew Simon,observed
Mopalia hindsii,51725,Mopalia hindsii,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia hindsii,"(Reeve, 1847)",,,,Hind's mopalia,1999-07-31,Charlie Gibbs,Animalia,2019-07-01,sarahs77,observed
Mopalia kennerleyi,360858,Mopalia kennerleyi,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia kennerleyi,"Carpenter, 1864",,,,northern hairy chiton,1999-07-31,Charlie Gibbs,Animalia,,,unobserved
Mopalia lignosa,51724,Mopalia lignosa,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia lignosa,"(Gould, 1846)",,,,woody chiton,1986-09-30,,Animalia,2018-08-10,Karolle Wall,observed
Mopalia muscosa,117633,Mopalia muscosa,Animalia,Mollusca,,,Polyplacophora,Neoloricata,,Chitonida,Acanthochitonina,,Mopalioidea,Mopaliidae,Mopaliinae,,Mopalia,Mopalia muscosa,"(Gould, 1846)",,,,mossy chiton,2008-10-10,Andy Lamb,Animalia,2017-05-26,Kris Krüg,observed
