Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Arcyria cinerea,(Bull.) Pers.,,white slime,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Trichiales,,,Arcyriidae,,cosmopolitan,unlisted,reported,unobserved,2016-02,Rene Zich,,,,,,,,,56258,PRO
Arcyria incarnata,(Pers. ex J.F. Gmel.) Pers.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Trichiales,,,Arcyriidae,,cosmopolitan,unlisted,new 2017,observed,2017-05,Pam Janzen,PJ private collection,Galiano #1,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150085,https://static.inaturalist.org/photos/9206628/medium.jpeg?1500676516,,381271,PRO
Arcyria obvelata,(Oeder) Onsberg.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Trichiales,,,Arcyriidae,,cosmopolitan,unlisted,new 2017,observed,2017-07,Ed Androusiak,PJ private collection,Galiano #9,,2017-07-07,Ed Andrusiak,https://www.inaturalist.org/observations/7626272,https://static.inaturalist.org/photos/9971423/medium.jpeg?1503542440,,146745,PRO
Metatrichia floriformis,(Schwein.) Nann.-Bremek.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Trichiales,,,Trichiaceae,,cosmopolitan,unlisted,new 2017,observed,2017-05-27,Pam Janszen,PJ private collection,Galiano #3,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150087,https://static.inaturalist.org/photos/9206737/medium.jpeg?1500676892,,126277,PRO
Trichia decipiens,(Pers.) T. Macbr.,,slime mold,Protozoa,Amoebozoa,Conosa,Mycetozoa,Myxogastria,Endosporeae,Lucispordia,Trichiales,,,Trichiaceae,,cosmopolitan,unlisted,new 2016,observed,,,,,,2016-03-25,Sarah Tweedale,http://inaturalist.ca/observations/2829467,https://static.inaturalist.org/photos/3221634/medium.JPG?1458938714,,56275,PRO
Ceratiomyxa fruticulosa,(O.F. Müll.) T. Macbr.,,coral slime,Protozoa,Amoebozoa,Conosa,Mycetozoa,Protostelia,Exosporeae,,Protosteliales,,,Ceratiomyxaceae,,cosmopolitan,unlisted,new 2017,observed,2017-05-27,Pam Janszen,PJ private collection,Galiano #2,,2017-05-27,Pam Janszen,https://www.inaturalist.org/observations/7150082,https://static.inaturalist.org/photos/9206640/medium.jpeg?1500676541,,56252,PRO
Arcella gibbosa,Penard,,,Protozoa,Amoebozoa,,,Tubulinea,,,Arcellinida,,,Arcellidae,,native,unlisted,new 2016,observed,,,,,,2004-07-14,Mark Webber,https://www.inaturalist.org/observations/4848872,https://static.inaturalist.org/photos/5889083/medium.jpg?1482816477,,521005,PRO
Arthonia polygramma,Nyl.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,native,unlisted,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,,214289,LIC
Arthothelium spectabile,A. Massal.,,comma lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,,native,unlisted,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35930,,,,,,Reported as Arthonia spectabilis,214359,LIC
Chrysothrix candelaris,(L.) J.R. Laundon,,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,native,unlisted,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36178,,,,,,see notes below,117938,LIC
Chrysothrix chlorina s.lat.,(Ach.) J.R. Laundon,,sulphur dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,native,unlisted,new 2015,observed,,,,,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2580126,https://static.inaturalist.org/photos/2880113/medium.JPG?1452744432,Chrysothrix xanthina? I need to reconsider my specimens in light of the TLC done by Troy… Curtis had previously identified specimens as Chrysothrix cf chlorina and if I am not mistaken these were determined to be C. xanthina based on TLC,210537,LIC
Chrysothrix granulosa,G. Thor,,cushioned gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,native,unlisted,new 2016,observed,,,,,,2016-06-19,Andrew Simon,http://www.inaturalist.org/observations/3498983,https://static.inaturalist.org/photos/4070270/medium.JPG?1466545182,not reognized by Noble,203089,LIC
Chrysothrix xanthina,(Vain.) Kalb,,gold dust lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Chrysothricaceae,,native,unlisted,new 2015,observed,,,,,,2015-11-21,Andrew Simon,https://www.inaturalist.org/observations/26655010,https://static.inaturalist.org/photos/41401486/medium.jpeg?1560053356,This sp confirmed by Troy via TLC; Noble reconized C. candelaris + C. chlorina; could it be that our flora includes only C. granulosa + C. xanthina ?,345245,LIC
Alyxoria varia,(Pers.) Ertz & Tehler,,scribble lichen,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Lecanographaceae,,native,unlisted,confirmed,observed,1974-05-29,Willa J. Noble,UBC,L35904,,2016-10-23,Andrew Simon,http://www.inaturalist.org/observations/4425709,https://static.inaturalist.org/photos/5323768/medium.jpeg?1477301374,Reported as Opegrapha varia,226495,LIC
Chaenotheca ferruginea,(Turner ex Sm.) Mig.,,pin lichen,Fungi,Ascomycota,Pezizomycotina,,Coniocybomycetes,,,Coniocybales,,,Coniocybaceae,,native,unlisted,reported,unobserved,1977-07-24,Willa J. Noble,UBC,L14867,,,,,,,210527,LIC
Phyllosticta cf. pyrolae,,,,Fungi,Ascomycota,incertae sedis,,Dothideomycetes,incertae sedis,,Botryosphaeriales,,,Phyllostictaceae,,native,unlisted,new 2019,observed,,,,,,2019-07-12,Kevin Toomer,https://www.inaturalist.org/observations/28694020,https://static.inaturalist.org/photos/44745992/medium.jpg?1562965496,,319634,FUN
Collemopsidium halodytes s.lat.,(Nyl.) Grube & B.D. Ryan,,barnacle lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Pyrenulales,,,Xanthopyreniaceae,,native,unlisted,reported,unobserved,1976-07-23,Willa J. Noble,UBC,L14859,,,,,,Reported as Arthopyrenia halodytes,462769,LIC
Hypocenomyce scalaris,(Ach.) M. Choisy,,charcoal clamshell,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Umbilicariales,,,Ophloparmaceae,,native,unlisted,new 2018,observed,,,,,,2018-07-01,Andrew Simon,https://www.inaturalist.org/observations/13973313,https://static.inaturalist.org/photos/20659595/medium.jpeg?1530509479,,117973,LIC
Dermatocarpon intestiniforme,(Körb.) Hasse.,,quilted stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,SU (2010),reported,unobserved,1974-05-31,Willa J. Noble,UBC,L10822,,,,,,,218252,LIC
Dermatocarpon leptophyllodes,(Nyl.) Zahlbr.,,jigsaw stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,S4 (2018),confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10819,,2018-05-24,Andrew Simon,https://www.inaturalist.org/observations/12817811,https://static.inaturalist.org/photos/18590233/original.jpeg?1527305885,,218253,LIC
Dermatocarpon miniatum,(L.) W. Mann,,leather lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,S4 (2010),confirmed,observed,1974-05-29,Willa J. Noble,UBC,L10813,,2016-04-23,Andrew Simon,http://www.inaturalist.org/observations/3031104,https://static.inaturalist.org/photos/3489185/medium.JPG?1461614266,,154129,LIC
Dermatocarpon reticulatum,H. Magn.,,sandpaper stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,S5 (2018),confirmed,observed,1974-05-30,Willa J. Noble,UBC,L10806,,2016-06-28,Andrew Simon,http://www.inaturalist.org/observations/3542956,https://static.inaturalist.org/photos/4130149/medium.JPG?1467182003,,218258,LIC
Hydropunctaria maura,(Wahl.) Keller & Gueidan.,,wart lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,unlisted,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L35924,,,,,,Reported as Verrucaria maura,197141,LIC
Normandina pulchella,(Borrer) Nyl.,,elf-ear lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,unlisted,reported,unobserved,1974-04,Willa J. Noble,UBC,L10927,,,,,,,117861,LIC
Staurothele fissa,(Taylor) Zwackh.,,lakezone lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,native,unlisted,reported,unobserved,1974-05,Willa J. Noble,UBC,L12444,,,,,,Previously reported as S. hazslinskyi,231483,LIC
Geoglossum fallax,E.J. Durand,,earth tongue,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,Leotiomycetidae,,Geoglossales,,,Geoglossaceae,,native,unlisted,reported,unobserved,2010-04-17,VMS,UBC,F22157,,,,,,,205843,FUN
Geoglossum umbratile,Sacc.,,earth tongue,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,Leotiomycetidae,,Geoglossales,,,Geoglossaceae,,native,unlisted,new 2016,observed,,,,,,2016-03-22,Andrew Simon,http://www.inaturalist.org/observations/2822886,https://static.inaturalist.org/photos/3211634/medium.JPG?1458782849,,350847,FUN
Glutinoglossum glutinosum,"(Pers.) Hustad, A.N. Mill.",,viscid black earth tongue,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,Leotiomycetidae,,Geoglossales,,,Geoglossaceae,,native,unlisted,reported,unobserved,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,,,,,Reported as Geoglossum glutinosum,194560,FUN
Trichoglossum hirsutum,(Pers.) Boud.,,black earth tongue,Fungi,Ascomycota,Pezizomycotina,,Geoglossomycetes,Leotiomycetidae,,Geoglossales,,,Geoglossaceae,,native,unlisted,confirmed,observed,2016-02-01,Rene Zich,Galiano Comprehensive Mushroom List Feb 2016,,,2019-01-14,Kevin Toomer,https://www.inaturalist.org/observations/19645080,https://static.inaturalist.org/photos/30251067/medium.jpg?1547503095,"Possible misidentification (Kent Brothers, pers. comm 2018)",55240,FUN
Sarcogyne hypophaea,(Nyl.) Arnold,,grain-spored lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Acarosporomycetidae,,Acarosporales,,,Acarosporaceae,,native,unlisted,reported,unobserved,1974-04-21,Willa J. Noble,UBC,L35645,,,,,,Reported as Sarcogyne privigna var. calcicola,532278,LIC
Placopsis gelida,(L.) Linds.,,bull’s-eye lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,,native,unlisted,reported,unobserved,1974-05-31,Willa J. Noble,UBC,L36180,,,,,,,228239,LIC
Trapelia coarctata,(Turner ex Sm.) M. Choisy,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,,native,unlisted,reported,unobserved,1974-05-28,Willa J. Noble,UBC,L35897,,,,,,,117903,LIC
Trapeliopsis granulosa,(Hoffm.) Lumbsch,,granular mottled-disk lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,,native,unlisted,new 2017,observed,,,,,,2017-03-23,Andrew Simon,https://www.inaturalist.org/observations/5450618,https://static.inaturalist.org/photos/6708502/medium.jpeg?1490425515,,180430,LIC
Acolium inquinans,(Sm.) A. Massal.,,cupped soot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,native,unlisted,new 2017,observed,,,,,,2017-06-16,Andrew Simon,https://www.inaturalist.org/observations/7503518,https://static.inaturalist.org/photos/9776916/medium.jpeg?1502774490,,218030,LIC
Amandinea punctata,(Hoffm.) Coppins & Scheid.,,tiny button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Caliciaceae,,native,unlisted,confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35871,,2016-10-16,Andrew Simon,http://www.inaturalist.org/observations/4381611,https://static.inaturalist.org/photos/5257121/medium.jpg?1476756925,Reported as Buellia punctata,155082,LIC
Buellia fosteri,(Imshaug & Sheard) Perlmutter & Rivas Plata,,whitewash lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,unlisted,new 2017,observed,,,,,,2017-12-22,Andrew Simon,https://www.inaturalist.org/observations/9239094,https://static.inaturalist.org/photos/12505849/medium.jpeg?1514009526,,220852,LIC
Phaeophyscia orbicularis,(Necker) Moberg.,,powder-headed shadow,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S4 (2010),reported,unobserved,1974-05-29,Willa J. Noble,UBC,L35917,,,,,,,60718,LIC
Physcia adscendens,H. Olivier.,,hooded rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S5 (2010),confirmed,observed,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,2016-08-14,Andrew Simon,http://www.inaturalist.org/observations/3948542,https://static.inaturalist.org/photos/4651746/medium.jpeg?1471978758,,124439,LIC
Physcia alnophila,"(Vainio) Loht., Moberg, L. Myllys & Tehler.",,grey-eyed rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S5 (2018),confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36181,,2017-02-16,Andrew Simon,https://www.inaturalist.org/observations/5121968,https://static.inaturalist.org/photos/6300858/medium.jpeg?1487298894,,463769,LIC
Physcia caesia,(Hoffm.) Hampe ex Fürnr.,,blue-grey rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S4 (2010),confirmed,observed,1974-05-31,Willa J. Noble,UBC,L36192,,2015-09-27,Andrew Simon,http://www.inaturalist.org/observations/2632612,https://static.inaturalist.org/photos/2950581/medium.JPG?1454220078,,194681,LIC
Physcia tenella,(Scop.) DC.,,hoodless rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S5 (2018),new 2016,observed,,,,,,2016-10-04,Andrew Simon,http://www.inaturalist.org/observations/4282590,https://static.inaturalist.org/photos/5132471/medium.jpeg?1475736198,,228059,LIC
Physconia enteroxantha,(Nyl.) Poelt.,,gilded frost,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S3S4 (2010),confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35888,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5526013,https://static.inaturalist.org/photos/6817766/original.jpeg?1491042321,,228066,LIC
Physconia perisidiosa,(Erichsen) Moberg.,,crescent frost,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,S4 (2010),confirmed,observed,1974-05-28,Willa J. Noble,UBC,L35902,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5526016,https://static.inaturalist.org/photos/6817782/medium.jpeg?1491042463,,203896,LIC
Rinodina bolanderi,H. Magn.,,creamy pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,unlisted,confirmed,observed,1974-05-30,Willa J. Noble,UBC,L48880,,2017-05-18,Andrew Simon,https://www.inaturalist.org/observations/22597101,https://static.inaturalist.org/photos/35012176/medium.jpeg?1555485931,,230206,LIC
Rinodina gennarii,Bagl.,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,unlisted,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L36905,,,,,,,230233,LIC
Rinodina hallii,Tuck.,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,unlisted,reported,unobserved,2010-01-26,Terry McIntosh & Curtis Björk,Bryos and Lichens of Mt Sutil Inventory 2010,,,,,,,,230239,LIC
Rinodina laevigata,(Ach.) Malme,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,unlisted,reported,unobserved,1974-05-29,Willa J. Noble,UBC,L36904,,,,,,,123456,LIC
Rinodina terricola,Sheard & K. Knudsen,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Caliciales,,,Physciaceae,,native,unlisted,reported,unobserved,1974-05-30,Willa J. Noble,UBC,L36906,,,,,,,532252,LIC
Candelaria pacifica,Westberg,,Pacific candleflame,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Candelariales,,,Candelariaceae,,native,unlisted,reported,unobserved,2011-05-14,Kent Brothers,VMS,,,,,,,,203098,LIC
Candelariella vitellina,(Hoffm.) Müll. Arg.,,common goldspeck,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Candelariales,,,Candelariaceae,,native,unlisted,new 2017,observed,,,,,,2017-12-31,Andrew Simon,https://www.inaturalist.org/observations/9328883,https://static.inaturalist.org/photos/12654328/original.jpeg?1514779441,,182455,LIC
Cladonia albonigra,Brodo & Ahti,,blackfoot pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2010),new 2015,observed,,,,,,2015-08-28,Andrew Simon,https://www.inaturalist.org/observations/5288435,https://static.inaturalist.org/photos/6541267/medium.jpeg?1489316531,,194699,LIC
Cladonia carneola,(Fr.) Fr.,,crowned pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),new 2017,observed,,,,,,2017-10-29,Kevin Toomer,https://www.inaturalist.org/observations/8604599,https://static.inaturalist.org/photos/11506571/medium.jpg?1509310071,,194513,LIC
Cladonia cenotea,(Ach.) Schaer.,,powdered funnel lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),new 2016,observed,,,,,,2016-12-22,Andrew Simon,https://www.inaturalist.org/observations/4834210,https://static.inaturalist.org/photos/5867296/medium.jpeg?1482478400,,180456,LIC
Cladonia cf asahinae,J.W. Thomson,,Asahina's pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2010),new 2017,observed,,,,,,2017-02-25,Andrew Simon,https://www.inaturalist.org/observations/5197373,,,210582,LIC
Cladonia chlorophaea,(Flörke ex Sommerf.) Sprengel,,mealy pixie cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),new 2015,observed,,,,,,2015-08-28,Andrew Simon,https://www.inaturalist.org/observations/5288560,https://static.inaturalist.org/photos/6541442/original.jpeg?1489321839,,49488,LIC
Cladonia coniocraea,(Flörke) Sprengel,,common powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2010),new 2015,observed,,,,,,2015-10-08,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2647302,https://static.inaturalist.org/photos/2972652/medium.JPG?1454703546,,155093,LIC
Cladonia fimbriata,(L.) Fr.,,trumpet pixie-cup,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2010),reported,unobserved,2010-04-17,Kent Brothers,VMS,,,,,,,,179037,LIC
Cladonia furcata,(Hudson) Schrader,,many-forked Cladonia,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S5 (2018),confirmed,observed,1964-05-27,Wilfred B. Schofield,UBC,L3008,,2017-03-30,Andrew Simon,https://www.inaturalist.org/observations/5536939,https://static.inaturalist.org/photos/6833748/medium.jpeg?1491105634,,54607,LIC
Cladonia macilenta,Hoffm.,,lipstick powderhorn,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,,native,S4 (2010),confirmed,observed,1974-06-01,Willa J. Noble,UBC,L36212,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566592,https://static.inaturalist.org/photos/2860939/medium.JPG?1452337494,,117950,LIC
