iNaturalist taxon name,iNaturalist taxon ID,Taxon name,ambiguousNameMatch,nameStatus,Common name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,sinceTimestamp,sinceRecordedBy,sinceCollection,reportingStatus,foodValue,medicinalValue,spiritualValue,materialValue,tradeValue,indicatorValue,hulquminumName,hulquminumAuthority
Larus occidentalis,4345,Larus occidentalis,0,accepted,western gull,"(Audubon, 1839)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Laridae,Larinae,,Larus,occidentalis,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Sterna hirundo,4450,Sterna hirundo,0,accepted,common tern,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Laridae,Sterninae,,Sterna,hirundo,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Anthus rubescens,13732,Anthus rubescens,0,accepted,American pipit,"(Tunstall, 1771)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Motacillidae,,,Anthus,rubescens,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Pandion haliaetus,116999,Pandion haliaetus,0,accepted,osprey,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,,Pandionidae,,,Pandion,haliaetus,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-06-20,Bridgit Spencer,iNat,confirmed,0,1,1,1,1,1,th'ihwth'uhw,"(Thom, 2011)"
Poecile rufescens,144820,Poecile rufescens,0,accepted,chestnut-backed chickadee,"(Townsend, 1837)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Paridae,,,Poecile,rufescens,2016,Galiano Naturalist,Galiano Bird Checklist,,2011-07-25,lesfreck,iNat,confirmed,,,,,,,,
Cardellina pusilla,145276,Cardellina pusilla,0,accepted,Wilson’s warbler,"(Wilson, 1811)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Cardellina,pusilla,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-07-15,Michael Hoebel,iNat,confirmed,,,,,,,,
Geothlypis tolmiei,145223,Geothlypis tolmiei,0,accepted,MacGillivray's warbler,"(Townsend, 1839)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Geothlypis,tolmiei,2016,Galiano Naturalist,Galiano Bird Checklist,,2013-05-17,Michael Hoebel,iNat,confirmed,,,,,,,,
Geothlypis trichas,9721,Geothlypis trichas,0,accepted,common yellowthroat,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Geothlypis,trichas,2016,Galiano Naturalist,Galiano Bird Checklist,,2011-05-10,Michael Hoebel,iNat,confirmed,,,,,,,,
Leiothlypis celata,979757,Leiothlypis celata,0,accepted,orange-crowned warbler,"(Say, 1823)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Leiothlypis,celata,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-04-09,Kristian Sigvardsen,iNat,confirmed,,,,,,,,
Setophaga coronata auduboni,126562,Setophaga coronata auduboni,0,accepted,Audubon's warbler,"(Townsend, 1837)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Setophaga,coronata,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-03-26,Sarah Tweedale,iNat,confirmed,,,,,,,,
Setophaga coronata coronata,132704,Setophaga coronata coronata,0,accepted,myrtle warbler,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Setophaga,coronata,2016,Galiano Naturalist,Galiano Bird Checklist,,2011-05-01,Michael Hoebel,iNat,confirmed,,,,,,,,
Setophaga nigrescens,145254,Setophaga nigrescens,0,accepted,black-throated gray warbler,"(Townsend, 1837)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Setophaga,nigrescens,2016,Galiano Naturalist,Galiano Bird Checklist,,2014-05-10,Michael Hoebel,iNat,confirmed,,,,,,,,
Setophaga petechia,145238,Setophaga petechia,0,accepted,yellow warbler,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Setophaga,petechia,2016,Galiano Naturalist,Galiano Bird Checklist,,2023-05-28,Zeke Gilmore,iNat,confirmed,,,,,,,,
Setophaga townsendi,145255,Setophaga townsendi,0,accepted,Townsend's warbler,"(Townsend, 1837)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Parulidae,,,Setophaga,townsendi,2016,Galiano Naturalist,Galiano Bird Checklist,,2014-04-21,Michael Hoebel,iNat,confirmed,,,,,,,,
Junco hyemalis,10094,Junco hyemalis,0,accepted,dark-eyed junco,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Junco,hyemalis,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-02-15,Andrew Simon,iNat,confirmed,,,,,,,,
Melospiza georgiana,9096,Melospiza georgiana,0,accepted,swamp sparrow,"(Latham, 1790)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Melospiza,georgiana,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Melospiza lincolnii,9092,Melospiza lincolnii,0,accepted,Lincoln’s sparrow,"(Audubon, 1834)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Melospiza,lincolnii,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Melospiza melodia,9100,Melospiza melodia,0,accepted,song sparrow,"(Wilson, 1810)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Melospiza,melodia,2016,Galiano Naturalist,Galiano Bird Checklist,,2010-07-27,Cameron Deckert,iNat,confirmed,,,,,,,,
Passerculus sandwichensis,9981,Passerculus sandwichensis,0,accepted,savannah sparrow,"(Gmelin, 1789)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Passerculus,sandwichensis,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-09-16,Michael Hoebel,iNat,confirmed,,,,,,,,
Passerella iliaca,9156,Passerella iliaca,0,accepted,fox sparrow,"(Merrem, 1786)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Passerella,iliaca,2016,Galiano Naturalist,Galiano Bird Checklist,,2014-04-18,Michael Hoebel,iNat,confirmed,,,,,,,,
Pipilo maculatus,9420,Pipilo maculatus,0,accepted,spotted towhee,"Swainson, 1827",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Pipilo,maculatus,2016,Galiano Naturalist,Galiano Bird Checklist,,2013-07-07,Dan MacNeal,iNat,confirmed,,,,,,,,
Spizella passerina,9135,Spizella passerina,0,accepted,chipping sparrow,"(Bechstein, 1798)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Spizella,passerina,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-04-23,Lauren Magner,iNat,confirmed,,,,,,,,
Zonotrichia albicollis,9184,Zonotrichia albicollis,0,accepted,white-throated sparrow,"(Gmelin, 1789)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Zonotrichia,albicollis,2016,Galiano Naturalist,Galiano Bird Checklist,,2019-10-13,Michael Hoebel,iNat,confirmed,,,,,,,,
Zonotrichia atricapilla,9185,Zonotrichia atricapilla,0,accepted,golden-crowned sparrow,"(Gmelin, 1789)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Zonotrichia,atricapilla,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-06-27,Sarah Tweedale,iNat,confirmed,,,,,,,,
Zonotrichia leucophrys,9176,Zonotrichia leucophrys,0,accepted,white-crowned sparrow,"(Forster, 1772)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Zonotrichia,leucophrys,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-06-19,Peter Taylor,iNat,confirmed,,,,,,,,
Zonotrichia querula,9182,Zonotrichia querula,0,accepted,Harris's sparrow,"(Nuttall, 1840)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passerellidae,,,Zonotrichia,querula,2016,Galiano Naturalist,Galiano Bird Checklist,,2019-12-27,Chad Diakow,iNat,confirmed,,,,,,,,
Passer domesticus,13858,Passer domesticus,0,accepted,house sparrow,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Passeridae,,,Passer,domesticus,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Pelecanus erythrorhynchos,4334,Pelecanus erythrorhynchos,0,accepted,American white pelican,"Gmelin, 1789",Animalia,Chordata,Vertebrata,,Aves,,,Pelecaniformes,,,,Pelecanidae,,,Pelecanus,erythrorhynchos,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-07-10,Michael Hoebel,iNat,confirmed,,,,,,,,
Nannopterum auritum,1454382,Nannopterum auritum,0,accepted,double-crested cormorant,"(Lesson, 1831)",Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,,Phalacrocoracidae,,,Nannopterum,auritum,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-12-20,Andrew Simon,iNat,confirmed,,,,,,,,
Urile pelagicus,1289605,Urile pelagicus,0,accepted,pelagic cormorant,"Pallas, 1811",Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,,Phalacrocoracidae,,,Urile,pelagicus,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-12-20,Andrew Simon,iNat,confirmed,,,,,,,,
Urile penicillatus,1289607,Urile penicillatus,0,accepted,Brandt's cormorant,"(Brandt, 1837)",Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,,Phalacrocoracidae,,,Urile,penicillatus,2016,Galiano Naturalist,Galiano Bird Checklist,,2012-05-03,Michael Hoebel,iNat,confirmed,,,,,,,,
Bonasa umbellus brunnescens,567035,Bonasa umbellus brunnescens,0,accepted,ruffed grouse,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Bonasa,umbellus,1991-04-25,R. Smith,UBC,B015112,,,iNat,reported,,,,,,,,
Dendragapus fuliginosus,72797,Dendragapus fuliginosus,0,accepted,sooty grouse,"(Ridgway, 1873)",Animalia,Chordata,Vertebrata,,Aves,,,Galliformes,,,,Phasianidae,,,Dendragapus,fuliginosus,2016,Galiano Naturalist,Galiano Bird Checklist,,2017-04-28,Andrew Simon,iNat,confirmed,1,1,1,1,1,1,miit',"(Thom, 2011)"
Colaptes auratus,18236,Colaptes auratus,0,accepted,northern flicker,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,,,Colaptes,auratus,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-02-12,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Dryobates pubescens,792988,Dryobates pubescens,0,accepted,downy woodpecker,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,,,Dryobates,pubescens,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-03-26,Kristian Sigvardsen,iNat,confirmed,,,,,,,,
Dryobates villosus,792990,Dryobates villosus,0,accepted,hairy woodpecker,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,,,Dryobates,villosus,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-04-23,Andrew Simon,iNat,confirmed,,,,,,,,
Dryocopus pileatus,17855,Dryocopus pileatus,0,accepted,pileated woodpecker,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,,,Dryocopus,pileatus,2016,Galiano Naturalist,Galiano Bird Checklist,,2010-05-22,Burl Jantzen,iNat,confirmed,,,,,,,,
Sphyrapicus nuchalis,18467,Sphyrapicus nuchalis,0,accepted,red-naped sapsucker,"Baird, 1858",Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,,,Sphyrapicus,nuchalis,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Sphyrapicus ruber,18464,Sphyrapicus ruber,0,accepted,red-breasted sapsucker,"(Gmelin, 1788)",Animalia,Chordata,Vertebrata,,Aves,,,Piciformes,,,,Picidae,,,Sphyrapicus,ruber,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-06-19,Bridgit Spencer,iNat,confirmed,,,,,,,,
Aechmophorus occidentalis,4235,Aechmophorus occidentalis,0,accepted,western grebe,"(Lawrence, 1858)",Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Aechmophorus,occidentalis,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,1,1,1,1,1,0,skwulkwulth,"(Thom, 2011)"
Podiceps auritus,4209,Podiceps auritus,0,accepted,horned grebe,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Podiceps,auritus,2016,Galiano Naturalist,Galiano Bird Checklist,,2014-01-04,Michael Hoebel,iNat,confirmed,1,1,0,1,1,0,shhw'un'ets,"(Thom, 2011)"
Podiceps grisegena,4224,Podiceps grisegena,0,accepted,red-necked grebe,"(Boddaert, 1783)",Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Podiceps,grisegena,2016,Galiano Naturalist,Galiano Bird Checklist,,2022-09-02,Liam Steele,iNat,confirmed,,,,,,,,
Podiceps nigricollis,4205,Podiceps nigricollis,0,accepted,eared grebe,"Brehm, 1831",Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Podiceps,nigricollis,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Podilymbus podiceps,4246,Podilymbus podiceps,0,accepted,pied-billed grebe,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Podicipediformes,,,,Podicipedidae,,,Podilymbus,podiceps,2016,Galiano Naturalist,Galiano Bird Checklist,,2020-07-04,blakedanis,iNat,confirmed,,,,,,,,
Rallus limicola,243,Rallus limicola,0,accepted,Virginia rail,"Vieillot, 1819",Animalia,Chordata,Vertebrata,,Aves,,,Gruiformes,,,,Rallidae,,,Rallus,limicola,,,,,2016-09-07,Romayne Galager,iNat,new 2016,,,,,,,,
Corthylio calendula,1289388,Corthylio calendula,0,accepted,ruby-crowned kinglet,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Regulidae,,,Corthylio,calendula,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-03-26,Kristian Sigvardsen,iNat,confirmed,,,,,,,,
Regulus satrapa,117100,Regulus satrapa,0,accepted,golden-crowned kinglet,"(Lichtenstein, 1823)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Regulidae,,,Regulus,satrapa,2016,Galiano Naturalist,Galiano Bird Checklist,,2009-07-26,Cameron Deckert,iNat,confirmed,,,,,,,,
Actitis macularius,72458,Actitis macularius,0,accepted,spotted sandpiper,"(Linnaeus, 1766)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Actitis,macularius,2016,Galiano Naturalist,Galiano Bird Checklist,,2017-05-19,Andrew Simon,iNat,confirmed,,,,,,,,
Arenaria interpres,3938,Arenaria interpres,0,accepted,ruddy turnstone,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Arenaria,interpres,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Arenaria melanocephala,3941,Arenaria melanocephala,0,accepted,black turnstone,"(Vigors, 1829)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Arenaria,melanocephala,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-08-08,Chessi Miltner,iNat,confirmed,,,,,,,,
Calidris alpina,3857,Calidris alpina,0,accepted,Dunlin,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,alpina,2016,Galiano Naturalist,Galiano Bird Checklist,,2019-05-04,Joan Septembre,iNat,confirmed,,,,,,,,
Calidris mauri,3855,Calidris mauri,0,accepted,western sandpiper,"Cabanis, 1857",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,mauri,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Calidris virgata,339592,Calidris virgata,0,accepted,surfbird,"(Gmelin, 1789)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Calidris,virgata,2016,Galiano Naturalist,Galiano Bird Checklist,,2014-10-19,Michael Hoebel,iNat,confirmed,,,,,,,,
Gallinago delicata,144496,Gallinago delicata,0,accepted,Wilson’s snipe,"Ord, 1825",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Gallinago,delicata,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Limnodromus scolopaceus,3873,Limnodromus scolopaceus,0,accepted,long-billed dowitcher,"(Say, 1823)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Limnodromus,scolopaceus,2016,Galiano Naturalist,Galiano Bird Checklist,,2013-10-07,Michael Hoebel,iNat,confirmed,,,,,,,,
Phalaropus fulicarius,73203,Phalaropus fulicarius,0,accepted,red phalarope,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Phalaropus,fulicarius,2016-12-01,Keith Riding,eBird,,,,iNat,reported,,,,,,,,
Phalaropus lobatus,3959,Phalaropus lobatus,0,accepted,red-necked phalarope,"(Linnaeus, 1758)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Phalaropus,lobatus,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Tringa flavipes,3893,Tringa flavipes,0,accepted,lesser yellowlegs,"(Gmelin, 1789)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Tringa,flavipes,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-09-05,Sarah Tweedale,iNat,confirmed,,,,,,,,
Tringa melanoleuca,3892,Tringa melanoleuca,0,accepted,greater yellowlegs,"(Gmelin, 1789)",Animalia,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,,Scolopacidae,,,Tringa,melanoleuca,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Sitta canadensis,14823,Sitta canadensis,0,accepted,red-breasted nuthatch,"Linnaeus, 1766",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Sittidae,,,Sitta,canadensis,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-02-23,Andrew Simon,iNat,confirmed,,,,,,,,
Aegolius acadicus,20356,Aegolius acadicus,0,accepted,northern saw-whet owl,"(Gmelin, 1788)",Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Aegolius,acadicus,2016,Galiano Naturalist,Galiano Bird Checklist,,2020-02-03,Tanya Inglis,iNat,confirmed,,,,,,,,
Asio flammeus,20315,Asio flammeus,0,accepted,short-eared owl,"(Pontoppidan, 1763)",Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Asio,flammeus,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Bubo virginianus,20044,Bubo virginianus,0,accepted,great horned owl,"(Gmelin, 1788)",Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Bubo,virginianus,2016,Galiano Naturalist,Galiano Bird Checklist,,2018-06-28,Kevin Toomer,iNat,confirmed,,,,,,,,
Glaucidium gnoma,19812,Glaucidium gnoma,0,accepted,mountain pygmy owl,"Wagler, 1832",Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Glaucidium,gnoma,1994-03-25,Aziza Cooper,eBird,,,,iNat,reported,,,,,,,,
Megascops kennicottii,19743,Megascops kennicottii,0,accepted,western screech owl,"(Elliot, 1867)",Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Megascops,kennicottii,2016,Galiano Naturalist,Galiano Bird Checklist,,,,iNat,reported,,,,,,,,
Strix varia,19893,Strix varia,0,accepted,barred owl,"Barton, 1799",Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Strigidae,,,Strix,varia,2016,Galiano Naturalist,Galiano Bird Checklist,,2010-07-07,Karolle Wall,iNat,confirmed,,,,,,,,
Sturnus vulgaris,14850,Sturnus vulgaris,0,accepted,European starling,"Linnaeus, 1758",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Sturnidae,,,Sturnus,vulgaris,2016,Galiano Naturalist,Galiano Bird Checklist,,2008-05-10,Michael Hoebel,iNat,confirmed,,,,,,,,
Calypte anna,6317,Calypte anna,0,accepted,Anna's hummingbird,"(Lesson, 1829)",Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,,Trochilidae,Trochilinae,Mellisugini,Calypte,anna,2016,Galiano Naturalist,Galiano Bird Checklist,,2014-03-14,Michael Hoebel,iNat,confirmed,,,,,,,,
Selasphorus rufus,6363,Selasphorus rufus,0,accepted,rufous hummingbird,"(Gmelin, 1788)",Animalia,Chordata,Vertebrata,,Aves,,,Caprimulgiformes,,,,Trochilidae,Trochilinae,Mellisugini,Selasphorus,rufus,2016,Galiano Naturalist,Galiano Bird Checklist,,2003-07-30,Shera Street,iNat,confirmed,,,,,,,,
Cistothorus palustris,7601,Cistothorus palustris,0,accepted,marsh wren,"(Wilson, A, 1810)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Troglodytidae,,,Cistothorus,palustris,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-01-24,Lauren Magner & Andrew Simon,iNat,confirmed,,,,,,,,
Thryomanes bewickii,7576,Thryomanes bewickii,0,accepted,Bewick’s wren,"P.L. Sclater, 1862",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Troglodytidae,,,Thryomanes,bewickii,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-05-10,Michael Hoebel,iNat,confirmed,,,,,,,,
Troglodytes aedon,7562,Troglodytes aedon,0,accepted,house wren,"(Vieillot, 1809)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Troglodytidae,,,Troglodytes,aedon,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-04-23,Andrew Simon,iNat,confirmed,,,,,,,,
Troglodytes pacificus,144882,Troglodytes pacificus,0,accepted,Pacific wren,"Baird, 1864",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Troglodytidae,,,Troglodytes,pacificus,2016,Galiano Naturalist,Galiano Bird Checklist,,2010-10-21,Michael Hoebel,iNat,confirmed,,,,,,,,
Catharus guttatus,12890,Catharus guttatus,0,accepted,hermit thrush,"(Pallas, 1811)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Catharus,guttatus,2016,Galiano Naturalist,Galiano Bird Checklist,,2013-04-28,Michael Hoebel,iNat,confirmed,,,,,,,,
Catharus ustulatus,12878,Catharus ustulatus,0,accepted,Swainson's thrush,"(Nuttall, 1840)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Catharus,ustulatus,2016,Galiano Naturalist,Galiano Bird Checklist,,2016-07-07,Andrew Simon,iNat,confirmed,,,,,,,,
Ixoreus naevius,145088,Ixoreus naevius,0,accepted,varied thrush,"Gmelin, 1789",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Ixoreus,naevius,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-12-15,Michael Hoebel,iNat,confirmed,,,,,,,,
Myadestes townsendi,12951,Myadestes townsendi,0,accepted,Townsend's solitaire,"(Audubon, 1838)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Myadestes,townsendi,2016,Galiano Naturalist,Galiano Bird Checklist,,2010-05-01,Michael Hoebel,iNat,confirmed,,,,,,,,
Sialia currucoides,12936,Sialia currucoides,0,accepted,mountain bluebird,"(Bechstein, 1798)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Sialia,currucoides,,,,,2023-04-26,Kevin Toomer,iNat,new 2023,,,,,,,,
Turdus migratorius,12727,Turdus migratorius,0,accepted,American robin,"Linnaeus, 1766",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Turdidae,,,Turdus,migratorius,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-02-22,Andrew Simon,iNat,confirmed,,,,,,,,
Contopus cooperi,16110,Contopus cooperi,0,accepted,olive-sided flycatcher,"(Swainson, 1832)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Contopus,cooperi,2016,Galiano Naturalist,Galiano Bird Checklist,,2012-05-20,Michael Hoebel,iNat,confirmed,,,,,,,,
Contopus sordidulus,16079,Contopus sordidulus,0,accepted,western wood-pewee,"(Sclater, 1859)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Contopus,sordidulus,2016,Galiano Naturalist,Galiano Bird Checklist,,2020-08-02,Liam Steele,iNat,confirmed,,,,,,,,
Empidonax difficilis,16598,Empidonax difficilis,0,accepted,Pacific-slope flycatcher,"Baird, 1858",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Empidonax,difficilis,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-06-20,Bridgit Spencer,iNat,confirmed,,,,,,,,
Empidonax hammondii,16624,Empidonax hammondii,0,accepted,Hammond’s flycatcher,"(Xantus de Vesey, 1858)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Empidonax,hammondii,2016,Galiano Naturalist,Galiano Bird Checklist,,2023-06-01,Richard Harrigan,iNat,confirmed,,,,,,,,
Empidonax traillii,16611,Empidonax traillii,0,accepted,willow flycatcher,"(Audubon, 1828)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Empidonax,traillii,2016,Galiano Naturalist,Galiano Bird Checklist,,2015-07-15,Michael Hoebel,iNat,confirmed,,,,,,,,
Tyrannus melancholicus,16787,Tyrannus melancholicus,0,accepted,tropical kingbird,"(Vieillot, 1819)",Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,,Tyrannidae,,,Tyrannus,melancholicus,2019-11-20,Carl Estabrook,eBird,,,,iNat,new 2019,,,,,,,,
Tyto alba,20445,Tyto alba,0,accepted,barn owl,"(Scopoli, 1769)",Animalia,Chordata,Vertebrata,,Aves,,,Strigiformes,,,,Tytonidae,,,Tyto,alba,,,,,2017-02-25,Sarah Tweedale,iNat,new 2017,,,,,,,,
