Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Documenting,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Chone aurantiaca,"(Johnson, 1901)",,orange feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,1999-05-04,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,356415,MAR
Chone minuta,"Hartman, 1944",,minute feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,2007-10-21,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,339234,MAR
Eudistylia vancouveri,"(Kinberg, 1867)",,Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,Ocean Wise,,,2015-01-01,Peter Luckham,http://www.inaturalist.org/observations/2797277,https://static.inaturalist.org/photos/3175031/medium.jpg?1458270041,,84864,MAR
Myxicola aesthetica,"(Calparede, 1870)",,petite slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,2018-06-19,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,492594,MAR
Myxicola infundibulum,"(Renier, 1804)",,slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,1993-05-09,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,49533,MAR
Parasabella media,"(Bush, 1905)",,parasol feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,1994-09-10,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,367054,MAR
Schizobranchia insignis,"Bush, 1905",,split-branch feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,Ocean Wise,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7674363,https://static.inaturalist.org/photos/10049762/medium.jpg?1503850746,,339561,MAR
Apomatus sp.,,,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,2007-10-14,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,375596,MAR
Crucigera sp.,,,pale calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,2002-03-23,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,543578,MAR
Protula pacifica,"Pixell, 1912",,white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,538108,MAR
Pseudochitinopoma occidentalis,"Bush, 1909",,western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,2006-03-05,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,538107,MAR
Salmacina tribranchiata,"(Moore, 1923)",,three-branch calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,2006-11-18,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,194972,MAR
Serpula columbiana,"Johnson, 1901",,red-trumpet calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,confirmed,observed,1986-04-08,,RBCM,986-00191-010,,2015-09-25,Karolle Wall,http://www.inaturalist.org/observations/3706037,https://static.inaturalist.org/photos/4303535/medium.jpg?1468966530,,131207,MAR
Dodecaceria concharum,Oersted,,coralline-encased filament-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,,,reported,unobserved,1999-07-31,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,464813,MAR
Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",,fringed filament-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,,,confirmed,observed,1969-02-21,Andy Lamb & Donna Gibbs,Ocean Wise,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763488,https://static.inaturalist.org/photos/3127777/medium.jpg?1457578667,,192656,MAR
Pectinaria granulata,"(Linnaeus, 1767)",,tusk coneworm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Pectinariidae,,,,reported,unobserved,1999-10-02,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,reported as Pectinaria granulata,464624,MAR
Pista elongata,"Moore, 1909",,basket-top spaghetti-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Terebellidae,,,,reported,unobserved,1993-08-16,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,338339,MAR
Thelepus sp.,,,curly-head spaghetti-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Terebellidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,Ocean Wise,,,,,,,,117588,MAR
Agelenopsis sp.,,,grass spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,,new 2016,observed,,,,,,2016-08-15,Andrew Simon,http://www.inaturalist.org/observations/3903554,https://static.inaturalist.org/photos/4587871/medium.jpg?1471414953,,82116,ART
Eratigena agrestis,"(Walckenaer, 1802)",,hobo spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,exotic,unlisted,new 2016,observed,,,,,,2016-08-15,Andrew Simon,http://www.inaturalist.org/observations/3897194,https://static.inaturalist.org/photos/4578338/medium.jpg?1471331079,,454859,ART
Eratigena duellica,"Simon, 1875",,giant house spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,exotic,unlisted,confirmed,observed,2002-12-25,Robb Bennett,RBCM,ENT006-005799,,2014-06-21,Andrew Simon,http://www.inaturalist.org/observations/748881,https://static.inaturalist.org/photos/941266/medium.jpg?1403417916,Eratigena atrica group split; ours is E. duellica (Oxford 2018),750907,ART
Tegenaria domestica,"(Clerck, 1757)",,barn funnel weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,exotic,unlisted,reported,unobserved,2002-12-25,Robb Bennett,RBCM,ENT006-005799,,,,,,,153507,ART
Callobius pictus,"(Simon, 1884)",,truncated laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,native,S5 (2018),new 2016,observed,,,,,,2016-08-14,Andrew Simon,http://www.inaturalist.org/observations/3895260,https://static.inaturalist.org/photos/4575422/medium.jpg?1471305675,,199277,ART
Callobius severus,"(Simon, 1884)",,west coast laceweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,native,S5 (2018),confirmed,observed,1984-04-20,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0014,,2016-09-11,Andrew Simon,http://www.inaturalist.org/observations/4092193,https://static.inaturalist.org/photos/4857893/medium.jpg?1473661437,,49549,ART
Antrodiaetus pacificus,"(Simon, 1884)",,common foldingdoor spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Mygalomorphae,Atypoidea,Antrodiaetidae,,native,S5 (2018),new 2017,observed,,,,,,2017-09-04,Andrew Simon,https://www.inaturalist.org/observations/8173993,https://static.inaturalist.org/photos/10825490/medium.jpg?1506719947,,199276,ART
Anyphaena aperta,"(Banks, 1921)",,west coast ghost spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Anyphaenidae,,native,S4 (2018),confirmed,observed,1983-04-30,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0748,,2017-05-31,Andrew Simon,https://www.inaturalist.org/observations/8172198,https://static.inaturalist.org/photos/10823096/medium.jpg?1506712810,,213821,ART
Araneus diadematus,"Clerck, 1758",,cross orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,exotic,unlisted,new 2015,observed,,,,,,2012-09-13,Rolando Lampitoc,http://www.inaturalist.org/observations/4021751,https://static.inaturalist.org/photos/4752043/large.jpg?1472866363,,52628,ART
Araneus trifolium,"(Hentz, 1847)",,shamrock orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,native,S5 (2018),new 2018,observed,,,,,,2018-07-13,Marty Moser,https://www.inaturalist.org/observations/15144584,https://static.inaturalist.org/photos/22637442/medium.jpeg?1533498124,,119122,ART
Araniella displicata,"(Hentz, 1847)",,six-spotted orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,native,S5 (2018),new 2018,observed,,,,,,2018-05-25,Andrew Simon,https://www.inaturalist.org/observations/12820090,https://static.inaturalist.org/photos/18610308/medium.jpeg?1527352223,,81984,ART
Cyclosa sp.,,,trashline orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,,new 2019,observed,,,,,,2018-05-23,Andrew Simon,https://www.inaturalist.org/observations/12762560,https://static.inaturalist.org/photos/18493937/medium.jpeg?1527141665,,127360,ART
Larinioides cornutus,"(Clerck, 1757)",,furrow orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,native,S5 (2018),new 2017,observed,,,,,,2017-04-15,Andrew Simon,https://www.inaturalist.org/observations/5784843,https://static.inaturalist.org/photos/7187162/medium.jpg?1492418601,,126513,ART
Neoscona crucifera,"(Lucas, 1839)",,spotted orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,,new 2018,observed,,,,,,2018-10-22,Kevin Toomer,https://www.inaturalist.org/observations/17752494,https://static.inaturalist.org/photos/27076446/medium.jpg?1540240595,,85034,ART
Castianeira longipalpa,"(Hentz, 1847)",,common ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,native,S5 (2018),new 2016,observed,,,,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017046,https://static.inaturalist.org/photos/4745363/medium.jpg?1472820300,,70300,ART
Castianeira walsinghami,"(O. P.-Cambridge, 1874)",,Walsingham ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,native,S5 (2018),new 2018,observed,,,,,,2018-07-30,Tyson Ehlers,https://www.inaturalist.org/observations/15113061,https://static.inaturalist.org/photos/22578278/medium.jpeg?1533413214,,216170,ART
Cybaeota shastae,"Chamberlin & Ivie, 1937",,western cryptic woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,native,S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,,217950,ART
Cybaeus morosus,"Simon, 1886",,northwest woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,native,S5 (2018),reported,unobserved,1991-09-02,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0281,,,,,,,217953,ART
Cybaeus signifer,"Simon, 1886",,night-hunting woodland spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,native,S5 (2018),new 2016,observed,,,,,,2016-07-26,Andrew Simon,http://www.inaturalist.org/observations/3766333,https://static.inaturalist.org/photos/4388759/medium.jpg?1469825647,,52949,ART
Cicurina tersa,"Simon, 1886",,western small-eared littleweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Dictynidae,,native,S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,,217002,ART
Dysdera crocata,"C. L. Koch, 1838",,slater slayer,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,exotic,unlisted,confirmed,observed,2016-09-04,RBCM BC Spider Database,RBCM,,,2016-07-09,Andrew Simon,http://www.inaturalist.org/observations/3652611,https://static.inaturalist.org/photos/4226761/medium.jpg?1468129729,,68912,ART
Gnaphosa sp.,,,gnaphosid spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,,,new 2018,observed,,,,,,2018-10-20,Andrew Simon,https://www.inaturalist.org/observations/17693171,https://static.inaturalist.org/photos/26965234/medium.jpeg?1540074324,,153645,ART
Sergiolus columbianus,"(Emerton, 1917)",,western patterened ant-mimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,native,S5 (2018),new 2014,observed,,,,,,2014-06-09,Andrew Simon,http://www.inaturalist.org/observations/728018,https://static.inaturalist.org/photos/914427/medium.jpg?1402361252,,230819,ART
Ethobuella tuonops,"Chamberlin & Ivie, 1937",,big-eyed forest litter spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Hahniidae,,native,S4S5 (2018),reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017152,,,,,,,219592,ART
Ceratinops inflatus,"(Emerton, 1923)",,high-headed rugose money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,S4S5 (2018),reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017151,,,,,,,216458,ART
Drapetisca alteranda,"Chamberlin, 1909",,northern long-toothed sheetweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,SU (2018),new 2018,observed,,,,,,2018-09-23,Ian Guthrie,https://www.inaturalist.org/observations/18844619,https://static.inaturalist.org/photos/28868539/original.jpg?1544028847,,218702,ART
Microlinyphia sp.,,,dwarf weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,new 2016,observed,,,,,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512983,https://static.inaturalist.org/photos/4090581/medium.jpg?1466750607,,172535,ART
Neriene digna,"(Keyserling, 1886)",,eared western dome spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,S5 (2018),confirmed,observed,2007-12-26,Robb Bennett,RBCM,ENT009-004640,,2016-06-23,Andrew Simon,http://www.inaturalist.org/observations/3512994,https://static.inaturalist.org/photos/4090612/medium.jpg?1466751227,,225813,ART
Pityohyphantes sp.,,,dwarf weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,new 2017,observed,,,,,,2017-05-31,Andrew Simon,https://www.inaturalist.org/observations/8171933,https://static.inaturalist.org/photos/10822708/medium.jpg?1506711189,,153447,ART
Scotinotylus patellatus,"(Emerton, 1917)",,west coast corkscrew money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,S4S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,,230703,ART
Spirembolus mundus,"Millidge, 1980",,northwestern corkscrew money spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,SU (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,,231417,ART
Tachygyna vancouverana,"Chamberlin & Ivie, 1939",,Vancouver spinster,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,S5 (2018),new 2019,observed,,,,,,2019-04-26,Andrew Simon,https://www.inaturalist.org/observations/24351458,https://static.inaturalist.org/photos/37652321/original.jpeg?1556773616,,232223,ART
Tenuiphantes zelatus,"(Zorsch, 1937)",,enthusiastic thin sheetweaver spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,S5 (2018),reported,unobserved,2012-05-09,Robb Bennett,RBCM,ENT012-017150,,,,,,,455054,ART
Wubana pacifica,"(Banks, 1896)",,dark unicorn,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,native,S5 (2018),reported,unobserved,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,,233674,ART
Alopecosa kochi,"(Keyserling, 1877)",,koch fox spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,native,S5 (2018),new 2017,observed,,,,,,2017-03-25,Andrew Simon,https://www.inaturalist.org/observations/5471889,https://static.inaturalist.org/photos/6739224/medium.jpeg?1490579717,,143470,ART
Pardosa dorsuncata,"Lowrie & Dondale, 1981",,western leopard spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,native,S5 (2018),reported,unobserved,1985-05-05,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0437,,,,,,,227171,ART
Pardosa lowriei,"Kronestedt, 1975",,Lowrie leopard spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,native,S5 (2018),reported,unobserved,1985-05-05,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0447,,,,,,,227180,ART
Pardosa vancouveri,"Emerton, 1917",,Vancouver leopard spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,native,S4S5 (2018),confirmed,observed,1975-04-16,J. Spence,RBCM,ENT991-057062,,2017-05-31,Andrew Simon,https://www.inaturalist.org/observations/8172357,https://static.inaturalist.org/photos/10823198/medium.jpg?1506713148,,227200,ART
Philodromus rufus,"Walckenaer, 1826",,whitestriped agile crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,native,SU (2018),reported,unobserved,1983-04-30,Geoffrey G.E. Scudder,SEM,SEM-UBC SPI-0864,,,,,,,153860,ART
Pholcus phalangioides,"Füssli, 1775",,longbodied cellar spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,,exotic,unlisted,confirmed,observed,2016-09-04,RBCM BC Spider Database,RBCM,,,2016-08-26,Andrew Simon,http://www.inaturalist.org/observations/3971609,https://static.inaturalist.org/photos/4683089/medium.jpg?1472272859,,67328,ART
Phrurotimpus cf borealis,"(Emerton, 1911)",,greater darklegged dwarf antmimic,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Phrurolithidae,,native,S5 (2018),new 2019,observed,,,,,,2019-04-26,Andrew Simon,https://www.inaturalist.org/observations/24351468,https://static.inaturalist.org/photos/37652604/original.jpeg?1556773778,,153793,ART
Attinella dorsata,"(Banks, 1895)",,elongate patterned jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Sitticinae,native,SU (2018),new 2019,unobserved,2019-05-04,Wayne Maddison,Bioblitz 2019,,,,,,,,231092,ART
Eris militaris,"(Hentz, 1845)",,bronze jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,native,S4S5 (2018),confirmed,observed,2016-09-04,RBCM BC Spider Database,RBCM,,,2016-07-23,Sarah Tweedale,http://inaturalist.ca/observations/3737473,https://static.inaturalist.org/photos/4343916/medium.jpeg?1469375097,,121445,ART
Evarcha proszynskii,"Marusik & Logunov, 1998",,Proszynski knobbed jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Plexippinae,native,S5 (2018),new 2016,observed,,,,,,2016-07-19,Andrew Simon,http://www.inaturalist.org/observations/3707139,https://static.inaturalist.org/photos/4305243/medium.jpg?1468978677,,61759,ART
Habronattus hirsutus,"(Peckham & Peckham, 1888)",,common western ornamented jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,native,S4 (2018),new 2019,unobserved,2019-05-04,Wayne Maddison,Bioblitz 2019,,,,,,,,220812,ART
