Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Date observed,Description,Place name,Latitude,Longitude,Tags,Geoprivacy,Max. depth,Bottom time,Common name,iNaturalist taxon name,iNaturalist taxon ID,Observation count
Chone minuta,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Chone,,,,,,,,,,minute feather-duster,Chone minuta,339234,1
Eudistylia polymorpha,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Eudistylia,,,,,,,,,,polymorph feather-duster,Eudistylia polymorpha,117595,1
Eudistylia vancouveri,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Eudistylia,,,,,,,,,,Vancouver feather-duster,Eudistylia vancouveri,84864,1
Myxicola aesthetica,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Myxicola,,,,,,,,,,petite slime-tube feather-duster,Myxicola aesthetica,492594,1
Myxicola infundibulum,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Myxicola,,,,,,,,,,slime-tube feather-duster,Myxicola infundibulum,49533,1
Parasabella media,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Parasabella,,,,,,,,,,parasol feather-duster,Parasabella media,367054,1
Schizobranchia insignis,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,Schizobranchia,,,,,,,,,,split-branch feather-duster,Schizobranchia insignis,339561,1
Apomatus sp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Serpulinae,,Apomatus,,,,,,,,,,pearl-topped calcareous worm,Apomatus,375596,1
Crucigera sp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Crucigera,,,,,,,,,,pale calcareous tubeworm,Crucigera,543578,1
Protula pacifica,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Protula,,,,,,,,,,white-crown calcareous tubeworm,Protula pacifica,538108,1
Pseudochitinopoma occidentalis,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Pseudochitinopoma,,,,,,,,,,western calcareous tubeworm,Pseudochitinopoma occidentalis,538107,1
Salmacina tribranchiata,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,Salmacina,,,,,,,,,,three-branch calcareous tubeworm,Salmacina tribranchiata,194972,1
Serpula columbiana,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,Serpulinae,,Serpula,,,,,,,,,,red-trumpet calcareous tubeworm,Serpula columbiana,131207,1
Dodecaceria concharum,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Cirratulidae,,,Dodecaceria,,,,,,,,,,coralline-encased filament-worm,Dodecaceria concharum,464813,1
Dodecaceria fewkesi,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Cirratulidae,,,Dodecaceria,,,,,,,,,,fringed filament-worm,Dodecaceria fewkesi,192656,1
Cistenides granulata,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Pectinariidae,,,Cistenides,,,,,,,,,,tusk coneworm,Cistenides granulata,464624,1
Pista elongata,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Terebellidae,,,Pista,,,,,,,,,,basket-top spaghetti-worm,Pista elongata,338339,1
Thelepus sp.,Animalia,Annelida,,,Polychaeta,Sedentaria,,Terebellida,,,Terebellidae,,,Thelepus,,,,,,,,,,curly-head spaghetti-worm,Thelepus,117588,1
Agelenopsis sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Agelenopsis,,,,,,,,,,grass spider,Agelenopsis,82116,1
Eratigena agrestis,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Eratigena,,,,,,,,,,hobo spider,Eratigena agrestis,454859,1
Eratigena duellica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Eratigena,,,,,,,,,,giant house spider,Eratigena duellica,750907,1
Tegenaria domestica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Agelenoidea,Agelenidae,,,Tegenaria,,,,,,,,,,barn funnel weaver,Tegenaria domestica,153507,1
Callobius pictus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,Callobius,,,,,,,,,,truncated laceweaver,Callobius pictus,199277,1
Callobius severus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,Callobius,,,,,,,,,,west coast laceweaver,Callobius severus,49549,1
Antrodiaetus pacificus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Mygalomorphae,Atypoidea,Antrodiaetidae,,,Antrodiaetus,,,,,,,,,,common foldingdoor spider,Antrodiaetus pacificus,199276,1
Anyphaena aperta,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Anyphaenidae,,,Anyphaena,,,,,,,,,,west coast ghost spider,Anyphaena aperta,213821,1
Araneus diadematus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Araneus,,,,,,,,,,cross orbweaver,Araneus diadematus,52628,1
Araneus trifolium,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Araneus,,,,,,,,,,shamrock orbweaver,Araneus trifolium,119122,1
Araniella displicata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Araniella,,,,,,,,,,six-spotted orbweaver,Araniella displicata,81984,1
Larinioides cornutus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Larinioides,,,,,,,,,,furrow orbweaver,Larinioides cornutus,126513,1
Neoscona crucifera,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,Neoscona,,,,,,,,,,spotted orbweaver,Neoscona crucifera,85034,1
Castianeira longipalpa,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,,Castianeira,,,,,,,,,,common ant-mimic,Castianeira longipalpa,70300,1
Castianeira walsinghami,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,,Castianeira,,,,,,,,,,Walsingham ant-mimic,Castianeira walsinghami,216170,1
Cybaeota shastae,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Cybaeota,,,,,,,,,,western cryptic woodland spider,Cybaeota shastae,217950,1
Cybaeus morosus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Cybaeus,,,,,,,,,,northwest woodland spider,Cybaeus morosus,217953,1
Cybaeus signifer,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Cybaeus,,,,,,,,,,night-hunting woodland spider,Cybaeus signifer,52949,1
Cicurina tersa,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Hahniidae,,,Cicurina,,,,,,,,,,western small-eared littleweaver,Cicurina tersa,217002,1
Dysdera crocata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,,Dysdera,,,,,,,,,,slater slayer,Dysdera crocata,68912,1
Gnaphosa sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,,Gnaphosa,,,,,,,,,,gnaphosid spider,Gnaphosa,153645,1
Sergiolus columbianus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,,Sergiolus,,,,,,,,,,western patterened ant-mimic,Sergiolus columbianus,230819,1
Ethobuella tuonops,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,Ethobuella,,,,,,,,,,big-eyed forest litter spider,Ethobuella tuonops,219592,1
Ceratinops inflatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Ceratinops,,,,,,,,,,high-headed rugose money spider,Ceratinops inflatus,216458,1
Drapetisca alteranda,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Drapetisca,,,,,,,,,,northern long-toothed sheetweaver,Drapetisca alteranda,218702,1
Microlinyphia sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Microlinyphia,,,,,,,,,,dwarf weaver,Microlinyphia,172535,1
Neriene digna,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Neriene,,,,,,,,,,eared western dome spider,Neriene digna,225813,1
Pityohyphantes sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Pityohyphantes,,,,,,,,,,dwarf weaver,Pityohyphantes,153447,1
Scotinotylus patellatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Scotinotylus,,,,,,,,,,west coast corkscrew money spider,Scotinotylus patellatus,230703,1
Spirembolus mundus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Spirembolus,,,,,,,,,,northwestern corkscrew money spider,Spirembolus mundus,231417,1
Tenuiphantes zelatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Tenuiphantes,,,,,,,,,,enthusiastic thin sheetweaver spider,Tenuiphantes zelatus,455054,1
Wubana pacifica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,Wubana,,,,,,,,,,dark unicorn,Wubana pacifica,233674,1
Alopecosa kochi,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,Alopecosa,,,,,,,,,,koch fox spider,Alopecosa kochi,143470,1
Pardosa dorsuncata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,Pardosa,,,,,,,,,,western leopard spider,Pardosa dorsuncata,227171,1
Pardosa lowriei,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,Pardosa,,,,,,,,,,Lowrie leopard spider,Pardosa lowriei,227180,1
Pardosa sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,Pardosa,,,,,,,,,,thinlegged wolf spider,Pardosa,47415,1
Pardosa vancouveri,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,Pardosa,,,,,,,,,,Vancouver leopard spider,Pardosa vancouveri,227200,1
Philodromus rufus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,,Philodromus,,,,,,,,,,whitestriped agile crab spider,Philodromus rufus,153860,1
Philodromus sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,,Philodromus,,,,,,,,,,running crab spider,Philodromus,56611,1
Pholcus phalangioides,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,,,Pholcus,,,,,,,,,,longbodied cellar spider,Pholcus phalangioides,67328,1
Eris militaris,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Eris,,,,,,,,,,bronze jumper,Eris militaris,121445,1
Metaphidippus manni,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Metaphidippus,,,,,,,,,,western oak jumper,Metaphidippus manni,158632,1
Neon reticulatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Neonini,Neon,,,,,,,,,,holarctic tiny jumper,Neon reticulatus,225672,1
Phidippus johnsoni,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Phidippus,,,,,,,,,,Johnson jumper,Phidippus johnsoni,58421,1
Platycryptus californicus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Dendryphantini,Platycryptus,,,,,,,,,,western flattened jumper,Platycryptus californicus,228315,1
Salticus scenicus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Salticinae,Salticini,Salticus,,,,,,,,,,zebra jumper,Salticus scenicus,68901,1
Usofila pacifica,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Leptonetoidea,Telemidae,,,Usofila,,,,,,,,,,northwestern long-legged cave spider,Usofila pacifica,233352,1
Metellina curtisi,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,Metellina,,,,,,,,,,Curtis armored orbweaver,Metellina curtisi,196577,1
Tetragnatha sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,Tetragnatha,,,,,,,,,,long-jawed orbweaver,Tetragnatha,47550,1
Enoplognatha ovata,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Enoplognatha,,,,,,,,,,common candy-striped spider,Enoplognatha ovata,219195,1
Latrodectus hesperus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Latrodectus,,,,,,,,,,western black widow,Latrodectus hesperus,47382,1
Rugathodes sexpunctatus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Rugathodes,,,,,,,,,,common six-spotted orb-weaver,Rugathodes sexpunctatus,230328,1
Steatoda grossa,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Steatoda,,,,,,,,,,false black widow,Steatoda grossa,61997,1
Theridion sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,Theridion,,,,,,,,,,cobweb spider,Theridion,82081,1
Bassaniana cf utahensis,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Bassaniana,,,,,,,,,,common bark crab spider,Bassaniana utahensis,298120,1
Coriarachne brunneipes,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Coriarachne,,,,,,,,,,dark bark crab spider,Coriarachne brunneipes,217594,1
Misumena vatia,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Misumena,,,,,,,,,,goldenrod crab spider,Misumena vatia,55746,1
Xysticus pretiosus,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Xysticus,,,,,,,,,,western ground crab spider,Xysticus pretiosus,233894,1
Xysticus sp.,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,Xysticus,,,,,,,,,,ground crab spider,Xysticus,61903,1
Ixodes pacificus,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Parasitiformes,Ixodida,,,Ixodidae,,,Ixodes,,,,,,,,,,western blacklegged tick,Ixodes pacificus,60599,1
Eriophyes emarginatae,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,,,Eriophyes,,,,,,,,,,leaf gall mite,Eriophyes emarginatae,322964,1
Balanus glandula,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,,,,,,,,,,common acorn barnacle,Balanus glandula,81610,1
Balanus nubilus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,,,,,,,,,,giant acorn barnacle,Balanus nubilus,49127,1
Nearctodesmus sp.,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,,,Nearctodesmidae,,,Nearctodesmus,,,,,,,,,,,Nearctodesmus,154960,1
Harpaphe haydeniana,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,Leptodesmidea,Xystodesmoidea,Xystodesmidae,Xystodesminae,Xystodesmini,Harpaphe,,,,,,,,,,yellow-spotted millipede,Harpaphe haydeniana,47737,1
Entomobrya triangularis,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Entomobryomorpha,,Entomobryoidea,Entomobryidae,,,Entomobrya,,,,,,,,,,,Entomobrya triangularis,296704,1
Ptenothrix maculosa,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Symphypleona,,Dicyrtomoidea,Dicyrtomidae,,,Ptenothrix,,,,,,,,,,,Ptenothrix maculosa,491087,1
Pollicipes polymerus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Scalpelliformes,,,Pollicipedidae,,,Pollicipes,,,,,,,,,,goose-neck barnacle,Pollicipes polymerus,48786,1
Semibalanus balanoides,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Archaeobalanidae,,,Semibalanus,,,,,,,,,,ridge-less barnacle,Semibalanus balanoides,118832,1
Semibalanus cariosus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Archaeobalanidae,,,Semibalanus,,,,,,,,,,thatched acorn barnacle,Semibalanus cariosus,47658,1
Balanus crenatus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,,,,,,,,,,common acorn barnacle,Balanus crenatus,117672,1
Balanus rostratus,Animalia,Arthropoda,Crustacea,Multicrustacea,Hexanauplia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,Balanus,,,,,,,,,,rostrate barnacle,Balanus rostratus,782656,1
Argulus pugettensis,Animalia,Arthropoda,Crustacea,Oligostraca,Ichthyostraca,Branchiura,,Arguloida,,,Argulidae,,,Argulus,,,,,,,,,,surfperch fish louse,Argulus pugettensis,873865,1
Zootermopsis angusticollis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Blattodea,,Blattoidea,Archotermopsidae,,,Zootermopsis,,,,,,,,,,Pacific dampwood termite,Zootermopsis angusticollis,121383,1
Necrophilus hydrophiloides,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Agyrtidae,Necrophilinae,,Necrophilus,,,,,,,,,,primitive carrion beetle,Necrophilus hydrophiloides,176866,1
Macropogon testaceipennis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Artematopodidae,,,Macropogon,,,,,,,,,,click beetle,Macropogon testaceipennis,455135,1
Odonteus obesus,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Bolboceratidae,,,Odonteus,,,,,,,,,,earth-boring scarab beetle,Odonteus obesus,456509,1
Polycaon stoutii,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Bostrichidae,Polycaoninae,,Polycaon,,,,,,,,,,Stout’s hardwood borer,Polycaon stoutii,345140,1
Oxylaemus sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Bothrideridae,Teredinae,,Oxylaemus,,,,,,,,,,dry bark beetle,Oxylaemus,455150,1
Eutrichapion cavifrons,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Brentidae,Apioninae,,Eutrichapion,,,,,,,,,,straight-snouted weevil,Eutrichapion cavifrons,455154,1
Rhopalapion longirostre,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Brentidae,Apioninae,,Rhopalapion,,,,,,,,,,hollyhock weevil,Rhopalapion longirostre,455182,1
Anthaxia retifer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Anthaxiini,Anthaxia,,,,,,,,,,metallic wood-boring beetle,Anthaxia retifer,455220,1
Buprestis aurulenta,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Buprestis,,,,,,,,,,golden buprestid,Buprestis aurulenta,215596,1
Buprestis langi,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Buprestis,,,,,,,,,,metallic wood-boring beetle,Buprestis langii,455225,1
Chalcophora angulicollis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Chrysochroinae,Chrysochroini,Chalcophora,,,,,,,,,,western sculptured pine borer,Chalcophora angulicollis,82080,1
Dicerca crassicollis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Chrysochroinae,Dicercini,Dicerca,,,,,,,,,,dark jewel beetle,Dicerca crassicollis,455242,1
Trachykele blondeli,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,Buprestini,Trachykele,,,,,,,,,,western cedar borer,Trachykele blondeli,455266,1
Dichelotarsus sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Podabrini,Dichelotarsus,,,,,,,,,,soldier beetle,Dichelotarsus,244381,1
Malthodes sp.,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Malthininae,Malthodini,Malthodes,,,,,,,,,,click beetle,Malthodes,177174,1
Podabrus cavicollis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,Podabrini,Podabrus,,,,,,,,,,soldier beetle,Podabrus cavicollis,57771,1
