Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Henricia sanguinolenta,"(O.F. Müller, 1776)",,fat blood star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Echinasteridae,,Henricia,native,unlisted,confirmed,observed,2009-10-10,Andy Lamb,PMLS,,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854681,,62364,
Pteraster tesselatus,"Ives, 1888",,slime star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Spinulosacea,Spinulosida,,,Pterasteridae,,Pteraster,native,unlisted,confirmed,observed,1971-08-21,Andy Lamb,PMLS,,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/61341024,,194701,
Dermasterias imbricata,"(Grube, 1857)",,leather star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Asteropseidae,,Dermasterias,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975990,,63382,
Ceramaster patagonicus,"(Sladen, 1889)",,orange cookie star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,,Ceramaster,native,unlisted,new 2009,observed,,,,,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/61341019,,537859,
Hippasteria phrygiana,"(Parelius, 1768)",,spiny red star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Hippasterinae,Hippasteria,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,464048,
Mediaster aequalis,"Stimpson, 1857",,vermilion star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Goniasteridae,Mediasterinae,Mediaster,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/61341026,,293174,
Crossaster papposus,"(Linnaeus, 1767)",,rose star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Crossaster,native,unlisted,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-010,1898297964,,,,,192687,
Solaster dawsoni,"Verrill, 1880",,morning sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Solaster,native,unlisted,reported,unobserved,,,RBCM,976-01146-012,1898264650,,,,,117692,
Solaster endeca,"(Linnaeus, 1771)",,northern sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Solaster,native,unlisted,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,371725,
Solaster stimpsoni,"Verrill, 1880",,striped sun star,Animalia,Echinodermata,Asterozoa,,Asteroidea,,Valvatacea,Valvatida,,,Solasteridae,,Solaster,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-07-23,Karolle Wall,http://www.inaturalist.org/observations/4015173,,208013,
Amphiodia periercta,"H.L. Clark, 1911",,long-armed burrowing brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea ,Ophintegrida ,Amphilepidida,Gnathophiurina ,Amphiuroidea,Amphiuridae,,Amphiodia,native,unlisted,reported,unobserved,1975-06-17,Philip Lambert,RBCM,975-00224-007,1898321940,,,,,957349,"Accessioned in RBCM collections as Diamphiodia periercta (sic), a name unrecognized by WoRMS (2021)"
Ophiopholis kennerlyi,"Lyman, 1860",,daisy brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroida,Ophintegrida,Amphilepidida,Gnathophiurina,Ophiactoidea,Ophiopholidae,,Ophiopholis,native,unlisted,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2014-03-24,Karolle Wall,http://www.inaturalist.org/observations/3705819,,129228,
Gorgonocephalus eucnemis,"(Müller & Troschel, 1842)",,basket star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Euryalida,,,Gorgonocephalidae,Gorgonocephalinae,Gorgonocephalus,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,465153,
Ophiura luetkenii,"(Lyman, 1860)",,gray brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,Ophiura,native,unlisted,reported,unobserved,1973-06-14,Philip Lambert,RBCM,973-00137-009,1898306018,,,,misspelled 'Ophiura lutkeni' in GBIF dataset,255865,
Ophiura sarsii,"Lütken, 1855",,notched brittle star,Animalia,Echinodermata,Asterozoa,,Ophiuroidea,Myophiuroidea,Euryophiurida,Ophiurida,Ophiurina,,Ophiuridae,Ophiurinae,Ophiura,native,unlisted,reported,unobserved,1993-05-09,Charlie Gibbs,PMLS,,,,,,,202051,
Florometra serratissima,"A.H. Clark, 1907",,feather star,Animalia,Echinodermata,Crinozoa,,Crinoidea,Articulata,,Comatulida,,Antedonoidea,Antedonidae,Heliometrinae,Florometra,native,unlisted,confirmed,observed,1960-06-21,Dan Quayle,RBCM,009-00308-001,1898303669,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854130,,195902,
Mesocentrotus franciscanus,"(A. Agassiz, 1863)",,red sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Mesocentrotus,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-07-23,Karolle Wall,http://www.inaturalist.org/observations/4015169,,992313,
Strongylocentrotus droebachiensis,"(O.F. Müller, 1776)",,green sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Strongylocentrotus,native,unlisted,confirmed,observed,1986-04-08,BC Hydro - submerged cable,RBCM,986-00191-021,,2018-08-11,Samantha Fulgham,https://www.inaturalist.org/observations/18992768,,120070,
Strongylocentrotus pallidus,"(G.O. Sars, 1871)",,white sea urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Strongylocentrotus,native,unlisted,reported,unobserved,1986-04-08,,RBCM,986-00191-013,,,,,,129221,"Previously misidentified as Strongylocentrotus fragilis Jackson, 1912."
Strongylocentrotus purpuratus,"(Stimpson, 1857)",,purple urchin,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea ,Echinacea,Camarodonta,,Odontophora,Strongylocentrotidae,,Strongylocentrotus,native,unlisted,reported,unobserved,1986-04-08,,RBCM,986-00191-012,,,,,,48035,
Dendraster excentricus,"(Eschscholtz, 1831)",,eccentric sand dollar,Animalia,Echinodermata,Echinozoa,,Echinoidea,Euechinoidea,Neognathostomata,Clypeasteroida,Scutellina,Scutelloidea,Dendrasteridae,,Dendraster,native,unlisted,confirmed,observed,1964-12-07,,RBCM,976-01146-014,1898270561,2018-05-22,Karolle Wall,https://www.inaturalist.org/observations/12744158,,117696,
Leptosynapta transgressor,"Heding, 1928",,subtidal burrowing sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Paractinopoda,,Apodida,,,Synaptidae,,Leptosynapta,native,unlisted,reported,unobserved,2013-10-20,Andy Lamb,PMLS,,,,,,,873898,
Cucumaria miniata,"(Brandt, 1835)",,red sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,Cucumaria,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2013-08-07,Karolle Wall,http://www.inaturalist.org/observations/3705818,,117695,
Cucumaria pallida,"Kirkendale & Lambert, 1995",,pale sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,Cucumaria,native,unlisted,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,356416,
Cucumaria piperata,"(Stimpson, 1864)",,salt & pepper sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Cucumariidae,,Cucumaria,native,unlisted,reported,unobserved,1994-10-07,Andy Lamb,PMLS,,,,,,,424353,
Pentamera sp.,,,sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Phyllophoridae,,Pentamera,,,reported,unobserved,2006-06-30,Andy Lamb,PMLS,,,,,,,171674,
Psolidium bidiscum,"Lambert, 1996",,pale creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,Psolidium,native,unlisted,reported,unobserved,1996-09-28,Charlie Gibbs,PMLS,,,,,,,873892,
Psolus chitonoides,"Clark, 1901",,creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,Psolus,native,unlisted,reported,unobserved,1973-09-20,Andy Lamb,PMLS,,,,,,,473064,
Psolus squamatus,"(O.F. Müller, 1776)",,white creeping pedal sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Psolidae,,Psolus,native,unlisted,reported,unobserved,2008-10-09,Andy Lamb,PMLS,,,,,,,293149,
Eupentacta quinquesemita,"(Selenka, 1867)",,stiff-footed sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Dendrochirotida,,,Sclerodactylidae,,Eupentacta,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-030,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763482,,51695,
Apostichopus californicus,"(Stimpson, 1857)",,giant sea cucumber,Animalia,Echinodermata,Echinozoa,,Holothuroidea,Actinopoda,,Synallactida,,,Stichopodidae,,Apostichopus,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-032,,2015-05-16,Peter Luckham,http://www.inaturalist.org/observations/2854136,,202640,"Accessioned in RBCM collections as Parastichopus californicus (Stimpson, 1857), an unaccepted synonym according to WoRMS (2021)"
