Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,iNaturalist Photo,Notes,ID,Critical Notes
Sarsia tubulosa,"(M. Sars, 1835)",,clapper hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,,,confirmed,observed,2009-04-13,Andy Lamb & Donna Gibbs,PMLS,,,2011-05-18,Karolle Wall,http://www.inaturalist.org/observations/4028771,https://static.inaturalist.org/photos/4762685/medium.jpg?1472950513,,448319,
Hydractinia sp.,"Fraser, 1922",,barnacle fur hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,,,reported,unobserved,2008-03-22,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,"Andy Lamb: ""With respect to Hydractinia sp, vs Hydractinia cf. laevispina -- our data base and Jensen et al, 2018 use the former"""
Schuchertinia allmanii,"(Bonnevie, 1898)",,snail fur hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,,,reported,unobserved,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,Reported as Hydractinia cf aggregata,,"Schuchertinia allmani grows on the shells of hermit crabs ""in general"" and its polyps are much larger. Lee Newman's attached image demonstrates. Clavactinia serrata apparently only grows upon the shells carried by the splendid hermit Labidochirus splendens and its polyps are very small and usually not obvious to the naked eye. Accepted spelling in WoRMS is Schuchertinia allmanii"
Schuchertinia milleri,"(Torrey, 1902)",,hedge-hog hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Clavactinia milleri,,
Neoturris breviconis,"(Murbach & Shearer, 1902)",,blob-top jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,,,confirmed,observed,2007-09-29,Andy Lamb & Donna Gibbs,PMLS,,,2011-05-18,Karolle Wall,http://www.inaturalist.org/observations/3706339,https://static.inaturalist.org/photos/4304000/medium.jpg?1468970531,,491131,
Stomotoca atra,"L. Agassiz, 1862",,hanging stomach jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,,,new 2016,observed,,,,,,2015-07-07,Karolle Wall,http://www.inaturalist.org/observations/4052412,https://static.inaturalist.org/photos/4799454/medium.jpg?1473208629,,255140,
Polyorchis penicillatus,"(Eschscholtz, 1829)",,red-eye medusa,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Polyorchidae,,,,confirmed,observed,2009-04-04,Andy Lamb & Donna Gibbs,PMLS,,,2010-07-09,Karolle Wall,http://www.inaturalist.org/observations/3680720,https://static.inaturalist.org/photos/4265999/medium.jpg?1468556167,,51640,
Similiclava nivea,"Calder, Choong & McDaniel, 2015",,white hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Similiclavidae,,,,reported,unobserved,1985-12-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Stylantheca papillosa,"Fisher, 1931",,encrusting hydrocoral,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Stylasteridae,,,,reported,unobserved,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
Ectopleura crocea,"(A. Agassiz, 1862)",,bushy pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,,reported,unobserved,1985-12-08,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Pinauay crocea,,
Ectopleura marina,"(Torrey, 1902)",,solitary pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,,reported,unobserved,1981-05-31,Andy Lamb & Donna Gibbs,PMLS,,,,,,,reported as Pinauay marina,,
Tubularia indivisa,"Linnaeus, 1758",,giant pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,,,reported,unobserved,2008-03-07,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,,
