taxonName,originalName
Spirea douglasii ssp menziesii,Spirea douglasii ssp menziesii
Calochortus unifloris,Calochortus unifloris
Escalonia rubra,Escalonia rubra
Symphorcarpos mollis,Symphorcarpos mollis
Clarka gracilis,Clarka gracilis
Saldago velutina,Saldago velutina
Rubus parviflora,Rubus parviflora
Erigeron speciosa,Erigeron speciosa
Phacelia hastata var.alpina,Phacelia hastata var.alpina
Drymocallus glandulosa,Drymocallus glandulosa
Aconitus columbianus,Aconitus columbianus
Corsium remotifolium,Corsium remotifolium
Epilobium angustifloium,Epilobium angustifloium
Anaphais margaritacea,Anaphais margaritacea
hilltop ground,hilltop ground
Xenoglossodes,Xenoglossodes
Malus domesticus x,Malus domesticus x
Pieris japonica x,Pieris japonica x
Claytonia sibrica,Claytonia sibrica
Heracleum maxima,Heracleum maxima
Achilea millefolium,Achilea millefolium
Trifloium pratense,Trifloium pratense
Cytisus scoparious,Cytisus scoparious
Grindela squarrosa,Grindela squarrosa
Cratageus,Cratageus sp.
Senicio serra,Senicio serra
Senicio vulgaris,Senicio vulgaris
Chicorieae,Chicorieae
"Madia spp,","Madia spp,"
Echinecea purpurea,Echinecea purpurea
Erigeron superbum,Erigeron superbum
Onoprdum acanthium,Onoprdum acanthium
Rudbectia fulgida,Rudbectia fulgida
Sisymbrium bellum,Sisymbrium bellum
Amaria maritima,Amaria maritima
Sildalcea malviflora,Sildalcea malviflora
Monardella odoratissma,Monardella odoratissma
Rudbeekia occidentalis,Rudbeekia occidentalis
Holodiscus dicolor,Holodiscus dicolor
Budleia davidii,Budleia davidii
Helinathus,Helinathus sp.
"Phacelia spp,","Phacelia spp,"
Clarkia bottts,Clarkia bottts
Geindelia stricta,Geindelia stricta
Eschschoizia californica,Eschschoizia californica
Xenoglossodes agilis,Xenoglossodes agilis
Spirea splendens,Spirea splendens
Xenoglossodes rivalis,Xenoglossodes rivalis
Basamorhiza,Basamorhiza sp.
Triteleia grandiflora var. howellii,Triteleia grandiflora var. howellii
Salidago,Salidago sp.
Sedum spectabile cv Autumn Fire,Sedum spectabile cv Autumn Fire
sedum spectabile cv Autumn Fire,sedum spectabile cv Autumn Fire
Chamaeneriom augustifolium,Chamaeneriom augustifolium
Sidelcea oregana,Sidelcea oregana
Perouskia atriplicifolia,Perouskia atriplicifolia
Micralictoides ruficauda,Micralictoides ruficauda
Gentium andrewsii,Gentium andrewsii
Dancus carota,Dancus carota
Achillea miilefolium,Achillea miilefolium
Delphinium glaucom,Delphinium glaucom
Lomatium sp,Lomatium sp
Penstemon roezlli,Penstemon roezlli
Mondardella odoratissima,Mondardella odoratissima
Campanula prenathoides,Campanula prenathoides
Anaphalis margaritaceae,Anaphalis margaritaceae
Erythanthre moshata,Erythanthre moshata
Oreostemma alpiginum,Oreostemma alpiginum
Allium vallidum,Allium vallidum
Delphinium manziesii,Delphinium manziesii
Erigonium umbellatum,Erigonium umbellatum
Curcubita pepo,Curcubita pepo
Centaura montana,Centaura montana
Physocarpa capitalis,Physocarpa capitalis
Philadelphus lewesii,Philadelphus lewesii
Phacaelia tanacetifolia,Phacaelia tanacetifolia
Melissodes vosnesenskii,Melissodes vosnesenskii
Clankia gracilis,Clankia gracilis
Taracum officinale,Taracum officinale
Taraxicum officinale,Taraxicum officinale
"Rudbeckia hirta, Coreopsis","Rudbeckia hirta, Coreopsis sp."
"Sidalcea campestris, Bellis perennis","Sidalcea campestris, Bellis perennis"
"Delphinium tricorne, Clarkia amoena, Eriophyllum lanatum, Achillea millefolium","Delphinium tricorne, Clarkia amoena, Eriophyllum lanatum, Achillea millefolium"
"Daucus carota, Lavandula","Daucus carota, Lavandula sp."
