Bee Genus,Bee Species,Plot Name,Day,Month,Year,Males,Females,Zone,UTM_E,UTM_N,Plant Genus,Plant Species
Agapostemon,angelicus/texanus,10B98,22,May,2000,0,1,12S,471418,4157133,Tamarix,sp.
Agapostemon,angelicus/texanus,5B98,4,Jul,2001,0,1,12S,471555,4155408,Tamarix,sp.
Agapostemon,angelicus/texanus,5B98,4,Jun,2001,0,1,12S,471555,4155408,Senecio,sp.
Agapostemon,angelicus/texanus,5B98,4,Jun,2001,0,1,12S,471555,4155408,Tamarix,sp.
Agapostemon,angelicus/texanus,5B98,5,Jun,2000,1,0,12S,471555,4155408,Tamarix,sp.
Agapostemon,angelicus/texanus,5B98,16,Aug,2000,0,1,12S,471555,4155408,Tamarix,sp.
Agapostemon,angelicus/texanus,5B98,17,Sep,2001,1,0,12S,471555,4155408,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,5B98,21,May,2001,0,1,12S,471555,4155408,Calochortus,aureus
Agapostemon,angelicus/texanus,5B98,22,May,2000,0,1,12S,471555,4155408,Tamarix,sp.
Agapostemon,angelicus/texanus,5B98,23,Aug,2001,0,1,12S,471555,4155408,Lepidium,sp.
Agapostemon,angelicus/texanus,19A99,2,Aug,2000,0,1,12S,472118,4190897,Melilotus,officinalis
Agapostemon,angelicus/texanus,19A99,8,Jun,2000,0,1,12S,472118,4190897,Erigeron,compositus
Agapostemon,angelicus/texanus,19A99,15,Sep,2000,1,0,12S,472118,4190897,Aster,chilensis
Agapostemon,angelicus/texanus,19A99,26,May,2000,0,1,12S,472118,4190897,Tamarix,sp.
Agapostemon,angelicus/texanus,19A99,31,Aug,2000,0,1,12S,472118,4190897,Chrysothamnus,sp.
Agapostemon,angelicus/texanus,19A99,31,Aug,2000,0,1,12S,472118,4190897,Melilotus,alba
Agapostemon,angelicus/texanus,17B99,26,May,2000,0,1,12S,475537,4195001,Opuntia,polyacantha
Agapostemon,angelicus/texanus,17A99,26,May,2000,0,2,12S,475620,4194691,Opuntia,sp.
Agapostemon,angelicus/texanus,17A99,26,May,2000,0,1,12S,475620,4194691,Poliomintha,incana
Agapostemon,angelicus/texanus,64B98,1,Jul,2003,0,1,12S,479590,4148510,Gilia,gunnisonii
Agapostemon,angelicus/texanus,64B98,1,Jul,2003,1,0,12S,479590,4148510,Helianthus,annuus
Agapostemon,angelicus/texanus,64B98,1,Jul,2003,3,1,12S,479590,4148510,Helianthus,petiolaris
Agapostemon,angelicus/texanus,64B98,5,Jul,2001,1,1,12S,479590,4148510,Gilia,sp.
Agapostemon,angelicus/texanus,64B98,5,Jun,2000,4,0,12S,479590,4148510,Psoralea,lanceolata
Agapostemon,angelicus/texanus,64B98,8,May,2001,0,2,12S,479590,4148510,Sclerocactus,whipplei
Agapostemon,angelicus/texanus,64B98,18,Jun ,2001,4,0,12S,479590,4148510,Helianthus,petiolaris
Agapostemon,angelicus/texanus,64A98,5,Jun ,2001,1,0,12S,479762,4148104,Psorothamnus,fremontii
Agapostemon,angelicus/texanus,64A98,8,May,2001,0,1,12S,479762,4148104,Calochortus,aureus
Agapostemon,angelicus/texanus,64A98,18,Jun ,2001,6,0,12S,479762,4148104,Helianthus,petiolaris
Agapostemon,angelicus/texanus,64A98,22,May,2000,0,1,12S,479762,4148104,Psorothamnus,fremontii
Agapostemon,angelicus/texanus,64A98,22,May,2001,0,1,12S,479762,4148104,Opuntia,polyacantha
Agapostemon,angelicus/texanus,29A98,1,May,2000,0,2,12S,480508,4148126,Poliomintha,incana
Agapostemon,angelicus/texanus,29A98,5,Jun,2001,0,1,12S,480508,4148126,Lepidium,montanum
Agapostemon,angelicus/texanus,29A98,22,May,2001,0,1,12S,480508,4148126,Opuntia,sp.
Agapostemon,angelicus/texanus,29A98,25,Aug,2001,1,0,12S,480508,4148126,Grindelia,squarrosa
Agapostemon,angelicus/texanus,103A98,14,Jun ,2001,0,1,12S,481094,4133273,Opuntia,erinacea
Agapostemon,angelicus/texanus,103A98,14,Jun,2001,0,1,12S,481094,4133273,Sphaeralcea,sp.
Agapostemon,angelicus/texanus,48A98,7,May,2002,0,1,12S,484202,4153932,Sclerocactus,whipplei
Agapostemon,angelicus/texanus,7B99,6,May,2002,0,3,12S,485193,4182257,Mahonia,fremontii
Agapostemon,angelicus/texanus,7B99,7,Jun ,2001,0,1,12S,485193,4182257,Stanleya,pinnata
Agapostemon,angelicus/texanus,7B99,10,Aug,2001,0,1,12S,485193,4182257,Stephanomeria,spinosa
Agapostemon,angelicus/texanus,7B99,14,Sep,2000,0,1,12S,485193,4182257,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,7B99,25,May,2000,0,1,12S,485193,4182257,Asteraceae,sp. (yellow)
Agapostemon,angelicus/texanus,7B99,25,May,2000,0,1,12S,485193,4182257,Opuntia,sp.
Agapostemon,angelicus/texanus,22A98,11,Aug,2000,4,0,12S,486061,4130708,Aster,chilensis
Agapostemon,angelicus/texanus,22A98,11,Aug,2000,1,0,12S,486061,4130708,Cirsium,sp.
Agapostemon,angelicus/texanus,22A98,11,Aug,2000,2,0,12S,486061,4130708,Cleome,lutea
Agapostemon,angelicus/texanus,22A98,11,Aug,2000,13,3,12S,486061,4130708,Senecio,spartioides
Agapostemon,angelicus/texanus,22A98,22,Aug,2000,0,2,12S,486061,4130708,Aster,chilensis
Agapostemon,angelicus/texanus,22A98,22,Aug,2000,1,1,12S,486061,4130708,Senecio,spartioides
Agapostemon,angelicus/texanus,22A98,27,Jul,2000,2,0,12S,486061,4130708,Erigeron,utahensis
Agapostemon,angelicus/texanus,22A98,27,Jul,2000,1,0,12S,486061,4130708,Penstemon,eatonii
Agapostemon,angelicus/texanus,22A98,27,Jul,2000,2,1,12S,486061,4130708,Senecio,spartioides
Agapostemon,angelicus/texanus,84B98,5,Jun,2002,0,1,12S,486075,4127971,Phacelia,hastata
Agapostemon,angelicus/texanus,84B98,10,Aug,2000,1,0,12S,486075,4127971,Senecio,spartioides
Agapostemon,angelicus/texanus,84B98,23,Aug,2000,0,2,12S,486075,4127971,Senecio,spartioides
Agapostemon,angelicus/texanus,78A98,5,Jun,2002,0,2,12S,486265,4130614,Opuntia,polyacantha
Agapostemon,angelicus/texanus,78A98,11,Aug,2000,5,3,12S,486265,4130614,Senecio,spartioides
Agapostemon,angelicus/texanus,78A98,27,Jul,2000,4,1,12S,486265,4130614,Senecio,spartioides
Agapostemon,angelicus/texanus,80A98,31,May,2000,0,1,12S,486658,4127393,Oenothera,caespitosa
Agapostemon,angelicus/texanus,80A98,31,May,2000,0,3,12S,486658,4127393,Opuntia,sp.
Agapostemon,angelicus/texanus,22B98,15,Jun,2000,0,1,12S,486816,4130614,Opuntia,polyacantha
Agapostemon,angelicus/texanus,22B98,15,Jun,2000,0,1,12S,486816,4130614,Senecio,multilobatus
Agapostemon,angelicus/texanus,22B98,27,Jul,2000,1,0,12S,486816,4130614,Erigeron,utahensis
Agapostemon,angelicus/texanus,22B98,27,Jul,2000,3,0,12S,486816,4130614,Senecio,spartioides
Agapostemon,angelicus/texanus,22B98,31,May,2000,0,1,12S,486816,4130614,Senecio,multilobatus
Agapostemon,angelicus/texanus,86A98,16,May,2000,0,2,12S,487096,4128172,Cryptantha,flava
Agapostemon,angelicus/texanus,86A98,16,May,2000,0,3,12S,487096,4128172,Erysimum,asperum
Agapostemon,angelicus/texanus,66B98,10,Aug,2000,1,0,12S,487263,4128895,Senecio,spartioides
Agapostemon,angelicus/texanus,66B98,22,Aug,2000,1,1,12S,487263,4128895,Senecio,spartioides
Agapostemon,angelicus/texanus,66B98,26,Jul,2000,0,1,12S,487263,4128895,Gutierrezia,sarothrae
Agapostemon,angelicus/texanus,66B98,29,Jun ,2001,1,1,12S,487263,4128895,Calochortus,aureus
Agapostemon,angelicus/texanus,66B98,30,May,2001,0,1,12S,487263,4128895,Brassicaceae,sp.
Agapostemon,angelicus/texanus,86B98,5,Jun,2002,0,1,12S,487269,4128373,Marrubium,vulgare
Agapostemon,angelicus/texanus,86B98,5,Jun,2002,0,2,12S,487269,4128373,Sphaeralcea,grossulariifolia
Agapostemon,angelicus/texanus,86B98,7,Sep,2000,1,5,12S,487269,4128373,Senecio,spartioides
Agapostemon,angelicus/texanus,86B98,10,Aug,2000,2,1,12S,487269,4128373,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,86B98,10,Aug,2000,32,6,12S,487269,4128373,Senecio,spartioides
Agapostemon,angelicus/texanus,86B98,16,Jun,2000,1,0,12S,487269,4128373,Marrubium,vulgare
Agapostemon,angelicus/texanus,86B98,16,May,2000,0,1,12S,487269,4128373,Lupinus,sp.
Agapostemon,angelicus/texanus,86B98,16,May,2000,0,1,12S,487269,4128373,Taraxacum,officinale
Agapostemon,angelicus/texanus,86B98,19,Sep,2000,0,2,12S,487269,4128373,Senecio,spartioides
Agapostemon,angelicus/texanus,86B98,20,Jun,2002,0,1,12S,487269,4128373,Sphaeralcea,sp.
Agapostemon,angelicus/texanus,86B98,22,Aug,2000,3,1,12S,487269,4128373,Senecio,spartioides
Agapostemon,angelicus/texanus,86B98,26,Jul,2000,0,1,12S,487269,4128373,Heterotheca,villosa
Agapostemon,angelicus/texanus,86B98,29,Apr,2002,0,3,12S,487269,4128373,Ribes,leptanthum
Agapostemon,angelicus/texanus,86B98,29,Jun ,2001,0,1,12S,487269,4128373,Achillea,millefolium
Agapostemon,angelicus/texanus,86B98,31,May,2000,0,1,12S,487269,4128373,Opuntia,sp.
Agapostemon,angelicus/texanus,23A99,14,Sep,2000,5,0,12S,487308,4202301,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,23A99,25,May,2000,0,1,12S,487308,4202301,Brassicaceae,sp.
Agapostemon,angelicus/texanus,23A99,25,May,2000,0,1,12S,487308,4202301,Melilotus,officinalis
Agapostemon,angelicus/texanus,85A98,10,Aug,2000,1,0,12S,487375,4127183,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,85A98,10,Aug,2000,1,0,12S,487375,4127183,Senecio,spartioides
Agapostemon,angelicus/texanus,85A98,30,May,2000,0,2,12S,487375,4127183,Opuntia,erinacea
Agapostemon,angelicus/texanus,85A98,30,May,2000,0,1,12S,487375,4127183,Senecio,multilobatus
Agapostemon,angelicus/texanus,85B98,7,Jul,2000,0,1,12S,487469,4127174,Cirsium,sp.
Agapostemon,angelicus/texanus,85B98,7,Jul,2000,5,1,12S,487469,4127174,Potentilla,gracilis
Agapostemon,angelicus/texanus,85B98,7,Sep,2000,1,1,12S,487469,4127174,Senecio,spartioides
Agapostemon,angelicus/texanus,85B98,10,Aug,2000,0,1,12S,487469,4127174,Cirsium,vulgare
Agapostemon,angelicus/texanus,85B98,10,Aug,2000,5,0,12S,487469,4127174,Gutierrezia,sarothrae
Agapostemon,angelicus/texanus,85B98,10,Aug,2000,8,0,12S,487469,4127174,Senecio,spartioides
Agapostemon,angelicus/texanus,85B98,15,Jun,2001,0,1,12S,487469,4127174,Potentilla,gracilis
Agapostemon,angelicus/texanus,85B98,15,Jun,2001,0,1,12S,487469,4127174,Sphaeralcea,coccinea
Agapostemon,angelicus/texanus,85B98,16,Jun,2000,5,3,12S,487469,4127174,Asteraceae,sp.
Agapostemon,angelicus/texanus,85B98,16,Jun,2000,1,3,12S,487469,4127174,Asteraceae,sp. (yellow)
Agapostemon,angelicus/texanus,85B98,16,Jun,2000,0,1,12S,487469,4127174,Cirsium,sp.
Agapostemon,angelicus/texanus,85B98,16,Jun,2000,4,13,12S,487469,4127174,Ranunculus,sceleratus
Agapostemon,angelicus/texanus,85B98,16,May,2000,0,3,12S,487469,4127174,Taraxacum,officinale
Agapostemon,angelicus/texanus,85B98,20,Jul,2001,0,1,12S,487469,4127174,Crepis,sp.
Agapostemon,angelicus/texanus,85B98,22,Aug,2001,0,1,12S,487469,4127174,Machaeranthera,canescens
Agapostemon,angelicus/texanus,85B98,23,Aug,2000,5,0,12S,487469,4127174,Senecio,spartioides
Agapostemon,angelicus/texanus,85B98,28,Jun,2001,0,1,12S,487469,4127174,Crepis,sp.
Agapostemon,angelicus/texanus,85B98,28,Jun,2001,1,1,12S,487469,4127174,Potentilla,gracilis
Agapostemon,angelicus/texanus,85B98,30,May,2001,0,1,12S,487469,4127174,Thelypodiopsis,divaricata
Agapostemon,angelicus/texanus,85B98,31,Jul,2003,1,0,12S,487469,4127174,Erigeron,bellidiastrum
Agapostemon,angelicus/texanus,3A98,15,Jun,2001,0,1,12S,488030,4128180,Calochortus,aureus
Agapostemon,angelicus/texanus,3A98,19,Sep,2000,3,0,12S,488030,4128180,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,3B98,5,Jun,2002,0,1,12S,488676,4128109,Erigeron,pumilus
Agapostemon,angelicus/texanus,3B98,5,Jun,2002,0,1,12S,488676,4128109,Senecio,multilobatus
Agapostemon,angelicus/texanus,3B98,7,Sep,2000,4,1,12S,488676,4128109,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,3B98,11,Aug,2000,12,0,12S,488676,4128109,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,3B98,15,Aug,2003,1,1,12S,488676,4128109,Chrysothamnus,parryi
Agapostemon,angelicus/texanus,3B98,19,Jul,2001,0,1,12S,488676,4128109,Achillea,millefolium
Agapostemon,angelicus/texanus,3B98,23,Aug,2000,3,0,12S,488676,4128109,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,3B98,23,May,2002,0,1,12S,488676,4128109,Senecio,multilobatus
Agapostemon,angelicus/texanus,3B98,25,Sep,2002,0,1,12S,488676,4128109,Chrysothamnus,sp.
Agapostemon,angelicus/texanus,3B98,27,Jul,2000,3,0,12S,488676,4128109,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,3B98,27,Jul,2000,1,0,12S,488676,4128109,Senecio,spartioides
Agapostemon,angelicus/texanus,7B98,20,Sep,2000,0,1,12S,488886,4138185,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,82B98,30,May,2001,0,1,12S,489272,4126678,Symphoricarpos,oreophilus
Agapostemon,angelicus/texanus,53A98,22,May,2001,0,1,12S,489823,4136248,Opuntia,polyacantha
Agapostemon,angelicus/texanus,53B98,5,Jun,2001,0,1,12S,490031,4136954,Stanleya,pinnata
Agapostemon,angelicus/texanus,53B98,18,Jun,2001,0,1,12S,490031,4136954,Gilia,sp.
Agapostemon,angelicus/texanus,7A99,3,Jul,2001,1,0,12S,490387,4186733,Penstemon,confusus
Agapostemon,angelicus/texanus,8B99,4,Sep,2000,0,1,12S,493809,4166196,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,8B99,5,Oct,2001,8,0,12S,493809,4166196,Chrysothamnus,nauseosus
Agapostemon,angelicus/texanus,8B99,9,Jun,2000,9,0,12S,493809,4166196,Tamarix,sp.
Agapostemon,angelicus/texanus,8B99,20,May,2002,0,1,12S,493809,4166196,Tamarix,sp.
Agapostemon,angelicus/texanus,8B99,23,Apr,2002,0,4,12S,493809,4166196,Astragalus,sp.
Agapostemon,angelicus/texanus,8B99,23,Apr,2002,0,9,12S,493809,4166196,Mahonia,fremontii
Agapostemon,angelicus/texanus,8B99,25,May,2000,1,5,12S,493809,4166196,Tamarix,sp.
Agapostemon,angelicus/texanus,8B99,27,Sep,2000,3,1,12S,493809,4166196,Tamarix,sp.
Agapostemon,angelicus/texanus,4A98,18,Sep,2001,1,0,12S,496422,4136404,Helianthus,petiolaris
Agapostemon,angelicus/texanus,4B98,17,Aug,2001,1,1,12S,496688,4137271,Grindelia,squarrosa
Agapostemon,melliventris,JOCS,16,May,2002,0,5,12S,452127,4112825,Tamarix,sp.
Agapostemon,melliventris,300C,16,May,2002,0,1,12S,452360,4115977,Tamarix,sp.
Agapostemon,melliventris,300C,30,May,2002,0,1,12S,452360,4115977,Tamarix,sp.
Agapostemon,melliventris,10B98,22,May,2000,0,6,12S,471418,4157133,Tamarix,sp.
Agapostemon,melliventris,8B99,3,Aug,2000,0,1,12S,493809,4166196,Tamarix,sp.
Agapostemon,melliventris,8B99,24,May,2001,0,1,12S,493809,4166196,Tamarix,sp.
Agapostemon,melliventris,8B99,25,May,2000,0,5,12S,493809,4166196,Tamarix,sp.
Ancylandrena,timberlakei,64B98,22,May,2001,0,1,12S,479590,4148510,Psorothamnus,fremontii
Andrena,(Callandrena) n.sp.,21A99,1,Sep,2003,0,1,12S,468824,4189300,Thelypodium,integrifolium
Andrena,(Callandrena) n.sp.,21A99,10,Sep,2001,1,0,12S,468824,4189300,Erigeron,divergens
Andrena,(Callandrena) n.sp.,21A99,10,Sep,2001,0,1,12S,468824,4189300,Heterotheca,villosa
Andrena,(Callandrena) n.sp.,21A99,27,Sep,2002,0,0,12S,468824,4189300,Chrysothamnus,sp.
Andrena,(Callandrena) n.sp.,21A99,28,Aug,2001,1,1,12S,468824,4189300,Aster,falcatus
Andrena,(Callandrena) n.sp.,21B99,12,Sep,2002,0,0,12S,468859,4188940,Aster,sp.
Andrena,(Callandrena) n.sp.,21B99,29,Sep,2003,0,2,12S,468859,4188940,Aster,chilensis
Andrena,(Callandrena) n.sp.,21B99,29,Sep,2003,0,1,12S,468859,4188940,Chrysothamnus,viscidiflorus
Andrena,(Callandrena) n.sp.,5B98,17,Sep,2001,0,12,12S,471555,4155408,Chrysothamnus,nauseosus
Andrena,accepta,101B00,17,Sep,2001,0,1,12S,453100,4181400,Senecio,spartioides
Andrena,aff. aurihirta,10B98,13,Sep,2000,1,0,12S,471418,4157133,Chrysothamnus,nauseosus
Andrena,aff. aurihirta,10B98,17,Sep,2001,2,3,12S,471418,4157133,Chrysothamnus,linifolius
Andrena,aff. aurihirta,5B98,17,Sep,2001,0,2,12S,471555,4155408,Chrysothamnus,nauseosus
Andrena,aff. aurihirta,19A99,14,Sep,2001,0,1,12S,472118,4190897,Chrysothamnus,sp.
Andrena,aff. aurihirta,19A99,28,Aug,2001,0,1,12S,472118,4190897,Chrysothamnus,linifolius
Andrena,aff. aurihirta,19A99,31,Aug,2000,1,0,12S,472118,4190897,Chrysothamnus,sp.
Andrena,aff. aurihirta,7B99,12,Sep,2001,1,1,12S,485193,4182257,Chrysothamnus,nauseosus
Andrena,aff. aurihirta,7B99,12,Sep,2001,1,0,12S,485193,4182257,Chrysothamnus,sp.
Andrena,aff. aurihirta,7B99,12,Sep,2001,1,0,12S,485193,4182257,Gutierrezia,sarothrae
Andrena,aff. costillensis,TM2,5,Sep,2003,0,3,12S,388586,4124828,Chrysothamnus,greenei
Andrena,aff. costillensis,TM2,20,Aug,2003,0,1,12S,388586,4124828,Eriogonum,racemosum
Andrena,aff. costillensis,64B98,14,Aug,2003,1,0,12S,479590,4148510,Eriogonum,corymbosum
Andrena,aff. costillensis,64B98,18,Sep,2003,0,2,12S,479590,4148510,Eriogonum,corymbosum
Andrena,aff. costillensis,64B98,18,Sep,2003,0,1,12S,479590,4148510,Gutierrezia,sarothrae
Andrena,aff. costillensis,64B98,26,Aug,2003,6,1,12S,479590,4148510,Eriogonum,corymbosum
Andrena,aff. costillensis,64B98,26,Aug,2003,1,0,12S,479590,4148510,Gutierrezia,microcephala
Andrena,aff. costillensis,64B98,30,Sep,2003,0,1,12S,479590,4148510,Chrysothamnus,nauseosus
Andrena,aff. costillensis,85B98,3,Sep,2003,0,1,12S,487469,4127174,Chrysothamnus,sp.
Andrena,aff. costillensis,85B98,15,Aug,2003,0,1,12S,487469,4127174,Erigeron,bellidiastrum
Andrena,aff. costillensis,85B98,15,Aug,2003,11,24,12S,487469,4127174,Thelypodium,integrifolium
Andrena,aff. costillensis,85B98,31,Jul,2003,1,0,12S,487469,4127174,Achillea,millefolium
Andrena,aff. costillensis n.sp. 2,101A00,17,Sep,2001,0,2,12S,452858,4181626,Asteraceae,sp. (purple)
Andrena,aff. costillensis n.sp. 2,101B00,5,Sep,2001,0,2,12S,453100,4181400,Asteraceae,sp. (purple)
Andrena,aff. costillensis n.sp. 2,101B00,6,Aug,2001,0,1,12S,453100,4181400,Senecio,spartioides
Andrena,aff. costillensis n.sp. 2,101B00,17,Sep,2001,0,2,12S,453100,4181400,Asteraceae,sp. (purple)
Andrena,aff. costillensis n.sp. 2,101B00,17,Sep,2001,0,1,12S,453100,4181400,Chrysothamnus,sp.
Andrena,aff. costillensis n.sp. 2,101B00,17,Sep,2001,0,1,12S,453100,4181400,Senecio,spartioides
Andrena,aff. costillensis n.sp. 2,101B00,24,Aug,2001,0,1,12S,453100,4181400,Chrysothamnus,sp.
Andrena,aff. costillensis n.sp. 2,21A99,15,Sep,2003,0,1,12S,468824,4189300,Chrysothamnus,nauseosus
Andrena,aff. costillensis n.sp. 2,21A99,15,Sep,2003,0,1,12S,468824,4189300,Machaeranthera,tanacetifolia
Andrena,aff. costillensis n.sp. 2,21B99,27,Sep,2002,0,0,12S,468859,4188940,Chrysothamnus,sp.
Andrena,aff. costillensis n.sp. 2,19A99,14,Sep,2001,0,1,12S,472118,4190897,Heterotheca,villosa
Andrena,aff. nigrihirta,78A98,29,Apr,2002,1,0,12S,486265,4130614,Ribes,sp.
Andrena,andrenoides,101A00,30,Apr,2001,1,2,12S,452858,4181626,Salix,exigua
Andrena,andrenoides,21B99,10,May,2001,3,1,12S,468859,4188940,Salix,exigua
Andrena,andrenoides,19A99,10,May,2001,1,1,12S,472118,4190897,Salix,exigua
Andrena,andrenoides,19A99,10,May,2001,0,1,12S,472118,4190897,Salix,sp.
Andrena,andrenoides,3A98,18,May,2001,1,0,12S,488030,4128180,Amelanchier,utahensis
Andrena,andrenoides,3A98,18,May,2001,1,0,12S,488030,4128180,Artemisia,tridentata
Andrena,angustitarsata,TM2,14,May,2002,0,1,12S,388586,4124828,Amelanchier,utahensis
