iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Author,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Date observed,Description,Common name,Recorded by,Captive/Cultivated,Quality grade,coordinateUncertaintyInMeters
Peltigera membranacea,117858,Peltigera membranacea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,membranacea,iNat:11070295,49.776325,-123.147068,2018-04-15T14:00:20-07:00,,,Gwen L'Hirondelle,false,research,1394
Rhizocarpon,117899,Rhizocarpon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,,iNat:12402874,49.330856,-123.26198,2018-05-12T16:45:00-07:00,,,Sam Herniman,false,needs_id,10
Icmadophila ericetorum,119695,Icmadophila ericetorum,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Pertusariales,,,,Icmadophilaceae,,,Icmadophila,ericetorum,iNat:13627874,49.790636,-123.113187,2018-02-10T12:36:38-08:00,,,Adam Jermakow,false,research,688
Cladonia macilenta,117950,Cladonia macilenta,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,macilenta,iNat:13752948,49.630353,-123.114006,2018-06-02,,,,false,research,100
Lecanora,50252,Lecanora,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Lecanoraceae,,,Lecanora,,iNat:13785587,49.373236,-123.288636,2018-04-17T11:01:18-07:00,,,Derek Killby,false,needs_id,34
Cladonia chlorophaea,1080564,Cladonia chlorophaea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,chlorophaea,iNat:13792618,49.373233,-123.289663,2018-04-09T11:03:37-07:00,,,Derek Killby,false,needs_id,25
Peltigera polydactylon,69728,Peltigera polydactylon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,polydactylon,iNat:13802249,49.373588,-123.288539,2018-04-09T11:16:33-07:00,,,Derek Killby,false,research,22
Parmotrema,117867,Parmotrema,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Parmotrema,,iNat:13802747,49.373741,-123.288339,2018-04-14T10:00:48-07:00,,,Derek Killby,false,needs_id,96
Hypogymnia,117988,Hypogymnia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Hypogymnia,,iNat:13803298,49.373449,-123.28869,2018-03-10T09:17:23-08:00,,,Derek Killby,false,needs_id,55
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:13896616,49.706944,-123.144447,2018-06-27T15:24:18-07:00,,,Samantha Leigh,false,needs_id,
Cladonia bellidiflora,123391,Cladonia bellidiflora,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,bellidiflora,iNat:14005104,49.673108,-123.122125,2018-06-17T11:13:00-07:00,,,,false,research,
Cladonia bellidiflora,123391,Cladonia bellidiflora,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,bellidiflora,iNat:14169462,49.759832,-123.046698,2018-07-03,,,judith holm,false,research,343
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:14169544,49.759832,-123.046698,2018-07-03,,,judith holm,false,needs_id,343
Sphaerophorus tuckermanii,123231,Sphaerophorus tuckermanii,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Sphaerophoraceae,,,Sphaerophorus,tuckermanii,iNat:14191270,49.401593,-123.20979,2018-07-08T11:16:22-07:00,,,Sam Herniman,false,research,5
Usnea longissima,122681,Usnea longissima,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,longissima,iNat:14218963,49.742759,-123.042207,2018-07-08,,,judith holm,false,research,686
Lobaria linita,224041,Lobaria linita,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,linita,iNat:14331024,49.901505,-123.295325,2018-07-10,,,judith holm,false,research,1371
Peltigera leucophlebia,119676,Peltigera leucophlebia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Peltigeraceae,,,Peltigera,leucophlebia,iNat:14337714,49.902821,-123.282852,2018-07-10,,,judith holm,false,research,2745
Lecanoromycetes,54743,Lecanoromycetes,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,,,,,,,,,,iNat:14407172,49.644818,-123.2084,2018-07-14T18:21:59-07:00,,,Zoë Davis,false,needs_id,30
Rhizocarpon,117899,Rhizocarpon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,,iNat:14758969,49.6482,-123.082001,2018-07-22T15:16:35-04:00,,,Samantha Leigh,false,needs_id,2104
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:14759045,49.644722,-123.080276,2018-07-22T15:22:12-04:00,,,Samantha Leigh,false,needs_id,
Rhizocarpon,117899,Rhizocarpon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,,iNat:14759221,49.647261,-123.078407,2018-07-22T16:30:52-04:00,,,Samantha Leigh,false,needs_id,526
Lobaria,48714,Lobaria,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,,iNat:14839916,49.672755,-123.13095,2017-10-08T14:37:22-04:00,,,,false,needs_id,5
Cladonia floerkeana,217100,Cladonia floerkeana,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,floerkeana,iNat:14878772,49.672928,-123.130897,2017-10-08T14:38:43-04:00,,,,false,needs_id,5
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:15203051,49.729166,-123.182713,2018-07-30T18:34:00-04:00,,,Cynthia Darnell,false,needs_id,45
Sphaerophorus tuckermanii,123231,Sphaerophorus tuckermanii,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Sphaerophoraceae,,,Sphaerophorus,tuckermanii,iNat:15203052,49.607729,-123.039593,2018-07-30T18:35:00-04:00,,,Cynthia Darnell,false,research,45
Cladonia rangiferina,119778,Cladonia rangiferina,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,rangiferina,iNat:15794545,49.398982,-123.466232,2018-08-21T13:48:53-07:00,,,Alex,false,research,526
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:15850187,49.94408,-123.057162,2018-08-16T00:37:00-04:00,,,Billi Krochuk,false,needs_id,316
Parmeliaceae,54321,Parmeliaceae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,,,,,iNat:15897902,49.330984,-123.266513,2018-08-25T18:56:32-07:00,,,,false,needs_id,5
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:15977532,49.90282,-123.327065,2018-08-26T17:03:29-07:00,,,Sam Herniman,false,needs_id,5
Lobaria,48714,Lobaria,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,,iNat:15977580,49.898303,-123.32558,2018-08-26T17:49:11-07:00,,,Sam Herniman,false,needs_id,10
Rhizocarpon,117899,Rhizocarpon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,,iNat:16150996,49.936214,-123.125672,2018-09-01T09:42:04-07:00,,,Maddie Edmonds,false,needs_id,3315
Lecanoromycetes,54743,Lecanoromycetes,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,,,,,,,,,,iNat:16151058,49.879568,-123.109361,2018-09-01T09:47:24-07:00,,,Maddie Edmonds,false,needs_id,5122
Cladonia rangiferina,119778,Cladonia rangiferina,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,rangiferina,iNat:16159610,49.672778,-123.13038,2018-08-31T15:26:00-07:00,,,John D Reynolds,false,research,
Cladonia portentosa,119666,Cladonia portentosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,portentosa,iNat:16178413,49.33859,-123.429878,2018-09-03T11:22:09-07:00,,,Ben Keen,false,needs_id,5
Rhizocarpon geographicum,119888,Rhizocarpon geographicum,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,geographicum,iNat:16183981,49.671056,-123.130639,2018-09-03T15:03:56-07:00,,,,false,research,65
Cladonia rangiferina,119778,Cladonia rangiferina,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,rangiferina,iNat:16184255,49.676123,-123.110878,2018-09-03T15:17:21-07:00,,,,false,needs_id,8
Usnea,67747,Usnea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Usnea,,iNat:16367178,49.694383,-123.165846,2018-09-07,,,judith holm,false,needs_id,42
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:16369752,49.398457,-123.353199,2018-09-09T13:10:29-07:00,,,Ben Keen,false,needs_id,5
Umbilicaria phaea,125055,Umbilicaria phaea,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Umbilicariomycetidae,,Umbilicariales,,,,Umbilicariaceae,,,Umbilicaria,phaea,iNat:16514860,49.670233,-123.129739,2018-09-04T13:57:00-07:00,,,,false,research,8
Rhizocarpon,117899,Rhizocarpon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,,iNat:16514862,49.670183,-123.129607,2018-09-04T14:00:00-07:00,,,,false,needs_id,25
Hypogymnia,117988,Hypogymnia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Hypogymnia,,iNat:16514865,49.670169,-123.129861,2018-09-04T14:08:00-07:00,,,,false,needs_id,5
Parmelioideae,1094690,Parmelioideae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,,,iNat:16514867,49.67035,-123.13005,2018-09-04T14:10:00-07:00,,,,false,needs_id,24
Parmeliaceae,54321,Parmeliaceae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,,,,,iNat:16514868,49.670825,-123.130372,2018-09-04T14:12:00-07:00,,,,false,needs_id,32
Hypogymnia,117988,Hypogymnia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,Parmelioideae,,Hypogymnia,,iNat:16514869,49.670978,-123.130386,2018-09-04T14:14:00-07:00,,,,false,needs_id,6
Lobaria,48714,Lobaria,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,,Lobariaceae,,,Lobaria,,iNat:16514870,49.670025,-123.1288,2018-09-04T14:28:00-07:00,,,,false,needs_id,6
Parmeliaceae,54321,Parmeliaceae,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Parmeliaceae,,,,,iNat:16514871,49.668053,-123.128983,2018-09-04T14:36:00-07:00,,,,false,needs_id,32
Rhizocarpon,117899,Rhizocarpon,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Rhizocarpales,,,,Rhizocarpaceae,,,Rhizocarpon,,iNat:16514872,49.670028,-123.128844,2018-09-04T14:28:00-07:00,,,,false,needs_id,8
Cladonia portentosa,119666,Cladonia portentosa,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,portentosa,iNat:16564505,49.377907,-123.325754,2018-09-15T11:29:48-07:00,,,Ben Keen,false,needs_id,5
Cladonia,49490,Cladonia,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,,Cladoniaceae,,,Cladonia,,iNat:16568467,49.408518,-123.362882,2018-09-15T14:58:10-07:00,,,Ben Keen,false,needs_id,10
