iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Genus,Species,observationId,Latitude,Longitude,Author,Date observed,Place name,Recorded by
Abies amabilis,75240,Abies amabilis,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Abies,amabilis,HOWE:26,49.497778,-123.578889,Douglas ex J. Forbes,2016-08-25,"Forest service road to Dakota Bog, Mt Elphinstone","Edinburgh, Howick Expedition to British Columbia (EHBC)"
Abies amabilis,75240,Abies amabilis,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Abies,amabilis,HOWE:27,49.497778,-123.578889,Douglas ex J. Forbes,2016-08-25,"Forest service road to Dakota Bog, Mt Elphinstone","Edinburgh, Howick Expedition to British Columbia (EHBC)"
Abies amabilis,75240,Abies amabilis,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,,,Abies,amabilis,HOWE:28,49.493145,-123.581872,Douglas ex J. Forbes,2022-07-20,,Rand Rudland
Athyrium filix-femina cyclosorum,61002,Athyrium filix-femina var. cyclosorum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Athyriaceae,,,Athyrium,filix-femina,HOWE:29,49.493145,-123.581872,(L.) Roth,2022-08-20,,Rand Rudland
Athyrium filix-femina cyclosorum,61002,Athyrium filix-femina var. cyclosorum,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Aspleniinae,,,Athyriaceae,,,Athyrium,filix-femina,HOWE:30,49.493145,-123.581872,(L.) Roth,2022-08-20,,Rand Rudland
Gaultheria ovatifolia,77228,Gaultheria ovatifolia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,,Ericaceae,Vaccinioideae,Gaultherieae,Gaultheria,ovatifolia,HOWE:31,49.493145,-123.581872,A. Gray,2022-07-20,,Rand Rudland
Gentiana sceptrum,77244,Gentiana sceptrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Gentianaceae,,Gentianeae,Gentiana,sceptrum,HOWE:32,49.493145,-123.581872,Griseb.,2021-07-26,,Rand Rudland
Gentiana sceptrum,77244,Gentiana sceptrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Gentianaceae,,Gentianeae,Gentiana,sceptrum,HOWE:33,49.493468,-123.578892,Griseb.,2021-08-05,,pumakit
Gentiana sceptrum,77244,Gentiana sceptrum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,,Gentianaceae,,Gentianeae,Gentiana,sceptrum,HOWE:34,49.493249,-123.579631,Griseb.,2020-07-25,,Rand Rudland
Lilium columbianum,77744,Lilium columbianum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,,Liliaceae,Lilioideae,Lilieae,Lilium,columbianum,HOWE:35,49.493145,-123.581872,Leichtlin,2022-07-10,,Rand Rudland
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:36,49.493145,-123.581872,L.,2022-07-10,,Rand Rudland
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:37,49.494017,-123.580091,L.,2022-05-21,,fisherpeak
Lycopodium clavatum,77914,Lycopodium clavatum,Plantae,Tracheophyta,,,Lycopodiopsida,,,Lycopodiales,,,,Lycopodiaceae,Lycopodioideae,,Lycopodium,clavatum,HOWE:38,49.493145,-123.581872,L.,2022-08-20,,Rand Rudland
Maianthemum stellatum,53268,Maianthemum stellatum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,stellatum,HOWE:39,49.488963,-123.581099,(L.) Link.,2020-07-25,,Rand Rudland
Nephrophyllidium crista-galli,340457,Nephrophyllidium crista-galli,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,,Menyanthaceae,,,Nephrophyllidium,crista-galli,HOWE:40,49.493145,-123.581872,(Menzies ex Hook.) Gilg,2020-07-25,,Rand Rudland
Pinus monticola,68084,Pinus monticola,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Pinoideae,,Pinus,monticola,HOWE:41,49.493893,-123.57747,Douglas ex. D. Don,2021-08-05,,pumakit
Pinus monticola,68084,Pinus monticola,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,,Pinaceae,Pinoideae,,Pinus,monticola,HOWE:42,49.493145,-123.581872,Douglas ex. D. Don,2022-07-20,,Rand Rudland
Rhinanthus minor,61470,Rhinanthus minor,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,,Orobanchaceae,,Rhinantheae,Rhinanthus,minor,HOWE:43,49.493145,-123.581872,L.,2022-07-10,,Rand Rudland
Sanguisorba officinalis,64549,Sanguisorba officinalis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,,Rosaceae,Rosoideae,Agrimonieae,Sanguisorba,officinalis,HOWE:44,49.493145,-123.581872,L.,2021-07-26,,Rand Rudland
