Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Diadumene lineata,"(Verrill, 1869)",,striped green sea anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Diadumenidae,,Diadumene,non-native,unlisted,confirmed,observed,1859,Alexander Agassiz,"McMurrich,1921",,,2018-08-05,Kristian Sigvardsen,https://www.inaturalist.org/observations/15156184,,81783,
Halcampa decemtentaculata,"Hand, 1955",,ten-tentacled burrowing anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Halcampidae,,Halcampa,native,unlisted,reported,unobserved,2008-06-21,Andy Lamb,PMLS,,,,,,,124510,
Peachia quinquecapitata,"McMurrich, 1913",,jelly-dwelling anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Actinioidea,Haloclavidae,,Peachia,native,unlisted,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,47814,
Metridium farcimen,"(Brandt, 1835)",,giant plumose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,Metridium,native,unlisted,confirmed,observed,1973-09-21,Andy Lamb,PMLS,,,2009-10-03,Jackson Chu,https://www.inaturalist.org/observations/61341028,,51812,
Metridium senile,"(Linnaeus, 1761)",,short plumose anemone,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Actiniaria,Enthemonae,Metridioidea,Metridiidae,,Metridium,native,unlisted,confirmed,observed,1968-08-02,Andy Lamb,PMLS,,,2017-04-30,Andrew Simon,https://www.inaturalist.org/observations/6047558,,49071,
Alcyonium sp.,,,orange soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,Alcyonium,,,reported,observed,1985-12-07,Andy Lamb,PMLS,,,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763485,,338004,The genus Alcyonium has been documented from both the southern Gulf Islands and from Race Rocks / Browning Passage / Weynton Passage. These populations are genetically different though they have not yet been circumscribed as species.
Discophyton rudyi,"(Verseveldt & van Ofwegen, 1992)",,white soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,Discophyton,native,unlisted,reported,unobserved,1995-02-24,Charlie Gibbs,PMLS,,,,,,,460061,
Thrombophyton trachydermum,"McFadden & Hochberg, 2003",,pale soft coral,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Alcyonacea,Alcyoniina,,Alcyoniidae,,Thrombophyton,native,unlisted,reported,unobserved,2009-01-30,Andy Lamb,PMLS,,,,,,,424307,
Balticina willemoesi,"(Kölliker, 1880)",,sea whip,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Halipteridae,,Halipteris,native,unlisted,reported,unobserved,2007-12-09,Andy Lamb,PMLS,,,,,,,460078,"Reported as Halipteris willemoesi (Kölliker, 1880)"
Ptilosarcus gurneyi,"(Gray, 1860)",,orange sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Pennatulidae,,Ptilosarcus,native,unlisted,confirmed,observed,1923-06-18,,RBCM,976-01146-015,1898281934,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976007,,448320,
Stylatula elongata,"Verrill, 1864",,spiny white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,Stylatula,native,unlisted,reported,unobserved,2016-01-23,Andy Lamb,PMLS,,,,,,,61459,
Virgularia sp.,,,white sea pen,Animalia,Cnidaria,,,Anthozoa,Octocorallia,,Pennatulacea,Subsessiliflorae,,Virgulariidae,,Virgularia,,,confirmed,observed,1995-02-25,Charlie Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2975931,,195571,
Caryophyllia (Caryophyllia) alaskensis,"Vaughan, 1941",,round tan cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Caryophylliidae,,Caryophyllia,native,unlisted,reported,unobserved,2009-02-14,Andy Lamb,PMLS,,,,,,,459907,
Paracyathus stearnsii,"Verrill, 1869",,brown oval cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,,,Caryophylliidae,,Paracyathus,native,unlisted,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,293284,
Balanophyllia (Balanophyllia) elegans,"Verrill, 1864",,orange cup coral,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Scleractinia,Dendrophylliina,,Dendrophylliidae,,Balanophyllia,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2007-10-23,Jackson Chu,https://www.inaturalist.org/observations/24792362,,51799,
Pachycerianthus fimbriatus,"McMurrich, 1910",,tube-dwelling anemone,Animalia,Cnidaria,,,Anthozoa,Ceriantharia,,Spirularia,,,Cerianthidae,,Pachycerianthus,native,unlisted,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,,2016-07-05,Peter Luckham,http://www.inaturalist.org/observations/2763393,,47702,
Epizoanthus scotinus,"Wood, 1957",,orange zoanthid,Animalia,Cnidaria,,,Anthozoa,Hexacorallia,,Zoantharia,Macrocnemina,,Epizoanthidae,,Epizoanthus,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,429859,
Bougainvillia sp.,,,cluster-tentacled jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,Bougainvillia,,,reported,unobserved,2008-10-05,Andy Lamb,PMLS,,,,,,,247135,
Garveia annulata,"Nutting, 1901",,orange hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Bougainvilliidae,,Garveia,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,63662,
Euphysa spp.,,,tiny red sausage jellies,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Corymorphidae,,Euphysa,,,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,,2013-05-09,Karolle Wall,http://www.inaturalist.org/observations/4052450,,247163,"Multiple Euphysa species are likely present in the region. ""Differences are apparently in the young specimens, but generally we only ever see the adults. Euphysa japonica has four tentacles, all alike, including the youngest stages. Euphysa flammea has four tentacles as an adult, but it is released with only one tentacle and the rest develop successively. Euphysa tentaculata (which may well be an Arctic species) is said to have one long tentacle, two half as long, and one bulb without tentacles. I’ve noticed Euphysa medusae both in the spring and in the fall (rarely if ever in the summer)—this seasonality suggests the occurrence of two different species.” (Claudia Mills pers. comm. 2020)."
Polyorchis penicillatus,"(Eschscholtz, 1829)",,red-eye medusa,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,Polyorchis,native,unlisted,confirmed,observed,2009-04-04,Andy Lamb,PMLS,,,2010-07-09,Karolle Wall,http://www.inaturalist.org/observations/3680720,,51640,
Sarsia spp.,,,thimble jellyfishes,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,Sarsia,,,reported,unobserved,2009-04-13,Andy Lamb,PMLS,,,,,,,51653,
Sarsia tubulosa,"(M. Sars, 1835)",,clapper hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Capitata,,Corynidae,,Sarsia,native,unlisted,confirmed,observed,1913-06-06,,RBCM,976-00141-001,,2011-05-18,Karolle Wall,http://www.inaturalist.org/observations/4028771,,448319,
Hydractinia sp.,,,barnacle fur hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,Hydractinia,,,reported,unobserved,2008-03-22,Andy Lamb,PMLS,,,,,,,203798,
Schuchertinia allmanii,"(Bonnevie, 1898)",,snail fur hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,Schuchertinia,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,Reported as Hydractinia cf aggregata,1118982,
Schuchertinia milleri,"(Torrey, 1902)",,hedge-hog hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Hydractiniidae,,Schuchertinia,native,unlisted,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,Reported as Clavactinia milleri,854771,
Catablema vesicarium nodulosum,"Bigelow, 1913",,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,Catablema,native,unlisted,new 2021,observed,,,,,,2021-04-11,Andrew Simon,https://www.inaturalist.org/observations/73718029,,888777,
Leuckartiara longicalcar,"Schuchert, 2018",,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,Leuckartiara,native,unlisted,new 2020,observed,,,,,,2020-05-09,catiemac,https://www.inaturalist.org/observations/57175835,,776381,
Neoturris breviconis,"(Murbach & Shearer, 1902)",,blob-top jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,Neoturris,native,unlisted,confirmed,observed,2007-09-29,Andy Lamb,PMLS,,,2011-05-18,Karolle Wall,http://www.inaturalist.org/observations/3706339,,491131,
Stomotoca atra,"L. Agassiz, 1862",,hanging stomach jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Pandeidae,,Stomotoca,native,unlisted,new 2016,observed,,,,,,2015-07-07,Karolle Wall,http://www.inaturalist.org/observations/4052412,,255140,
Similiclava nivea,"Calder, Choong & McDaniel, 2015",,white hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Similiclavidae,,Similiclava,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,873890,
Stylantheca papillosa,"(Dall, 1884)",,encrusting hydrocoral,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Stylasteridae,,Stylantheca,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,131205,
Stylaster verrillii,"(Dall, 1884)",,,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Filifera,,Stylasteridae,,Stylaster,native,unlisted,new 2007,observed,,,,,,2007-10-23,Jackson Chu,https://inaturalist.ca/observations/59908576,https://static.inaturalist.org/photos/95758142/large.jpeg?1600374698,459985,
Ectopleura crocea,"(Agassiz, 1862)",,bushy pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,Ectopleura,native,unlisted,reported,unobserved,1993-08-16,Andy Lamb,PMLS,,,,,,Reported as Pinauay crocea,324497,
Ectopleura marina,"(Torrey, 1902)",,solitary pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,Ectopleura,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,Reported as Pinauay marina,492142,
Tubularia indivisa,"Linnaeus, 1758",,giant pink-mouth hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Anthoathecata,Aplanulata,,Tubulariidae,,Tubularia,native,unlisted,reported,unobserved,2008-03-07,Andy Lamb,PMLS,,,,,,,461660,
Aequorea victoria s.lat.,,,water jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Aequoreidae,,Aequorea,native,unlisted,confirmed,observed,1985-07-29,Andy Lamb,PMLS,,,2017-05-26,Karolle Wall,https://www.inaturalist.org/observations/7648048,,325995,"""Aequorea victoria is our native species, named nearby, whereas A. forskalea is native to Europe or the East Coast. Sarah Abboud's recent molecular analysis of Pacific coast Aequorea showed they belonged to a 'victoria' clade, including many potential species or subspecies."" (Wyatt Patry pers. comm. 2020)."
Aglaophenia spp.,,,ostrich-plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Aglaopheniidae,,Aglaophenia,,,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,51218,"At least two other taxa—A. struthionides and A. latirostris—are expected in the region. The former may be more likely to be observed, though it is impossible to be certain without close examination."
Clytia gregaria,"(Agassiz, 1862)",,gregarious jellyfish,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Clytia,native,unlisted,reported,unobserved,1976-06-20,Rita M. O'Clair,CMN,CMNI 1900-1132,,,,,,195428,"Reported as Phialidium gregarium in CMN collections, an unaccepted synonym (WoRMS Editorial Board 2021)."
Obelia spp.,,,wine-glass hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Obelia,,,reported,unobserved,1968-08-02,Andy Lamb,PMLS,,,,,,,49536,At least two species are present in the genus—O. dichotoma and O. longissima—but they cannot be determined in the field.
Orthopyxis sp.,,,spider web hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Orthopyxis,,,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,500952,
Rhizocaulus verticillatus,"(Linnaeus, 1758)",,horse-tail hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Campanulariidae,,Rhizocaulus,native,unlisted,reported,unobserved,2008-03-22,Andy Lamb,PMLS,,,,,,,127158,
Eutonina indicans,"(Romanes, 1876)",,aggregating jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Eirenidae,,Eutonina,native,unlisted,reported,unobserved,1996-05-29,Charlie Gibbs,PMLS,,,,,,,348053,
Halecium beanii,"(Johnston, 1838)",,candalabrum hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,Halecium,native,unlisted,reported,unobserved,2010-04-18,Andy Lamb,PMLS,,,,,,,668120,
Halecium densum,"Calkins, 1899",,dense bushy hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Haleciidae,,Halecium,native,unlisted,reported,unobserved,2006-06-30,Andy Lamb,PMLS,,,,,,,874028,
Grammaria spp.,,,spindly embedded hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Lafoeidae,,Grammaria,,,reported,unobserved,2009-04-13,Andy Lamb,PMLS,,,,,,,874029,
Lafoea dumosa,"(Fleming, 1820)",,muff hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Lafoeidae,,Lafoea,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,423721,
Melicertum octocostatum,"(M. Sars, 1835)",,eight-strand jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Melicertidae,,Melicertum,native,unlisted,reported,unobserved,2009-04-13,Andy Lamb,PMLS,,,,,,,550154,
Mitrocoma cellularia,"(Agassiz, 1862)",,cross jellyfish,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,,Mitrocomidae,,Mitrocoma,native,unlisted,confirmed,observed,1928-07-20,"Fisheries Research Board of Canada, Nanaimo",CMN,CMNI 2012-0102,,2020-05-08,Andrew Simon,https://www.inaturalist.org/observations/45326871,,493918,"Reported as Halistaura cellularia in CMN collections, an unaccepted synonym (WoRMS Editorial Board 2021)."
Plumularia setacea,"(Linnaeus, 1758)",,glassy plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,Plumularia,native,unlisted,reported,unobserved,1913-06-06,,RBCM,976-00936-001,,,,,,209141,
Plumularia sp.,,,delicate plume hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Plumularioidea,Plumulariidae,,Plumularia,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,60609,
Sertularella sp.,,,garland hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertularellidae,,Sertularella,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,60656,
Abietinaria greenei,"(Murray, 1860)",,fibre-optic hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Abietinaria,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,429858,
Abietinaria spp.,,,coarse sea fir hydroids,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Abietinaria,,,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,55322,"Sturdy hydroids with alternating zoantheca structures. According to Fraser 1937, numerous species in this genus are known to the region."
Hydrallmania franciscana,"(Trask, 1857)",,loose spiral hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Hydrallmania,native,unlisted,reported,unobserved,2006-06-30,Andy Lamb,PMLS,,,,,,,873899,
Selaginopsis sp.,,,fish-bone hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Selaginopsis,,,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,701033,
Thuiaria spp.,,,embedded sea fir hydroids,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Thuiaria,,,reported,unobserved,2006-09-28,Andy Lamb,PMLS,,,,,,,514521,
Thuiaria thuja,"(Linnaeus, 1758)",,bottlebrush hydroid,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Leptothecata,,Sertularioidea,Sertulariidae,,Thuiaria,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,873882,
Gonionemus vertens,"A. Agassiz, 1862",,clinging jellyfish,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Limnomedusae,,,Olindiasidae,,Gonionemus,native,unlisted,new 2016,observed,,,,,,2013-07-07,Karolle Wall,http://www.inaturalist.org/observations/3706321,,501046,
Solmissus spp.,,,scalloped jelly,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Cuninidae,,Solmissus,,,reported,unobserved,2009-04-04,Andy Lamb,PMLS,,,,,,,247208,
Solmundaegina nematophora,"Lindsay, 2017",,four tentacled jelly,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Narcomedusae,,,Solmundaeginidae,,Solmundaegina,native,unlisted,confirmed,observed,2009-04-04,Andy Lamb,PMLS,,,2021-03-27,Dave Cochrane,https://inaturalist.ca/observations/72245212,,1156476,"This cryptic species was recently separated from Aegina citrea. ""Everything from surface waters in the Salish Sea is Solmundaegina nematophora"" (Claudia Mills pers. comm. 2021)"
Nanomia bijuga,"(Delle Chiaje, 1844)",,tailed jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Physonectae,,Agalmatidae,,Nanomia,native,unlisted,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,,2014-09-18,Karolle Wall,http://www.inaturalist.org/observations/4052157,,506580,
Muggiaea sp.,,,dwarf tailed jelly,Animalia,Cnidaria,,,Hydrozoa,Hydroidolina,,Siphonophorae,Calycophorae,,Diphyidae,Diphyinae,Muggiaea,,,reported,unobserved,2009-04-11,Andy Lamb,PMLS,,,,,,,201710,
Aglantha digitale,"(O. F. Müller, 1776)",,pink helmit,Animalia,Cnidaria,,,Hydrozoa,Trachylinae,,Trachymedusae,,,Rhopalonematidae,,Aglantha,native,unlisted,reported,unobserved,1861,Alexander Agassiz,"Agassiz, A. 1861. Notes on the described species of Holconoti, found on the western coast of North America. March 20, 1861. Proceedings of the Boston Society of Natural History, v.8, pp. 122–134.",,,,,,,256085,
Cyanea ferruginea,"Eschscholtz, 1829",,lion's mane,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Cyaneidae,,Cyanea,native,unlisted,confirmed,observed,1999-10-02,Andy Lamb,PMLS,,,2015-05-16,Karolle Wall,https://www.inaturalist.org/observations/3680731,reported as Cyanea capillata,786996,
Phacellophora camtschatica,"Brandt, 1835",,fried egg jellyfish,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Phacellophoridae,,Phacellophora,native,unlisted,confirmed,observed,1994-09-10,Andy Lamb,PMLS,,,2016-06-14,Karolle Wall,http://www.inaturalist.org/observations/3680726,,52966,
Aurelia labiata,"Chamisso & Eysenhardt, 1821",,moon jelly,Animalia,Cnidaria,,,Scyphozoa,Discomedusae,,Semaeostomeae,,,Ulmaridae,Aureliinae,Aurelia,native,unlisted,confirmed,observed,1996-09-28,Charlie Gibbs,PMLS,,,2015-06-21,Karolle Wall,http://www.inaturalist.org/observations/3706338,,130235,
Beroe abyssicola,"Mortensen, 1927",,transluscent comb jelly,Animalia,Ctenophora,,,Nuda,,,Beroida,,,Beroidae,,Beroe,native,unlisted,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,,2020-05-09,catiemac,https://www.inaturalist.org/observations/57175255,,1090851,
Euplokamis dunlapae,"Mills, 1987",,oval sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Euplokamidae,,Euplokamis,native,unlisted,reported,unobserved,1995-02-25,Charlie Gibbs,PMLS,,,,,,,873875,
Pleurobrachia bachei,"A. Agassiz, 1860",,sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Cydippida,,,Pleurobrachiidae,,Pleurobrachia,native,unlisted,confirmed,observed,1981-05-31,Andy Lamb,PMLS,,,2011-05-17,Karolle Wall,http://www.inaturalist.org/observations/4028653,,117705,
Bolinopsis infundibulum,"(O.F. Müller, 1776)",,lobed sea gooseberry,Animalia,Ctenophora,,,Tentaculata,,,Lobata,,,Bolinopsidae,,Bolinopsis,native,unlisted,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976644,,492705,
