Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Semele rubropicta,"Dall, 1871",,rose-painted clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Semelidae,,Semele,native,unlisted,reported,unobserved,1999-05-05,Andy Lamb,PMLS,,,,,,,371110,
Macoma brota,"Dall, 1916",,heavy macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,unlisted,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910109,,504353,
Macoma calcarea,"(Gmelin, 1791)",,chalky macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-008,1898275200,,,,,861604,
Macoma carlottensis,"Whiteaves, 1880",,Charlotte macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-009,1898266087,,,,,957354,"Accessioned in collections at the RBCM as Macoma inflatula, an unaccepted synonym (WoRMS Editorial Board 2021)."
Macoma nasuta,"(Conrad, 1837)",,bent-nose macoma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,unlisted,confirmed,observed,2009-11-14,Andy Lamb,PMLS,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4005328,,117612,
Macoma obliqua,"(J. Sowerby, 1817)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Cardiida,,Tellinoidea,Tellinidae,Macominae,Macoma,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-002,1898316814,,,,,861605,
Coanicardita ventricosa,"(Gould, 1850)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Carditida,,Carditoidea,Carditidae,Scalaricarditinae,Cyclocardia,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-006,1898313988,,,,,492137,"Reported as Cyclocardia ventricosa, an unaccepted synonym (WoRMS Editorial Board 2021)."
Kellia suborbicularis,"(Montagu, 1803)",,suborbicular kellyclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Galeommatida,,Galeommatoidea,Lasaeidae,,Kellia,native,unlisted,reported,unobserved,2006-06-30,Andy Lamb,PMLS,,,,,,,253475,
Parvilucina tenuisculpta,"(Carpenter, 1864)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,Lucinoidea,Lucinidae,Lucininae,Parvilucina,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-005,1898273623,,,,,493882,
Axinopsida serricata,"(Carpenter, 1864)",,lenticular axinopsid,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Lucinida,,Thyasiroidea,Thyasiridae,,Axinopsida,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03315,1898280832,,,,,977317,
Mya arenaria,"Linnaeus, 1758",,soft-shelled clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Myoidea,Myidae,,Mya,non-native,unlisted,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910084,,81634,
Mya truncata,"Linnaeus, 1758",,truncated softshell-clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Myoidea,Myidae,,Mya,native,unlisted,reported,unobserved,2008-04-27,Andy Lamb,PMLS,,,,,,,447416,
Zirfaea pilsbryi,"H. N. Lowe, 1931",,rough piddock,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Pholadoidea,Pholadidae,Pholadinae,Zirfaea,native,unlisted,reported,unobserved,2016-07-24,Andy Lamb,PMLS,,,,,,,117472,
Bankia setacea,"(Tryon, 1863)",,feathery shipworm,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Myida,,Pholadoidea,Teredinidae,Bankiinae,Bankia,native,unlisted,reported,unobserved,1999-10-02,Andy Lamb,PMLS,,,,,,,347368,
Crenella decussata,"(Montagu, 1808)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Crenellinae,Crenella,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-013,1898267985,,,,,193939,
Modiolus modiolus,"(Linnaeus, 1758)",,northern horsemussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Modiolinae,Modiolus,native,unlisted,reported,unobserved,2005-12-10,Andy Lamb,PMLS,,,,,,,123772,
Modiolus rectus,"(Conrad, 1837)",,,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Modiolinae,Modiolus,native,unlisted,reported,unobserved,1959-12-11,Dan Quayle,RBCM,989-00278-015,1898316253,,,,,196218,
Musculus discors,"(Linnaeus, 1767)",,discord mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Musculinae,Musculus,native,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00346,1898284913,,,,,482998,
Mytilus edulis complex,,,blue mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae,Mytilinae,Mytilus,native,unlisted,confirmed,observed,1982-05-28,Philip Lambert,RBCM,982-00155-001,1898293540,2015-08-05,Andrew Simon,https://www.inaturalist.org/observations/2599512,,62807,"In the field, mature Mytilus trossulus can often be distinguished from M. galloprovincialis, M. edulis, and related hybrids by examing the siphon-mantle features of the live animal. Identification by shell shapes and sizes is otherwise inconclusive and remains limited to the level of species complex."
Musculus niger,"(J.E. Gray, 1824)",,black mussel,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Mytilida,,Mytiloidea,Mytilidae ,Musculinae,Musculus,native,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00347,1898295371,,,,,483000,
Nuculana leonina,"(Dall, 1896)",,nuculanid clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Nuculanidae,Nuculaninae,Nuculana,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03316,1898319922,,,,,957348,
Megayoldia thraciaeformis,"(Storer, 1838)",,broad yoldia,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,Megayoldia,native,unlisted,reported,unobserved,1942-06-01,Dan Quayle,RBCM,991-00500-001,1898270739,,,,,957355,"Accessioned in collections at the RBCM as Yoldia thraciaeformis, an unaccepted synonym (WoRMS Editorial Board 2021)."
Yoldia aeolica,"(Valenciennes, 1846)",,yoldia clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,Yoldia,native,unlisted,reported,unobserved,1917-06-29,,RBCM,991-00498-001,1898316827,,,,,957342,"Accessioned in collections at the RBCM as Yoldia scissurata and Yoldia ensifera, unaccepted synonyms (WoRMS Editorial Board 2021)."
Yoldia hyperborea,"(Gould, 1841)",,yoldia clam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculanida,,Nuculanoidea,Yoldiidae,,Yoldia,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03304,,,,,,996928,"Accessioned in collections at the RBCM as Yoldia hyperborea limatuloides, an unaccepted subspecies (WoRMS Editorial Board 2021); also reported as Yoldia amygdalea (Valenciennes, 1846), an unaccepted taxon (WoRMS Editorial Board 2021)"
Ennucula tenuis,"(Montagu, 1808)",,smooth nutclam,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida,,Nuculoidea,Nuculidae,,Ennucula,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03318,1898321136,,,,,202045,
Acila castrensis,"(Hinds, 1843)",,nutclam or nutshell,Animalia,Mollusca,,,Bivalvia,Protobranchia,,Nuculida ,,Nuculoidea,Nuculidae,,Acila,native,unlisted,reported,unobserved,1961-05-13,Dan B. Quayle,RBCM,982-00207-002,1898323311,,,,,339158,
Magallana gigas,"(Thunberg, 1793)",,Pacific oyster,Animalia,Mollusca,,,Bivalvia,Pteriomorphia,,Ostreida,,Ostreoidea,Ostreidae,,Magallana,non-native,unlisted,new 2016,observed,,,,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910078,,605992,
Pododesmus macrochisma,"(Deshayes, 1839)",,green false-jingle,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Anomiidae,,Pododesmus,native,unlisted,confirmed,observed,1986-04-08,,RBCM,986-00191-016,,2016-04-06,Karolle Wall,http://www.inaturalist.org/observations/4052032,,68652,
Chlamys hastata,"(G. B. Sowerby II, 1842)",,spiny pink scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Chlamys,native,unlisted,confirmed,observed,1962-01-01,Dan Quayle,RBCM,989-00923-001,1898302672,2013-10-13,Peter Luckham,http://www.inaturalist.org/observations/2976031,,180013,"The name Chlamys hastata hericia, reported by Dan Quayle (RBCM 989-00923-001), is unaccepted (WoRMS Editorial Board 2021)."
Chlamys rubida,"(Hinds, 1845)",,smooth pink scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Chlamys,native,unlisted,reported,unobserved,1961-05-13,Dan Quayle,RBCM,982-00207-003,1898263421,,,,,84496,RBCM records report this specimen under the name of Chlamys islandica—an erroneous application of an Atlantic species concept.
Crassadoma gigantea,"(J.E. Gray, 1825)",,giant rock scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,Pedinae,Crassadoma,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2015-05-16,Karolle Wall,http://www.inaturalist.org/observations/2854818,,54526,
Patinopecten caurinus,"(Gould, 1850)",,giant Pacific sea scallop,Animalia,Mollusca,,,Bivalvia,Autobranchia,,Pectinida,,Pectinoidea,Pectinidae,,Patinopecten,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03311,1898283425,,,,,203116,
Tresus capax,"(Gould, 1850)",,fat gaper,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Mactroidea,Mactridae,Lutrariinae,Tresus,native,unlisted,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,,2016-02-07,Peter Luckham,https://www.inaturalist.org/observations/2763417,,126927,
Tresus nuttallii,"(Conrad, 1837)",,Pacific gaper,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Mactroidea,Mactridae,Lutrariinae,Tresus,native,unlisted,confirmed,observed,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00317,1898324818,2019-05-04,Emily Adamczyk,https://www.inaturalist.org/observations/24698187,,117611,
Zemysina impolita,"(S. S. Berry, 1953)",,rough diplodon,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Ungulinoidea,Ungulinidae,,Zemysina,native,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00293,1898314726,,,,,1118984,"McTaggart-Cowan reports Diplodonta orbella (=Zemysina orbella) (RBCM 979-00293). However, this taxon has since been split, with Zemysina orbella recognized as the southern and Zemysina impolita as the northern species."
Humilaria kennerleyi,"(Reeve, 1863)",,Kennerley's venus,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,,Humilaria,native,unlisted,reported,unobserved,1958-09-05,Ian McTaggart-Cowan,RBCM,979-00318-002,1898275723,,,,,873901,
Leukoma staminea,"(Conrad, 1837)",,Pacific littleneck clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,Chioninae,Leukoma,native,unlisted,confirmed,observed,2007-10-14,Andy Lamb,PMLS,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017301,,333608,
Ruditapes philippinarum,"(A. Adams & Reeve, 1850)",,Japanese littleneck,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,,Ruditapes,non-native,unlisted,new 2016,observed,,,,,,2016-08-21,Tyrel Froese,http://www.inaturalist.org/observations/4004964,,343269,
Saxidomus gigantea,"(Deshayes, 1839)",,Washington butter clam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Venerida,,Veneroidea,Veneridae,,Saxidomus,native,unlisted,confirmed,observed,2006-06-23,Andy Lamb,PMLS,,,2016-08-17,Andrew Simon,http://www.inaturalist.org/observations/3910100,,130233,
Compsomyax subdiaphana,"(Carpenter, 1864)",,milky venus,Animalia,Mollusca,,,Bivalvia,Autobranchia,Imparidentia,Veneroida,,Veneroidea,Veneridae,,Compsomyax,native,unlisted,reported,unobserved,1961-06-22,,RBCM,976-01146-007,1898298969,,,,,957357,
Entodesma navicula,"(Adams & Reeve, 1850)",,rock entodesma,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,Entodesma,native,unlisted,reported,unobserved,1969-02-22,Andy Lamb,PMLS,,,,,,,339164,
Lyonsia bracteata,"(Gould, 1850)",,scaly lyonsia,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,Lyonsia,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03305,1898276441,,,,,1118981,Accessioned in collections at the RBCM as Lyonsia californica (RBCM 979-03305). The original ID by Ian McTaggart-Cowan is Lyonsia pugetensis which is now accepted as Lyonsia bracteata (WoRMS Editorial Board 2021).
Mytilimeria nuttalli,"Conrad, 1837",,bladderclam,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Lyonsiidae,,Mytilimeria,native,unlisted,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,,,,,,873896,
Pandora filosa,"(Carpenter, 1864)",,threaded pandora,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Pandoridae,,Pandora,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03302,,,,,,906400,
Pandora wardiana,"A. Adams, 1860",,giant pandora,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Pandoroidea,Pandoridae,,Pandora,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03301,,,,,,906421,
Thracia trapezoides,"Conrad, 1849",,trapezoid thracia,Animalia,Mollusca,,,Bivalvia,Autobranchia,Anomalodesmata,,,Thracioidea,Thraciidae,,Thracia,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03313,1898304696,,,,,957343,
Enteroctopus dofleini,"(Wülker, 1910)",,giant pacific octopus,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Octopodiformes,Octopoda,Incirrata,Octopodoidea,Enteroctopodidae,,Enteroctopus,native,unlisted,confirmed,observed,1993-05-09,Charlie Gibbs,PMLS,,,2007-10-23,Jackson Chu,https://www.inaturalist.org/observations/8459014,,48863,
Octopus rubescens,"Berry, 1953",,Pacific red octopus,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Octopodiformes,Octopoda,Incirrata,Octopodoidea,Octopodidae,,Octopus,native,unlisted,reported,unobserved,1995-02-25,Charlie Gibbs,PMLS,,,,,,,47455,
Berryteuthis magister,"(Berry, 1913)",,schoolmaster armhook squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Oegopsida,,,Gonatidae,,Berryteuthis,native,unlisted,reported,unobserved,1956-01-29,W. Barraclough,RBCM,978-00057-002,1898322476,,,,,432390,
Rossia pacifica,"Berry, 1911",,stubby squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Sepiida,,,Sepiolidae,Rossiinae,Rossia,native,unlisted,reported,unobserved,1994-02-27,Charlie Gibbs,PMLS,,,,,,,151358,
Doryteuthis opalescens,"(Berry, 1911)",,California market squid,Animalia,Mollusca,,,Cephalopoda,Coleoidea,Decapodiformes,Teuthida,,,Loliginidae,,Doryteuthis,native,unlisted,new 2015,observed,,,,,,2015-08-06,Chessi Miltner,http://www.inaturalist.org/observations/3598640,,153981,
Phyllaplysia taylori,"Dall, 1900",,zebra leafslug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Aplysiida,,Aplysioidea,Aplysiidae,,Phyllaplysia,native,unlisted,confirmed,observed,1985-12-07,Andy Lamb,PMLS,,,2015-05-21,Karolle Wall,http://www.inaturalist.org/observations/3707805,,49864,
Acteocina culcitella,"(Gould, 1853)",,pillow barrel-bubble,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Bulloidea,Acteocina,,Acteocina,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03320,1898315360,,,,,49788,"Accessioned in collections at the RBCM as Cylichnella culcitella, an unrecognized name (WoRMS Editorial Board 2021)."
Aglaja ocelligera,"(Bergh, 1894)",,spotted aglaja,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,Aglaja,native,unlisted,confirmed,observed,1996-05-29,Charlie Gibbs,PMLS,,,2015-05-20,Karolle Wall,https://www.inaturalist.org/observations/32171691,,49842,
Melanochlamys diomedea,"(Bergh, 1894)",,Diomedes aglajid,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Aglajidae,,Melanochlamys,native,unlisted,reported,unobserved,1975-06-17,Philip Lambert,RBCM,975-00224-004,1898274481,2018-05-29,Karolle Wall,https://www.inaturalist.org/observations/12938503,Reported as (syn) Aglaja diomedea,345334,
Cylichna attonsa,"Carpenter, 1865",,deep trouble chalice-bubble,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Cylichnoidea,Cylichnidae,,Cylichna,native,unlisted,confirmed,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03321,1898288481,,,,,49792,
Gastropteron pacificum,"Bergh, 1894",,winged sea slug,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Philinoidea,Gastropteridae,,Gastropteron,native,unlisted,reported,unobserved,1994-02-27,Charlie Gibbs,PMLS,,,,,,,49839,
Haminoea vesicula,"(Gould, 1855)",,white bubble shell,Animalia,Mollusca,,,Gastropoda,Heterobranchia,,Cephalaspidea,,Haminoeoidea,Haminoeidae,,Haminoea,native,unlisted,confirmed,observed,2018-06-24,Karin Fletcher,PMLS,,,2018-05-30,Karolle Wall,https://www.inaturalist.org/observations/12970636,,49812,
Myosotella myosotis,"(Draparnaud, 1801)",,mouse-eared snail,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Ellobiida,,Ellobioidea,Ellobiidae,Pythiinae,Myosotella,non-native,unlisted,new 2016,observed,,,,,,2016-09-01,Andrew Simon,http://www.inaturalist.org/observations/4017005,,225386,
Diodora aspera,"(Rathke, 1833)",,rough keyhole limpet,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,Diodorinae,Diodora,native,unlisted,confirmed,observed,1969-02-21,Andy Lamb,PMLS,,,2019-05-04,Norah Brown,https://www.inaturalist.org/observations/24519360,,64148,
Puncturella cucullata,"(Gould, 1846)",,hooded puncturella,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Fissurelloidea,Fissurellidae,,Cranopsis,native,unlisted,reported,unobserved,1986-09-30,,RBCM,986-00197-038,,,,,,904312,"Accessioned in RBCM collections under the name Cranopsis cucullata, an unaccepted synonym (WoRMS Editorial Board 2021)."
Haliotis kamtschatkana,"Jonas, 1845",,northern abalone,Animalia,Mollusca,,,Gastropoda,Vetigastropoda,,Lepetellida,,Haliotoidea,Haliotidae,,Haliotis,native,unlisted,reported,unobserved,1981-05-31,Andy Lamb,PMLS,,,,,,,56654,
Crepidula cf nummaria,,,northern white slippersnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,Crepidula,,,reported,unobserved,1994-09-10,Andy Lamb,PMLS,,,,,,,117325,
Crepidula norrisiarum,"Williamson, 1905",,hooked slippersnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Calyptraeoidea,Calyptraeidae,,Crepidula,native,unlisted,reported,unobserved,1995-02-26,Charlie Gibbs,PMLS,,,,,,,485954,"Reports of Crepidula cf adunca have been determined as Crepidula norrisiarum (Collin et al., in press)."
Trichotropis cancellata,"Hinds, 1843",,checkered hairysnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Capuloidae,Capulidae,,Trichotropis,native,unlisted,reported,unobserved,1985-08-02,Andy Lamb,PMLS,,,,,,,447177,
Melanella micans,"(Carpenter, 1865)",,shining balcis,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Vanikoroidea,Eulimidae,,Melanella,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03323-001,1898291795,,,,,733259,
Lacuna variegata,"Carpenter, 1864",,variable lacuna,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Lacuninae,Lacuna,native,unlisted,reported,unobserved,2009-02-08,Andy Lamb,PMLS,,,,,,,339150,
Littorina scutulata,"Gould, 1849",,checkered periwinkle,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Littorininae,Littorina,native,unlisted,new 2016,observed,,,,,,2016-08-26,Lauren Magner,http://www.inaturalist.org/observations/3971332,,69995,
Littorina sitkana,"Philippi, 1846",,Sitka periwinkle,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Littorinoidea,Littorinidae,Littorininae,Littorina,native,unlisted,new 2017,observed,,,,,,2017-02-23,Kathleen Buckley,https://www.inaturalist.org/observations/5185500,,129298,
Cryptonatica aleutica,"(Dall, 1919)",,Aleutian moonsnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,Naticinae,Cryptonatica,native,unlisted,reported,unobserved,2009-01-30,Andy Lamb,PMLS,,,,,,,507519,
Euspira pallida,"(Broderip & G. B. Sowerby I, 1829)",,pale northern moonsnail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,Polinicinae,Euspira,native,unlisted,reported,unobserved,1961-06-22,Ian McTaggart-Cowan,RBCM,979-03310-001,1898274458,,,,,873876,
Neverita lewisii,"(Gould, 1847)",,Lewis' moon snail,Animalia,Mollusca,,,Gastropoda,Caenogastropoda,,Littorinimorpha,,Naticoidea,Naticidae,Polinicinae,Neverita,native,unlisted,confirmed,observed,1961-06-23,,RBCM,976-01146-004,1898263889,2016-02-07,Peter Luckham,http://www.inaturalist.org/observations/2763410,,447427,"Reported as Euspira lewisii, an unaccepted synonym (WoRMS Editorial Board 2021)."
