Taxon,Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Genus,Origin,Status,Reporting Status,iNat Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Critical Notes
Schizoporella japonica,"Ortmann, 1890",,orange ripple bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Cheilostomatida,Flustrina,Schizoporelloidea,Schizoporellidae,,Schizoporella,non-native,unlisted,confirmed,observed,1973-09-20,Andy Lamb,PMLS,,,2019-05-04,Joan Septembre,https://www.inaturalist.org/observations/24768697,misspelled Schizoporella japonicus,519486,"Schizoporella japonica is an introduced species in the NEP, although we have at least one other introduced Schizoporella in California. Schizoporella unicornis is now restricted to Europe."" (Jim Carlton pers. comm 2019)"
Alcyonidium pedunculatum,"Robertson, 1902",,smooth leather bryozoan,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Alcyonidiina,Alcyonidoidea,Alcyonidiidae,,Alcyonidium,native,unlisted,reported,unobserved,1994-02-26,Charlie Gibbs,PMLS,,,,,,,873864,
Bowerbankia sp.,,,tubeworm fuzz,Animalia,Bryozoa,,,Gymnolaemata,,,Ctenostomatida,Vesicularina,Vesicularioidea,Vesiculariidae,,Bowerbankia,,,reported,unobserved,2006-06-23,Andy Lamb,PMLS,,,,,,,345483,
Crisia spp.,,,white tuft bryozoans,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Articulina,,Crisiidae,,Crisia,,,reported,unobserved,1985-07-29,Andy Lamb,PMLS,,,,,,,192680,
Diaperoforma californica,"(d'Orbigny, 1853)",,southern staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Tubuliporina,,Diaperoeciidae,,Diaperoforma,native,unlisted,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,,345872,
Heteropora alaskensis,"Borg, 1933",,delicate staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,Heteropora,native,unlisted,reported,unobserved,2008-07-19,Andy Lamb,PMLS,,,,,,,873902,
Heteropora pacifica,"Borg, 1933",,northern staghorn bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Cerioporina,,Heteroporidae,,Heteropora,native,unlisted,reported,unobserved,1971-08-21,Andy Lamb,PMLS,,,,,,,465163,
Disporella separata,"Osburn, 1953",,purple encrusting bryozoan,Animalia,Bryozoa,,,Stenolaemata,,,Cyclostomatida,Rectangulata,,Lichenoporidae,,Disporella,native,unlisted,reported,unobserved,1997-04-15,Donna Gibbs,PMLS,,,,,,,465160,
Barentsia sp.,,,nodding heads,Animalia,Entoprocta,,,,,,,,,Barentsiidae,,Barentsia,,,reported,unobserved,1985-12-07,Andy Lamb,PMLS,,,,,,,211513,
Phoronis ijimai,"Oka, 1897",,white colonial Phoronid,Animalia,Phoronida,,,,,,,,,Phoronidae,,Phoronis,native,unlisted,confirmed,observed,2008-04-27,Andy Lamb,PMLS,,,2013-06-26,Karolle Wall,http://www.inaturalist.org/observations/4014973,,372139,
