Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,iNaturalist Link,Notes,Stats Code
Parmotrema arnoldii,,Arnold's parmotrema lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,documented,1974-06-13,W. J. Noble,UBC,2016-04-03,A. Simon,http://www.inaturalist.org/observations/2572195,,LIC
Peltigera didactyla,,temporary pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,—,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Peltigera leucophlebia,,ruffled freckled pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,,documented,1974-05-29,W. J. Noble,UBC,2017-04-02,A. Simon,https://www.inaturalist.org/observations/5551327,,LIC
Peltigera membranacea,,membranous pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2014-09-27,A. Simon,http://www.inaturalist.org/observations/2632382,,LIC
Peltigera rufescens,,black-bellied pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,,documented,1974-05-29,W. J. Noble,UBC,2017-03-25,A. Simon,https://www.inaturalist.org/observations/5471720,,LIC
Peltigera venosa,,fan pelt,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Peltigeraceae,—,—,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Pertusaria amara,(Ach.) Nyl.,bitter wart lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Pertusariales,,,Pertusariaceae,—,—,documented,1974-05-30,W. J. Noble,UBC,2015-03-04,A. Simon,http://www.inaturalist.org/observations/2566370,,LIC
Pertusaria subambigens,Dibben,frosted wart lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Pertusariales,,,Pertusariaceae,—,—,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Phaeophyscia orbicularis,,mealy shadow lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Phylliscum demangeonii,,lizard tripe,Fungi,Ascomycota,Pezizomycotina,,Lichinomycetes,,,Lichinales,,,Lichinaceae,—,,undocumented,1974-06-01,W. J. Noble,UBC,,,,,LIC
Physcia alnophila,,grey-eyed rosette,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,,documented,1974-05-31,W. J. Noble,UBC,2017-02-16,A. Simon,https://www.inaturalist.org/observations/5121968,,LIC
Physcia caesia,,blue-grey rosette lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2015-08-28,L. Magner,http://www.inaturalist.org/observations/3735114,,LIC
Physconia perisidiosa,,crescent frost lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,,documented,1974-05-28,W. J. Noble,UBC,2017-03-30,A. Simon,https://www.inaturalist.org/observations/5526016,,LIC
Pilophorus acicularis,,devil’s matchsticks,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2015-03-09,A. Simon,http://www.inaturalist.org/observations/2572192,,LIC
Placopsis gelida,(L.) Linds.,bull’s-eye lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Placopyrenium heppioides,(Zahlbr.) Breuss,lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Platismatia herrei,(Imshaug) W.L. Culb. & C.F. Culb.,Herre's ragged lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,—,documented,1974-04-21,W. J. Noble,UBC,2015-03-04,A. Simon,http://www.inaturalist.org/observations/2566412,,LIC
Porpidia soredizodes,,,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecideales,,,Porpidiaceae,,,undocumented,1974-06-01,W. J. Noble,UBC,2016-10-04,A. Simon,http://www.inaturalist.org/observations/4282648,,LIC
Protoparmelia ochrococca,,lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Punctelia stictica,,blueshift speckleback,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,S2S3 (2010),documented,1974-05-29,W. J. Noble,UBC,2016-09-28,A. Simon,http://www.inaturalist.org/observations/4239749,,LIC
Pyrenocollema halodytes,(Nyl.) R.C. Harris,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Pyrenulales,,,Xanthopyreniaceae,,,undocumented,1976-07-23,W. J. Noble,UBC,,,,Reported as Arthopyrenia halodytes,LIC
Ramalina neopacifica,,ribbon lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Ramalina sp.2 sensu Goward 1999,,ribbon lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,—,,undocumented,1974-05-31,W. J. Noble,UBC,,,,,LIC
Rhizocarpon bolanderi,,map lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,Rhizocarpales,,,Rhizocarpaceae,—,,undocumented,1974-05-28,W. J. Noble,UBC,,,,,LIC
Rhizocarpon obscuratum,,dusky map lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,,,Rhizocarpales,,,Rhizocarpaceae,—,,undocumented,1974-06-01,W. J. Noble,UBC,,,,,LIC
Rinodina bolanderi,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Rinodina gennarii,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Rinodina laevigata,,pepper-spore lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Physciaceae,—,,undocumented,1974-05-29,W. J. Noble,UBC,,,,,LIC
Sarcogyne privigna var. calcicola,,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Acarosporomycetidae,,Acarosporales,,,Acarosporaceae,—,globally imperiled,undocumented,1974-04-21,W. J. Noble,UBC,,,,,LIC
Scoliciosporum umbrinum,,umber dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Scoliciosporaceae,—,,undocumented,1974-06-01,W. J. Noble,UBC,,,,,LIC
Sphaerophorus tuckermanii,,Tuckerman’s coral lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Sphaerophoraceae,—,,documented,1974-05-30,W. J. Noble,UBC,2016-11-03,A. Simon,http://www.inaturalist.org/observations/4491326,Previously erroneously reported as Sphaerophorus globiferus (L.) DC. var. gracilis Müll. Arg. = Sphaerophorus globosus (Hudson),LIC
Sticta limbata,,powdered moon lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Lobariaceae,,,undocumented,1974-05-28,W. J. Noble,UBC,,,,,LIC
Thelotrema lepadinum,,bark barnacles,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Thelotremataceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Trapelia coarctata,,—,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Agyriales,,,Trapeliaceae,—,,undocumented,1974-05-28,W. J. Noble,UBC,,,,,LIC
Tuckermannopsis chlorophylla,(Willd.) Hale,powdered wrinkle lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,,,documented,1974-05-31,W. J. Noble,UBC,2016-04-23,A. Simon,http://www.inaturalist.org/observations/3031242,,LIC
Tuckermannopsis orbata,(Nyl.) M.J. Lai,variable wrinkle-lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,—,documented,1974-05-30,W. J. Noble,UBC,2015-03-04,L. Magner,http://www.inaturalist.org/observations/2569000,,LIC
Usnea cavernosa,,dimpled beard,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,S2S3 (2010),documented,1974-05-28,W. J. Noble,UBC,2017-02-11,A. Simon,https://www.inaturalist.org/observations/5109885,,LIC
Verrucaria maura,,,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,—,,undocumented,1974-05-30,W. J. Noble,UBC,,,,,LIC
Xanthoparmelia cumberlandia s. lat.,,Cumberland Rock Shield,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2015-08-05,A. Simon,http://www.inaturalist.org/observations/2599862,,LIC
Xanthoparmelia mougeotii,,powdered rockfrog,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,,undocumented,1974-05-28,W. J. Noble,UBC,,,,,LIC
Xanthoria parietina,,maritime sunburst lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,,documented,1974-05-28,W. J. Noble,UBC,2016-12-27,A. Simon,https://www.inaturalist.org/observations/4855793,,LIC
Xanthoria polycarpa,,pin-cushion sunburst lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Teloschistaceae,—,—,documented,1974-05-31,W. J. Noble,UBC,2016-08-14,A. Simon,http://www.inaturalist.org/observations/3948548,,LIC
Arthothelium spectabile,(Flot.) A. Massal.,—,Fungi,Ascomycota,Pezizomycotina,,Arthoniomycetes,,,Arthoniales,,,Arthoniaceae,—,—,undocumented,1974-05-30,W. J. Noble & J. Coursley,UBC,,,,,LIC
Buellia badia,(Fr.) A. Massal.,parasitic button lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Teloschistales,,,Caliciaceae,—,,undocumented,1974-05-29,W. J. Noble & J. Coursley,UBC,,,,,LIC
Dermatocarpon miniatum,(L.) W. Mann,leather lichen,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,documented,1974-05-29,W. J. Noble & J. Coursley,UBC,2016-04-23,A. Simon,http://www.inaturalist.org/observations/3031104,,LIC
Dermatocarpon reticulatum,H. Magn.,sandpaper stippleback,Fungi,Ascomycota,Pezizomycotina,,Eurotiomycetes,Chaetothyriomycetidae,,Verrucariales,,,Verrucariaceae,,,documented,1974-05-30,W. J. Noble & J. Coursley,UBC,2016-06-28,A. Simon,http://www.inaturalist.org/observations/3542956,,LIC
Diploschistes scruposus,,crater lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Thelotremataceae,—,—,documented,1974-05-29,W. J. Noble & J. Coursley,UBC,2015-09-27,A. Simon,http://www.inaturalist.org/observations/2632562,,LIC
Evernia prunastri,,antlered oakmoss,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Parmeliaceae,—,—,documented,1974-05-31,W. J. Noble & J. Coursley,UBC,2016-04-23,L. Magner,,,LIC
Graphis scripta,(L.) Ach.,common script lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Ostropomycetidae,,Ostropales,,,Graphidaceae,—,,documented,1974-05-31,W. J. Noble & J. Coursley,UBC,2017-02-16,A. Simon,https://www.inaturalist.org/observations/5122044,,FUN
Japewia tornoensis,,hidden dot lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,—,,undocumented,1974-05-24,W. J. Noble & J. Coursley,UBC,,,,,LIC
Nephroma laevigatum,,mustard kidney lichen,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Peltigerales,,,Nephromataceae,,,documented,1974-05-31,W. J. Noble & J. Coursley,UBC,2016-09-03,A. Simon,http://www.inaturalist.org/observations/4030003,,LIC
Ramalina dilacerata,,punctured ribbon,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Ramalinaceae,—,,documented,1974-05-31,W. J. Noble & J. Coursley,UBC,2017-03-18,A. Simon,https://www.inaturalist.org/observations/5392752,,LIC
Cladonia verruculosa,,nittygritty pixie,Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,Lecanorales,,,Cladoniaceae,—,,undocumented,1963-08-31,W.B. Schofield,UBC,,,,,LIC
Agaricus xanthodermus,Genev.,yellow stainer,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Agaricaceae,—,—,new 2016,—,—,—,2016-10-10,G. Barber,http://inaturalist.ca/observations/4315697,,FUN
Conocybe sp.,—,conecaps,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Bolbitiaceae,—,—,documented,—,—,—,2015-03-21,L. Magner & A. Simon,http://www.inaturalist.org/observations/2608701,,FUN
Dacrymyces palmatus,,orange jelly,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,—,—,new 2017,—,—,—,2017-02-23,A. Simon,https://www.inaturalist.org/observations/5165789,,FUN
Entoloma sp.,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Entolomataceae,—,—,documented,—,—,—,2016-03-22,A. Simon,http://www.inaturalist.org/observations/2819483,,FUN
Galerina sp.,—,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Strophariaceae,—,—,documented,—,—,—,,,,,FUN
Gliophorus laetus,,heath waxcap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Hygrophoraceae,,,new 2016,—,—,—,2016-11-03,L. Magner & A. Simon,http://www.inaturalist.org/observations/4491198,,FUN
Gliophorus psittacinus,(Schaeff.) Herink,parrot mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Hygrophoraceae,,,documented,—,—,—,2013-10-26,I. Guthrie,http://www.inaturalist.org/observations/4209523,,FUN
Gomphidius glutinosus,(Schaeff.) Fr.,slimy spike,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Gomphidiaceae,,,new 2016,—,—,—,2016-10-12,A. Simon,http://www.inaturalist.org/observations/4342931,,FUN
Gymnopilus junonius,(Fr.) P.D. Orton,spectacular rustgill,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Strophariaceae,—,—,new 2016,—,—,—,2016-10-23,G. Barber,http://inaturalist.ca/observations/4428045,,FUN
Gymnopilus purpuratus,(Cooke & Massee) Singer,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Strophariaceae,—,—,new 2016,—,—,—,2016-10-12,A. Simon,http://www.inaturalist.org/observations/4342950,,FUN
Gyroporus cyanescens,(Bull.) Quél.,cornflower bolete,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,Sclerodermatineae,,Gyroporaceae,—,—,new 2016,—,—,—,2016-09-03,G. Barber,http://inaturalist.ca/observations/4040397,,FUN
Hebeloma sp.,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Hymenogastraceae,—,—,documented,—,—,—,2015-03-21,L. Magner & A. Simon,http://www.inaturalist.org/observations/2608508,,FUN
Inocybe whitei,(Berk. & Broome) Sacc.,blushing inocybe,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,—,—,new 2015,—,—,—,2015-03-21,L. Magner & A. Simon,http://www.inaturalist.org/observations/2608732,,FUN
Lactarius subviscidus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,—,—,new 2016,—,—,—,2016-11-05,A. Simon,http://www.inaturalist.org/observations/4503918,,FUN
Leptonia diversa,Largent,—,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Entolomataceae,—,—,undocumented,2008-10-25,—,UBC,,,,,FUN
Lycoperdon umbrinum,,umber-brown puffball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Lycoperdaceae,,,new 2016,—,—,—,2016-10-07,L. Magner & A. Simon,http://www.inaturalist.org/observations/4296039,,FUN
Melanoleuca excissa,,—,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Tricholomataceae,—,—,undocumented,2008-10-25,—,UBC,,,,,FUN
Melanoleuca stridula,,—,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Tricholomataceae,—,—,undocumented,2008-10-25,—,UBC,,,,,FUN
Nolanea sp.,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Entolomataceae,—,—,documented,—,—,—,2015-03-21,L. Magner & A. Simon,http://www.inaturalist.org/observations/2608526,,FUN
Panus conchatus,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Polyporales,,,Polyporaceae,,,new 2017,—,—,—,2017-05-27,P. Janszen,https://www.inaturalist.org/observations/7150092,,FUN
Polyporus decurrens,,—,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Polyporales,,,Polyporaceae,—,—,undocumented,2008-10-25,—,UBC,,,,,FUN
Ramaria spp.,,coral fungi,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Gomphaceae,,,documented,—,—,—,2017-05-08,W. Matthes,http://www.inaturalist.org/observations/5251530,,FUN
Scleroderma cepa,,onion earthball,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,Sclerodermatineae,,Sclerodermataceae,,,new 2016,—,—,—,2016-07-19,A. Huggins,http://www.inaturalist.org/observations/3707251,,FUN
Trametes cf pubescens,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Polyporales,,,Polyporaceae,,,new 2017,—,—,—,2017-05-27,P. Janszen,https://www.inaturalist.org/observations/7150095,,FUN
Trametes ochracea,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Polyporales,,,Polyporaceae,,,new 2017,—,—,—,2017-03-19,S. Tweedale,https://www.inaturalist.org/observations/5412451,,FUN
Tremella aurantia,,golden ear,Fungi,Basidiomycota,,,Tremellomycetes,,,Tremellales,,,Tremellaceae,—,—,new 2016,—,—,—,2013-10-11,I. Guthrie,http://www.inaturalist.org/observations/4209534,,FUN
Tubaria sp.,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Tubariaceae,—,—,documented,—,—,—,2015-03-21,L. Magner & A. Simon,http://www.inaturalist.org/observations/2608963,,FUN
Rhizopogon villosulus,,—,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Boletales,,,Rhizopogonaceae,—,—,undocumented,—,G. Skudder,UBC,,,,,LIC
Amanita aprica,J. Lindgr. & Tulloss,sunshine amanita,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Amanitaceae,—,—,documented,2011-05-14,K. Brothers,VMS Private List,2017-05-18,A. Simon,https://www.inaturalist.org/observations/6306947,,FUN
Amanita vaginata,(Bull.) Lam.,Grisette,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Amanitaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Auriscalpium vulgare,Gray,pinecone earpick,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Auriscalpiaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Byssomerulius corium,(Pers.) Parmasto,—,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Polyporales,,,Phanerochaetaceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Clavulinopsis cf laeticolor,(Berk. & M.A. Curtis) R.H. Petersen,golden fairy club,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Clavariaceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,LIC
Clitocybe albirhiza,H.E. Bigelow & A.H. Sm.,snowmelt clitocybe,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Tricholomataceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Clitocybe fragrans,(With.) P. Kumm.,fragrant funnel,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Tricholomataceae,—,—,documented,—,K. Brothers,VMS Private List,2016-11-05,A. Simon,http://www.inaturalist.org/observations/4503743,,FUN
Coprinellus micaceus,"(Bull.) Vilgalys, Hopple & Jacq. Johnson",glistening inky-cap,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Psathyrellaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Entoloma holoconiotum,(Largent & Thiers) Noordel. & Co-David,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Entolomataceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Galerina marginata,(Batsch) Kühner,deadly galerina,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Strophariaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Guepiniopsis alpinus,(Tracy & Earle) Brasf.,golden jelly cone,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Heterobasidion annosum,(Fr.) Bref.,annosus root & butt rot,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Bondarzewiaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Heterotextus luteus,(Bres.) McNabb,golden jelly cone,Fungi,Basidiomycota,Agaricomycotina,,Dacrymycetes,,,Dacrymycetales,,,Dacrymycetaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Hygrophorus sp,,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Hygrophoraceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Inocybe calamistrata,(Fr.) Gillet,scaly fiber head,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Inocybe lanuginosa var. ovatocystis,(Boursier & Kühner) Stangl,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Inocybe rimosa,(Bull.) P. Kumm.,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Inocybaceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Irpex lacteus,(Fr.) Fr.,milk-white toothed polypore,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Polyporales,,,Meruliaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Lactarius luculentus var. laetus,Hesler & A.H. Sm.,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Russulales,,,Russulaceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Lentaria pinicola,(Burt) R.H. Peterson,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Phallomycetidae,,Gomphales,,,Lentariaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Lyophyllum decastes,(Fr.) Singer,fried chicken mushroom,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Lyophyllaceae,—,—,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Melanoleuca cf verrucipes,(Fr.) Singer,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Tricholomataceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Mycena cf leptocephala,(Pers.) Gillet,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Mycenaceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Naucoria escharioides,(Fr.) P. Kumm.,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,,,Strophariaceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
Oxyporus cuneatus,(Murrill) Aoshima,,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Schizoporaceae,,,undocumented,—,K. Brothers,VMS Private List,,,,,FUN
