Taxon,Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting,Last Collected/Reported (y-m-d),Collector/Source,Collection/List,First Documented,Documenter,iNaturalist Link,iNaturalist Photo,Notes,ID,Stats Code
Callobius pictus,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,,new 2016,,,,2016-08-14,A. Simon,http://www.inaturalist.org/observations/3895260,https://static.inaturalist.org/photos/4575422/medium.jpg?1471305675,,199277,ART
Callobius severus,(Simon),,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Amaurobioidea,Amaurobiidae,,,,documented,1984-04-20,G.G.E. Scudder,SEM,2016-09-11,A. Simon,http://www.inaturalist.org/observations/4092193,https://static.inaturalist.org/photos/4857893/medium.jpg?1473661437,,49549,ART
Antrodiaetus pacificus,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Mygalomorphae,Atypoidea,Antrodiaetidae,,,,new 2017,,,,2017-09-04,A. Simon,https://www.inaturalist.org/observations/8173993,https://static.inaturalist.org/photos/10825490/medium.jpg?1506719947,,199276,ART
Anyphaena aperta,(Banks),ghost spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Anyphaenidae,,,,documented,1983-04-30,G.G.E. Scudder,SEM,2017-05-31,A. Simon,https://www.inaturalist.org/observations/8172198,https://static.inaturalist.org/photos/10823096/medium.jpg?1506712810,,213821,ART
Araneus diadematus,,cross orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,,new 2015,,,,2012-09-13,R. Lampitoc,http://www.inaturalist.org/observations/4021751,https://static.inaturalist.org/photos/4752043/large.jpg?1472866363,,52628,ART
Larinioides cornutus,,furrow orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,,new 2017,,,,2017-04-15,A. Simon,https://www.inaturalist.org/observations/5784843,https://static.inaturalist.org/photos/7187162/medium.jpg?1492418601,,126513,ART
Castianeira longipalpa,,ant-mimicking sac spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Corinnidae,,,,new 2016,,,,2016-09-01,A. Simon,http://www.inaturalist.org/observations/4017046,https://static.inaturalist.org/photos/4745363/medium.jpg?1472820300,,70300,ART
Cybaeota shastae,,ground spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,undocumented,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,ART
Cybaeus morosus,Simon,ground spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,undocumented,1991-09-02,G.G.E. Scudder,SEM,,,,,,,ART
Cybaeus signifer,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dictynoidea,Cybaeidae,,,,new 2016,,,,2016-07-26,A. Simon,http://www.inaturalist.org/observations/3766333,https://static.inaturalist.org/photos/4388759/medium.jpg?1469825647,,52949,ART
Cicurina tersa,,meshweaver spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Dictynidae,,,,undocumented,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,ART
Dysdera crocata,,woodlouse spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Dysderoidea,Dysderidae,,,,documented,2016-09-04,RBCM BC Spider Database,RBCM,2016-07-09,A. Simon,http://www.inaturalist.org/observations/3652611,https://static.inaturalist.org/photos/4226761/medium.jpg?1468129729,,68912,ART
Sergiolus columbianus,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Gnaphosoidea,Gnaphosidae,,,,new 2014,,,,2014-06-09,A. Simon,http://www.inaturalist.org/observations/728018,https://static.inaturalist.org/photos/914427/medium.jpg?1402361252,,230819,ART
Ethobuella tuonops,,true spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Hahniidae,,,,undocumented,2012-05-09,R. Bennett,RBCM,,,,,,,ART
Ceratinops inflatus,,dwarf weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,undocumented,2012-05-09,R. Bennett,RBCM,,,,,,,ART
Neriene digna,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,undocumented,2007-12-26,R. Bennett,RBCM,,,,,,,ART
Pityohyphantes sp.,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,new 2017,,,,2017-05-31,A. Simon,https://www.inaturalist.org/observations/8171933,https://static.inaturalist.org/photos/10822708/medium.jpg?1506711189,,153447,ART
Scotinotylus patellatus,,sheet weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,undocumented,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,ART
Spirembolus mundus,,sheet weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,undocumented,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,ART
Tenuiphantes zelatus,,sheet weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,undocumented,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,ART
Wubana pacifica,,sheet weaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Linyphiidae,,,,undocumented,2016-09-04,RBCM BC Spider Database,RBCM,,,,,,,ART
Alopecosa kochi,,wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,,new 2017,,,,2017-03-25,A. Simon,https://www.inaturalist.org/observations/5471889,https://static.inaturalist.org/photos/6739224/medium.jpeg?1490579717,,143470,ART
Pardosa dorsuncata,Lowrie & Dondale,thinlegged wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,,undocumented,1985-05-05,G.G.E. Scudder,SEM,,,,,,,ART
Pardosa lowriei,Kronestedt,thinlegged wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,,undocumented,1985-05-05,G.G.E. Scudder,SEM,,,,,,,ART
Pardosa sp.,,thinlegged wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,,documented,,,,2015-03-13,A. Simon,http://www.inaturalist.org/observations/1295363,,,,ART
Pardosa vancouveri,,thinlegged wolf spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,,,,documented,1975-04-16,J. Spence,RBCM,2017-05-31,A. Simon,https://www.inaturalist.org/observations/8172357,https://static.inaturalist.org/photos/10823198/medium.jpg?1506713148,,227200,ART
Philodromus rufus,Dondale & Redner,running crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,,,undocumented,1983-04-30,G.G.E. Scudder,SEM,,,,,,,ART
Philodromus sp.,,running crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Philodromidae,,,,documented,,,,2016-05-14,A. Simon,http://www.inaturalist.org/observations/3296681,https://static.inaturalist.org/photos/3810416/medium.JPG?1464152672,,56611,ART
Pholcus phalangioides,,longbodied cellar spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,,,,documented,2016-09-04,RBCM BC Spider Database,RBCM,2016-08-26,A. Simon,http://www.inaturalist.org/observations/3971609,https://static.inaturalist.org/photos/4683089/medium.jpg?1472272859,,67328,ART
Eris militaris,,bronze jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Dendryphantinae,,,documented,2016-09-04,RBCM BC Spider Database,RBCM,2016-07-23,S. Tweedale,http://inaturalist.ca/observations/3737473,https://static.inaturalist.org/photos/4343916/medium.jpeg?1469375097,,121445,ART
Evarcha proszynski,,jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,,,,new 2016,,,,2016-07-19,A. Simon,http://www.inaturalist.org/observations/3707139,https://static.inaturalist.org/photos/4305243/medium.jpg?1468978677,,61759,ART
Neon reticulatus,,jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,,,,undocumented,2012-05-09,R. Bennett,RBCM,,,,,,,ART
Phidippus johnsoni,,Johnson's jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,Dendryphantinae,,,new 2016,,,,2016-10-20,L. Magner & A. Simon,http://www.inaturalist.org/observations/4403124,https://static.inaturalist.org/photos/5288095/medium.jpg?1477007927,,58421,ART
Platycryptus californicus,,jumping spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,,,,new 2014,,,,2014-06-13,A. Simon,http://www.inaturalist.org/observations/735770,https://static.inaturalist.org/photos/924794/medium.jpg?1402714849,,228315,ART
Salticus scenicus,,zebra jumper,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Salticoidea,Salticidae,,,,new 2017,,,,2017-09-28,A. Simon,https://www.inaturalist.org/observations/8159241,https://static.inaturalist.org/photos/10803761/medium.jpg?1506635611,,68901,ART
Usofila pacifica,,small spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Telemidae,,,,undocumented,2006-01-05,R. Bennett,RBCM,,,,,,,ART
Metellina curtisi,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,,new 2016,,,,2016-08-15,A. Simon,http://www.inaturalist.org/observations/3903550,https://static.inaturalist.org/photos/4587864/medium.jpg?1471414856,,196577,ART
Tetragnatha sp.,,long-jawed orbweaver,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Tetragnathidae,,,,documented,1982-05-08,G.G.E. Scudder,SEM,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6223419,https://static.inaturalist.org/photos/7818430/medium.jpeg?1494871068,,47550,ART
Latrodectus hesperus,,western black widow,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,,new 2016,,,,2016-09-27,Pat,http://www.inaturalist.org/observations/4343237,https://static.inaturalist.org/photos/5214667/medium.jpg?1476398910,,47382,ART
Steatoda grossa,,false black widow,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,,new 2016,,,,2016-09-03,A. Simon,http://www.inaturalist.org/observations/4313614,https://static.inaturalist.org/photos/5183281/medium.jpg?1476124710,,61997,ART
Theridion sexpunctatum,Emerton,cobweb spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Theridiidae,,,,undocumented,1983-04-30,G.G.E. Scudder,SEM,,,,,,,ART
Theridion sp.,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Theridiidae,,,,new 2016,,,,2014-06-22,I. Guthrie,http://www.inaturalist.org/observations/4170004,https://static.inaturalist.org/photos/4965291/medium.jpg?1474507154,,82081,ART
Bassaniana cf utahensis,,Utah Crab Spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,,new 2016,,,,2016-11-03,A. Simon,http://www.inaturalist.org/observations/4491284,https://static.inaturalist.org/photos/5425255/medium.jpg?1478227836,,298120,ART
Coriarachne brunneipes,,,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,,new 2017,,,,2017-05-27,A. Simon,https://www.inaturalist.org/observations/6465012,https://static.inaturalist.org/photos/8173846/medium.jpg?1496389146,,217594,ART
Misumena vatia,,goldenrod crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,,new 2016,,,,2016-06-23,A. Colwell,http://www.inaturalist.org/observations/3562082,https://static.inaturalist.org/photos/4138872/medium.jpg?1467242858,,55746,ART
Xysticus pretiosus,,ground crab spider,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,,documented,2012-05-09,R. Bennett,RBCM,2017-05-31,A. Simon,https://www.inaturalist.org/observations/6464872,https://static.inaturalist.org/photos/8173585/medium.jpg?1496385711,,233894,ART
Xysticus sp.,,Ground Crab Spiders,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Thomisoidea,Thomisidae,,,,documented,,,,2017-02-11,A. Simon,https://www.inaturalist.org/observations/5099792,,,,ART
Pseudoscorpiones (sp),,Pseudoscorpions,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Pseudoscorpiones,,,,,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6223424,https://static.inaturalist.org/photos/7818437/medium.jpeg?1494871084,,172373,ART
Eriophyes emarginatae,,,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Sarcoptiformes,,Eriophyoidea,Eriophyidae,,,,new 2015,,,,2015-08-28,L. Magner & A. Simon,http://www.inaturalist.org/observations/3735293,https://static.inaturalist.org/photos/4340636/medium.jpeg?1469334054,,322964,ART
Trombidium holosericeum,,red velvet mite,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Trombidiformes,Prostigmata,Trombidioidea,Trombidiidae,,,,new 2016,,,,2016-04-12,M. Stewart,http://www.inaturalist.org/observations/2953981,https://static.inaturalist.org/photos/3388699/medium.JPG?1460860274,,58397,ART
Balanus glandula,,acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,,documented,,K. Brothers,VMS,2015-08-28,A. Simon,http://www.inaturalist.org/observations/2580675,https://static.inaturalist.org/photos/2880873/medium.JPG?1452762362,,81610,ART
Balanus nubilus,,giant acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,,new 2016,,,,2016-03-24,A. Colwell,http://www.inaturalist.org/observations/2825535,https://static.inaturalist.org/photos/3215670/medium.jpg?1458847212,,49127,ART
Chthamalus sp.,,,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Chthamaloidea,Chthamalidae,,,,new 2015,,,,2015-08-28,A. Simon,http://www.inaturalist.org/observations/2580662,https://static.inaturalist.org/photos/2880850/medium.JPG?1452761553,,128743,ART
Chthalamus cf dalli,,little brown barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Thoracica,Balanomorpha,Chthamaloidea,Chthamalidae,,,,undocumented,,K. Brothers,VMS,,,,,,,ART
Nearctodesmus sp.,,,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,,,Nearctodesmidae,,,,new 2016,,,,2016-11-24,E. Andrusiak,http://www.inaturalist.org/observations/4661703,https://static.inaturalist.org/photos/5644416/medium.jpeg?1480440989,,171512,ART
Harpaphe haydeniana,,yellow-spotted millipede,Animalia,Arthropoda,Myriapoda,,Diplopoda,,,Polydesmida,,,Xystodesmidae,,,,documented,,K. Brothers,VMS,2016-05-07,A. Colwell,http://www.inaturalist.org/observations/3121237,https://static.inaturalist.org/photos/3609742/medium.jpg?1462658262,,47737,ART
Ptenothrix maculosa,,,Animalia,Arthropoda,Hexapoda,,Entognatha,Collembola,,Symphypleona,,Dicyrtomoidea,Dicyrtomidae,,,,new 2017,,,,2017-02-16,A. Simon,https://www.inaturalist.org/observations/5121870,https://static.inaturalist.org/photos/6300749/medium.jpg?1487297872,,491087,ART
Zootermopsis angusticollis,(Hagen),Pacific dampwood termite,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Blattodea,,Blattoidea,Termopsidae,,,,documented,1975-09-14,G.G.E. Scudder,SEM,2016-08-13,A. Simon,http://www.inaturalist.org/observations/3882082,https://static.inaturalist.org/photos/4554791/medium.jpg?1471164652,,121383,ART
Necrophilus hydrophiloides,Guérin-Méneville,primitive carrion beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Agyrtidae,,,,undocumented,1979-04-06,G.G.E. Scudder,SEM,,,,,,,ART
Bolboceras obesus,(LeConte),dor beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Bolboceratidae,,,,undocumented,1973-12-07,G.G.E. Scudder,SEM,,,,,,,ART
Polycaon stoutii,(LeConte),Stout’s hardwood borer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,,Bostrichoidea,Bostrichidae,,,,undocumented,1973-07-17,G.G.E. Scudder,SEM,,,,,,,ART
Oxylaemus sp.,,dry bark beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cucujoidea,Bothrideridae,,,,undocumented,1974-07-24,G.G.E. Scudder,SEM,,,,,,,ART
Apion cavifrons,LeConte,straight-snouted weevil,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Brentidae,,,,undocumented,1979-04-28,G.G.E. Scudder,SEM,,,,,,,ART
Anthaxia retifer,LeConte,metallic wood-boring beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,,,undocumented,1978-06-03,G.G.E. Scudder,SEM,,,,,,,ART
Buprestis aurulenta,,golden buprestid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,,,new 2016,,,,2016-08-04,C. Adler,http://www.inaturalist.org/observations/3959799,https://static.inaturalist.org/photos/4668083/medium.jpeg?1472139463,,215596,ART
Buprestis langi,Mannerheim,metallic wood-boring beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,,,undocumented,1976-07-27,G.G.E. Scudder,SEM,,,,,,,ART
Chalcophora angulicollis,LeConte,western sculptured pine borer,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Chrysochroinae,,,documented,,K. Brothers,VMS,2016-06-02,A. Huggins,http://www.inaturalist.org/observations/3369542,https://static.inaturalist.org/photos/3890168/medium.jpg?1464930137,,82080,ART
Dicerca tenebrosa,,dark jewel beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Chrysochroinae,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6207545,https://static.inaturalist.org/photos/7795487/medium.jpeg?1494781382,,218356,ART
Trachykele blondeli,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Buprestoidea,Buprestidae,Buprestinae,,,new 2016,,,,2014-06-22,I. Guthrie,http://www.inaturalist.org/observations/4170081,https://static.inaturalist.org/photos/4965411/medium.jpg?1474507623,,455266,ART
Dichelotarsus sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,,new 2017,,,,2017-05-12,S. Gilmore,https://www.inaturalist.org/observations/6206196,https://static.inaturalist.org/photos/7793425/medium.jpeg?1494774294,,244381,ART
Malthodes sp.,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Malthininae,,,new 2015,,,,2015-05-28,A. Simon,http://www.inaturalist.org/observations/1838797,https://static.inaturalist.org/photos/2233707/medium.jpg?1438897296,,177174,ART
Podabrus cavicollis,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,,new 2017,,,,2017-05-27,L. Avis,https://www.inaturalist.org/observations/6460124,https://static.inaturalist.org/photos/8166096/medium.jpg?1496356225,,57771,ART
Silis lutea,,,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Silinae,,,new 2017,,,,2017-05-13,S. Gilmore,https://www.inaturalist.org/observations/6223532,https://static.inaturalist.org/photos/7819045/medium.jpeg?1494873161,,455377,ART
Agonum limbatum,,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Harpalinae,,,undocumented,1985-04-07,G.G.E. Scudder,SEM,,,,,,,ART
Amara sp.,,sun beetles,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Pterostichinae,,,new 2015,,,,2015-03-13,A. Simon,http://www.inaturalist.org/observations/1295355,https://static.inaturalist.org/photos/1625070/medium.jpg?1426451990,,130434,ART
Bembidion connivens,(LeConte),ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,,,undocumented,1979-04-14,G.G.E. Scudder,SEM,,,,,,,ART
Bembidion versicolor,(LeConte),ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,,,undocumented,1982-04-09,G.G.E. Scudder,SEM,,,,,,,ART
Elaphropus parvulus,Dejean,small carabid,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Trechinae,,,undocumented,1981-03-22,G.G.E. Scudder,SEM,,,,,,,ART
Harpalus cordifer,Notman,ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Harpalinae,,,undocumented,1981-04-18,G.G.E. Scudder,SEM,,,,,,,ART
Loricera pilicornis,(Fabricius),ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Loricerinae,,,undocumented,1985-04-07,G.G.E. Scudder,SEM,,,,,,,ART
Microlestes linearis,(LeConte),ground beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Harpalinae,,,undocumented,1985-04-07,G.G.E. Scudder,SEM,,,,,,,ART
Omus dejeanii,Reiche,greater night-stalking tiger beetle,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Cicindelinae,,,documented,1994-04-18,G.G.E. Scudder,SEM,2015-03-04,A. Simon,http://www.inaturalist.org/observations/1287081,https://static.inaturalist.org/photos/1614379/medium.jpg?1426110949,,226395,ART
