Taxon,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Amaranthus powellii,S. Watson,,Powell's amaranth,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,powellii,,,,exotic,unlisted,,confirmed,observed,1905-06-20,Harvey Janszen,RBCM,V113852,1949562824,2016-07-31,Andrew Simon,http://www.inaturalist.org/observations/3786981,,75398,VAS,accepted,75398,Amaranthus powellii,Amaranthus powellii
Amaranthus retroflexus,L.,,rough pigweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Amaranthaceae,Amaranthoideae,,Amaranthus,retroflexus,,,,exotic,unlisted,,new 2018,observed,,,,,,2018-09-10,Christopher Heffley,https://www.inaturalist.org/observations/16400876,,58776,VAS,accepted,58776,Amaranthus retroflexus,Amaranthus retroflexus
Ambrosia chamissonis,(Less.) Greene,,silver burweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Ambrosia,chamissonis,,,,native,S5,,new 2016,observed,,,,,,2016-06-05,Andrew Simon,http://www.inaturalist.org/observations/3404260,,71135,VAS,accepted,71135,Ambrosia chamissonis,Ambrosia chamissonis
Amelanchier alnifolia,Lindl.,,saskatoon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Amelanchier,alnifolia,,,,native,S5,,confirmed,observed,1980-03-29,Hans Roemer,ER 128 Inventory,,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2580241,,80360,VAS,accepted,75415,Amelanchier alnifolia,Amelanchier alnifolia semiintegrifolia
Amsinckia menziesii,(Lehm.) A. Nelson & J.F. Macbr.,,small-flowered fiddleneck,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Boraginoidea,,Amsinckia,menziesii,,,,native,S5,,confirmed,observed,1984-06-02,Harvey Janszen,RBCM,V129555,1949578498,2017-04-30,Andrew Simon,https://www.inaturalist.org/observations/6047543,Bellhouse; dry hayfield,55436,VAS,accepted,55436,Amsinckia menziesii,Amsinckia menziesii
Anaphalis margaritacea,(L.) Benth. & Hook.f.,,pearly everlasting,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Anaphalis,margaritacea,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2564129,,52833,VAS,accepted,52833,Anaphalis margaritacea,Anaphalis margaritacea
Andromeda polifolia var. polifolia,L.,,bog-rosemary,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Vaccinioideae,,Andromeda,polifolia,,,,native,S4,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,119892,VAS,accepted,239202,Andromeda polifolia polifolia,Andromeda polifolia
Angelica genuflexa,Nutt.,,kneeling angelica,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,,,Angelica,genuflexa,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,75450,VAS,accepted,75450,Angelica genuflexa,Angelica genuflexa
Anisocarpus madioides,Nutt.,,woodland tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Anisocarpus,madioides,,,,native,S5,,confirmed,observed,1986-08-17,William J. Crins,UBC,V190868,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617714,reported as Madia madioides,53137,VAS,accepted,53137,Anisocarpus madioides,Anisocarpus madioides
Anthemis cotula,L.,,stinking chamomile,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Anthemis,cotula,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,52841,VAS,accepted,52841,Anthemis cotula,Anthemis cotula
Anthoxanthum aristatum ssp. aristatum,Boiss.,,annual vernalgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Anthoxanthum,aristatum,,,,exotic,unlisted,,confirmed,observed,1981-07-07,Harvey Janszen,RBCM,V113759,1949562820,2015-05-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2569330,,75472,VAS,accepted,79576,Anthoxanthum aristatum aristatum,Anthoxanthum aristatum
Anthoxanthum odoratum,L.,,sweet vernalgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Anthoxanthum,odoratum,,,,exotic,unlisted,,confirmed,observed,1975-06-07,Angela Wood,RBCM,V097414,1949546363,2015-04-21,Andrew Simon,http://www.inaturalist.org/observations/2567283,,75475,VAS,accepted,75475,Anthoxanthum odoratum,Anthoxanthum odoratum
Anthriscus caucalis,M. Bieb.,,bur chervil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Apioideae,,Anthriscus,caucalis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-04-23,Andrew Simon,http://www.inaturalist.org/observations/3027391,,52846,VAS,accepted,52846,Anthriscus caucalis,Anthriscus caucalis
Anthriscus sylvestris,(L.) Hoffm.,,wild chervil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Apiales,,,Apiaceae,Apioideae,,Anthriscus,sylvestris,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-04-29,Andrew Simon,https://www.inaturalist.org/observations/24768191,,124544,VAS,accepted,124544,Anthriscus sylvestris,Anthriscus sylvestris
Antirrhinum majus,L.,,snapdragon,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Plantaginaceae,,Antirrhineae,Antirrhinum,majus,,,,exotic,unlisted,,new 2019,observed,,,,,,2019-05-29,Larissa Marie,https://www.inaturalist.org/observations/26035340,,48969,VAS,accepted,1229777,Antirrhinum majus,Antirrhinum majus
Aphanes arvensis,L.,,field parsley-piert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Rosoideae,,Aphanes,arvensis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2017-02-25,Andrew Simon,https://www.inaturalist.org/observations/5178091,,158445,VAS,unaccepted,866483,Alchemilla arvensis,Aphanes arvensis
Aphanes occidentalis,(Nutt. ex Torr. & A. Gray) Rydb.,,western parsley-piert,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,Rosoideae,,Aphanes,occidentalis,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178669,,2019-02-24,Andrew Simon,https://www.inaturalist.org/observations/20739000,"Coon Bay; exposed, grassy rocky areas above sea",64548,VAS,unaccepted,866483,Alchemilla arvensis,Aphanes occidentalis
Aphyllon californicum ssp. californicum,(Cham. & Schltdl.) A. Gray,,California broomrape,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,,Aphyllon,californicum,,,,native,S4,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,Reported as Orobanche californica,802458,VAS,accepted,802465,Aphyllon californicum californicum,Aphyllon californicum
Aphyllon purpureum,(A. Heller) Holub,,western one-flowered broomrape,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Orobanchaceae,,,Aphyllon,purpureum,,,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V224992,,2007-05-04,Karolle Wall,https://www.inaturalist.org/observations/5672024,Reported as Orobanche uniflora,739040,VAS,accepted,739040,Aphyllon purpureum,Aphyllon purpureum
Apocynum androsaemifolium,L.,,spreading dogbane,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Gentianales,,,Apocynaceae,Apocynoideae,,Apocynum,androsaemifolium,,,,native,S5,,reported,unobserved,1984-06-02,Harvey Janszen,RBCM,V129556,,,,,Hydro cut line on Montague Harbour Road,47359,VAS,accepted,47359,Apocynum androsaemifolium,Apocynum androsaemifolium
Aquilegia formosa var. formosa,Fisch. ex DC.,,western columbine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Aquilegia,formosa,,,,native,S5,,confirmed,observed,1979-06-08,Harvey Janszen,RBCM,V097819,,2020-04-24,Andrew Simon,http://www.inaturalist.org/observations/3028222,Gorge between Mt Galiano and Mt Sutil,48244,VAS,unaccepted,48244,Aquilegia formosa,Aquilegia formosa
Arabis eschscholtziana,Andrz.,,Eschscholtz's rockcress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Brassicales,,,Brassicaceae,,,Arabis,eschscholtziana,,,,native,S5,,confirmed,observed,1930-04-14,William Newcombe,RBCM,V025791,1949475366,2016-04-23,Andrew Simon,http://www.inaturalist.org/observations/3028222,,75494,VAS,accepted,75494,Arabis eschscholtziana,Arabis eschscholtziana
Arbutus menziesii,Pursh,,arbutus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Arbutoideae,,Arbutus,menziesii,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2011-07-25,lesfreck,https://www.inaturalist.org/observations/86518609,,51046,VAS,accepted,51046,Arbutus menziesii,Arbutus menziesii
Arceuthobium douglasii,Engelm.,,Douglas' dwarf mistletoe,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Santalales,,,Viscaceae,,,Arceuthobium,douglasii,,,,native,S4S5,,new 2016,observed,,,,,,2016-03-20,"Alison, Laura and Malcolm Colwell",http://www.inaturalist.org/observations/2809040,FL - doubtful; confirm,75500,VAS,accepted,75500,Arceuthobium douglasii,Arceuthobium douglasii
Arctium lappa,L.,,greater burdock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Carduoideae,Cardueae,Arctium,lappa,,,,exotic,unlisted,,new 2020,observed,,,,,,2020-08-10,Sylvie Hawkes,https://www.inaturalist.org/observations/62565821,,75501,VAS,accepted,75501,Arctium lappa,Arctium lappa
Arctium minus,(Hill.) Bernh.,,common burdock,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Carduoideae,Cardueae,Arctium,minus,,,,exotic,unlisted,,confirmed,observed,1975-01-01,Harvey Janszen,RBCM,?,,2015-07-08,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2563307,,59570,VAS,accepted,59570,Arctium minus,Arctium minus
Arctostaphylos columbiana,Piper,,hairy manzanita,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Arbutoideae,,Arctostaphylos,columbiana,,,,native,S5,,confirmed,observed,1961-05-08,J. A. Calder,UBC,V103511,,2006-09-30,Karolle Wall,https://www.inaturalist.org/observations/97172666,,75505,VAS,accepted,75505,Arctostaphylos columbiana,Arctostaphylos columbiana
Arctostaphylos uva-ursi,(L.) Spreng.,,kinnikinnick,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Arbutoideae,,Arctostaphylos,uva-ursi,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-14,Adam Huggins,http://www.inaturalist.org/observations/3889075,,68049,VAS,accepted,68049,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi
