taxonName,originalName
Arrenurus tacomaensis,Arrenurus tacomaensis
Arrenurus wolcotti,Arrenurus wolcotti
Arrhenia onisca,Arrhenia onisca
Arrhopalites japonicus,Arrhopalites japonicus
Arthonia norvegica,Arthonia norvegica
Aschedelphax hochae,Aschedelphax hochae
Ascobolus hansenii,Ascobolus hansenii
Ascocoryne constricta,Ascocoryne constricta
Ascocoryne inflata,Ascocoryne inflata
Aspicilia delimitata,Aspicilia delimitata
Aspicilia gibbosula,Aspicilia gibbosula
Aspicilia inornata,Aspicilia inornata
Aspicilia montana,Aspicilia montana
Aspicilia mutabilis,Aspicilia mutabilis
Aspidophorodon longicaudus,Aspidophorodon longicaudus
Athelia scutellaris,Athelia scutellaris
Athelopsis subinconspicua,Athelopsis subinconspicua
Atractides glandulosus,Atractides glandulosus
Atractides nodipalpis americanus,Atractides nodipalpis americanus
Atractylocarpus subporodictyon,Atractylocarpus subporodictyon
Atropellis pinicola,Atropellis pinicola
Aturus mirabilis,Aturus mirabilis
Atyphloceras multidentatus,Atyphloceras multidentatus
Aulacorthum dorsatum,Aulacorthum dorsatum
Auletta krautteri,Auletta krautteri
Auricularia tenuis,Auricularia tenuis
Bacidia hegetschweileri,Bacidia hegetschweileri
Bacidina circumpulla,Bacidina circumpulla
Bakerella muscotana,Bakerella muscotana
Ballana calipera,Ballana calipera
Ballana chelata,Ballana chelata
Ballana hebea,Ballana hebea
Ballana remissa,Ballana remissa
Ballana titusi,Ballana titusi
Bandakia longipalpis,Bandakia longipalpis
Bandakia oregonensis,Bandakia oregonensis
Barrmaelia sustenta,Barrmaelia sustenta
Basidiodendron fulvum,Basidiodendron fulvum
Beeria nematocera,Beeria nematocera
Belonopsis graminea,Belonopsis graminea
Bentheogennema borealis,Bentheogennema borealis
Bertolanius weglarskae,Bertolanius weglarskae
Biatora alnetorum,Biatora alnetorum
Biatorella germanica,Biatorella germanica
Boernerina occidentalis,Boernerina occidentalis
Boernerina variabilis,Boernerina variabilis
Boidinia propinqua,Boidinia propinqua
Boletinus spectabilis,Boletinus spectabilis
Boletus umbrinus,Boletus umbrinus
Bollmaniulus hewitti,Bollmaniulus hewitti
Bollmaniulus spenceri,Bollmaniulus spenceri
Bos bison athabascae,Bos bison athabascae
Botryobasidium ansosum,Botryobasidium ansosum
Botryobasidium croceum,Botryobasidium croceum
Botryobasidium danicum,Botryobasidium danicum
Bovista dakotensis,Bovista dakotensis
Brachythecium hultenii,Brachythecium hultenii
Bromus aleutensis,Bromus aleutensis
Brunsonia atrolineata,Brunsonia atrolineata
Bucklandiella macounii ssp. alpina,Bucklandiella macounii ssp. alpina
Bucklandiella macounii ssp. macounii,Bucklandiella macounii ssp. macounii
Buellia gibstoneorum,Buellia gibstoneorum
Buellia lecideina,Buellia lecideina
Buellia oidaliella,Buellia oidaliella
Butlerelfia eustacei,Butlerelfia eustacei
Byssonectria cartilagineum,Byssonectria cartilagineum
Cabalodontia livida,Cabalodontia livida
Calliergonellopsis dieckii,Calliergonellopsis dieckii
Callipterinella minutissima,Callipterinella minutissima
Callistopsyllus terinus,Callistopsyllus terinus
Calocarides spinulicauda,Calocarides spinulicauda
Caloplaca athroocarpa,Caloplaca athroocarpa
Caloscypha fulgens,Caloscypha fulgens
Camarophyllopsis phaeoxantha,Camarophyllopsis phaeoxantha
Campanella inquilina,Campanella inquilina
Carcinocephalus exsculpta,Carcinocephalus exsculpta
Carolinaia schlingeri,Carolinaia schlingeri
Catallagia chamberlini,Catallagia chamberlini
Catallagia charlottensis,Catallagia charlottensis
Catallagia dacenkoi,Catallagia dacenkoi
Catallagia decipiens,Catallagia decipiens
Catallagia ioffi,Catallagia ioffi
Catallagia mathesoni,Catallagia mathesoni
Catallagia sculleni,Catallagia sculleni
Cavariella borealis,Cavariella borealis
Cedoaphis incognita,Cedoaphis incognita
Cedusa kedusa,Cedusa kedusa
Cenocorixa wileyi,Cenocorixa wileyi
Cephaloziella massalongoi,Cephaloziella massalongoi
Ceratophyllus adustus,Ceratophyllus adustus
Ceratophyllus arcuegens,Ceratophyllus arcuegens
Ceratophyllus ciliatus,Ceratophyllus ciliatus
Ceratophyllus diffinis,Ceratophyllus diffinis
Ceratophyllus idius,Ceratophyllus idius
Ceratophyllus petrochelidoni,Ceratophyllus petrochelidoni
Ceratophyllus rauschi,Ceratophyllus rauschi
Ceratophyllus vison,Ceratophyllus vison
Ceratophysella glancei,Ceratophysella glancei
Ceratophysella virga,Ceratophysella virga
Ceratophysella vulgaris,Ceratophysella vulgaris
Ceratophysella wallmoi,Ceratophysella wallmoi
Ceresa alta,Ceresa alta
Ceresa wickhami,Ceresa wickhami
Cerinomyces crustulinus,Cerinomyces crustulinus
Ceriporia rhodella,Ceriporia rhodella
Chaenothecopsis aeruginosa,Chaenothecopsis aeruginosa
Chaetopsylla floridensis,Chaetopsylla floridensis
Chaetopsylla setosus,Chaetopsylla setosus
Chaetopsylla tuberculaticeps,Chaetopsylla tuberculaticeps
Chaetosiphon hottesi,Chaetosiphon hottesi
Chaitophorus monelli,Chaitophorus monelli
Chaitophorus pustulatus,Chaitophorus pustulatus
Charadrius mongolus,Charadrius mongolus
Cheiletha kincaidi,Cheiletha kincaidi
Chelomideopsis brunsoni,Chelomideopsis brunsoni
Chelomideopsis occidentalis,Chelomideopsis occidentalis
Christobella ornata,Christobella ornata
Chyranda centralis,Chyranda centralis
Ciboria gordonii,Ciboria gordonii
Cimex latipennis,Cimex latipennis
Cinara caudelli,Cinara caudelli
Cinara contortae,Cinara contortae
Cinara ferrisi,Cinara ferrisi
Cinara inscripta,Cinara inscripta
Cinara kuchea,Cinara kuchea
Cinara laricifoliae,Cinara laricifoliae
Cinara nigra,Cinara nigra
Cinara nigripes,Cinara nigripes
Cinara nimbata,Cinara nimbata
Cinara oregoni,Cinara oregoni
Cinara sonata,Cinara sonata
Cinara splendens,Cinara splendens
Cinara thatcheri,Cinara thatcheri
Cinara vandykei,Cinara vandykei
Cinara villosa,Cinara villosa
Cixius umbrosus,Cixius umbrosus
Cladorhiza caillieti,Cladorhiza caillieti
Clavaria gelatinosa,Clavaria gelatinosa
Clavularia moresbii,Clavularia moresbii
Cliostomum spribillei,Cliostomum spribillei
Clitocybe atroviridis,Clitocybe atroviridis
Clitocybe georgina,Clitocybe georgina
Clitocybe harmajae,Clitocybe harmajae
Clitocybe incarnata,Clitocybe incarnata
Clitocybe luteicolor,Clitocybe luteicolor
Clitocybe praecox,Clitocybe praecox
Clitocybe pseudodicolor,Clitocybe pseudodicolor
Codriophorus ryszardii,Codriophorus ryszardii
Colladonus okanaganus,Colladonus okanaganus
Colladonus torneelus,Colladonus torneelus
Collybia alboflavida,Collybia alboflavida
Collybia cylindrospora,Collybia cylindrospora
Coloburella octogenaria,Coloburella octogenaria
Columbiathyas crenicola,Columbiathyas crenicola
Conocybe spiculoides,Conocybe spiculoides
Cookacarus columbiensis,Cookacarus columbiensis
Cophura albosetosa,Cophura albosetosa
Coprinopsis phaeosporus,Coprinopsis phaeosporus
Coprinus giganteosporus,Coprinus giganteosporus
Coprolepa gigaspora,Coprolepa gigaspora
Corniculariella pseudotsugae,Corniculariella pseudotsugae
Corticium abeuns,Corticium abeuns
Corticium apiculatum,Corticium apiculatum
Corticium pilosum,Corticium pilosum
Corticium rosae,Corticium rosae
Corticium sociatum,Corticium sociatum
Corticium subcontinuum,Corticium subcontinuum
Cortinarius amigochrous,Cortinarius amigochrous
Cortinarius canescens,Cortinarius canescens
Cortinarius ceraceus,Cortinarius ceraceus
Cortinarius eburneus,Cortinarius eburneus
Cortinarius epipoleus,Cortinarius epipoleus
Cortinarius furvolaesus,Cortinarius furvolaesus
Cortinarius ignipes,Cortinarius ignipes
Cortinarius laetissimus,Cortinarius laetissimus
Cortinarius olivaceopictus,Cortinarius olivaceopictus
Cortinarius parevernius,Cortinarius parevernius
Cortinarius pauperculus,Cortinarius pauperculus
Cortinarius pseudocandelaris,Cortinarius pseudocandelaris
Cortinarius pseudonapus,Cortinarius pseudonapus
Cortinarius pygmaeus,Cortinarius pygmaeus
Cortinarius subaustralis,Cortinarius subaustralis
Cortinarius submarginalis,Cortinarius submarginalis
Cortinarius subscaurus,Cortinarius subscaurus
Cortinarius tumidipes,Cortinarius tumidipes
Cortinarius turibulosus,Cortinarius turibulosus
Cortinarius velenovskyi,Cortinarius velenovskyi
Cortinarius viridipes,Cortinarius viridipes
Corypsylla jordani,Corypsylla jordani
Corypsylla kohlsi,Corypsylla kohlsi
Corypsylla ornata,Corypsylla ornata
Crepidotus haerens,Crepidotus haerens
Crepidotus submollis,Crepidotus submollis
Crustoderma longicystidiatum,Crustoderma longicystidiatum
Crustoderma resinosum,Crustoderma resinosum
Crustoderma testatum,Crustoderma testatum
Cryptophagus confertus,Cryptophagus confertus
Ctenophyllus armatus,Ctenophyllus armatus
Cudonia ochroleuca,Cudonia ochroleuca
Cuphophyllus bicolor,Cuphophyllus bicolor
Cyanoboletus rainisiae,Cyanoboletus rainisiae
Cyclomomonia andrewi,Cyclomomonia andrewi
Cymatodera ovipennis,Cymatodera ovipennis
Cyphon brevicollis,Cyphon brevicollis
Cyrtopogon fumipennis,Cyrtopogon fumipennis
Cyrtopogon sansoni,Cyrtopogon sansoni
Cystobranchus salmositicus,Cystobranchus salmositicus
Cystolepiota microspora,Cystolepiota microspora
Dacrymyces aquaticus,Dacrymyces aquaticus
Dactylina arctica ssp. beringica,Dactylina arctica ssp. beringica
Daedalea dochmia,Daedalea dochmia
Dannorrisia bigelovii,Dannorrisia bigelovii
Dasyscyphus incarnatus,Dasyscyphus incarnatus
Dasyscyphus pini,Dasyscyphus pini
Deconica moelleri,Deconica moelleri
Delotelis hollandi,Delotelis hollandi
Delotelis telegoni,Delotelis telegoni
Delphacodes anufrievi,Delphacodes anufrievi
Delphacodes arcanistyla,Delphacodes arcanistyla
Delphacodes emeljanovi,Delphacodes emeljanovi
Delphacodes gillettei,Delphacodes gillettei
Delphacodes incurva,Delphacodes incurva
Delphacodes litoralis,Delphacodes litoralis
Delphacodes lutulentoides,Delphacodes lutulentoides
Delphacodes magna,Delphacodes magna
Delphacodes neocclusa,Delphacodes neocclusa
Delphacodes occlusa,Delphacodes occlusa
Delphacodes pedaforma,Delphacodes pedaforma
Delphacodes propinqua,Delphacodes propinqua
Delphiniobium canadense,Delphiniobium canadense
Deltocephalus nigriventer,Deltocephalus nigriventer
Deltocephalus vanduzeei,Deltocephalus vanduzeei
Deltocephalus zephyrius,Deltocephalus zephyrius
Denisiella sexpinnata,Denisiella sexpinnata
Dermatella deformata,Dermatella deformata
Dermea boycei,Dermea boycei
Descolea albella,Descolea albella
Desoria agrelli,Desoria agrelli
Desoria alaskensis,Desoria alaskensis
Desoria atkasukiensis,Desoria atkasukiensis
Deuteraphorura lusa,Deuteraphorura lusa
Diaspidiotus aesculi,Diaspidiotus aesculi
Dichaetocoris gillespiei,Dichaetocoris gillespiei
Dichelotarsus smithi,Dichelotarsus smithi
Dichoglena nigrina,Dichoglena nigrina
Dichrooscytus rufusculus,Dichrooscytus rufusculus
Dilutineuron fasciculare,Dilutineuron fasciculare
Discocainia treleasei,Discocainia treleasei
Distichopora borealis,Distichopora borealis
Diuraphis mexicana,Diuraphis mexicana
Dolichopsyllus stylosus,Dolichopsyllus stylosus
Douinia imbricata,Douinia imbricata
Drassodes angulatus,Drassodes angulatus
Durandiella pseudotsugae,Durandiella pseudotsugae
Echiniscus canadensis,Echiniscus canadensis
Echiniscus horningi,Echiniscus horningi
Echiniscus mauccii,Echiniscus mauccii
Echiniscus reymondi,Echiniscus reymondi
Echiniscus wendti,Echiniscus wendti
Efibula tuberculata,Efibula tuberculata
Ekmania diomedeae,Ekmania diomedeae
Elasmomyces mollis,Elasmomyces mollis
Elasmomyces roseipes,Elasmomyces roseipes
Elatophilus pullus,Elatophilus pullus
Empoasca abbreviata,Empoasca abbreviata
Empoasca biarca,Empoasca biarca
Empoasca columbiana,Empoasca columbiana
Empoasca crystola,Empoasca crystola
Empoasca curvatura,Empoasca curvatura
Empoasca ditata,Empoasca ditata
Empoasca ensiformis,Empoasca ensiformis
Empoasca panda,Empoasca panda
Empoasca pelecana,Empoasca pelecana
Empoasca pinella,Empoasca pinella
Empoasca portola,Empoasca portola
Empoasca ratio,Empoasca ratio
Empoasca sordidula,Empoasca sordidula
Empoasca tolana,Empoasca tolana
Empoasca yukonensis,Empoasca yukonensis
Entocybe priscua,Entocybe priscua
Entoloma approximatum,Entoloma approximatum
Entoloma badissimum,Entoloma badissimum
Entoloma clavaformipes,Entoloma clavaformipes
Entoloma furfuraceidiscum,Entoloma furfuraceidiscum
Entoloma incrustatum,Entoloma incrustatum
Entoloma pseudocostatum,Entoloma pseudocostatum
Entoloma pusillipapillatum,Entoloma pusillipapillatum
Entoloma subpolitum,Entoloma subpolitum
Entoloma viridiflavipes,Entoloma viridiflavipes
Entoloma washingtonicum,Entoloma washingtonicum
Entomobrya brunneicapilla,Entomobrya brunneicapilla
Entomobrya mineola,Entomobrya mineola
Entomocorticium dendroctoni,Entomocorticium dendroctoni
Eopyrenula grandicula,Eopyrenula grandicula
Epitedia stewarti,Epitedia stewarti
Eremocoris canadensis,Eremocoris canadensis
Eremocoris melanotus,Eremocoris melanotus
Ericaphis louisae,Ericaphis louisae
Ericaphis siphunculata,Ericaphis siphunculata
Erpobdella anoculata,Erpobdella anoculata
Erpobdella fervida,Erpobdella fervida
Erythranthe sookensis,Erythranthe sookensis
Erythridula canadensis,Erythridula canadensis
Erythroneura acicularis,Erythroneura acicularis
Erythroneura aspera,Erythroneura aspera
Erythroneura electa,Erythroneura electa
Essigella knowltoni,Essigella knowltoni
Essigella wilsoni,Essigella wilsoni
Euodynerus scudderi,Euodynerus scudderi
Europiella stigmosus,Europiella stigmosus
Eurybregma eurytion,Eurybregma eurytion
Eurysa magnifrons,Eurysa magnifrons
Eurysa obesa,Eurysa obesa
Exidia zelleri,Exidia zelleri
Exidiopsis diversa,Exidiopsis diversa
Exidiopsis paniculata,Exidiopsis paniculata
Eylais abitibiensis,Eylais abitibiensis
Eylais discreta,Eylais discreta
Eylais euryhalina,Eylais euryhalina
Feltria amoenella,Feltria amoenella
Feltria cataphracta,Feltria cataphracta
Feltria cornuta,Feltria cornuta
Feltria cornutopsis,Feltria cornutopsis
Feltria curviseta,Feltria curviseta
Feltria echinopalpis,Feltria echinopalpis
Feltria exilis,Feltria exilis
Feltria falcicorna,Feltria falcicorna
Feltria flatheadensis,Feltria flatheadensis
Feltria gennada,Feltria gennada
Feltria geometrica,Feltria geometrica
Feltria laversi,Feltria laversi
Feltria lundbladi,Feltria lundbladi
Feltria magniseta,Feltria magniseta
Feltria major,Feltria major
Feltria minuta,Feltria minuta
Feltria montanensis,Feltria montanensis
Feltria multiscutata,Feltria multiscutata
Feltria nearctica,Feltria nearctica
Feltria oregonensis,Feltria oregonensis
Feltria parva,Feltria parva
Feltria polyplacophora,Feltria polyplacophora
Feltria purpurotincta,Feltria purpurotincta
Feltria wyomingensis,Feltria wyomingensis
Festuca rubra ssp. aucta,Festuca rubra ssp. aucta
Festuca rubra ssp. fallax,Festuca rubra ssp. fallax
Festuca rubra ssp. mediana,Festuca rubra ssp. mediana
Festuca viviparoidea ssp. krajinae,Festuca viviparoidea ssp. krajinae
Fibulomyces fusoideus,Fibulomyces fusoideus
Fimbriaphis lilii,Fimbriaphis lilii
Flabellomicrosiphum knowltoni,Flabellomicrosiphum knowltoni
Fomes nigrolaccatus,Fomes nigrolaccatus
Fomitiporia repanda,Fomitiporia repanda
Forcipata montana,Forcipata montana
Forelia americana,Forelia americana
Formica fuliginothorax,Formica fuliginothorax
Friesea alaskella,Friesea alaskella
Friesea quinta,Friesea quinta
Friesea wilkeyi,Friesea wilkeyi
Frigartus frigidus,Frigartus frigidus
Frontipodopsis nearctica,Frontipodopsis nearctica
Gabrius punctatellus,Gabrius punctatellus
Galba ferruginea,Galba ferruginea
Galerina cinnamomea,Galerina cinnamomea
Galerina cortinarioides,Galerina cortinarioides
Galerina evelata,Galerina evelata
Galerina fibrillosa,Galerina fibrillosa
Galerina filiformis,Galerina filiformis
Galerina fontinalis,Galerina fontinalis
Galerina obscurata,Galerina obscurata
Galerina platyphylla,Galerina platyphylla
Galerina rostrata,Galerina rostrata
Galerina rugisperma,Galerina rugisperma
Galerina subfiliformis,Galerina subfiliformis
Galerina vexans,Galerina vexans
Galgupha ovalis,Galgupha ovalis
Geastrum umbilicatus,Geastrum umbilicatus
Gemmabryum tenuisetum,Gemmabryum tenuisetum
Geodia lendenfeldi,Geodia lendenfeldi
Geophilus glyptus,Geophilus glyptus
Gereckea columbiensis,Gereckea columbiensis
Gertrudiella nevadensis,Gertrudiella nevadensis
Gharesia polunini,Gharesia polunini
Glendenningia philadelphi,Glendenningia philadelphi
Gloeoporus ambiguus,Gloeoporus ambiguus
Gloeosporidiella bartholomaei,Gloeosporidiella bartholomaei
Gloeosporium rostratum,Gloeosporium rostratum
Gnorimoschema albangulatum,Gnorimoschema albangulatum
Gomphidius septentrionalis,Gomphidius septentrionalis
Guidettion modestum,Guidettion modestum
Guidettion prorsirostre,Guidettion prorsirostre
Gyalidea subscutellaris,Gyalidea subscutellaris
Gymnomyces brunnescens,Gymnomyces brunnescens
Gymnomyces subfulvus,Gymnomyces subfulvus
Gymnopilus hillii,Gymnopilus hillii
Gymnopilus magnus,Gymnopilus magnus
Gymnopilus pallidus,Gymnopilus pallidus
Gymnopus subterginus,Gymnopus subterginus
Hainesia borealis,Hainesia borealis
Halichondria fibrosa,Halichondria fibrosa
Haliclona porosa,Haliclona porosa
Hebecephalus borealis,Hebecephalus borealis
Hebeloma testaceum,Hebeloma testaceum
Hedysarum boreale ssp. mackenzii,Hedysarum boreale ssp. mackenzii
Helicobasidium corticioides,Helicobasidium corticioides
Helotium incarnatum,Helotium incarnatum
Hemiberlesia popularum,Hemiberlesia popularum
Hemimycena cyphelloides,Hemimycena cyphelloides
Hemimycena nebulophila,Hemimycena nebulophila
Hemimycena subimmaculata,Hemimycena subimmaculata
Hemimycena substellata,Hemimycena substellata
Hemiquedius conformis,Hemiquedius conformis
Herbertus delavayi,Herbertus delavayi
Heterocladiella procurrens,Heterocladiella procurrens
Heuchera cylindrica var. orbicularis,Heuchera cylindrica var. orbicularis
Heuchera cylindrica var. septentrionalis,Heuchera cylindrica var. septentrionalis
Hieracium canadense,Hieracium canadense
Holopogon stellatus,Holopogon stellatus
Hoplinus echinata,Hoplinus echinata
Husnotiella fragilicuspis,Husnotiella fragilicuspis
Husnotiella johansenii,Husnotiella johansenii
Hyalonema ovuliferum,Hyalonema ovuliferum
Hydnobolites californicus,Hydnobolites californicus
Hydrachna barri,Hydrachna barri
Hydrachna comosa,Hydrachna comosa
Hydrachna cruenta diminuata,Hydrachna cruenta diminuata
Hydrachna magniscutata,Hydrachna magniscutata
Hydrachna milaria,Hydrachna milaria
Hydrachna separata,Hydrachna separata
Hydrogonium gregarium var. gallinulum,Hydrogonium gregarium var. gallinulum
Hydropunctaria alaskana,Hydropunctaria alaskana
Hydrovolzia marshallae,Hydrovolzia marshallae
Hygrobates decaporus,Hygrobates decaporus
Hygrobates exilis,Hygrobates exilis
Hygrobates multiporus,Hygrobates multiporus
Hygrobates neooctoporus,Hygrobates neooctoporus
Hygrocybe albifolia,Hygrocybe albifolia
Hygrocybe pusilla,Hygrocybe pusilla
Hygrohypnella bestii,Hygrohypnella bestii
Hygrophorus aurantiacus,Hygrophorus aurantiacus
Hygrophorus cremicolor,Hygrophorus cremicolor
Hygrophorus montanus,Hygrophorus montanus
Hymenaphorura similis,Hymenaphorura similis
Hymenochaete tenuis,Hymenochaete tenuis
Hypechiniscus gladiator,Hypechiniscus gladiator
Hyphoderma inusitatum,Hyphoderma inusitatum
Hypocopra gigaspora,Hypocopra gigaspora
Hypocrea moravica,Hypocrea moravica
Hypogastrura humi,Hypogastrura humi
Hypogastrura pannosa,Hypogastrura pannosa
Hypogastrura trybomi,Hypogastrura trybomi
Hypogastrura tullbergi,Hypogastrura tullbergi
Hypogastrura utahensis,Hypogastrura utahensis
Hypoxylon asperatum,Hypoxylon asperatum
Hypoxylon incrustans,Hypoxylon incrustans
Hysterangium epiroticum,Hysterangium epiroticum
Idiocerus bovinus,Idiocerus bovinus
Idiocerus delongi,Idiocerus delongi
Idiocerus femoratus,Idiocerus femoratus
Idiocerus glacialis,Idiocerus glacialis
Idiocerus omani,Idiocerus omani
Illinoia magna,Illinoia magna
Illinoia patriciae,Illinoia patriciae
Illinoia rhokalaza,Illinoia rhokalaza
Illinoia spiraeae,Illinoia spiraeae
Illinoia subviridis,Illinoia subviridis
Inocybe abietis,Inocybe abietis
Inocybe ovatocystis,Inocybe ovatocystis
Inocybe phaeoleuca,Inocybe phaeoleuca
Inocybe variabillima,Inocybe variabillima
Inocybe venustissima,Inocybe venustissima
Irbisia elongata,Irbisia elongata
Isohypsibius tuberculatus,Isohypsibius tuberculatus
Isopterygiopsis catagonioides,Isopterygiopsis catagonioides
Isotoma mackenziana,Isotoma mackenziana
Ixodes hearlei,Ixodes hearlei
Ixodes marmotae,Ixodes marmotae
Ixodes ochotonae,Ixodes ochotonae
Ixodes soricis,Ixodes soricis
Iziphya albipes,Iziphya albipes
Jacksonia papillata,Jacksonia papillata
Koenikea hamulata,Koenikea hamulata
Koenikea wolcotti,Koenikea wolcotti
Kongsbergia cooki,Kongsbergia cooki
Kophobelemnon hispidum,Kophobelemnon hispidum
Kyboasca confusa,Kyboasca confusa
Laccocera canadensis,Laccocera canadensis
Laccocera lineata,Laccocera lineata
Laccocera vanduzeei,Laccocera vanduzeei
Lachnella gaultheriae,Lachnella gaultheriae
Lachnella subochracea,Lachnella subochracea
Lachnum crystalligerum,Lachnum crystalligerum
Lacrymaria subcinnamomea,Lacrymaria subcinnamomea
Lactarius subvelutinus,Lactarius subvelutinus
Lamprochernes minor,Lamprochernes minor
Lamprospora ammophila,Lamprospora ammophila
Lasioglossum arctoum,Lasioglossum arctoum
Latalus histrionicus,Latalus histrionicus
Latalus occidentalis,Latalus occidentalis
Lebertia martisensis,Lebertia martisensis
Lebertia needhami,Lebertia needhami
Lebertia parmata,Lebertia parmata
Lebertia quinquemaculosa,Lebertia quinquemaculosa
Lebertia setosa,Lebertia setosa
Lebertia tyrrelli,Lebertia tyrrelli
Lebertia wolcotti,Lebertia wolcotti
Lebertia wyomingensis,Lebertia wyomingensis
Lecania hydrophobica,Lecania hydrophobica
Lecanora conferta,Lecanora conferta
Lecanora detrusa,Lecanora detrusa
Lecanora hypoptella,Lecanora hypoptella
Lecanora salicina,Lecanora salicina
Leccinum clavatum,Leccinum clavatum
Leccinum potteri,Leccinum potteri
Leccinum subtestaceum,Leccinum subtestaceum
Lecidea enclitica,Lecidea enclitica
Lecidea endomelaena,Lecidea endomelaena
Lecidea streveleri,Lecidea streveleri
Lepidocyrtus aurantiacus,Lepidocyrtus aurantiacus
Lepidocyrtus guthriei,Lepidocyrtus guthriei
Lepiota earlei,Lepiota earlei
Lepiota pulcherrima,Lepiota pulcherrima
Lepista aeruginosa,Lepista aeruginosa
Leptochilus erubescens,Leptochilus erubescens
Leptogaster coloradensis,Leptogaster coloradensis
Leptoglossum galeatum,Leptoglossum galeatum
Leptonia earlei,Leptonia earlei
Lethaxona oregonensis,Lethaxona oregonensis
Leucogaster foveolatus,Leucogaster foveolatus
Leucopsila cf. stylifera,Leucopsila cf. stylifera
Leuronycus pacificus,Leuronycus pacificus
Limnesia columbica,Limnesia columbica
