Taxon,Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Origin,Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,First.Observed,Observer,iNaturalist.Link,iNaturalist.Photo,Notes,ID,Stats.Code,Critical Notes A.L.&D.G.
Arctonoe pulchra,"(Johnson, 1897)",red commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,23/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Arctonoe vittata,"(Grube, 1855)",red-banded commensal scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,13/04/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Halosydna brevisetosa,"Kinberg, 1855",eighteen-scaled worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Harmothoe fragilis,"Moore, 1910",chocolate & white scaleworm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,Aphroditiformia,,Polynoidae,,,,reported,unobserved,06/10/2012,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Tomopteris pacifica,"(Izuka, 1914)",tailed Pacific transparent-worm,Animalia,Annelida,,,Polychaeta,Errantia,,Phyllodocida,incertae sedis,,Tomopteridae,,,,reported,unobserved,30/05/2010,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Sabellaria cementarium,"Moore, 1906",cemented sandmason tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellariidae,,,,reported,unobserved,28/09/1996,Andy Lamb & Donna Gibbs,PMLS,,,,,,Reported as Sabellaria cementarium,,MAR,
Chone aurantiaca,"(Johnson, 1901)",orange feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,04/05/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Chone minuta,"Hartman, 1944",minute feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,21/10/2007,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Eudistylia polymorpha,"(Johnson, 1901)",polymorph feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,10/12/2005,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Eudistylia vancouveri,"(Kinberg, 1867)",Vancouver feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,01/01/2015,Peter Luckham,http://www.inaturalist.org/observations/2797277,https://static.inaturalist.org/photos/3175031/medium.jpg?1458270041,,84864,MAR,
Myxicola aesthetica,"(Calparede, 1870)",petite slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,19/06/2018,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Myxicola infundibulum,"(Renier, 1804)",slime-tube feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,confirmed,observed,09/05/1993,Andy Lamb & Donna Gibbs,PMLS,,25/05/2016,Karolle Wall,http://www.inaturalist.org/observations/4052030,https://static.inaturalist.org/photos/4798684/medium.jpg?1473205031,"Dr. Leslie Harris, polychaete expert, remarks: ""different NEP websites & publications report this soft-sediment worm as both M. infundibulum & M. aesthetica, which is the first part of the confusion. In Europe M. infundibulum is found in soft-sediments & M. aesthetica is the one hanging from docks & hard-surfaces so if our NEP specimens are really the same as a European species they would be M. infundibulum. However, our NEP specimens are distinctly different both morphologically & genetically from infundibulum. The second part of the confusion is what to call them. In the past several NEP species of Myxicola were described from California, Puget Sound, & Alaska. All of the original specimens need to be re-examined so we can decide what name (or names) to use in the NEP.""",49533,MAR,
Parasabella media,"(Bush, 1905)",parasol feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,reported,unobserved,10/09/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Schizobranchia insignis,"Bush, 1905",split-branch feather-duster,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Sabellidae,Sabellinae,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,26/05/2017,Karolle Wall,https://www.inaturalist.org/observations/7674363,https://static.inaturalist.org/photos/10049762/medium.jpg?1503850746,,339561,MAR,
Apomatus sp.,,pearl-topped calcareous worm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,14/10/2007,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Crucigera sp.,,pale calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,23/03/2002,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Protula pacifica,"Pixell, 1912",white-crown calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,31/05/1981,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Pseudochitinopoma occidentalis,"Bush, 1909",western calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,05/03/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Salmacina tribranchiata,"(Moore, 1923)",three-branch calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,reported,unobserved,18/11/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Serpula columbiana,"Johnson, 1901",red-trumpet calcareous tubeworm,Animalia,Annelida,,,Polychaeta,Sedentaria,,Sabellida,,,Serpulidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,25/09/2015,Karolle Wall,http://www.inaturalist.org/observations/3706037,https://static.inaturalist.org/photos/4303535/medium.jpg?1468966530,,131207,MAR,
Dodecaceria concharum,Oersted,coralline-encased filament-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,,,reported,unobserved,31/07/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Dodecaceria fewkesi,"Berkeley & Berkeley, 1954",fringed filament-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Cirratulidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763488,https://static.inaturalist.org/photos/3127777/medium.jpg?1457578667,,192656,MAR,
Pectinaria granulata,"(Linnaeus, 1767)",tusk coneworm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Pectinariidae,,,,reported,unobserved,02/10/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,Reported as Pectinaria granulata,,MAR,
Pista elongata,"Moore, 1909",basket-top spaghetti-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Terebellidae,,,,reported,unobserved,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Thelepus sp.,,curly-head spaghetti-worm,Animalia,Annelida,,,Polychaeta,Canalipalpata,,Terebellida,,,Terebellidae,,,,reported,unobserved,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,MAR,
Balanus glandula,"Darwin, 1854",common acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,28/08/2015,Andrew Simon,http://www.inaturalist.org/observations/2580675,https://static.inaturalist.org/photos/2880873/medium.JPG?1452762362,,81610,ART,
Balanus nubilus,"Darwin, 1854",giant acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,,,,confirmed,observed,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,24/03/2016,"Alison, Laura & Malcolm Colwell",http://www.inaturalist.org/observations/2825535,https://static.inaturalist.org/photos/3215670/medium.jpg?1458847212,,49127,ART,
Chthamalus dalli,"Pilsbry, 1916",small acorn barnacle,Animalia,Arthropoda,Crustacea,Multicrustacea,Cirripedia,Thecostraca,Thoracica,Thoracica,Balanomorpha,Chthamaloidea,Chthamalidae,,,,confirmed,observed,16/02/2008,Andy Lamb & Donna Gibbs,PMLS,,28/08/2015,Andrew Simon,http://www.inaturalist.org/observations/2580662,https://static.inaturalist.org/photos/2880850/medium.JPG?1452761553,,129910,ART,
Pollicipes polymerus,"Sowerby, 1833",goose-neck barnacle,Animalia,Arthropoda,,,Hexanauplia,,Thoracica,Scalpelliformes,,,Pollicipedidae,,,,reported,unobserved,09/05/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Semibalanus balanoides,"(Linnaeus, 1767)",ridge-less barnacle,Animalia,Arthropoda,,,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Archaeobalanidae,,,,reported,unobserved,13/11/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,questionable taxon; A. Lamb suggests removing,,ART,
Semibalanus cariosus,"(Pallas, 1788)",thatched acorn barnacle,Animalia,Arthropoda,,,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Archaeobalanidae,,,,reported,unobserved,08/12/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Balanus crenatus,"Bruguière, 1789",common acorn barnacle,Animalia,Arthropoda,,,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Balanus rostratus,"Hoek, 1883",rostrate barnacle,Animalia,Arthropoda,,,Hexanauplia,,Thoracica,Sessilia,Balanomorpha,Balanoidea,Balanidae,Balaninae,,,reported,unobserved,05/03/2006,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Argulus pugettensis,"Dana, 1853",surfperch fish louse,Animalia,Arthropoda,,,Ichthyostraca,Branchiura,,Arguloida,,,Argulidae,,,,reported,unobserved,29/09/2007,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Ampithoe lacertosa,"Bate, 1858",sea lettuce sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Corophioidea,Ampithoidae,,,,reported,unobserved,14/02/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Caprella alaskana,"Mayer, 1903",Alaskan skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,,reported,unobserved,21/06/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Caprella mutica,"Schurin, 1935",Japanese skeleton shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Caprelloidea,Caprellidae,Caprellinae,,,new 2016,observed,,,,,21/08/2010,Karolle Wall,http://www.inaturalist.org/observations/4052123,https://static.inaturalist.org/photos/4799013/medium.jpg?1473206733,,64634,ART,
Chromopleustes oculatus,"(Holmes, 1908)",black-and-white sea flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Amphilochidea,Amphilochoidea,Pleustidae,,,,reported,unobserved,24/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Megalorchestia californiana,"Brandt, 1851",California Beach Flea,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,,,new 2018,observed,,,,,01/08/2018,Andrew Simon,https://www.inaturalist.org/observations/15038969,https://static.inaturalist.org/photos/22447275/medium.jpeg?1533189567,,63287,ART,
Traskorchestia traskiana,"(Stimpson, 1857)",Pacific beach hopper,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Peracarida,Amphipoda,Senticaudata,Talidtroidea,Talitridae,,,,new 2017,observed,,,,,30/03/2017,Andrew Simon,https://www.inaturalist.org/observations/5516564,https://static.inaturalist.org/photos/6803892/medium.jpg?1490951042,,130223,ART,
Neotrypaea californiensis,"(Dana, 1854)",bay ghost shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Callianassoidea,Callianassidae,,,,reported,unobserved,23/02/1995,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Cancer productus,"Randall, 1840",red rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,confirmed,observed,07/12/1985,Andy Lamb & Donna Gibbs,PMLS,,28/08/2015,Andrew Simon,http://www.inaturalist.org/observations/2026014,https://static.inaturalist.org/photos/2464687/medium.jpg?1443768648,,47826,ART,
Glebocarcinus oregonensis ,"(Dana, 1852)",pygmy rock crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,08/04/2016,Karolle Wall,http://www.inaturalist.org/observations/2909693,https://static.inaturalist.org/photos/3329265/medium.jpg?1460260146,include critical note as per G. Jensen (2018),429951,ART,
Metacarcinus gracilis,"(Dana, 1852)",graceful crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,confirmed,observed,24/02/1996,Andy Lamb & Donna Gibbs,PMLS,,17/08/2016,Andrew Simon,http://www.inaturalist.org/observations/3910088,https://static.inaturalist.org/photos/4596650/medium.jpeg?1471494095,include critical note as per G. Jensen (2018),116721,ART,
Metacarcinus magister,"(Dana, 1852)",Dungeness crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cancridae,,,,confirmed,observed,29/05/1996,Andy Lamb & Donna Gibbs,PMLS,,29/05/2018,Karolle Wall,https://www.inaturalist.org/observations/12970642,https://static.inaturalist.org/photos/18856857/medium.jpg?1527728313,include critical note as per G. Jensen (2018),63697,ART,
Telmessus cheiragonus,"(Tilesius, 1812)",helmet crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Cancroidea,Cheiragonidae,,,,confirmed,observed,29/05/1996,Andy Lamb & Donna Gibbs,PMLS,,29/05/2017,Karolle Wall,https://www.inaturalist.org/observations/7659462,https://static.inaturalist.org/photos/10025820/medium.jpg?1503767341,,180391,ART,
Crangon franciscorum,"Stimpson, 1856",California bay shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Crangonoidea,Crangonidae,,,,new 2018,observed,,,,,31/05/2018,Karolle Wall,https://www.inaturalist.org/observations/13026269,https://static.inaturalist.org/photos/18955413/medium.jpg?1527899931,,48812,ART,
Chorilia longipes,"Dana, 1851",longhorn decorator crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,,reported,unobserved,04/04/2009,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Pugettia gracilis,"Dana, 1851",graceful kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,13/10/2013,Peter Luckham,http://www.inaturalist.org/observations/2976672,https://static.inaturalist.org/photos/3420939/medium.jpg?1461100591,,130344,ART,
Pugettia producta,"(J.W. Randall, 1840)",northern kelp crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Epialtidae,,,,confirmed,observed,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763431,https://static.inaturalist.org/photos/3127685/medium.jpg?1457577719,,49723,ART,
Heptacarpus brevirostris,"(Dana, 1852)",stout coastal shrimp,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Alpheoidea,Hippolytidae,,,,new 2017,observed,,,,,26/05/2017,Karolle Wall,https://www.inaturalist.org/observations/7674355,https://static.inaturalist.org/photos/10049751/medium.jpg?1503850708,,63679,ART,
Acantholithodes hispidus,"(Stimpson, 1860)",hairy-spined crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,observed,10/09/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Cryptolithodes sitchensis,"Brandt, 1853",umbrella crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,unobserved,02/10/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Cryptolithodes typicus,"Brandt, 1848",butterfly crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,unobserved,29/07/1985,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Hapalogaster mertensii,"Brandt, 1850",hairy crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,unobserved,22/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Lopholithodes mandtii,"Brandt, 1848",Puget Sound king crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,confirmed,observed,27/02/1994,Andy Lamb & Donna Gibbs,PMLS,,07/02/2016,Peter Luckham,http://www.inaturalist.org/observations/2763457,https://static.inaturalist.org/photos/3127728/medium.jpg?1457578159,,459608,ART,
Oedignathus inermis,"(Stimpson, 1860)",granular claw crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,unobserved,29/08/2008,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Phyllolithodes papillosus,"Brandt, 1848",heart crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,unobserved,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Placetron wosnessenskii,"Schalfeew, 1892",scaled crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,unobserved,31/07/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Rhinolithodes wosnessenskii,"Brandt, 1848",rhinoceros crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Lithodoidea,Lithodidae,,,,reported,unobserved,10/09/1994,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Oregonia gracilis,"Dana, 1851",graceful decorator crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Majoidea,Oregoniidae,,,,confirmed,observed,21/09/1973,Andy Lamb & Donna Gibbs,PMLS,,29/05/2017,Karolle Wall,https://www.inaturalist.org/observations/7647272,https://static.inaturalist.org/photos/10005307/medium.jpg?1503684106,,84267,ART,
Elassochirus gilli,"(J.E. Benedict, 1892)",orange hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,reported,unobserved,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Elassochirus tenuimanus,"(Dana, 1851)",widehand hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,reported,unobserved,16/08/1993,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Pagurus armatus,"(Dana, 1851)",blackeyed hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,reported,unobserved,21/02/1969,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Pagurus beringanus,"(J.E. Benedict, 1892)",Bering hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,confirmed,observed,02/08/1968,Andy Lamb & Donna Gibbs,PMLS,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854421,https://static.inaturalist.org/photos/3256322/medium.jpg?1459377930,,362749,ART,
Pagurus caurinus,"J.F.L. Hart, 1971",Greenmark hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,confirmed,observed,10/12/2005,Andy Lamb & Donna Gibbs,PMLS,,16/05/2015,Peter Luckham,http://www.inaturalist.org/observations/2854836,https://static.inaturalist.org/photos/3256948/original.jpg?1459382325,,180026,ART,
Pagurus dalli,"(J.E. Benedict, 1892)",whiteknee hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,reported,unobserved,02/01/2013,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
Pagurus granosimanus,"(Stimpson, 1859)",grainy hermit crab,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,confirmed,observed,23/10/1994,Andy Lamb & Donna Gibbs,PMLS,,09/05/2013,Karolle Wall,http://www.inaturalist.org/observations/3910074,https://static.inaturalist.org/photos/4596479/medium.jpg?1471493094,,127555,ART,
Pagurus hirsutiusculus,"(Dana, 1851)",hairy hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,confirmed,observed,23/01/2016,Andy Lamb & Donna Gibbs,PMLS,,26/08/2016,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3971319,https://static.inaturalist.org/photos/4682746/medium.jpg?1472268817,,63219,ART,
Pagurus kennerlyi,"(Stimpson, 1864)",bluespine hermit,Animalia,Arthropoda,Crustacea,Multicrustacea,Malacostraca,Eumalacostraca,Eucarida,Decapoda,Pleocyemata,Paguroidea,Paguridae,,,,reported,unobserved,02/10/1999,Andy Lamb & Donna Gibbs,PMLS,,,,,,,,ART,
